NUMEROTATION,TYPE DE SOINS,REGION,MUNICIPALITE,NOMBRE_DEPARTS,JOURS_HOSPIT_TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION 
688,Soins physiques et psychiatriques de courte durée,Côte-Nord,98030,53,362,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
689,Soins physiques et psychiatriques de courte durée,Côte-Nord,98035,18,42,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
690,Soins physiques et psychiatriques de courte durée,Côte-Nord,98040,599,2984,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
691,Soins physiques et psychiatriques de courte durée,Côte-Nord,98045,121,428,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
692,Soins physiques et psychiatriques de courte durée,Côte-Nord,98050,37,122,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
693,Soins physiques et psychiatriques de courte durée,Côte-Nord,98055,64,229,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
694,Soins physiques et psychiatriques de courte durée,Côte-Nord,98802,20,76,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
695,Soins physiques et psychiatriques de courte durée,Côte-Nord,98804,176,835,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
696,Soins physiques et psychiatriques de courte durée,Côte-Nord,98806,105,394,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
697,Soins physiques et psychiatriques de courte durée,Côte-Nord,98808,138,615,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
698,Soins physiques et psychiatriques de courte durée,Côte-Nord,99065,7,99,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
699,Soins physiques et psychiatriques de courte durée,Côte-Nord,Autres,1,1,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
700,Soins physiques et psychiatriques de courte durée,Côte-Nord,Total Côte-Nord,12092,90291,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
701,Soins physiques et psychiatriques de courte durée,Nord-du-Québec,99005,358,3863,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
702,Soins physiques et psychiatriques de courte durée,Nord-du-Québec,99015,293,1125,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
703,Soins physiques et psychiatriques de courte durée,Nord-du-Québec,99020,167,820,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
704,Soins physiques et psychiatriques de courte durée,Nord-du-Québec,99025,913,6432,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
705,Soins physiques et psychiatriques de courte durée,Nord-du-Québec,99060,127,743,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
706,Soins physiques et psychiatriques de courte durée,Nord-du-Québec,Total Nord-du-Québec,1858,12983,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
707,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,1023,1533,12343,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
708,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,1042,70,292,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
709,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,2005,491,2947,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
710,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,2010,166,899,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
711,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,2015,569,3770,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
712,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,2028,1328,8321,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
713,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,2047,364,2446,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
714,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,3005,2040,13999,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
715,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,3010,77,393,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
716,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,3015,16,79,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
717,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,3020,149,989,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
718,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,3025,84,581,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
719,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,4005,38,217,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
720,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,4010,216,1290,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
721,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,4015,24,110,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
722,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,4020,33,292,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
723,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,4025,42,214,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
724,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,4030,61,435,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
725,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,4037,1129,6521,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
726,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,4047,445,2663,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
727,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5010,55,357,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
728,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5015,31,171,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
729,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5020,25,215,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
730,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5025,78,482,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
731,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5032,469,3376,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
732,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5040,182,1376,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
733,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5045,337,2162,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
734,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5050,60,294,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
735,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5055,158,1006,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
736,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5060,311,1994,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
737,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5065,99,498,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
738,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5070,573,4229,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
739,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,5077,117,1058,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
740,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6005,388,2478,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
741,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6013,447,3416,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
742,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6020,249,1497,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
743,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6025,42,283,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
744,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6030,89,631,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
745,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6040,9,63,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
746,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6045,44,153,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
747,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6050,47,527,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
748,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6055,52,459,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
749,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6060,16,107,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
750,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6802,125,706,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
751,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,6804,94,1020,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
752,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,Autres,3,73,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
753,Soins physiques et psychiatriques de courte durée,Gaspésie-Îles-de-la-Madeleine,Total Gaspésie-Îles-de-la-Madeleine,12975,87432,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
754,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17005,32,138,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
755,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17010,214,998,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
756,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17015,37,187,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
757,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17020,63,290,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
758,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17025,43,207,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
759,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17030,177,917,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
760,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17035,49,219,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
761,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17040,68,453,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
762,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17045,73,486,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
763,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17055,137,644,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
764,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17060,50,302,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
765,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17065,66,254,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
766,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17070,267,1716,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
767,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,17078,447,2539,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
768,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18005,86,459,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
769,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18010,11,81,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
770,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18015,116,803,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
771,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18020,37,161,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
772,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18025,46,250,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
773,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18030,93,534,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
774,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18035,38,208,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
775,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18040,46,278,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
776,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18045,258,1481,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
777,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18050,1342,8553,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
778,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18055,45,297,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
779,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18060,186,873,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
780,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18065,168,879,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
781,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,18070,13,133,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
782,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19005,79,575,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
783,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19010,65,377,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
784,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19015,45,233,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
785,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19020,94,650,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
786,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19025,107,601,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
787,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19030,161,1105,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
788,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19037,175,1265,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
789,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19045,60,603,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
790,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19050,116,1090,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
791,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19055,274,2074,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
792,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19062,323,1819,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
793,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19068,438,2260,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
794,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19070,106,731,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
795,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19075,188,1252,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
796,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19082,210,1291,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
797,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19090,68,397,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
798,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19097,245,1436,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
799,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19105,246,1345,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
800,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19110,113,501,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
801,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,19117,73,333,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
802,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,25213,11608,76080,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
803,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,26005,113,793,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
804,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,26010,98,634,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
805,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,26015,210,1273,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
806,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,26022,196,817,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
807,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,26030,1239,7249,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
808,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,26035,102,610,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
809,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,26040,128,860,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
810,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,26048,211,1027,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
811,Soins physiques et psychiatriques de courte durée,Chaudière-Appalaches,26055,216,1408,S03 - Nombre de départs et jours d’hospitalisation selon le lieu de résidence des usagers ,Entre 2016-04-01 et 2017-03-31, 12 décembre 2017
