PERIODE,CODE  MO,CODE  MO_RESP,MO_RESPONSABLE,MO,CATEGORIE_EMPLOI,STATUT,APLE,NB_INDIVIDUS,NB_INDIVIDUS_120,APA_ABS_120,COUTS_120,NB_INDIVIDUS_246,APA_ABS_246,COUTS_246,NB_INDIVIDUS_248,APA_ABS_248,COUTS_248,NB_INDIVIDUS_270,APA_ABS_270,NB_INDIVIDUS_249,APA_ABS_249,NB_INDIVIDUS_272,APA_ABS_272,NB_INDIVIDUS_077,APA_ABS_077 
2011-2012,285,75,Travail,285-Commission des relations du travail,Personnel de bureau,Occasionnel,"0,9352",1,1,"0,0159",603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,285,75,Travail,285-Commission des relations du travail,Personnel de bureau,Régulier,"0,0997",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,285,75,Travail,285-Commission des relations du travail,Personnel de bureau,Régulier,"0,2529",1,1,"0,0095","375,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,285,75,Travail,285-Commission des relations du travail,Personnel de bureau,Régulier,"1,054",2,2,"0,0402","1582,43",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,285,75,Travail,285-Commission des relations du travail,Personnel de bureau,Régulier,"13,1138",18,14,"0,5196","19874,71",2,"0,1303","3548,47",0,0,0,3,"0,0256",0,0,0,0,0,0
2011-2012,285,75,Travail,285-Commission des relations du travail,Personnel de bureau,Régulier,"6,6829",10,7,"0,1656","6544,8",1,"0,6976","18445,63",0,0,0,2,"0,0385",0,0,0,0,0,0
2011-2012,285,75,Travail,285-Commission des relations du travail,Personnel de bureau,Occasionnel,"0,9351",1,1,"0,0115","436,85",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,285,75,Travail,285-Commission des relations du travail,Personnel de bureau,Régulier,"0,0652",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Haute direction et Cadres,Régulier,"1,3338",3,1,"0,0154","1309,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Haute direction et Cadres,Régulier,"2,5028",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Haute direction et Cadres,Régulier,"0,5021",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Professionnels et Enseignants,Occasionnel,"0,5021",1,1,"0,0038","267,46",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Professionnels et Enseignants,Régulier,"0,5021",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Professionnels et Enseignants,Régulier,"0,6746",2,0,0,0,0,0,0,0,0,0,1,"0,0051",0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Professionnels et Enseignants,Régulier,"0,5021",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Professionnels et Enseignants,Régulier,"0,5021",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Professionnels et Enseignants,Régulier,"0,5021",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Personnel de bureau,Régulier,"1,5063",3,0,0,0,1,"0,0115","411,05",0,0,0,0,0,0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Personnel de bureau,Régulier,"1,0042",2,0,0,0,1,"0,0537","1703,35",0,0,0,1,"0,0108",0,0,0,0,0,0
2011-2012,292,75,Travail,292-Conseil des services essentiels,Personnel de bureau,Régulier,"0,0997",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Haute direction et Cadres,Régulier,"0,9773",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Haute direction et Cadres,Régulier,"15,5451",19,13,"0,1631","14797,22",2,"0,0246","1903,92",0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Haute direction et Cadres,Régulier,"53,5145",58,34,"0,3859","33988,44",6,"1,0539","69738,94",0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Haute direction et Cadres,Régulier,"18,5917",22,12,"0,2734","24280,22",1,"0,0077","526,16",0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Haute direction et Cadres,Régulier,"0,6592",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Haute direction et Cadres,Régulier,"12,3717",14,7,"0,0984","8991,88",2,"0,2414","16992,52",0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Haute direction et Cadres,Régulier,"45,7342",49,28,"0,7289","64803,84",8,"1,0157","66133,3",1,"0,5327","28705,47",0,0,0,0,1,"1,0003",0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Haute direction et Cadres,Régulier,"26,533",33,19,"0,2215","21624,32",3,"1,0732","69544,04",1,"0,4753","28697,38",0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Occasionnel,"5,4041",7,4,"0,0566","2262,93",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Occasionnel,"46,1776",58,49,"0,7315","33892,51",3,"0,1826","5937,1",0,0,0,3,"0,0114",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Occasionnel,"11,0113",14,12,"0,1911","9387,22",0,0,0,0,0,0,2,"0,013",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Occasionnel,"1,7133",2,2,"0,0257","1785,81",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"0,5903",1,1,"0,0038","160,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"65,8547",79,64,"1,1572","61573,31",10,"1,3731","52222,02",1,"0,0575","1628,01",5,"0,0993",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"126,2016",138,128,"3,5209","236404,92",12,"2,9125","132964,63",2,"0,8585","25418,5",7,"0,0519",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"238,1449",261,228,"5,828","410991,21",22,"3,7578","183540,63",2,"0,4599","19928,07",10,"0,1048",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"100,6723",115,86,"2,6636","192853,06",10,"2,5326","135822,71",5,"0,4619","16396,45",1,"0,0156",0,0,1,"0,0997",1,"0,0038"
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Occasionnel,"10,273",14,12,"0,1018","4569,72",1,"0,391","11507,82",0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Occasionnel,"3,595",4,3,"0,09","5275,79",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Occasionnel,"0,1191",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Occasionnel,"2,0351",3,1,"0,0123","873,15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"2,0008",2,2,"0,0268","1509,75",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"56,037",63,53,"0,9879","53519,79",2,"0,0421","1528,71",0,0,0,3,"0,0245",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"92,6868",106,91,"2,093","134161,98",9,"0,8186","36137,74",1,"0,6784","23629,71",5,"0,0597",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"199,2539",215,187,"4,314","315055,14",7,"1,1558","60335,84",2,"0,2912","10235,13",3,"0,0511",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Professionnels et Enseignants,Régulier,"110,5488",118,89,"2,2563","183422,8",5,"1,2841","70290,04",2,"1,3586","45358,53",1,"0,0101",1,"0,0939",0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"7,188",8,8,"0,1776","6235,65",0,0,0,0,0,0,1,"0,0172",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"64,3642",72,66,"1,1697","45553,89",8,"2,1826","54518,32",1,"0,1821","3737,64",12,"0,0816",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"32,7659",35,34,"0,6764","25725,01",4,"0,4317","11106,79",0,0,0,6,"0,053",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"15,3541",17,17,"0,4007","15148,26",3,"1,3883","36274,9",0,0,0,3,"0,0234",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"5,4155",7,5,"0,0832","3103,07",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"0,9198",1,1,"0,0249","1054,07",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"29,0331",54,38,"0,7336","31707,24",3,"0,9543","27085,46",0,0,0,2,"0,0186",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"92,3505",113,98,"2,2357","98907,98",18,"3,5024","104124,4",1,"0,2874","5738,34",19,"0,2876",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"179,4491",199,190,"4,9486","233194,15",21,"4,2418","133773,87",2,"0,6412","15741,56",13,"0,1361",1,"0,4791",0,0,1,"0,023"
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"73,3786",81,65,"1,6992","81347,2",16,"2,2169","71520,03",3,"1,6807","41038,2",15,"0,268",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"1,0004",1,1,"0,0077","279,99",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"9,5322",12,11,"0,219","8011,91",0,0,0,0,0,0,1,"0,0153",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"7,1365",9,7,"0,1772","7164,45",1,"0,4216","11221,29",0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"3,5643",4,4,"0,1026","3549,49",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Occasionnel,"1,008",2,2,"0,0328","1439,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"1,0005",1,1,"0,0181","649,23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"14,8592",20,17,"0,2665","11202,77",2,"0,4235","12059,71",0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"29,409",39,32,"0,5983","26466,06",4,"1,949","56540,87",0,0,0,2,"0,0404",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"54,5526",56,48,"1,2309","59046,46",2,"1,0831","32555,51",1,"0,1495","3478,85",1,"0,0065",1,"1,0003",0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Techniciens,Régulier,"44,2832",50,38,"0,8579","41516,59",5,"1,2959","38607,67",1,"0,1265","2670,9",2,"0,0185",0,0,0,0,1,"0,0044"
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"3,4576",5,4,"0,1031","3456,4",1,"0,0268","594,32",0,0,0,1,"0,0016",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"83,1574",107,95,"2,1703","74698,03",28,"3,5827","82116,1",0,0,0,39,"0,5958",0,0,0,0,2,"0,0268"
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"154,509",189,167,"3,8498","136170,29",29,"7,4913","171382,19",3,"0,7091","12251,5",42,"0,8597",0,0,0,0,1,"0,0064"
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"137,6546",162,147,"3,8178","137165,83",36,"6,9812","168501,54",4,"1,4442","25152,01",30,"0,5734",1,"0,1725",0,0,2,"0,021"
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"49,7254",58,54,"1,6771","61656,14",14,"3,1881","79782,51",2,"1,0616","21268,66",14,"0,2591",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Régulier,"0,6508",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Régulier,"24,8001",37,29,"0,5656","22186,22",2,"0,0117","285,59",0,0,0,2,"0,0189",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Régulier,"68,5772",102,80,"1,7193","68784,74",14,"3,1042","80496,77",3,"0,6393","12625,18",19,"0,3456",0,0,0,0,1,"0,0019"
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Régulier,"236,4102",292,243,"6,3034","251037,76",46,"12,1547","321389,95",9,"2,8571","56749,71",25,"0,415",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Régulier,"149,1908",176,153,"4,1872","167192,77",27,"5,6381","151840,3",1,"0,0284","551,32",19,"0,3708",1,"0,0364",0,0,1,"0,0057"
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"0,0441",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"31,5363",39,33,"0,8266","28669,16",4,"0,6972","17000,57",1,"0,7743","13667,05",6,"0,1543",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"43,6614",53,44,"0,923","32624,51",5,"0,7987","18951,7",1,"0,1357","2289,48",9,"0,2679",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"38,6434",46,39,"1,1063","39406,35",4,"0,7051","15881,33",0,0,0,6,"0,0824",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Occasionnel,"26,4143",33,28,"0,9574","35778,82",7,"1,3205","31576,16",1,"0,2878","4786,42",6,"0,1256",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Régulier,"10,8211",14,12,"0,2329","8708,02",1,"0,3718","8606,59",0,0,0,4,"0,0708",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Régulier,"16,6126",29,22,"0,3615","14051,07",1,"0,0134","323,45",0,0,0,4,"0,073",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Régulier,"59,1041",67,63,"2,05","81113,9",6,"1,9094","49275,58",1,"0,7128","13262,51",10,"0,0953",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Personnel de bureau,Régulier,"69,7214",85,66,"1,9083","76689,92",10,"3,0392","75128,12",1,"0,1457","3018,07",8,"0,124",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Occasionnel,"0,5365",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Occasionnel,"2,6825",5,3,"0,0085","387,64",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Occasionnel,"0,0383",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Régulier,"7,0021",7,7,"0,2426","12318,86",3,"0,2473","8511,68",0,0,0,1,"0,008",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Régulier,"14,2495",16,13,"0,7039","36516,44",3,"0,9151","31441,11",1,"0,1706","4443,87",2,"0,0856",1,"0,0017",0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Régulier,"10,003",10,8,"0,4873","26843,58",3,"1,0569","36632,99",1,"0,1916","4956,88",0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Régulier,"0,2376",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Occasionnel,"1,5329",3,1,"0,0038","173,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Occasionnel,"3,8207",8,2,"0,0566","2663,94",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Occasionnel,"7,2737",15,8,"0,0999","4701,89",1,"0,0767","2405,07",0,0,0,1,"0,0153",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Régulier,"0,5365",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Régulier,"23,225",26,22,"0,7274","36913,38",2,"0,3679","12697,49",0,0,0,1,"0,0002",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Régulier,"107,9318",113,108,"3,3267","174005,75",8,"1,7571","59664,93",1,"0,8681","22466,37",6,"0,0492",1,"0,1322",0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Régulier,"81,1548",84,75,"2,7385","143041,62",4,"1,0003","33875,01",2,"0,8163","21999,04",2,"0,0135",1,"0,0115",0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Agent de la paix,Régulier,"28,4262",31,25,"0,8417","43908,08",6,"1,5178","52909,71",3,"0,9984","26897,94",0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Ouvrier,Occasionnel,"0,1683",1,1,"0,0103","375,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Ouvrier,Occasionnel,"1,9356",2,2,"0,045","1574,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Ouvrier,Occasionnel,"0,9372",1,1,"0,0115","379,95",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Ouvrier,Occasionnel,"0,9359",1,1,"0,0372","1356,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Ouvrier,Occasionnel,"0,4752",2,2,"0,0136","462,31",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Ouvrier,Régulier,"1,5829",2,2,"0,0315","1144,95",1,"0,0805","1774,19",0,0,0,0,0,0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Ouvrier,Régulier,"2,2152",3,3,"0,0558","1994,95",1,"0,5864","12918,26",0,0,0,1,"0,0115",0,0,0,0,0,0
2011-2012,320,850,Transports,320-Société de l'assurance automobile du Québec,Ouvrier,Régulier,"3,7482",4,4,"0,1819","6629,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,321,400,Justice,321-Fonds d'aide aux recours collectifs,Professionnels et Enseignants,Régulier,"1,0003",1,1,"0,0153","991,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,321,400,Justice,321-Fonds d'aide aux recours collectifs,Techniciens,Régulier,"1,0003",1,1,"0,0279","1318,69",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,321,400,Justice,321-Fonds d'aide aux recours collectifs,Personnel de bureau,Régulier,"0,3066",1,1,"0,0203","805,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,321,400,Justice,321-Fonds d'aide aux recours collectifs,Personnel de bureau,Régulier,"0,2721",1,1,"0,0038","150,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Haute direction et Cadres,Régulier,"0,3181",1,1,"0,0038","264,83",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Haute direction et Cadres,Régulier,"1,0003",1,1,"0,0103","995,66",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Haute direction et Cadres,Régulier,"3,503",4,2,"0,1016","11526,25",1,"0,0613","5959,56",0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Haute direction et Cadres,Régulier,"3,664",5,3,"0,0133","1423,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Haute direction et Cadres,Régulier,"2,0006",2,1,"0,0063","555,38",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Haute direction et Cadres,Régulier,"4,4764",5,3,"0,0247","3079,86",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Haute direction et Cadres,Régulier,"3,1428",4,1,"0,0038","367,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Occasionnel,"27,3392",33,30,"0,6794","33855,08",1,"0,0268","786,22",0,0,0,2,"0,0076",0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Occasionnel,"8,2522",9,8,"0,2063","12686,51",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Occasionnel,"2,0006",2,2,"0,0551","3711,49",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Occasionnel,"1,7131",2,2,"0,0938","5953,45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Régulier,"9,0833",15,13,"0,2563","12884,85",1,"0,2157","6577,34",0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Régulier,"22,2108",25,23,"0,5","35883,76",1,"0,0613","2516,5",0,0,0,1,"0,0019",0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Régulier,"25,1484",28,27,"0,5891","42277,15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Régulier,"12,3945",14,12,"0,5762","40342,7",1,"0,4214","20155,15",0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Occasionnel,"23,0619",29,23,"0,6115","30056,2",0,0,0,0,0,0,1,"0,0019",0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Occasionnel,"3,0011",3,3,"0,0726","3570,93",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Occasionnel,"2,5947",3,2,"0,0326","2291,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Occasionnel,"0,7129",1,1,"0,0211","1409,26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Régulier,"4,1584",8,7,"0,1804","10900,05",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Régulier,"15,0051",15,13,"0,5232","34502,2",0,0,0,0,0,0,1,"0,0139",0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Régulier,"20,3971",23,22,"0,4784","34344,6",1,"0,0077","278,59",0,0,0,1,"0,0172",0,0,0,0,0,0
2011-2012,323,210,Finances et Économie,323-Institut de la statistique du Québec,Professionnels et Enseignants,Régulier,"20,9529",23,16,"0,3576","26789,39",1,"0,3872","17624,36",0,0,0,0,0,0,0,0,0,0,0
