ï»¿NUMEROZONE,AFFECTATION,USAGE,MISEAJOUR,LONGITUDE,LATITUDE
I1-131,Industrielle,Industrie,2015-06-03,-73.49017513188531,45.7599613156789
P1-240,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.46549210460535,45.7620222507134
H1-237,Habitation,Habitation unifamiliale,2015-06-03,-73.46619333995693,45.76390273217371
H1-236,Habitation,Habitation unifamiliale,2015-06-03,-73.46231744336266,45.76164977622746
P1-177,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.47414005085001,45.75678915831962
H2-116,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.47490158715712,45.75142787516627
H1-170,Habitation,Habitation unifamiliale,2015-06-03,-73.4764259028967,45.75613633994087
H2-162,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.47538591031939,45.755016665062826
H2-160,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.47322457284244,45.75432909415745
H1-119,Habitation,Habitation unifamiliale,2015-06-03,-73.47553044990302,45.75253306190815
C2-150,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.47298916178993,45.75330042880132
P1-148,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.47795928801547,45.75540751201244
I1-120,Industrielle,Industrie,2015-06-03,-73.47916220832417,45.75385283167254
P3-065,Communautaire,Infrastructure de transport,2015-06-03,-73.47076393196512,45.76125684176288
H2-093,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.47652409271485,45.745574129820184
P1-098,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.47868088869178,45.74589396304093
H1-097,Habitation,Habitation unifamiliale,2015-06-03,-73.47762858888979,45.74789764166966
H1-182,Habitation,Habitation unifamiliale,2015-07-10,-73.48507229313118,45.76224506185885
H3-179,Habitation,Habitation multifamiliale,2015-06-03,-73.48629311831571,45.762515290249645
P1-190,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.46184950083494,45.75454163559093
P1-110,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.46456208835325,45.743343908283514
H1-090,Habitation,Habitation unifamiliale,2015-06-03,-73.46964317382778,45.74399784195835
H1-081,Habitation,Habitation unifamiliale,2015-06-03,-73.46785038380891,45.74125124500932
P1-086,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.46785454092145,45.740784350715444
P3-044,Communautaire,Infrastructure de transport,2015-06-03,-73.4864045192036,45.732609665906715
H1-060,Habitation,Habitation unifamiliale,2015-06-03,-73.4756321291477,45.73165523983952
P1-059,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.47249225860759,45.729927986454115
H1-056,Habitation,Habitation unifamiliale,2015-06-03,-73.47274559347387,45.73150568308216
P1-046,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.47532183056508,45.727402903885896
P1-034,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.4783870005358,45.72646603232089
H1-024,Habitation,Habitation unifamiliale,2015-06-03,-73.4776160349219,45.72664348199189
H3-165,Habitation,Habitation multifamiliale,2015-06-03,-73.45046327544307,45.745107604763476
P1-176,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.44986362537256,45.74568992027378
H3-185,Habitation,Habitation multifamiliale,2015-06-03,-73.4472164490924,45.74819168339789
P1-100,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.45871825198331,45.73838224751077
H1-096,Habitation,Habitation unifamiliale,2015-06-03,-73.45853469685031,45.73946950578126
P1-076,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.45718511266284,45.73239527399406
H1-074,Habitation,Habitation unifamiliale,2015-06-03,-73.45720866877248,45.7327963717409
H1-026,Habitation,Habitation unifamiliale,2015-06-03,-73.46626179451138,45.72215176599657
C2-075,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.46071707333063,45.731315592519046
C2-047,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.46294446572878,45.72183524674154
H3-037,Habitation,Habitation multifamiliale,2015-06-03,-73.46004013388873,45.72239475695524
P1-031,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.47186917548218,45.72249232304753
H1-020,Habitation,Habitation unifamiliale,2015-06-03,-73.47540247361441,45.72081906701505
P4-029,Communautaire,Communautaire religieux,2015-06-03,-73.47050227751458,45.721121195714865
H1-016,Habitation,Habitation unifamiliale,2015-06-03,-73.46787644603337,45.71629680146708
P1-018,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.47499190885344,45.71652644946175
P1-010,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.47800497537337,45.71506198005758
H1-005,Habitation,Habitation unifamiliale,2015-06-03,-73.47984118313488,45.71471553576649
H3-009,Habitation,Habitation multifamiliale,2015-06-03,-73.47821164432807,45.715633368868374
CON1-003,Conservation,Conservation riveraine,2015-06-03,-73.48012691092877,45.70895903723641
H5-001,Habitation,Ãco-responsable,2015-06-03,-73.48840235942411,45.70846072638906
A1-058,Agricole,Agricole,2015-06-03,-73.50196949669171,45.75216709331363
A1-070,Agricole,Agricole,2015-06-03,-73.51057291987784,45.75465290619746
A1-291,Agricole,Agricole,2015-06-03,-73.49425752102673,45.78595218492455
A2-204,Agricole,AgroforestiÃ¨re,2015-06-03,-73.50590385278494,45.77692181643001
A2-107,Agricole,AgroforestiÃ¨re,2015-06-03,-73.52458690097316,45.77239233649076
A2-301,Agricole,AgroforestiÃ¨re,2015-06-03,-73.47123214103426,45.78150205941114
A1-172,Agricole,Agricole,2015-06-03,-73.48014410982238,45.77816934713097
A1-393,Agricole,Agricole,2015-06-03,-73.50260506467536,45.81574683477799
H1-412,Habitation,Habitation unifamiliale,2015-06-03,-73.4216443006476,45.78223858768741
H1-401,Habitation,Habitation unifamiliale,2015-06-03,-73.41990653879105,45.78228643821096
A1-084,Agricole,Agricole,2015-06-03,-73.51230170812698,45.76570918460195
A1-133,Agricole,Agricole,2015-06-03,-73.50749741822449,45.7675926759404
P1-290,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2015-06-03,-73.45211198299323,45.768536184661194
H1-373,Habitation,Habitation unifamiliale,2015-06-03,-73.42519305861516,45.77688174393334
A1-036,Agricole,Agricole,2015-06-03,-73.50416205461697,45.74024133053746
A1-039,Agricole,Agricole,2015-06-03,-73.51416773319474,45.748392289246425
H1-174,Habitation,Habitation unifamiliale,2015-06-03,-73.47851231782985,45.75944631418933
H1-244,Habitation,Habitation unifamiliale,2015-06-03,-73.45780008578697,45.76198933986371
H3-233,Habitation,Habitation multifamiliale,2018-02-12,-73.46113013582233,45.7594884911595
C6-210,Commerciale,Station-service,2015-06-03,-73.46360993084227,45.756269050918206
C3-198,Commerciale,Commerce rÃ©gional,2015-06-03,-73.46519966520448,45.75589193299178
C6-206,Commerciale,Station-service,2015-06-03,-73.4639715357994,45.75554750525106
H2-152,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.4689675783502,45.75144283193199
H2-169,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.46633586770535,45.753189610618136
C2-159,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.46869262073899,45.75349672542983
H2-108,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.4718641156488,45.74888153786626
H1-142,Habitation,Habitation unifamiliale,2015-06-03,-73.46058227094734,45.75118532934754
P3-127,Communautaire,Infrastructure de transport,2015-06-03,-73.46856805085804,45.74905933374968
H1-066,Habitation,Habitation unifamiliale,2015-06-03,-73.4783007585906,45.739968222541876
C4-102,Commerciale,Ambiance,2015-06-03,-73.44949556544033,45.73638622854163
H3-147,Habitation,Habitation multifamiliale,2015-06-03,-73.44669706935464,45.74436798141551
H1-154,Habitation,Habitation unifamiliale,2015-06-03,-73.4467060861991,45.74229088121843
C4-140,Commerciale,Ambiance,2015-06-03,-73.44835786250083,45.741466060540255
H1-136,Habitation,Habitation unifamiliale,2015-06-03,-73.44899091700911,45.74079385130654
H1-263,Habitation,Habitation unifamiliale,2015-06-03,-73.4347029711379,45.75477755887952
C2-252,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.43088571650401,45.753506034129494
H1-260,Habitation,Habitation unifamiliale,2015-06-03,-73.4398184141773,45.75860784624949
H1-032,Habitation,Habitation unifamiliale,2015-06-03,-73.46827230362832,45.727524385990804
H3-033,Habitation,Habitation multifamiliale,2015-06-03,-73.46438785680357,45.720000892577666
H3-007,Habitation,Habitation multifamiliale,2015-06-03,-73.47658362241383,45.71432589029352
H1-014,Habitation,Habitation unifamiliale,2015-06-03,-73.47614337140406,45.717015362112804
C3-030,Commerciale,Commerce rÃ©gional,2016-11-08,-73.46687517848368,45.71971140730246
H2-434,Habitation,Habitation bifamiliale et trifamiliale,2015-06-03,-73.4012672575059,45.78385150179299
H1-433,Habitation,Habitation unifamiliale,2015-06-03,-73.4043588611469,45.784857097317534
H1-430,Habitation,Habitation unifamiliale,2015-06-03,-73.40370987118315,45.7831061331014
C2-396,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.41146447752985,45.77435320272986
H1-395,Habitation,Habitation unifamiliale,2015-06-03,-73.40536851666026,45.77460376308129
H2-364,Habitation,Habitation bifamiliale et trifamiliale,2015-07-10,-73.41857992127329,45.767440913317486
H3-377,Habitation,Habitation multifamiliale,2015-06-03,-73.41082886983767,45.7693744766949
C2-346,Commerciale,ArtÃ©riel lÃ©ger,2015-06-03,-73.41953984233953,45.762758490237054
C6-156,Commerciale,Station-service,2015-07-07,-73.44370199093628,45.740563249088495
C4-132,Commerciale,Ambiance,2015-06-03,-73.44564694147948,45.74026282570306
C4-077,Commerciale,Ambiance,2015-06-03,-73.45325871249325,45.732589436725455
CON2-041,Conservation,Conservation nature,2015-06-03,-73.51972531479143,45.75863225130256
CON1-197,Conservation,Conservation riveraine,2015-07-10,-73.46254949231422,45.75595068317176
H2-232,Habitation,Habitation bifamiliale et trifamiliale,2015-06-04,-73.46012205441025,45.75861089113797
H1-215,Habitation,Habitation unifamiliale,2015-06-04,-73.45625951121465,45.756678462887635
A1-151,Agricole,Agricole,2015-07-07,-73.51120914461283,45.79209779590612
A2-444,Agricole,AgroforestiÃ¨re,2015-07-07,-73.48898051233216,45.802778771158124
H1-298,Habitation,Habitation unifamiliale,2015-07-10,-73.46172876389728,45.77365047738896
H1-289,Habitation,Habitation unifamiliale,2015-07-10,-73.46006070886285,45.771597275712175
A2-445,Agricole,AgroforestiÃ¨re,2015-07-10,-73.51207008915878,45.809402054929635
CON2-332,Conservation,Conservation nature,2015-07-07,-73.49816194403097,45.80627588515335
C2-310,Commerciale,ArtÃ©riel lÃ©ger,2018-12-03,-73.45310082291121,45.76993672135529
C2-122,Commerciale,ArtÃ©riel lÃ©ger,2019-02-13,-73.47318355510411,45.750917323315484
H1-126,Habitation,Habitation unifamiliale,2019-02-13,-73.47418650249703,45.75063200419911
H2-121,Habitation,Habitation bifamiliale et trifamiliale,2019-02-13,-73.47297556529125,45.750082877658386
P4-128,Communautaire,Communautaire religieux,2019-02-13,-73.44815570915478,45.739560513110355
C4-123,Commerciale,Ambiance,2019-02-13,-73.4459699820874,45.73798451166167
C3-021,Commerciale,Commerce rÃ©gional,2020-03-16,-73.47088224536185,45.71829560025271
C5-109,Commerciale,Grande surface,2020-03-16,-73.45565497995217,45.744184593047294
P1-447,Communautaire,Ãducationnel et rÃ©crÃ©atif de voisinage,2020-03-16,-73.45464855872848,45.74103703297181
C3-129,Commerciale,Commerce rÃ©gional,2020-03-16,-73.45296341298835,45.74199911743843
P2-118,Communautaire,Communautaire,2020-03-16,-73.45001053101309,45.739344653231875
P2-448,Communautaire,Communautaire,2020-03-16,-73.45178340983246,45.7413443322879
CON1-002,Conservation,Conservation riveraine,2015-06-03,-73.45261468588788,45.71993460566057
H1-356,Habitation,Habitation unifamiliale,2015-06-03,-73.41464042925173,45.76432805852551
H1-253,Habitation,Habitation unifamiliale,2021-04-26,-73.42600867220177,45.75072774720359
I4-450,Industrielle,Industrie,2021-05-12,-73.49278934734966,45.76123405199834
I1-051,Industrielle,Industrie,2021-05-12,-73.49423627144843,45.736135011244066
I1-050,Industrielle,Industrie,2021-05-12,-73.48819696135813,45.73584387970872
I2-054,Industrielle,Industrie moyenne,2021-05-12,-73.49096107361237,45.748750227738476
P3-451,Communautaire,Infrastructure de transport,2021-05-12,-73.49207032092832,45.7379634453267
H3-453,Habitation,Habitation multifamiliale,2021-05-12,-73.4854817914486,45.73314478019722
H1-454,Habitation,Habitation unifamiliale,2021-05-12,-73.48385219590163,45.732565502088526
H3-452,Habitation,Habitation multifamiliale,2021-05-12,-73.48593622988423,45.73094026129029
H1-456,Habitation,Habitation unifamiliale,2021-05-12,-73.48385970777501,45.7386309508285
C2-455,Commerciale,ArtÃ©riel lÃ©ger,2021-05-12,-73.48356546963606,45.73748528186784
H2-457,Habitation,Habitation bifamiliale et trifamiliale,2021-05-12,-73.48291967113038,45.7407372286467
H3-458,Habitation,Habitation multifamiliale,2021-05-12,-73.48219186820091,45.741886285224204
H1-080,Habitation,Habitation unifamiliale,2021-05-12,-73.48074384836337,45.7404386935189
P2-094,Communautaire,Communautaire,2021-05-12,-73.45072819959233,45.733682760973345
C8-079,Commerciale,Bureau,2021-05-12,-73.4808554862912,45.743771757323834
H3-459,Habitation,Habitation multifamiliale,2015-06-03,-73.47953422354138,45.74525049843963
C2-449,Commerciale,ArtÃ©riel lÃ©ger,2023-04-12,-73.47284355549803,45.71515663524992
C3-446,Commerciale,Commerce rÃ©gional,2023-04-12,-73.46917565054278,45.71752515145517
H1-460,Habitation,Habitation unifamiliale,2023-04-12,-73.39830700504908,45.78113465988868
H3-427,Habitation,Habitation multifamiliale,2015-06-03,-73.4003098945051,45.77914624186453
H1-057,Habitation,Habitation unifamiliale,2023-06-01,-73.46140592965946,45.72689723678113
C2-063,Commerciale,ArtÃ©riel lÃ©ger,2023-06-01,-73.45695534279683,45.72890916200198
A1-278,Agricole,Agricole,2023-09-05,-73.48821208129027,45.790642709237225
A1-273,Agricole,Agricole,2023-09-05,-73.49140138975986,45.78023778669779
P3-048,Communautaire,Infrastructure de transport,2015-06-03,-73.41855003065753,45.79191644362777
