Code de postes,Sous-section,Sujet,Facettes (exercice - type de données - consolidation - compétences - spécifique)
CPALB01733,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01736,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01738,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01739,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01740,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01741,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01743,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01744,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01745,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01747,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01749,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01750,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01751,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01752,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01754,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01755,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01756,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01758,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01760,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01761,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01762,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01763,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01765,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01766,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01767,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01768,S57,Calcul de certains revenus de taxes - Taxe d'affaires sur la valeur locative,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01904,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01905,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01906,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALB01907,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Taux adopté
CPALC01723,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01724,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01726,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01727,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01728,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01729,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01731,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01732,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01733,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01735,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01736,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01738,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01739,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01740,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01741,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01743,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01744,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01745,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01746,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01747,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01749,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01750,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01751,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01752,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01754,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01755,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01756,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01757,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01758,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01760,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01761,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01762,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01763,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01765,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01766,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01767,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01768,S57,Calcul de certains revenus de taxes - Taxe d'affaires sur la valeur locative,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01904,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01905,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01906,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALC01907,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Revenus bruts
CPALD01724,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01726,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01727,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01728,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01729,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01731,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01732,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01733,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01736,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01738,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01739,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01740,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01741,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01743,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01744,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01745,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01747,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01749,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01750,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01751,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01752,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01754,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01755,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01756,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01758,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux unique,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01760,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Résiduelle (résidentielle et autres),Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01761,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles de 6 logements ou plus,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01762,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01763,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles industriels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01765,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Terrains vagues desservis - Immeubles non résidentiels,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01766,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Terrains vagues desservis - Autres,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01767,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles agricoles,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01768,S57,Calcul de certains revenus de taxes - Taxe d'affaires sur la valeur locative,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01904,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01905,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01906,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALD01907,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement - Taux variés - Immeubles forestiers,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - À utiliser uniquement pour arrondir le montant de la colonne précédente
CPALE01723,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Crédits/Dégrèvements
CPALE01735,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Crédits/Dégrèvements
CPALE01746,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités de fonctionnement,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Crédits/Dégrèvements
CPALE01757,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Activités d'investissement,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Crédits/Dégrèvements
CPALE01768,S57,Calcul de certains revenus de taxes - Taxe d'affaires sur la valeur locative,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Crédits/Dégrèvements
CPALF01723,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxe foncière générale,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Dotation à la provision
CPALF01735,S57,Calcul de certains revenus de taxes - Taxes sur la valeur foncière - Taxes générales - Taxes spéciales - Service de la dette,Exercice en cours - Prévisionnel - Administration municipale - Nature locale - Dotation à la provision
