point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,OD_concentration,OD_pourc,MES,phos_total,azote_total,cot,Ag,Al,As,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Sn,Tl,U,V,Zn,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"IDS-4","Ruisseau aux Hérons, IDS","Verdun","Ruisseau aux Hérons","Émissaire du ruisseau aux Hérons vers le réseau pluvial, 75m au sud de l'inters. des ch. Golf et Club Marin","R","R","IDS-4   Ruisseau aux Hérons",2015-06-08T10:45:25,,"         17.4",906,7.7,"<",10,"          4.33","         45.00",3.4,63,20,8.07,0.1,18,0.7,38,0.1,77200,0.1,0.1,0.3,1,162,5080,19000,128,1,80200,0.6,0.2,0.5,0.5,1,0.2,0.3,0.2,3,20.5,0,0,20.5,0,2,"45.4604518333","-73.5537804117",300594.106,5035615.08
"MON-0.0","Ruisseau De Montigny","Montréal-Nord","Embouchure du ruisseau","Boul. Gouin E., 250m à l'ouest de l'ave Ozias-Leduc, effluent à la rivière des Prairies.","R","R","MON-0.0   Embouchure du ruisseau",2015-06-08T13:16:40,,"         15.6",373,8.1,"=",2100,"         10.50","        101.00",89,206,190,5.33,0.2,1740,1.1,46,0.1,48200,0.1,1.4,5.5,13.5,1890,3040,7270,68.6,1.5,87000,4,5.2,0.9,1.5,1,0.2,0.3,4.6,52,25.8,0,0,25.8,0,2,"45.6292967385","-73.6212094296",295349.158,5054384.76999999
"MON-4.0","Ruisseau De Montigny","Anjou","Rue Bombardier","Près de l'intersection du boul. Galerie D'Anjou et de la rue Bombardier.","R","R","MON-4.0   Rue Bombardier",2015-06-08T12:36:11,,"         17.8",718,8.3,"=",2400,"          7.30","         75.00",16.6,88,170,6.5,0.1,229,0.6,40,0.1,45700,0.1,0.4,1.2,4.7,471,2780,9270,31.6,1.2,82200,1.5,1.2,0.7,0.5,1,0.2,0.4,1.5,15,24.3,0,0,24.3,0,2,"45.6069163251","-73.5883539648",297908.196,5051894.21999999
"MON-i","Ruisseau De Montigny","Anjou","INDUSTRIEL ANJOU","350m au sud-est de l'inters. Renaude-Lapointe et du boul. Henri-Bourassa","R","R","MON-i   INDUSTRIEL ANJOU",2015-06-08T12:51:45,,"         15.9",610,8.3,"=",1500,"          9.37","         96.00",69,114,340,6.11,0.1,1390,0.9,40,0.1,43800,0.1,1.1,4.6,10.2,1450,3310,6570,47.9,1.4,77000,3,3.8,0.8,1.4,1,0.2,0.3,3.8,40,24.3,0,0,24.3,0,2,"45.6104555834","-73.5967252571",297255.692,5052288.29999998
"PAP-1","Marais du parc-nature de la Pointe-aux-Prairies","Rivière-des-Prairies-Pointe-aux-Trembles","P-N de la Pointe-aux-Prairies","Parc-nature de la Pointe-aux-Prairies, secteur de la rivière des Prairies, déversoir le plus à l'est","R","R","PAP-1   P-N de la Pointe-aux-Prairies",2015-06-08T14:22:29,,"         17.0",429,8.4,"=",72,"         10.03","        104.00",2.6,67,40,14.14,0.1,42,11.7,20,0.1,30700,0.1,0.2,2.6,4.5,105,2640,20400,23.3,1,34700,1,0.2,0.5,0.5,1,0.2,0.8,1.5,3,25.8,0,0,25.8,0,2,"45.690394475","-73.5204685299",303205.78,5061167.83999998
"PIN-0.0","Ruisseau Pinel","Rivière-des-Prairies-Pointe-aux-Trembles","embouchure du ruisseau","Boul. Gouin, 50m à l'est de la 87e ave, embouchure du ruisseau vers la rivière-des-Prairies.","R","R","PIN-0.0   embouchure du ruisseau",2015-06-08T13:45:24,,"         14.7",789,8,"=",5100,"          9.73","         96.00",37.8,92,50,8.02,0.1,545,0.5,40,0.1,73900,0.1,0.5,1.3,3.5,720,11600,19900,53,1.1,68300,2.1,1.5,0.5,0.5,1,0.2,0.4,1.5,8,25.8,0,0,25.8,0,2,"45.6722382412","-73.5413309745",301579.837,5059150.69
"CLA-0.0","Canal de Lachine","Lachine","Ch. Iroquois","Amont du pont du Ch.du Musée, côté sud du canal, effluent du lac St-Louis vers le canal, en amont de l'écluse.","R","R","CLA-0.0   Ch. Iroquois",2015-06-09T13:38:24,,"         18.9",170,8.7,"<",10,"         11.21","        120.00",4.1,30,20,5.22,0.1,148,0.5,19,0.1,18400,0.1,0.1,0.4,2.1,201,1130,4450,22.7,1,8280,0.7,0.2,0.5,0.5,1,0.2,0.2,0.7,3,0,25.8,0,25.8,-1,2,"45.4310100179","-73.6686715567",291602.188,5032355.66
"CLA-11.2","Canal de Lachine","Ville-Marie","Rue Commune Ouest","Parc du canal de Lachine, à l'intersection des rues Prince et de la Commune, en amont de l'écluse sur le quai.","R","R","CLA-11.2   Rue Commune Ouest",2015-06-09T14:51:07,,"         19.6",151,8.7,"<",10,"          9.40","        102.00",2.4,18,20,5.72,0.1,143,0.5,17,0.1,16300,0.1,0.1,0.4,1.9,206,1050,3760,15.6,1,7810,0.7,0.5,0.5,0.5,1,0.2,0.1,0.8,3,0,25.8,0,25.8,-1,2,"45.4955800961","-73.5522723127",300714.586,5039518.79999998
"CLA-1.8","Canal de Lachine","Lachine","Av. Saint-Pierre","Inters. Saint-Patrick et av. Dollard, est du pont Gauron, près de la caboose, sur le quai.","R","R","CLA-1.8   Av. Saint-Pierre",2015-06-09T13:50:51,,"         20.4",193,8.5,"=",27,"          9.49","        105.00",2.2,17,20,4.75,0.1,183,0.5,19,0.1,20500,0.1,0.1,0.6,1.9,210,1170,4940,15.6,1,8870,0.8,0.3,0.5,0.5,1,0.2,0.2,0.8,3,0,25.8,0,25.8,-1,2,"45.4414764604","-73.645099907",293448.665,5033515.19
"JAM-0.0","Ruisseau Saint-James","Beaconsfield","Embouchure du ruisseau","Boul. St-Charles sud à l'intersection de la rue Lakeshore, exutoire au lac St-Louis.","R","R","JAM-0.0   Embouchure du ruisseau",2015-06-09T11:14:52,,"         14.1",2156,8,"=",180,"          9.74","         95.00",1.7,33,40,3.66,0.1,57,0.3,63,0.1,131000,0.1,0.2,0.5,3.2,143,4970,34100,9.7,1.7,100000,1.7,0.2,0.5,0.5,1,0.2,1.2,0.7,31,0,25.8,0,25.8,-1,2,"45.4297174266","-73.8452884793",277782.07,5032256.16999998
"MEA-0.4","Ruisseau Meadowbrook","Beaconsfield","Av. Brookside","Beaconsfield, sur l'ave Brookeside, 60m au sud de l'allée Celtic dans le parc Brookside, en aval du ponceau piétonnier.","R","R","MEA-0.4   Av. Brookside",2015-06-09T10:55:53,,"         13.8",1367,7.9,"=",420,"          7.88","         77.00",4.4,40,3438,5.37,0.1,90,0.3,64,0.1,112000,0.1,0.5,0.3,11.5,219,4910,29700,82.4,2.9,100000,2.3,0.5,0.5,0.5,1,0.2,1.5,0.7,10,0,25.8,0,25.8,-1,2,"45.4251916856","-73.8703693824",275817.239,5031761.96
"TER-0.6","Ruisseau Terra-Cotta","Pointe-Claire","Rue Glanlynn","Parc Terra-Cotta,  extrémité nord de la rue Glanlynn","R","R","TER-0.6   Rue Glanlynn",2015-06-09T11:51:21,,"         15.7",1071,8.2,"=",99,"          7.91","         80.00",2.8,45,20,3.35,0.1,183,0.4,42,0.1,82700,0.1,0.2,0.6,3.1,186,4720,20200,4.5,2.5,100000,1.6,0.2,0.5,0.5,1,0.2,1.4,1.2,8,0,25.8,0,25.8,-1,2,"45.4511030275","-73.8041862862",281007.2,5034619.75
"AAO-0.0","Rivière à l'Orme","Pierrefonds-Roxboro","Embouchure de la rivière","Pierrefonds, boul. Gouin O, 40m au nord de la rue de l'Anse à l'Orme, exutoire au lac des Deux Montagnes.","R","R","AAO-0.0   Embouchure de la rivière",2015-06-18T10:48:04,,"         15.1",1218,7.8,"=",240,"          7.36","         73.00",8.2,54,60,4.81,0.1,333,0.5,70,0.1,105000,0.1,0.4,0.9,2.4,548,3860,32500,44.2,3,100000,2.5,0.7,0.5,0.5,1,0.2,1.7,1.3,3,0,0,24.2,24.2,-2,3,"45.4502113278","-73.9370663453",270613.07,5034568.57
"AAO-3.3P6","Rivière à l'Orme","Kirkland","Rue Timberlea-Trail","Kirkland, 60m au sud de l'intersection des rues de l'Anse à l'Orme et de Timberley trail, derrière le dépôt à neige.","R","R","AAO-3.3P6   Rue Timberlea-Trail",2015-06-18T11:02:15,,"         14.1",1331,7.7,"=",360,"         10.15","         99.00",2.6,30,60,2.43,0.1,53,0.3,56,0.1,132000,0.1,0.2,0.3,2.2,184,4030,34200,35.8,2.2,99100,2.1,0.2,0.5,0.5,1,0.2,1.8,0.6,3,0,0,24.2,24.2,-2,3,"45.4368858312","-73.901469758",273390.008,5033073.2
"AAO-3.5","Rivière à l'Orme","Sainte-Anne-de-Bellevue","Ch. Sainte-Marie","Sainte-Anne-de-Bellevue, 10m au nord du ch. Ste-Marie, 200m à l'ouest du ch. Anse à l'Orme.","R","R","AAO-3.5   Ch. Sainte-Marie",2015-06-18T11:06:11,,"         14.5",1454,7.9,"=",72,"          9.78","         96.00",2.8,28,40,3.56,0.1,92,0.3,82,0.1,112000,0.1,0.3,0.3,1,255,3310,35700,23.8,3.4,100000,2.5,0.2,0.5,0.5,1,0.2,1.8,0.6,3,0,0,24.2,24.2,-2,3,"45.4356405523","-73.9014441318",273391.322,5032934.79999998
"AAO-3.6","Rivière à l'Orme","Baie d'Urfé","Av. Lee","Beaconsfield, 250m à l'est de la rue Lee et 25m au sud de l'autoroute 40, en amont du pluvial.","R","R","AAO-3.6   Av. Lee",2015-06-18T11:32:45,,"         15.5",1370,7.9,"=",90,"          9.44","         95.00",4.2,33,40,3.4,0.1,113,0.3,80,0.1,108000,0.1,0.2,0.3,0.8,250,2620,33500,20,3.1,100000,2.4,0.2,0.5,0.5,1,0.2,1.5,0.6,3,0,0,24.2,24.2,-2,3,"45.4346279405","-73.9012199472",273408.301,5032822.17999999
"AAO-6.4P12","Rivière à l'Orme","Baie d'Urfé","Boul. Morgan côté E","Baie d'Urfée, boul. Morgan côté est, 250m au sud de l'autoroute 40,  affluent provenant des zones résidentilelles de Baie d'Urfé.","R","R","AAO-6.4P12   Boul. Morgan côté E",2015-06-18T11:25:00,,"         17.0",1935,7.7,"=",99,"         11.99","        120.00",6.9,9,20,2,0.1,81,0.2,60,0.1,139000,0.1,0.2,0.3,0.9,141,2980,43800,3.2,4.6,100000,3.2,0.2,0.5,0.5,1,0.2,2.2,0.4,3,0,0,24.2,24.2,-2,3,"45.4253538404","-73.915474789",272287.669,5031797.21999999
"BER-3.7","Ruisseau Bertrand","Dorval","voie d'accès A40","Boul. Hymus près voie d'accès A40, ponceau côté nord du boul. Hymus","R","R","BER-3.7   voie d'accès A40",2015-07-07T11:21:57,,"         25.0",378,8.5,"=",40000,"          6.25","         76.00",44,177,380,23.58,0.1,532,0.7,44,0.1,38100,0.2,0.7,2.9,19,1120,1930,6400,74.5,21.5,28800,4.5,5.7,1.4,0.5,1,0.2,0.1,3.3,86,0,0,0,0,1,3,"45.4887623847","-73.7666005327",283960.959,5038794.38999999
"DEN-0.0","Ruisseau Denis","Pointe-Claire","Embouchure du ruisseau","Embouchure du ruisseau à la Baie de Valois, face au boul. Des Sources.","R","R","DEN-0.0   Embouchure du ruisseau",2015-07-07T13:38:29,,"         20.8",1364,8.1,"=",21000,"          9.97","        112.00",14.8,56,80,8.15,0.1,237,0.4,63,0.1,92800,0.1,0.6,0.9,4,492,4160,21800,23.4,2.5,100000,2.4,0.8,0.5,0.5,1,0.2,0.7,1.3,19,0,0,0,0,1,3,"45.4452824596","-73.7788021061",282990.453,5033965.71
"DEN-3.2","Ruisseau Denis","Pointe-Claire","Ch. Aviation","Rue de l'Aviation, 300m à l'est du boul. des Sources","R","R","DEN-3.2   Ch. Aviation",2015-07-07T13:10:46,,"         21.6",1001,8.1,"=",8000,"          7.58","         87.00",27,121,380,16.45,0.1,425,0.5,49,0.1,75800,0.1,0.7,4.5,12,808,3600,16300,40.2,1.9,100000,2.8,2.1,0.9,0.5,1,0.2,0.5,2.7,55,0,0,0,0,1,3,"45.4699534797","-73.7861966608",282421.768,5036709.42999999
"IDS-1","Lac Lacoursière","Verdun","Rue Savoyanne","Île des Soeurs, chemin du Golf, rue de la Savoyane, lac du parc Lacoursière, muret près du garde fou .","R","R","IDS-1   Rue Savoyanne",2015-07-15T10:49:27,,"         23.7",546,8,"=",18,"          4.34","         51.00",0.5,15,20,6.18,0.1,34,0.6,48,0.1,54300,0.1,0.1,0.3,0.6,35,1300,15800,21.5,1,34100,0.5,0.2,0.5,0.5,1,0.2,0.2,0.3,3,0,0,0,0,1,3,"45.4652017939","-73.5499612987",300893.108,5036142.74
"PIN-0.0","Ruisseau Pinel","Rivière-des-Prairies-Pointe-aux-Trembles","embouchure du ruisseau","Boul. Gouin, 50m à l'est de la 87e ave, embouchure du ruisseau vers la rivière-des-Prairies.","R","R","PIN-0.0   embouchure du ruisseau",2015-07-15T14:02:44,"À sec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,3,"45.6722382412","-73.5413309745",301579.837,5059150.69
"BOU-0.0","Ruisseau Bouchard","Dorval","Embouchure du ruisseau","Amont ponceau de la rue Sévigny sortie du ruisseau au lac St-Louis.","R","R","BOU-0.0   Embouchure du ruisseau",2015-07-28T12:06:42,,"         22.7",1239,8.1,"=",1100,"          7.27","         85.00",11.8,43,80,8.77,0.1,260,0.7,64,0.1,80600,0.1,0.5,0.8,3.6,750,6970,21900,69.1,3.8,100000,2.7,1.2,0.5,0.5,1,0.2,1,1.4,12,0,1,3.4,4.4,-1,3,"45.4390041953","-73.7254882114",287159.024,5033254.94
"BOU-2.9","Ruisseau Bouchard","Dorval","Branche ouest venant d'ADM","Nord de l'ave.Marshall, embranchement ouest provenant de l'aéroport de Dorval.","R","R","BOU-2.9   Branche ouest venant d'ADM",2015-07-28T09:35:44,,"         21.2",1561,7.6,"=",400,"          4.85","         55.00",15,60,240,12.17,0.1,356,0.9,81,0.1,92800,0.1,0.7,1.2,3.5,1060,10200,21500,87.4,4.5,100000,3.7,0.9,0.5,0.5,1,0.2,1.6,1.9,16,0,1,3.4,4.4,-1,3,"45.4572489455","-73.7387149001",286130.259,5035285.45
"CLA-0.0","Canal de Lachine","Lachine","Ch. Iroquois","Amont du pont du Ch.du Musée, côté sud du canal, effluent du lac St-Louis vers le canal, en amont de l'écluse.","R","R","CLA-0.0   Ch. Iroquois",2015-07-28T13:13:52,,"         26.2",262,8.7,"=",18,"         11.45","        120.00",1.3,14,20,3.85,0.1,45,0.7,23,0.1,28000,0.1,0.1,0.3,2.2,65,1400,7550,14.4,1,14500,0.6,0.2,0.5,0.5,1,0.2,0.3,0.4,3,0,1,3.4,4.4,-1,3,"45.4310100179","-73.6686715567",291602.188,5032355.66
"CLA-6.6","Canal de Lachine","Le Sud-Ouest","Boul. Monk","Rue Saint-Patrick, 125m au nord-est de l'inters. avec boul. Monk, près de la rampe de mise à l'eau.","R","R","CLA-6.6   Boul. Monk",2015-07-28T14:00:11,,"         24.9",272,8.4,"=",18,"         10.20","        120.00",2.1,14,20,3.55,0.1,63,0.7,25,0.1,30000,0.1,0.1,0.3,1.8,83,1560,7720,9.2,1,13900,0.7,0.2,0.5,0.5,1,0.2,0.3,0.5,3,0,1,3.4,4.4,-1,3,"45.4648332478","-73.5960034778",297292.635,5036105.05999999
"MEA-0.4","Ruisseau Meadowbrook","Beaconsfield","Av. Brookside","Beaconsfield, sur l'ave Brookeside, 60m au sud de l'allée Celtic dans le parc Brookside, en aval du ponceau piétonnier.","R","R","MEA-0.4   Av. Brookside",2015-07-28T10:33:53,,"         18.8",1378,7.8,"=",2600,"          9.95","        108.00",2.6,28,50,3.58,0.1,66,0.3,67,0.1,123000,0.1,0.2,0.3,3.2,175,3690,31100,18.9,3.6,100000,2.6,0.3,0.5,0.5,1,0.2,1.7,0.8,11,0,1,3.4,4.4,-1,3,"45.4251916856","-73.8703693824",275817.239,5031761.96
"BER-4.6","Ruisseau Bertrand","Saint-Laurent","Bassin rétention","Nord du ch. St-François et 330 m à l'est de l'ave André, amont bassin de rétention","R","R","BER-4.6   Bassin rétention",2015-07-07T12:06:37,,"         24.6",301,8.2,">",60000,"          7.23","         87.00",204,800,500,27.88,0.1,2590,1.7,76,0.2,52000,0.4,2.9,8.4,34.1,4540,2730,9680,137,3,22600,9.4,13.2,1.5,0.5,1,0.2,0.3,9.6,189,0,0,0,0,1,3,"45.4816607033","-73.7729858795",283459.162,5038006.86
"AAO-6.5","Rivière à l'Orme","Baie d'Urfé","Boul. Morgan côté O","Baie d'Urfée, boul.Morgan côté ouest, 250m au sud de l'A40.","R","R","AAO-6.5   Boul. Morgan côté O",2015-06-18T11:20:02,,"         18.8",700,8.1,"<",10,"         11.18","        120.00",1.8,55,40,6.05,0.1,56,0.4,39,0.1,69900,0.1,0.1,0.3,0.7,103,2710,21600,9.7,2,43100,1.7,0.2,0.5,0.5,1,0.2,1.4,1,3,0,0,24.2,24.2,-2,3,"45.4254275852","-73.9156477354",272274.178,5031805.49
"CON-0.0","Ruisseau O'Connell","Pierrefonds-Roxboro","Embouchure du ruisseau","80m à l'est de la rue Morandière, en aval du boul.Gouin.","R","R","CON-0.0   Embouchure du ruisseau",2015-06-18T10:36:14,,"         19.4",890,7.8,"=",100,"          8.89","         97.00",15.4,70,60,6.63,0.1,448,1,68,0.1,98600,0.1,0.6,0.8,1.2,671,4830,35500,45.8,4.3,38100,3.8,0.5,0.5,0.5,1,0.2,1.6,1.7,3,0,0,24.2,24.2,-2,3,"45.4604326508","-73.9071136491",272961.694,5035692.16
"CPI-0.0","Ruisseau Château-Pierrefonds","Pierrefonds-Roxboro","Embouchure du fossé","Pierrefonds, boul.Gouin ouest, 450m à l'ouest de l'ave. Château-Pierrefonds, en aval du dépôt à neige.","R","R","CPI-0.0   Embouchure du fossé",2015-06-18T10:28:14,,"         14.2",1325,7.7,"=",9000,"          9.57","         94.00",3.3,51,80,1.89,0.1,61,0.2,60,0.1,133000,0.1,0.2,0.3,0.9,117,3070,37600,11.3,1.5,83900,2.9,0.2,0.5,0.5,1,0.2,1.2,0.4,3,0,0,24.2,24.2,-2,3,"45.4613786452","-73.900432332",273484.73,5035794.66
"PIB-2","Marécage du parc-nature du Bois-de-l'Île-Bizard","L'Île-Bizard-Sainte-Geneviève","P-N du Boisé-de-l'Île-Bizard","Parc-Nature de l'île-Bizard, secteur des observatoires, sur la passerelle, au centre du marais.","R","R","PIB-2   P-N du Boisé-de-l'Île-Bizard",2015-06-18T09:31:08,,"         22.4",207,8.3,"<",10,"         10.63","        120.00",1.6,24,20,11.25,0.1,21,2.5,21,0.1,23000,0.1,0.1,0.3,0.5,59,91,8630,7.8,1,3210,0.5,0.2,0.5,0.5,1,0.2,0.1,0.5,3,0,0,24.2,24.2,-2,3,"45.5134702781","-73.8902867451",274306.272,5041579.71
"ADM-1","Marais du parc-nature des Sources","Dorval","Marais du parc-nature des Sources","Futur PN des Sources, 375m au sud de l'inters.av. Marie-Curie et rue Alexander-Fleming","R","R","ADM-1   Marais du parc-nature des Sources",2015-07-07T11:55:18,,"         24.8",285,8.2,"=",36,"          8.56","        103.00",2.4,20,40,9.36,0.1,25,0.7,14,0.1,31800,0.1,0.1,0.3,0.5,180,228,9650,36.3,1,11000,0.5,0.2,0.5,0.5,1,0.2,0.1,0.2,3,0,0,0,0,1,3,"45.4746751642","-73.7631567222",284225.02,5037227.99
"BER-0.0","Ruisseau Bertrand","Ahuntsic-Cartierville","P-N du Bois-de-Liesse","R.Bertrand, exutoire à la rivière des Prairies, ponceau de l'ave. du Ruisseau","R","R","BER-0.0   P-N du Bois-de-Liesse",2015-07-07T10:14:17,,"         19.9",1878,7.8,"=",240,"          7.80","         63.00",0.5,12,50,3.05,0.1,34,0.3,86,0.1,148000,0.1,0.1,0.3,0.7,176,4030,32200,24.1,1.3,100000,1.6,0.2,0.5,0.5,1,0.2,0.9,0.4,3,0,0,0,0,1,3,"45.5116556787","-73.7554416029",284841.296,5041335.7
"BER-0.7P1","Ruisseau Bertrand","Ahuntsic-Cartierville","Rue Camille","Montréal, PN Bois-de-Liesse, O rue Camille, N  chemin de fer","R","R","BER-0.7P1   Rue Camille",2015-07-07T10:41:04,,"         17.6",952,8.2,"=",910,"          8.51","         89.00",1.3,42,60,2.54,0.1,43,0.4,37,0.1,90900,0.1,0.1,0.3,1.8,94,3660,20500,7.1,1.3,63100,1.3,0.2,0.5,0.5,1,0.2,0.9,0.3,3,0,0,0,0,1,3,"45.5076747232","-73.7536315987",284981.322,5040892.84999999
"BER-1.2","Ruisseau Bertrand","Pierrefonds-Roxboro","Boul. Pitfield","Pierrefonds, PN Bois-de-Liesse, en amont du ponceau principal de la piste cyclable.","R","R","BER-1.2   Boul. Pitfield",2015-07-07T10:26:27,,"         17.1",2480,7.8,"=",150,"          7.28","         76.00",4.2,19,140,9.68,0.1,49,0.3,117,0.1,191000,0.1,0.3,0.3,1.7,496,4820,39200,93.6,1.2,100000,1.8,0.9,0.5,0.5,1,0.2,0.8,0.3,9,0,0,0,0,1,3,"45.504964513","-73.7620128147",284325.434,5040593.75999999
"BER-3.3","Ruisseau Bertrand","Dorval","Boul. St-Régis","Voie de service de l'A. 40 ouest, 400m à l'est de la rue Sunnybrook","R","R","BER-3.3   Boul. St-Régis",2015-07-07T11:03:47,,"         16.6",1930,8.1,"=",270,"          8.01","         83.00",66,186,270,14.81,0.1,724,0.7,106,0.1,127000,0.2,1,7,25.6,2690,4880,28100,125,3.1,100000,3.8,4.4,1.8,0.5,1.3,0.2,0.5,4.4,104,0,0,0,0,1,3,"45.4899301463","-73.769125548",283764.024,5038924.82
"BRE-1","Bassin du Suet (Lac-E)","Saint-Laurent","Rue des Andes","Rue des Andes, 75m à l'est de la rue Modigliani","R","R","BRE-1   Rue des Andes",2015-07-07T09:41:44,,"         25.0",373,8.5,"<",10,"         10.70",,0.8,7,20,5.11,0.1,38,0.2,28,0.1,30800,0.1,0.1,0.3,1.7,33,14000,13400,4,5.4,15200,3.8,0.2,0.5,0.5,1,0.2,0.8,0.2,3,0,0,0,0,1,3,"45.5104493082","-73.7168064567",287859.657,5041192.75999999
"BRU-1","Bassin de La Brunante","Saint-Laurent","Boulevard Poirier","Parc Marcel Laurin,  bassin de la Brunante, boul. Poirier,  S des Harfangs, au pied du gazébo.","R","R","BRU-1   Boulevard Poirier",2015-07-07T09:33:18,,"         25.2",572,8.2,"=",99,"          8.59","        105.00",5.2,25,90,5.25,0.1,51,0.5,43,0.1,47800,0.1,0.2,0.3,0.5,88,4580,15800,23,1.1,36500,0.8,0.2,0.5,0.5,1,0.2,0.2,0.3,3,0,0,0,0,1,3,"45.5099765705","-73.7077803601",288564.782,5041138.36
"CEN-1","Bassin du parc Centenaire William Cosgrove","Dollard-des Ormeaux","Effluent du bassin","Parc du Centenaire, rive est, exutoire du bassin","R","R","CEN-1   Effluent du bassin",2015-07-07T14:03:19,,"         26.0",960,8.1,"=",210,"         12.93",,25.2,79,50,6.39,0.1,200,0.5,45,0.1,67700,0.1,0.3,0.3,1.2,354,2720,17300,19,1.1,91400,2,0.4,0.5,0.5,1,0.2,0.7,0.9,3,0,0,0,0,1,3,"45.488546377","-73.8106049054",280521.23,5038782.74
"DEN-0.8P1","Ruisseau Denis","Dorval","Rue Belmont","Rue Belmont, 200m à l'est du boul. des Sources, branche secondaire provenant de dépôts à neige","R","R","DEN-0.8P1   Rue Belmont",2015-07-07T13:23:57,,"         27.1",924,7.9,"=",820,"         10.99",,16,55,50,8.97,0.1,478,1.2,55,0.1,76100,0.1,0.5,4.1,2.1,709,11300,20000,31.3,8.3,80600,4.6,0.5,0.5,0.5,1,0.2,1.2,2.8,3,0,0,0,0,1,3,"45.4571451324","-73.7798862479",282910.234,5035284.29999998
"DEN-2.6","Ruisseau Denis","Dorval","Av. Reverchon","Rue Reverchon, 100m à l'est du cr. Newman","R","R","DEN-2.6   Av. Reverchon",2015-07-07T12:56:44,,"         23.1",827,8.3,"=",37000,"          7.72","         91.00",42,156,410,18.2,0.1,660,0.6,40,0.1,54100,0.1,0.8,3.4,11.6,1090,2990,11100,44.6,2,85300,3,2.8,0.8,0.5,1,0.2,0.4,3.5,57,0,0,0,0,1,3,"45.4660700012","-73.7801656599",282891.839,5036276.2
"PAQ-1","Étang du parc Dr-Bernard-Paquet","Saint-Laurent","Rue Jean-Gascon","Inters. Av. Félix-Leclerc et rue Jean-Gascon, parc du Dr.-B.-Paquet, sur la passerelle.","R","R","PAQ-1   Rue Jean-Gascon",2015-07-07T09:56:34,,"         21.6",311,8.5,"=",110,"          9.25","        105.00",1,13,50,2.69,0.1,59,0.7,23,0.1,33500,0.1,0.1,0.3,0.5,94,1470,7990,6.3,1,15400,0.5,0.2,0.5,0.5,1,0.2,0.3,0.4,3,0,0,0,0,1,3,"45.5065149921","-73.7324652116",286634.882,5040758.96
"CAS-1","Lac aux Castors","Ville-Marie","Ch. Remembrance","Parc du Mont-Royal, effluent du lac des Castors, 100m à l'est de la rue Remembrance, près du chalet.","R","R","CAS-1   Ch. Remembrance",2015-07-15T10:20:27,,"         23.5",552,8.2,"<",10,"          9.93","        115.00",6.2,9,20,3.04,0.1,99,0.6,53,0.1,54500,0.1,0.2,0.3,1.7,104,3890,10100,6.6,1.8,42500,1.5,0.2,0.5,0.5,1,0.2,1.1,0.4,3,0,0,0,0,1,3,"45.4987859127","-73.5988369105",297075.705,5039878.49
"CGO-0.0","Coulée Grou","Rivière-des-Prairies-Pointe-aux-Trembles","Embouchure de la coulée","Coulée Grou, 300m à l'est de l'A40 et 150m au sud du boul.Gouin","R","R","CGO-0.0   Embouchure de la coulée",2015-07-15T14:41:35,"À sec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,3,"45.6973409611","-73.5046768769",304435.78,5061939.63999999
"IDS-2","Lac des Battures","Verdun","Boul. Forêt","Île des Soeurs, chemin de la Forêt, parc Adrien D-Archambault, sur la plate-forme de bois, lac des Battures.","R","R","IDS-2   Boul. Forêt",2015-07-15T11:17:40,,"         25.4",370,8.2,"=",140,"         13.56",,5.2,49,30,8.1,0.1,28,1.1,30,0.1,34500,0.1,0.1,0.3,0.6,47,4890,14500,99,1,19100,0.6,0.3,0.5,0.5,1,0.2,0.2,1,3,0,0,0,0,1,3,"45.4561003757","-73.5538839661",300585.683,5035131.5
"IDS-4","Ruisseau aux Hérons, IDS","Verdun","Ruisseau aux Hérons","Émissaire du ruisseau aux Hérons vers le réseau pluvial, 75m au sud de l'inters. des ch. Golf et Club Marin","R","R","IDS-4   Ruisseau aux Hérons",2015-07-15T11:03:27,,"         22.5",882,7.7,"<",10,"          1.80","         21.00",2.8,92,110,8.54,0.1,48,0.8,46,0.1,80500,0.1,0.1,0.3,0.6,113,5510,19400,270,1,70400,0.7,0.2,0.5,0.5,1,0.2,0.2,0.4,3,0,0,0,0,1,3,"45.4604518333","-73.5537804117",300594.106,5035615.08
"MON-0.0","Ruisseau De Montigny","Montréal-Nord","Embouchure du ruisseau","Boul. Gouin E., 250m à l'ouest de l'ave Ozias-Leduc, effluent à la rivière des Prairies.","R","R","MON-0.0   Embouchure du ruisseau",2015-07-15T13:36:53,,"         19.7",777,8.3,"=",110,"          8.68","         95.00",32.6,114,80,4.64,0.1,682,0.9,58,0.1,55100,0.1,0.7,3.2,6,1060,2920,11100,55.4,2.1,80400,2.8,2.5,0.5,0.5,1,0.2,0.4,2.5,19,0,0,0,0,1,3,"45.6292967385","-73.6212094296",295349.158,5054384.76999999
