point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,OD_concentration,OD_pourc,MES,phos_total,azote_total,cot,Ag,Al,As,Ba,Be,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,Pb,Sb,Se,Sn,Tl,U,V,Zn,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"BER-3.7","Ruisseau Bertrand","Dorval","voie d'accès A40","Boul. Hymus près voie d'accès A40, ponceau côté nord du boul. Hymus","R","R","BER-3.7   voie d'accès A40",2024-06-26T11:04:33,,"         20.2",980,7.8,"=",280,"          7.20","         79.00",22.7,66,100,,0.1,238,0.6,46,1.3,79300,0.1,0.5,0.8,3.1,685,3640,17400,53,2.1,99500,2.2,1.3,0.5,0.5,1,0.2,0.6,0.3,18,0,0,10.4,10.4,-2,3,"45.4887623847","-73.7666005327",283960.959,5038794.38999999
"BER-4.5P8","Ruisseau Bertrand","Saint-Laurent","Conduite technoparc","Rue Frederick-Banting, 325m à l'est de l'avenue André.","R","R","BER-4.5P8   Conduite technoparc",2024-06-26T11:23:35,,"         18.1",1080,7.8,"=",350,"          6.70","         72.00",5.5,32,130,,0.1,86,0.3,37,1.3,78300,0.1,0.5,0.4,3,257,4560,18500,55.8,2.5,118000,1.7,0.3,0.5,0.5,1,0.2,0.8,0.3,27,0,0,10.4,10.4,-2,3,"45.4814698463","-73.7722743259",283514.717,5037985.46
"BER-4.6","Ruisseau Bertrand","Saint-Laurent","Bassin rétention","Nord du ch. St-François et 330 m à l'est de l'ave André, amont bassin de rétention","R","R","BER-4.6   Bassin rétention",2024-06-26T11:32:53,,"         23.9",496,8.2,"=",820,"          9.00","        106.00",2.6,30,60,,0.1,68,0.4,26,1.3,33700,0.1,0.3,0.5,2.4,167,1930,6780,17.6,2.9,51600,1.1,0.3,0.5,0.5,1,0.2,0.4,0.3,9,0,0,10.4,10.4,-2,3,"45.4816607033","-73.7729858795",283459.162,5038006.86
"BRU-1","Bassin de La Brunante","Saint-Laurent","Boulevard Poirier","Parc Marcel Laurin,  bassin de la Brunante, boul. Poirier,  S des Harfangs, au pied du gazébo.","R","R","BRU-1   Boulevard Poirier",2024-06-26T09:03:01,,"         23.4",402,8.4,"=",1000,"         10.20","        119.00",19.2,57,20,,0.1,174,0.6,40,1.3,40500,0.1,0.3,0.3,1.3,270,3640,13300,21.9,1,19700,0.8,0.6,0.5,0.5,1,0.2,0.4,0.3,7,0,0,10.4,10.4,-2,3,"45.5099765705","-73.7077803601",288564.782,5041138.36
"CEN-1","Bassin du parc Centenaire William Cosgrove","Dollard-des Ormeaux","Effluent du bassin","Parc du Centenaire, rive est, exutoire du bassin","R","R","CEN-1   Effluent du bassin",2024-06-26T14:16:24,,"         24.0",602,8.4,"=",120,"         10.90","        129.00",12.7,80,100,,0.1,73,0.3,31,1.3,50300,0.1,0.2,0.4,5.1,162,2160,11900,16.1,1,50600,1.3,0.3,0.5,0.5,1,0.2,0.5,0.3,7,0,0,10.4,10.4,-2,3,"45.488546377","-73.8106049054",280521.23,5038782.74
"DEN-3.2","Ruisseau Denis","Pointe-Claire","Ch. Aviation","Rue de l'Aviation, 300m à l'est du boul. des Sources","R","R","DEN-3.2   Ch. Aviation",2024-06-26T12:02:52,,"         18.6",932,7.7,"=",1100,"          7.80","         84.00",9.2,79,40,,0.1,112,0.2,36,1.3,71100,0.1,6.1,0.6,7.6,242,4260,15100,20.9,2.2,97400,1.8,0.4,0.5,0.5,1,0.2,0.5,0.3,16,0,0,10.4,10.4,-2,3,"45.4699534797","-73.7861966608",282421.768,5036709.42999999
"LAF-1","Étang du parc Lafontaine","Le Plateau-Mont-Royal","Exutoire de l'étang","Intersection rue Cherrier et ave du Parc La Fontaine, sortie du bassin.","R","R","LAF-1   Exutoire de l'étang",2024-07-03T08:37:26,,"         24.1",292,8.7,"=",1700,"         10.70","        127.00",4.4,26,20,,0.1,29,0.7,23,1.3,30400,0.1,0.2,0.3,1.7,43,1670,8600,46.8,1,16000,0.5,0.5,0.5,0.5,1,0.2,0.3,0.3,7,0,1.1,0,1.1,-1,3,"45.5232984378","-73.5674130424",299533.827,5042600.04
"PAP-0.0","Marais du parc-nature de la Pointe-aux-Prairies","Rivière-des-Prairies-Pointe-aux-Trembles","Sortie du marais","Parc-nature de la Pointe-aux-Prairies, secteur de la rivière des Prairies, effluent vers la rivière des Prairies.","R","R","PAP-0.0   Sortie du marais",2024-07-03T13:44:13,,"         22.3",370,7.5,"=",90,"          5.20","         62.00",4.4,186,140,,0.1,77,0.7,29,1.3,39100,0.1,0.3,0.4,1.1,357,2590,14900,285,1,19200,0.9,0.4,0.5,0.5,1,0.2,0.3,0.3,7,0,1.1,0,1.1,-1,3,"45.6920285661","-73.522349053",303059.363,5061349.48
"PRO-2","Ruisseau Provost","Outremont","Ruisseau Provost","Av. Roskilde, 50m à l'est de l'av. Springgrove, parc Oakwood","R","R","PRO-2   Ruisseau Provost",2024-07-03T09:08:23,,"         14.0",1111,8.3,"<",10,"         10.30","        100.00",1.4,10,20,,0.1,31,0.3,67,1.3,80500,0.1,0.2,0.3,1.9,46,4020,9990,5.1,1.4,146000,0.7,0.4,1.6,1.1,1,0.2,0.5,0.3,7,0,1.1,0,1.1,-1,3,"45.5133281629","-73.6011948902",296893.46,5041494.80999999
"BOU-1.5P2","Ruisseau Bouchard","Dorval","Rue Guthrie","Rencontre des rues Lépine et Meloche, côté sud.","R","R","BOU-1.5P2   Rue Guthrie",2024-07-09T09:50:26,,"         18.5",2892,7.8,"=",1300,"          8.00","         86.00",3.6,23,160,,0.1,27,0.2,76,1.3,185000,0.1,0.4,0.3,1.4,244,8040,68500,44.2,1.8,353000,2.9,0.5,0.5,0.5,1,0.2,0.6,0.3,7,0,0,0,0,1,3,"45.4500566569","-73.7268568589",287055.414,5034483.49
"BOU-4.3","Ruisseau Bouchard","Dorval","Rue Hervé-Saint-Martin","Ponceau vers aire de déglaçage, O rue Hervé Saint-Martin","R","R","BOU-4.3   Rue Hervé-Saint-Martin",2024-07-09T08:50:46,,"         21.8",2330,7.9,"=",27,"          8.37","         96.00",5.6,24,50,,0.1,108,1,77,1.3,80800,0.1,0.5,0.6,2.3,692,13600,34300,40.8,4.7,359000,2.9,0.4,0.5,0.5,1,0.2,1.6,0.3,7,0,0,0,0,1,3,"45.4690351539","-73.7425587543",285833.586,5036596.15
"CLA-11.2","Canal de Lachine","Ville-Marie","Rue Commune Ouest","Parc du canal de Lachine, à l'intersection des rues Prince et de la Commune, en amont de l'écluse sur le quai.","R","R","CLA-11.2   Rue Commune Ouest",2024-07-09T14:42:19,,"         25.8",157,8,"=",36,"          7.80","         95.70",2.7,18,30,,0.1,92,0.5,18,1.3,16900,0.1,0.2,0.4,1.7,158,1060,3820,17.4,1,6870,0.6,1.7,0.5,0.5,1,0.2,0.2,0.3,7,0,0,0,0,1,3,"45.4955800961","-73.5522723127",300714.586,5039518.79999998
"JAM-0.0","Ruisseau Saint-James","Beaconsfield","Embouchure du ruisseau","Boul. St-Charles sud à l'intersection de la rue Lakeshore, exutoire au lac St-Louis.","R","R","JAM-0.0   Embouchure du ruisseau",2024-07-09T11:08:36,,"         24.5",184,8.7,"=",36,"          9.75","        116.00",4.9,22,10,,0.1,213,0.4,19,1.3,16300,0.1,0.3,0.6,1.4,304,982,3970,16.8,1,12300,0.8,0.3,0.5,0.5,1,0.2,0.2,0.3,7,0,0,0,0,1,3,"45.4297174266","-73.8452884793",277782.07,5032256.16999998
"TER-0.6","Ruisseau Terra-Cotta","Pointe-Claire","Rue Glanlynn","Parc Terra-Cotta,  extrémité nord de la rue Glanlynn","R","R","TER-0.6   Rue Glanlynn",2024-07-09T12:54:55,,"         18.8",1979,7.9,"=",220,"          7.07","         76.50",13.4,70,20,,0.1,218,0.5,71,1.3,147000,0.1,0.5,0.9,2.3,328,6180,38600,27,2.8,202000,2.6,0.5,0.5,0.5,1,0.2,1.5,0.4,9,0,0,0,0,1,3,"45.4511030275","-73.8041862862",281007.2,5034619.75
"BRU-1","Bassin de La Brunante","Saint-Laurent","Boulevard Poirier","Parc Marcel Laurin,  bassin de la Brunante, boul. Poirier,  S des Harfangs, au pied du gazébo.","R","R","BRU-1   Boulevard Poirier",2024-06-03T08:39:08,,"         22.4",443,8.3,"=",140,"         10.20","        117.00",16.3,49,20,,0.1,175,0.5,41,1.3,49900,0.1,0.3,0.6,1.5,269,3800,14400,22.3,1,21200,1,0.4,0.5,0.5,1,0.2,0.5,0.5,7,0,1.7,0.7,2.4,-1,2,"45.5099765705","-73.7077803601",288564.782,5041138.36
"CEN-1","Bassin du parc Centenaire William Cosgrove","Dollard-des Ormeaux","Effluent du bassin","Parc du Centenaire, rive est, exutoire du bassin","R","R","CEN-1   Effluent du bassin",2024-06-03T13:57:41,,"         26.8",885,8.2,"=",200,,,4.8,35,40,,0.1,67,0.5,47,1.3,71300,0.1,0.3,0.3,2,293,2750,18600,15.1,1.2,86500,1.8,0.5,0.5,0.5,1,0.2,0.9,0.3,7,0,1.7,0.7,2.4,-1,2,"45.488546377","-73.8106049054",280521.23,5038782.74
"DEN-0.0","Ruisseau Denis","Pointe-Claire","Embouchure du ruisseau","Embouchure du ruisseau à la Baie de Valois, face au boul. Des Sources.","R","R","DEN-0.0   Embouchure du ruisseau",2024-06-03T13:14:01,,"         19.5",1115,8.3,"=",290,"         10.10","        110.00",7,30,50,,0.1,125,0.4,40,1.3,77900,0.1,1.1,0.7,3,415,3860,18800,32.2,2,109000,1.4,0.4,0.5,0.5,1,0.2,0.6,0.3,13,0,1.7,0.7,2.4,-1,2,"45.4452824596","-73.7788021061",282990.453,5033965.71
"DEN-0.8P1","Ruisseau Denis","Dorval","Rue Belmont","Rue Belmont, 200m à l'est du boul. des Sources, branche secondaire provenant de dépôts à neige","R","R","DEN-0.8P1   Rue Belmont",2024-06-03T12:40:20,,"         27.0",943,7.9,"=",2100,"          8.70","        109.00",169,233,450,,0.1,4330,1.9,108,1.3,93100,0.1,3.3,6.9,8.1,5820,17200,28100,225,4.2,78800,8.5,4,0.5,0.6,1,0.2,1.6,9.2,52,0,1.7,0.7,2.4,-1,2,"45.4571451324","-73.7798862479",282910.234,5035284.29999998
"DEN-2.6","Ruisseau Denis","Dorval","Av. Reverchon","Rue Reverchon, 100m à l'est du cr. Newman","R","R","DEN-2.6   Av. Reverchon",2024-06-03T11:52:24,,"         17.5",899,7.9,"=",230,"         10.90","        114.00",4.4,32,60,,0.1,43,0.3,33,1.3,68700,0.1,5,0.4,4.1,182,2740,15100,17.2,1.7,92700,1.2,0.3,0.5,0.5,1,0.2,0.4,0.3,7,0,1.7,0.7,2.4,-1,2,"45.4660700012","-73.7801656599",282891.839,5036276.2
"PAQ-1","Étang du parc Dr-Bernard-Paquet","Saint-Laurent","Rue Jean-Gascon","Inters. Av. Félix-Leclerc et rue Jean-Gascon, parc du Dr.-B.-Paquet, sur la passerelle.","R","R","PAQ-1   Rue Jean-Gascon",2024-06-03T09:00:41,,"         17.9",305,7.7,"=",45,"          8.70","         92.00",1.8,13,30,,0.1,36,0.6,24,1.3,34500,0.1,0.1,0.3,1.1,88,1440,8180,10.4,1,15300,0.5,0.2,0.5,0.5,1,0.2,0.3,0.3,7,0,1.7,0.7,2.4,-1,2,"45.5065149921","-73.7324652116",286634.882,5040758.96
"ANG-2","Étang du parc Angrignon","Le Sud-Ouest","Sortie du bassin principal","Montréal, parc Angrignon, bassin principal, à la sortie de l'étang.","R","R","ANG-2   Sortie du bassin principal",2024-06-10T13:52:15,,"         20.1",356,8.6,"<",10,"          8.70","         96.00",1,15,30,,0.1,14,0.9,20,1.3,36700,0.1,0.1,0.3,0.6,15,1330,18200,14.8,1,9650,0.7,0.2,0.5,0.5,1,0.2,0.5,0.3,7,2.3,6.1,4.8,13.2,0,2,"45.4440053939","-73.5952183078",297351.293,5033790.38999999
"BOU-0.0","Ruisseau Bouchard","Dorval","Embouchure du ruisseau","Amont ponceau de la rue Sévigny sortie du ruisseau au lac St-Louis.","R","R","BOU-0.0   Embouchure du ruisseau",2024-06-10T10:43:36,,"         16.2",964,7.6,"=",2800,"          6.60","         68.00",11,39,250,,0.1,156,0.5,49,1.3,77300,0.1,0.5,0.8,3.2,581,8090,21000,61.8,3.4,97100,2.8,0.9,0.5,0.5,1,0.2,1.1,0.3,17,2.1,6.1,4.8,13,0,2,"45.4390041953","-73.7254882114",287159.024,5033254.94
"BOU-1.5P2","Ruisseau Bouchard","Dorval","Rue Guthrie","Rencontre des rues Lépine et Meloche, côté sud.","R","R","BOU-1.5P2   Rue Guthrie",2024-06-10T10:08:55,,"         16.0",488,7.7,"=",3500,"          7.80","         80.00",7.1,35,160,,0.1,128,0.3,21,1.3,40500,0.1,0.4,1,5,315,1890,8740,23.2,2.1,47200,5.3,0.9,0.6,0.5,1,0.2,0.2,0.3,24,2.1,6.1,4.8,13,0,2,"45.4500566569","-73.7268568589",287055.414,5034483.49
"BOU-2.1","Ruisseau Bouchard","Dorval","Rue Orly","Aval du ponceau de la rue Orly, 100m au nord de l'ave Guthrie.","R","R","BOU-2.1   Rue Orly",2024-06-10T10:03:02,,"         15.7",975,7.6,"=",730,"          6.60","         67.00",9.5,32,150,,0.1,127,0.4,52,1.3,76100,0.1,0.5,0.8,4.6,562,11700,20900,72.1,4.4,85800,3.1,0.7,0.5,0.5,1,0.2,1.3,0.4,23,2.1,6.1,4.8,13,0,2,"45.4523992742","-73.7310770289",286726.063,5034744.76999999
"BOU-2.9","Ruisseau Bouchard","Dorval","Branche ouest venant d'ADM","Nord de l'ave.Marshall, embranchement ouest provenant de l'aéroport de Dorval.","R","R","BOU-2.9   Branche ouest venant d'ADM",2024-06-10T09:44:42,,"         15.9",1016,7.6,"=",280,"          6.20","         63.00",6,25,130,,0.1,91,0.5,60,1.3,85600,0.1,0.7,0.6,4.7,560,9870,21700,84.5,4,88300,3.4,0.5,0.5,0.5,1,0.2,1.7,0.3,19,2.1,6.1,4.8,13,0,2,"45.4572489455","-73.7387149001",286130.259,5035285.45
"BOU-2.9P3","Ruisseau Bouchard","Dorval","Branche est, venant d'ADM","Nord de l'ave.Marshall, embranchement E. provenant de l'aéroport de Dorval.","R","R","BOU-2.9P3   Branche est, venant d'ADM",2024-06-10T09:49:29,,"         15.5",692,7.7,"=",570,"          8.50","         86.00",16.9,36,130,,0.1,213,0.3,38,1.3,58100,0.1,0.5,1,7,523,9970,14800,33.6,3.7,68900,3.1,1.5,0.7,0.5,1,0.2,0.7,0.4,29,2.1,6.1,4.8,13,0,2,"45.4573744838","-73.7379791186",286187.845,5035299.23
"CLA-0.0","Canal de Lachine","Lachine","Ch. Iroquois","Amont du pont du Ch.du Musée, côté sud du canal, effluent du lac St-Louis vers le canal, en amont de l'écluse.","R","R","CLA-0.0   Ch. Iroquois",2024-06-10T13:11:17,,"         19.7",234,8.2,"=",63,"          8.70","         95.00",2.2,25,40,,0.1,67,0.7,22,1.3,26200,0.1,0.1,0.3,1.2,128,1300,6360,18.6,1,10900,0.5,0.3,0.5,0.5,1,0.2,0.2,0.3,7,2.3,6.1,4.8,13.2,0,2,"45.4310100179","-73.6686715567",291602.188,5032355.66
"AAO-0.0","Rivière à l'Orme","Pierrefonds-Roxboro","Embouchure de la rivière","Pierrefonds, boul. Gouin O, 40m au nord de la rue de l'Anse à l'Orme, exutoire au lac des Deux Montagnes.","R","R","AAO-0.0   Embouchure de la rivière",2024-06-27T10:55:58,,"         17.4",992,7.6,"=",640,"          6.40","         66.00",3.8,49,100,,0.1,112,0.4,54,1.3,80300,0.1,0.3,0.6,2.2,220,3980,24400,19.5,3,92000,1.8,0.4,0.5,0.5,1,0.2,1.2,0.3,7,9.6,3.1,0,12.7,0,3,"45.4502113278","-73.9370663453",270613.07,5034568.57
"AAO-3.3P6","Rivière à l'Orme","Kirkland","Rue Timberlea-Trail","Kirkland, 60m au sud de l'intersection des rues de l'Anse à l'Orme et de Timberley trail, derrière le dépôt à neige.","R","R","AAO-3.3P6   Rue Timberlea-Trail",2024-06-27T11:07:58,,"         17.7",682,7.8,"=",12000,"          8.70","         92.00",8.2,46,60,,0.1,177,0.3,33,1.3,65700,0.1,0.4,0.8,3,297,3340,17200,33.3,1.8,50500,1.7,0.4,0.5,0.6,1,0.2,0.9,0.3,10,9.6,3.1,0,12.7,0,3,"45.4368858312","-73.901469758",273390.008,5033073.2
"AAO-3.5","Rivière à l'Orme","Sainte-Anne-de-Bellevue","Ch. Sainte-Marie","Sainte-Anne-de-Bellevue, 10m au nord du ch. Ste-Marie, 200m à l'ouest du ch. Anse à l'Orme.","R","R","AAO-3.5   Ch. Sainte-Marie",2024-06-27T11:15:11,,"         17.6",623,7.7,"=",2800,"          7.80","         82.00",9,46,50,,0.1,239,0.3,39,1.3,50100,0.1,0.4,0.8,2.2,333,2260,14000,22.6,2,56700,1.7,0.6,0.5,0.5,1,0.2,0.5,0.3,9,9.6,3.1,0,12.7,0,3,"45.4356405523","-73.9014441318",273391.322,5032934.79999998
"AAO-6.4P12","Rivière à l'Orme","Baie d'Urfé","Boul. Morgan côté E","Baie d'Urfée, boul. Morgan côté est, 250m au sud de l'autoroute 40,  affluent provenant des zones résidentilelles de Baie d'Urfé.","R","R","AAO-6.4P12   Boul. Morgan côté E",2024-06-27T11:29:16,,"         17.0",1075,7.6,"=",340,"          8.00","         85.00",1.4,17,20,,0.1,31,0.2,46,1.3,85600,0.1,0.2,0.7,1.2,64,2190,25300,18.6,3.1,88700,2.2,0.2,0.5,0.5,1,0.2,1.2,0.3,7,9.6,3.1,0,12.7,0,3,"45.4253538404","-73.915474789",272287.669,5031797.21999999
"AAO-6.5","Rivière à l'Orme","Baie d'Urfé","Boul. Morgan côté O","Baie d'Urfée, boul.Morgan côté ouest, 250m au sud de l'A40.","R","R","AAO-6.5   Boul. Morgan côté O",2024-06-27T11:23:59,,"         18.7",297,7.7,"=",8000,"          7.70","         82.00",2.6,63,90,,0.1,77,0.3,20,1.3,28500,0.1,0.2,0.3,2.2,147,1690,6540,13.1,1.4,20400,1.1,0.2,0.5,0.5,1,0.2,0.3,0.3,7,9.6,3.1,0,12.7,0,3,"45.4254275852","-73.9156477354",272274.178,5031805.49
"CON-0.0","Ruisseau O'Connell","Pierrefonds-Roxboro","Embouchure du ruisseau","80m à l'est de la rue Morandière, en aval du boul.Gouin.","R","R","CON-0.0   Embouchure du ruisseau",2024-06-27T10:44:01,,"         21.3",737,7.6,"=",350,"          6.60","         75.00",4.5,55,60,,0.1,47,0.8,70,1.3,74100,0.1,0.3,0.3,1,156,2890,28600,47.1,2.9,40500,2.1,0.2,0.5,0.5,1,0.2,1.1,0.3,7,9.6,3.1,0,12.7,0,3,"45.4604326508","-73.9071136491",272961.694,5035692.16
"CPI-0.0","Ruisseau Château-Pierrefonds","Pierrefonds-Roxboro","Embouchure du fossé","Pierrefonds, boul.Gouin ouest, 450m à l'ouest de l'ave. Château-Pierrefonds, en aval du dépôt à neige.","R","R","CPI-0.0   Embouchure du fossé",2024-06-27T10:37:07,,"         16.5",729,7.4,"=",11000,"          7.30","         76.00",2.1,45,90,,0.1,55,0.2,40,1.3,76600,0.1,0.3,0.3,2.4,78,2060,20300,13.3,1.1,48000,1.9,0.2,0.5,0.5,1,0.2,0.7,0.3,7,9.6,3.1,0,12.7,0,3,"45.4613786452","-73.900432332",273484.73,5035794.66
"PIB-2","Marécage du parc-nature du Bois-de-l'Île-Bizard","L'Île-Bizard-Sainte-Geneviève","P-N du Boisé-de-l'Île-Bizard","Parc-Nature de l'île-Bizard, secteur des observatoires, sur la passerelle, au centre du marais.","R","R","PIB-2   P-N du Boisé-de-l'Île-Bizard",2024-06-27T09:46:42,,"         23.1",268,7,"=",72,"          7.80","         92.00",1.4,38,20,,0.1,8,1.2,13,1.3,39000,0.1,0.2,0.7,11.8,246,235,9910,18.5,1,2610,0.5,0.2,0.5,0.5,1,0.2,0.1,0.3,7,9.4,3.1,0,12.5,0,3,"45.5134702781","-73.8902867451",274306.272,5041579.71
"CAS-1","Lac aux Castors","Ville-Marie","Ch. Remembrance","Parc du Mont-Royal, effluent du lac des Castors, 100m à l'est de la rue Remembrance, près du chalet.","R","R","CAS-1   Ch. Remembrance",2024-07-03T09:22:46,,"         24.1",492,8.7,"<",10,"         10.30","        122.00",1.2,11,20,,0.1,14,0.3,31,1.3,35800,0.1,0.2,0.3,1.3,23,3420,12300,3,1,44900,0.9,0.4,0.5,0.5,1,0.2,0.5,0.3,7,0,1.1,0,1.1,-1,3,"45.4987859127","-73.5988369105",297075.705,5039878.49
"CGO-0.0","Coulée Grou","Rivière-des-Prairies-Pointe-aux-Trembles","Embouchure de la coulée","Coulée Grou, 300m à l'est de l'A40 et 150m au sud du boul.Gouin","R","R","CGO-0.0   Embouchure de la coulée",2024-07-03T13:55:42,,"         20.5",689,7.5,"=",190,"          6.50","         72.00",12.2,176,140,,0.1,160,0.7,39,1.3,70200,0.1,0.6,0.8,1.5,1550,2190,25000,273,1,47400,1.7,1.7,0.5,0.7,1,0.2,0.5,0.3,7,0,1.1,0,1.1,-1,3,"45.6973409611","-73.5046768769",304435.78,5061939.63999999
"CLA-11.2","Canal de Lachine","Ville-Marie","Rue Commune Ouest","Parc du canal de Lachine, à l'intersection des rues Prince et de la Commune, en amont de l'écluse sur le quai.","R","R","CLA-11.2   Rue Commune Ouest",2024-06-10T14:43:00,,"         20.3",227,8.2,"=",54,"          8.90","         99.00",1.8,11,20,,0.1,68,0.6,21,1.3,25700,0.1,0.1,0.4,1.3,97,1270,6130,10.6,1,10600,0.6,0.4,0.5,0.5,1,0.2,0.2,0.3,7,2.3,6.1,4.8,13.2,0,2,"45.4955800961","-73.5522723127",300714.586,5039518.79999998
"CLA-6.6","Canal de Lachine","Le Sud-Ouest","Boul. Monk","Rue Saint-Patrick, 125m au nord-est de l'inters. avec boul. Monk, près de la rampe de mise à l'eau.","R","R","CLA-6.6   Boul. Monk",2024-06-10T14:13:07,,"         19.9",249,8.2,"=",27,"          9.10","         99.00",1.8,10,20,,0.1,57,0.6,23,1.3,28100,0.1,0.2,0.5,1.3,80,1330,6640,9.1,1,11600,0.7,0.3,0.5,0.5,1,0.2,0.3,0.3,7,2.3,6.1,4.8,13.2,0,2,"45.4648332478","-73.5960034778",297292.635,5036105.05999999
"JAM-0.0","Ruisseau Saint-James","Beaconsfield","Embouchure du ruisseau","Boul. St-Charles sud à l'intersection de la rue Lakeshore, exutoire au lac St-Louis.","R","R","JAM-0.0   Embouchure du ruisseau",2024-06-10T11:31:52,,"         15.0",917,7.8,"=",2300,"          9.00","         90.00",5.7,36,60,,0.1,111,0.3,38,1.3,69000,0.1,0.4,0.9,8,246,2910,16300,21.5,1.6,86200,1.7,0.6,0.6,0.5,1,0.2,0.6,0.4,15,2.1,6.1,4.8,13,0,2,"45.4297174266","-73.8452884793",277782.07,5032256.16999998
"MEA-0.4","Ruisseau Meadowbrook","Beaconsfield","Av. Brookside","Beaconsfield, sur l'ave Brookeside, 60m au sud de l'allée Celtic dans le parc Brookside, en aval du ponceau piétonnier.","R","R","MEA-0.4   Av. Brookside",2024-06-10T11:18:55,,"         16.0",525,7.7,"=",3000,"          8.50","         87.00",3.7,34,60,,0.1,68,0.3,30,1.3,49800,0.1,0.2,0.4,3.1,133,1870,11900,15.6,1.7,43500,1.4,0.4,0.5,0.5,1,0.2,0.5,0.3,9,2.1,6.1,4.8,13,0,2,"45.4251916856","-73.8703693824",275817.239,5031761.96
"SMI-0.8","Fossé Smith","Dorval","Fossé Smith","Boul. Montreal-Toronto, 150m à l'ouest de l'autoroute 520, entre le Terminus intermodal STM Dorval et le poste d'Hydro-Québec, près du rond-point et de la gare Dorval","R","R","SMI-0.8   Fossé Smith",2024-06-10T10:58:02,,"         16.6",1015,7.6,"=",200,"          8.80","         91.00",2.5,13,60,,0.1,23,0.3,61,1.3,102000,0.1,0.3,0.3,1.9,313,4760,18800,57.5,1.6,88200,1.4,0.2,0.5,0.5,1,0.2,0.3,0.3,14,2.1,6.1,4.8,13,0,2,"45.4478971799","-73.744202809",285697.897,5034247.48
"AAO-0.0","Rivière à l'Orme","Pierrefonds-Roxboro","Embouchure de la rivière","Pierrefonds, boul. Gouin O, 40m au nord de la rue de l'Anse à l'Orme, exutoire au lac des Deux Montagnes.","R","R","AAO-0.0   Embouchure de la rivière",2024-06-12T11:05:12,,"         14.7",1145,7.7,"=",63,"          8.00","         79.00",2.4,28,50,,0.1,51,0.5,65,1.3,99700,0.1,0.1,0.5,1.6,129,4040,33500,25.2,3.3,85900,2.1,0.3,0.5,0.5,1,0.2,1.5,0.3,7,0,0,2.3,2.3,-2,2,"45.4502113278","-73.9370663453",270613.07,5034568.57
"AAO-3.3P6","Rivière à l'Orme","Kirkland","Rue Timberlea-Trail","Kirkland, 60m au sud de l'intersection des rues de l'Anse à l'Orme et de Timberley trail, derrière le dépôt à neige.","R","R","AAO-3.3P6   Rue Timberlea-Trail",2024-06-12T11:24:27,,"         14.0",1486,7.9,"=",450,"          8.60","         84.00",1.5,37,100,,0.1,27,0.3,62,1.3,131000,0.1,0.3,0.3,2,206,5320,39100,62.6,2.4,125000,2.2,0.2,0.5,0.5,1,0.2,1.6,0.3,7,0,0,2.3,2.3,-2,2,"45.4368858312","-73.901469758",273390.008,5033073.2
"AAO-3.5","Rivière à l'Orme","Sainte-Anne-de-Bellevue","Ch. Sainte-Marie","Sainte-Anne-de-Bellevue, 10m au nord du ch. Ste-Marie, 200m à l'ouest du ch. Anse à l'Orme.","R","R","AAO-3.5   Ch. Sainte-Marie",2024-06-12T11:36:15,,"         12.7",1295,7.5,"=",72,"          7.30","         69.00",4.6,39,80,,0.1,83,0.5,72,1.3,106000,0.1,0.4,0.5,1.4,540,3920,35500,58.9,3.9,114000,2.6,0.3,0.5,0.5,1,0.2,1.6,0.3,7,0,0,2.3,2.3,-2,2,"45.4356405523","-73.9014441318",273391.322,5032934.79999998
"AAO-3.6","Rivière à l'Orme","Baie d'Urfé","Av. Lee","Beaconsfield, 250m à l'est de la rue Lee et 25m au sud de l'autoroute 40, en amont du pluvial.","R","R","AAO-3.6   Av. Lee",2024-06-12T12:08:13,,"         14.3",1225,7.9,"=",72,"          8.10","         80.00",3.6,25,40,,0.1,95,0.4,74,1.3,105000,0.1,0.3,0.3,1.2,215,2340,32800,28.6,3.7,109000,2.2,0.2,0.5,0.5,1,0.2,1.4,0.3,7,0,0,2.3,2.3,-2,2,"45.4346279405","-73.9012199472",273408.301,5032822.17999999
"AAO-6.5","Rivière à l'Orme","Baie d'Urfé","Boul. Morgan côté O","Baie d'Urfée, boul.Morgan côté ouest, 250m au sud de l'A40.","R","R","AAO-6.5   Boul. Morgan côté O",2024-06-12T11:49:19,,"         15.6",727,7.8,"=",550,"          8.70","         87.00",6.2,96,50,,0.1,87,0.6,36,1.3,70500,0.1,0.3,0.3,1.2,259,2420,20500,27.2,4.3,54200,1.7,0.3,0.5,0.5,1,0.2,1,0.3,7,0,0,2.3,2.3,-2,2,"45.4254275852","-73.9156477354",272274.178,5031805.49
