Type de location,Signataire (Nom),Adresse,Arrondissement,Date de début de bail,Date de fin de bail
Locataire,HYDRO-QUÉBEC,215A du Cap-Saint-Jacques (PFD,PIERREFONDS/ROXBORO,1980-06-18,2025-12-31
Locateur,Yolande Legault,"9434, boulevard Gouin O",SAINT-LAURENT,2010-01-01,2024-06-30
Locataire,HYDRO-QUÉBEC,2425A Boulevard  GouinE,AHUNTSIC / CARTIERVILLE,2017-06-01,2050-12-31
Locateur,James Katz,"292, Chemin Senneville (SNV)",SENNEVILLE,2009-07-01,2024-06-30
Locateur,François-Xavier Ouellette,"292, Chemin Senneville (SNV)",SENNEVILLE,2010-07-01,2024-06-30
Locateur,D-Trois-Pierres,295 Chemin  Senneville (SNV),SENNEVILLE,2023-01-01,2023-12-31
Locateur,Dominic Farrell,"297, Chemin Senneville (SNV)",SENNEVILLE,2009-07-01,2024-06-30
Locateur,Martha Mc Dougall,"297, Chemin Senneville (SNV)",SENNEVILLE,2010-01-01,2024-06-30
Locateur,Sébastien Legault,"9436, boulevard Gouin O",SAINT-LAURENT,2003-07-01,2024-06-30
Locateur,Société de transport Mtl (STM) Finances,"12001, rue Maurice-Duplessis",R-D-P / P-A-T,2014-07-01,2024-06-30
Locateur,Pizzeria No. 900 Bernard inc.  6813623 Canada inc.,"1248, avenue Bernard",OUTREMONT,2016-03-20,2026-03-31
Locataire,"Receveur General du Canada,CIUSSS Ouest de Mtl,CIUSSS OUEST-DE-MTL","305, des Anciens-Combattants",SAINTE-ANNE-DE-BELLEVUE,2007-12-01,2022-11-30
Emphytéose,Centre de la petite enfance    Tour à Tour (SIMPA),52 Rue  SherbrookeE,VILLE-MARIE,1985-11-06,2037-11-05
Emphytéose,Coop. Habit. Parc Marquette    Montréal,"5701, rue Boyer",ROSEMONT / PETITE-PATRIE,1983-01-10,2035-01-09
Emphytéose,Coop. Habit. Le Dolmen,"1617, rue Lepailleur",MERCIER/HOCHELAGA/ MAISONNEUVE,1983-06-09,2035-06-08
Emphytéose,Commission scolaire de Mtl,6220 Rue  Marquette,ROSEMONT / PETITE-PATRIE,1970-08-01,2033-07-31
Locateur,Centre de la petite enfance    KI-RI inc.,"2323, rue de Rouen",VILLE-MARIE,2013-01-01,2027-12-31
Emphytéose,Coop. Habit. Commu. La Source,"650, rue Sauvé",AHUNTSIC / CARTIERVILLE,1982-07-28,2034-07-27
Emphytéose,Les Centres Jeunesses de Mtl,"9335, rue Saint-Hubert",AHUNTSIC / CARTIERVILLE,1957-06-01,2056-05-31
Emphytéose,La Maison des Beaux Jours,550 Avenue  Atwater,SUD-OUEST,1990-05-10,2042-05-09
Locataire,L'Eveil de Pointe St-Charles,"2365, rue Coleraine",SUD-OUEST,1991-09-01,2043-08-31
Emphytéose,L'Abri de Pointe-Saint-Charles,"1657, rue Wellington",SUD-OUEST,1990-03-16,2042-03-15
Locataire,BELL MOBILITE INC.,"2080, avenue Harvard",COTE-DES-NEIGES / N-D-DE-GRACE,2013-05-01,2028-04-30
Locataire,Bell Mobilité Inc.,1 Place  Bellerive (SGV),Hors de Montréal,2013-05-01,2023-04-30
Locataire,Centre de Services Partages Qc,"11100, Ray-Lawson (ANJ)",ANJOU,2013-07-01,2023-06-30
Locataire,Aéroports de Montréal,90A  Hervé-Saint-Martin (SLR),SAINT-LAURENT,2023-01-01,2032-12-31
Locataire,"Agence metropolitaine de,Réseau Express Métropolitain",Rue  Camille,AHUNTSIC / CARTIERVILLE,2017-06-01,2050-12-31
Locataire,HYDRO-QUÉBEC,Rue  Camille,AHUNTSIC / CARTIERVILLE,1987-11-01,2025-12-31
Locateur,Location Bench & Table inc.,-,COTE-DES-NEIGES / N-D-DE-GRACE,2014-07-01,2024-06-30
Locataire,"S.T.C.U.M.,Société de transport Mtl (STM),Société de transport Mtl (STM)",4060 Rue  Saint-Jacques,SUD-OUEST,1998-04-01,2028-03-31
Locataire,Ministère des Transports,2220 Rue  Dickson,MERCIER/HOCHELAGA/ MAISONNEUVE,2000-07-01,2050-12-31
Locataire,Lafarge Canada Inc.,9999 Rue  SherbrookeE,MONTRÉAL-EST,2019-04-16,2025-04-16
Locateur,Carrefour ind. et expérimental de Lanaudière CIEL,"801, Route 344, l'Assomption",Hors de Montréal,2013-10-22,2027-10-21
Locateur,VILLE DE L'ASSOMPTION,"801, Route 344, l'Assomption",Hors de Montréal,2019-09-01,2029-08-31
Locataire,Adm portuaire de Montréal,-,MERCIER/HOCHELAGA/ MAISONNEUVE,1993-07-06,2021-12-31
Emphytéose,Parc Six Flags Montréal S.E.C.,999999,VILLE-MARIE,2001-05-01,2065-04-30
Locateur,Le Partenariat du Quartier des spectacles,999999,VILLE-MARIE,2016-07-19,2030-12-31
Locateur,Le Partenariat du Quartier des spectacles,999999,VILLE-MARIE,2020-07-01,2030-12-31
Locataire,"Chemin Fer St-Laurent & Hudson,Compagnie de chemin de fer du",Rue Clark,ROSEMONT / PETITE-PATRIE,2005-01-01,2030-12-31
Locataire,Pont Jacques-Cartier/Champlain,Autoroute Bonaventure,SUD-OUEST,1992-09-01,2024-08-31
Locataire,Provigo distribution inc.,Place Basile-Patenaude,ROSEMONT / PETITE-PATRIE,2013-01-01,2022-12-31
Locataire,Ministre des finances,Rue Notre-Dame E,MERCIER/HOCHELAGA/ MAISONNEUVE,2015-01-01,2029-12-31
Locataire,Adm portuaire de Montréal,Chemin des Moulins,VILLE-MARIE,1991-09-07,2027-08-31
Locataire,Pont Jacques-Cartier/Champlain,Autoroute Bonaventure,VILLE-MARIE,1991-06-01,2050-05-31
Locateur,Telus Corporation,-,PIERREFONDS/ROXBORO,2012-12-01,2027-11-30
Locataire,Adm portuaire de Montréal,Rue Notre-Dame E,MONTRÉAL-EST,2004-01-01,2043-12-31
Locataire,Adm portuaire de Montréal,Rue Notre-Dame E,MERCIER/HOCHELAGA/ MAISONNEUVE,2005-01-01,2028-12-31
Locataire,HYDRO-QUÉBEC,Rue Berri,AHUNTSIC / CARTIERVILLE,2015-01-01,2025-12-31
Locataire,HYDRO-QUÉBEC,Rue Notre-Dame E,R-D-P / P-A-T,2013-04-01,2027-03-31
Locataire,Canadien National,Boulevard Henri-Bourassa,R-D-P / P-A-T,2014-01-01,2023-12-31
Locataire,Adm portuaire de Montréal,Rue Notre-Dame,MERCIER/HOCHELAGA/ MAISONNEUVE,2007-03-01,2025-06-30
Locataire,Kreadar entreprises ltd,Rue Fullum,ROSEMONT / PETITE-PATRIE,1992-04-01,2030-12-31
Locataire,Adm portuaire de Montréal,Avenue Pierre-Dupuy,VILLE-MARIE,2005-02-01,2025-01-31
Locataire,M.E.F./Dir ress financières,-,R-D-P / P-A-T,1989-06-01,2035-05-31
Locataire,M.E.F./Dir ress financières,Rue Bellerive,MERCIER/HOCHELAGA/ MAISONNEUVE,1978-03-01,2028-02-28
Locataire,M.E.F./Dir ress financières,100e Avenue,R-D-P / P-A-T,1989-02-01,2039-01-31
Locataire,M.E.F./Dir ress financières,Boulevard Gouin E,R-D-P / P-A-T,1983-04-01,2050-12-31
Locataire,M.E.F./Dir ress financières,Rue Pierre-Mercure,R-D-P / P-A-T,1993-07-01,2050-12-31
Locataire,M.E.F./Dir ress financières,Boulevard Gouin E,R-D-P / P-A-T,1980-05-01,2030-12-31
Locataire,M.E.F./Dir ress financières,-,R-D-P / P-A-T,1986-12-01,2036-11-30
Locataire,M.E.F./Dir ress financières,Avenue de l' Alliance,AHUNTSIC / CARTIERVILLE,1991-04-01,2031-04-01
Locataire,C.G. Voie Maritime St-Laurent,-,VILLE-MARIE,1969-11-01,2069-10-31
Locataire,Ministre des finances,Rue de Rouen,MERCIER/HOCHELAGA/ MAISONNEUVE,2014-06-01,2074-05-31
Locataire,Canadien National,Rue Notre-Dame O,SUD-OUEST,1978-11-01,2028-10-31
Locataire,Adm portuaire de Montréal,Rue Notre-Dame E,MERCIER/HOCHELAGA/ MAISONNEUVE,2005-10-01,2028-12-31
Locataire,Ministre des finances,Chemin du Bord-du-Lac (IBZ),L'ÎLE-BIZARD / STE-GENEVIÈVE,2014-01-15,2024-01-14
Locataire,C.G. Voie Maritime St-Laurent,-,VILLE-MARIE,1977-03-01,2027-02-28
Locataire,Pont Jacques-Cartier/Champlain,-,VILLE-MARIE,2002-02-25,2065-04-30
Locataire,Pont Jacques-Cartier/Champlain,Autoroute Bonaventure,SUD-OUEST,1990-02-01,2040-01-31
Locataire,Pont Jacques-Cartier/Champlain,Autoroute Bonaventure,SUD-OUEST,2002-02-01,2042-01-31
Locataire,Pont Jacques-Cartier/Champlain,Autoroute Bonaventure,SUD-OUEST,1992-12-01,2032-11-30
Locataire,Pont Jacques-Cartier/Champlain,Autoroute Bonaventure,SUD-OUEST,1992-09-15,3000-09-14
Locateur,Société de transport Mtl (STM) Finances,Boulevard Henri-Bourassa,AHUNTSIC / CARTIERVILLE,1994-11-04,2034-11-03
Locataire,Receveur general du Canada,Rue De Montmorency,SUD-OUEST,1985-07-01,2043-12-31
Locataire,Receveur general du Canada,Boulevard Saint-Joseph (LCH),LACHINE,1931-08-01,2043-12-31
Locataire,Receveur general du Canada,Rue Philippe-Turcot,SUD-OUEST,1974-07-01,2043-11-23
Locataire,Receveur general du Canada,Avenue Atwater,SUD-OUEST,1973-07-01,2043-12-31
Locataire,Ville Mont-Royal,"350, Croissant Geneva (MTR)",MONT-ROYAL,1964-02-10,2024-02-09
Locataire,Ville Mont-Royal,"5900, rue Ferrier (MTR)",MONT-ROYAL,1962-08-10,2043-08-11
Locataire,Receveur general du Canada,"5001, rue Saint-Patrick",SUD-OUEST,1973-02-01,2033-01-31
Locataire,Receveur general du Canada,Avenue Atwater,SUD-OUEST,1971-01-01,2050-12-31
Locataire,Receveur general du Canada,Rue Beaulieu,SUD-OUEST,1961-02-01,2050-12-31
Locataire,Receveur general du Canada,Rue Saint-Ambroise,SUD-OUEST,1984-01-01,2024-12-31
Locateur,Société de transport Mtl (STM) Finances,Boulevard Henri-Bourassa E,AHUNTSIC / CARTIERVILLE,1994-11-04,2034-11-03
Locataire,Compagnie de chemin de fer du canada,-,Autre ou multiple,2005-01-01,2024-12-31
Locataire,Canadien National,-,Autre ou multiple,1997-01-01,2030-12-31
Locataire,"Agence metropolitaine de,Réseau de transport",53e Avenue,Autre ou multiple,2006-01-01,2025-12-31
Locataire,Adm portuaire de Montréal,Rue Notre-Dame E,Autre ou multiple,2014-07-01,2024-06-30
Locataire,Societe Vieux Port Montreal,Rue de la Commune,VILLE-MARIE,1984-01-01,2050-12-31
Locateur,Université du Québec,Avenue Henri-Julien,PLATEAU MONT-ROYAL,1999-06-01,2026-05-31
Locataire,Adm portuaire de Montréal,Rue Notre-Dame E,MONTRÉAL-EST,2006-01-01,2015-12-31
Locataire,Societe Vieux Port Montreal,Rue de la Commune,VILLE-MARIE,1960-02-01,2040-12-31
Locataire,Adm portuaire de Montréal,Rue Notre-Dame E,VILLE-MARIE,2008-01-01,2017-12-31
Locataire,Adm portuaire de Montréal,Rue Notre-Dame E,VILLE-MARIE,1975-08-01,2017-07-31
Locataire,Commission scolaire de Mtl,"1025, rue de Bellechasse",ROSEMONT / PETITE-PATRIE,1989-07-06,2052-07-05
Emphytéose,Coop. Habit. La Petite Patrie,"1025, rue de Bellechasse",ROSEMONT / PETITE-PATRIE,1989-07-06,2052-07-05
Locataire,Adm portuaire de Montréal,Rue Notre-Dame,MERCIER/HOCHELAGA/ MAISONNEUVE,1948-02-01,2033-01-31
Locataire,Adm portuaire de Montréal,Chemin des Moulins,SUD-OUEST,2002-08-01,2012-12-31
Locataire,Adm portuaire de Montréal,Rue Mill,VILLE-MARIE,1991-09-01,2012-12-31
Locataire,Adm portuaire de Montréal,Rue Bridge,SUD-OUEST,1914-01-01,2012-12-31
Locataire,Adm portuaire de Montréal,Rue Notre-Dame E,VILLE-MARIE,1997-04-01,2028-12-31
Locataire,"Agence metropolitaine de,Réseau de transport",17e Avenue,R-D-P / P-A-T,2015-09-01,2025-02-28
Locataire,"Réseau de transport,Agence metropolitaine de",Boulevard du Tricentenaire,R-D-P / P-A-T,2015-09-01,2025-02-28
Locataire,HYDRO-QUÉBEC,Rue Dandurand,ROSEMONT / PETITE-PATRIE,2019-06-01,2028-11-30
Locataire,HYDRO-QUÉBEC,Rue Frémont,AHUNTSIC / CARTIERVILLE,2018-07-01,2028-07-01
Locataire,Hôpital Rivière-des-Prairies,Boulevard Perras,R-D-P / P-A-T,2003-05-01,2028-04-30
Locataire,Cegep Marie-Victorin,Boulevard Maurice-Duplessis,R-D-P / P-A-T,2003-05-01,2028-04-30
Locataire,"Chemin Fer St-Laurent & Hudson,Compagnie de chemin de fer du",Boulevard Décarie,COTE-DES-NEIGES / N-D-DE-GRACE,2010-06-01,2060-05-31
Locataire,UNIVERSITÉ DE MONTRÉAL,Avenue Vincent-D'Indy,COTE-DES-NEIGES / N-D-DE-GRACE,2010-12-10,2060-12-09
Locataire,Fab paroisse N-D de Mtl,Boulevard du Mont-Royal (OUT),OUTREMONT,2010-05-12,2055-05-11
Locateur,Agence metropolitaine de       transport,Boulevard Gouin,AHUNTSIC / CARTIERVILLE,1991-04-29,2026-04-28
Locataire,Adm portuaire de Montréal,Rue Bellerive,MERCIER/HOCHELAGA/ MAISONNEUVE,1989-04-01,2028-12-31
Locateur,Soc. en commandite Gazmont,"2475, rue Michel-Jurdant",VILLERAY/ST-MICHEL/PARC-EXTENS,2015-06-25,2041-08-31
Locateur,Club de golf de l'île de Mtl   (2004) inc.,"3700, rue Damien-Gauthier",R-D-P / P-A-T,2000-01-01,2039-09-30
Emphytéose,Complexe 600 DMO S.E.C.,"2020, rue University",VILLE-MARIE,1986-07-15,2063-07-14
Locataire,HYDRO-QUÉBEC,Boulevard Keller (SLR),SAINT-LAURENT,2016-04-01,2025-03-31
Locataire,HYDRO-QUÉBEC,Rue Bombardier,ANJOU,2019-01-01,2028-12-31
Emphytéose,Second Placement Inc.          Pour Place du Parc,Avenue du Parc,PLATEAU MONT-ROYAL,1986-07-15,2063-07-14
Locateur,Societe en Commandite          Immobilier Soltron,Place Mount Royal,VILLE-MARIE,1988-08-22,2088-08-21
Locateur,Societe en Commandite          Immobilier Soltron,-,VILLE-MARIE,1986-11-03,2036-11-02
Emphytéose,Musée des Baux-Arts Mtl,Rue Sherbrooke,VILLE-MARIE,1991-09-23,2067-07-01
Locateur,Societe en Commandite          Immobilier Soltron,Rue Metcalfe,VILLE-MARIE,1988-08-22,2038-08-21
Locateur,ASTRAL MEDIA  AFFICHAGE S.E.C.,-,Autre ou multiple,1996-07-10,2025-12-31
Locateur,Outedge Media Canada LP,-,Autre ou multiple,2005-07-01,2024-12-31
Locateur,Gestion Imm. Place Bonaventure,Rue De La Gauchetière,VILLE-MARIE,2003-09-24,2063-03-31
Emphytéose,Gestion Imm. Place Bonaventure,Rue De La Gauchetière,VILLE-MARIE,1967-11-22,2063-03-31
Emphytéose,Gestion Imm. Place Bonaventure,Rue de l'Inspecteur,VILLE-MARIE,1967-11-22,2067-11-21
Locateur,ALLIED PROPERTIES REIT,Rue du Square-Victoria (MTL),VILLE-MARIE,1989-08-21,2065-07-01
Locateur,HYDRO-QUÉBEC,Rue J.-B.-Martineau (SLN),SAINT-LÉONARD,2013-04-01,2025-03-31
Locateur,HYDRO-QUÉBEC,Rue J.-B.-Martineau (SLN),SAINT-LÉONARD,2024-03-01,2025-02-28
Locataire,HYDRO-QUÉBEC,"9455, boulevard Langelier",SAINT-LÉONARD,2014-11-01,2024-10-31
Locataire,Fournisseur (à titre gratuit),"9725, rue Saint-Patrick",LASALLE,2023-12-21,2028-01-01
Locateur,Agence metropolitaine de transport,15 Autoroute,AHUNTSIC / CARTIERVILLE,1998-09-01,2099-12-31
Emphytéose,Coopérative d'Habitation       Louis-Cyr de St-Henri-Montréal,"2115, rue de Châteauguay",SUD-OUEST,1987-07-01,2039-06-30
Emphytéose,Coopérative d'Habitation       Louis-Cyr de St-Henri-Montréal,"2115, rue de Châteauguay",SUD-OUEST,1987-07-01,2039-06-30
Emphytéose,Coopérative d'Habitation       Louis-Cyr de St-Henri-Montréal,"2115, rue de Châteauguay",SUD-OUEST,1987-07-01,2039-06-30
Emphytéose,Coopér. Habit. Multi-Carrefour de Montréal,"8061, avenue Souligny",MERCIER/HOCHELAGA/ MAISONNEUVE,1987-05-22,2039-05-31
Emphytéose,Coop. Habit. Sault-au-Récollet (Montréal),"10860, rue Brousseau",AHUNTSIC / CARTIERVILLE,1982-05-17,2034-05-16
Emphytéose,Coop. Habit. Au Pied Montagne  (Montréal),"100, boulevard Saint-Joseph E",PLATEAU MONT-ROYAL,1983-08-24,2050-08-24
Emphytéose,Coop. Habit. Boîte à Surprises,"5039, rue St-Ambroise",SUD-OUEST,1987-07-01,2039-06-30
Emphytéose,Coop. Habit. Sourire à la Vie,"60, rue Sherbrooke E",VILLE-MARIE,1985-11-06,2037-11-05
Emphytéose,SHDM,"60, rue Sherbrooke E",VILLE-MARIE,1985-11-06,2037-11-05
Locateur,Vidéotron Ltée.,Voie Camillien-Houde,VILLE-MARIE,1992-05-20,2031-12-31
Locateur,Vidéotron Ltée.,Voie Camillien-Houde,VILLE-MARIE,2019-12-01,2029-12-31
Emphytéose,Coop. Habit. Ste-Cécile Montréal,"7342, avenue De Gaspé",VILLERAY/ST-MICHEL/PARC-EXTENS,1984-12-21,2050-12-21
Emphytéose,Coopérative d'Habitation A l'Ombre de la Montagne,"3845 à 3879, rue Rivard",PLATEAU MONT-ROYAL,1985-10-29,2052-10-28
Emphytéose,Coop. Habit. Retour École,"2919, rue de Bellechasse",ROSEMONT / PETITE-PATRIE,1982-05-03,2068-05-03
Emphytéose,S.H.Q. Mtl,"2919, rue de Bellechasse",ROSEMONT / PETITE-PATRIE,1984-06-01,2034-05-31
Emphytéose,Coopérative d'habitation Académie des Saints-Anges,"5000, rue Garnier",PLATEAU MONT-ROYAL,1985-07-29,2052-07-29
Emphytéose,Résidence de l'Académie,"5000, rue Garnier",PLATEAU MONT-ROYAL,1988-03-31,2040-03-30
Emphytéose,Coop. Habit. Akela (GRTNEM),"8977, rue Maurice-Duplessis",R-D-P / P-A-T,1990-03-16,2042-03-15
Emphytéose,Coop. Habit. Portes Quartier,"2041, rue de la Visitation",VILLE-MARIE,1988-05-12,2040-05-11
Emphytéose,Coop. Habit. Bonheur Occasion,"1760, rue Darling",MERCIER/HOCHELAGA/ MAISONNEUVE,1987-03-31,2039-03-30
Emphytéose,Coop. Habit. Bonheur Prochain,"8131 à 8151, avenue Souligny",MERCIER/HOCHELAGA/ MAISONNEUVE,1988-03-31,2040-03-31
Emphytéose,Coop. Habit. Carcajou Mtl,"4356, avenue Coloniale",PLATEAU MONT-ROYAL,1983-07-13,2035-07-12
Emphytéose,Coopérative Habitation Centre  Uni Communauté Chinoise Mtl,"1001, rue Saint-Dominique",VILLE-MARIE,1983-08-24,2052-08-23
Emphytéose,Coop. Habit. C.N.C.V.,"7800, rue Garnier",VILLERAY/ST-MICHEL/PARC-EXTENS,1990-06-22,2042-06-21
Emphytéose,Serv. immobilier Trustcan inc,"7540, avenue André-Ampère",R-D-P / P-A-T,1987-06-12,2039-06-11
Emphytéose,Coop. Habit. Côté Cour,"2101, rue Gilford",PLATEAU MONT-ROYAL,1985-01-16,2037-01-15
Emphytéose,Coop. Habit. Mercier,"5055, rue Clark",PLATEAU MONT-ROYAL,1982-09-29,2034-09-28
Emphytéose,Coop. Habit. Des Moissons Mtl,"313, rue De Lévis",SUD-OUEST,1988-03-31,2040-03-30
Emphytéose,Coop. Habit. Pointe St-Charles Coop. l'Éveil de P. St-Charles,"2365, rue de Coleraine",SUD-OUEST,1990-12-21,2042-12-20
Emphytéose,Coop. Habit. Fief St-Augustin,"630, rue Guy",SUD-OUEST,1988-05-12,2040-05-11
Emphytéose,Coop. Habit. Troisième Type,"600, rue Guy",SUD-OUEST,1988-06-10,2040-06-09
Emphytéose,Coop. Habit. En-Trac,"3666, rue La Fontaine",MERCIER/HOCHELAGA/ MAISONNEUVE,1989-05-09,2041-05-08
Emphytéose,Coop. Habit. Fou-Rire S-O Mtl,"122, rue Sainte-Marguerite",SUD-OUEST,1990-01-09,2042-01-08
Emphytéose,Coopérative Habitation Grande  Maison  Pointe St-Charles,"1850, rue Richardson",SUD-OUEST,1985-11-11,2037-11-10
Emphytéose,Coop. Habit. Guadeloupe,"1393, rue Villeray",VILLERAY/ST-MICHEL/PARC-EXTENS,1990-06-22,2042-06-21
Emphytéose,Coop. Habit. La Colombe,"238, rue Saint-Augustin",SUD-OUEST,1987-07-01,2039-06-30
Emphytéose,Coop. Habit. La Colombe,"131, rue Saint-Augustin",SUD-OUEST,1987-07-01,2039-06-30
Emphytéose,Coop. Habit. La Côte du Quai,"880, rue Saint-Jean-Baptiste",R-D-P / P-A-T,1987-07-10,2039-07-09
Emphytéose,S.H.Q. Mtl,"880, rue Saint-Jean-Baptiste",R-D-P / P-A-T,1986-05-01,2036-04-30
Emphytéose,Coop. Habit. Folle du Logis,"1501, rue Préfontaine",MERCIER/HOCHELAGA/ MAISONNEUVE,1983-02-16,2035-02-15
Emphytéose,Coop Habit. La Légende,"545, rue Darling",MERCIER/HOCHELAGA/ MAISONNEUVE,1983-07-01,2059-02-03
Emphytéose,Coop. Habit. Petite Côte,"3153, boulevard Rosemont",ROSEMONT / PETITE-PATRIE,1988-05-12,2040-05-11
Emphytéose,Coop Habit. L'Athanor,"1385, rue Villeray",VILLERAY/ST-MICHEL/PARC-EXTENS,1990-06-22,2042-06-21
Emphytéose,Coop. Habit. Fil d'Ariane,"7485, rue Mariana-Jodoin",R-D-P / P-A-T,1988-05-11,2040-05-10
Emphytéose,S.H.Q. Mtl,"1830, rue Saint-Germain",MERCIER/HOCHELAGA/ MAISONNEUVE,1984-07-01,2034-06-30
Emphytéose,Coop. Habit. Le Martinet,"1830, rue Saint-Germain",MERCIER/HOCHELAGA/ MAISONNEUVE,1987-03-31,2039-02-28
Emphytéose,Société canadienne hypothèque  et de Logement,"11923, rue Michel-Sarrazin",AHUNTSIC / CARTIERVILLE,1985-10-04,2037-10-03
Emphytéose,Coop. Habit. Multic. C. à C.,"11720, avenue Fernand-Gauthier",R-D-P / P-A-T,1990-06-01,2042-05-31
Emphytéose,Coop. d'habitation objectif chez-nous (Montréal),"2021, rue Beaudry",VILLE-MARIE,1980-11-01,2030-10-31
Emphytéose,Coop. Habit. Osmose,"1680, Place Jeanne-d'Arc",MERCIER/HOCHELAGA/ MAISONNEUVE,1984-03-28,2036-03-27
Emphytéose,Coop. Habit. Pas à Pas,"7362, rue André-Ampère",R-D-P / P-A-T,1989-01-27,2041-01-26
Locateur,Société de transport Mtl (STM) Finances,Avenue Van Horne,COTE-DES-NEIGES / N-D-DE-GRACE,2015-11-13,2099-12-31
Emphytéose,Centre Commu. Petite Bourgogne,"2464, rue Notre-Dame O",SUD-OUEST,1988-07-07,2040-07-06
Emphytéose,S.H.Q. Mtl,"8383, 14e Avenue",VILLERAY/ST-MICHEL/PARC-EXTENS,1984-01-01,2033-12-31
Emphytéose,Coop. Habit. Les Amériques-Adm,"8383, 14e Avenue",VILLERAY/ST-MICHEL/PARC-EXTENS,1988-07-07,2040-07-06
Emphytéose,Coop. Habit. L'Infini,"1460, rue Préfontaine",MERCIER/HOCHELAGA/ MAISONNEUVE,1982-02-20,2041-02-19
Emphytéose,Coop. Habit. L'Infini,"1460, rue Préfontaine",MERCIER/HOCHELAGA/ MAISONNEUVE,1989-02-20,2041-02-19
Emphytéose,Coop. Habit. Mission Latina,"8091, avenue Souligny",MERCIER/HOCHELAGA/ MAISONNEUVE,1988-03-31,2040-03-30
Emphytéose,Coop. Habit. Montérégie Mtl    Refuge Meurling,"435, rue du Champ-de-Mars",VILLE-MARIE,1984-10-01,2036-09-30
Emphytéose,Coop. Habit. Olymphia,"540, rue Davidson",MERCIER/HOCHELAGA/ MAISONNEUVE,1986-02-03,2038-02-02
Emphytéose,Coop. Habit. Paxane Mit,"1750, rue Préfontaine",MERCIER/HOCHELAGA/ MAISONNEUVE,1988-03-31,2040-03-30
Emphytéose,Coop. Habit. Rose et Bleu,"3445, rue Parthenais",PLATEAU MONT-ROYAL,1988-05-09,2040-05-08
Emphytéose,Coop. Habit. Solidarité S-O,"660, rue De Courcelle",SUD-OUEST,1983-10-25,2035-10-24
Emphytéose,Coop. Habit. Voisins-Voisines,"2275, rue Fullum",VILLE-MARIE,1985-01-24,2052-01-23
Emphytéose,Société canadienne hypothèque  et de Logement,"12562, rue Marc-Aurèle-Fortin",R-D-P / P-A-T,1982-11-16,2034-11-15
Emphytéose,La fondation Serenitas pour la coopération mutuelle,"7342, avenue De Gaspé",VILLERAY/ST-MICHEL/PARC-EXTENS,1985-01-11,2037-01-10
Emphytéose,Foyer Catholique Chinois Mtl,1000 Rue  Sainte-Élisabeth,VILLE-MARIE,1987-07-01,2039-06-30
Emphytéose,Foyer Catholique Chinois Mtl,1000 Rue  Sainte-Élisabeth,VILLE-MARIE,1989-09-14,2041-09-13
Emphytéose,SHDM,"740, rue Lucien-L'Allier",VILLE-MARIE,1988-05-30,2040-05-29
Emphytéose,Foyer Femmes Autochtones Mtl,"740, rue Lucien-L'Allier",VILLE-MARIE,1988-07-07,2029-07-06
Emphytéose,Les Retrouvailles (résidences),"1600, rue Legendre E",AHUNTSIC / CARTIERVILLE,1982-06-01,2033-12-31
Emphytéose,Les Retrouvailles (résidences),"1600, rue Legendre E",AHUNTSIC / CARTIERVILLE,1983-12-07,2035-12-06
Emphytéose,Garderie Domaine St-Sulpice,"1300, rue Antoine-Déat",AHUNTSIC / CARTIERVILLE,1990-03-16,2042-03-15
Emphytéose,Gard. Poupon. Bécasseaux,"7665, rue Claire-Fauteux",MERCIER/HOCHELAGA/ MAISONNEUVE,1990-07-27,2042-07-26
Emphytéose,Gest. Habit. St-Jean-de-Matha,"6500, avenue De Montmagny",SUD-OUEST,1981-08-12,2031-08-11
Emphytéose,Coop. Habit. Métis du Nord     Corporation Waskahegen,"2060, avenue d'Orléans",MERCIER/HOCHELAGA/ MAISONNEUVE,1989-02-09,2041-02-08
Emphytéose,Coop. Habit. Vie Urbaine,"4737, avenue des Érables",PLATEAU MONT-ROYAL,1990-04-10,2042-04-09
Emphytéose,Habitations l'Escalier de Mtl,"2295, avenue Desjardins",MERCIER/HOCHELAGA/ MAISONNEUVE,1988-05-12,2029-05-11
Emphytéose,Hébergement Humano inc.,"1510, rue Préfontaine",MERCIER/HOCHELAGA/ MAISONNEUVE,1989-03-31,2041-03-30
Emphytéose,Héberg. Jeunesse Le Tournant,"1775, rue Wolfe",VILLE-MARIE,1990-01-09,2052-01-10
Emphytéose,"Jn-Louis St-Onge, Mario St-Cyr","900, rue Bélanger",ROSEMONT / PETITE-PATRIE,1987-01-27,2039-01-26
Emphytéose,La Chrysalide,"445, rue de Malines",PLATEAU MONT-ROYAL,1988-05-12,2040-05-11
Emphytéose,Maison des Jeunes de R-d-P,"12550, 48e Avenue",R-D-P / P-A-T,1990-08-09,2042-08-08
Emphytéose,La Maison Aurélie-Cadotte,"56, rue Sherbrooke O",VILLE-MARIE,1985-11-06,2037-11-05
Emphytéose,U.Q.A.M.,"99999, rue Saint-Denis",VILLE-MARIE,1974-11-15,2038-11-14
Emphytéose,U.Q.A.M.,"99999, rue Saint-Denis",VILLE-MARIE,1974-11-15,2038-11-14
Emphytéose,Le Chez-Nous des Artistes Inc.,"6055, rue Beaubien E",MERCIER/HOCHELAGA/ MAISONNEUVE,1984-10-22,2036-10-21
Emphytéose,Complexe du Domaine St-Sulpice inc.,"1777, avenue Émile-Journault",AHUNTSIC / CARTIERVILLE,1976-04-13,2052-04-12
