NUMEROTATION,TYPE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
95,Soins physiques et psychiatriques de courte durée,Maladies des artères  artérioles et capillaires (I70-I79),6565,64331,9.8,17,22,116,911,1937,3562,305,3.3,31,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
96,Soins physiques et psychiatriques de courte durée,Maladies des veines  des vaisseaux et des ganglions lymphatiques  non classées ailleurs (I80-I89),2241,16090,7.2,336,96,135,403,393,878,54,5.6,80.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
97,Soins physiques et psychiatriques de courte durée,Troubles autres et non précisés de l'appareil circulatoire (I95-I99),2397,21575,9,3,12,21,147,290,1924,29,3.4,93,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
98,Soins physiques et psychiatriques de courte durée,Affections aiguës des voies respiratoires supérieures (J00-J06),4219,9749,2.3,2621,236,565,315,130,352,5,0,86.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
99,Soins physiques et psychiatriques de courte durée,Grippe et pneumonie (J09-J18),21278,152925,7.2,3872,282,924,2459,2714,11027,1229,1.6,91.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
100,Soins physiques et psychiatriques de courte durée,Autres affections aiguës des voies respiratoires inférieures (J20-J22),5238,18125,3.5,4129,18,46,122,172,751,10,0,84.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
101,Soins physiques et psychiatriques de courte durée,Autres maladies des voies respiratoires supérieures (J30-J39),4217,8873,2.1,1748,276,841,786,294,272,5,0,32.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
102,Soins physiques et psychiatriques de courte durée,Maladies chroniques des voies respiratoires inférieures (J40-J47),32425,255893,7.9,1270,154,291,3190,7230,20290,1602,1.1,94.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
103,Soins physiques et psychiatriques de courte durée,Maladies du poumon dues à des agents externes (J60-J70),3212,37470,11.7,64,22,96,298,479,2253,682,0.9,93.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
104,Soins physiques et psychiatriques de courte durée,Autres maladies respiratoires touchant principalement le tissu interstitiel (J80-J84),1888,22575,12,21,5,53,210,404,1195,323,3.1,75.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
105,Soins physiques et psychiatriques de courte durée,Maladies suppurées et nécrotiques des voies respiratoires inférieures (J85-J86),642,8195,12.8,37,7,64,221,142,171,47,4.3,65.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
106,Soins physiques et psychiatriques de courte durée,Autres affections de la plèvre (J90-J94),2394,18948,7.9,18,125,297,337,403,1214,104,1,79.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
107,Soins physiques et psychiatriques de courte durée,Autres maladies de l'appareil respiratoire (J95-J99),4802,35112,7.3,1313,93,151,544,793,1908,410,2.7,83,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
108,Soins physiques et psychiatriques de courte durée,Maladies de la cavité buccale  des glandes salivaires et des maxillaires (K00-K14),2784,6978,2.5,232,433,1077,600,216,226,6,0,32.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
109,Soins physiques et psychiatriques de courte durée,Maladies de l'oesophage  de l'estomac et du duodénum (K20-K31),5738,35398,6.2,308,134,614,1258,1055,2369,129,0.8,84.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
110,Soins physiques et psychiatriques de courte durée,Maladies de l'appendice (K35-K38),8805,21410,2.4,662,1561,2992,2239,810,541,9,11.1,95.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
111,Soins physiques et psychiatriques de courte durée,Hernie (K40-K46),5310,24016,4.5,151,14,287,1383,1311,2164,64,3.1,39.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
112,Soins physiques et psychiatriques de courte durée,Entérites et colites non infectieuses (K50-K52),3620,24733,6.8,116,242,940,890,570,862,20,5,79.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
113,Soins physiques et psychiatriques de courte durée,Autres maladies de l'intestin (K55-K64),18361,119535,6.5,371,202,1376,4450,3835,8127,616,1.9,84.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
114,Soins physiques et psychiatriques de courte durée,Maladies du péritoine (K65-K67),845,8915,10.6,13,20,96,229,205,282,69,2.9,80,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
115,Soins physiques et psychiatriques de courte durée,Maladies du foie (K70-K77),3731,44680,12,30,33,203,1103,1090,1272,434,1.8,83,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
116,Soins physiques et psychiatriques de courte durée,Maladies de la vésicule biliaire  des voies biliaires et du pancréas (K80-K87),16580,87180,5.3,69,261,2685,4677,3192,5696,224,1.8,86.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
117,Soins physiques et psychiatriques de courte durée,Autres affections de l'appareil digestif (K90-K93),3185,22831,7.2,150,39,173,583,618,1622,95,3.2,81.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
118,Soins physiques et psychiatriques de courte durée,Infections de la peau et du tissu cellulaire sous-cutané (L00-L08),7235,52506,7.3,671,225,810,1652,1188,2689,95,0,88.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
119,Soins physiques et psychiatriques de courte durée,Dermatoses bulleuses (L10-L14),84,1295,15.4,1,1,2,10,10,60,4,0,90.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
120,Soins physiques et psychiatriques de courte durée,Dermites et eczémas (L20-L30),416,1897,4.6,78,29,51,71,58,129,1,0,86.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
121,Soins physiques et psychiatriques de courte durée,Lésions papulo-squameuses (L40-L45),65,448,6.9,4,2,5,20,14,20,1,0,80,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
122,Soins physiques et psychiatriques de courte durée,Urticaire et érythème (L50-L54),248,1123,4.5,87,20,34,43,23,41,1,0,84.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
123,Soins physiques et psychiatriques de courte durée,Affections de la peau et du tissu cellulaire sous-cutané liées à une irradiation (L55-L59),13,38,2.9,1,1,1,5,5,0,0,0,38.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
124,Soins physiques et psychiatriques de courte durée,Maladies des phanères et des annexes de la peau (L60-L75),82,275,3.4,6,5,15,29,17,10,0,0,54.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
125,Soins physiques et psychiatriques de courte durée,Autres affections de la peau et du tissu cellulaire sous-cutané (L80-L99),1019,15901,15.6,122,14,90,236,187,370,29,3.4,52.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
126,Soins physiques et psychiatriques de courte durée,Arthropathies infectieuses (M00-M03),882,11318,12.8,103,28,99,189,185,278,23,0,79.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
127,Soins physiques et psychiatriques de courte durée,Polyarthropathies inflammatoires (M05-M14),1807,12242,6.8,26,45,78,200,266,1192,8,0,87.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
128,Soins physiques et psychiatriques de courte durée,Arthroses (M15-M19),21565,102610,4.8,0,2,100,3809,7616,10038,15,0,2.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
129,Soins physiques et psychiatriques de courte durée,Autres affections articulaires (M20-M25),1590,19556,12.3,70,352,163,259,254,492,5,0,25.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
130,Soins physiques et psychiatriques de courte durée,Affections disséminées du tissu conjonctif (M30-M36),782,8520,10.9,142,23,56,109,137,315,27,7.4,71.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
131,Soins physiques et psychiatriques de courte durée,Dorsopathies déformantes (M40-M43),873,7195,8.2,41,229,37,189,159,218,4,25,6.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
132,Soins physiques et psychiatriques de courte durée,Spondylopathies (M45-M49),3112,34650,11.1,19,9,53,547,726,1758,25,0,45.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
133,Soins physiques et psychiatriques de courte durée,Autres dorsopathies (M50-M54),5364,38439,7.2,19,32,617,1624,959,2113,29,6.9,66,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
134,Soins physiques et psychiatriques de courte durée,Myopathies (M60-M63),2067,44918,21.7,78,39,102,192,257,1399,48,2.1,59.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
135,Soins physiques et psychiatriques de courte durée,Atteintes des synoviales et des tendons (M65-M68),389,2417,6.2,73,15,46,78,63,114,2,0,73.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
136,Soins physiques et psychiatriques de courte durée,Autres affections des tissus mous (M70-M79),1748,15445,8.8,33,44,163,482,318,708,34,8.8,66.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
137,Soins physiques et psychiatriques de courte durée,Anomalies de la densité et de la structure osseuses (M80-M85),1769,22668,12.8,39,39,89,230,253,1119,28,0,59.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
138,Soins physiques et psychiatriques de courte durée,Autres ostéopathies (M86-M90),2264,34890,15.4,122,87,100,535,503,917,48,2.1,58.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
139,Soins physiques et psychiatriques de courte durée,Chondropathies (M91-M94),212,666,3.1,36,67,15,37,31,26,0,0,50.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
140,Soins physiques et psychiatriques de courte durée,Autres maladies du système ostéo-articulaire  des muscles et du tissu conjonctif (M95-M99),484,7404,15.3,8,28,23,64,102,259,6,0,50.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
141,Soins physiques et psychiatriques de courte durée,Glomérulopathies (N00-N08),482,3946,8.2,73,22,57,102,90,138,5,0,51.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
142,Soins physiques et psychiatriques de courte durée,Maladies rénales tubulo-interstitielles (N10-N16),8719,44073,5.1,988,282,1086,1588,1421,3354,97,3.1,88.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
143,Soins physiques et psychiatriques de courte durée,Insuffisance rénale (N17-N19),4799,47486,9.9,31,43,193,691,999,2842,442,0.9,76.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
144,Soins physiques et psychiatriques de courte durée,Lithiase urinaire (N20-N23),4192,10967,2.6,12,46,620,1445,988,1081,10,20,66.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
145,Soins physiques et psychiatriques de courte durée,Autres affections du rein et de l'uretère (N25-N29),298,1812,6.1,12,4,31,78,66,107,1,0,58.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
146,Soins physiques et psychiatriques de courte durée,Autres maladies de l'appareil urinaire (N30-N39),6645,50302,7.6,275,39,205,721,1008,4397,193,0,85.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
147,Soins physiques et psychiatriques de courte durée,Maladies des organes génitaux de l'homme (N40-N51),4115,12692,3.1,67,145,150,520,1200,2033,8,25,29.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
148,Soins physiques et psychiatriques de courte durée,Affections du sein (N60-N64),389,798,2.1,12,16,101,177,54,29,0,0,32.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
149,Soins physiques et psychiatriques de courte durée,Affections inflammatoires des organes pelviens de la femme (N70-N77),847,3470,4.1,14,62,400,284,52,35,5,0,82.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
150,Soins physiques et psychiatriques de courte durée,Affections non inflammatoires de l'appareil génital de la femme (N80-N98),6096,12388,2,11,113,1058,2633,1093,1188,3,0,15.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
151,Soins physiques et psychiatriques de courte durée,Autres affections de l'appareil génito-urinaire (N99),277,1026,3.7,2,1,9,59,79,127,3,0,38.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
152,Soins physiques et psychiatriques de courte durée,Grossesse se terminant par un avortement (O00-O08),2701,3783,1.4,0,72,2373,256,0,0,0,0,61.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
153,Soins physiques et psychiatriques de courte durée,Oedème  protéinurie et hypertension au cours de la grossesse  de l'accouchement et de la puerpéralité (O10-O16),3480,10825,3.1,0,72,3168,240,0,0,0,0,10.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
154,Soins physiques et psychiatriques de courte durée,Autres affections maternelles liées principalement à la grossesse (O20-O29),5298,13146,2.5,0,101,4884,313,0,0,0,0,14,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
155,Soins physiques et psychiatriques de courte durée,Soins maternels liés au foetus et à la cavité amniotique  et problèmes possibles à l'accouchement (O30-O48),26468,68853,2.6,0,357,24947,1164,0,0,0,0,2.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
156,Soins physiques et psychiatriques de courte durée,Complications du travail et de l'accouchement (O60-O75),46643,107045,2.3,0,675,44312,1656,0,0,0,0,3.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
157,Soins physiques et psychiatriques de courte durée,Complications principalement liées à la puerpéralité (O85-O92),683,1962,2.9,0,13,642,28,0,0,1,100,65.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
158,Soins physiques et psychiatriques de courte durée,Autres problèmes obstétricaux  non classés ailleurs (O94-O99),4395,9202,2.1,0,91,4139,165,0,0,0,0,16.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
159,Soins physiques et psychiatriques de courte durée,Foetus et nouveau-né affectés par des troubles maternels et par des complications de la grossesse  du travail et de l'accouchement (P00-P04),1348,3065,2.3,1348,0,0,0,0,0,2,100,0.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
160,Soins physiques et psychiatriques de courte durée,Anomalies liées à la durée de la gestation et à la croissance du foetus (P05-P08),10363,78205,7.5,10363,0,0,0,0,0,109,29.4,0.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
161,Soins physiques et psychiatriques de courte durée,Traumatismes obstétricaux (P10-P15),799,1649,2.1,799,0,0,0,0,0,0,0,0.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
162,Soins physiques et psychiatriques de courte durée,Affections respiratoires et cardiovasculaires spécifiques de la période périnatale (P20-P29),4540,18580,4.1,4538,2,0,0,0,0,9,66.7,3.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
163,Soins physiques et psychiatriques de courte durée,Infections spécifiques de la période périnatale (P35-P39),376,1931,5.1,376,0,0,0,0,0,2,50,33.2,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
164,Soins physiques et psychiatriques de courte durée,Affections hémorragiques et hématologiques du foetus et du nouveau-né (P50-P61),4639,9929,2.1,4639,0,0,0,0,0,0,0,2.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
165,Soins physiques et psychiatriques de courte durée,Anomalies endocriniennes et métaboliques transitoires spécifiques du foetus et du nouveau-né (P70-P74),1001,2934,2.9,1001,0,0,0,0,0,0,0,3.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
166,Soins physiques et psychiatriques de courte durée,Affections de l'appareil digestif du foetus et du nouveau-né (P75-P78),316,1681,5.3,316,0,0,0,0,0,3,66.7,61.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
167,Soins physiques et psychiatriques de courte durée,Affections concernant les téguments et la régulation thermique du foetus et du nouveau-né (P80-P83),1412,2935,2.1,1412,0,0,0,0,0,3,100,11.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
168,Soins physiques et psychiatriques de courte durée,Autres affections dont l'origine se situe dans la période périnatale (P90-P96),1683,6584,3.9,1683,0,0,0,0,0,43,53.5,10,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
169,Soins physiques et psychiatriques de courte durée,Malformations congénitales du système nerveux (Q00-Q07),191,1216,6.4,98,19,21,40,10,3,1,100,10.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
170,Soins physiques et psychiatriques de courte durée,Malformations congénitales de l'oeil  de l'oreille  de la face et du cou (Q10-Q18),261,500,1.9,181,18,31,23,8,0,0,0,5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
171,Soins physiques et psychiatriques de courte durée,Malformations congénitales de l'appareil circulatoire (Q20-Q28),1346,10646,7.9,629,79,137,254,145,102,17,29.4,7.3,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
172,Soins physiques et psychiatriques de courte durée,Malformations congénitales de l'appareil respiratoire (Q30-Q34),268,1393,5.2,233,7,11,4,8,5,0,0,19.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
173,Soins physiques et psychiatriques de courte durée,Bec-de-lièvre et fente palatine (Q35-Q37),238,572,2.4,203,28,6,1,0,0,0,0,0,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
174,Soins physiques et psychiatriques de courte durée,Autres malformations congénitales de l'appareil digestif (Q38-Q45),859,4391,5.1,767,14,17,32,15,14,0,0,26.1,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
175,Soins physiques et psychiatriques de courte durée,Malformations congénitales des organes génitaux (Q50-Q56),212,378,1.8,195,10,5,2,0,0,0,0,2.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
176,Soins physiques et psychiatriques de courte durée,Malformations congénitales de l'appareil urinaire (Q60-Q64),371,1249,3.4,296,17,20,26,6,6,1,100,8.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
177,Soins physiques et psychiatriques de courte durée,Malformations congénitales et déformations du système ostéo-articulaire et des muscles (Q65-Q79),891,5320,6,689,103,59,19,11,10,3,66.7,2.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
178,Soins physiques et psychiatriques de courte durée,Autres malformations congénitales (Q80-Q89),453,2329,5.1,309,23,46,44,18,13,4,25,5.5,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
179,Soins physiques et psychiatriques de courte durée,Anomalies chromosomiques  non classées ailleurs (Q90-Q99),67,1232,18.4,55,4,3,4,1,0,9,0,17.9,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
180,Soins physiques et psychiatriques de courte durée,Symptômes et signes relatifs aux appareils circulatoire et respiratoire (R00-R09),7961,34574,4.3,382,91,265,1598,1778,3847,113,2.7,81.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
181,Soins physiques et psychiatriques de courte durée,Symptômes et signes relatifs à l'appareil digestif et à l'abdomen (R10-R19),4287,19638,4.6,336,320,727,980,651,1273,52,1.9,81.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
182,Soins physiques et psychiatriques de courte durée,Symptômes et signes relatifs à la peau et au tissu cellulaire sous-cutané (R20-R23),461,1644,3.6,72,13,58,119,69,130,4,0,83.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
183,Soins physiques et psychiatriques de courte durée,Symptômes et signes relatifs aux systèmes nerveux et ostéo-musculaire (R25-R29),3289,51117,15.5,141,21,36,116,277,2698,63,1.6,89.7,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
184,Soins physiques et psychiatriques de courte durée,Symptômes et signes relatifs à l'appareil urinaire (R30-R39),2068,8979,4.3,33,10,49,230,393,1353,17,0,67.6,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
185,Soins physiques et psychiatriques de courte durée,Symptômes et signes relatifs à la connaissance  la perception  l'humeur et le comportement (R40-R46),2933,24407,8.3,64,442,379,401,365,1282,42,0,79.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
186,Soins physiques et psychiatriques de courte durée,Symptômes et signes relatifs au langage et à la voix (R47-R49),134,908,6.8,1,2,5,19,17,90,4,0,91,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
187,Soins physiques et psychiatriques de courte durée,Symptômes et signes généraux (R50-R69),16956,184646,10.9,2239,402,705,1867,2271,9472,1060,1.7,84.4,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
188,Soins physiques et psychiatriques de courte durée,Résultats anormaux de l'examen du sang  sans diagnostic (R70-R79),217,953,4.4,20,4,19,36,42,96,0,0,78.8,Titre du rapport « S16 — Sommaire des départs selon le diagnostic principal par groupe de rubrique»,Entre 2018/04/01 et 2019/03/31, 2019-09-05
