NUMEROTATION,TYPE_DE_SOINS,GRP_RUBR,NBR_DPRTS,SEJ_TOT,SEJ_MOY,GRP_AGE-0_9,GRP_AGE-10_19,GRP_AGE-20_39,GRP_AGE-40_59,GRP_AGE-60_69,GRP_AGE-70+,NBR_DECES,AUT_POURC,POUR_PROV_URG,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
92,"Soins physiques et psychiatriques de courte durée","Affections cardiopulmonaires et maladies de la circulation pulmonaire (I26-I28)",2710,19231,7.1,7,17,148,506,648,1384,171,0.6,89.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
93,"Soins physiques et psychiatriques de courte durée","Autres formes de cardiopathies (I30-I52)",39477,293770,7.4,134,259,1122,4243,6969,26750,2346,1.2,69.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
94,"Soins physiques et psychiatriques de courte durée","Maladies cérébrovasculaires (I60-I69)",13932,211467,15.2,20,45,332,1896,2920,8719,1498,1.1,72.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
95,"Soins physiques et psychiatriques de courte durée","Maladies des artères, artérioles et capillaires (I70-I79)",6105,54907,9.0,9,24,98,683,1803,3488,297,2.7,29.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
96,"Soins physiques et psychiatriques de courte durée","Maladies des veines, des vaisseaux et des ganglions lymphatiques, non classées ailleurs (I80-I89)",1644,11225,6.8,229,83,113,312,315,592,36,2.8,81.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
97,"Soins physiques et psychiatriques de courte durée","Troubles autres et non précisés de l'appareil circulatoire (I95-I99)",2137,20340,9.5,0,6,19,97,261,1754,37,2.7,92.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
98,"Soins physiques et psychiatriques de courte durée","Affections aiguës des voies respiratoires supérieures (J00-J06)",3131,6654,2.1,1979,208,440,212,97,195,6,0.0,88.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
99,"Soins physiques et psychiatriques de courte durée","Grippe et pneumonie (J09-J18)",17992,121537,6.8,4030,358,736,1644,2263,8961,1127,1.0,90.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
100,"Soins physiques et psychiatriques de courte durée","Autres affections aiguës des voies respiratoires inférieures (J20-J22)",5214,17289,3.3,4780,8,29,41,64,292,4,0.0,83.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
101,"Soins physiques et psychiatriques de courte durée","Autres maladies des voies respiratoires supérieures (J30-J39)",3542,7610,2.1,1454,309,646,620,290,223,8,0.0,34.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
102,"Soins physiques et psychiatriques de courte durée","Maladies chroniques des voies respiratoires inférieures (J40-J47)",23329,174242,7.5,1295,140,171,1698,5698,14327,1400,0.6,93.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
103,"Soins physiques et psychiatriques de courte durée","Maladies du poumon dues à des agents externes (J60-J70)",2800,33536,12.0,67,24,88,251,422,1948,646,1.1,93.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
104,"Soins physiques et psychiatriques de courte durée","Autres maladies respiratoires touchant principalement le tissu interstitiel (J80-J84)",1964,23460,11.9,24,3,56,214,370,1297,328,4.3,78.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
105,"Soins physiques et psychiatriques de courte durée","Maladies suppurées et nécrotiques des voies respiratoires inférieures (J85-J86)",814,10700,13.1,45,12,85,209,181,282,61,0.0,66.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
106,"Soins physiques et psychiatriques de courte durée","Autres affections de la plèvre (J90-J94)",2049,15703,7.7,11,108,237,275,358,1060,101,1.0,78.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
107,"Soins physiques et psychiatriques de courte durée","Autres maladies de l'appareil respiratoire (J95-J99)",5180,40426,7.8,1524,105,146,435,834,2136,564,1.4,82.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
108,"Soins physiques et psychiatriques de courte durée","Maladies de la cavité buccale, des glandes salivaires et des maxillaires (K00-K14)",2379,5684,2.4,190,343,942,487,188,229,11,0.0,34.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
109,"Soins physiques et psychiatriques de courte durée","Maladies de l'oesophage, de l'estomac et du duodénum (K20-K31)",4592,29901,6.5,187,107,512,953,820,2013,117,1.7,83.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
110,"Soins physiques et psychiatriques de courte durée","Maladies de l'appendice (K35-K38)",8384,20130,2.4,598,1521,2647,2104,881,633,14,0.0,94.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
111,"Soins physiques et psychiatriques de courte durée","Hernie (K40-K46)",4542,20296,4.5,199,5,217,1055,1118,1948,78,0.0,48.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
112,"Soins physiques et psychiatriques de courte durée","Entérites et colites non infectieuses (K50-K52)",2853,21047,7.4,67,267,670,657,448,744,37,2.7,75.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
113,"Soins physiques et psychiatriques de courte durée","Autres maladies de l'intestin (K55-K64)",15623,101278,6.5,291,173,1185,3656,3260,7058,665,0.8,83.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
114,"Soins physiques et psychiatriques de courte durée","Maladies du péritoine (K65-K67)",747,7364,9.9,11,14,84,211,175,252,78,2.6,78.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
115,"Soins physiques et psychiatriques de courte durée","Maladies du foie (K70-K77)",3752,43142,11.5,22,39,229,972,1172,1318,493,1.4,83.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
116,"Soins physiques et psychiatriques de courte durée","Maladies de la vésicule biliaire, des voies biliaires et du pancréas (K80-K87)",16056,79860,5.0,69,244,2671,4315,3024,5733,249,1.6,88.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
117,"Soins physiques et psychiatriques de courte durée","Autres affections de l'appareil digestif (K90-K93)",2757,17881,6.5,131,48,256,497,572,1253,89,1.1,82.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
118,"Soins physiques et psychiatriques de courte durée","Infections de la peau et du tissu cellulaire sous-cutané (L00-L08)",5445,44924,8.3,527,142,510,1314,882,2070,102,1.0,89.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
119,"Soins physiques et psychiatriques de courte durée","Dermatoses bulleuses (L10-L14)",75,1142,15.2,2,0,5,4,12,52,9,0.0,85.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
120,"Soins physiques et psychiatriques de courte durée","Dermites et eczémas (L20-L30)",305,1478,4.8,68,23,23,50,49,92,1,0.0,87.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
121,"Soins physiques et psychiatriques de courte durée","Lésions papulo-squameuses (L40-L45)",44,415,9.4,5,0,4,12,10,13,0,0.0,77.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
122,"Soins physiques et psychiatriques de courte durée","Urticaire et érythème (L50-L54)",168,558,3.3,70,15,20,21,18,24,3,0.0,79.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
123,"Soins physiques et psychiatriques de courte durée","Affections de la peau et du tissu cellulaire sous-cutané liées à une irradiation (L55-L59)",16,202,12.6,0,2,0,0,7,7,0,0.0,62.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
124,"Soins physiques et psychiatriques de courte durée","Maladies des phanères et des annexes de la peau (L60-L75)",64,255,4.0,9,5,20,19,6,5,0,0.0,56.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
125,"Soins physiques et psychiatriques de courte durée","Autres affections de la peau et du tissu cellulaire sous-cutané (L80-L99)",803,15817,19.7,89,6,47,164,156,341,39,0.0,61.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
126,"Soins physiques et psychiatriques de courte durée","Arthropathies infectieuses (M00-M03)",729,9430,12.9,90,18,74,177,127,243,24,0.0,77.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
127,"Soins physiques et psychiatriques de courte durée","Polyarthropathies inflammatoires (M05-M14)",1268,9988,7.9,29,16,35,136,185,867,14,0.0,89.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
128,"Soins physiques et psychiatriques de courte durée","Arthroses (M15-M19)",17752,65151,3.7,1,2,63,2318,5989,9379,18,0.0,2.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
129,"Soins physiques et psychiatriques de courte durée","Autres affections articulaires (M20-M25)",1062,18091,17.0,46,138,98,184,190,406,1,0.0,33.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
130,"Soins physiques et psychiatriques de courte durée","Affections disséminées du tissu conjonctif (M30-M36)",706,7245,10.3,147,32,62,95,98,272,19,10.5,74.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
131,"Soins physiques et psychiatriques de courte durée","Dorsopathies déformantes (M40-M43)",718,4602,6.4,21,218,39,133,144,163,3,0.0,5.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
132,"Soins physiques et psychiatriques de courte durée","Spondylopathies (M45-M49)",2813,32582,11.6,10,8,49,482,682,1582,39,2.6,45.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
133,"Soins physiques et psychiatriques de courte durée","Autres dorsopathies (M50-M54)",3615,28552,7.9,16,19,376,1011,627,1566,23,4.3,69.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
134,"Soins physiques et psychiatriques de courte durée","Atteintes musculaires (M60-M63)",2168,48318,22.3,82,21,105,155,281,1524,75,0.0,60.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
135,"Soins physiques et psychiatriques de courte durée","Atteintes des synoviales et des tendons (M65-M68)",285,1815,6.4,43,10,42,73,39,78,5,0.0,81.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
136,"Soins physiques et psychiatriques de courte durée","Autres affections des tissus mous (M70-M79)",1183,10608,9.0,24,33,118,276,275,457,41,0.0,69.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
137,"Soins physiques et psychiatriques de courte durée","Anomalies de la densité et de la structure osseuses (M80-M85)",1332,16827,12.6,20,34,54,146,242,836,34,0.0,59.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
138,"Soins physiques et psychiatriques de courte durée","Autres ostéopathies (M86-M90)",1930,28375,14.7,119,71,101,411,458,770,75,0.0,61.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
139,"Soins physiques et psychiatriques de courte durée","Chondropathies (M91-M94)",120,307,2.6,17,51,16,13,7,16,0,0.0,48.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
140,"Soins physiques et psychiatriques de courte durée","Autres maladies du système ostéo-articulaire, des muscles et du tissu conjonctif (M95-M99)",491,7403,15.1,2,7,12,57,85,328,18,0.0,58.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
141,"Soins physiques et psychiatriques de courte durée","Glomérulopathies (N00-N08)",376,3021,8.0,39,30,45,83,75,104,9,11.1,50.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
142,"Soins physiques et psychiatriques de courte durée","Maladies rénales tubulo-interstitielles (N10-N16)",7972,46556,5.8,732,190,778,1327,1293,3652,134,0.0,88.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
143,"Soins physiques et psychiatriques de courte durée","Insuffisance rénale (N17-N19)",4391,43027,9.8,39,41,204,595,923,2589,460,0.7,75.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
144,"Soins physiques et psychiatriques de courte durée","Lithiase urinaire (N20-N23)",3059,8219,2.7,8,45,445,1032,679,850,13,0.0,71.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
145,"Soins physiques et psychiatriques de courte durée","Autres affections du rein et de l'uretère (N25-N29)",262,1339,5.1,9,2,24,76,58,93,2,0.0,53.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
146,"Soins physiques et psychiatriques de courte durée","Autres maladies de l'appareil urinaire (N30-N39)",5113,43247,8.5,147,30,154,476,738,3568,204,0.5,86.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
147,"Soins physiques et psychiatriques de courte durée","Maladies des organes génitaux de l'homme (N40-N51)",3507,10771,3.1,61,162,140,410,948,1786,20,5.0,30.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
148,"Soins physiques et psychiatriques de courte durée","Affections du sein (N60-N64)",223,602,2.7,7,16,62,80,32,26,1,0.0,57.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
149,"Soins physiques et psychiatriques de courte durée","Affections inflammatoires des organes pelviens de la femme (N70-N77)",689,2939,4.3,12,40,332,213,45,47,9,0.0,83.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
150,"Soins physiques et psychiatriques de courte durée","Affections non inflammatoires de l'appareil génital de la femme (N80-N98)",4021,7724,1.9,12,89,749,1537,730,904,4,0.0,20.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
151,"Soins physiques et psychiatriques de courte durée","Autres affections de l'appareil génito-urinaire (N99)",256,1118,4.4,4,3,12,38,72,127,3,0.0,42.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
152,"Soins physiques et psychiatriques de courte durée","Grossesse se terminant par un avortement (O00-O08)",2006,2751,1.4,0,45,1774,187,0,0,0,0.0,68.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
153,"Soins physiques et psychiatriques de courte durée","Oedème, protéinurie et hypertension au cours de la grossesse, de l'accouchement et de la puerpéralité (O10-O16)",3803,10914,2.9,0,48,3488,267,0,0,0,0.0,7.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
154,"Soins physiques et psychiatriques de courte durée","Autres affections maternelles liées principalement à la grossesse (O20-O29)",5913,13270,2.2,0,69,5442,402,0,0,0,0.0,10.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
155,"Soins physiques et psychiatriques de courte durée","Soins maternels liés au foetus et à la cavité amniotique, et problèmes possibles à l'accouchement (O30-O48)",25765,61738,2.4,0,294,24088,1383,0,0,0,0.0,3.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
156,"Soins physiques et psychiatriques de courte durée","Complications du travail et de l'accouchement (O60-O75)",41705,87684,2.1,0,535,39462,1708,0,0,1,0.0,2.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
157,"Soins physiques et psychiatriques de courte durée","Complications principalement liées à la puerpéralité (O85-O92)",498,1372,2.8,0,11,464,23,0,0,0,0.0,63.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
158,"Soins physiques et psychiatriques de courte durée","Autres problèmes obstétricaux, non classés ailleurs (O94-O99)",4454,9286,2.1,0,94,4140,220,0,0,0,0.0,12.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
159,"Soins physiques et psychiatriques de courte durée","Foetus et nouveau-né affectés par des troubles maternels et par des complications de la grossesse, du travail et de l'accouchement (P00-P04)",1248,2682,2.1,1248,0,0,0,0,0,5,60.0,0.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
160,"Soins physiques et psychiatriques de courte durée","Anomalies liées à la durée de la gestation et à la croissance du foetus (P05-P08)",10707,82066,7.7,10707,0,0,0,0,0,106,24.5,0.1,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
161,"Soins physiques et psychiatriques de courte durée","Traumatismes obstétricaux (P10-P15)",786,1473,1.9,786,0,0,0,0,0,1,100.0,0.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
162,"Soins physiques et psychiatriques de courte durée","Affections respiratoires et cardiovasculaires spécifiques de la période périnatale (P20-P29)",5608,21851,3.9,5608,0,0,0,0,0,8,25.0,4.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
163,"Soins physiques et psychiatriques de courte durée","Infections spécifiques de la période périnatale (P35-P39)",498,2391,4.8,498,0,0,0,0,0,3,66.7,44.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
164,"Soins physiques et psychiatriques de courte durée","Affections hémorragiques et hématologiques du foetus et du nouveau-né (P50-P61)",5622,11182,2.0,5622,0,0,0,0,0,1,0.0,1.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
165,"Soins physiques et psychiatriques de courte durée","Anomalies endocriniennes et métaboliques transitoires spécifiques du foetus et du nouveau-né (P70-P74)",1068,2627,2.5,1068,0,0,0,0,0,0,0.0,2.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
166,"Soins physiques et psychiatriques de courte durée","Affections de l'appareil digestif du foetus et du nouveau-né (P75-P78)",250,1337,5.3,250,0,0,0,0,0,3,0.0,49.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
167,"Soins physiques et psychiatriques de courte durée","Affections concernant les téguments et la régulation thermique du foetus et du nouveau-né (P80-P83)",1657,2990,1.8,1657,0,0,0,0,0,0,0.0,14.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
168,"Soins physiques et psychiatriques de courte durée","Autres affections dont l'origine se situe dans la période périnatale (P90-P96)",2225,8157,3.7,2225,0,0,0,0,0,55,36.4,8.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
169,"Soins physiques et psychiatriques de courte durée","Malformations congénitales du système nerveux (Q00-Q07)",194,1397,7.2,116,17,19,26,12,4,2,0.0,7.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
170,"Soins physiques et psychiatriques de courte durée","Malformations congénitales de l'oeil, de l'oreille, de la face et du cou (Q10-Q18)",231,463,2.0,163,32,15,15,4,2,0,0.0,5.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
171,"Soins physiques et psychiatriques de courte durée","Malformations congénitales de l'appareil circulatoire (Q20-Q28)",1412,10428,7.4,653,109,126,245,169,110,21,14.3,6.6,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
172,"Soins physiques et psychiatriques de courte durée","Malformations congénitales de l'appareil respiratoire (Q30-Q34)",213,916,4.3,192,9,4,4,3,1,3,0.0,20.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
173,"Soins physiques et psychiatriques de courte durée","Bec-de-lièvre et fente palatine (Q35-Q37)",215,493,2.3,185,24,4,2,0,0,0,0.0,0.0,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
174,"Soins physiques et psychiatriques de courte durée","Autres malformations congénitales de l'appareil digestif (Q38-Q45)",1023,4254,4.2,951,9,15,16,17,15,0,0.0,18.8,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
175,"Soins physiques et psychiatriques de courte durée","Malformations congénitales des organes génitaux (Q50-Q56)",220,433,2.0,202,13,3,2,0,0,0,0.0,3.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
176,"Soins physiques et psychiatriques de courte durée","Malformations congénitales de l'appareil urinaire (Q60-Q64)",391,1482,3.8,333,8,8,26,11,5,1,100.0,7.4,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
177,"Soins physiques et psychiatriques de courte durée","Malformations congénitales et déformations du système ostéo-articulaire et des muscles (Q65-Q79)",897,4229,4.7,696,133,40,14,8,6,4,25.0,1.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
178,"Soins physiques et psychiatriques de courte durée","Autres malformations congénitales (Q80-Q89)",445,3701,8.3,333,18,35,35,18,6,3,0.0,6.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
179,"Soins physiques et psychiatriques de courte durée","Anomalies chromosomiques, non classées ailleurs (Q90-Q99)",59,1663,28.2,49,3,2,4,1,0,6,0.0,16.9,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
180,"Soins physiques et psychiatriques de courte durée","Symptômes et signes relatifs aux appareils circulatoire et respiratoire (R00-R09)",5288,21444,4.1,287,93,195,976,1157,2580,88,1.1,78.5,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
181,"Soins physiques et psychiatriques de courte durée","Symptômes et signes relatifs à l'appareil digestif et à l'abdomen (R10-R19)",3142,14295,4.5,320,236,504,658,456,968,66,1.5,80.7,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
182,"Soins physiques et psychiatriques de courte durée","Symptômes et signes relatifs à la peau et au tissu cellulaire sous-cutané (R20-R23)",287,1047,3.6,58,11,38,68,49,63,1,0.0,82.2,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
183,"Soins physiques et psychiatriques de courte durée","Symptômes et signes relatifs aux systèmes nerveux et ostéo-musculaire (R25-R29)",3876,67666,17.5,192,24,30,99,307,3224,114,0.9,87.3,"Titre du rapport « S16  Sommaire des départs selon le diagnostic principal par groupe de rubrique»","Entre 2022/04/01 et 2023/03/31", 2023-08-29
