ï»¿description,nom_batiment,classe,lien_photo,piia,annee_inventaire,avis_de_categorisation,st_area(shape),st_length(shape)
6255-87-8327 Vespasienne du Parc St-Maurice,Vespasienne du Parc St-Maurice,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-87-8327.jpg,Section_7,2010,,252.750274335,78.7707819671029
6257-40-9194, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-9194.jpg,Section_7,2010,,63.617481,34.2850180558335
6257-41-4419, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-4419.jpg,Section_7,2010,,50.2120931,32.3973887611011
6257-41-4419, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-4419.jpg,Section_7,2010,,43.05489559,26.5223396552737
6257-41-4419, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-4419.jpg,Section_7,2010,,45.54964317,28.1831725450347
6257-41-4419, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-4419.jpg,Section_7,2010,,60.70804909,33.5669527394291
6257-41-6252, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-6252.jpg,Section_7,2010,,42.64131522,28.9339670472009
6257-41-6252, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-6252.jpg,Section_7,2010,,47.813981405,33.097443811391
6257-41-6252, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-6252.jpg,Section_7,2010,,73.40745058,37.2391377825283
6257-41-6252, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-41-6252.jpg,Section_7,2010,,84.515599975,40.3153296987039
6257-51-1126, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-51-1126.jpg,Section_7,2010,,69.1500259,34.8063194536668
6257-51-1126, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-51-1126.jpg,Section_7,2010,,62.863476755,32.6240356634166
6257-51-1126, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-51-1126.jpg,Section_7,2010,,55.84978077,34.9064973570372
6257-51-1126, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-51-1126.jpg,Section_7,2010,,63.625216375,33.784914656444
6257-58-8783 Vespasienne du Parc St-Marc,Vespasienne du Parc St-Marc,Patri-Arch,jmap.shawinigan.ca/doc/photos/6257-58-8783.jpg,Section_7,2010,,458.032038075,113.259683073108
6357-11-5809, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6357-11-5809.jpg,Section_7,2010,,595.0225655,122.178845928442
Pont de Grand-MÃ¨re,Pont de Grand-MÃ¨re,Patri-Arch,jmap.shawinigan.ca/doc/photos/Pont_de_Grand-MÃ¨re.jpg,Section_7,2010,,6614.401841765,583.587023876189
6257-40-2684, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-2684.jpg,Section_7,2010,,47.72321719,29.7161823938076
6257-40-2684, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-2684.jpg,Section_7,2010,,106.8345734,44.9273674874379
6257-40-7061, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-7061.jpg,Section_7,2010,,45.832812595,29.3539398346598
6257-40-7061, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-7061.jpg,Section_7,2010,,52.00218305,32.0161221265298
6257-40-7061, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-7061.jpg,Section_7,2010,,57.62896993,30.7385672148307
6257-40-7061, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-7061.jpg,Section_7,2010,,78.150843385,36.9907387642907
6257-40-9194, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-9194.jpg,Section_7,2010,,44.942582475,31.5896697694687
6257-40-9194, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-9194.jpg,Section_7,2010,,40.30676916,29.7000170624417
6257-40-9194, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-9194.jpg,Section_7,2010,,40.470766215,27.5752548577306
6663-79-8319, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6663-79-8319.jpg,Section_7,2014,,140.206611,52.5158926377134
6664-77-1161, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-77-1161.jpg,Section_7,2014,,146.8084755,50.3791477158288
6664-88-8121, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-88-8121.jpg,Section_7,2014,,271.413534,94.0201470002792
6664-88-1607, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-88-1607.jpg,Section_7,2014,,163.6770545,52.9490536804093
6664-88-8945, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-88-8945.jpg,Section_7,2014,,122.1233745,48.3068918577333
6764-03-8956, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-03-8956.jpg,Section_7,2014,,219.850956,60.1668785647062
6764-09-2118,Union Cemetery,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-09-2118.jpg,Section_7,2014,,221.54619312,52.8310549888008
6764-24-1498,Ancien presbytÃ¨re anglican,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-24-1498.jpg,Section_7,2014,,250.00594825,84.4843088878077
6764-25-6229, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-25-6229.jpg,Section_7,2014,,100.997279,40.680327495205
6764-25-6757, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-25-6757.jpg,Section_7,2014,,124.697952,49.8971530355621
6764-25-7494, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-25-7494.jpg,Section_7,2014,,191.41734585,57.8394020080307
6764-26-7751, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-26-7751.jpg,Section_7,2014,,170.7056605,54.5309595018625
6764-26-8774, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-26-8774.jpg,Section_7,2014,,105.84947062,46.9896630691677
6664-66-8365, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-95-1836.jpg,Section_7,2014,,137.646825,51.1441534919914
6364-42-0586, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6364-42-0586.jpg,Section_7,2014,,118.3137826,54.9460042711768
6364-55-6233,Maison LÃ©o-Ayotte,Patri-Arch,jmap.shawinigan.ca/doc/photos/6364-55-6233.jpg,Section_7,2014,,149.72024946,54.1366856940358
6364-76-6634, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6364-76-6634.jpg,Section_7,2014,,156.86726253,51.9012253170512
6565-84-0905, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6565-84-0905.jpg,Section_7,2014,,157.698294075,52.0558431514427
6663-16-8071, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6663-16-8071.jpg,Section_7,2014,,130.582956,51.5091183022807
6663-37-9145, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6663-37-9145.jpg,Section_7,2014,,159.8560505,55.9621289706964
6663-38-7662, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6663-38-7662.jpg,Section_7,2014,,81.745859,37.8686128643173
6663-58-7342, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6663-58-7342.jpg,Section_7,2014,,111.9992565,45.8106205456092
6663-67-7460, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6663-67-7460.jpg,Section_7,2014,,148.5594785,53.9942752996581
6664-34-3842, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-34-3842.jpg,Section_7,2014,,74.452713,35.4761572384931
6664-34-5426, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-34-5426.jpg,Section_7,2014,,95.8265745,45.7394778579709
6664-47-2311, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-47-2311.jpg,Section_7,2014,,84.3396596,39.5193330342802
6664-71-7289, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-71-7289.jpg,Section_7,2014,,134.40643142,47.6833707349589
6664-83-2578,Ancienne boucherie H. Deschamps,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-83-2578.jpg,Section_7,2014,,181.27015886,53.9669896372545
6665-20-1228, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6665-20-1228.jpg,Section_7,2014,,113.33406,44.9375093284958
6665-20-5545, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6665-20-5545.jpg,Section_7,2014,,128.287298,49.27407494714
6763-03-0535, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6763-03-0535.jpg,Section_7,2014,,134.9011105,49.1577060178298
6763-14-0519, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6763-14-0519.jpg,Section_7,2014,,129.341399,49.5866436935585
6764-06-4796, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-06-4796.jpg,Section_7,2014,,95.96162104,43.1870066900226
6764-37-1182, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-37-1182.jpg,Section_7,2014,,189.713628,75.1805312927709
6255-18-9579, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-18-9579.jpg,Section_7,2014,,508.597175195,101.309507666862
6255-39-3247,Ancien bureau de poste de Shawinigan,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-39-3247.jpg,Section_7,2014,,174.48594307,61.0986660595987
6255-39-3850,Ancien thÃ©Ã¢tre Auditorium,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-39-3850.jpg,Section_7,2014,,211.511775,74.79442334862
6255-39-6602, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-39-6602.jpg,Section_7,2014,,242.588054645,84.6533499584369
6255-49-2206, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-49-2206.jpg,Section_7,2014,,223.44212113,83.9552664036037
6255-49-3811,Ãdifice A.-E Guillemette,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-49-3811.jpg,Section_7,2014,,225.870255765,75.9007093520612
6255-59-5617, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-59-5617.jpg,Section_7,2014,,197.668796815,68.9607493974999
6255-89-1731, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-89-1731.jpg,Section_7,2014,,129.5372355,51.3620460490409
6460-84-4900, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6460-84-4900.jpg,Section_7,2014,,97.165798,40.6066008832829
6665-63-4668,Club house de Grand-MÃ¨re,Patri-Arch,jmap.shawinigan.ca/doc/photos/6665-63-4668.jpg,Section_7,2014,,718.81117029,112.337378003374
6765-32-7363, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6765-32-7363.jpg,Section_7,2014,,126.971483405,54.1574985890453
6765-21-8986, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6765-21-8986.jpg,Section_7,2014,,201.405022,63.0725557202606
6864-99-8986, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6864-99-8986.jpg,Section_7,2014,,118.209694925,49.7177727556489
6765-44-5455, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6765-44-5455.jpg,Section_7,2014,,269.997470495,91.130093706265
6864-99-7772, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6864-99-7772.jpg,Section_7,2014,,115.717056045,49.0128768231858
6864-99-1002, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6864-99-1002.jpg,Section_7,2014,,140.0924275,50.7194873579832
6865-72-7604, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6865-72-7604.jpg,Section_7,2014,,97.5057785,42.1840196887855
6865-81-1172, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6865-81-1172.jpg,Section_7,2014,,117.32180619,47.423496002658
7163-75-0586, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/7163-75-0586.jpg,Section_7,2014,,96.289996,39.2866386142036
7163-75-2814, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/7163-75-2814.jpg,Section_7,2014,,99.96697472,44.7426337578937
7164-64-2890, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/7164-64-2890.jpg,Section_7,2014,,147.9455365,58.615836752162
6256-55-8440, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-55-8440.jpg,Section_7,2014,,102.81379907,45.7994485213448
6154-95-6943, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6154-95-6943.jpg,Section_7,2014,,167.80408386,52.2703900892946
6156-51-6804, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-51-6804.jpg,Section_7,2014,,104.64155855,50.3091207400476
6156-51-8206,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-51-8206.jpg,Section_7,2014,,102.53650828,49.7071921062639
6156-61-9322, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-61-9322.jpg,Section_7,2014,,132.4314505,51.4580633245705
6156-71-1130, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-71-1130.jpg,Section_7,2014,,141.28472336,50.6032959164572
6156-72-4745, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-72-4745.jpg,Section_7,2014,,132.7238045,48.6838335983542
6156-80-0541,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-80-0541.jpg,Section_7,2014,,102.08156775,41.0958766903422
6156-80-3126,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-80-3126.jpg,Section_7,2014,,91.117423245,38.7861100058308
6156-80-4517,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-80-4517.jpg,Section_7,2014,,112.669375,48.5573981402303
6253-47-1960,Maison H.-L. Gagnon,Patri-Arch,jmap.shawinigan.ca/doc/photos/6253-47-1960.jpg,Section_7,2014,,85.8379361,39.9500344857495
6253-47-0242,Maison ArclÃ¨s-LafreniÃ¨re,Patri-Arch,jmap.shawinigan.ca/doc/photos/6253-47-0242.jpg,Section_7,2014,,91.953094,43.058696321934
6254-16-5748, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6254-16-5748.jpg,Section_7,2014,,149.68503394,56.1274716162392
6254-25-0764, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6254-25-0764.jpg,Section_7,2014,,90.1644842,40.6818372772024
6256-02-2677 et 6256-02-0980,"1092-1102, Rue des Ãrables secteur Shawinigan",Provincial,jmap.shawinigan.ca/doc/photos/6256-02-2677_6256-02-0980.jpg,Section_7,2010,,101.667034305,46.5178936971076
6254-66-5894,Maison Adrienne-Choquette,Patri-Arch,jmap.shawinigan.ca/doc/photos/6254-66-5894.jpg,Section_7,2014,,105.342936,41.7507677550649
6256-31-5684,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-31-5684.jpg,Section_7,2014,,136.749178845,49.4125191599542
6256-42-3699, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-42-3699.jpg,Section_7,2014,,145.6390895,52.5698731525538
6256-43-3814, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-43-3814.jpg,Section_7,2014,,152.798872,53.0655894743017
6256-42-3268, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-42-3268.jpg,Section_7,2014,,134.032737995,53.0393104670471
6764-04-5373,Ãcuries derriÃ¨re l'HÃ´tel Lasalle,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-04-5373.jpg,Section_7,2014,,156.105856,51.8479422216163
2102 avenue Champlain,,Patri-Arch,jmap.shawinigan.ca/doc/photos/2102_Champlain_160419.JPG,Section_7,2016,,193.1989993,55.9069656301693
5567-62-5989 Domaine BeausÃ©jour,Domaine BeausÃ©jour,Provincial,jmap.shawinigan.ca/doc/photos/5567-62-5989.jpg,Section_7,2010,,697.02034745,126.250665962071
5665-47-2791, ,Provincial,jmap.shawinigan.ca/doc/photos/5665-47-2791.jpg,Section_7,2010,,205.22446536,60.5895997856839
5962-55-3970, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/5962-55-3970.jpg,Section_7,2014,,156.01211267,53.0156171744645
6055-99-3735, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6055-99-3735.jpg,Section_7,2014,,123.344220155,46.3259886161256
6155-25-3000 Centrale de la Northern Aluminium Company,Centrale de la Northern Aluminium Company,Patri-Arch,jmap.shawinigan.ca/doc/photos/6155-25-3000.jpg,Section_7,2010,,40773.06820412,1278.89190303553
6156-80-1833,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-80-1833.jpg,Section_7,2014,,127.4152407,47.5384107630882
6195-34-9680, ,Provincial,jmap.shawinigan.ca/doc/photos/6195-34-9680.jpg,Section_7,2010,,103.4427155,44.7541048964203
6254-34-3577 Ãglise Notre-Dame-de-la-PrÃ©sentation,Ãglise Notre-Dame-de-la-PrÃ©sentation,National,jmap.shawinigan.ca/doc/photos/6254-34-3577_Eglise.jpg,Section_7,2010,,850.605701125,138.833600246043
6255-79-0194 HÃ´tel de ville,HÃ´tel de ville,Patri-Arch,jmap.shawinigan.ca/doc/photos/6255-79-0194.jpg,Section_7,2010,,2134.693377,259.484418479257
6257-40-6523,,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-6523.jpg,Section_7,2010,,77.07882852,36.2747347824436
6257-40-6523,,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-6523.jpg,Section_7,2010,,68.17397816,34.4268851636294
6763-09-5583,,Provincial,jmap.shawinigan.ca/doc/photos/6763-09-5583.jpg,Section_7,2010,,92.55084548,41.028078735002
6764-00-7678,,Provincial,jmap.shawinigan.ca/doc/photos/6764-00-7678.jpg,Section_7,2010,,89.80966138,38.920014181932
6764-25-9115,,Provincial,jmap.shawinigan.ca/doc/photos/6764-25-9115.jpg,Section_7,2010,,108.6808885,43.207896367285
6765-32-7363,,Patri-Arch,jmap.shawinigan.ca/doc/photos/6765-32-7363.jpg,Section_7,2014,,124.151558095,54.0337896235425
Viaduc-Beau-Rivage,Viaduc de chemin de fer,Patri-Arch,jmap.shawinigan.ca/doc/photos/Viaduc-Beau-Rivage.jpg,Section_7,2014,,327.61975687,84.1376
6765-43-1208,,Provincial,jmap.shawinigan.ca/doc/photos/6765-43-1208.jpg,Section_7,2010,,116.477233875,54.8027836252606
SHS_105A_00650,,Municipal,,Section_7,2021,,179.81160042,58.0230570696537
6256-37-4519,Shawinigan Terminal, ,jmap.shawinigan.ca/doc/photos/6256-37-4519.jpg,Section_7,2014,,798.0135555,129.51785093727
SHA_4RUE_00280,,Municipal,,Section_7,2021,,180.64084555,61.7161100989056
6255-88-1197 et 6255-89-1011, ,Provincial,jmap.shawinigan.ca/doc/photos/6255-88-1197_6255-89-1011.jpg,Section_7,2010,,154.84097333,53.8463146057395
6256-01-7971 et 6256-01-6280, ,Provincial,jmap.shawinigan.ca/doc/photos/6256-01-7971_6256-01-6280.jpg,Section_7,2010,,143.348331295,61.502078196882
6156-92-9185 et 6156-92-7387, 1128-1136-Rue des Ãrables secteur Shawinigan,Provincial,jmap.shawinigan.ca/doc/photos/6156-92-9185_6156-92-7387.jpg,Section_7,2010,,126.627146495,55.0912502329502
6156-92-9185 et 6156-92-7387, 1128-1136-Rue des Ãrables secteur Shawinigan,Provincial,jmap.shawinigan.ca/doc/photos/6156-92-9185_6156-92-7387.jpg,Section_7,2010,,119.39850217,52.4208115079608
6156-62-9627 et 6156-62-8618, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-62-9627_6156-62-8618.jpg,Section_7,2010,,148.02815537,52.2815230147811
6156-62-9627 et 6156-62-8618, ,Provincial,jmap.shawinigan.ca/doc/photos/6156-62-9627_6156-62-8618.jpg,Section_7,2010,,142.45254193,54.532194869576
6156-51-9510,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-51-9510.jpg,Section_7,2014,,100.41541614,49.3967243344368
6156-51-9510,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-51-9510.jpg,Section_7,2014,,97.210697285,49.0653628520959
6156-51-8206,Maison de compagnie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-51-8206.jpg,Section_7,2014,,100.00884012,49.4503677286638
6156-51-6804, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6156-51-6804.jpg,Section_7,2014,,102.258638075,50.0695590765668
6764-00-3358 et 6764-00-2350, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-00-3358_6764-00-2350.jpg,Section_7,2010,,89.20470365,37.9140269683913
6764-00-3358 et 6764-00-2350, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-00-3358_6764-00-2350.jpg,Section_7,2010,,72.7971902,34.7208960347059
6663-99-9386 et 6763-09-0670, ,Provincial,jmap.shawinigan.ca/doc/photos/6663-99-9386_6763-09-0670.jpg,Section_7,2010,,85.67962172,42.6567337649165
6663-99-9386 et 6763-09-0670, ,Provincial,jmap.shawinigan.ca/doc/photos/6663-99-9386_6763-09-0670.jpg,Section_7,2010,,82.103355515,43.9801107025699
SHA_BELG_00013,,Municipal,,Section_7,2021,,79.95478234,37.641256398233
SHA_BELG_00013,,Municipal,,Section_7,2021,,62.72872812,33.868242516481
SHA_BELG_00013,,Municipal,,Section_7,2021,,57.64369566,33.7536724971057
6764-51-4070 Usine Laurentide,Usine Laurentide,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-51-4070_Usine_Laurentide.jpg,Section_7,2010,,2695.69878563,389.993882283837
GRM_HARD_00381,,Municipal,,Section_7,2021,,268.27620505,79.0769994664976
6256-53-3780 Trinity United Church,Trinity United Church,Patri-Arch,jmap.shawinigan.ca/doc/photos/6256-53-3780.jpg,Section_7,2010,,242.4418965,80.0956473316263
6256-69-8250 Gare du Canadien National de Shawinigan,Gare du Canadien National de Shawinigan,National,jmap.shawinigan.ca/doc/photos/6256-69-8250.jpg,Section_7,2010,,651.424792,130.928436342297
6257-40-2684, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-2684.jpg,Section_7,2010,,48.4531994,30.4063209280958
6257-40-2684, ,Provincial,jmap.shawinigan.ca/doc/photos/6257-40-2684.jpg,Section_7,2010,,40.47779158,29.6768487775707
6258-91-7421 Ãcole St-Sacrement,Ãcole St-Sacrement,Patri-Arch,jmap.shawinigan.ca/doc/photos/6258-91-7421.jpg,Section_7,2010,,1178.3565545,188.333474880354
6272-86-1330 PresbytÃ¨re St-Jean-des-Piles,PresbytÃ¨re St-Jean-des-Piles,Patri-Arch,jmap.shawinigan.ca/doc/photos/6272-86-1330_PresbytÃ¨re.jpg,Section_7,2010,,247.665474,75.7901762052569
6363-08-2771, ,Patri-Arch,jmap.shawinigan.ca/doc/photos/6363-08-2771.jpg,Section_7,2014,,99.388225345,45.9269976428589
6364-21-9649 PresbytÃ¨re Ste-Flore,PresbytÃ¨re Ste-Flore,Patri-Arch,jmap.shawinigan.ca/doc/photos/6364-21-9649_PresbytÃ¨re.jpg,Section_7,2010,,248.817447,78.0487608508475
GRM_STFL_03280,,Municipal,,Section_7,2021,,137.70062417,51.3810129337955
6764-51-4070 Usine Laurentide,Usine Laurentide,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-51-4070_Usine_Laurentide.jpg,Section_7,2010,,782.78304507,139.126439634871
6664-83-5917 Ãglise St-Paul,Ãglise St-Paul,Patri-Arch,jmap.shawinigan.ca/doc/photos/6664-83-5917_Eglise.jpg,Section_7,2010,,1786.7903315,205.219082470558
6764-03-5589,Tour pour le sÃ©chage des boyaux de l'ancien poste d'incendie,Patri-Arch,jmap.shawinigan.ca/doc/photos/6764-03-5589.jpg,Section_7,2014,,599.94157404,106.84661957314
6159-74-5194 Centre St-Dominique,Centre St-Dominique,Patri-Arch,jmap.shawinigan.ca/doc/photos/6159-74-5194.jpg,Section_7,2010,,1505.7718405,205.967011450107
GRM_3RUE_00440,,Municipal,,Section_7,2021,,197.164431,61.9681674409291
GRM_4AVE_00035,,Municipal,,Section_7,2021,,133.2785105,53.2309603243625
SJP_STJE_01550,,Municipal,,Section_7,2021,,99.589323,42.061117850705
6363-09-2288,,Provincial,jmap.shawinigan.ca/doc/photos/6363-09-2288.jpg,Section_7,2010,,204.969707655,58.5847341553747
GRM_5AVE_00288,,Municipal,,Section_7,2021,,200.3909877,64.7784571713316
SHA_2RUE_00482,,Municipal,,Section_7,2021,,159.07083794,58.6191902031778
SHA_2RUE_00662,,Municipal,,Section_7,2021,,414.59357706,131.849935213182
GRM_3RUE_00351,,Municipal,,Section_7,2021,,250.369201,68.5992931785724
GRM_5AVE_00163,,Municipal,,Section_7,2021,,219.8246644,60.8023488579952
GRM_5AVE_00633,,Municipal,,Section_7,2021,,730.158102815,131.300101422157
SHA_ERAB_01310,,Municipal,,Section_7,2021,,221.726718,68.8270111046561
SHA_1RUE_00302,,Municipal,,Section_7,2021,,137.055995495,51.4030999214746
SHA_2RUE_00113,,Municipal,,Section_7,2021,,169.185717385,60.1979969795479
SHA_2RUE_00462,,Municipal,,Section_7,2021,,282.12264924,84.2208877719501
GRM_4AVE_00080,,Municipal,,Section_7,2021,,123.8477735,48.6228075592552
GRM_4AVE_00191,,Municipal,,Section_7,2021,,185.4332565,60.3378812877688
SJP_STJE_01273,,Municipal,,Section_7,2021,,110.611935,42.0772671053801
JP_STJE_01300,,Municipal,,Section_7,2021,,156.306925205,54.3148871777716
GRM_5AVE_01251,,Municipal,,Section_7,2021,,1782.89093885,328.335482528786
SHS_AALM_00580,,Municipal,,Section_7,2021,,126.55368879,54.4645565383234
SHA_BELG_00022,,Municipal,,Section_7,2021,,91.954723445,43.7197320602574
SHA_BELG_00173,,Municipal,,Section_7,2021,,119.72455572,45.0053897289641
SHA_BELG_00203,,Municipal,,Section_7,2021,,122.68557666,45.36450861035
SHA_CEDR_00853,,Municipal,,Section_7,2021,,177.544839685,63.6678214776927
SHA_ERAB_01235,,Municipal,,Section_7,2021,,157.3669835,52.6065246497117
GRM_FORM_00050, ,Provincial,jmap.shawinigan.ca/doc/photos/6764-37-3013.jpg,Section_7,2021,,138.6681425,51.7778578091377
SHA_PRST_00512,,Municipal,,Section_7,2021,,37.97926957,25.0088285302723
GRM_6AVE_00372,,Municipal,,Section_7,2021,,121.981640675,50.9993945295314
SHA_ERAB_01255,,Municipal,,Section_7,2021,,194.0241859,61.3996080506155
SHA_ERAB_01285,,Municipal,,Section_7,2021,,216.640677,72.9343017704147
SHA_ERAB_01335,,Municipal,,Section_7,2021,,115.26603876,49.0007029115104
SHA_ERAB_01345,,Municipal,,Section_7,2021,,142.31573282,49.9156319994021
SHA_ERAB_01363,,Municipal,,Section_7,2021,,117.92929,46.7968787599065
SHA_ERAB_01495,,Municipal,,Section_7,2021,,200.50957695,65.0437278604531
SHS_FRAC_00250,,Municipal,,Section_7,2021,,674.57706,114.788279473245
GRM_6AVE_00014,,Municipal,,Section_7,2021,,116.9368688,45.3073889558791
GRM_6AVE_00153,,Municipal,,Section_7,2021,,120.6900115,45.6712290798319
GRM_6AVE_00167,,Municipal,,Section_7,2021,,126.173116,45.3474724166546
GRM_6AVE_00714,,Municipal,,Section_7,2021,,127.8376822,45.7214846724096
GRM_STFL_02960,,Municipal,,Section_7,2021,,95.95615085,41.0376978836474
GRM_STFL_03000,,Municipal,,Section_7,2021,,240.29577,86.0406233613152
GRM_STFL_03191,,Municipal,,Section_7,2021,,103.0732175,42.3455184009137
GRM_STFL_03200,,Municipal,,Section_7,2021,,191.585495365,64.7402084423188
GRM_STFL_03221,,Municipal,,Section_7,2021,,246.74829685,69.528888350666
GRM_STFL_03230,,Municipal,,Section_7,2021,,198.79674,63.9829764418918
GRM_STFL_03500,,Municipal,,Section_7,2021,,364.608893,103.358851835733
GRM_STFL_03520,,Municipal,,Section_7,2021,,187.373305815,54.9275265176911
GRM_STFL_03701,,Municipal,,Section_7,2021,,149.89789575,49.8610727817629
GRM_STFL_03731,,Municipal,,Section_7,2021,,144.375541,51.5251408165775
GRM_STFL_03761,,Municipal,,Section_7,2021,,152.9011195,56.5017339742475
