"List of contracts of $25,000 or more",,
"Awarded June 1st, 2009 to May 31, 2010",,
,,
,,
"Supplier","Amount","Description"
"STINSON ÉQUIPMENT (QUÉBEC) INC","$26,951.59","Bollards and accessories "
"STINSON ÉQUIPMENT (QUÉBEC) INC","$12,002.81","Bollards "
"SYNDICAT DES COLS BLEUS REGROUPÉS DE MONTRÉAL S.C.F.P. 301 / F.T.Q. ","$27,500.00","Grievances – November 12, 2009 settlement "
"TENNANT","$7,060.69","Vehicle repairs and maintenance "
"TENNANT","$7,080.92","Tennant all-terrain litter vacuum, model ATLV 4300 "
"TENNANT","$63,349.59","Tennant all-terrain litter vacuum, model ATLV 4300 "
"TENNANT","$5,060.57","Vehicle repairs "
"TENNANT","$6,744.35","Extended warranty on ATLV – 2010 "
"TENNANT","$2,460.58","Filters, bags "
"TENNANT","$3,057.86","Repairs to units 109 09541 and 109-08402 "
"TOSHIBA SOLUTION D’AFFAIRES","$3,723.86","Contract for photocopier maintenance – administrative services and real estate assets "
"TOSHIBA SOLUTION D’AFFAIRES","$2,714.14","Contract for photocopier maintenance, series CGB614016 – human resources "
"TOSHIBA SOLUTION D’AFFAIRES","$4,306.37","Photocopier fees CEK29137 "
"TOSHIBA SOLUTION D’AFFAIRES","$6,757.29","Photocopier fees "
"TOSHIBA SOLUTION D’AFFAIRES","$3,250.27","Photocopiers – libraries "
"TOSHIBA SOLUTION D’AFFAIRES","$3,775.63","Open work order for 2010 – lease and service contract for e-Studio 451C photocopier for administrative services and clerk’s office "
"TOSHIBA SOLUTION D’AFFAIRES","$2,696.88","Open work order for 2010 – lease and service contract for elected officials’ office "
"TOSHIBA SOLUTION D’AFFAIRES","$2,895.37","Photocopier lease contract – BAM (2010) "
"TOSHIBA SOLUTION D’AFFAIRES","$2,601.95","Management – Leasing of Toshiba photocopier, No. CEB935350, January 1 to December 31, 2010 "
"TOSHIBA SOLUTION D’AFFAIRES","$2,088.24","Dispatching – Leasing of Toshiba photocopier, No. CXF917535, January 1 to December 31, 2010 "
"TOSHIBA SOLUTION D’AFFAIRES","$4,302.07","60-month lease, e-Studio 3530c photocopier – Fees for 2010 "
"TOSHIBA SOLUTION D’AFFAIRES","$9,838.20","Contract base fees + photocopier reading for 2010 "
"TRADUCTIONS TERRY KNOWLES INC. (LES)","$6,472.50","Open work order for 2010 – translation "
"TRADUCTIONS TERRY KNOWLES INC. (LES)","$19,114.06","Open work order for 2010 – Translation of documents and communications tools "
"TRADUCTIONS TERRY KNOWLES INC. (LES)","$21,575.00","Open work order for 2010 – Translation of documents "
"TRAFIC INNOVATION INC.","$74,189.74","Supply, installation, maintenance and storage of bollards, 2010 "
"TRAFIC INNOVATION INC.","$33,171.56","Fixed radar units "
"TRAFIC INNOVATION INC.","$20,873.82","Speed tables "
"TRAFIC INNOVATION INC.","$16,666.69","Movable radar units "
"VDM-SERVICE DE POLICE (SPVM)","$14,812.00","Police cadets – bicycle patrol – summer 2009 "
"VDM-SERVICE DE POLICE (SPVM)","$20,580.00","Police cadets – bicycle patrol – summer 2010 "
"VILLE DE MONT-ROYAL","$27,794.75","Service agreement with Town of Mount Royal "
"VILLE DE MONT-ROYAL","$44,073.48","Payment for agreement with residents of the Glenmount sector "
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION","$2,725.00","Financial contribution "
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION","$72,585.00","Financial contribution 2010 "
"WORLD COLOR PRESS INC.","$105,718.36","Printing of four issues of Le Citoyen newsletter – 2010 "
