"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2014 au 31 mai 2015",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"TECHSPORT INC.","2 152,66 $","Jeu de parc : 7146058 Tree-O Climber, palier 8', pour remplacer filet. Modèle 23605800 "
"TECHSPORT INC.","9 060,48 $","Achat d'équipement de la série Youth Fitness de Miracle, conformément à la soumission C2014-09-230 "
"TOSHIBA SOLUTION D'AFFAIRES ","33 885,32 $","Location et utilisation des photocopieurs pour l'arrondissement "
"TRANSVRAC MONTRÉAL LAVAL INC.","565 909,35 $","Transport de neige et de glace pour opération de chargement – Hiver 2014-2015 "
"TRANSVRAC MONTRÉAL LAVAL INC.","2 698,04 $","Transport de sols contaminés "
"TRANSVRAC MONTRÉAL LAVAL INC.","114 845,35 $","Transport de neige et glace – 2014 "
"TRANSVRAC MONTRÉAL LAVAL INC.","159 339,05 $","Camionnage en vrac de la terre et d'autres matériaux issus des opérations d'excavation "
"UNIVERSITÉ CONCORDIA ","104 987,50 $","Usage du terrain de l’Université Concordia – Campus Loyola "
"VILLE MONT-ROYAL ","115 486,25 $","Secteur Glenmount – activités de loisirs 2015 "
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION","46 041,00 $","Contribution financière pour club de vacances "
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION","28 744,00 $","Contribution financière pour prolongation de l’entente jusqu’au 31 décembre "
