"List of contracts of $25,000 or more",,
"Awarded June 1, 2007 to May 31, 2008",,
,,
,,
"Supplier","Amount","Description"
"TOSHIBA SOLUTION D’AFFAIRES","$2,916.60","Photocopier maintenance contract "
"TOSHIBA SOLUTION D’AFFAIRES","$2,714.14","Photocopier service contract "
"TOSHIBA SOLUTION D’AFFAIRES","$3,136.88","Photocopier rental "
"TOSHIBA SOLUTION D’AFFAIRES","$2,092.78","Photocopier rental "
"TOSHIBA SOLUTION D’AFFAIRES","$2,688.25","Photocopier rental "
"TRADUCTIONS TERRY KNOWLES INC.","$22,601.27","Translation of communications documents and tools "
"TRADUCTIONS TERRY KNOWLES INC.","$17,607.46","Translation of communications documents and tools, 2008 "
"TRAFIC INNOVATION INC.","$38,009.20","Purchase, delivery and installation of a shelter next to the St-Raymond bocce court "
"UNIBETON DIV. CIMENT QUÉBEC INC.","$14,429.69","Annual order "
"UNIBETON DIV. CIMENT QUÉBEC INC.","$62,270.96","Annual order "
"VALGEAU INC.","$37,627.29","Upgrading work on the playground for ages 2-5, De Sousa–Mendes Park "
"VALORISATEURS ÉCOLOGIQUES","$3,717.90","Composting sites "
"VALORISATEURS ÉCOLOGIQUES","$88,875.00","Financial contribution, Éco-quartier "
"VÉLO QUÉBEC ASSOCIATION","$30,942.19","Contract with Vélo-Québec "
"VIDOLO EXCAVATION LTD","$235,167.50","Contract for transporting waste by container, 2008 "
"W. CÔTÉ ET FILS LTÉE","$9,175.75","Hydraulic snowplow "
"W. CÔTÉ ET FILS LTÉE","$9,169.38","Hydraulic snowplow "
"W. CÔTÉ ET FILS LTÉE","$70,421.88","Four snowplows with steel harnesses "
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION","$72,585.00","Partnership agreement "
