"Nom du fournisseur";"Entente";"Description du bon de commande";"Montant engagement";"Engagement non terminé"
"L. S. M. SON & LUMIÈRES INC.";;"Équipement de scène pour la maison de la culture Notre-dame-de-Grâce ";"19 488,27 $";"x"
"LA COMPAGNIE DE LOCATION D’AUTOS ENTERPRISE CANADA.";"Entente 1506794, 1506800, 1506805";"Location annuelle de véhicules pour la Division des sports et loisirs";"17 184,35 $";
"LA COMPAGNIE DE LOCATION D’AUTOS ENTERPRISE CANADA.";"Entente 1506794, 1506800, 1506805";"Location annuelle de véhicules pour la Direction des travaux publics";"48 221,82 $";
"LA SOCIÉTÉ DE VERDISSEMENT DU MONTRÉAL MÉTROPOLITAIN";;"Contribution financière pour la réalisation du Projet de corridor écologique Darlington pour la période du 15 mai au 1er décembre 2021";"27 000,00 $";
"LA SOCIÉTÉ DE VERDISSEMENT DU MONTRÉAL MÉTROPOLITAIN";;"Contribution financière pour la réalisation d’un projet temporaire de verdissement et de plantations sur le site de l’ancien Hippodrome";"23 100,00 $";
"LAFARGE CANADA INC.";"Entente 1402405";"Achat de pierre concassée et pré-mélangée";"181 324,33 $";"x"
"LE GROUPE GENINOV INC.";;"Contrat de surveillance des travaux dans le cadre du projet RESEP-1";"82 327,63 $";"x"
"LE GROUPE GENINOV INC.";;"Contrat de surveillance des travaux dans le cadre du projet RESEP-2";"80 365,86 $";"x"
"LE GROUPE GENINOV INC.";;"Contrat de surveillance des travaux de réaménagement géométrique, de la construction de saillies et d’intersections surélevées près du CHU Sainte-Justine";"30 244,17 $";"x"
"LES ARCHITECTES LABONTÉ MARCIL (S.E.N.C.)";;"Réaménagements et rénovations du chalet des parcs Mackenzie-King, Van-Horne et Somerled";"486 785,76 $";"x"
"LES CONSTRUCTIONS ARGOZY INC.";;"Travaux de rénovation de la surface amortissante au parc Notre-Dame-de-Grâce ";"5 133,63 $";
"LES CONSTRUCTIONS ARGOZY INC.";;"Fourniture, transport et placement de poussière de pierre dans le parc à chiens du parc Trenholme";"5 944,21 $";
"LES CONSTRUCTIONS ARGOZY INC.";;"Diverses réparations au parc Martin-Luther-King et au Centre sportif Notre-Dame-de-Grâce";"2 012,06 $";
"LES CONSTRUCTIONS ARGOZY INC.";;"Contrat pour l’aménagement d’un jardin communautaire au parc YMCA";"24 007,68 $";
"LES CONSTRUCTIONS ARGOZY INC.";;"Travaux de réfection des surfaces amortissantes de l’aire de jeu du parc Somerled
";"37 056,45 $";"x"
"LES CONSTRUCTIONS ARGOZY INC.";;"Travaux de réfection des surfaces amortissantes de l’aire de jeu du parc Coffee ";"25 477,89 $";"x"
"LES CONSTRUCTIONS ARGOZY INC.";;"Travaux de réfection des surfaces amortissantes de l’aire de jeu du parc Georges-Saint-Pierre ";"25 658,74 $";"x"
"LES CONSTRUCTIONS ARGOZY INC.";;"Travaux de réfection des surfaces amortissantes de l’aire de jeu du parc Benny";"34 956,99 $";"x"
"LES CONSTRUCTIONS ARGOZY INC.";;"Travaux de réfection des surfaces amortissantes de l’aire de jeu du parc Martin-Luther-King";"73 480,53 $";"x"
"LES CONSTRUCTIONS ARGOZY INC.";;"Travaux de réfection des surfaces amortissantes de l’aire de jeu du parc de la Savane
";"35 374,36 $";"x"
"LES CONSTRUCTIONS ARGOZY INC.";;"Achat et installation de contreventements au nouveau jardin communautaire du parc YMCA ";"2 006,31 $";
"LES CONSTRUCTIONS ARGOZY INC.";;"Contrat pour le nettoyage du site et la réfection des surfaces gazonnées au parc Précieux-Sang";"13 003,67 $
";
"LES CONSTRUCTIONS ARGOZY INC.";;"Contrat pour l’agrandissement d’une dalle de béton au kiosque du parc Martin-Luther-King ";"6 036,19 $";
"LES ENTREPRISES CLOUTIER & GAGNON (1988) LTÉE";;"Travaux de réfection de la toiture du chalet du parc Martin-Luther-King";"129 754,47 $";"x"
"LES ENTREPRISES J-C BEAUDET INC.";;"Contrat de travaux de construction d’un mur antibruit dans le parc Précieux-Sang";"49 011,45 $";"x"
"LES GENS D’AFFAIRES DE NOTRE-DAME-DE-GRÂCE";;"Convention de contribution financière dans le cadre du Fonds de dynamisation des artères commerciales";"101 143,00 $";"x"
"LES HABITATIONS POPULAIRES DE PARC EXTENSION (HAPOPEX)";;"Remboursement des frais d’étude payés en trop pour une demande de permis";"48 661,77 $";
"LES INDUSTRIES POLY INC.";"Entente 1322302";"Service de numérisation pour l’année 2021";"27 593,99 $";"x"
"LES PAVAGES CEKA INC.";;"Contrat pour la construction d’une nouvelle conduite d’égout sur une section de l’avenue Isabella entre les avenues Macdonald et Clanranald";"9 000,00 $";
"LES PAVAGES CEKA INC.";;"Contrat pour la construction d’une nouvelle conduite d’égout sur une section de l’avenue Isabella entre les avenues Macdonald et Clanranald";"288 874,38 $";"x"
"LES PAVAGES CEKA INC.";;"Contrat pour la construction de dos-d’âne sur divers tronçons de rues";"420 204,88 $";"x"
"LES PAVAGES CEKA INC.";;"Contrat pour des travaux de réaménagement géométrique de l’intersection de l’avenue Coronation et du chemin de la Côte-Saint-Luc";"553 904,03 $";"x"
"LES SERRES RIEL INC.";;"Contrat de gré à gré pour la production de fleurs annuelles pour la campagne d’embellissement en 2021";"32 974,69 $";
"LES SERVICES EXP INC.";;"Conception d’un couvercle de chambre électrique pour le projet de réaménagement du parc de la Savane ";"2 184,53 $";
"LES SERVICES EXP INC.";;"Services professionnels pour l’assistance à la mise en service au Centre Le Manoir";"39 378,94 $";"x"
"LES YMCA DU QUÉBEC";;"Contribution financière dans le cadre du « Fonds Diversité et inclusion sociale en faveur des enfants et des familles vulnérables » pour le projet C-Vert ";"12 500,00 $";"x"
"LES YMCA DU QUÉBEC";;"Contribution financière dans le cadre du programme PALÎM visant à aider des personnes vivant avec des limitations fonctionnelles";"2 487,00 $";
"LES YMCA DU QUÉBEC";;"Contribution financière ponctuelle pour la réalisation d’une programmation en animation de loisirs - Jeunesse et aînés";"20 000,00 $";
"LOCATION GUAY";"Entente 1421578
";"Contrat pour la location d’une rétrocaveuse avec opérateur, incluant l’entretien et les accessoires, pour la plantation d’arbres et l’entretien des parcs de l’arrondissement";"126 526,42 $";"x"
"LOCATION GUAY";"Entente 1421578
";"Location d’une rétrocaveuse avec opérateur pour les arrondissements de Côte-des-Neiges–Notre-Dame-de-Grâce et d’Outremont";"72 347,03 $";"x"
"LOCATION LORDBEC INC.";;"Travaux de réparation de fuite d’eau et de la dalle d’une adresse spécifique de l’arrondissement";"17 719,04 $";
"LOCATION LORDBEC INC.";;"Travaux de réparation de divers drains privés dans l’arrondissement ";"41 405,80 $";
"LOCATION LORDBEC INC.";;"Travaux de réparation de branchement d’égout résidentiel";"21 592,31 $";"x"
"LOCATION SAUVAGEAU INC.";;"Location annuelle de véhicules pour la Division des sports et loisirs ";"9 713,09 $";"x"
"LOCATION SAUVAGEAU INC.";;"Location annuelle de véhicules pour la Direction des travaux publics (Division des études techniques) ";"17 587,48 $";"x"
"LOCATION SAUVAGEAU INC.";;"Location annuelle de véhicules pour la Division des sports et loisirs";"5 771,23 $";
"LOCATION SAUVAGEAU INC.";;"Location annuelle de véhicules pour la Direction des travaux publics (Division des parcs)";"13 900,48 $";"x"
"LOCATION SAUVAGEAU INC.";;"Location annuelle de véhicules pour les activités hors-les-murs de la Division de la culture et des bibliothèques";"5 722,83 $";"x"
"LOISELLE INC.";"Entente 1399671, 1402167";"Traitement et valorisation des sols contaminés de type BC";"59 135,08 $";"x"
"LOISELLE INC.";"Entente 1399671, 1402167";"Traitement et valorisation des sols contaminés de type AB";"141 419,25 $";"x"
"LOISIRS SOLEIL INC.";;"Contribution financière pour la réalisation du programme « Animation de camps de jour »";"25 565,00 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Conventions de service pour trois ans pour l’entretien sanitaire, l’accueil et la surveillance du Centre sportif Côte-des-Neiges, du Centre sportif Notre-Dame-de-Grâce, du Centre Trenholme, du Centre sportif Westhill et de certains plateaux sportifs du Collège Jean-de-Brébeuf";"927 079,03 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Convention de contribution financière pour la réalisation du programme « Animation d’un centre sportif »";"1 169 844,86 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Convention de contribution pour la réalisation du programme « Animation de camps de jour » - Camps de jour Simonne-Monet";"10 518,00 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Convention de service pour l’accueil et la surveillance du Pavillon Notre-Dame-de-Grâce";"34 492,50 $";
"LUMISOLUTION INC.";;"Acquisition d’éléments d’éclairage pour le terrain de baseball au parc Martin-Luther-King";"140 702,53 $";"x"
"MAISON DES JEUNES CÔTE-DES-NEIGES INC.";;"Convention de contribution financière pour la réalisation du programme « Soutien à la réalisation d’activités de loisirs » ";"28 633,15 $";
"MAISON DES JEUNES CÔTE-DES-NEIGES INC.";;"Convention de contribution financière pour la réalisation du programme « Maison des jeunes »";"22 292,94 $";
"MAISON DES JEUNES CÔTE-DES-NEIGES INC.";;"Convention de contribution financière pour la réalisation du programme « Animation de loisirs - J2000 »";"63 463,33 $";
"MATÉRIAUX PAYSAGERS SAVARIA LTÉE";"Entente 1416351, 1468667, 1468688";"Acquisition de fournitures horticoles diverses";"59,228,92 $";"x"
"MEUBLES DE PATIO RICHARD CHAMPAGNE ET LES PRODUITS NORD-SUD";;"Projet de halte et ajout de mobilier urbain pour la Place Guy-Viau";"12 479,39 $";
"MEUBLES DE PATIO RICHARD CHAMPAGNE ET LES PRODUITS NORD-SUD";;"Projet de halte et ajout de mobilier urbain pour la parc Charles-Este et le parc Paul-Doyon";"22 445,42 $";
"MEUBLES DE PATIO RICHARD CHAMPAGNE ET LES PRODUITS NORD-SUD";;"Achat de chaises Adirondack Replast pour les divers parcs";"7 680,33 $";
"MONETTE BARAKETT, S.E.N.C.";;"Offre de services professionnels d’analyse et de gestion des dossiers CNESST";"25 123,70 $";
"MULTI-SURFACES - F. GIGUÈRE INC.";;"Mise à niveau des terrains de balle au parc Loyola ";"43 612,32 $";
"MULTI-SURFACES - F. GIGUÈRE INC.";;"Mise à niveau de la piste d’athlétisme au parc de la Confédération ";"38 328,19 $";
"MULTI-SURFACES - F. GIGUÈRE INC.";;"Réparation du gazon du terrain de soccer au parc de la Confédération";"6 887,29 $";
"NCL ENVIROTEK INC.";;"Étude géotechnique et caractérisation environnementale des sols pour l’aménagement du parc Elie-Wiesel";"28 559,79 $";"x"
"NCL ENVIROTEK INC.";;"Étude géotechnique et caractérisation environnementale pour l’aménagement du parc Gilbert-Layton";"6 869,76 $";
"NI PRODUITS INC.";;"Achat d’îlots de déchets, de recyclage et de résidus alimentaires";"44 181,07 $";
"NOTRE-DAME-DES-ARTS";;"Contribution financière pour la réalisation du projet « Les amis du parc Notre-Dame-de-Grâce »";"17 000,00 $";
"NOTRE-DAME-DES-ARTS";;"Contribution financière pour la réalisation du Festival « La semaine des arts » dans Notre-Dame-de-Grâce";"18 000,00 $";
"OBURO";;"Achat de mobiliers pour la bibliothèque de Côte-des-Neiges ";"24 572,11 $
";
"OBURO";;"Achat de casiers pour le partage de bureaux au 6e étage au 5160, boulevard Décarie";"20 924,38 $";"x"
"P2K MONTRÉAL";;"Ajustement et réparation complète des regards et puisards";"48 289,49 $";
"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE S.E.N.C.R. L.";;"Différents contrats à l’unité pour huissiers de justice";"71 300,60 $";"x"
"PARENTS ENGAGÉS POUR LA PETITE ENFANCE";;"Contribution financière dans le cadre du « Fonds Diversité et inclusion sociale en faveur des enfants et des familles vulnérables » pour le projet « Favoriser l’alphabétisation précoce par le jeu »";"25 379,00 $";"x"
"PARIS, LADOUCEUR & ASSOCIÉS INC.";"Entente 1438947";"Évaluation de la valeur marchande de terrains";"48 232,02 $";"x"
"PÉPINIÈRE ABBOTSFORD INC.";;"Achat d’arbres pour des plantations dans une forêt urbaine 2021";"29 165,71 $";"x"
"PÉPINIÈRE ROUGEMONT ENR";;"Achat d’arbres pour des plantations dans une forêt urbaine 2021";"41 496,77 $";
"PRÉVENTION CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Contribution financière pour la réalisation des activités du plan d’action relié au Programme montréalais de soutien à l’action citoyenne dans les arrondissements (portion 2021)";"255 959,91 $";
"PRÉVENTION CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Peinture des deux conteneurs de Vélorution";"4 700,00 $";
"PRÉVENTION CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Contribution financière afin de permettre la création d’une murale sur la façade nord du Centre sportif de Côte-des-Neiges ";"20 000,00 $";
"PRÉVENTION CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Contribution financière afin de permettre la création d’une murale sur la façade ouest du 6645, avenue Somerled";"10 000,00 $";
"PRÉVENTION CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Contribution financière afin de permettre la création d’une murale sur la façade ouest du 5801, chemin Upper-Lachine ";"6 000,00 $";
"PRODUITS SANY";"Entente 1048199";"Réparation et entretien d’équipement utilisés aux arénas";"3 449,25 $";"x"
"PRODUITS SANY";"Entente 1048199";"Achat d’un appareil compact pour nettoyer les planchers pour les installations de sports et de loisirs ";"5 415,32 $";
"PRODUITS SANY";"Entente 1048199";"Achat d’une autorécureuse pour les installations de sports et de loisirs";"5 291,69 $";"x"
"PRODUITS SANY";"Entente 1048199";"Achat d’une machine électrique pour nettoyage de plancher";"3 674,60 $";"x"
"PRODUITS SANY";"Entente 1048199";"Achat de produits d’entretien pour la Direction des travaux publics (Division des parcs)";"5 000,80 $";
"PRODUITS SANY";"Entente 1048199";"Achat de sacs à ordures pour les parcs";"5 624,58 $";
"R&D ERGO LTD.";;"Achat de chariots ergonomiques pour la bibliothèque de Côte-des-Neiges";"36 660,78 $";
"RAMCOR CONSTRUCTION INC.";;"Contrat pour la construction de fosses d’arbres agrandies dans le cadre du projet de déminéralisation";"304 835,41 $";"x"
"RAYSIDE LABOSSIERE INC.";;"Contrat de services professionnels pour la planification des équipements collectifs dans le quartier Namur-Hippodrome";"190 299,98 $";
"RDQ CONSTRUCTION INC.";;"Achat et installation de soixante bacs surélevés pour le nouveau jardin communautaire";"104 857,20 $";
"RECY-BÉTON INC.";"Entente 1476575";"Traitement et valorisation de matériaux de béton et asphalte";"34 377,53 $";"x"
"SANEXEN SERVICES ENVIRONNEMENTAUX INC.";;"Contrat pour le remplacement des entrées de service d’eau en plomb et des travaux de réfection de chaussées et trottoirs";"4 426,54 $";
"SANEXEN SERVICES ENVIRONNEMENTAUX INC.";;"Contrat pour des travaux de remplacement des entrées de service d’eau en plomb et des travaux de réfection de chaussées et de trottoirs - RESEP 1 ";"8 301 438,75 $";"x"
"SANEXEN SERVICES ENVIRONNEMENTAUX INC.";;"Contrat pour des travaux de remplacement des entrées de service d’eau en plomb et des travaux de réfection de chaussées et de trottoirs RESEP 2 ";"7 135 219,14 $";"x"
"SHELLEX GROUPE CONSEIL INC.";;"Mandat de services professionnels en surveillance de travaux dans le cadre du projet de construction d’une nouvelle conduite d’égout sur une section du tronçon de l’avenue Isabella entre les avenues Macdonald et Clanranald";"47 703,13 $";"x"
"SIGMUM INC.";;"Soutien à la rédaction, au suivi et à l’évaluation du Plan d’alignement stratégique 2030 ";"44 265,38 $";"x"
"SOCIÉTÉ CANADIENNE DES POSTES";;"Service de messagerie et de poste";"36 637,55 $";"x"
"SOCIÉTÉ CANADIENNE DES POSTES";;"Service de messagerie et courrier de quartier";"12 647,25 $";
"SOCIÉTÉ DE DÉVELOPPEMENT COMMERCIAL EXPÉRIENCE CÔTE-DES-NEIGES";;"Contribution financière pour l’année 2021";"60 000,00 $";
"SOCIÉTÉ D’HABITATION ET DE DÉVELOPPEMENT DE MONTRÉAL (SHDM)";;"Contrat pour la réalisation d’un mandat d’évaluation de la faisabilité d’un projet mixte de développement sur le site de l’ancien Théâtre Empress";"250 000,00 $";"x"
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Convention de contribution financière dans le cadre du programme « Animation de jardins communautaires » pour le quartier de Côte-des-Neiges";"23 001,17 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Convention de service visant une gestion humanitaire et environnementale des biens disposés en bordure de rue lors d’évictions";"134 520,75 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Contrat de service pour le programme « Éco-Quartier » 2021 ";"381 179,50 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Convention de subvention pour la gestion des produits d’hygiène féminine durables";"15 372,65 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Contrat de gré à gré pour des activités d’information, de sensibilisation et d’éducation dans le cadre de l’implantation de la collecte des résidus alimentaires dans les immeubles de neuf logements et plus";"113 162,99 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Projet de contrôle de l’herbe à poux 2021";"35 000,00 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Programme de subvention de couches lavables et produits d’hygiène féminine durables, pour la période du 1er janvier au 31 décembre 2021.";"19 800,00 $";"x"
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Contrat de gestion des inscriptions pour les jardins communautaires de Côte-des-Neiges";"5 000,00 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Implantation de la collecte des résidus alimentaires dans les industries, les commerces, et les institutions ";"14 463,29 $";
"SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX (S.P.C.A)";;"Service de contrôle animalier - solde paiement 2020";"18 802,00 $";
"SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX (S.P.C.A)";;"Service de contrôle animalier, année 2021";"188 880,65 $";
"SOLUTIONS GRAFFITI - 9181-5084 QUÉBEC INC.";;"Contrat en gré à gré pour les services d’enlèvement de graffitis sur le domaine privé et public ";"44 121,86 $";"x"
"ST-GERMAIN ÉGOUTS ET AQUEDUCS INC.";"Entente 1277188";"Achat de pièces diverses pour l’aqueduc";"48 121,56 $";
"TECH VAC ENVIRONNEMENT INC.";"Entente 1463003";"Contrat pour des services d’hydro-excavation pour l’entretien de divers équipements";"202 212,28 $";"x"
"TECHNIRACK";;"Projet de fourniture, transport et installation d’équipement de rangement pour la cour de voirie de Darlington";"33 723.03 $";"x"
"TECHSPORT INC.";;"Contrat d’achat de mobilier urbain et d’installation des équipements de jeu d’enfants dans le parc de la Place du 6 décembre";"14 801,88 $";"x"
"TECHSPORT INC.";;"Contrat d’achat de mobilier urbain et d’installation des équipements de jeu d’enfants dans le parc Loyola";"14 041,58 $";"x"
"TECHSPORT INC.";;"Contrat d’achat de mobilier urbain et d’installation des équipements de jeu d’enfants dans le parc Notre-Dame-de-Grâce";"2 168,60 $";
"TELTECH SIGNALISATION INC.";"Entente 1307671";"Location de signalisation routière";"29 967,66 $";
"TELUS COMMUNICATIONS INC.";"Entente 1408829";"Contrats de service de téléphonie cellulaire";"75 488,78 $";"x"
"TESSIER RÉCRÉO-PARC INC.";;"Contrat pour la fourniture, l’installation et la réparation des modules de jeu dans le parc Gilbert-Layton";"13 974,07 $";
"TESSIER RÉCRÉO-PARC INC.";;"Fourniture et installation d’une glissoire dans le parc Somerled";"9 408,41 $";
"TESSIER RÉCRÉO-PARC INC.";;"Mise en marche, fermeture et entretien des jeux d’eau de cinq parcs";"12 702,44 $";"x"
"TESSIER RÉCRÉO-PARC INC.";;"Fourniture et réparation de mobilier urbain";"7 024,97 $";
"TRANSPORT GILBERT HAMELIN INC.";;"Contrat pour les services de deux citernes avec opérateurs";"31 312,80 $";
"TRANSPORT MOTTILLO ET FILS INC.";;"Travaux de remplacement de drains privés";"30 397,75 $";
"TRANSVRAC MONTRÉAL LAVAL INC.";;"Service de transport des terres pour 2021";"24 144,75 $";"x"
"TRANSVRAC MONTRÉAL LAVAL INC.";;"Service de transport des feuilles pour 2021";"23 997,39 $";"x"
"VILLE MONT-ROYAL";;"Abonnement et inscriptions pour les résidents du secteur Glenmount";"45 990,00 $";
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION";;"Convention de contribution financière pour la réalisation du programme « Animation d’un centre communautaire » se terminant le 31 décembre 2021";"36 982,00 $";
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION";;"Contribution financière dans le cadre du « Fonds Diversité et inclusion sociale en faveur des enfants et des familles vulnérables »";"7 090,00 $";
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION";;"Convention de service de gré à gré pour la gestion d’un centre communautaire afin de permettre un accès aux citoyens";"81 932,42 $";"x"
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION";;"Convention de contribution financière pour la réalisation du programme « Animation de camps de jour » - Camps de jour Westhaven";"20 452,00 $";
"WM QUÉBEC INC.";"Entente 1253901";"Service de disposition des résidus de balai de rue et de dépôt à neige - paiement résiduel de 2020";"24 196,77 $";
"WM QUÉBEC INC.";"Entente 1253901";"Service de disposition des résidus de balai de rue et de dépôt à neige - contrat 2021";"146 075,75 $";"x"
"ZARATE + LAVIGNE ARCHITECTES INC.";;"Services professionnels pour le projet de réfection des entrées et plomberie au Centre Communautaire de Loisir de la Côte-des-Neiges";"21 350,86 $";"x"
"ZARATE + LAVIGNE ARCHITECTES INC.";;"Services professionnels pour le projet de remplacement de la génératrice et l’installation d’un compteur d’eau à la bibliothèque et maison de la culture Côte-des-Neiges";"16 211,47 $";"x"
"Total :";;;"43 317 131,64$";
