Liste des contrats de 25 000 $ et plus,,,
Octroyés du 1er janvier au 31 décembre 2019,,,
Les montants inscrits incluent toutes les taxes. Ces montants incluent les contrats approuvés au Conseil d’arrondissement et financés par la Ville-Centre ou subventionnés,,,
Les lignes bleues correspondent à des engagements non terminés.,,,
,,,
Nom du fournisseur,Entente,Description du bon de commande,Montant engagement
,,Achat d'une balayeuse « pro team » et d'un chariot origo pour l'aréna Bill-Durnan,"4,790.92"
,,Achat de deux autocureuses pour l'aréna Bill-Durnan ,"41,306.33"
,,Achat de batteries de recharge pour les autocureuses ,"7,393.87"
PROJET PAYSAGE INC.,,Contrat de services professionnels en architecture du paysage et en ingénierie pour le réaménagement du parc de la Savane ,"173,842.20"
RECYCLAGE NOTRE-DAME INC.,Entente 1225134,Élimination et traitement des sols de type AB ,"203,000.16"
,,Résidus de balais ,"2,363.23"
REMORQUAGE BURSTALL CONRAD,,Service de remorquage pour l'arrondissement ,"36,168.83"
REMORQUAGE O SECOURS INC.,Entente 1368647,Location de quatre dépanneuses avec opérateur ,"61,810.56"
ROGERS COMMUNICATIONS CANADA INC.,Entente 1137408,Service de téléphonie cellulaire ,"82,373.83"
SANEXEN SERVICES ENVIRONNEMENTAUX INC.,,"Contrat pour des travaux de remplacement des entrées d'eau en plomb, de réfection de chaussées et de trottoirs dans l'arrondissement ","7,537,242.85"
SAUVER REMORQUAGES,,Prolongation du contrat pour les services de remorquage pour les opérations de déneigement (2018-2019),"319,512.64"
SERVICE D'INTERPRETE D'AIDE ET DE REFERENCE AUX IMMIGRANTS (SIARI),,"Contribution financière pour la réalisation de l'activité « Côte-des-Neiges vue par ses ados » dans le cadre de la Politique de l'enfant Naître, grandir, s’épanouir à Montréal : de l’enfance à l’adolescence","27,257.79"
SHELLEX INFRASTRUCTURES,,Contrat de surveillance des travaux pour le programme RESEP-1-2019 ,"102,632.43"
,,Surveillance de chantier pour le programme complémentaire PCPR-1-2019 ,"100,821.58"
,,Surveillance de chantier pour le programme complémentaire de réfection routière PRR-2-2019 ,"77,728.85"
SIGNALISATION KALITEC INC.,,"Contrat pour l'acquisition de quatorze afficheurs de vitesse radar avec message variable, dont sept afficheurs à alimentation électrique et sept à alimentation solaire","55,136.27"
SIGNALISATION S.A.I.C. INC,,Fabrication et installation de divers panneaux de signalisation intérieurs et extérieurs pour l'aréna Doug-Harvey ,"34,148.94"
SIGNEL SERVICES INC,Entente 1232492,"Panneaux de signalisation en aluminium, quincaillerie d'installation et transport","29,403.47"
SITE INTEGRATION PLUS INC.,,Travaux d'infrastructures de base et porte motorisée principale au Centre communautaire Notre-Dame-de-Grâce ,"12,492.90"
,,Installation d'une alarme anti-intrusion au Bureau Accès Montréal ,"5,748.58"
,,Contrat de gré à gré pour l'acquisition d'un système de contrôle d'accès « Prowatch » et d'un système d'intercom pour l'aréna Bill-Durnan ,"39,588.77"
,,Installation et tests du module d'accès de deux lecteurs au Centre communautaire Côte-des-Neiges ,"6,766.22"
,,Installation de caméras de surveillance au Bureau Accès Montréal ,"10,548.90"
,,Remplacement du système de surveillance de l'aréna Bill Durnan ,"17,648.66"
SNC-LAVALIN GEM QUEBEC INC.,Entente 1285110,Contrôle des matériaux lors des travaux d'infrastructures routières et souterraines dans le cadre du projet Westbury (phases 2 à 4) ,"50,583.16"
SNC-LAVALIN INC,Entente 1184867,Conception de plans et devis en lien avec les réaménagements géométriques ,"19,772.19"
SOCIETE CANADIENNE DES POSTES,,"Service de messagerie, courrier de quartier","25,265.65"
,,"Service de messagerie, postes ","43,099.87"
SOCIETE DE DEVELOPPEMENT COMMERCIAL EXPERIENCE COTE-DES-NEIGES,,Contribution financière à la Société de développement commercial Expérience Côte-des-Neiges pour l'achat de décors lumineux ,"10,000.00"
,,Convention et contribution financière à la Société de développement commercial Expérience Côte-des-Neiges ,"60,000.00"
SOCIETE ENVIRONNEMENTALE COTE-DES-NEIGES,,Contrat de service pour le programme Éco-quartier,"373,668.74"
,,Convention de contribution financière dans le cadre du programme « Animation de jardins communautaires » et « conteneur Conserre » dans Côte-des-Neiges,"23,001.17"
,,Convention de partenariat pour la réalisation du projet temporaire d'agriculture urbaine pour une durée de sept mois ,"52,500.00"
,,Contrat de service pour le contrôle de l’herbe à poux ,"100,000.00"
,,Gestion des inscriptions pour les jardins communautaires de Côte-des-Neiges ,"5,748.74"
,,Contrat de service pour la récupération des biens provenant des évictions ,"134,520.74"
SOCIETE POUR LA PREVENTION DE LA CRUAUTE ENVERS LES ANIMAUX (S.P.C.A),,Service de contrôle animalier ,"210,647.24"
SODEM INC.,,Contrat de location de terrains de soccer synthétiques pour enfants ,"13,024.36"
,,"Contrat de services pour le traçage et l'entretien des pistes de ski de fond aux parcs Notre-Dame-de-Grâce, Martin Luther-King, Benny et Loyola ","19,016.86"
SOLMATECH INC.,Entente 1285075,Carottage de chaussées (rues locales) incluant les contingences et les rapports,"7,134.19"
,,Carottage pour reconnaissance géotechnique sur diverses rues visées par les PRR et PCPR 2020 dans l'arrondissement ,"29,622.16"
,,Contrôle qualitatif des matériaux ,"173,115.33"
SOLOTECH INC,Entente 1205659,Achat d'une console de son pour la Maison de la culture Côte-des-Neiges ,"40,256.88"
,,Contrat pour la fourniture et l'installation des équipements audio-visuels dans le Bureau Accès Montréal ,"182,315.86"
SOLUTIONS GRAFFITI - 9181-5084 QUEBEC INC,Entente 1262846,Contrat pour les travaux d'enlèvement de graffitis sur le domaine privé dans l'arrondissement ,"41,379.50"
STELEM (CANADA) INC.,,Achat d'un manipulateur de vannes électriques ,"22,063.70"
,,Achat de pièces pour bornes-fontaines (aqueduc) ,"3,826.36"
TABASKO COMMUNICATIONS INC.,,Service de graphisme pour les programmations culturelles et des bibliothèques ,"7,901.08"
,,Service de graphisme pour divers projets ,"20,729.94"
,,Service d'impression pour divers projets ,"14,256.88"
TECHNIPARC,,Fourniture et installation de gazon autour de la piste de jeu de cricket du parc Van Horne,"23,282.44"
TEKNION ROY ET BRETON INC.,,Murs amovibles pour la Bibliothèque interculturelle ,"9,642.26"
,,Achat de deux tables bistro carrées (ATCSB30) et huit chaises visiteurs ZEE ,"4,297.35"
,,Achat de mobilier pour l'aréna Bill-Durnan ,"6,028.25"
,,Achat de mobilier pour le Bureau Accès Montréal ,"12,273.99"
TELTECH SIGNALISATION INC.,Entente 1307671,Signalisation pour travaux d’aqueduc (2019) ,"40,083.29"
TELTECH TELECOMMUNICATION INC.,Entente 1225128,Signalisation pour travaux d’aqueduc (2018),"49,839.93"
,,Signalisation pour travaux d’aqueduc (2019) ,"59,181.86"
TESSIER RECREO-PARC INC.,,Achat de contenants pour poubelles,"3,759.68"
,,"Contrat pour l'achat, le transport et l'installation de mobilier urbain sur le chemin de la Côte-des-Neiges ","29,520.98"
,,"Ouverture, fermeture et mise en marche des jeux d'eau dans divers parcs de l'arrondissement ","7,705.62"
TRAFIC INNOVATION INC.,,Achat de 200 délinéateurs flexibles verts c/a bandes blanches diamant pour Travaux publics ,"22,362.63"
,,Achat de bollards pour le placottoir sur l'avenue Guillaume-Couture et pour le projet transitoire de piétonnisation sur la rue Jean-Brillant ,"8,035.87"
TRANSPORT MOTTILLO ET FILS INC.,,Travaux de réparation de drains privés dans l'arrondissement ,"53,496.63"
TRANSVRAC MONTREAL LAVAL INC.,,Service de transport de terre,"46,677.44"
TUYAUX HITECH (HTP) LTEE ,,Travaux d'aqueduc sur le site de l'ancien hippodrome,"39,786.46"
ULINE CANADA CORP,,Achat de tapis pour la Bibliothèque interculturelle ,"4,746.89"
,,Commande de fournitures professionnelles et de produits d'expédition pour la bibliothèque Benny ,"2,874.38"
,,« Drop over cable protector » pour un projet commun d’élagage et d’aqueduc de la Direction des travaux publics ,"6,531.70"
,,"Achat de tables d’ateliers, avec fixtures et accessoires, pour le « Fab Lab » ","4,309.72"
,,"Achat d'un tapis pour le Centre de ressources communautaires de Côtes-des-Neiges (6767, chemin de la Côte-des-Neiges) ","6,111.53"
UNITED RENTALS DU CANADA,,Location de génératrice et remplissage de carburant à la bibliothèque de Côte-des-Neiges ,"54,360.38"
,,Remplissage de carburant à la bibliothèque de Côte-des-Neiges ,"12,495.10"
VILLE MONT-ROYAL,,"Entente de service entre l'arrondissement et Ville de Mont-Royal pour permettre aux résidents du secteur Glenmount d'utiliser les services de sports, de loisirs et la bibliothèque de Ville de Mont-Royal pour une période de quatre ans","45,990.00"
VORTEX STRUCTURES AQUATIQUES INTERNATIONALES INC,,Installation du contrôleur au parc Martin-Luther-King,"9,640.65"
,,Ouverture et fermeture des jeux d'eau de sept parcs dans l'arrondissement ,"6,029.74"
,,Modification et réaménagement des jeux d'eau au parc Notre-Dame-de-Grâce ,"37,286.40"
WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION,,Contribution financière à titre de « mesures transitoires » en loisirs durant la période de révision des programmes de soutien destinés aux OSBL reconnus par l'arrondissement,"4,200.00"
,,Convention de contribution financière pour la réalisation du projet « Programme - Animation d'un centre communautaire » se terminant le 31 décembre 2020,"36,982.00"
,,Convention de contribution pour la réalisation du « Programme camps de jour - Camp de jour Westhaven » ,"20,452.00"
,,Convention de service de gré à gré pour la « gestion d'un centre communautaire » afin de permettre un accès aux citoyens aux installations du Centre communautaire Westhaven,"81,932.43"
WM QUEBEC INC.,Entente 1253901,Service de disposition des résidus de balai de rue et de dépôt à neige ,"173,171.18"
PLUSIEURS OBNL (21),,Contributions financières dans le cadre de l'entente administrative sur la gestion du Fonds québécois d'initiatives sociales dans le cadre des alliances pour la solidarité,"482,042.00"
TOTAL :,,,"55,715,494.42"
