"List of contracts of $25,000 or more",,
"Awarded June 1st, 2008 to May 31, 2009",,
,,
,,
"Supplier","Amount","Description"
"SITE INTEGRATION PLUS INC.","$19,114.07","Renovation of lighting at Loyola Park "
"SITE INTEGRATION PLUS INC.","$17,061.51","Addition of remote control at Nelson Mandela Park "
"SNC-LAVALIN ENVIRONNEMENT INC.","$33,449.61","Soil characterization – construction of the Benny Sports and Community Complex "
"SOCIÉTÉ CANADIENNE DES POSTES","$7,784.26","2008 distribution of special Savoir-Faire Snow Clearing newsletters "
"SOCIÉTÉ CANADIENNE DES POSTES","$9,044.28","Production of Savoir-faire "
"SOCIÉTÉ CANADIENNE DES POSTES","$15,771.87","Production of Pick-up Schedule Changes "
"SOCIÉTÉ CANADIENNE DES POSTES","$8,979.31","Messenger service: Le Citoyen "
"SOCIÉTÉ EN COMMANDITE STRONGCO","$88,595.58","Rental of a grader – Roads Department – CDN—NDG for 3 months "
"SOCIÉTÉ EN COMMANDITE STRONGCO","$7,881.34","Vehicle maintenance and repairs "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","$2,000.00","Financial contribution for the development of a compostable materials’ management plan for institutions and large food marts in Côte-des-Neiges "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","$45,000.00","Financial contribution (October 1st to December 31, 2008) "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","$5,195.65","Management of the composting site "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","$25,000.00","Pilot project (eviction) "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","$5,500.00","2008 cleanliness campaign "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","$2,598.76","Management of composting sites and compost returns "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES","$75,000.00","“Eviction Project” agreement "
"SOCIÉTÉ IMMOBILIÈRE DU CANADA CLC LIMITÉE","$239,811.30","Grant - Prince-of-Wales project agreement "
"(S.P.C.A) SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX","$50,000.00","Emergency intervention for domestic and wild animals "
"STEVE FLANAGAN","$5,191.50","Graphic art – Green Plan "
"STEVE FLANAGAN","$21,948.67","Green Plan launch "
"STEVE FLANAGAN","$2,939.59","Organization of Green Plan press event "
"STINSON EQUIPMENT (QUÉBEC) INC.","$3,287.44","Bollards "
"STINSON EQUIPMENT (QUÉBEC) INC.","$28,201.34","Bollards and accessories "
"TEKNIKA HBA INC.","$10,248.13","Professional engineering services for the demolition of swimming facilities at Benny Park "
"TEKNIKA HBA INC.","$4,778.52","Professional engineering services for the demolition of swimming facilities at Benny Park "
"TEKNIKA HBA INC.","$18,262.90","Professional engineering services for the demolition of buildings located at 4230-4250 Benny Avenue and 6420-6430-6440 Monkland Avenue "
"TESSIER RÉCRÉO-PARC INC.","$62,756.29","Supply and installation of play modules for children 6 to 12 years of age at Georges-Saint-Pierre Park "
"TOSHIBA SOLUTION D’AFFAIRES","$4,282.58","Toshiba e-studio 2830 colour photocopier "
"TOSHIBA SOLUTION D’AFFAIRES","$2,073.36","Photocopier "
"TOSHIBA SOLUTION D’AFFAIRES","$2,904.00","Photocopier "
"TOSHIBA SOLUTION D’AFFAIRES","$2,895.37","Photocopier rental contract – B.A.M. "
"TOSHIBA SOLUTION D’AFFAIRES","$2,420.71","PQ937-01 photocopier contract (rental) "
"TOSHIBA SOLUTION D’AFFAIRES","$2,714.14","Human Resources photocopier rental for 2009 "
"TOSHIBA SOLUTION D’AFFAIRES","$3,236.25","Toshiba photocopier – Municipal Clerk’s Office "
"TOSHIBA SOLUTION D’AFFAIRES","$1,466.02","Replacement of the Toshiba photocopier "
"TOSHIBA SOLUTION D’AFFAIRES","$1,078.75","Replacement of the Toshiba photocopier "
"TRADUCTIONS TERRY KNOWLES INC. (LES)","$1,078.75","Translation of documents "
"TRADUCTIONS TERRY KNOWLES INC. (LES)","$41,735.65","Translation of documents "
"TRADUCTIONS TERRY KNOWLES INC. (LES)","$3,172.12","Translation of the Traffic Commission report "
"TRADUCTIONS TERRY KNOWLES INC. (LES)","$5,393.75","Translation of documents "
"TRADUCTIONS TERRY KNOWLES INC. (LES)","$19,114.06","Translation of documents "
"TRAFIC INNOVATION INC.","$26,429.38","Vehicle-activated signs "
"TRAFIC INNOVATION INC.","$15,154.28","One-lane TMS traffic analyzer "
"UNIBÉTON DIV CIMENT QUÉBEC INC.","$8,021.60","Concrete fill "
"UNIBÉTON DIV CIMENT QUÉBEC INC.","$3,850.07","Concrete fill "
"UNIBÉTON DIV CIMENT QUÉBEC INC.","$1,003.25","Concrete fill "
"UNIBÉTON DIV CIMENT QUÉBEC INC.","$4,183.40","Concrete fill "
"UNIBÉTON DIV CIMENT QUÉBEC INC.","$2,571.74","Concrete fill "
"UNIBÉTON DIV CIMENT QUÉBEC INC.","$3,963.33","Concrete fill "
"UNIBÉTON DIV CIMENT QUÉBEC INC.","$1,453.08","Concrete fill "
"VIDOLO EXCAVATION LTD","$8,306.38","Pullman site clean-up "
"VIDOLO EXCAVATION LTD","$80,366.88","Contract for transportation of waste containers – year 2009 "
"VILLE DE MONT-ROYAL","$9,626.00","Library, sports and recreation agreement – Glenmount sector "
"VILLE DE MONT-ROYAL","$75,000.00","TMR recreation and library services "
"VILLE DE MONT-ROYAL","$5,574.25","TMR recreation and library services "
"VILLE DE MONT-ROYAL","$80,000.00","Service agreement with the Town of Mount Royal "
"VILLE DE MONT-ROYAL","$9,053.00","Service agreement with the Town of Mount-Royal "
"VORTEX STRUCTURES AQUATIQUES INTERNATIONALES INC.","$61,823.16","Supply and installation of new water game modules for the redevelopment of the water games area at Notre-Dame-de-Grâce Park "
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION","$30,243.75","2009 financial contribution "
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION","$42,341.25","Financial contribution "
