"Nom du fournisseur";"Entente";"Description du bon de commande";"Montant engagement";"Engagements non terminés"
"LES INSTALLATIONS SPORTIVES AGORA INC.";;"Contrat pour l'acquisition et l'installation d'une porte levante à guillotine électrique pour l'aréna Bill-Durnan";"32 193,00 $";
"LES PAVAGES CEKA INC.";;"Contrat pour travaux de construction de dos d'âne";"426 180,71 $";"x"
"LES PAVAGES CEKA INC.";;"Travaux d'aménagement d'une baie de virage à gauche au niveau de l'intersection numéro 22551 sur le boulevard Sainte-Anne-de-Bellevue";"361 720,84 $";"x"
"LES PRODUITS D'ENTREPOSAGE PEDLEX LTÉE";;"Contrat pour l'achat d'équipements de rangement dans le garage de la cour de voirie Darlington";"28 882,13 $";"x"
"LOCATION GUAY";"Entente 1285829";"Contrat pour la location d'une rétrocaveuse avec opérateur pour l'aqueduc";"43 980,87 $";
"LOCATION GUAY";"Entente 1285829";"Contrat pour la location d'une rétrocaveuse avec opérateur, incluant entretien et accessoires, pour la plantation d'arbres et l'entretien des parcs de l'arrondissement";"124 021,24 $";"x"
"LOCATION LORDBEC INC.";;"Travaux de réparation de drains privés";"128 936,83 $";
"LOCATION SAUVAGEAU INC.";"Entente 1263855";"Location de véhicules pour la Division des sports et loisirs";"23 559,52 $";
"LOCATION SAUVAGEAU INC.";"Entente 1263855";"Location d'un véhicule pour la biliothèque de Côte-des-Neiges";"3 281,93 $";
"LOCATION SAUVAGEAU INC.";"Entente 1263855";"Location de véhicules pour la Direction des travaux publics (Aqueduc)";"33 682,96 $";
"LOCATION SAUVAGEAU INC.";"Entente 1263855";"Location de véhicules pour la Direction des travaux publics (Parcs)";"7 583,76 $";
"LOCATION SAUVAGEAU INC.";"Entente 1263855";"Location de véhicules pour la Division de la gestion immobilière";"2 507,61 $";
"LOCATION SAUVAGEAU INC.";"Entente 1263855";"Location d'un véhicule pour l'aréna Bill-Durnan";"3 490,64 $";
"LOISELLE INC.";"Entente 1399671, 1402167";"Élimination et traitements des sols contaminés de type BC";"18 674,23 $";"x"
"LOISELLE INC.";"Entente 1399671, 1402167";"Traitement et valorisation des sols contaminés de type AB";"91 120,67 $";"x"
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Convention de contribution financière pour la réalisation du programme « Animation d'un centre sportif »";"1 184 844,86 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Entente de service d'entretien ménager de cinq centres sportifs pour l'année 2020";"116 740,90 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Contrats de service pour l'entretien sanitaire, l'accueil et le soutien à l'organisation des locaux dans cinq installations pour l'année 2020";"811 161,11 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Convention de service pour la gestion du Centre sportif Westhill";"24 718,01 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Convention de service pour la gestion et l'exploitation du pavillon Notre-Dame-de-Grâce";"8 661,84 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Convention de contribution pour la réalisation du programme « Animation de camps de jour » - Camp de jour Simonne-Monet";"12 093,08 $";
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Convention de service pour l'accueil et la surveillance du pavillon Notre-Dame-de-Grâce";"65 000,00 $";"x"
"LOISIRS SPORTIFS CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour » Camps de jour LSCDN et Simonne-Monet";"59 780,00 $";
"MAISON DES JEUNES CÔTE-DES-NEIGES INC.";;"Convention de contribution financière pour la réalisation du programme « Soutien à la réalisation d'activités de loisirs »";"28 633,15 $";
"MAISON DES JEUNES CÔTE-DES-NEIGES INC.";;"Convention de contribution financière avec la Maison des jeunes de Côte-des-Neiges inc. dans le cadre du « Programme jeunesse 2000 »";"63 463,33 $";
"MAISON DES JEUNES CÔTE-DES-NEIGES INC.";;"Convention de contribution financière avec la Maison des jeunes de Côte-des-Neiges inc. dans le cadre du programme « Maison des jeunes »";"22 292,95 $";
"MARCEL MARTEL SERVICE D’ARBRE (3087-5520 QUÉBEC INC.)";;"Contrat d'élagage et d'abattage d'arbres";"200 200,21 $";"x"
"MARQUAGE ASPHALTE";;"Contrat pour les travaux de marquage dans l'arrondissement";"62 774,31 $";"x"
"ME DENIS MONETTE AVOCAT";;"Services professionnels d'avocat";"40 000,00 $";
"MLC ASSOCIÉS INC.";;"Amélioration des terrains de tennis au parc Somerled";"39 401,93 $";"x"
"MLC ASSOCIÉS INC.";;"Remplacement de deux condenseurs à la bibliothèque de Côte-des-Neiges et à la maison de la culture Côte-des-Neiges";"10 368,22 $";"x"
"NCL ENVIROTEK INC.";;"Réfection du terrain de basketball au parc Mackenzie-King et amélioration des terrains de tennis au parc Somerled";"19 545,74 $";"x"
"NCL ENVIROTEK INC.";;"Caractérisation environnementale des sols et étude géotechnique au parc Coffee";"10 037,32 $";
"NCL ENVIROTEK INC.";;"Contrôle des matériaux durant la construction au parc Coffee";"5 748,74 $";"x"
"NOTRE-DAME-DES-ARTS";;"Contribution financière pour la réalisation du festival « Les Amis du parc Notre-Dame-de-Grâce » (1er février au 25 avril 2020)";"21 000,00 $";
"NOTRE-DAME-DES-ARTS";;"Contribution financière pour la réalisation de « La Semaine des arts Notre-Dame-de-Grâce » (3 août au 31 août 2020)";"14 900,00 $";
"PAQUETTE & ASSOCIÉS, HUISSIERS DE JUSTICE S.E.N.C.R.L.";;"Huissier de justice";"40 816,11 $";
"PRÉVENTION CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Contribution financière pour la réalisation des activités du plan d'action relié au Programme montréalais de soutien à l'action citoyenne dans les arrondissements - Tandem";"255 959,91 $";
"PRÉVENTION CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Contribution financière dans le cadre du Fonds d'urgence COVID-19";"10 000,00 $";
"PRÉVENTION CÔTE-DES-NEIGES–NOTRE-DAME-DE-GRÂCE";;"Contribution financière afin de permettre la création d'une murale sur la façade nord du pavillon de la patinoire Bleu-Blanc-Bouge au parc de laConfédération";"5 000,00 $";
"PRODUITS SANY";"Entente 1048199";"Achats de produits d'entretien pour l'aréna Bill-Durnan";"3 234,17 $";
"PRODUITS SANY";"Entente 1048199";"Réparation et entretien d’équipements pour l'aréna Bill-Durnan";"8 623,12 $";"x"
"PRODUITS SANY";"Entente 1048199";"Achat de distributeur à savon sans contact pour les installations de la Direction de la culture, des sports, des loisirs et du développement social";"20 327,58 $";
"PRODUITS SANY";"Entente 1048199";"Achat de plexiglas pour les bibliothèques à titre";"3 449,24 $";
"PRODUITS SANY";"Entente 1048199";"Achat de gel désinfectant pour les installations sportives et de loisirs";"3 156,07 $";
"PRODUITS SANY";"Entente 1048199";"Achat de tapis sany";"9 424,24 $";"x"
"RECYCLAGE NOTRE-DAME INC.";;"Élimination, traitement et valorisation des sols de type AB";"36 202,82 $";
"ROGERS COMMUNICATIONS CANADA INC.";"Entente 1137408";"Service de téléphonie cellulaire";"64 839,41 $";"x"
"SANEXEN SERVICES ENVIRONNEMENTAUX INC.";;"Contrat pour des travaux de remplacement des entrées d'eau en plomb, de réfection des chaussées et des trottoirs dans l'arrondissement";"11 592 621,13 $";"x"
"SHELLEX GROUPE CONSEIL INC.";;"Contrat de surveillance des travaux de construction d'une baie de virage sur le boulevard Sainte-Anne-de-Bellevue";"30 000,00 $";"x"
"SIGNALISATION S.A.I.C. INC.";;"Contrat de fabrication et d'installation de divers panneaux de signalisation intérieure et extérieure à l'aréna Doug-Harvey";"32 655,88 $";"x"
"SIMCO TECHNOLOGIES INC.";;"Services professionnels pour l'évaluation de l'état extérieur du Théâtre Empress";"30 583,34 $";"x"
"SIMON GUAY";;"Contrat d'installation de décorations de Noël sur le viaduc Queen-Mary";"2 516,81 $";
"SIMON GUAY";;"Contrat d'installation de décorations et d'arbres de Noël";"24 489,67 $";"x"
"SIMON GUAY";;"Contrat pour l'installation, le branchement, le démontage et la livraison locale d'un système d'éclairage hivernal";"10 002,82 $";
"SIMON GUAY";;"Contrat d'installation de branches décoratives pour l'aménagement du viaduc Queen-Mary";"3 513,64 $";"x"
"SNC-LAVALIN GEM QUÉBEC INC.";"Entente 1285110, 1410431";"Services professionnels pour l'aménagement d'un parc linéaire entre les rues Jean-Talon et Buchan";"50 337,44 $";"x"
"SNC-LAVALIN GEM QUÉBEC INC.";"Entente 1285110, 1410431";"Contrat pour des travaux d'aménagement du parc de la Savane (Phase 2)";"55 442,32 $";"x"
"SNC-LAVALIN GEM QUÉBEC INC.";"Entente 1285110, 1410431";"Contrôle des matériaux lors des travaux d'infrastructure routière et souterraine dans le cadre du projet Westbury (Phases 2 et 3)";"8 310,63 $";"x"
"SOCIÉTÉ CANADIENNE DES POSTES";;"Service de messagerie, postes";"40 543,89 $";
"SOCIÉTÉ CANADIENNE DES POSTES";;"Service de messagerie, courrier de quartier";"11 476,88 $";
"SOCIÉTÉ DE DÉVELOPPEMENT COMMERCIAL EXPÉRIENCE CÔTE-DES-NEIGES";;"Service de publicité";"2 299,50 $";
"SOCIÉTÉ DE DÉVELOPPEMENT COMMERCIAL EXPÉRIENCE CÔTE-DES-NEIGES";;"Contribution financière dans le cadre du Fonds d'urgence local de développement économique COVID-19";"20 000,00 $";
"SOCIÉTÉ DE DÉVELOPPEMENT COMMERCIAL EXPÉRIENCE CÔTE-DES-NEIGES";;"Contribution financière pour l'année 2020";"60 000,00 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Prolongation du contrat de service pour le programme Éco-Quartier (1er janvier au 31 mars 2020)";"93 417,18 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Convention de service visant une gestion humanitaire des biens disposés en bordure de rue lors d'évictions dans l'arrondissement";"114 975,00 $";"x"
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Convention de contribution financière dans le cadre du programme « Animation de jardins communautaires » pour le quartier Côte-des-Neiges";"23 001,17 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Contrat de gestion des inscriptions pour les jardins communautaires de Côte-des-Neiges";"5 748,74 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Projet de contrôle de l’herbe à poux 2020";"99 999,63 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Contrat de service pour le programme « Éco-Quartier » 2020";"283 988,24 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Contribution financière pour la réalisation d'un projet temporaire d'agriculture urbaine";"15 000,00 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Convention de contribution financière dans le cadre du programme « Animation de jardins communautaires » et pour les activités entourant l’entretien du conteneur « Conserre » dans le quartier Côte-des-Neiges";"23 001,17 $";
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES";;"Contrat d'installation pour le compostage communautaire";"8 599,99 $";"x"
"SODEM INC.";;"Contrat de service pour le traçage et l'entretien des pistes de ski de fond aux parcs Notre-Dame-de-Grâce, Martin-Luther-King, Benny et Loyola";"34 980,02 $";"x"
"SOLOTECH INC.";;"Plan de service « privilèges » pour le soutien technique en audiovisuel à la mairie de l'arrondissement";"9 192,25 $";
"SOLOTECH INC.";;"Achat et installation d'équipement pour la salle de conférence au 5160, boulevard Décarie";"16 534,55 $";"x"
"SOLOTECH INC.";;"Achat d'équipement de scène pour la maison de la culture et le centre culturel de Notre-Dame-de-Grâce";"16 078,17 $";"x"
"SOLUTIONS GRAFFITI - 9181-5084 QUÉBEC INC.";;"Contrat pour les travaux d'enlèvement de graffitis sur le domaine privé et public";"42 080,84 $";"x"
"ST-GERMAIN ÉGOUTS ET AQUEDUCS INC.";"Entente 1191511, 1277188";"Achat de pièces diverses d'aqueduc";"58 426,30 $";
"TECHNIPARC";;"Travaux de réfection d'un terrain de basketball au parc Mackenzie-King";"342 213,19 $";"x"
"TECHSPORT INC.";;"Contrat d'installation et livraison de deux paniers de basketball au parc Mackenzie-King";"5 300,34 $";
"TECHSPORT INC.";;"Contrat de fourniture et d'installation de sièges pour enfant adaptés pour les balançoires des aires de jeux dans les parcs de l'arrondissement";"24 913,01 $";
"TELTECH SIGNALISATION INC.";"Entente 1307671";"Signalisation pour travaux d'aqueduc pour l'année 2019";"5 067,75 $";
"TELTECH SIGNALISATION INC.";"Entente 1307671";"Signalisation pour travaux d'aqueduc pour l'année 2020";"54 797,84 $";"x"
"TELUS MOBILITÉ";"Entente 1408829";"Service de téléphonie cellulaire";"31 939,00 $";"x"
"TERRASSEMENT LIMOGES ET FILS";;"Travaux de réaménagement du jeu d'eau du parc Notre-Dame-de-Grâce";"180 106,97 $";"x"
"TRAFIC INNOVATION INC.";;"Projet de secteurs à vocation familiale";"48 661,44 $";"x"
"TRAFIC INNOVATION INC.";;"Achat de bollards décoratifs en lien avec le projet Jean-Brillant";"9 393,46 $";
"VILLE MONT-ROYAL";;"Abonnements et inscriptions du secteur Glenmount";"45 990,00 $";
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION";;"Convention de contribution financière pour la réalisation du programme « Animation d'un centre communautaire » se terminant le 31 décembre 2020";"36 982,00 $";
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION";;"Convention de service de gré à gré pour la gestion d'un centre communautaire afin de permettre un accès aux citoyens aux installations du Centre communautaire Westhaven";"81 932,43 $";"x"
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION";;"Convention de contribution pour la réalisation du programme « Animation de camps de jour » - Camp de jour Westhaven";"23 514,68 $";
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION";;"Soutien financier spécial non récurrent dans le cadre du programme « Animation de camps de jour »";"10 780,00 $";
"WM QUÉBEC INC.";"Entente 1253901";"Service de disposition des résidus de balai de rue et de dépôt à neige";"129 808,58 $";
"XYZ TECHNOLOGIE CULTURELLE INC.";;"Acquisition d'équipements audiovisuels pour la maison de la culture Côte-des-Neiges";"37 487,25 $";
"XYZ TECHNOLOGIE CULTURELLE INC.";;"Contrat d'achat d'équipement spécialisé pour la maison de la culture Côte-des-Neiges";"51 076,88 $";
"XYZ TECHNOLOGIE CULTURELLE INC.";;"Acquisition et livraison de matériel d'éclairage, audio et de moniteurs de scène pour la maison de la culture Côte-des-Neiges";"4 015,91 $";
"Total : ";;;"37 110 031,42$";
