"Liste des contrats de 25 000 $ et plus",,
"Octroyés du 1er juin 2009 au 31 mai 2010",,
,,
"Nom du fournisseur","Montant du contrat","Description du bon de commande"
"PRÉVENTION NOTRE-DAME-DE-GRÂCE ","242 800,00 $","Contribution financière 2010 "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE ","145 000,00 $","Contribution financière annuelle "
"PRÉVENTION NOTRE-DAME-DE-GRÂCE ","70 000,00 $","Contributions financières "
"QUÉBÉCOR WORLD ","27 025,66 $","Répertoire des activités de sports et de loisirs "
"RCI ENVIRONNEMENT INC. ","787 844,11 $","Collecte et transport des déchets, objets volumineux et résidus verts – année 2009 "
"RCI ENVIRONNEMENT INC. ","39 913,75 $","Collecte et transport des déchets, objets volumineux et résidus verts – année 2009 "
"RCI ENVIRONNEMENT INC. ","1 437 925,07 $","Collecte et transport déchets – année 2010 "
"RCI ENVIRONNEMENT INC. ","26 871,18 $","Collecte et transport déchets – année 2010 "
"RCI ENVIRONNEMENT INC. ","3 948,26 $","Parcs – saison 2010 – Location de toilettes chimiques pour divers endroits dans CDN—NDG "
"SERVICE D’ENTRETIEN CARLOS INC. ","10 466,57 $","Contrat d’entretien ménager au 2140, avenue Madison – 2009 "
"SERVICE D’ENTRETIEN CARLOS INC. ","39 029,18 $","Voirie – service d’entretien ménager – 2010 "
"SIFTO CANADA CORP. ","577 488,50 $","Voirie – sel de déglaçage des chaussées – saison 2009-2010 "
"SOCIÉTÉ CANADIENNE DES POSTES ","10 544,95 $","Répertoire des activités de sports et de loisirs 2009-2010 "
"SOCIÉTÉ CANADIENNE DES POSTES ","9 150,77 $","Le Citoyen (édition été 2009) "
"SOCIÉTÉ CANADIENNE DES POSTES ","10 361,92 $","Le Citoyen (édition automne 2009) "
"SOCIÉTÉ CANADIENNE DES POSTES ","9 678,16 $","Le Citoyen (édition de février 2010) "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES ","180 000,00 $","Contribution financière annuelle convention 2009 "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES ","2 508,00 $","Livraisons de bacs roulants neuf logements et plus "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES ","7 000,00 $","Gestion des sites de compostières communautaires "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES ","5 582,00 $","Implantation neuf logements et plus "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES ","100 000,00 $","Contribution financière pour réaliser un projet visant une gestion humanitaire et environnementale des biens disposés en bordure de rue lors d’une éviction – du 1er janvier au 31 décembre 2010 "
"SOCIÉTÉ ENVIRONNEMENTALE CÔTE-DES-NEIGES ","180 000,00 $","Contribution financière annuelle convention 2010 "
"(S.P.C.A) SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX ","4 500,00 $","Intervention d’urgence pour animaux domestiques et faune "
"(S.P.C.A) SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX","17 969,60 $","Interventions pour animaux domestiques et faune – janvier à avril 2010 "
"(S.P.C.A) SOCIÉTÉ POUR LA PRÉVENTION DE LA CRUAUTÉ ENVERS LES ANIMAUX","8 949,60 $","Interventions pour animaux domestiques et faune – 1er mai au 30 juin 2010 "
"STINSON ÉQUIPMENT (QUÉBEC) INC. ","26 951,59 $","Bornes de sécurité et accessoires "
"STINSON ÉQUIPMENT (QUÉBEC) INC. ","12 002,81 $","Bornes de sécurité "
"SYNDICAT DES COLS BLEUS REGROUPÉS DE MONTRÉAL S.C.F.P. 301 / F.T.Q. ","27 500,00 $","Griefs – règlement 12 novembre 2009 "
"TENNANT ","7 060,69 $","Réparation et entretien de véhicules "
"TENNANT ","7 080,92 $","Voiturette-aspirateur de marque Tennant modèle ATLV 4300 "
"TENNANT ","63 349,59 $","Voiturette-aspirateur de marque Tennant modèle ATLV 4300 "
"TENNANT ","5 060,57 $","Réparation de véhicules "
"TENNANT ","6 744,35 $","Garantie prolongée pour la voiturette aspirateur – 2010 "
"TENNANT ","2 460,58 $","Filtres, sacs "
"TENNANT ","3 057,86 $","Réparations effectuées sur les unités 109 09541 et 109-08402 "
"TOSHIBA SOLUTION D’AFFAIRES ","3 723,86 $","Contrat de service photocopieur – services administratifs et actifs immobiliers "
"TOSHIBA SOLUTION D’AFFAIRES ","2 714,14 $","Contrat de service photocopieur, série CGB614016 – ressources humaines "
"TOSHIBA SOLUTION D’AFFAIRES ","4 306,37 $","Frais de photocopieur CEK29137 "
"TOSHIBA SOLUTION D’AFFAIRES ","6 757,29 $","Frais pour photocopieurs "
"TOSHIBA SOLUTION D’AFFAIRES ","3 250,27 $","Photocopieurs – bibliothèques "
"TOSHIBA SOLUTION D’AFFAIRES ","3 775,63 $","Bon de commande ouvert 2010 – location et service photocopieur E-Studio 451C pour les services administratifs et du greffe "
"TOSHIBA SOLUTION D’AFFAIRES ","2 696,88 $","Bon de commande ouvert 2010 – location et service pour photocopieur bureau des élus "
"TOSHIBA SOLUTION D’AFFAIRES ","2 895,37 $","Contrat de location photocopieur – BAM (2010) "
"TOSHIBA SOLUTION D’AFFAIRES ","2 601,95 $","Direction – Location photocopieur Toshiba, no CEB935350, du 1er janvier au 31 décembre 2010 "
"TOSHIBA SOLUTION D’AFFAIRES ","2 088,24 $","Répartition – Location photocopieur Toshiba, no CXF917535, du 1er janvier au 31 décembre 2010 "
"TOSHIBA SOLUTION D’AFFAIRES ","4 302,07 $","Location 60 mois photocopieur e-Studio 3530c – Frais pour 2010 "
"TOSHIBA SOLUTION D’AFFAIRES ","9 838,20 $","Frais de base du contrat + lecture photocopieur pour l’année 2010 "
"TRADUCTIONS TERRY KNOWLES INC. (LES) ","6 472,50 $","Bon de commande ouvert pour 2010 – traductions "
"TRADUCTIONS TERRY KNOWLES INC. (LES) ","19 114,06 $","BCO 2010 – Traduction de documents et d’outils communicationnels "
"TRADUCTIONS TERRY KNOWLES INC. (LES) ","21 575,00 $","BCO 2010 – Traduction de documents "
"TRAFIC INNOVATION INC. ","74 189,74 $","Fourniture, installation, entretien et entreposage de bornes de protection pour l’année 2010 "
"TRAFIC INNOVATION INC. ","33 171,56 $","Stèles radars fixes "
"TRAFIC INNOVATION INC. ","20 873,82 $","Dos-d’âne "
"TRAFIC INNOVATION INC. ","16 666,69 $","Stèle radar amovible "
"VDM-SERVICE DE POLICE (SPVM) ","14 812,00 $","Cadets policiers – patrouille à vélo – été 2009 "
"VDM-SERVICE DE POLICE (SPVM) ","20 580,00 $","Cadets policiers – patrouille à vélo – été 2010 "
"VILLE DE MONT-ROYAL ","27 794,75 $","Entente de services avec la Ville de Mont-Royal "
"VILLE DE MONT-ROYAL ","44 073,48 $","Paiement pour l’entente avec les résidants du secteur Glenmount "
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION ","2 725,00 $","Contribution financière "
"WESTHAVEN ELMHURST COMMUNITY RECREATION ASSOCIATION ","72 585,00 $","Contribution financière 2010 "
"WORLD COLOR PRESS INC. ","105 718,36 $","Impression de quatre numéros du bulletin Le Citoyen – édition 2010 "
