iddepoint,territoire,typeattrait,titre,theme,description,arrondissement,accessibilityofelement,adresse_autresinformations,annee,presencepanneauinterpretation,lienimage,liens,adresse,urlimage,latitude,longitude,X,Y,type_geometrie
178,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Barrage Simon-Sicard","3 - L'eau, une ressource à exploiter et contrôler","Barrage, autrefois nommé Walker, construit en même temps que la centrale hydroélectrique de la Rivière-des-Prairies pour maintenir le niveau de l’eau suffisamment élevé pour la production d’électricité. Reconstruit en 1991.","Ahuntsic-Cartierville (Montréal)","Visible","Barrage, autrefois nommé Walker, construit en même temps que la centrale hydroélectrique de la Rivière-des-Prairies pour maintenir le niveau de l’eau suffisamment élevé pour la production d’électricité. Reconstruit en 1991.","1929","Non","http://www.flickr.com/photos/parcoursriverain/8511536442/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8522/8511536442_b4bf5c3658_q.jpg",45.571602,-73.663498,292038.802307,5047978.857371,"Point"
179,"Territoire riverain d’Ahuntsic-Cartierville","Cours d'eau","Emplacement des anciens rapides du Sault","3 - L'eau, une ressource à exploiter et contrôler","Rapides disparus au moment de la construction du barrage de la centrale de Rivière-des-Prairies en 1928-1930, le niveau de l’eau ayant alors monté de huit mètres. La différence de niveaux d’eau est perceptible de part et d’autre de l’extrémité est de l’île de la Visitation.","Ahuntsic-Cartierville (Montréal)","Disparu","Rapides disparus au moment de la construction du barrage de la centrale de Rivière-des-Prairies en 1928-1930, le niveau de l’eau ayant alors monté de huit mètres. La différence de niveaux d’eau est perceptible de part et d’autre de l’extrémité est de l’île de la Visitation.",,"Non","http://www.flickr.com/photos/parcoursriverain/8510426043/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8517/8510426043_0d8bc02f31_q.jpg",,,,,"GeometryCollection"
180,"Territoire riverain d’Ahuntsic-Cartierville","Emplacement, lieu dit","Emplacement des anciennes îles au Hibou et Sergent","1 - L'archipel montréalais et la présence amérindienne","Ces îles aujourd’hui disparues ont été englouties au moment de la construction du barrage de la centrale de la Rivière-des-Prairies. Le niveau de la rivière a alors monté de huit mètres.","Ahuntsic-Cartierville (Montréal)","Disparu","Ces îles aujourd’hui disparues ont été englouties au moment de la construction du barrage de la centrale de la Rivière-des-Prairies. Le niveau de la rivière a alors monté de huit mètres.",,"Non",,,"Montréal QC, Canada",,45.572701,-73.667801,291703.205345,5048101.643864,"Point"
181,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Maison Minville","4 - Les rivages, espaces de bien-être et de loisirs","Maison présentant des caractéristiques d’une architecture de villégiature : une toiture en pavillon à quatre versants courbés couvrant une longue galerie sur plusieurs façades.","Ahuntsic-Cartierville (Montréal)","Visible","Maison présentant des caractéristiques d’une architecture de villégiature : une toiture en pavillon à quatre versants courbés couvrant une longue galerie sur plusieurs façades.","Vers 1840","Non","http://www.flickr.com/photos/parcoursriverain/8745136432/",,"1726, boulevard Gouin Est  Montréal QC, Canada","http://farm8.staticflickr.com/7293/8745136432_87339eb6d2_q.jpg",45.567799,-73.660599,292264.239774,5047555.738007,"Point"
182,"Territoire riverain d’Ahuntsic-Cartierville","Parc","Parc régional de l’Île-de-la-Visitation","4b - Les parcs en rive","Parc de 34 hectares regorgeant d’éléments historiques, dont le site des moulins, et hébergeant plus de 180 espèces d’oiseaux et 20 espèces de poissons.","Ahuntsic-Cartierville (Montréal)","Visible","Parc de 34 hectares regorgeant d’éléments historiques, dont le site des moulins, et hébergeant plus de 180 espèces d’oiseaux et 20 espèces de poissons.","1983","Non","http://www.flickr.com/photos/parcoursriverain/8510428701/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=4&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1031, http://ville.montreal.qc.ca/portal/page?_pageid=7377%2C94551572&_dad=portal&_schema=PORTAL&id=75&sc=5","2425, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8108/8510428701_8713a12bb6_q.jpg",45.578701,-73.657501,292508.40066,5048766.863236,"Point"
183,"Territoire riverain d’Ahuntsic-Cartierville","Tracé","Circuit cyclable du Tour-de-l’Île-de-Montréal","4b - Les parcs en rive","Piste cyclable longeant le boulevard Gouin sur la majeure partie de son parcours.","Ahuntsic-Cartierville (Montréal)","Visible","Piste cyclable longeant le boulevard Gouin sur la majeure partie de son parcours.",,"Non","http://www.flickr.com/photos/parcoursriverain/8510455425/","http://servicesenligne.ville.montreal.qc.ca/sel/publications/PorteAccesTelechargement?lng=Fr&systemName=85285577&client=Serv_corp","Montréal QC, Canada","http://farm9.staticflickr.com/8376/8510455425_417fc533c3_q.jpg",,,,,"LineString"
184,"Territoire riverain d’Ahuntsic-Cartierville","Emplacement, lieu dit","Site de l’ancienne traverse Meilleur","5 - L'eau, un obstacle à franchir par ponts et traverses","Ancienne traverse exploitée durant la première moitié du XIXe siècle par un dénommé Meilleur entre le village de Sault-au-Récollet et la paroisse de Saint-Vincent-de-Paul sur l’île Jésus.","Ahuntsic-Cartierville (Montréal)","Disparu","Ancienne traverse exploitée durant la première moitié du XIXe siècle par un dénommé Meilleur entre le village de Sault-au-Récollet et la paroisse de Saint-Vincent-de-Paul sur l’île Jésus.",,"Non",,,"Montréal QC, Canada",,45.563702,-73.665604,291872.636987,5047101.227187,"Point"
185,"Territoire riverain d’Ahuntsic-Cartierville","Emplacement, lieu dit","Site de l’ancienne traverse Monette","5 - L'eau, un obstacle à franchir par ponts et traverses","Site de l'ancienne traverse de type « horseboat » exploitée par un dénommé Monette durant la deuxième moitié du XIXe siècle. Elle reliait l’ouest du noyau paroissial de Sault-au-Récollet à la paroisse de Saint-Vincent-de-Paul, sur l’île Jésus.","Ahuntsic-Cartierville (Montréal)","Disparu","Site de l'ancienne traverse de type « horseboat » exploitée par un dénommé Monette durant la deuxième moitié du XIXe siècle. Elle reliait l’ouest du noyau paroissial de Sault-au-Récollet à la paroisse de Saint-Vincent-de-Paul, sur l’île Jésus.",,"Non",,,"Montréal QC, Canada",,45.569401,-73.662498,292116.315143,5047734.088863,"Point"
186,"Territoire riverain d’Ahuntsic-Cartierville","Emplacement, lieu dit","Site d’une ancienne traverse","5 - L'eau, un obstacle à franchir par ponts et traverses","Une traverse reliant le noyau villageois de Sault-au-Récollet à la paroisse de Saint-Vincent-de-Paul aurait été en opération ici au début du XIXe siècle. Elle a été en fonction jusqu’à la construction du pont des Saints-Anges en 1849, qui a été remplacé par le pont Papineau-Leblanc en 1970.","Ahuntsic-Cartierville (Montréal)","Disparu","Une traverse reliant le noyau villageois de Sault-au-Récollet à la paroisse de Saint-Vincent-de-Paul aurait été en opération ici au début du XIXe siècle. Elle a été en fonction jusqu’à la construction du pont des Saints-Anges en 1849, qui a été remplacé par le pont Papineau-Leblanc en 1970.","Début du XIXe siècle","Non",,,"Montréal QC, Canada",,45.570702,-73.662498,292116.607925,5047878.65041,"Point"
187,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Pont Papineau-Leblanc","5 - L'eau, un obstacle à franchir par ponts et traverses","Pont autoroutier à câble d’haubanage, le plus long en Amérique du Nord au moment de sa construction. Relie Ahuntsic et Laval.","Ahuntsic-Cartierville (Montréal)","Visible","Pont autoroutier à câble d’haubanage, le plus long en Amérique du Nord au moment de sa construction. Relie Ahuntsic et Laval.","1970","Non","http://www.flickr.com/photos/parcoursriverain/8511540318/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8249/8511540318_07cf978210_q.jpg",45.5751,-73.665703,291867.510674,5048367.958278,"Point"
188,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"2b - Les villages agricoles","Maison jumelée construite face au boulevard Gouin dont elle est peu à peu isolée en raison de lotissements subséquents.","Ahuntsic-Cartierville (Montréal)","Visible","Maison jumelée construite face au boulevard Gouin dont elle est peu à peu isolée en raison de lotissements subséquents.","Vers 1875","Non","http://www.flickr.com/photos/parcoursriverain/8511541868/",,"10755, avenue du Sacré-Cœur  Montréal QC, Canada","http://farm9.staticflickr.com/8242/8511541868_dd8d7f2c67_q.jpg",45.562698,-73.664703,291942.684964,5046989.587996,"Point"
189,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Maison Boucher","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme construite par Théodore Boucher et faisant aujourd’hui partie de la propriété de l’Institut Notre-Dame-du-Bon-Conseil.","Ahuntsic-Cartierville (Montréal)","Visible","Ancienne maison de ferme construite par Théodore Boucher et faisant aujourd’hui partie de la propriété de l’Institut Notre-Dame-du-Bon-Conseil.","Vers 1860","Non","http://www.flickr.com/photos/parcoursriverain/8510430915/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?affichage=fiche&civique=649&voie=136&est_ouest=Est&appellation=&arrondissement=0&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id_bat=9146-42-7310-02&debut=0","649, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8384/8510430915_4891a9535a_q.jpg",45.5574,-73.670097,291520.363943,5046401.622911,"Point"
190,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Maison Joseph-Dagenais","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme construite pour Joseph Dagenais.","Ahuntsic-Cartierville (Montréal)","Visible","Ancienne maison de ferme construite pour Joseph Dagenais.","Vers 1825","Non","http://www.flickr.com/photos/parcoursriverain/8511542206/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?affichage=fiche&civique=337&voie=136&est_ouest=Est&appellation=&arrondissement=0&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id_bat=9145-28-7981-01&debut=0","337, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8095/8511542206_98477ea678_q.jpg",45.554699,-73.672699,291316.607237,5046101.912067,"Point"
191,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Maison Pierre-Persillier dit Lachapelle","2 - Les cours d'eau pour commercer et s'établir","Ancienne maison de ferme devenue ensuite la maison du chef des gardiens de la prison de Bordeaux.","Ahuntsic-Cartierville (Montréal)","Visible","Ancienne maison de ferme devenue ensuite la maison du chef des gardiens de la prison de Bordeaux.","Vers 1830","Non","http://www.flickr.com/photos/parcoursriverain/9393679283/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=9044-28-5810-02&affichage=fiche&civique=790&voie=136&est_ouest=Ouest&appellation=&arrondissement=0&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&","790-800, boulevard Gouin Ouest  Montréal QC, Canada","http://farm8.staticflickr.com/7307/9393679283_2b29fb1ff3_q.jpg",45.546501,-73.689796,289979.575629,5045193.895388,"Point"
192,"Territoire riverain d’Ahuntsic-Cartierville","Plaque, monument",,"2 - Les cours d'eau pour commercer et s'établir","Stèle commémorant la mort du missionnaire récollet Nicolas Viel et de son compatriote surnommé Auhaitsic (Ahuntsic) en 1625 et rappelant que cet événement est à l’origine du toponyme « Sault-au-Récollet ».","Ahuntsic-Cartierville (Montréal)","Visible","Stèle commémorant la mort du missionnaire récollet Nicolas Viel et de son compatriote surnommé Auhaitsic (Ahuntsic) en 1625 et rappelant que cet événement est à l’origine du toponyme « Sault-au-Récollet ».","2009","Non","http://www.flickr.com/photos/parcoursriverain/8511546504/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8523/8511546504_2abfb94858_q.jpg",45.5513,-73.677101,290972.077084,5045724.936891,"Point"
193,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"3 - L'eau, une ressource à exploiter et contrôler","Station de pompage située à l'embouchure de l'ancien ruisseau Brook ou Prévost, aujourd'hui canalisé. Elle est érigée lors de la construction du barrage et de la centrale hydroélectrique de Rivière-des-Prairies, qui a causé une hausse importante du niveau de l’eau.","Ahuntsic-Cartierville (Montréal)","Visible","Station de pompage située à l'embouchure de l'ancien ruisseau Brook ou Prévost, aujourd'hui canalisé. Elle est érigée lors de la construction du barrage et de la centrale hydroélectrique de Rivière-des-Prairies, qui a causé une hausse importante du niveau de l’eau.","Vers 1930","Non","http://www.flickr.com/photos/parcoursriverain/8510438531/",,"275, boulevard Gouin Ouest  Montréal QC, Canada","http://farm9.staticflickr.com/8518/8510438531_7b991fa3c4_q.jpg",45.548599,-73.679298,290799.845752,5045425.173489,"Point"
194,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Maison en bois construite sur une subdivision de la terre agricole de Jean-Baptiste Péloquin alors que l’arrivée du tramway participe à l’accélération du développement résidentiel dans cette partie de Sault-au-Récollet entre 1907 et 1913.","Ahuntsic-Cartierville (Montréal)","Visible","Maison en bois construite sur une subdivision de la terre agricole de Jean-Baptiste Péloquin alors que l’arrivée du tramway participe à l’accélération du développement résidentiel dans cette partie de Sault-au-Récollet entre 1907 et 1913.","Vers 1910","Non","http://www.flickr.com/photos/parcoursriverain/8511551060/",,"914, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8238/8511551060_a86f9ab82b_q.jpg",45.559601,-73.667297,291739.471154,5046645.772905,"Point"
195,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs","Maison en bois construite sur une subdivision de la terre agricole de Jean-Baptiste Péloquin. L’arrivée du tramway participe à l’accélération du développement résidentiel dans cette partie de Sault-au-Récollet entre 1907 et 1913.","Ahuntsic-Cartierville (Montréal)","Visible","Maison en bois construite sur une subdivision de la terre agricole de Jean-Baptiste Péloquin. L’arrivée du tramway participe à l’accélération du développement résidentiel dans cette partie de Sault-au-Récollet entre 1907 et 1913.","Vers 1903","Non","http://www.flickr.com/photos/parcoursriverain/8510439923/",,"905, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8226/8510439923_c404c22308_q.jpg",45.559601,-73.667801,291700.160918,5046645.85498,"Point"
196,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"2 - Les cours d'eau pour commercer et s'établir","Maison en pierre probablement construite vers 1780 à un autre emplacement. Virginie Roy, veuve de l’avocat Geoffroy Laflamme, l’aurait fait déplacer vers 1907 sur le lot qu’elle occupe actuellement puisque l’acte de vente de 1878 stipule que le lot 228 est vendu sans aucun bâtiment. Son architecture nous laisse penser qu’il s’agit d’une ancienne maison de ferme.","Ahuntsic-Cartierville (Montréal)","Visible","Maison en pierre probablement construite vers 1780 à un autre emplacement. Virginie Roy, veuve de l’avocat Geoffroy Laflamme, l’aurait fait déplacer vers 1907 sur le lot qu’elle occupe actuellement puisque l’acte de vente de 1878 stipule que le lot 228 est vendu sans aucun bâtiment. Son architecture nous laisse penser qu’il s’agit d’une ancienne maison de ferme.","Vers 1780","Non","http://www.flickr.com/photos/parcoursriverain/8511552692/",,"843, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8532/8511552692_f2393c5344_q.jpg",45.559399,-73.668198,291669.142124,5046623.451351,"Point"
197,"Territoire riverain d’Ahuntsic-Cartierville","Secteur, zone",,"4 - Les rivages, espaces de bien-être et de loisirs","Secteur subdivisé au début du 20e siècle et bâti de résidences aux styles architecturaux d'une grande variété.","Ahuntsic-Cartierville (Montréal)","Visible","Secteur subdivisé au début du 20e siècle et bâti de résidences aux styles architecturaux d'une grande variété.","1900-1907","Non","http://www.flickr.com/photos/parcoursriverain/8511553384/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8250/8511553384_9cd8739927_q.jpg",45.559502,-73.669502,291567.316687,5046635.111852,"Point"
198,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Maison Georges-Lebel","4 - Les rivages, espaces de bien-être et de loisirs","Maison d’influence victorienne construite pour Georges Lebel, marchand de bois.","Ahuntsic-Cartierville (Montréal)","Visible","Maison d’influence victorienne construite pour Georges Lebel, marchand de bois.","1913","Non","http://www.flickr.com/photos/parcoursriverain/8510441919/",,"1, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8105/8510441919_ebd4c7ce3b_q.jpg",45.551601,-73.674599,291167.538665,5045757.999481,"Point"
199,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs",,"Ahuntsic-Cartierville (Montréal)","Visible",,"Vers 1910","Non","http://www.flickr.com/photos/parcoursriverain/8510443137/",,"824, avenue Park Stanley  Montréal QC, Canada","http://farm9.staticflickr.com/8368/8510443137_bb41dd34fa_q.jpg",45.559799,-73.670898,291458.390351,5046668.409828,"Point"
200,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs",,"Ahuntsic-Cartierville (Montréal)","Visible",,"Vers 1910","Non","http://www.flickr.com/photos/parcoursriverain/8510443271/",,"746, avenue Park Stanley  Montréal QC, Canada","http://farm9.staticflickr.com/8225/8510443271_54f9bb24c0_q.jpg",45.559399,-73.671501,291411.242226,5046623.997206,"Point"
201,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément",,"4 - Les rivages, espaces de bien-être et de loisirs",,"Ahuntsic-Cartierville (Montréal)","Visible",,"Vers 1918","Non","http://www.flickr.com/photos/parcoursriverain/8510443385/",,"732, avenue Park Stanley  Montréal QC, Canada","http://farm9.staticflickr.com/8515/8510443385_8c3c450a1c_q.jpg",45.559299,-73.6716,291403.475703,5046612.991491,"Point"
202,"Territoire riverain d’Ahuntsic-Cartierville","Parc","Parc Nicolas-Viel","4b - Les parcs en rive","Parc aménagé en partie sur d’anciens lots où étaient construites des maisons. L’allée d'arbres dans la partie ouest du parc correspond à l’ancienne avenue Bastien, qui était le prolongement de la rue Saint-Urbain. Le parc est nommé en mémoire de Nicolas Viel, missionnaire récollet mort dans un rapide de la rivière des Prairies en 1625.","Ahuntsic-Cartierville (Montréal)","Visible","Parc aménagé en partie sur d’anciens lots où étaient construites des maisons. L’allée d'arbres dans la partie ouest du parc correspond à l’ancienne avenue Bastien, qui était le prolongement de la rue Saint-Urbain. Le parc est nommé en mémoire de Nicolas Viel, missionnaire récollet mort dans un rapide de la rivière des Prairies en 1625.",,"Non","http://www.flickr.com/photos/parcoursriverain/8511555540/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8106/8511555540_c173dd23ca_q.jpg",45.5509,-73.677299,290956.490621,5045680.458149,"Point"
203,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Pont Viau","5 - L'eau, un obstacle à franchir par ponts et traverses","Pont routier construit en béton en 1930 pour remplacer un pont de métal qui datait de 1887. Le premier pont à cet emplacement est construit en bois en 1847 dans l’axe de l’ancienne montée du Sault (devenue la rue Lajeunesse). Le pont Viau est aussi connu sous le nom de pont Ahuntsic. Il relie Ahuntsic et Pont-Viau (Laval).","Ahuntsic-Cartierville (Montréal)","Visible","Pont routier construit en béton en 1930 pour remplacer un pont de métal qui datait de 1887. Le premier pont à cet emplacement est construit en bois en 1847 dans l’axe de l’ancienne montée du Sault (devenue la rue Lajeunesse). Le pont Viau est aussi connu sous le nom de pont Ahuntsic. Il relie Ahuntsic et Pont-Viau (Laval).","1930","Non","http://www.flickr.com/photos/parcoursriverain/8745185896/",,"Montréal QC, Canada","http://farm8.staticflickr.com/7292/8745185896_3e04fbd976_q.jpg",45.557301,-73.675598,291090.88851,5046391.525613,"Point"
204,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Église Sainte-Madeleine-Sophie-Barat / Cathédrale Saint-Maron","5b - Les villages de transit","Église construite selon les plans de l’architecte Edgar Courchesne. Elle devient la cathédrale Saint-Maron en 1982.","Ahuntsic-Cartierville (Montréal)","Visible","Église construite selon les plans de l’architecte Edgar Courchesne. Elle devient la cathédrale Saint-Maron en 1982.","1950","Non","http://www.flickr.com/photos/parcoursriverain/8511560748/","http://www.lieuxdeculte.qc.ca/fiche.php?LIEU_CULTE_ID=79054&type_requete=nom_libre&lignes=25&NomLibre=saint-maron","1000, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8244/8511560748_7f73b3a71c_q.jpg",45.560299,-73.666496,291802.171127,5046723.222651,"Point"
205,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","École secondaire Sophie-Barat","5b - Les villages de transit","École construite en 1929 sur les fondations de l’ancien couvent du Sacré-Cœur datant de 1885 et détruit par un incendie. Le bâtiment est devenu en 1970 l’école secondaire Sophie-Barat, nommée en l’honneur de la fondatrice des sœurs du Sacré-Cœur.","Ahuntsic-Cartierville (Montréal)","Visible","École construite en 1929 sur les fondations de l’ancien couvent du Sacré-Cœur datant de 1885 et détruit par un incendie. Le bâtiment est devenu en 1970 l’école secondaire Sophie-Barat, nommée en l’honneur de la fondatrice des sœurs du Sacré-Cœur.","1929","Non","http://www.flickr.com/photos/parcoursriverain/8511564046/",,"1239, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8244/8511564046_82004961f9_q.jpg",45.562401,-73.667,291763.347497,5046956.891696,"Point"
206,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Ancien externat Sainte-Sophie","5b - Les villages de transit","Vestiges de l’ancien externat détruit par les flammes en 1997.","Ahuntsic-Cartierville (Montréal)","Visible","Vestiges de l’ancien externat détruit par les flammes en 1997.","1864","Non","http://www.flickr.com/photos/parcoursriverain/8510453375/",,"1105, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8240/8510453375_a8cd4a884b_q.jpg",45.561001,-73.667099,291755.280977,5046801.324208,"Point"
207,"Territoire riverain d’Ahuntsic-Cartierville","Équipement maritime","Site nautique Sophie-Barat","4 - Les rivages, espaces de bien-être et de loisirs","Rampe de mise à l’eau de la Route bleue, location d’embarcations et cours de canot et de kayak.","Ahuntsic-Cartierville (Montréal)","Visible","Rampe de mise à l’eau de la Route bleue, location d’embarcations et cours de canot et de kayak.",,"Non","http://www.flickr.com/photos/parcoursriverain/8745191590/",,"1239, boulevard Gouin Est  Montréal QC, Canada","http://farm8.staticflickr.com/7293/8745191590_aac77537c3_q.jpg",45.562,-73.669601,291560.160617,5046912.804627,"Point"
208,"Territoire riverain d’Ahuntsic-Cartierville","Parc","Parc Maurice-Richard","4b - Les parcs en rive","Parc riverain donnant sur la rivière des Prairies.","Ahuntsic-Cartierville (Montréal)","Visible","Parc riverain donnant sur la rivière des Prairies.",,"Non","http://www.flickr.com/photos/parcoursriverain/8510456557/",,"Avenue Park Stanley  Montréal QC, Canada","http://farm9.staticflickr.com/8378/8510456557_ee1dd48983_q.jpg",45.5592,-73.672401,291340.912677,5046602.103268,"Point"
209,"Territoire riverain d’Ahuntsic-Cartierville","Vue","Vue sur le pont Papineau-Leblanc","5 - L'eau, un obstacle à franchir par ponts et traverses","Pont autoroutier construit en 1970.","Ahuntsic-Cartierville (Montréal)","Visible","Pont autoroutier construit en 1970.",,"Non","http://www.flickr.com/photos/parcoursriverain/8511540318/",,"Montréal QC, Canada","http://farm9.staticflickr.com/8249/8511540318_07cf978210_q.jpg",45.559601,-73.672302,291348.751232,5046646.599641,"Point"
210,"Territoire riverain d’Ahuntsic-Cartierville","Vue","Vue sur le pont Ahuntsic","5 - L'eau, un obstacle à franchir par ponts et traverses","Pont routier construit en 1930.","Ahuntsic-Cartierville (Montréal)","Visible","Pont routier construit en 1930.",,"Non","http://www.flickr.com/photos/parcoursriverain/8745185896/",,"Montréal QC, Canada","http://farm8.staticflickr.com/7292/8745185896_3e04fbd976_q.jpg",45.557301,-73.673599,291246.944602,5046391.18609,"Point"
211,"Territoire riverain d’Ahuntsic-Cartierville","Secteur, zone","Ancien noyau villageois d’Ahuntsic","5b - Les villages de transit","Ancien noyau villageois de Back River ou Ahuntsic qui s’est développé à l’intersection de la montée du Sault (rue Lajeunesse) et du chemin du Bord-de-l’eau (boulevard Gouin Est), à l’entrée du pont Ahuntsic qui mène à l’île Jésus (Laval). Le secteur est loti et construit principalement au début du XXe siècle. Annexé à la Ville de Montréal en 1910, il constitue aujourd’hui un remarquable catalogue de styles architecturaux.","Ahuntsic-Cartierville (Montréal)","Potentiel archéologique","Ancien noyau villageois de Back River ou Ahuntsic qui s’est développé à l’intersection de la montée du Sault (rue Lajeunesse) et du chemin du Bord-de-l’eau (boulevard Gouin Est), à l’entrée du pont Ahuntsic qui mène à l’île Jésus (Laval). Le secteur est loti et construit principalement au début du XXe siècle. Annexé à la Ville de Montréal en 1910, il constitue aujourd’hui un remarquable catalogue de styles architecturaux.",,"Non","http://www.flickr.com/photos/parcoursriverain/9417003842/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=4&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1033, http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=4&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1034, http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=4&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1032, http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=4&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1035","Montréal QC, Canada","http://farm3.staticflickr.com/2894/9417003842_2a463c7f55_q.jpg",45.556,-73.6707,291472.978012,5046246.139354,"Point"
212,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Poste de police no 27, caserne de pompiers no 35 d’Ahuntsic","5b - Les villages de transit","Bâtiment municipal construit à l’emplacement de l’ancien hôtel Marcotte, selon les plans des architectes J.-L.-D. Lafrenière et Jean-Omer Marchand. Il a été érigé dans le cadre de programmes de travaux publics lors de la crise de 1929.","Ahuntsic-Cartierville (Montréal)","Visible","Bâtiment municipal construit à l’emplacement de l’ancien hôtel Marcotte, selon les plans des architectes J.-L.-D. Lafrenière et Jean-Omer Marchand. Il a été érigé dans le cadre de programmes de travaux publics lors de la crise de 1929.","1929","Non","http://www.flickr.com/photos/parcoursriverain/8511592154/","http://patrimoine.ville.montreal.qc.ca/patri_municipal/fiche_bat.php?id_bat=9146-40-7641-01","10827, rue Lajeunesse  Montréal QC, Canada","http://farm9.staticflickr.com/8243/8511592154_496eeabbf5_q.jpg",45.556099,-73.670303,291503.975081,5046257.09581,"Point"
213,"Territoire riverain d’Ahuntsic-Cartierville","Bâtiment, élément","Ancienne succursale de la Banque canadienne nationale","5b - Les villages de transit","Architecture typique d’une succursale bancaire avec soubassement en pierre, formes classiques et entrée en angle. Témoigne du rôle d’ancien petit centre-ville de ce secteur.","Ahuntsic-Cartierville (Montréal)","Visible","Architecture typique d’une succursale bancaire avec soubassement en pierre, formes classiques et entrée en angle. Témoigne du rôle d’ancien petit centre-ville de ce secteur.","1932","Non","http://www.flickr.com/photos/parcoursriverain/8510480619/",,"440, boulevard Gouin Est  Montréal QC, Canada","http://farm9.staticflickr.com/8251/8510480619_72c02b7b08_q.jpg",45.555099,-73.671501,291410.221203,5046146.224492,"Point"
