IDE_STRCT,No structure,Nom route,Nom obstacle,Groupe,Centre de services,Année de construction,Type structure,Charg. conception,Affichage sur place,Statut,Responsablilté de gestion,Role VM Inspection,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,latitude,longitude,X,Y
6006747,81-05033E,boulevard Armand-Bombardier ,,P.S. Armand-Bombardier / CN,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,1985,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"90,83",4,2015/11/26,,118,45.6266010286408,-73.5830650894466,298323,5054081
202134,81-05044,Route 138,Autoroute 25,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1966,Pont à poutres en acier,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2015/09/23,2726,,45.5932381465381,-73.5369675297567,301916,5050371
201967,81-05045,Avenue Souligny Est,Autoroute 25,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1966,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015/09/30,2461,,45.5895205862803,-73.5236671133725,302953,5049957
201968,81-05046,Avenue Souligny Ouest,Autoroute 25,,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,1966,Pont à dalle évidée en béton armé,99-Inconnu,Charges légales,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016/04/21,2447,,45.5897861095452,-73.5247114054188,302872,5049987
6030317,81-05050,Rue Crawford,Canal de l'Aqueduc,,12 - Arrondissement Verdun,1920,"Pont à béquilles, béton armé",18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"97,41",4,2016/07/11,286,,45.4405842700507,-73.596232529543,297271,5033410
6036497,81-05051,Pont Claude-Brunet,Canal de l'Aqueduc,,12 - Arrondissement Verdun,1922,Pont à poutres-caissons en acier,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,95",4,2016/07/12,374,,45.4437442977874,-73.5933537856142,297497,5033761
6013352,81-05052,rue de l'Église ,Canal de l'Aqueduc,,12 - Arrondissement Verdun,1979,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"69,49",3,2016/06/28,763,,45.4633979024209,-73.5805724046268,298499,5035944
6036159,81-05053,Pont Jolicoeur,Canal de l'Aqueduc,,21 - Arrondissement Le Sud-Ouest,1932,"Pont à tablier infér., béton armé",18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,1059,,45.4570149944987,-73.5804895758449,298505,5035235
6030320,81-05055,Rue Stephens,Canal de l'Aqueduc,,12 - Arrondissement Verdun,1926,"Pont à pout. béton précont., préfabr.",17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,38",4,2017/06/29,952,,45.4467782685066,-73.5904778557666,297722,5034098
6030323,81-05056,Rue Woodland,Canal de l'Aqueduc,,21 - Arrondissement Le Sud-Ouest,1926,Pont à poutres en béton armé,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"98,54",4,2017/03/30,982,,45.4531605308936,-73.5832336521616,298290,5034807
6013355,81-05057,rue Galt ,Canal de l'Aqueduc,,12 - Arrondissement Verdun,1974,Pont à poutres en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"98,7",4,2016/06/21,791,,45.4624874718519,-73.5804673428598,298507,5035843
6013362,81-05063,Accès à  l'île Haynes,Coulée Grou,,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,1945,Pont à poutres en béton armé,4-12 Tonnes,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,97",4,2016/08/15,117,,45.6985724494238,-73.5026235868042,304596,5062076
6013201,81-05066,rue Jean-Talon Ouest ,Canadien National,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,1959,Pont à poutres en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,30,2,2017/11/23,362,,45.5133415624819,-73.632628006924,294438,5041500
6017701,81-05067,rue Notre-Dame Est ,rue Saint-Hubert ,,20 - Arrondissement Ville-Marie,1997,"Pont à tablier supérieur, en acier",17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,87",4,2015/10/21,6456,,45.5133131112746,-73.5507548783582,300834,5041489
6011242,81-05068A,rue Rachel Est ,Canadien Pacifique,"P.S. Rachel / CP, Est de Montgomery",25 - Arrondissement Rosemont-La Petite-Patrie,1932,Pont à poutres en acier,16-MS250,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"96,88",4,2017/07/18,1355,,45.5399656193487,-73.5614444247432,300002,5044452
6009818,81-05068C,rue Rachel Est ,,"P.S. Rachel / CP, Est de Montgomery",25 - Arrondissement Rosemont-La Petite-Patrie,1932,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2016/10/04,,124,45.5407658166712,-73.5613727781056,300007,5044541
6017733,81-05069,Rue Ste-Catherine Est,Canadien pacifique,,20 - Arrondissement Ville-Marie,1951,Pont à poutres-caissons en béton armé,17-QS660,Tonnage réduit,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,14",3,2015/11/02,5432,,45.5337747538555,-73.543838393461,301376,5043763
6036162,81-05070,Rue Sherbrooke Est,"CP, à l'Est de Wurtele",,25 - Arrondissement Rosemont-La Petite-Patrie,1922,Pont à poutres en acier,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"72,92",3,2017/10/10,2716,,45.5399105394732,-73.5592170935948,300175,5044446
202468,81-05071B,Boulevard Angrignon,Autoroute 20,,21 - Arrondissement Le Sud-Ouest,1966,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016/08/16,2311,,45.4531105434509,-73.6262959662775,294922,5034806
6018002,81-05071C,Rue Notre-Dame Ouest,Virage en U et accès au boul. Angrignon,"P.S. Notre-Dame, Angrignon / Aut. 20, CN, CP et canal Lachin",21 - Arrondissement Le Sud-Ouest,1966,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,02",3,2016/08/09,6321,,45.4526519982585,-73.6255909141623,294977,5034755
6017244,81-05071E,rue Notre-Dame Ouest ,,"P.S. Notre-Dame, Angrignon / Aut. 20, CN, CP et canal Lachin",21 - Arrondissement Le Sud-Ouest,1966,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,75,4,2017/10/05,,82,45.4537365015774,-73.6237101195333,295124,5034875
6013340,81-05073A,rue du Pont ,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,1993,Pont à poutres en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,42,,45.5749515380866,-73.6620474067937,292153,5048351
6017841,81-05073B,rue du Pont ,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,1993,Pont à poutres en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,37,,45.5749230413757,-73.6619199158228,292163,5048348
6017868,81-05073C,rue du Pont ,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,1993,Pont à poutres en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,36,,45.5749035430821,-73.6617922112185,292173,5048346
6017895,81-05073D,rue du Pont ,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,1993,Pont à poutres en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,35,,45.5748466991072,-73.6615500430907,292192,5048339
6017922,81-05073E,rue du Pont ,Rivières des prairies,P.O. Ponts de la rue du Pont / Accès à l'Île-de-la-Visitatio,24 - Arrondissement Ahuntsic-Cartierville,1993,Pont à poutres en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,36,,45.5748080019151,-73.6613202609628,292209,5048335
6033507,81-05074,boulevard Henri-Bourassa Est ,"Accès au boui. Métropolitain Est, dir, Ouest",,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,1965,Pont à poutres en acier,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,91",4,2017/03/30,408,,45.6595182910352,-73.520647319873,303191,5057736
202004,81-05075,Boulevard Henri-Bourassa Est (direction ouest),Autoroute 40,,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,1965,Pont à poutres en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,1618,,45.6600853746496,-73.5185657506361,303353,5057799
202005,81-05076,Boulevard Henri-Bourassa Est (direction est),Autoroute 40,,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,1965,Pont à poutres en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,1805,,45.661260766362,-73.518278015676,303376,5057930
6036165,81-05082,Rue Mill,Décharge du canal Lachine,,20 - Arrondissement Ville-Marie,1961,Ponceau rectang. en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,75,4,2016/10/26,,,45.4909118614722,-73.5516697406477,300761,5039000
202006,81-05083,Virage en U voie service A-40,Autoroute 40,,19 - Arrondissement Rivière-des-Prairies-Pointe-aux-Trembles,1965,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2016/04/19,937,,45.6715093062436,-73.5193941400117,303289,5059069
6007862,81-05084A,boulevard Crémazie Ouest ,,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,1957,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,75,4,2017/10/19,,329,45.5343562374684,-73.6459765036587,293399,5043837
6009820,81-05084B,boulevard Crémazie Ouest ,,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",24 - Arrondissement Ahuntsic-Cartierville,1957,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,75,4,2017/10/19,,311,45.5343725205144,-73.6465908757855,293351,5043839
202085,81-05084C,Rue Querbes,Autoroute 40 Direction Est,,24 - Arrondissement Ahuntsic-Cartierville,1960,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015/10/27,488,,45.5349579267883,-73.6458595999673,293408,5043904
6009824,81-05084D,Canadien Pacifique,autoroute 40 ,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",24 - Arrondissement Ahuntsic-Cartierville,1960,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Autre,Inspections annuelle et générale par la Ville Montréal,"99,44",4,2015/10/27,1237,,45.5351478074322,-73.6459318883159,293402,5043925
202090,81-05084E,Rue du Parc,Aut. 40 Direction Est,,24 - Arrondissement Ahuntsic-Cartierville,1960,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015/10/27,489,,45.535251235474,-73.6455451728145,293433,5043936
6009835,81-05084F,boulevard Crémazie Ouest ,,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",24 - Arrondissement Ahuntsic-Cartierville,1957,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"30,5",2,2017/10/19,,281,45.535927190402,-73.6456185978013,293427,5044012
6009838,81-05084G,boulevard Crémazie Ouest ,,"P.S. Querbes, Du Parc et CP / Aut. 40 et voies de service",26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,1957,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"43,29",3,2017/10/19,,345,45.5358479120339,-73.6450057222195,293475,5044003
6033798,81-05085,Passerelle Du Cosmos,Fleuve Saint-Laurent,,20 - Arrondissement Ville-Marie,1965,Pont à poutres-caissons en acier,14-H25-S20,Tonnage réduit,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"98,24",4,2017/08/29,2067,,45.5130102574993,-73.5291772634145,302520,5041455
6015662,81-05086,Pont de la Concorde,Fleuve St-Laurent,,20 - Arrondissement Ville-Marie,1965,Pont à poutres-caissons en acier,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"70,69",3,2016/11/11,19700,,45.5062987726798,-73.5385561572888,301787,5040709
6015662,81-05086,Pont de la Concorde,Fleuve St-Laurent,,20 - Arrondissement Ville-Marie,1965,Pont à poutres-caissons en acier,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"70,69",3,2016/11/11,19700,,45.5062987726798,-73.5385561572888,301787,5040709
6036168,81-05087,Avenue Pierre Dupuy,Chenal Le Moyne,,20 - Arrondissement Ville-Marie,1965,Pont à poutres en acier,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"72,44",3,2017/07/10,6007,,45.508118021416,-73.5309177131022,302384,5040911
6015669,81-05088,Pont reliant La Ronde et l'Île Notre-Dame,Fleuve Saint- Laurent,,20 - Arrondissement Ville-Marie,1965,Pont à poutres-caissons en acier,99-Inconnu,Pont fermé,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"62,72",3,2016/11/11,2482,,45.5218349258571,-73.5301509352597,302445,5042436
6015685,81-05092,voie Non-nommée ,Canal Nord,,20 - Arrondissement Ville-Marie,1965,Pont à poutres en béton armé,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"67,07",3,2016/11/15,430,,45.5035196091964,-73.5273503752635,302663,5040400
6015744,81-05094,chemin des Floralies ,Terrain vague,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"53,81",3,2016/11/23,254,,45.5048050303915,-73.5287765556532,302551,5040543
6050722,81-05095,Chemin des Floralies,Canal Ouest,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"67,72",3,2017/11/01,255,,45.505095044586,-73.5282313606755,302594,5040575
6034541,81-05096,Passage piétons À l'Est du canal Ouest,Canal Nord,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"62,89",3,2017/06/13,314,,45.5056411994114,-73.5287035656523,302557,5040636
6034562,81-05097,Passage piétons  à  l'Ouest de l'avenue Pierre-Dupuy,Canal Nord,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"52,91",3,2017/06/13,435,,45.5064593719333,-73.5286310421229,302563,5040727
6048971,81-05098,P.A.  À l'Ouest de l'ave Pierre-Dupuy / Canal Sud,Canal Sud,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,,,,714,,45.5062319598148,-73.5270496209098,302686,5040702
6017384,81-05099,Passage piétons À l'Est du canal Ouest,Canal Sud,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"63,61",3,2017/06/13,326,,45.5056035748219,-73.52718122184,302676,5040632
6015747,81-05100,chemin des Floralies ,Canal Ouest,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"95,74",4,2017/11/01,315,,45.5050140738768,-73.5268381719147,302703,5040566
6034625,81-05101,"Chemin des Floralies, à l'Est de l'ave Pierre-Dupuy",Canal Nord,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"54,35",3,2016/10/18,317,,45.5086122299288,-73.528022700827,302610,5040966
6017387,81-05102,chemin des Floralies,Canal Nord,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"58,15",3,2016/10/18,490,,45.5101706072559,-73.5273502372266,302663,5041139
6033802,81-05103,À l'extrémité Est du canal Sud,Canal Sud,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"72,75",3,2017/11/01,348,,45.5112165173864,-73.5261898464976,302754,5041255
6057306,81-05104,À l'Est du ch. des Floralies,Canal Sud,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2017/11/01,714,,45.509598044732,-73.525926884324,302774,5041076
6056224,81-05105,chemin des Floralies ,Canal Sud,,20 - Arrondissement Ville-Marie,1965,"Pont à pout. béton précont., préfabr.",13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,82",4,2016/10/18,316,,45.5083968342521,-73.5264464665782,302734,5040942
6015780,81-05106B,rue Wellington ,Canal Lachine,P.O. Wellington / Canal Lachine,21 - Arrondissement Le Sud-Ouest,1995,Pont à poutres-caissons en acier,17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,99",4,2015/11/23,1883,,45.4902638829502,-73.5573738906973,300315,5038928
6015786,81-05106C,rue Wellington ,,P.O. Wellington / Canal Lachine,21 - Arrondissement Le Sud-Ouest,1995,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2017/07/17,,190,45.4911711447323,-73.5579394214168,300271,5039029
6013205,81-05110A,avenue Pierre-Dupuy ,circuit Gilles-Villeneuve ,,20 - Arrondissement Ville-Marie,1965,Pont à dalle pleine en béton armé,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"55,41",3,2017/06/19,155,,45.5078245128118,-73.5294326595254,302500,5040879
6013455,81-05110B,avenue Pierre-Dupuy ,circuit Gilles-Villeneuve ,,20 - Arrondissement Ville-Marie,1965,Pont à dalle pleine en béton armé,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"97,77",4,2017/06/19,205,,45.5079973581659,-73.5294485333631,302499,5040898
6013214,81-05111,Chemin Macdonald,chemin Macdonald Nord,,20 - Arrondissement Ville-Marie,1965,Pont à poutres-caissons en acier,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"60,88",3,2017/07/17,391,,45.5081176366216,-73.5324963835415,302261,5040911
6048977,81-05112,avenue Pierre-Dupuy ,"Ch. Macdonald, direction Ouest",,20 - Arrondissement Ville-Marie,1965,Pont à poutres en acier,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"69,81",3,2017/07/10,7197,,45.5080137897669,-73.5337885340259,302160,5040900
6041688,81-05123A,"Boul. Angrignon, côté Ouest",,,18 - Arrondissement LaSalle,1990,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,88",4,2017/04/18,,364,45.4511100739772,-73.6246180655139,295053,5034583
6036510,81-05123B,boulevard Angrignon ,Canal Lachine,,18 - Arrondissement LaSalle,1990,"Pont à pout. béton précont., préfabr.",17-QS660,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"70,8",3,2017/04/18,3585,,45.4520973887042,-73.6251311977781,295013,5034693
6057309,81-05123C,"Boul. Angrignon, côté Est",,,18 - Arrondissement LaSalle,1990,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,84",4,2017/04/18,,464,45.4512105110576,-73.6239889767425,295102,5034594
6017100,81-05125A,Chemin de fer CP,chemin Upper-Lachine dir. Est,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,1966,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien Pacifique ,Inspections annuelle et générale par la Ville Montréal,"99,1",4,2016/07/05,273,,45.4721988223515,-73.6059639768533,296515,5036925
6015806,81-05125B,Chemin de fer CP,chemin Upper-Lachine dir. Est,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,1966,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien Pacifique ,Inspections annuelle et générale par la Ville Montréal,"98,53",4,2016/07/05,770,,45.4723248015074,-73.6059608704388,296515,5036939
6015809,81-05125C,Chemin Upper-Lachine,,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,1966,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,32",4,2016/07/05,,177,45.4725868511014,-73.6060439635969,296509,5036968
6015821,81-05125D,chemin Upper-Lachine ,,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,1966,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,81",4,2016/07/05,,207,45.4719363043176,-73.6058425159211,296524,5036895
6015823,81-05125E,boulevard De Maisonneuve Ouest ,,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,1966,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"98,16",4,2016/07/05,,152,45.4726259669925,-73.606298870394,296489,5036972
202338,81-05127A,Rue Upper Lachine,Autoroute 15,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,1966,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015/10/01,1946,,45.4712782188449,-73.6064984069707,296473,5036822
6017281,81-05127B,Chemin Upper-Lachine,Talus à l'Ouest de l'autoroute Décarie,,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,1966,Pont à poutres en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,100,4,2015/07/16,41,,45.4711496380268,-73.6070260986145,296432,5036808
6013264,81-05129,chemin de la Côte-des-Neiges ,chemin Remembrance ,,20 - Arrondissement Ville-Marie,1959,Pont à dalle pleine en béton armé,99-Inconnu,Charges légales,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"60,78",3,2015/06/25,421,,45.4952593008354,-73.6051774261228,296580,5039487
6018062,81-05130A,autoroute 10 ,Canal Lachine,P.S. Aut. Bonaventure / Du canal Lachine à Notre-Dame,21 - Arrondissement Le Sud-Ouest,1966,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,23",3,2017/08/17,5721,,45.4926541191423,-73.5535698189583,300613,5039194
6023384,81-05130B,voie Non-nommée ,Canal Lachine,P.S. Aut. Bonaventure / Du canal Lachine à Notre-Dame,21 - Arrondissement Le Sud-Ouest,1966,"Pont à pout. béton précont., préfabr.",99-Inconnu,Pont fermé,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"67,19",3,2017/08/17,878,,45.4933016581239,-73.5541607460811,300567,5039266
6014360,81-05131,chemin de la Côte-des-Neiges ,chemin Remembrance ,,20 - Arrondissement Ville-Marie,1959,Pont à dalle pleine en béton armé,99-Inconnu,Charges légales,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"61,21",3,2015/06/25,432,,45.495224419069,-73.6037960296432,296688,5039483
6037340,81-05133,Boulevard Crémazie E.,Boulevard Pie-IX dir Nord,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,1957,Pont à dalle évidée en béton armé,99-Inconnu,Charges légales,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,82",3,2017/10/10,371,,45.5704180621506,-73.5999730133106,296997,5047839
6030311,81-05134,Boulevard Crémazie E.,Boulevard Pie-IX dir Nord,,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,1957,Pont à dalle évidée en béton armé,99-Inconnu,Charges légales,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"73,9",3,2017/10/10,371,,45.5702329122012,-73.5995546954511,297029,5047819
6035585,81-05135,Rosemont - Van Horne,CP,,25 - Arrondissement Rosemont-La Petite-Patrie,1971,Pont à poutres en acier,13-H20-S16,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"70,1",3,2017/03/23,10581,,45.5285909210778,-73.6015234981367,296870,5043191
