Date_reception_demande,type_intervention,Ev_arrondissement,Ev_arrond2,Ev_arrond3,Ev_arrond4,Ev_service,Ev_service1,Ev_service2,Ev_service3,Ev_service4,societe_controle_concernee,Autre_entite,Categorie,Engagement_Charte_mtl_droits_respons,Engagement_Charte_mtl_droits_respons2,GroupeAge,Sexe,Origine_ethnique,Minorite_visible,Autochtone 
2020-05-08,Enquête approfondie,Rosemont--La Petite-Patrie,,,,,,,,,,,ZU - Permis - Autre,,,26 à 40 ans,HOMME,Canadien,NON,Non
2020-05-09,Refusée sans enquête,,,,,Affaires juridiques - Direction des poursuites pénales et criminelles,,,,,,,Accès à l'information,,,Inconnu,HOMME,Pays inconnu,Arabe,Non
2020-05-09,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,,,,Constat - Autre que stationnement,,,Inconnu,FEMME,Pays inconnu,NON,Non
2020-05-10,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Ne sait pas,Inconnu,Non
2020-05-11,Enquête approfondie,Outremont,,,,,,,,,,,TP - Circulation/Signalisation,,,GC,GC,GC,GC,Non
2020-05-11,Refusée sans enquête,Ville-Marie,,,,,,,,,,,TP - Propreté,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-11,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Noir,Non
2020-05-11,Refusée sans enquête,Y-Arrondissement non spécifié,,,,,,,,,,,Divers,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-05-12,Refusée sans enquête,LaSalle,,,,,,,,,,,TP - Propreté,,,65 ans et +,HOMME,Canadien,NON,Non
2020-05-12,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,,,,Agent de la paix - DAO (excluant comportement),,,Inconnu,HOMME,Canadien,NON,Non
2020-05-12,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,FEMME,Canadien,NON,Non
2020-05-12,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-12,Refusée sans enquête,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Services aux citoyens - Communication/Informations,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-12,Refusée sans enquête,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-05-12,Refusée sans enquête,Ville-Marie,,,,,,,,,,,TP - Autre ou combinaison,,,41 à 50 ans,HOMME,Canadien,NON,Non
2020-05-12,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-05-12,Refusée sans enquête,Ville-Marie,,,,,,,,,,,Nuisance - Bruit,,,18 à 25 ans,HOMME,Canadien,NON,Non
2020-05-12,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-05-13,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-13,Refusée sans enquête,,,,,"Grands parcs, Mont-Royal et sports - Toutes autres directions confondues",Police - Toutes direstions confondues,,,,,,Nuisance - Bruit,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-13,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,Dommage matériel - Demande de réparation,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-13,Refusée sans enquête,,,,,,,,,Société de transport de Montréal (STM),,,Dommage matériel - Réclamation monétaire,,,Inconnu,FEMME,Grec,NON,Non
2020-05-13,Analyse/enquête sommaire,Saint-Léonard,,,,,,,,,,,Arbre,"Charte - environnement, developpement durable",,41 à 50 ans,HOMME,Canadien,NON,Non
2020-05-13,Refusée sans enquête,,,,,Affaires juridiques - Direction des affaires civiles,,,,,,,Dommage matériel - Réclamation monétaire,,,41 à 50 ans,FEMME,Canadien,NON,Non
2020-05-13,Refusée sans enquête,Mercier--Hochelaga-Maisonneuve,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-05-14,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-05-14,Analyse/enquête sommaire,Le Plateau-Mont-Royal,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,Inconnu,FEMME,Ne sait pas,Inconnu,Non
2020-05-14,Analyse/enquête sommaire,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,TP - Circulation/Signalisation,,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-05-14,Refusée sans enquête,,,,,,,,,,,,Services aux citoyens - Communication/Informations,,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-05-15,Analyse/enquête sommaire,Lachine,,,,,,,,,,,Sécurité - Autre qu'incendie,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-15,Refusée sans enquête,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Relations locataire/propriétaire (VdM et entités liées),,,Inconnu,FEMME,Canadien,NON,Non
2020-05-15,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-05-16,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-16,Refusée sans enquête,Ville-Marie,,,,,,,,,,,Arbre,,,PM,PM,PM,PM,Non
2020-05-16,Refusée sans enquête,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Immeuble - Salubrité - Rongeurs,,,26 à 40 ans,FEMME,Canadien,NON,Non
2020-05-18,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-19,Enquête approfondie,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Relations locataire/propriétaire (VdM et entités liées),,,51 à 64 ans,FEMME,Ukrainien,NON,Non
2020-05-19,Enquête approfondie,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Relations locataire/propriétaire (VdM et entités liées),,,51 à 64 ans,FEMME,Ukrainien,NON,Non
2020-05-19,Enquête approfondie,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Relations locataire/propriétaire (VdM et entités liées),,,51 à 64 ans,FEMME,Ukrainien,NON,Non
2020-05-19,Enquête approfondie,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,,,,,Arbre,"Charte - environnement, developpement durable",,26 à 40 ans,HOMME,Canadien,NON,Non
2020-05-19,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,FEMME,Haitien,Noir,Non
2020-05-19,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,Nuisance - Bruit,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-05-19,Refusée sans enquête,Outremont,,,,,,,,,,,Participation citoyenne - Autre que droit d'initiative,,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-05-19,Analyse/enquête sommaire,Outremont,,,,,,,,,,,Participation citoyenne - Autre que droit d'initiative,Charte - services municipaux,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-05-19,Enquête approfondie,Mercier--Hochelaga-Maisonneuve,,,,De l'urbanisme et de la mobilité - Direction de la mobilité,,,,,,,TP - Chaussée/Trottoir,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-19,Refusée sans enquête,,,,,Affaires juridiques - Direction des affaires civiles,,,,,,,Dommage matériel - Réclamation monétaire,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-20,Enquête approfondie,Saint-Léonard,,,,,,,,,,,Stationnement municipal et sur rue/Vignette/Débarcadère,,,41 à 50 ans,HOMME,Ne sait pas,NON,Non
2020-05-20,Analyse/enquête sommaire,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,TP - Circulation/Signalisation,,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-05-20,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,,,,,Services aux citoyens - Délai/Procédure,,,26 à 40 ans,FEMME,Canadien,NON,Non
2020-05-20,Refusée sans enquête,Ville-Marie,,,,,,,,,,,Sécurité - Autre qu'incendie,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-20,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,HOMME,Français,NON,Non
2020-05-20,Enquête approfondie,,,,,Finances - Toutes directions confondues,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-20,Refusée sans enquête,Ville-Marie,,,,,,,,,,,TP - Compostage/Déchets/Recyclage,,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-05-20,Refusée sans enquête,,,,,Finances - Toutes directions confondues,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-20,Refusée sans enquête,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Constat - Stationnement,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-20,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,,,,,ZU - Entrée charretière/Stationnement privé,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-05-20,Refusée sans enquête,Ville-Marie,,,,,,,,,,,Nuisance - Bruit,,,Inconnu,FEMME,Ne sait pas,Inconnu,Non
2020-05-21,Refusée sans enquête,,,,,,,,,Société de transport de Montréal (STM),,,Services aux citoyens - Délai/Procédure,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-05-21,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Français,NON,Non
2020-05-21,Refusée sans enquête,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,,,,,Arbre,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-21,Refusée sans enquête,Montréal-Nord,,,,,,,,,,,TP - Propreté,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-21,Refusée sans enquête,Ville-Marie,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,Inconnu,HOMME,Pays inconnu,Arabe,Non
2020-05-21,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-21,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,41 à 50 ans,FEMME,Chinois,Asiatique,Non
2020-05-21,Refusée sans enquête,Ville-Marie,,,,,,,,,,,TP - Chaussée/Trottoir,,,26 à 40 ans,HOMME,Canadien,NON,Non
2020-05-22,Refusée sans enquête,,,,,Sécurité incendie - Toutes directions confondues,,,,,,,Nuisance - Bruit,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-05-22,Refusée sans enquête,Verdun,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,65 ans et +,HOMME,Pays inconnu,NON,Non
2020-05-23,Refusée sans enquête,,,,,,,,,,,,Piste cyclable / Vélo,,,Inconnu,HOMME,Italien,NON,Non
2020-05-23,Enquête approfondie,Rosemont--La Petite-Patrie,,,,Concertation des arrondissements  - Toutes directions confondues,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Ne sait pas,NON,Non
2020-05-23,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,Services aux citoyens - Délai/Procédure,,,26 à 40 ans,HOMME,Français,NON,Non
2020-05-25,Enquête approfondie,Le Plateau-Mont-Royal,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,51 à 64 ans,FEMME,Canadien,NON,Non
2020-05-25,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,,,,,TP - Propreté,,,Inconnu,HOMME,Ne sait pas,NON,Non
2020-05-25,Enquête approfondie,Le Plateau-Mont-Royal,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,51 à 64 ans,HOMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - vie démocratique,Inconnu,HOMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Ne sait pas,Inconnu,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Ne sait pas,Inconnu,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Pays inconnu,NON,Non
2020-05-25,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Canadien,NON,Non
2020-05-25,Refusée sans enquête,Mercier--Hochelaga-Maisonneuve,,,,,,,,,,,Services aux citoyens - Communication/Informations,,,41 à 50 ans,FEMME,Péruvien,Latino-américain,Non
2020-05-25,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,,,,,ZU - Entrée charretière/Stationnement privé,,,65 ans et +,HOMME,Canadien,NON,Non
2020-05-25,Enquête approfondie,Lachine,,,,,,,,,,,Services aux citoyens - Communication/Informations,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-26,Refusée sans enquête,Le Plateau-Mont-Royal,,,,,,,,,,,Nuisance - Bruit,,,26 à 40 ans,HOMME,Pays inconnu,Latino-américain,Non
2020-05-26,Refusée sans enquête,Mercier--Hochelaga-Maisonneuve,,,,,,,,,,,Nuisance - Autre ou Combinaison,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-26,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,TP - Circulation/Signalisation,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-26,Refusée sans enquête,Ville-Marie,,,,,,,,,,,TP - Compostage/Déchets/Recyclage,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-26,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-26,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-26,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Canadien,NON,Non
2020-05-26,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-26,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,,,Inconnu,FEMME,Canadien,NON,Non
2020-05-26,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-26,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-05-26,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Italien,NON,Non
2020-05-26,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,,,,Agent de la paix - DAO (excluant comportement),,,65 ans et +,HOMME,Canadien,NON,Non
2020-05-26,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,Animal,,,26 à 40 ans,FEMME,Français,NON,Non
2020-05-27,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,26 à 40 ans,FEMME,Canadien,NON,Non
2020-05-27,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Canadien,NON,Non
2020-05-27,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-05-27,Refusée sans enquête,Outremont,,,,,,,,,,,Participation citoyenne - Autre que droit d'initiative,,,Inconnu,FEMME,Italien,NON,Non
2020-05-27,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-05-27,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Ne sait pas,Inconnu,Oui
2020-05-27,Refusée sans enquête,,,,,,,,,Société de transport de Montréal (STM),,,Services aux citoyens - Délai/Procédure,,,Inconnu,FEMME,Roumain,NON,Non
2020-05-28,Enquête approfondie,Rosemont--La Petite-Patrie,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-05-28,Enquête approfondie,Rosemont--La Petite-Patrie,,,,,,,,,,,Piste cyclable / Vélo,Charte - services municipaux,Charte - vie démocratique,Inconnu,FEMME,Canadien,NON,Non
2020-05-28,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-28,Enquête approfondie,Rosemont--La Petite-Patrie,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - services municipaux,Charte - sécurité,Inconnu,FEMME,Canadien,NON,Non
2020-05-28,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de l'urbanisme,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Canadien,NON,Non
2020-05-28,Enquête approfondie,Rosemont--La Petite-Patrie,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,65 ans et +,FEMME,Canadien,NON,Non
2020-05-28,Enquête approfondie,Rosemont--La Petite-Patrie,,,,,,,,,,,Piste cyclable / Vélo,Charte - vie démocratique,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-28,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
2020-05-28,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de l'urbanisme,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,HOMME,Canadien,NON,Non
2020-05-28,Refusée sans enquête,Verdun,,,,,,,,,,,Participation citoyenne - Autre que droit d'initiative,,,51 à 64 ans,HOMME,Canadien,NON,Non
2020-05-28,Refusée sans enquête,,,,,,,,,,,Ayant lien avec la Ville,Services aux citoyens - Communication/Informations,,,Inconnu,FEMME,Ne sait pas,NON,Non
2020-05-28,Enquête approfondie,Rosemont--La Petite-Patrie,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Ne sait pas,NON,Non
2020-05-28,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de l'urbanisme,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Ne sait pas,Inconnu,Non
2020-05-28,Enquête approfondie,,,,,Infrastructures du réseau routier - Toutes directions confondues,De l'urbanisme et de la mobilité - Direction de la mobilité,Concertation des arrondissements  - Toutes directions confondues,Expérience citoyenne et communications - Direction de l'expérience citoyenne,,,,Piste cyclable / Vélo,Charte - sécurité,Charte - services municipaux,Inconnu,FEMME,Canadien,NON,Non
