Id,date,provenance,relation_navette_connaissance,relation_navette_premiere_experience,relation_navette_confort_autonomie,relation_navette_confiance_technologie,relation_avec _technologie,relation_navette_meilleur_usage,relation_navette_avantages,relation_navette_barrieres_utilisation,relation_navette_integration_rue,relation_navette_integration_transport,relation_navette_voiture,relation_navette_cycliste,relation_navette_pieton,navette_parc_olympique_connaissance,navette_parc_olympique_essaie,navette_parc_olympique_non_essaie,navette_parc_olympique_evaluation_experience,navette_parc_olympique_confort_autonomie,navette_parc_olympique_securite_en_mouvement,navette_parc_olympique_sentiment_sans_controleur,navette_parc_olympique_comparaison_autre_transport,navette_parc_olympique_integration,navette_parc_olympique_evaluation_trajet,navette_parc_olympique_evaluation_confort,navette_parc_olympique_evaluation_vitesse,navette_parc_olympique_evaluation_emplacement_arrets,navette_parc_olympique_evaluation_nbre_arrets,navette_parc_olympique_evaluation_cortoisie_operateur,navette_parc_olympique_evaluation_horaire,relation_voiture_pocession,relation_voiture_frequence_usage,relation_voiture_conduite,relation_tranport_en_commun_usage,relation_tranport_en_commun_frequence,relation_transport_en_commun_nature,relation_tranport_en_commun_appreciation,classement_groupe_age,classement_genre,classement_niveau_etude,classement_mobilite_reduite,classement_statut_emploi,classement_duree_trajet,classement_frequence_teletravail,classement_statut_familial,commentaire
37,2018-10-24,Par courriel,Oui,Oui,5,5,J'adopte rapidement les technologies et j'influence les autres,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)","Sécurité des passants, Cybersécurité",Oui,Oui,Confortable,Confortable,Confortable,Oui,Oui,,4,5,Oui mais je n'aurais pas aimé que la navette circule plus rapidement,3,3,Oui,5,5,3,3,5,5,Pas d'opinion,Oui,Tous les jours,Oui,Oui,Quelques fois par mois,Métro,3,25 à 34 ans,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,2.5 hrs (2hrs en voiture + 30 minutes de marches),Une fois par semaine,Personne seule ou en couple,
38,2018-10-24,Par courriel,Oui,Oui,4,5,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville, Navette dans des endroits très","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation dans la ville, Transport collectif plus durable",Neige (conditions hivernales),Oui,Oui,Confortable,Confortable,Confortable,Oui,Oui,,3,2,Oui,3,2,Oui,5,3,1,5,5,5,3,Oui,Quelques fois par semaine,Oui,Oui,Quelques fois par semaine,"Autobus, Métro, Bixi, Communauto, Car2Go",4,35 - 50 ans,Homme,Baccalauréat,Non,Employé à temps plein,1h30,Une fois par semaine,Personne seule ou en couple,
39,2018-10-24,Par courriel,Oui,Non,5,5,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, En remplacement de la voiture individuelle, Navette dans des endroits très achalandés","Augmente la sécurité routière, Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation dans la ville, Transport collectif plus durable",Fiabilité des technologies,Je n'y ai jamais pensé,Oui,Confortable,Confortable,Confortable,Oui,Non,,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,Métro,3,35 - 50 ans,Homme,Diplôme d'études collégiales,Non,Employé à temps plein,1 h,Quelques fois par semaine,Famille avec enfant (1 ou 2 parents),
40,2018-10-24,Par courriel,Oui,Oui,3,4,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville, Navette dans des endroits très","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)","Sécurité des passants, Fiabilité des technologies",Oui,Peut-être,Très confortable,Très confortable,Confortable,Oui,Oui,,4,4,Oui,3,4,Oui,4,4,4,5,5,5,5,Oui,Tous les jours,Non,Oui,Quelques fois par mois,Métro,4,35 - 50 ans,Femme,Baccalauréat,Non,Employé à temps plein,1h30,Quelques fois par semaine,Famille avec enfant (1 ou 2 parents),
41,2018-10-24,Par courriel,Oui,Oui,3,3,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,,,"Sécurité des passants, Absence physique de conducteur, Fiabilité des technologies",Non,Non,Très inconfortable,Très inconfortable,Inconfortable,Oui,Oui,,3,3,Oui mais je n'aurais pas aimé que la navette circule plus rapidement,2,3,Non,4,4,4,4,4,4,4,Oui,Tous les jours,Oui,Oui,Quelques fois par semaine,"Autobus, Métro, Bixi",4,25 à 34 ans,Femme,Baccalauréat,Non,Employé à temps plein,30-60 min. total,Quelques fois par semaine,Personne seule ou en couple,
42,2018-10-24,Par courriel,Oui,Non,4,4,J'adopte rapidement les technologies et j'influence les autres,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs)",Meilleur flot de circulation dans la ville,Sécurité des passants,Pas convaincu,Peut-être,Inconfortable,Inconfortable,Inconfortable,Oui,Non,Ne passe assez souvent. Jamais là quand je pourrais la prendre,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par mois,Métro,3,35 - 50 ans,Homme,Baccalauréat,Non,Employé à temps plein,40-60 min,Quelques fois par mois,Famille avec enfant (1 ou 2 parents),
43,2018-10-24,Par courriel,Oui,Non,5,5,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Service spécial au centre-ville, Navette dans des endroits très achalandés","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Transport collectif plus durable",,Oui,Oui,Très confortable,Très confortable,Très confortable,Oui,Non,Je préfère marcher afin de me dégourdir les jambes avant le travail.,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par mois,"Autobus, Métro, Bixi",5,25 à 34 ans,Femme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,1hr,Une fois par semaine,Personne seule ou en couple,
44,2018-10-24,Par courriel,Oui,Non,5,5,J'adopte rapidement les technologies et j'influence les autres,À la sortie des stations de transport en commun du métro et du train,"Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)","On a pas d'information sur le comment, comment on prend la navette est-ce qu'on peut embarquer à tout moment, etc.",Oui,Oui,Très confortable,Très confortable,Très confortable,Oui,Non,"Aucun idée de comment nous devons prendre la navette à un point de départ, en tout temps, comment?",,,,,,,,,,,,,,Oui,Quelques fois par semaine,Je n'ai pas d'opinion,Oui,Quelques fois par semaine,"Autobus, Métro",5,35 - 50 ans,Femme,Baccalauréat,Non,Employé à temps plein,2 heures,Quelques fois par semaine,Famille avec enfant (1 ou 2 parents),
45,2018-10-24,Par courriel,Oui,Non,3,3,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville, Navette dans des endroits très","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation","Sécurité des passants, Absence physique de conducteur, Fiabilité des technologies",Je n'y ai jamais pensé,Oui,Très confortable,Neutre,Très inconfortable,Oui,Non,Aucun besoin dans l'immédiat,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,"Autobus, Métro",3,51 - 65,Femme,Diplome d'études secondaire,Non,Employé à temps plein,30 minutes,Jamais,Famille avec enfant (1 ou 2 parents),
46,2018-10-24,Par courriel,Oui,Non,,,J'adopte les technologies lorsque nécessaire,"À la sortie des stations de transport en commun du métro et du train, Service spécial au centre-ville, Navette dans des endroits très achalandés","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Meilleur flot de circulation dans la ville, Transport collectif plus durable",,Oui,Oui,Très confortable,Très confortable,Très confortable,Oui,Non,Je marche,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,"Autobus, Métro",4,35 - 50 ans,Homme,Baccalauréat,Non,Employé à temps plein,2h,Quelques fois par mois,Famille avec enfant (1 ou 2 parents),
47,2018-10-24,Par courriel,Oui,Oui,4,4,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Transport de personnes à mobilité réduite, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Navette dans des endroits très achalandés","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Transport collectif plus durable","Sécurité des passants, Fiabilité des technologies",Oui,Oui,Confortable,Neutre,Confortable,Oui,Non,Aucun besoin. J'aime marcher.,,,,,,,,,,,,,,Non,Quelques fois par année,Oui,Oui,Tous les jours,"Métro, Communauto, Car2Go",4,35 - 50 ans,Homme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,1h,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
48,2018-10-24,Par courriel,Oui,Non,3,3,J'adopte rapidement les technologies et j'influence les autres,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville, Navette dans des endroits très","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation","Cybersécurité, Absence physique de conducteur, Fiabilité des technologies",Oui,Oui,Neutre,Confortable,Confortable,Oui,Non,Pas eu l'occasion ni l'utilité pour le moment,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par mois,"Autobus, Métro",3,25 à 34 ans,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,1h,Jamais,Famille avec enfant (1 ou 2 parents),
49,2018-10-24,Par courriel,Oui,Oui,5,5,J'adopte rapidement les technologies et j'influence les autres,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville, Navette dans des endroits très achalandés, Utilisation pour le dernier ki","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation dans la ville, Transport collectif plus durable",,Oui,Oui,Très confortable,Très confortable,Très confortable,Oui,Oui,,5,5,Oui,3,3,Oui,4,4,4,4,4,5,4,Oui,Tous les jours,Oui,Oui,Quelques fois par année,"Métro, Bixi",4,35 - 50 ans,Homme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,30 minutes,Une fois par semaine,Famille avec enfant (1 ou 2 parents),
50,2018-10-25,Par courriel,Oui,Non,3,1,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville","Ne pas avoir à me stationner (la navette vous dépose et repart), Aide au transport de personnes qui ne conduisent pas","Sécurité des passants, Collecte de données personnelles, Cybersécurité, Absence physique de conducteur, Fiabilité des technologies",Pas convaincu,Peut-être,Inconfortable,Très inconfortable,Neutre,Oui,Non,Le déplacement est trop restreint et le temps de déplacement est trop long vs marcher.,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,"Autobus, Métro",2,51 - 65,Homme,Baccalauréat,Non,Employé à temps plein,1 heure,Quelques fois par mois,Famille avec enfant (1 ou 2 parents),
51,2018-10-25,Par courriel,Oui,Non,5,5,J'adopte rapidement les technologies et j'influence les autres,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, En remplacement de la voiture individuelle, Utilisation pour le dernier kilomètre entre la maison et le travail","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)","Sécurité des passants, Fiabilité des technologies",Oui,Oui,Très inconfortable,Très inconfortable,Très inconfortable,Oui,Non,"Je ne connais pas l'heure de départ lorsque j'en voit une qui est en attente. Donc, je continue mon chemin a pied.",,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,"Autobus, Métro",4,35 - 50 ans,Homme,Diplôme d'études collégiales,Non,Employé à temps plein,2h,Jamais,Personne seule ou en couple,
52,2018-10-25,Par courriel,Oui,Oui,4,4,J'adopte rapidement les technologies et j'influence les autres,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train",Transport collectif plus durable,Sécurité des passants,Pas convaincu,Non,Neutre,,Neutre,Oui,Oui,,4,4,Oui,3,3,Non,4,4,3,4,4,5,5,Non,,Je ne conduis pas,Oui,Tous les jours,Autobus,2,25 à 34 ans,Femme,Baccalauréat,Non,Employé à temps plein,1h,Quelques fois par semaine,Personne seule ou en couple,
53,2018-10-25,Par courriel,Oui,Non,4,4,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville, Navette dans des endroits très achalandés","Ne pas avoir à me stationner (la navette vous dépose et repart), Augmente la sécurité routière, Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pa","Cybersécurité, Fiabilité des technologies",Oui,Oui,Confortable,Confortable,Confortable,Oui,Non,Je n'ai pas eu l'occasion de le faire.,,,,,,,,,,,,,,Oui,Quelques fois par semaine,Oui,Oui,Tous les jours,"Métro, Trains de banlieue, Bixi",3,35 - 50 ans,Homme,Baccalauréat,Non,Employé à temps plein,"Au moins 2 heures (trains, metro et marche)",Jamais,Famille avec enfant (1 ou 2 parents),
54,2018-10-25,Par courriel,Oui,Non,4,4,J'adopte rapidement les technologies et j'influence les autres,"À la sortie des stations de transport en commun du métro et du train, Service spécial au centre-ville, Navette dans des endroits très achalandés","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)",Sécurité des passants,Oui,Oui,Confortable,Confortable,Confortable,Oui,Non,,,,,,,,,,,,,,,Oui,Quelques fois par semaine,Non,Oui,Tous les jours,"Autobus, Métro, Bixi",4,35 - 50 ans,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,,Jamais,Famille avec enfant (1 ou 2 parents),
55,2018-10-25,Par courriel,Oui,Oui,5,4,J'adopte rapidement les technologies et j'influence les autres,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), En remplacement de la voiture individuelle, Service spécial au centre-ville, Navette dans des endroits trè","Ne pas avoir à me stationner (la navette vous dépose et repart), Augmente la sécurité routière, Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pa",Absence physique de conducteur,Oui,Oui,Très confortable,Très confortable,Très confortable,Oui,Oui,,5,5,Oui,2,5,Oui,5,5,3,5,4,5,3,Oui,Tous les jours,Non,Non,Quelques fois par année,"Autobus, Métro",3,35 - 50 ans,Femme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,3hrs,Une fois par semaine,Famille avec enfant (1 ou 2 parents),
56,2018-10-25,Par courriel,Oui,Non,4,4,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), En remplacement de la voiture individuelle","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation","Cybersécurité, Fiabilité des technologies",Oui,Oui,Confortable,Confortable,Très confortable,Oui,Non,"Période de fonctionnement, trajet.",,,,,,,,,,,,,,Oui,Quelques fois par semaine,Oui,Oui,Tous les jours,"Autobus, Métro",3,25 à 34 ans,Femme,Baccalauréat,Non,Employé à temps plein,2 h,Quelques fois par mois,Personne seule ou en couple,
57,2018-10-25,Par courriel,Non,Non,3,4,J'adopte rapidement les technologies et j'influence les autres,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas",Absence physique de conducteur,Pas convaincu,Peut-être,Neutre,Neutre,Très inconfortable,Non,Non,,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par année,"Autobus, Métro",2,35 - 50 ans,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,1 heure,Jamais,Personne seule ou en couple,
58,2018-10-25,Par courriel,Non,Non,3,3,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"À la sortie des stations de transport en commun du métro et du train, En remplacement de la voiture individuelle, Service spécial au centre-ville, Navette dans des endroits très achalandés","Ne pas avoir à me stationner (la navette vous dépose et repart), Aide au transport de personnes qui ne conduisent pas, Transport collectif plus durable","Sécurité des passants, Collecte de données personnelles, Absence physique de conducteur, Fiabilité des technologies",Oui,Oui,Neutre,Neutre,Neutre,Non,Non,je l'ignorais,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par semaine,"Autobus, Métro, Bixi",2,25 à 34 ans,Femme,Baccalauréat,Non,Employé à temps plein,20 min,Moins d'une fois par mois,Personne seule ou en couple,
59,2018-10-25,Par courriel,Non,Non,3,3,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Navette dans des endroits très achalandés","Ne pas avoir à me stationner (la navette vous dépose et repart), Aide au transport de personnes qui ne conduisent pas","Sécurité des passants, Collecte de données personnelles, Cybersécurité, Fiabilité des technologies",Non,Non,Confortable,Inconfortable,Très inconfortable,Oui,Non,"Pas eu l'occasion et manque d'Information, la navette va où?",,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,Métro,3,35 - 50 ans,Homme,Baccalauréat,Non,Employé à temps plein,+- 1 heure,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
60,2018-10-25,Par courriel,Oui,Non,3,,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), En remplacement de la voiture individuelle","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, pas d'émission de gaz à effet de serre",,Oui,Oui,Neutre,Confortable,Confortable,Oui,Non,l'occasion ne s'est pas présenté,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,,"Autobus, Métro, j'uitlise le transport en commun quelques mois par année et ce récemment mais depuis les 31 dernières années de travail au stade olympique j'utilisais que le transport en commun",3,51 - 65,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,environ 100 minutes,Jamais,Personne seule ou en couple,
61,2018-10-25,Par courriel,Oui,Non,3,3,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,Transport de personnes à mobilité réduite,Aide au transport de personnes qui ne conduisent pas,comment ça fonctionne??,Pas convaincu,Peut-être,Inconfortable,Très inconfortable,Très inconfortable,Oui,Non,On l'essaie comment? On va où? Comment ça fonctionne???,,,,,,,,,,,,,,Oui,Quelques fois par mois,Oui,Oui,Quelques fois par semaine,"Autobus, Métro, Communauto, Car2Go",4,35 - 50 ans,Femme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,30 minutes,Quelques fois par semaine,Famille avec enfant (1 ou 2 parents),
62,2018-10-25,Par courriel,Non,Non,1,1,J'adopte les technologies lorsque nécessaire,N/A je ne sais meme pas de quoi il s'agit,N/A je ne sais meme pas de quoi il s'agit,N/A je ne sais meme pas de quoi il s'agit,Je n'y ai jamais pensé,Peut-être,Neutre,Neutre,Neutre,Non,Non,je ne sais meme pas de quoi il s'agit je l'apprend aujourd'hui,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par année,Métro,3,51 - 65,Homme,Baccalauréat,Non,Employé à temps plein, 2 a 3 hrs,Quelques fois par mois,Famille avec enfant (1 ou 2 parents),
63,2018-10-25,Par courriel,Oui,Non,3,3,J'adopte rapidement les technologies et j'influence les autres,Transport de personnes à mobilité réduite,"Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas","Sécurité des passants, Fiabilité des technologies",Pas convaincu,Peut-être,Inconfortable,Inconfortable,Très inconfortable,Oui,Non,Parce que cela prends le même temps à pied pour le même trajet à parcourir,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par mois,"Autobus, Métro",4,25 à 34 ans,Femme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,15,Moins d'une fois par mois,Personne seule ou en couple,
64,2018-10-25,Par courriel,Oui,Non,,4,J'adopte les technologies lorsque nécessaire,En remplacement de la voiture individuelle,Meilleur flot de circulation dans la ville,Cybersécurité,Oui,Oui,Confortable,Confortable,Confortable,Oui,Non,"Pas de temps, pause du midi trop courte pour faire un essai",,,,,,,,,,,,,,Non,,Je n'ai pas d'opinion,Oui,Quelques fois par mois,Métro,4,51 - 65,Homme,Baccalauréat,Non,Employé à temps plein,45 minutes,Jamais,Personne seule ou en couple,
65,2018-10-25,Par courriel,Oui,Non,4,4,J'adopte rapidement les technologies et j'influence les autres,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville","Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation dans la ville","Sécurité des passants, Collecte de données personnelles",Pas convaincu,Peut-être,Neutre,Neutre,Neutre,Oui,Non,Je marche sans problème,,,,,,,,,,,,,,Non,,Oui,Oui,Quelques fois par semaine,"Autobus, Métro",4,51 - 65,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,1h à 2h,Moins d'une fois par mois,Personne seule ou en couple,
66,2018-10-25,Par courriel,Non,Non,,4,J'adopte les technologies lorsque nécessaire,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Ne pas avoir à me stationner (la navette vous dépose et repart), Augmente la sécurité routière, Meilleur flot de circulation dans la ville, Transport collectif plus durable","Collecte de données personnelles, Cybersécurité, Fiabilité des technologies",Oui,Oui,Très confortable,Inconfortable,Très confortable,Non,Non,,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par année,"Autobus, Métro",2,35 - 50 ans,Femme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,1h45,Une fois par semaine,Famille avec enfant (1 ou 2 parents),
67,2018-10-25,Par courriel,Non,Non,3,3,J'adopte rapidement les technologies et j'influence les autres,À la sortie des stations de transport en commun du métro et du train,"Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)","Absence physique de conducteur, Fiabilité des technologies",Je n'y ai jamais pensé,Peut-être,Confortable,Neutre,Neutre,Oui,Non,Je ne sais pas de quelle façon avoir accès à l'essai de cette navette.,,,,,,,,,,,,,,Oui,Quelques fois par semaine,Oui,Oui,Quelques fois par semaine,Métro,2,25 à 34 ans,Homme,Baccalauréat,Non,Employé à temps plein,2h,Jamais,Personne seule ou en couple,
68,2018-10-25,Par courriel,Oui,Non,5,5,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville, Navette dans des endroits très","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation","Sécurité des passants, Cybersécurité, Fiabilité des technologies",Oui,Oui,Confortable,Confortable,Confortable,Oui,Non,Elle ne passe pas sur mon trajet.,,,,,,,,,,,,,,Non,,Non,Oui,Tous les jours,"Autobus, Métro, Bixi",3,16 ans à 24 ans,Femme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,1h,Jamais,Personne seule ou en couple,
69,2018-10-25,Par courriel,Oui,Non,1,2,J'adopte les technologies lorsque nécessaire,"Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas","Sécurité des passants, Absence physique de conducteur, Fiabilité des technologies",Pas convaincu,Peut-être,Très inconfortable,Très inconfortable,Inconfortable,Oui,Non,pas eu le temps,,,,,,,,,,,,,,Oui,Quelques fois par semaine,Non,Oui,Tous les jours,"Autobus, Métro",4,51 - 65,Femme,Baccalauréat,Non,Employé à temps plein,1h30,Jamais,Personne seule ou en couple,
70,2018-10-25,Par courriel,Non,Non,,,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Ne pas avoir à me stationner (la navette vous dépose et repart), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation dans la ville, Transport collectif plus durable","Sécurité des passants, Absence physique de conducteur, Fiabilité des technologies",Je n'y ai jamais pensé,Peut-être,Neutre,Neutre,Confortable,Non,Non,Je n'étais pas au courant de son existance,,,,,,,,,,,,,,Oui,Quelques fois par semaine,Oui,Non,Quelques fois par année,"Autobus, Métro",3,25 à 34 ans,Homme,Baccalauréat,Non,Employé à temps plein,30 min.,Quelques fois par semaine,Personne seule ou en couple,
71,2018-10-25,Par courriel,Non,Non,3,3,J'adopte les technologies lorsque nécessaire,À la sortie des stations de transport en commun du métro et du train,"Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas","Sécurité des passants, Collecte de données personnelles, Absence physique de conducteur, Fiabilité des technologies",Je n'y ai jamais pensé,Peut-être,Neutre,Inconfortable,Inconfortable,Non,Non,,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Oui,Quelques fois par semaine,"Autobus, Métro",3,25 à 34 ans,Femme,Diplôme d'études collégiales,Oui,Employé à temps plein,minimum 2h30,Quelques fois par mois,Famille avec enfant (1 ou 2 parents),
72,2018-10-25,Par courriel,Oui,Non,3,3,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,,"Ne pas avoir à me stationner (la navette vous dépose et repart), Transport collectif plus durable","Collecte de données personnelles, Cybersécurité",Pas convaincu,Peut-être,Neutre,Inconfortable,Neutre,Oui,Non,,,,,,,,,,,,,,,Oui,Tous les jours,Non,Oui,Quelques fois par année,"Autobus, Métro",3,35 - 50 ans,Femme,Baccalauréat,Non,Employé à temps plein,moins de 30 minutes,Quelques fois par semaine,Personne seule ou en couple,
