NUMEROTATION,NO_REGION,NO_ETAB_CIUSSS,NO_ETAB_MSSS,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
89,"06","12599213",51223287,"HOPITAL NEUROLOGIQUE DE MONTREAL",2090,430,0,2520,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
90,"06","12599213",51223295,"HOPITAL ROYAL VICTORIA",16503,3491,11,20005,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
91,"06","12599213",51228310,"HOPITAL DE LACHINE",938,5308,0,6246,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
92,"06","12599213",,"Total     12599213 CENTRE UNIVERSITAIRE DE SANTE MCGILL",32600,21472,13,54085,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
93,"06","51222800",51222800,"CHU SAINTE-JUSTINE",17384,6277,0,23661,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
94,"06","51222800",,"Total     51222800 CHU SAINTE-JUSTINE",17384,6277,0,23661,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
95,"06","51235703",51235703,"HOPITAL SHRINERS POUR ENFANTS (QUEBEC)",551,809,0,1360,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
96,"06","51235703",,"Total     51235703 HOPITAL SHRINERS POUR ENFANTS (QUEBEC)",551,809,0,1360,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
97,"06","51248045",12452645,"HOPITAL MARIE CLARAC",1081,0,0,1081,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
98,"06","51248045",,"Total     51248045 HOPITAL MARIE CLARAC",1081,0,0,1081,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
99,"06","51248128",29732187,"VILLA MEDICA",907,0,0,907,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
100,"06","51248128",,"Total     51248128 VILLA MEDICA",907,0,0,907,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
101,"06","51248201",12431656,"INSTITUT DE CARDIOLOGIE DE MONTREAL",8322,32,0,8354,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
102,"06","51248201",,"Total     51248201 INSTITUT DE CARDIOLOGIE DE MONTREAL",8322,32,0,8354,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
103,"06","51248227",12797577,"INSTITUT NATIONAL PSYCH. LEGALE PHILIPPE-PINEL",394,0,0,394,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
104,"06","51248227",,"Total     51248227 INSTITUT NATIONAL PSYCH. LEGALE PHILIPPE-PINEL",394,0,0,394,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
105,"06","",,"TOTAL 06 Montréal",227956,107377,82,335415,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
106,"07","11045218",51219459,"HOPITAL ET CHSLD DU PONTIAC",1033,347,0,1380,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
107,"07","11045218",51221703,"HOPITAL DE GATINEAU",10778,10283,0,21061,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
108,"07","11045218",51221711,"HOPITAL DE HULL",5614,2725,0,8339,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
109,"07","11045218",51221893,"HOPITAL DE MANIWAKI",1283,389,0,1672,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
110,"07","11045218",51228799,"HOPITAL ET CHSLD DE WAKEFIELD/WAKEFIELD MEM. HOSPITAL",415,0,0,415,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
111,"07","11045218",51228823,"HOPITAL ET CHSLD DE PAPINEAU",1332,1658,0,2990,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
112,"07","11045218",51233989,"HOPITAL EN SANTE MENTALE PIERRE-JANET",714,0,0,714,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
113,"07","11045218",,"Total     11045218 CISSS DE L'OUTAOUAIS",21169,15402,0,36571,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
114,"07","",,"TOTAL 07 Outaouais",21169,15402,0,36571,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
115,"08","11045226",51218840,"CENTRE MULTI SSS DE VILLE-MARIE",1108,104,0,1212,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
116,"08","11045226",51219640,"CENTRE MULTI SSS DE SENNETERRE",146,0,0,146,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
117,"08","11045226",51221083,"CENTRE MULTI SSS DE LA SARRE",1602,915,0,2517,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
118,"08","11045226",51225589,"HOPITAL ET CRD DE VAL-D'OR",3876,1836,0,5712,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
119,"08","11045226",51225597,"HOPITAL PSYCHIATRIQUE DE MALARTIC",212,0,0,212,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
120,"08","11045226",51228906,"HOPITAL D'AMOS",3793,2324,0,6117,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
121,"08","11045226",51228922,"HOPITAL DE ROUYN-NORANDA",4266,2325,0,6591,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
122,"08","11045226",51233609,"CSSS DE TEMISCAMING-ET-DE-KIPAWA",129,0,0,129,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
123,"08","11045226",,"Total     11045226 CISSS DE L'ABITIBI-TEMISCAMINGUE",15132,7504,0,22636,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
124,"08","",,"TOTAL 08 Abitibi-Témiscamingue",15132,7504,0,22636,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
125,"09","11045234",51218733,"CENTRE MULTI. SSS DES ESCOUMINS",411,0,0,411,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
126,"09","11045234",51228765,"CLSC ET HOPITAL LE ROYER",3096,1856,0,4952,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
127,"09","11045234",51232023,"HOPITAL ET CLSC DE SEPT-ILES",3937,2377,0,6314,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
128,"09","11045234",51245108,"CENTRE MULTI. SSS DE FERMONT",457,0,0,457,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
129,"09","11045234",51245116,"CENTRE MULTI. SSS DE LA MINGANIE",492,0,0,492,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
130,"09","11045234",51245140,"CENTRE MULTI. SSS DE LA BASSE-COTE-NORD",399,3,0,402,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
131,"09","11045234",,"Total     11045234 CISSS DE LA COTE-NORD",8792,4236,0,13028,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
132,"09","",,"TOTAL 09 Côte-Nord",8792,4236,0,13028,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
133,"10","11042686",51218501,"CENTRE DE SANTE DE CHIBOUGAMAU",1207,398,0,1605,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
134,"10","11042686",51218527,"CENTRE DE SANTE LEBEL",125,0,0,125,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
135,"10","11042686",51218535,"CENTRE DE SANTE ISLE-DIEU",118,0,0,118,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
136,"10","11042686",,"Total     11042686 CENTRE REG. DE SANTE ET DE SERV. SOC. DE LA BAIE-JA",1450,398,0,1848,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
137,"10","",,"TOTAL 10 Nord-du-Québec",1450,398,0,1848,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
138,"11","11044088",51227783,"HOPITAL DE L'ARCHIPEL",1404,625,0,2029,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
139,"11","11044088",,"Total     11044088 CISSS DES ILES",1404,625,0,2029,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
140,"11","11045242",51220895,"CENTRE D'HEBERGEMENT ET DE READAPTATION MGR-ROSS",87,0,0,87,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
141,"11","11045242",51220903,"HOPITAL DE GASPE",1867,1444,0,3311,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
142,"11","11045242",51221539,"HOPITAL DE SAINTE-ANNE-DES-MONTS",1023,76,0,1099,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
143,"11","11045242",51227775,"HOPITAL DE CHANDLER",2033,484,0,2517,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
144,"11","11045242",51227908,"HOPITAL ET GMF-U DE MARIA",3067,1547,0,4614,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
145,"11","11045242",,"Total     11045242 CISSS DE LA GASPESIE",8077,3551,0,11628,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
146,"11","",,"TOTAL 11 Gaspésie-Îles-de-la-Madeleine",9481,4176,0,13657,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
147,"12","11045333",51227569,"HOTEL-DIEU DE LEVIS",15573,3383,0,18956,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
148,"12","11045333",51228971,"HOPITAL DE SAINT-GEORGES",8168,3042,0,11210,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
149,"12","11045333",51245199,"CENTRE MULTI. SSS PAUL-GILBERT",0,6401,0,6401,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
150,"12","11045333",51245223,"HOPITAL ET CRDP DE MONTMAGNY",3512,3148,0,6660,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
151,"12","11045333",51245231,"HOPITAL ET CRDP DE THETFORD MINES",4321,2942,0,7263,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
152,"12","11045333",,"Total     11045333 CISSS DE CHAUDIERE-APPALACHES",31574,18916,0,50490,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
153,"12","",,"TOTAL 12 Chaudière-Appalaches",31574,18916,0,50490,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
154,"13","11045267",11097029,"HOPITAL JUIF DE READAPTATION",1129,0,0,1129,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
155,"13","11045267",51228757,"HOPITAL DE LA CITE-DE-LA-SANTE",28663,11102,0,39765,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
156,"13","11045267",,"Total     11045267 CISSS DE LAVAL",29792,11102,0,40894,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
157,"13","",,"TOTAL 13 Laval",29792,11102,0,40894,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
158,"14","11045275",51228062,"HOPITAL PIERRE-LE GARDEUR",21801,6611,0,28412,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
159,"14","11045275",51244945,"HOPITAL LANAUDIERE ET CHSLD PARPHILIA-FERLAND",16352,6734,0,23086,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
160,"14","11045275",,"Total     11045275 CISSS DE LANAUDIERE",38153,13345,0,51498,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
161,"14","",,"TOTAL 14 Lanaudière",38153,13345,0,51498,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
162,"15","11045283",51217610,"HOPITAL DE MONT-LAURIER",2052,2719,0,4771,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
163,"15","11045283",51217628,"CENTRE DE SERVICES DE RIVIERE-ROUGE",728,1,0,729,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
164,"15","11045283",51228864,"HOPITAL DE SAINT-EUSTACHE",14756,5311,0,20067,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
165,"15","11045283",51228880,"HOPITAL REGIONAL DE SAINT-JEROME",19322,8608,0,27930,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
166,"15","11045283",51245306,"CENTRE MULTI. SSS D'ARGENTEUIL",1096,1838,0,2934,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
167,"15","11045283",51246874,"CENTRE MULTI. SSS DE SAINTE-AGATHE",5767,2358,0,8125,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
168,"15","11045283",,"Total     11045283 CISSS DES LAURENTIDES",43721,20835,0,64556,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
169,"15","",,"TOTAL 15 Laurentides",43721,20835,0,64556,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
170,"16","11045291",51229045,"HOPITAL DU HAUT-RICHELIEU",14776,9272,0,24048,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
171,"16","11045291",51233799,"HOPITAL CHARLES LEMOYNE",21376,8050,0,29426,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
172,"16","11045291",,"Total     11045291 CISSS DE LA MONTEREGIE-CENTRE",36152,17322,0,53474,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
173,"16","11045309",51229011,"HOPITAL PIERRE-BOUCHER",18202,9198,0,27400,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
174,"16","11045309",51229102,"HOTEL-DIEU DE SOREL",5362,3288,0,8650,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
175,"16","11045309",51229193,"HOPITAL HONORE-MERCIER",11929,5702,0,17631,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
176,"16","11045309",51233948,"CENTRE HEBERG. DU MANOIR TRINITE (SOINS PALLIATIFS)",118,0,0,118,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
177,"16","11045309",54583356,"CENTRE D'HEBERGEMENT DE L'HOTEL-DIEU-DE-ST-HYACINTHE",438,0,0,438,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
178,"16","11045309",,"Total     11045309 CISSS DE LA MONTEREGIE-EST",36049,18188,0,54237,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
