TITRE_ORIGINAL,TITRE_FRANCAIS,TITRE_ANGLAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNEE_PRODUCTION,GENRE,SOURCE,AUTEUR_1,AUTEUR_2,AUTEUR_3,AUTEUR_4,UUID_MEDIAFILM,UUID_IMDB,UUID_WIKIDATA 
"Devoir de franÃ§ais, Le","Devoir de franÃ§ais, Le",,FR,,,,,,1978,Drame psychologique,Roman,Denis Lalanne,,,,mf-tt-2659497613,,
"Diable au corps, Le","Diable au corps, Le",,FR,,,,,,1947,Drame sentimental,Roman,Raymond Radiguet,,,,mf-tt-7996465827,tt0038476,Q85323337
"Diable au corps, Le","Diable au corps, Le",,FR,,,,,,1992,Drame de moeurs,Roman,Raymond Radiguet,,,,mf-tt-0810892582,,
"Diable en ville, Le","Diable en ville, Le",,FR,,,,,,1989,Drame policier,Oeuvre,Dominique Roulet,,,,mf-tt-7427856226,,Q508841
Diabolique,Diabolique,,FR,,,,,,2015,Drame,Livre,Lionel Duroy,Jean Marchand,Ghislaine de VÃ©drines,,mf-tt-3418338744,,
Diabolique,Diabolique,Diabolique,US,,,,,,1996,Drame policier,Roman,Boileau-Narcejac,Henri-Georges Clouzot,,,mf-tt-1385499178,tt0116095,Q24905287
"Diaboliques, Les","Diaboliques, Les",,FR,,,,,,1955,Thriller,Roman,Boileau-Narcejac,,,,mf-tt-4319059037,tt0046911,
Dial M For Murder,"Crime Ã©tait presque parfait, Le",Dial M For Murder,US,,,,,,1954,Thriller,PiÃ¨ce,Frederick Knott,,,,mf-tt-9260660377,tt0046912,Q550205
Dial M for Murder,,Dial M for Murder,US,,,,,,1981,Drame policier,PiÃ¨ce,Frederick Knott,,,,mf-tt-8508245420,tt0082265,Q508498
Dialogue avec mon jardinier,Dialogue avec mon jardinier,Conversations With My Gardener,FR,,,,,,2007,ComÃ©die dramatique,Roman,Henri Cueco,,,,mf-tt-7319341282,tt0825244,
"Dialogue des CarmÃ©lites, Le","Dialogue des CarmÃ©lites, Le",,FR,,,,,,1960,Drame religieux,PiÃ¨ce,Georges Bernanos,,,,mf-tt-0978867471,tt0052737,Q865987
Dialogues des CarmÃ©lites,Dialogues des CarmÃ©lites,,FR,,,,,,1983,Drame religieux,PiÃ¨ce,Georges Bernanos,,,,mf-tt-1132037142,,
Dialogues pour un homme seul,Dialogues pour un homme seul,,CA,QC,,,,,2021,Film d'essai,PiÃ¨ce,Edgar Bori,Michel Garneau,,,mf-tt-0881354038,,Q3227265
Diamant 13,Diamant 13,Diamond 13,FR,BE,LU,,,,2008,Drame policier,Roman,Hughes Pagan,,,,mf-tt-5490465391,tt1172230,
Diamant noir,Diamant noir,,FR,,,,,,1941,Drame,Roman,Jean Aicard,,,,mf-tt-0866993687,,Q645456
Diamond Hunters,Chasseurs de diamants,Diamond Hunters,US,ZA,IT,DE,,,2001,MÃ©lodrame,Roman,Wilbur Smith,,,,mf-tt-9472530807,,Q978520
Diamonds Are Forever,"Diamants sont Ã©ternels, Les",Diamonds Are Forever,GB,,,,,,1971,Drame d'espionnage,Roman,Ian Fleming,,,,mf-tt-5344490143,tt0066995,Q4660133
Diana,Diana,Diana,GB,,,,,,2013,Drame historique,Livre,Kate Snell,,,,mf-tt-2204754344,tt1758595,Q7993164
Diana: Her True Story,"Diana, sa vraie histoire",Diana: Her True Story,US,,,,,,1993,Drame biographique,Livre,Andrew Morton,,,,mf-tt-3764436751,,Q1305472
Diane Lanster,Diane Lanster,,FR,,,,,,1983,Drame psychologique,Roman,Jean-Didier Wolfromm,,,,mf-tt-8923028670,tt0460772,Q645770
Diary of a Chambermaid,"Journal d'une femme de chambre, Le",Diary of a Chambermaid,US,,,,,,1946,Drame de moeurs,Roman,Octave Mirbeau,,,,mf-tt-5045842935,tt0038477,Q3284747
"Diary of a Teenage Girl, The","Journal intime d'une ado, Le","Diary of a Teenage Girl, The",US,,,,,,2015,Drame,Roman,Phoebe Gloeckner,,,,mf-tt-5904880001,tt3172532,Q998396
Diary of a Wimpy Kid,"Journal d'un dÃ©gonflÃ©, Le",Diary of a Wimpy Kid,US,,,,,,2021,Film d'animation,Livre,Jeff Kinney,,,,mf-tt-9537830624,,
Diary of a Wimpy Kid,Journal d'un dÃ©gonflÃ©,Diary of a Wimpy Kid,US,,,,,,2009,ComÃ©die,Oeuvre,Jeff Kinney,,,,mf-tt-9048512476,tt1196141,Q45384
Diary of a Wimpy Kid - Rodrick Rules,Journal d'un dÃ©gonflÃ© - Rodrick fait sa loi,Diary of a Wimpy Kid - Rodrick Rules,US,,,,,,2011,ComÃ©die,Oeuvre,Jeff Kinney,,,,mf-tt-1689156549,tt1650043,
Diary of a Wimpy Kid - The Long Haul,"Journal d'un dÃ©gonflÃ© - Un long voyage, Le",Diary of a Wimpy Kid - The Long Haul,US,,,,,,2017,ComÃ©die,Livre,Jeff Kinney,,,,mf-tt-8786764642,tt6003368,Q3333054
Diary of a Wimpy Kid: Dog Days,Journal d'un dÃ©gonflÃ©: Ãa fait suer!,Diary of a Wimpy Kid: Dog Days,US,,,,,,2012,ComÃ©die,Livre,Jeff Kinney,,,,mf-tt-5014295144,tt2023453,Q1198381
"Diary of Anne Frank, The","Journal d'Anne Frank, Le","Diary of Anne Frank, The",GB,,,,,,2008,Docufiction,Livre,Anne Frank,,,,mf-tt-7875573292,,Q561162
Diavolo in corpo,"Diable au corps, Le","Devil in the Flesh, The",IT,FR,,,,,1986,Drame de moeurs,Roman,Raymond Radiguet,,,,mf-tt-9635643712,tt0090944,Q212675
Dick Francis: Blood Sport,,Dick Francis: Blood Sport,IE,,,,,,1989,Drame policier,Roman,Dick Francis,,,,mf-tt-8277472934,,Q3793785
Die Bande des Schreckens,Scotland Yard contre le masque,"Terrible People, The",DE,,,,,,1960,Drame policier,Roman,Edgar Wallace,,,,mf-tt-0850051837,tt0053630,
Die bitteren TrÃ¤nen der Petra von Kant,"Larmes amÃ¨res de Petra von Kant, Les","Bitter Tears of Petra von Kant, The",DE,,,,,,1972,Drame psychologique,PiÃ¨ce,Rainer Werner Fassbinder,,,,mf-tt-3276229505,tt0068278,
Die Blechtrommel,"Tambour, Le","Tin Drum, The",DE,FR,YU,PL,,,1979,Chronique,Roman,GÃ¼nter Grass,,,,mf-tt-0595803814,tt0078875,
Die BrÃ¼cke,"Pont, Le","Bridge, The",DE,,,,,,1959,Drame de guerre,Roman,Manfred Gregor,,,,mf-tt-3427146263,tt0052654,Q50404285
Die BrÃ¼cke,"Pont des sacrifiÃ©s, Le",,DE,,,,,,2008,Drame de guerre,Roman,Manfred Gregor,,,,mf-tt-0468081750,,Q2127904
Die BÃ¼chse der Pandora,Loulou,Pandora's Box,DE,,,,,,1928,Drame de moeurs,PiÃ¨ce,Frank Wedekind,,,,mf-tt-9846897670,tt0018737,
Die Drei ??? - Das Verfluchte Schloss,"Trois jeunes dÃ©tectives: Le Manoir de la terreur, Les","Three Investigators and the Secret of Terror Castle, The",DE,,,,,,2009,Drame policier,Roman,Robert Arthur,,,,mf-tt-1356947146,,
"Die Frau, nach der Man sich sehnt","Femme que l'on dÃ©sire, La",Three Loves,DE,,,,,,1929,MÃ©lodrame,Roman,Max Brod,,,,mf-tt-3832912033,,Q470735
Die Geierwally,"Fille au vautour, La",,DE,,,,,,1940,Drame,Roman,Wilhelmine von Hillern,,,,mf-tt-3759726801,tt0032515,
Die Hard,PiÃ¨ge de cristal,Die Hard,US,,,,,,1988,Thriller,Roman,Roderick Thorp,,,,mf-tt-3383334564,tt0095016,Q494367
Die Heimkehr,Retour au pays,,DE,,,,,,2012,Drame,Roman,Hermann Hesse,,,,mf-tt-7034700775,tt2358993,Q3408607
Die Hochzeit auf dem Lande,"Mariage Ã  la campagne, Un","Perfect Wedding, A",DE,,,,,,2001,Drame sentimental,Roman,Utta Danella,,,,mf-tt-4814284409,,Q3554609
Die Konsequenz,"ConsÃ©quence, La","Consequence, The",DE,,,,,,1977,Drame psychologique,Roman,Alexander Ziegler,,,,mf-tt-6145565296,tt0076280,Q617997
Die Marquise von O...,"Marquise d'O..., La","Marquise of O, The",DE,FR,,,,,1976,Drame de moeurs,Roman,Heinrich von Kleist,,,,mf-tt-4376122090,tt0074870,Q3282889
Die Nackte Bovary,Madame Bovary,,DE,IT,,,,,1969,Drame sentimental,Roman,Gustave Flaubert,,,,mf-tt-4302362215,tt0064713,Q1812591
Die Ruiter in die Nag,,"Rider in the Night, The",ZA,,,,,,1967,Aventures,Roman,Mikro,,,,mf-tt-3807120338,,Q19609011
Die Tigerin,"Tigresse, La","Tigress, The",DE,,,,,,1992,Drame de moeurs,Roman,Walter Serner,,,,mf-tt-0451947687,tt0105593,Q243983
Die Todeskuss des Dr. Fu Manchu,"Sang de Fu Manchu, Le",Kiss and Kill,DE,,,,,,1968,Aventures,Oeuvre,Sax Rohmer,,,,mf-tt-4717486884,,Q3226510
Die Unvollkommene Liebe,Christine,,DE,,,,,,1940,Drame sentimental,Roman,Heinrich Heining,,,,mf-tt-1451103421,tt0232876,Q839294
Die Welle,"Vague, La","Wave, The",DE,,,,,,2008,Drame,Roman,William Ron Jones,Ron Birnbach,Johnny Dawkins,,mf-tt-7377411657,tt1063669,
Die wilden HÃ¼hner und die Liebe,Charlotte et sa bande 2 - PremiÃ¨res amours,,DE,,,,,,2007,ComÃ©die dramatique,Roman,Cornelia Funke,,,,mf-tt-4166813151,tt0844463,Q609236
Die! Die! My Darling,,Die! Die! My Darling,GB,,,,,,1965,Drame d'horreur,Roman,Anne Blaisdell,,,,mf-tt-6982442605,,Q2443227
Dieppe,Dieppe,Dieppe,CA,,,,,,1993,Drame historique,Roman,Brian Villa,,,,mf-tt-6463814636,tt0106720,Q485836
Dieu a besoin des hommes,Dieu a besoin des hommes,,FR,,,,,,1950,Drame religieux,Roman,Henri QueffÃ©lec,,,,mf-tt-0956495465,tt0042401,Q16386237
"Dig, The",,"Dig, The",GB,,,,,,2021,Drame biographique,Roman,John Preston,,,,mf-tt-3310567132,tt3661210,
"Dimanche Ã  Kigali, Un","Dimanche Ã  Kigali, Un","Sunday in Kigali, A",CA,QC,,,,,2006,Drame sentimental,Roman,Gil Courtemanche,,,,mf-tt-3900823965,tt0463385,Q13580958
"Dimanche Ã  la campagne, Un","Dimanche Ã  la campagne, Un","Sunday in the Country, A",FR,,,,,,1984,ComÃ©die dramatique,Roman,Pierre Bost,,,,mf-tt-8321742499,tt0088318,
"Dimanche de flics, Un","Dimanche de flics, Un",,FR,DE,,,,,1982,Drame policier,Roman,Andrew Coburn,,,,mf-tt-9633325958,,
"Dimanche de la vie, Le","Dimanche de la vie, Le",,FR,,,,,,1965,ComÃ©die,Roman,Raymond Queneau,,,,mf-tt-4819466169,,Q2704454
Dimenticare Palermo,Oublier Palerme,"Palermo Connection, The",IT,FR,,,,,1989,Drame de moeurs,Roman,Edmonde Charles-Roux,,,,mf-tt-2694526888,tt0099430,Q470375
Din til doden,Pour le meilleur et pour le pire,,NO,DK,,,,,2008,Drame policier,Roman,Gunnar Staalesen,,,,mf-tt-5674144678,tt1181935,
"DÃ®ner de cons, Le","DÃ®ner de cons, Le","Dinner Game, The",FR,,,,,,1998,ComÃ©die de moeurs,PiÃ¨ce,Francis Veber,,,,mf-tt-2820551109,tt0119038,Q1537166
Ding dingue dong,Ding dingue dong,,FR,,,,,,2018,ComÃ©die policiÃ¨re,Roman,Agatha Christie,,,,mf-tt-3069878187,,Q4677349
Dinner at Eight,Madame est servie,Dinner at Eight,US,,,,,,1933,ComÃ©die,PiÃ¨ce,George S. Kaufman,Edna Ferber,,,mf-tt-0011985914,tt0023948,Q1343120
Dinner for Schmucks,"DÃ®ner de cons, Le",Dinner for Schmucks,US,,,,,,2010,ComÃ©die,PiÃ¨ce,Francis Veber,,,,mf-tt-9588966827,tt0427152,
"Dinner, The",,"Dinner, The",US,,,,,,2017,Drame,Roman,Herman Koch,,,,mf-tt-4780498690,tt3203620,Q193695
Diplomatic Immunity,ImmunitÃ© diplomatique,Diplomatic Immunity,US,,,,,,1991,Drame policier,Roman,Theodore Taylor,,,,mf-tt-8247794151,tt0101735,
Diplomatie,Diplomatie,Diplomacy,FR,,,,,,2014,Drame historique,PiÃ¨ce,Cyril GÃ©ly,,,,mf-tt-4528219669,tt3129564,
Dirigible,"Dirigeable, Le",Dirigible,US,,,,,,1931,Aventures,Livre,Frank Wilber Wead,,,,mf-tt-4316950828,tt0021799,Q1754532
"Dirty Dozen, The",Douze Salopards,"Dirty Dozen, The",US,GB,,,,,1967,Drame de guerre,Roman,E.M. Nathanson,,,,mf-tt-7463245844,tt0061578,
Dis-moi qui tuer,Dis-moi qui tuer,Tell Me Whom to Kill,FR,,,,,,1966,ComÃ©die policiÃ¨re,Roman,Henri Lapierre,,,,mf-tt-2443908495,tt0059109,Q1760101
Disappearances,,Disappearances,US,,,,,,2006,Drame,Roman,Howard Frank Mosher,,,,mf-tt-4133466547,tt0465440,Q822946
"Disaster Artist, The","Artiste du dÃ©sastre, L'","Disaster Artist, The",US,,,,,,2017,Drame biographique,Livre,Tom Bissell,Greg Sestero,,,mf-tt-9396784789,tt3521126,Q5627325
Disclosure,HarcÃ¨lement,Disclosure,US,,,,,,1994,Thriller,Roman,Michael Crichton,,,,mf-tt-8770677668,tt0109635,Q41112701
"Discorde, La","Discorde, La",,FR,,,,,,1978,Drame psychologique,Roman,Jean-Louis Curtis,,,,mf-tt-2090119214,,Q744500
Disgrace,DisgrÃ¢ce,Disgrace,AU,ZA,,,,,2008,Drame,Roman,J.M. Coetzee,,,,mf-tt-3045730281,tt0445953,
Disobedience,DÃ©sobÃ©issance,Disobedience,GB,IE,US,,,,2018,Drame,Roman,Naomi Alderman,,,,mf-tt-4527243613,tt6108178,
"Disparus de Saint-Agil, Les","Disparus de Saint-Agil, Les",,FR,,,,,,1991,Drame,Roman,Pierre VÃ©ry,,,,mf-tt-1951287710,,Q15070775
"Disparus de Saint-Agil, Les","Disparus de Saint-Agil, Les",,FR,,,,,,1938,Drame policier,Roman,Pierre VÃ©ry,,,,mf-tt-1412824865,tt0030062,Q3400626
Distancia de Rescate,,Fever Dream,CL,ES,US,,,,2021,Drame d'horreur,Roman,Samanta Schweblin,,,,mf-tt-7093768510,tt9471660,Q1882322
Distant Drums,"Aventures du capitaine Wyatt, Les",Distant Drums,US,,,,,,1951,Western,Roman,Niven Busch,,,,mf-tt-4440171325,tt0043469,Q2621769
"Distractions, Les","Distractions, Les",Trapped by Fear,FR,IT,,,,,1960,Drame,Roman,Jean Bassan,,,,mf-tt-6723943869,tt0053769,Q1121597
Dites-le avec des fleurs,Dites-le avec des fleurs,,FR,ES,,,,,1973,Drame policier,Roman,Christian CharriÃ¨re,,,,mf-tt-8834900891,,
Dites-lui que je l'aime,Dites-lui que je l'aime,This Sweet Sickness,FR,,,,,,1977,Drame psychologique,Roman,Patricia Highsmith,,,,mf-tt-7415163208,tt0075946,Q3836469
Diva,Diva,,FR,,,,,,1980,Thriller,Roman,Daniel Odier,,,,mf-tt-0896647763,tt0082269,Q2687998
Divergent,Divergence,Divergent,US,,,,,,2014,Science-fiction,Roman,Veronica Roth,,,,mf-tt-8345045960,,Q473554
Divergent,Divergence,Divergent,US,,,,,,2014,Science-fiction,Roman,Veronica Roth,,,,mf-tt-1611681037,tt1840309,Q1057558
"Divergent Series - Allegiant, The",Divergence - AllÃ©geance,"Divergent Series - Allegiant, The",US,,,,,,2016,Science-fiction,Roman,Veronica Roth,,,,mf-tt-1945536377,tt3410834,
"Divergent Series - Insurgent, The",Divergence - InsurgÃ©s,"Divergent Series - Insurgent, The",US,,,,,,2015,Science-fiction,Roman,Veronica Roth,,,,mf-tt-3291339068,tt2908446,Q3515611
"Divine Poursuite, La","Divine Poursuite, La",,FR,,,,,,1997,ComÃ©die,Roman,Donald E. Westlake,,,,mf-tt-5415402238,tt0118992,Q1304755
"Diviners, The",,"Diviners, The",CA,,,,,,1992,Drame psychologique,Roman,Margaret Laurence,,,,mf-tt-0447532663,,
DjÃ¤vulens Ã¶ga,"Oeil du diable, L'","Devil's Eye, The",SE,,,,,,1960,ComÃ©die,PiÃ¨ce,Oluf Bang,,,,mf-tt-6177450052,tt0053772,Q157973
DjÃ¶flaeyjan,,Devil's Island,IS,,,,,,1999,ComÃ©die dramatique,Roman,Einar Karason,,,,mf-tt-9374177306,tt0116116,
Do Not Disturb,Do Not Disturb,,FR,,,,,,2012,ComÃ©die de moeurs,Oeuvre,Lynn Shelton,,,,mf-tt-0392871247,tt2193782,Q18202704
Dobutsu takarajima,"Joyeux Pirates de l'Ã®le au trÃ©sor, Les",Treasure Island,JP,,,,,,1971,Film d'animation,Roman,Robert Louis Stevenson,,,,mf-tt-1359444497,tt0067002,Q559310
Doc Hollywood,Doc Hollywood,Doc Hollywood,US,,,,,,1991,ComÃ©die,Livre,Neil B. Shulman,,,,mf-tt-5485971064,tt0101745,Q367610
"Docks of New York, The","DamnÃ©s de l'ocÃ©an, Les","Docks of New York, The",US,,,,,,1928,Drame,Oeuvre,John Monk Saunders,,,,mf-tt-1224577256,tt0018839,Q1469755
Docteur FranÃ§oise Gailland,Docteur FranÃ§oise Gailland,No Time for Breakfast,FR,,,,,,1975,Drame psychologique,Roman,NoÃ«lle Loriot,,,,mf-tt-1952252895,tt0072887,
"Docteur Knock, Le",Knock,,FR,,,,,,1951,ComÃ©die,PiÃ¨ce,Jules Romains,,,,mf-tt-5432144023,tt0042649,Q2870419
"Docteur noir, Le","Docteur noir, Le",,FR,,,,,,1975,Drame,PiÃ¨ce,Dumanoir,Auguste Anicet-Bourgeois,,,mf-tt-6643474394,tt1556181,Q2235625
Doctor Faustus,,Doctor Faustus,GB,,,,,,1967,Drame,PiÃ¨ce,Christopher Marlowe,,,,mf-tt-9261916729,tt0062898,Q19839849
Doctor Franken,"Yeux de la mort, Les",Doctor Franken,US,,,,,,1980,Science-fiction,Roman,Mary Shelley,,,,mf-tt-7497836506,tt0080639,Q2225929
Doctor No,James Bond 007 contre Dr. No,Doctor No,GB,,,,,,1962,Drame d'espionnage,Roman,Ian Fleming,,,,mf-tt-1811668697,tt0055928,Q692347
Doctor Sleep,Docteur Sleep,Doctor Sleep,US,,,,,,2019,Drame d'horreur,Roman,Stephen King,,,,mf-tt-9595378702,tt5606664,Q5432300
Doctor Strange,Docteur Strange,Doctor Strange,US,,,,,,2016,Drame fantastique,Oeuvre,Steve Ditko,,,,mf-tt-1135175217,tt1211837,Q1213755
Doctor Zhivago,"Docteur Jivago, Le",Doctor Zhivago,US,,,,,,1965,Drame sentimental,Roman,Boris Pasternak,,,,mf-tt-2351359177,tt0059113,
Dodson's Journey,"Enjeux d'un pÃ¨re, Les",Dodson's Journey,US,,,,,,2000,Drame psychologique,Livre,James Dodson,,,,mf-tt-5911783869,,Q3819200
Dog Eat Dog,,Dog Eat Dog,US,,,,,,2016,ComÃ©die policiÃ¨re,Roman,Edward Bunker,,,,mf-tt-3794192483,tt4054654,Q952692
"Dog's Journey, A",Mes voyages de chien,"Dog's Journey, A",US,,,,,,2019,Aventures,Livre,W. Bruce Cameron,,,,mf-tt-7611337853,tt8385474,Q19850715
"Dog's Purpose, A",Mes vies de chien,"Dog's Purpose, A",US,,,,,,2017,ComÃ©die fantaisiste,Roman,W. Bruce Cameron,,,,mf-tt-4683219390,tt1753383,Q1405845
"Dog's Way Home, A","Incroyable Aventure de Bella, L'","Dog's Way Home, A",US,,,,,,2019,Aventures,Roman,W. Bruce Cameron,,,,mf-tt-3940929181,tt7616798,
"Dogs of Riga, The","Chiens de Riga, Les","Dogs of Riga, The",GB,,,,,,2012,Drame policier,Roman,Henning Mankell,,,,mf-tt-6811002919,,
Doing Life,Sentence Ã  vie,Doing Life,US,,,,,,1986,Drame social,Livre,Steve Bello,,,,mf-tt-8501355633,tt0090954,Q2930399
Dolan's Cadillac,"Cadillac de Dolan, La",Dolan's Cadillac,GB,US,,,,,2008,Thriller,Roman,Stephen King,,,,mf-tt-2028252193,tt0963965,
Dollar,,,SE,,,,,,1938,ComÃ©die,PiÃ¨ce,Hjalmar Bergman,,,,mf-tt-9789486158,tt0030066,
Dolores Claiborne,Dolores Claiborne,Dolores Claiborne,US,,,,,,1995,Drame psychologique,Livre,Stephen King,,,,mf-tt-8376834459,tt0109642,
Dom Juan & Sganarelle,Dom Juan & Sganarelle,,FR,,,,,,2015,ComÃ©die dramatique,PiÃ¨ce,MoliÃ¨re,,,,mf-tt-4503709134,,Q66828791
Domanda di grazia,Obsession,,FR,IT,,,,,1954,Drame psychologique,Roman,Cornell Woolrich,,,,mf-tt-1292674822,tt0047291,Q1505754
Dominique,Dominique,,FR,,,,,,1950,ComÃ©die,PiÃ¨ce,Yvan NoÃ©,,,,mf-tt-9672273352,tt0156482,Q171711
"Dompteur, Le","Dompteur, Le",,FR,,,,,,1938,ComÃ©die,Oeuvre,Robert Thoeren,KÃ¡roly NÃ³ti,,,mf-tt-8197304889,tt0150368,
Don Carlos - Infant von Spanien,,Don Carlos,DE,,,,,,1969,Drame historique,PiÃ¨ce,Friedrich Schiller,,,,mf-tt-2263441379,,Q2625085
"Don d'AdÃ¨le, Le","Don d'AdÃ¨le, Le",,FR,,,,,,1950,ComÃ©die,PiÃ¨ce,Jean-Pierre GrÃ©dy,Pierre Barillet,,,mf-tt-6564319695,,Q7049936
Don King: Only in America,Don King: seulement en AmÃ©rique,Don King: Only in America,US,,,,,,1997,Drame biographique,Livre,Jack Newfield,,,,mf-tt-8814277365,,
Don Quichotte,Don Quichotte,Adventures of Don Quixote,FR,DE,GB,,,,1933,Drame,Roman,Miguel de Cervantes,,,,mf-tt-3872738399,tt0204285,Q18602670
Don Quixote,,Don Quixote,US,,,,,,2000,Aventures,Roman,Miguel de Cervantes,,,,mf-tt-2463320417,tt0181212,Q43208788
Don't Drink the Water,Nuits de Chine,Don't Drink the Water,US,,,,,,1994,ComÃ©die,PiÃ¨ce,Woody Allen,,,,mf-tt-3405868905,,Q316324
Donna Leon: Das MÃ¤dchen seiner TrÃ¤ume,"Petite Fille de ses rÃªves, La",,DE,,,,,,2011,Drame policier,Roman,Donna Leon,,,,mf-tt-2186598663,,Q20538728
Donna Leon: Die Dunkle Stunde der Serenissima,Une Question d'honneur,,DE,,,,,,2008,Drame policier,Roman,Donna Leon,,,,mf-tt-6055358427,,Q1195507
Donne-moi des ailes,Donne-moi des ailes,Spread Your Wings,US,,,,,,2019,Aventures,Roman,Nicolas Vanier,,,,mf-tt-1970555345,tt10204940,
Donnie Brasco,Donnie Brasco,Donnie Brasco,US,,,,,,1997,Drame policier,Livre,Richard Woodley,Joseph D. Pistone ,,,mf-tt-7781545821,tt0119008,Q15079344
Donovan's Brain,,Donovan's Brain,US,,,,,,1953,Science-fiction,Roman,Curt Siodmak,,,,mf-tt-6069313722,tt0045699,
Donzoko,"Bas-fonds, Les","Lower Depths, The",JP,,,,,,1957,Drame de moeurs,Roman,Maxime Gorki,,,,mf-tt-7790900888,tt0050330,Q919444
Dorian Gray,Dorian Gray,Dorian Gray,GB,,,,,,2009,Drame fantastique,Roman,Oscar Wilde,,,,mf-tt-9416093661,tt1235124,Q1214031
"Dormez, je le veux!","Dormez, je le veux!",,FR,,,,,,1998,ComÃ©die dramatique,Roman,Marie Nimier,,,,mf-tt-0174897263,,
Dorothy of Oz,,Dorothy of Oz,US,,,,,,2012,Film d'animation,Roman,Roger S. Baum,,,,mf-tt-9964950081,,Q1208472
Dortoir des grandes,Dortoir des grandes,,FR,,,,,,1953,ComÃ©die,Roman,Stanislas-AndrÃ© Steeman,,,,mf-tt-1638509512,tt0045700,
"Dos au mur, Le","Dos au mur, Le",,FR,,,,,,1958,Drame policier,Roman,FrÃ©dÃ©ric Dard,,,,mf-tt-1016256424,tt0052753,
"Dossier 51, Le","Dossier 51, Le",,FR,DE,,,,,1978,Drame d'espionnage,Roman,Gilles Perrault,,,,mf-tt-8094372548,tt0176666,Q21009551
Dossier K.,,Dossier K.,BE,NL,,,,,2009,Drame policier,Roman,Jef Geeraerts,,,,mf-tt-0622353860,tt1286784,
Dossier prostitution,Dossier prostitution,,FR,,,,,,1969,Ãtude de moeurs,Livre,Dominique Dallayrac,,,,mf-tt-3194757741,tt0186972,
Double Crime sur la ligne Maginot,Double Crime sur la ligne Maginot,,FR,,,,,,1937,Drame policier,Roman,Pierre Nord,,,,mf-tt-4954641711,,
"Double Inconstance, La","Double Inconstance, La",,FR,,,,,,2009,ComÃ©die sentimentale,PiÃ¨ce,Marivaux,,,,mf-tt-6745457478,tt1316413,
"Double Vie de Mathias Pascal, La","Double Vie de Mathias Pascal, La",,IT,,,,,,1985,ComÃ©die dramatique,Roman,Luigi Pirandello,,,,mf-tt-2640368611,,
"Double, The",,"Double, The",GB,,,,,,2013,Drame,Roman,FÃ©dor DostoÃ¯evski,,,,mf-tt-3478874292,tt1825157,
Doubt,Doute,Doubt,US,,,,,,2008,Drame psychologique,PiÃ¨ce,John Patrick Shanley,,,,mf-tt-2799419924,tt0918927,Q3329635
Douce,Douce,,FR,,,,,,1943,Drame,Roman,Michel Davet,,,,mf-tt-0609398396,tt0035823,
"Douce Empoisonneuse, La","Douce Empoisonneuse, La",,FR,,,,,,2014,ComÃ©die,Roman,Arto Paasilinna,,,,mf-tt-8503658278,tt4048648,Q2253853
"Douleur, La","Douleur, La",Memoir of War,FR,BE,CH,,,,2017,Drame,Livre,Marguerite Duras,,,,mf-tt-8445463589,tt6313378,Q3015405
"Doulos, Le","Doulos, Le",,FR,IT,,,,,1962,Thriller,Roman,Pierre Lesou,,,,mf-tt-8620015388,tt0054821,Q7602329
Down the Long Hills,"Collines de l'espoir, Les",Down the Long Hills,US,,,,,,1986,Western,Roman,Louis L'Amour,,,,mf-tt-1382656264,tt0091436,Q289106
Downhill,Downhill,Downhill,US,,,,,,2020,Drame,Oeuvre,Ruben Ostlund,,,,mf-tt-4300271286,tt4558376,
Dr. Fischer of Geneva,Dr. Fischer de GenÃ¨ve,Dr. Fischer of Geneva,GB,,,,,,1985,ComÃ©die dramatique,Roman,Graham Greene,,,,mf-tt-7618352802,,
Dr. Jekyll and Mr. Hyde,Dr. Jekyll et Mr. Hyde,Dr. Jekyll and Mr. Hyde,US,,,,,,1941,Drame fantastique,Roman,Robert Louis Stevenson,,,,mf-tt-5680723266,tt0033553,Q19874547
Dr. Seuss' The Cat in the Hat,Dr. Seuss: Le Chat dans le chapeau,Dr. Seuss' The Cat in the Hat,US,,,,,,2003,ComÃ©die fantaisiste,Oeuvre,Dr. Seuss,,,,mf-tt-9440607522,,Q1196670
Dr. Seuss' The Grinch,"Grincheux, Le",Dr. Seuss' The Grinch,US,,,,,,2018,Film d'animation,Oeuvre,Dr. Seuss,,,,mf-tt-7959288776,,Q65032686
Dr. Seuss' The Lorax,"Lorax, Le",Dr. Seuss' The Lorax,US,,,,,,2012,Film d'animation,Livre,Dr. Seuss,,,,mf-tt-7661010580,,
Dr. Strangelove,Docteur Folamour,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,GB,US,,,,,1963,ComÃ©die satirique,Livre,Peter George,,,,mf-tt-3037367778,tt0057012,Q247470
Dracula,Dracula,Dracula,US,,,,,,1931,Drame d'horreur,Roman,Bram Stoker,,,,mf-tt-4956386859,tt0021814,
Dracula pÃ¨re et fils,Dracula pÃ¨re et fils,Dracula Father and Son,FR,,,,,,1976,ComÃ©die,Roman,Claude Klotz,,,,mf-tt-4323637824,tt0079075,Q314418
Dracula vs. Frankenstein,,Dracula vs. Frankenstein,US,,,,,,1971,Drame d'horreur,Oeuvre,Mary Shelley,Bram Stoker,,,mf-tt-6529169144,tt0067017,Q3415951
