NO_PERMISPUBLIC,NO_PERMISPARCEDIFICE,NO_ID_PRO,TITRE_PRODUCTION,ANNULATION,TYPE_EMPLACEMENT,EMPLACEMENT,RUE_DE,RUE_A,NOM_PARC,RAISON_OCCUPATION,DUREE_DE,DUREE_A,NOM_ARROND,X,Y,LATITUDE,LONGITUDE
105014,,24602,L'Heure Bleue 4,No,rue,Ontario,Charlemagne,Jeanne-d'Arc,,Obstruer chaussée et trottoir.,2019-09-19,2019-09-19,Mercier-Hochelaga-Maisonneuve,301529.04349250003,5045485.0600000005,45.54927889133768,-73.54189239602891
105099,,24602,L'Heure Bleue 4,No,rue,Beaubien,De Lanaudière,Garnier,,Obstruer chaussée et trottoir.,2019-09-30,2019-09-30,Rosemont-La Petite-Patrie,297100.044495,5044574.534,45.54105135100673,-73.59860075895861
105100,,24602,L'Heure Bleue 4,No,rue,Chambord,Rosemont,Bellechasse,,Obstruer chaussée et trottoir.,2019-09-30,2019-09-30,Rosemont-La Petite-Patrie,297398.0673016546,5044205.202581319,45.537731165454744,-73.59477886002766
102866,,24602,L'Heure Bleue 4,No,rue,Mignault,Ernest-Lavigne,Beaubien,,Obstruer chaussée et trottoir.,2019-04-02,2019-04-02,Mercier-Hochelaga-Maisonneuve,300212.2290075,5049866.768,45.58869975556974,-73.5587983575537
105101,,24602,L'Heure Bleue 4,No,rue,Garnier,De Drucourt,Beaubien,,Obstruer chaussée et trottoir.,2019-09-30,2019-09-30,Rosemont-La Petite-Patrie,297191.0942705849,5044566.235908344,45.540977676390796,-73.59743471335679
102958,,24602,L'Heure Bleue 4,No,Rue,Ontario,Charlemagne,Jeanne-d'Arc,,Obstruer chaussée et trottoir.,2019-04-14,2019-04-14,Mercier-Hochelaga-Maisonneuve,301529.04349250003,5045485.0600000005,45.54927889133768,-73.54189239602891
102957,,24602,L'Heure Bleue 4,No,rue,Ontario,Charlemagne,Jeanne-d'Arc,,Obstruer chaussée et trottoir.,2019-04-12,2019-04-12,Mercier-Hochelaga-Maisonneuve,301529.04349250003,5045485.0600000005,45.54927889133768,-73.54189239602891
103186,,24602,L'Heure Bleue 4,No,rue,Guizot,Saint-Gérard,Foucher,,Occuper chaussée et trottoir.,2019-05-01,2019-05-02,Villeray-Saint-Michel-Parc-Extension,294558.0630075,5045074.8,45.5455202900454,-73.63116179283037
105228,,24602,L'Heure Bleue 4,No,rue,Resther,Bibaud,Boucher,,Obstruer chaussée et trottoir.,2019-09-30,2019-09-30,Le Plateau-Mont-Royal,297798.941995,5043259.972999999,45.52922973261345,-73.58963229300453
105227,,24602,L'Heure Bleue 4,No,rue,Boucher,Berri,Resther,,Obstruer chaussée et trottoir.,2019-09-30,2019-09-30,Le Plateau-Mont-Royal,297724.12800749997,5043278.3215,45.52939408710085,-73.59059036722235
105203,,24602,L'Heure Bleue 4,No,rue,Notre-Dame,Thérien,Delinelle,,Obstruer une chaussée.,2019-09-28,2019-09-28,Le Sud-Ouest,297907.3088773495,5037056.681409285,45.473411185178314,-73.58815783764436
103187,,24602,L'Heure Bleue 4,No,rue,Saint-Gérard,Mistral,Guizot,,Obstruer chaussée et trottoir.,2019-05-01,2019-05-02,Villeray-Saint-Michel-Parc-Extension,294603.46498546295,5045019.570944511,45.5450239804019,-73.63057922036656
103188,,24602,L'Heure Bleue 4,No,rue,Guizot,Saint-Gérard,Foucher,,Obstruer chaussée et trottoir.,2019-05-04,2019-05-05,Villeray-Saint-Michel-Parc-Extension,294558.0630075,5045074.8,45.5455202900454,-73.63116179283037
103189,,24602,L'Heure Bleue 4,No,rue,Saint-Gérard,Mistral,Guizot,,Obstruer chaussée et trottoir.,2019-05-04,2019-05-05,Villeray-Saint-Michel-Parc-Extension,294603.46498546295,5045019.570944511,45.5450239804019,-73.63057922036656
103190,,24602,L'Heure Bleue 4,No,rue,Guizot,Saint-Gérard,Foucher,,Obstruer chaussée et trottoir.,2019-05-07,2019-05-10,Villeray-Saint-Michel-Parc-Extension,294558.0630075,5045074.8,45.5455202900454,-73.63116179283037
103191,,24602,L'Heure Bleue 4,No,rue,Saint-Gérard,Mistral,Guizot,,Obstruer chaussée et trottoir.,2019-05-07,2019-05-10,Villeray-Saint-Michel-Parc-Extension,294603.46498546295,5045019.570944511,45.5450239804019,-73.63057922036656
103192,,24602,L'Heure Bleue 4,No,rue,Guizot,Saint-Gérard,Foucher,,Obstruer chaussée et trottoir.,2019-05-13,2019-05-14,Villeray-Saint-Michel-Parc-Extension,294558.0630075,5045074.8,45.5455202900454,-73.63116179283037
103193,,24602,L'Heure Bleue 4,No,rue,Saint-Gérard,Mistral,Guizot,,Obstruer chaussée et trottoir.,2019-05-13,2019-05-14,Villeray-Saint-Michel-Parc-Extension,294603.46498546295,5045019.570944511,45.5450239804019,-73.63057922036656
102893,,24602,L'Heure Bleue 4,No,rue,Arcand,Marseille,Jean-Lecompte,,Obstruer une chaussée. Interdire le stationnement,2019-04-02,2019-04-02,Mercier-Hochelaga-Maisonneuve,301783.4553872054,5049382.097295414,45.584347066650736,-73.53865877053535
102894,,24602,L'Heure Bleue 4,No,rue,Saint-Denis,De Castelnau,Faillon,,Obstruer chaussée et trottoir.,2019-04-05,2019-04-05,Villeray-Saint-Michel-Parc-Extension,295524.0700075,5044413.4715,45.53958295979439,-73.61877843141177
102895,,24602,L'Heure Bleue 4,No,rue,Saint-Denis,De Castelnau,Faillon,,Obstruer chaussée et trottoir.,2019-04-06,2019-04-06,Villeray-Saint-Michel-Parc-Extension,295524.0700075,5044413.4715,45.53958295979439,-73.61877843141177
102896,,24602,L'Heure Bleue 4,No,rue,De Castelnau,Drolet,Saint-Denis,,Obstruer chaussée et trottoir.,2019-04-06,2019-04-06,Villeray-Saint-Michel-Parc-Extension,295622.9439929905,5044326.371007,45.53880049324979,-73.61751073601859
102897,,24602,L'Heure Bleue 4,No,avenue,Henri-Julien,Faillon,Villeray,,Obstruer une chaussée.,2019-04-06,2019-04-06,Villeray-Saint-Michel-Parc-Extension,295244.25402,5044362.57,45.53912110481488,-73.62236045312859
102982,,24602,L'Heure Bleue 4,No,rue,Ontario,Aird,Sicard,,Obstruer chaussée et trottoir.,2019-04-14,2019-04-14,Mercier-Hochelaga-Maisonneuve,301869.73799,5046234.1875,45.556021280434074,-73.53753384223509
105199,,24602,L'Heure Bleue 4,No,rue,Beaudoin,Saint-Ambroise,Sainte-Émilie,,Obstruer chaussée et trottoir.,2019-09-28,2019-09-29,Le Sud-Ouest,298256.48941300897,5037051.066891916,45.473364113524696,-73.58369184257317
103045,,24602,L'Heure Bleue 4,No,Rue,Guizot,Saint-Gérard,Foucher,,Obstruer une chaussée.,2019-04-29,2019-04-30,Villeray-Saint-Michel-Parc-Extension,294558.0630075,5045074.8,45.5455202900454,-73.63116179283037
103703,,24602,L'Heure Bleue 4,No,rue,Clark,Mozart,Jean-Talon,,Obstruer une chaussée.,2019-06-08,2019-06-08,Rosemont-La Petite-Patrie,295631.83801747876,5043727.06249592,45.53340775999128,-73.6173855334538
102898,,24602,L'Heure Bleue 4,No,avenue,Henri-Julien,Faillon,Villeray,,"Relocalisation de la zone SRRR,. Osbtruer chausée et trottoir",2019-04-06,2019-04-08,Villeray-Saint-Michel-Parc-Extension,295244.25402,5044362.57,45.53912110481488,-73.62236045312859
102899,,24602,L'Heure Bleue 4,No,avenue,Henri-Julien,Faillon,Villeray,,Obstruer chaussée et trottoir.,2019-04-07,2019-04-07,Villeray-Saint-Michel-Parc-Extension,295244.25402,5044362.57,45.53912110481488,-73.62236045312859
102971,,24602,L'Heure Bleue 4,No,rue,Guizot,Saint-Gérard,Foucher,,Obstruer une chaussée.,2019-04-14,2019-04-14,Villeray-Saint-Michel-Parc-Extension,294558.0630075,5045074.8,45.5455202900454,-73.63116179283037
102970,,24602,L'Heure Bleue 4,No,rue,Saint-Gérard,Mistral,Guizot,,Obstruer chaussée et trottoir.,2019-04-11,2019-04-13,Villeray-Saint-Michel-Parc-Extension,294603.46498546295,5045019.570944511,45.5450239804019,-73.63057922036656
102969,,24602,L'Heure Bleue 4,No,rue,Guizot,Saint-Gérard,Foucher,,Obstruer chaussée et trottoir.,2019-04-11,2019-04-13,Villeray-Saint-Michel-Parc-Extension,294558.0630075,5045074.8,45.5455202900454,-73.63116179283037
102868,,24603,Videotron TMO Club Illico,No,rue,Maisonneuve,Lambert-Closse,Atwater,,Obstruer un trottoir.,2019-03-28,2019-03-28,Ville-Marie,298130.0992973314,5038953.848834011,45.49048474569764,-73.58533411862014
102857,,24603,Videotron TMO Club Illico,No,rue,Sainte-Catherine,Saint-Christophe,Saint-André,,Obstruer chaussée et trottoir.,2019-03-28,2019-03-28,Ville-Marie,300245.11051,5041804.3305,45.51615137681826,-73.55830169572003
102867,,24603,Videotron TMO Club Illico,No,rue,Sainte-Catherine,Atwater,Sainte-Catherine,,Obstruer une chaussée.,2019-03-28,2019-03-28,Ville-Marie,298183.8165025,5038810.617000001,45.48919641957774,-73.58464497430872
102858,,24603,Videotron TMO Club Illico,No,avenue,Atwater,Sainte-Catherine,Maisonneuve,,Obstruer un trottoir.,2019-03-28,2019-03-28,Ville-Marie,,,,
102859,,24603,Videotron TMO Club Illico,No,avenue,Atwater,Maisonneuve,Sherbrooke,,Obstruer une chaussée.,2019-03-28,2019-03-28,Ville-Marie,,,,
103610,,24604,Boomerang V,No,avenue,Émile-Duployé,Sherbrooke,Marquette,,Obstruer chaussée et trottoir. Véhicule de figuration,2019-05-26,2019-05-26,Le Plateau-Mont-Royal,299551.11551250005,5043168.3100000005,45.52841998490234,-73.56719891291583
103782,,24604,Boomerang V,No,rue,Garnier,La Mennais,Gilford,,Occuper une ruelle.,2019-06-04,2019-06-04,Le Plateau-Mont-Royal,298570.1965,5043607.0215,45.532359711172795,-73.57976273169606
103780,,24604,Boomerang V,No,avenue,Émile-Duployé,Sherbrooke,Marquette,,Obstruer une chaussée - stationnement de véhicules de figuration.,2019-06-03,2019-06-04,Le Plateau-Mont-Royal,299551.11551250005,5043168.3100000005,45.52841998490234,-73.56719891291583
103718,,24604,Boomerang V,No,rue,Beaubien,Parc,Hutchison,,Obstruer chaussée et trottoir.,2019-06-05,2019-06-05,Rosemont-La Petite-Patrie,295962.18970614363,5042964.890179873,45.52655361399084,-73.61314205582042
103115,,24604,Boomerang V,No,avenue,Ash,Favard,Wellington,,Obstruer chaussée et trottoir.,2019-04-23,2019-04-24,Le Sud-Ouest,300302.4950099505,5037628.5547235,45.47857685742757,-73.55752938670561
103716,,24604,Boomerang V,No,rue,Saint-Zotique,Waverly,Waverly,,Obstruer chaussée et trottoir.,2019-06-04,2019-06-05,Rosemont-La Petite-Patrie,,,,
103611,,24604,Boomerang V,No,avenue,Émile-Duployé,Sherbrooke,Marquette,,Obstruer chaussée et trottoir.,2019-05-27,2019-05-29,Le Plateau-Mont-Royal,299551.11551250005,5043168.3100000005,45.52841998490234,-73.56719891291583
103781,,24604,Boomerang V,No,rue,Garnier,Généreux,Généreux,,Obstruer chaussée et trottoir.,2019-06-04,2019-06-04,Le Plateau-Mont-Royal,,,,
103460,,24604,Boomerang V,No,rue,Ontario,Montcalm,Beaudry,,Obstruer chaussée et trottoir.,2019-05-27,2019-05-29,Ville-Marie,299936.95399,5042380.8355,45.52133686965316,-73.5622516254603
,16862,24604,Boomerang V,No,parc,Banc de parc pès de la rue Louis-Hébert (portion nord-ouest du parc),,,Parc Molson,Tournage,,,Rosemont-La Petite-Patrie,,,,
103719,,24604,Boomerang V,No,rue,Hutchison,Hutchison,Beaubien,,Obstruer chaussée et trottoir.,2019-06-05,2019-06-05,Rosemont-La Petite-Patrie,295974.3389875,5042900.072,45.52597050089455,-73.61298534040576
103105,,24604,Boomerang V,No,avenue,Elsdale,Louis-Hébert,D'Iberville,,Obstruer une chaussée.,2019-04-14,2019-04-15,Rosemont-La Petite-Patrie,297490.08805808437,5045508.29940058,45.549457902747925,-73.59362025384621
103457,,24604,Boomerang V,No,rue,Beaudry,La Fontaine,Ontario,,Obstruer chaussée et trottoir.,2019-05-27,2019-05-29,Ville-Marie,299993.203995,5042373.5855,45.52127201520152,-73.56153152369936
103463,,24604,Boomerang V,No,rue,Ontario,Beaudry,Visitation,,Obstruer chaussée et trottoir.,2019-05-26,2019-05-26,Ville-Marie,299962.011995,5042440.487500001,45.52187380629485,-73.56193145026684
103110,,24604,Boomerang V,No,rue,Charon,Le Ber,Favard,,Obstruer une chaussée.,2019-04-19,2019-04-19,Le Sud-Ouest,300529.09766024875,5037699.1563441185,45.47921355091729,-73.5546314705889
103106,,24604,Boomerang V,No,avenue,Elsdale,Louis-Hébert,D'Iberville,,Occuper un trottoir.,2019-04-15,2019-04-18,Rosemont-La Petite-Patrie,297490.08805808437,5045508.29940058,45.549457902747925,-73.59362025384621
103462,,24604,Boomerang V,No,rue,Beaudry,Robin,Ontario,,Obstruer chaussée et trottoir.,2019-05-26,2019-05-26,Ville-Marie,,,,
103458,,24604,Boomerang V,No,rue,Beaudry,La Fontaine,Ontario,,Obstruer chaussée et trottoir.,2019-05-27,2019-05-29,Ville-Marie,299993.203995,5042373.5855,45.52127201520152,-73.56153152369936
103459,,24604,Boomerang V,No,rue,Ontario,Wolfe,Montcalm,,Obstruer une chaussée.,2019-05-27,2019-05-29,Ville-Marie,299916.6045,5042332.3345,45.52090030596415,-73.5625116344144
103461,,24604,Boomerang V,No,rue,Ontario,Beaudry,Visitation,,Obstruer chaussée et trottoir.,2019-05-27,2019-05-29,Ville-Marie,299962.011995,5042440.487500001,45.52187380629485,-73.56193145026684
103103,,24604,Boomerang V,No,rue,Louis-Hébert,Beaubien,Saint-Zotique,,Obstruer une chaussée.,2019-04-13,2019-04-14,Rosemont-La Petite-Patrie,,,,
103104,,24604,Boomerang V,No,avenue,Louis-Hébert,Beaubien,Saint-Zotique,,Obstruer une chaussée.,2019-04-19,2019-04-19,Rosemont-La Petite-Patrie,,,,
103108,,24604,Boomerang V,No,avenue,Louis-Hébert,Beaubien,Saint-Zotique,,Occuper chaussée et trottoir.,2019-04-15,2019-04-18,Rosemont-La Petite-Patrie,,,,
103717,,24604,Boomerang V,No,avenue,Esplanade,Beaubien,Saint-Zotique,,Obstruer une chaussée - stationnement de véhicules de figuration.,2019-06-04,2019-06-05,Rosemont-La Petite-Patrie,295946.6449263482,5043242.67804754,45.52905308929848,-73.61334613620423
103109,,24604,Boomerang V,No,parc,Marguerite-Bourgeoys,Filles-du-Roy,Wellington,,Obstruer chaussée et trottoir.,2019-04-22,2019-04-25,Le Sud-Ouest,,,,
103113,,24604,Boomerang V,No,rue,Favard,Bourgeoys,Charon,,Obstruer chaussée et trottoir.,2019-04-23,2019-04-24,Le Sud-Ouest,300413.28865758365,5037739.245475047,45.479573587682054,-73.55611318600982
103111,,24604,Boomerang V,No,rue,Charon,Le Ber,Favard,,Obstruer une chaussée.,2019-04-24,2019-04-24,Le Sud-Ouest,300529.09766024875,5037699.1563441185,45.47921355091729,-73.5546314705889
103112,,24604,Boomerang V,No,rue,Charon,Le Ber,Favard,,Obstruer chaussée et trottoir.,2019-04-23,2019-04-25,Le Sud-Ouest,300529.09766024875,5037699.1563441185,45.47921355091729,-73.5546314705889
103107,,24604,Boomerang V,No,avenue,Elsdale,Louis-Hébert,D'Iberville,,Obstruer une chaussée.,2019-04-15,2019-04-15,Rosemont-La Petite-Patrie,297490.08805808437,5045508.29940058,45.549457902747925,-73.59362025384621
103102,,24604,Boomerang V,No,Avenue,009e,Beaubien,Saint-Zotique,,Obstruer une chaussée.,2019-04-14,2019-04-18,Rosemont-La Petite-Patrie,297828.1292920759,5046051.211178612,45.554346799682314,-73.58929852929853
,16853,24605,Les Zozos Migrateurs au Québec,No, ,"Permis valide pour les rues, ruelles, trottoirs, parcs et places publiques sous juridiction municipale.",,,"Parc Trottoirs, parcs et espaces publics de Montréal",Tournage petite équipe (10 personnes et moins),,,Indéfini,,,,
,16857,24607,Archidiocèse,No,parc,"Sur chemin Olmsted, secteur de la croix : une femme est filmée en train de faire son jogging (le caméraman est autorisé à circuler en kart de golf)",,,Parc Mont-Royal,TOURNAGE - ÉQUIPE RÉDUITE,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
103166,,24608,Tuned in for Terror,No,Avenue,005e,Mont-Royal,Gilford,,Obstruer chaussée et trottoir.,2019-05-09,2019-05-09,Rosemont-La Petite-Patrie,299510.92734000005,5045043.5445375,45.54529359375043,-73.56773377068724
103098,,24608,Tuned in for Terror,No,Avenue,032e,Chapman,033e,,Obstruer chaussée et trottoir.,2019-04-24,2019-04-27,Rosemont-La Petite-Patrie,298492.1815287196,5047813.581540951,45.57021131806965,-73.58081600020701
102911,,24608,Tuned in for Terror,No,rue,Saint-Ambroise,Louis-Cyr,Louis-Cyr,,Obstruer chaussée et trottoir.,2019-04-04,2019-04-04,Le Sud-Ouest,,,,
102968,,24608,Tuned in for Terror,No,rue,Quesnel,Seigneurs,Chatham,,Obstruer chaussée et trottoir.,2019-04-14,2019-04-16,Le Sud-Ouest,299070.1085,5038816.361,45.48925607429774,-73.57330633359484
103160,,24608,Tuned in for Terror,No,rue,Saint-Alexandre,Sainte-Rose,Sainte-Catherine,,Obstruer chaussée et trottoir.,2019-05-02,2019-05-05,Ville-Marie,,,,
102998,,24608,Tuned in for Terror,No,rue,Saint-Denis,Rosemont,Bellechasse,,Obstruer chaussée et trottoir.,2019-04-27,2019-04-27,Rosemont-La Petite-Patrie,,,,
102967,,24608,Tuned in for Terror,No,rue,Seigneurs,Quesnel,Coursol,,Obstruer chaussée et trottoir.,2019-04-14,2019-04-16,Le Sud-Ouest,,,,
102976,,24608,Tuned in for Terror,No,avenue,Seymour,René-Lévesque,Tupper,,Obstruer chaussée et trottoir.,2019-04-13,2019-04-14,Ville-Marie,298517.9005710492,5038927.660039891,45.490252759945065,-73.5803723786493
102977,,24608,Tuned in for Terror,No,avenue,Seymour,René-Lévesque,Tupper,,Relocalisation de la zone SRRR #11,2019-04-14,2019-04-16,Ville-Marie,298517.9005710492,5038927.660039891,45.490252759945065,-73.5803723786493
102978,,24608,Tuned in for Terror,No,avenue,Seymour,René-Lévesque,Tupper,,Obstruer une chaussée - stationnement de véhicules de figuration.,2019-04-15,2019-04-16,Ville-Marie,298517.9005710492,5038927.660039891,45.490252759945065,-73.5803723786493
102980,,24608,Tuned in for Terror,No,rue,Tupper,Seymour,Sussex,,Obstruer chaussée et trottoir.,2019-04-15,2019-04-16,Ville-Marie,298405.0481806666,5038931.216344709,45.49028371568377,-73.58181620417209
103092,,24608,Tuned in for Terror,No,rue,Carrière,Henri-Julien,Saint-Denis,,Obstruer chaussée et trottoir.,2019-04-27,2019-04-28,Rosemont-La Petite-Patrie,,,,
102979,,24608,Tuned in for Terror,No,rue,Tupper,Seymour,Fort,,Obstruer chaussée et trottoir.,2019-04-15,2019-04-16,Ville-Marie,298475.77479538834,5039011.221146256,45.4910042843588,-73.58091237639152
103091,,24608,Tuned in for Terror,No,avenue,Émile-Duployé,Rachel,Sherbrooke,,Obstruer chaussée et trottoir.,2019-05-02,2019-05-06,Le Plateau-Mont-Royal,299551.11551250005,5043168.3100000005,45.52841998490234,-73.56719891291583
103163,,24608,Tuned in for Terror,No,Avenue,010e,Masson,Laurier,,Obstruer chaussée et trottoir.,2019-05-09,2019-05-09,Rosemont-La Petite-Patrie,299177.54227674793,5045550.635128944,45.549853938755845,-73.57200891793903
103165,,24608,Tuned in for Terror,No,avenue,Mont-Royal,006e,005e,,Obstruer chaussée et trottoir. Et véhicules de figuration,2019-05-09,2019-05-10,Rosemont-La Petite-Patrie,299583.7983375,5045049.0210375,45.545343401281244,-73.5668006371954
102997,,24608,Tuned in for Terror,No,rue,Bellechasse,Saint-Denis,De Saint-Vallier,,Obstruer chaussée et trottoir.,2019-04-27,2019-04-27,Rosemont-La Petite-Patrie,296870.33338906907,5043675.78876223,45.53296149743186,-73.60152769061887
103089,,24608,Tuned in for Terror,No,rue,Viau,Saint-Zotique,Bélanger,,Obstruer une chaussée.,2019-04-27,2019-04-27,Rosemont-La Petite-Patrie,298714.51706873183,5048114.07364429,45.57291720604702,-73.57797124756559
103094,,24608,Tuned in for Terror,No,Rue,Jean-Brillant,Decelles,Decelles,,Obstruer une chaussée.,2019-04-27,2019-04-29,Côte-des-Neiges-Notre-Dame-de-Grâce,,,,
103161,,24608,Tuned in for Terror,No,rue,Alexandre-DeSève,Sainte-Catherine,Maisonneuve,,Obstruer chaussée et trottoir.,2019-05-08,2019-05-10,Ville-Marie,300551.95999,5042400.6,45.52151868547461,-73.55437934266465
103162,,24608,Tuned in for Terror,No,rue,Molson,place Pierre-Falardeau,Masson,,Obstruer chaussée et trottoir.,2019-05-08,2019-05-10,Rosemont-La Petite-Patrie,298846.55700337165,5044878.598758911,45.543804143571926,-73.57623973935287
103164,,24608,Tuned in for Terror,No,rue,Masson,009e,010e,,Occuper chaussée et trottoir.,2019-05-09,2019-05-09,Rosemont-La Petite-Patrie,299044.5060175,5045571.2,45.55003795054811,-73.57371293119324
103093,,24608,Tuned in for Terror,No,rue,Jean-Brillant,McKenna,Decelles,,Obstruer une chaussée.,2019-04-28,2019-04-28,Côte-des-Neiges-Notre-Dame-de-Grâce,295507.70299250004,5039895.5435,45.49892801561307,-73.61890233243386
103095,,24608,Tuned in for Terror,No,avenue,Decelles,Swail,Jean-Brillant,,Obstruer chaussée et trottoir.,2019-04-27,2019-04-29,Côte-des-Neiges-Notre-Dame-de-Grâce,295484.782,5039733.9425,45.49747352699883,-73.6191926028666
103096,,24608,Tuned in for Terror,No,Avenue,035e,Bellechasse,Beaubien,,Obstruer chaussée et trottoir.,2019-04-24,2019-04-27,Rosemont-La Petite-Patrie,299233.2239875,5047731.5805,45.56947971941428,-73.57132109181862
103097,,24608,Tuned in for Terror,No,Avenue,033e,Chapman,034e,,Obstruer une chaussée.,2019-04-24,2019-04-27,Rosemont-La Petite-Patrie,298558.17149750004,5047860.751,45.57063635620462,-73.57997116110842
103099,,24608,Tuned in for Terror,No,Avenue,033e,Chapman,034e,,Obstruer chaussée et trottoir.,2019-04-25,2019-04-25,Rosemont-La Petite-Patrie,298558.17149750004,5047860.751,45.57063635620462,-73.57997116110842
103100,,24608,Tuned in for Terror,No,Avenue,032e,Chapman,033e,,Obstruer chaussée et trottoir.,2019-04-25,2019-04-25,Rosemont-La Petite-Patrie,298492.1815287196,5047813.581540951,45.57021131806965,-73.58081600020701
102912,,24610,IA,No,rue,Saint-Urbain,Beaubien,Saint-Zotique,,Obstruer une chaussée.,2019-04-05,2019-04-05,Rosemont-La Petite-Patrie,296056.7339925,5043361.1645,45.53012066756957,-73.61193886275935
102931,,24610,IA,No,boulevard,Saint-Laurent,Bernard,Cloutier,,Obstruer une chaussée.,2019-04-05,2019-04-05,Le Plateau-Mont-Royal,296784.823505,5043072.415,45.5275311145815,-73.60261256469677
102930,,24610,IA,No,boulevard,Saint-Laurent,Saint-Viateur,Bernard,,Obstruer une chaussée - stationnement de véhicules de figuration.,2019-04-05,2019-04-05,Le Plateau-Mont-Royal,,,,
102925,,24611,DIVERS PUBLICITÉ,No,rue,Philippe-Girard,Claude-Jodoin,Canadien-Pacifique,,Obstruer chaussée et trottoir.,2019-04-10,2019-04-11,Rosemont-La Petite-Patrie,299590.4710289992,5045329.222852562,45.54786475833754,-73.5667181824736
102924,,24611,DIVERS PUBLICITÉ -Netlift,No,rue,Canadien-Pacifique,Mont-Royal,Claude-Jodoin,,Obstruer chaussée et trottoir.,2019-04-10,2019-04-11,Rosemont-La Petite-Patrie,299672.45050250005,5045352.8075,45.5480775803415,-73.56566854533126
,16855,24612,Capsule Web Ligue des droits et libertés,No, ,Gymnase,,,Édifice Centre du Plateau,Tournage,,,Le Plateau-Mont-Royal,,,,
,16856,24613,Campagne Propreté 2019 - Ville de Montréal,No, ,1) trottoirs angle sud/est des rues Iberville et Beaubien    2) trottoirs angle nord/ouest des rues Metcalfe et de Maisonneuve,,,"Parc Trottoirs, parcs et espaces publics de Montréal",TOURNAGE - ÉQUIPE RÉDUITE,,,Indéfini,,,,
103685,,24614,Alerte Amber,No,rue,Gary-Carter,Saint-Laurent,Mile End,,Occuper une chaussée.,2019-06-04,2019-06-05,Villeray-Saint-Michel-Parc-Extension,295164.5279925,5043841.705,45.53443300473413,-73.6233709651713
103297,,24614,Alerte Amber,No,Avenue,013e,Louvain,Champdoré,,Obstruer chaussée et trottoir. En continu,2019-05-13,2019-05-18,Villeray-Saint-Michel-Parc-Extension,294604.0455,5048316.881,45.5746940004676,-73.63064043184727
,16953,24614,Alerte Amber,No,parc,voie de service menant au stade IGA,,,Parc Jarry,STATIONNEMENT DE VÉHICULES DE PRODUCTION,,,Villeray-Saint-Michel-Parc-Extension,294792.7376427217,5043937.74,45.53529183808908,-73.6281332585887
103559,,24614,Alerte Amber,No,rue,Marseille,Desautels,Arcand,,Obstruer une chaussée.,2019-05-30,2019-05-30,Mercier-Hochelaga-Maisonneuve,301832.19484859635,5049295.6141000455,45.5835690647324,-73.53803365169227
103558,,24614,Alerte Amber,No,rue,Marseille,Parkville,Desautels,,Barrer une rue par intermittence d'une durée maximale de 3 minutes. Assurer la circulation entre les prises et la sécurité en tout temps. Installer la signalisation adéquate.,2019-05-30,2019-05-30,Mercier-Hochelaga-Maisonneuve,301798.8554825,5049205.3475,45.582756664889004,-73.53846032656878
103682,,24614,Alerte Amber,No,rue,De Castelnau,Saint-Urbain,Waverly,,Occuper une chaussée.,2019-06-05,2019-06-05,Villeray-Saint-Michel-Parc-Extension,295319.1185125,5043799.619,45.53405645845261,-73.62139076855065
103557,,24614,Alerte Amber,No,rue,Desautels,Marseille,Jean-Lecompte,,Barrer une rue par intermittence d'une durée maximale de 3 minutes. Assurer la circulation entre les prises et la sécurité en tout temps. Installer la signalisation adéquate.,2019-05-30,2019-05-30,Mercier-Hochelaga-Maisonneuve,301736.68342768453,5049277.167080305,45.58340266284913,-73.53925748305709
103185,,24614,Alerte Amber,No,rue,Saint-Hubert,Porte-de-Québec,Saint-Antoine,,Obstruer une chaussée.,2019-05-18,2019-05-20,Ville-Marie,300727.1210043586,5041421.175993329,45.512706839177305,-73.55212871330914
103552,,24614,Alerte Amber,No,avenue,Pépinière,Pierre-De Coubertin,Marseille,,Obstruer une chaussée.,2019-05-30,2019-05-30,Mercier-Hochelaga-Maisonneuve,,,,
103556,,24614,Alerte Amber,No,place,Pépinière,Pierre-De Coubertin,Marseille,,Barrer une rue par intermittence d'une durée maximale de 3 minutes. Assurer la circulation entre les prises et la sécurité en tout temps. Installer la signalisation adéquate.,2019-05-30,2019-05-30,Mercier-Hochelaga-Maisonneuve,,,,
103554,,24614,Alerte Amber,No,rue,Lyall,Pierre-De Coubertin,Marseille,,Barrer une rue par intermittence d'une durée maximale de 3 minutes. Assurer la circulation entre les prises et la sécurité en tout temps. Installer la signalisation adéquate.,2019-05-29,2019-05-29,Mercier-Hochelaga-Maisonneuve,302078.65667513496,5049415.312133742,45.58464713715745,-73.53487596810984
103553,,24614,Alerte Amber,No,avenue,Pierre-De Coubertin,Du Quesne,Pépinière,,Obstruer une chaussée.,2019-05-30,2019-05-30,Mercier-Hochelaga-Maisonneuve,301811.25551000005,5048404.103,45.57554671421876,-73.53829655998899
103298,,24614,Alerte Amber,No,rue,Robert,013e,015e,,Obstruer une chaussée.,2019-05-12,2019-05-12,Villeray-Saint-Michel-Parc-Extension,,,,
,16944,24614,Alerte Amber,No,parc,plusieurs emplacements dans le parc,,,Parc Jean-Amyot,TOURNAGE,,,Mercier-Hochelaga-Maisonneuve,,,,
