numero_entente,numero_appel_offre,numero_fournisseur,nom_fournisseur,statut_entente,date_debut_entente,date_fin_entente,description_entente,montant_total_convenu
"1040715","13461","322179","SOCIETE CONSEIL GROUPE LGS","Ouvert",2015-03-26,2016-04-15,"INEL,A,FOURNITURE DE SERVICES TECHNIQUES POUR L'INSTALLATION DE Windows 7 SUR LES POSTEES DE TRAVAIL",317520
"1042989","14105","413625","LEMAY CO INC.","Ouvert",2015-03-26,2017-09-01,"SPEN,Z,SERVICES PROFESSIONNELS - ARCHITECTURE DE PAYSAGE - AMÉNAGEMENT NOUVEAU SEUIL SECTEUR CEDAR/CDN PARC MT-ROYAL",538953.36
"1044476","13799","127845","ATELIER URBAN SOLAND INC.","Ouvert",2014-10-30,2017-05-31,"SPEN,Z,SERV.PROF.ARCHITECTE PAYSAGE POUR AMÉNAGEMENT PARCOURS DÉCOUVERTE MT-ROYAL",565073.38
"1044417",,"114769","AREO-FEU LTEE","Fermé",2015-05-12,2016-05-04,"VETR,Z,BOTTES POUR SERVICE D'ENQUETE INCENDIE CRIMINEL (SPVM)",5000
"1047334","14131","609640","TRI-TECH QUEBEC INC.","Ouvert",2015-05-20,2016-05-19,"SPOP,Z,SERVICES PROFESSIONNELS D'EXPERTISE ET D'EXPLORATION INTRA-MUROS DES MURS EXTÉRIEURS DANS LES GALERIES 1 ET 7 - USINE DE FILTRATION ATWATER",57261.95
"1050337","13567","115866","ETHNOSCOP INC.","Ouvert",2014-08-21,2017-08-18,"SPHP,Z,Services professionnels pour la réalisation d'interventions archéologiques",347901.72
"1054384","14275","193514","ENTREPRENEUR PAYSAGISTE STRATHMORE (1997) LTEE","Ouvert",2015-08-01,2018-12-15,"ENNA,Z,Fourniture, plantation et arrosage d'arbres 2015-2017",370058.37
"1054452","14167","482975","GBI EXPERTS-CONSEILS INC.","Fermé",2015-06-18,2017-06-19,"SERVICES PROFESSIONNELS POUR LAMÉLIORATION DE LA FIABILITÉ DES SYSTÈMES DE CONTRÔLE POUR LA DIRECTION DE LEAU POTABLE",1512500
"1056791","14439","294017","QUALINET ENVIRONNEMENT INC.","Fermé",2015-06-15,2016-06-15,"TPAE,Z,A51, Entente exclusif Rivière-des-Prairie-Pointe-aux-Trembles, service de nettoyage de puisards incluant le transport et la disposition des résidus, saison 2015",97425
"1058940","12829","116214","KELLY SANI-VAC INC","Fermé",2015-07-13,2016-07-14,"TPAE,Z,ENTENTE EXCLUSIF PIERREFONDS-ROXBORO,Travaux de nettoyage de puisards, de drain de puisards, de drain récupérateurs  et de chambre de vannes ainsi que la disposition des déchets pour l'année 2015",40015
"1066022","14417","181933","FUJITSU CONSEIL (CANADA) INC.","Ouvert",2015-08-20,2017-12-29,"SPAG,Z,Services professionnels pour multiples profils dans le cadre du projet Harmonisation des applications Oracle",601000
"1066033","14440","117667","MACOGEP INC.","Fermé",2015-08-20,2017-08-18,"SERVICES PROFESSIONNELS EN GESTION DE PROJET POUR LES GRANDS PROJETS SUR LE TERRITOIRE DE LA VILLE DE MONTRÉAL",183000
"1067103","14291","121379","MULTI RECYCLAGE S.D. INC","Fermé",2015-08-21,2017-12-31,"ENNA,Z,Réception, tri et mise en marché de bois trié pour lagglomération de Montréal",2992793.34
"1068592",,"104324","KETCHUM MANUFACTURING INC.","Fermé",2015-09-09,2016-09-29,"ENNA,A,MEDAILLES POUR CHIENS ET CHATS 2016.",20000
"1072864","14568","151660","CDW CANADA INC.","Ouvert",2015-12-01,2017-05-31,"INEL,Z,Fourniture du support logciels IBM pour la période du 1 er décembre 2015 jusqu'au 31 mi 2017",1957174.76
"1072165","13973","347290","EXCAVATION ET CARRIERE ECONO INC.","Fermé",2015-10-15,2016-03-31,"TPAE,Z,Location de deux (2) chargeurs sur pneus sans opérateur, pour la période de déneigement de l'arrondissement Lachine, saison 2014-2015",74076
"1072498","14549","115747","LE DEVOIR INC.","Fermé",2015-09-24,2019-09-23,"COMA,A,SERVICE DE PUBLICATION MÉDIA",868696
"1074167","14655","543038","GFL ENVIRONNEMENTAL INC.","Ouvert",2015-10-01,2019-10-31,"ENNA,Z,Fourniture, ramassage et transport dun compacteur et de conteneurs à matières résiduelles pour larrondissement de Ville-Marie",136056
"1074502","14371","117185","LES SOLS CHAMPLAIN INC.","Fermé",2015-10-15,2017-10-14,"ENNA,A,TERRE PRÉPARÉE, TAMISÉE ET STÉRILISÉE",20000
"1075206","14213","543038","GFL ENVIRONNEMENTAL INC.","Ouvert",2015-12-01,2022-10-31,"ENNA,Z,DGMR COLLECTE TRANSPORT SAINT LEONARD",6102816
"1078386","13941","315389","WSP CANADA INC.","Ouvert",2015-11-17,2018-10-31,"SPOP,Z,CONTRAT 1, SERV. PROF. POUR DÉV. & MISE AUX NORMES DU RESEAU CYCLABLE & MESURES PRÉF.AUTOBUS",2757848.9
"1085678","14692","149551","PANAVIDEO INC","Ouvert",2015-11-30,2016-08-31,"ENNA,Z,Acquisition de composantes (caméras, enregistreurs, logiciels, etc.) pour le rehaussement des systèmes de sécurité de lHôtel de Ville.",243047.97
"1089157","14699","352694","TLA ARCHITECTES INC.","Ouvert",2016-01-05,2016-12-31,"SPOP,Z,SERVICES PROFESSIONNELS ARCHITECTURE ET INGÉNIERIE POUR RÉFECTION DE TOITURE USINE DORVAL",233346.11
"1089529","14760","117667","MACOGEP INC.","Ouvert",2015-12-02,2018-01-29,"spag-0204,z,architecte estimation projet",100579.67
"1090398","14638","278744","NEPTUNE SECURITY SERVICES INC.","Ouvert",2015-12-21,2017-01-30,"SESA,Z,ROS SERVICE DE GARDIENNAGE POUR LA BIBLIOTHEQUE MARC-FAVREAU",120812.5
"1091985","14866","115528","ROUSSEAU LEFEBVRE INC.","Ouvert",2016-01-29,2017-12-31,"SPOP,Z, SERV. PROF. ARCHITECTURE PAYSAGE, INGÉNIERIE, DESIGN URBAIN & ÉCLAIRAGE POUR CONCEPTION PLANS & DEVIS + SURVEILLANCE DES LIEUX PUBLICS POUR PROJET BONAVENTURE",6002261.37
"1092990",,"193851","CONFECTION ROMANELLI COUTURE","Fermé",2016-01-01,2017-12-31,"VETR,Z,HABIT CIVIL- OFFICIERS DE DIRECTION, SPVM 2016-2017",15000
"1095990","14689","196490","ENGLOBE CORP.","Fermé",2016-01-04,2021-01-31,"SPOP,Z,SERVICES PROFESSIONNELS DE CONTROLE QUALITATIF DES MATERIAUX ET D'EXPERTISES POUR LA REALISATION DES PROJETS D'INFRASTRUCTURES",2739150
"1102832","14255","569125","ST-GELAIS MONTMINY & ASSOCIES ARCHITECTES INC.","Fermé",2016-03-24,2019-03-23,"SPOP,Z,Services professionnels en architecture pour la construction de nouvelles salles de tir pour le SPVM",1473728.71
"1104407","12663","382503","ENSEIGNES CMD INC.","Fermé",2013-10-23,2016-10-22,"COMA,A,FABRICATION ET INSTALLATION D'ÉLÉMENTS DE SIGNALISATION POUR LES ÉQUIPEMENTS MUNICIPAUX",450000
"1110536","14960","255730","HOPITAL VETERINAIRE LASALLE INC.","Fermé",2016-03-11,2018-03-31,"ENNA,A,LAS SERVICE DE FOURRIÈRE ANIMALE",150960
"1115175","14887","117623","CONSEILLERS EN GESTION ET INFORMATIQUE CGI  INC.","Ouvert",2016-03-24,2018-12-21,"spag-0403,z,professionnels spécialisés TI bureau de demain",5594908
"1115064","14128","116214","KELLY SANI-VAC INC","Fermé",2016-03-15,2017-10-02,"TPAE,Z,A52, Entente EXCLUSIF Ville-Marie,nettoyage et l'inspection par caméra des conduites d'égouts incluant le transport et la disposition des résidus, 2016",206828.56
"1118383","14986","115277","POTTERS CANADA","Fermé",2016-04-05,2016-11-27,"TPAE,A,FOURNITURE DE MICROBILLES DE VERRE POUR PEINTURE DE MARQUAGE ROUTIER",280911.61
"1124856","15074","116168","SIR SOLUTIONS.","Fermé",2016-06-01,2022-05-31,"INEL,Z,S.P. ACQUISITION, PARAMETRAGE ET ENTRETIEN D,UN LOGICIEL DE POINTS DE VENTE (PDV)",1300500
"1126158","14970","147716","CENTRE DE TRI MELIMAX INC.","Fermé",2016-07-01,2017-12-31,"ENNA,Z,Élimination des matières résiduelles non-valorisables desécocentres LaSalle",540203.27
"1126245","15029","137113","VEOLIA ES CANADA SERVICES INDUSTRIELS INC.","Fermé",2016-05-16,2018-05-15,"TPAE,Z,A54, Entente EXCLUSIF Plateau-Mont-Royal, Services de nettoyage de puisard, de drains de puisard, de paniers récupérateurs et chambres de vannes incluant le transport et lélimination des résidus, 2 ans",343276.02
"1125343","15070","261706","PEPINIERE JARDIN 2000 INC.","Ouvert",2016-05-19,2018-11-30,"ENNA,Z,Fourniture, plantation et arrosage darbres pour le servicedes grands parcs saison 2016-2018",1612152
"1125802","15113","116302","SODEM INC.","Ouvert",2016-05-02,2018-05-01,"CUSL,A,Services techniques pour les piscines Valleycrest et Versailles, incluant louverture et la fermeture, la peinture du bassin, les réglages et lentretien des systèmes de filtration, lajout de produits chimiques et le contrôle de la",83811.2
"1126455","14128","528800","EBI ENVIROTECH INC.","Fermé",2016-03-07,2017-03-06,"TPAE,Z,A75,Entente EXCLUSIF Outremont, Service de nettoyage et l'inspection des égouts par caméra, incluant le transport et la disposition des résidus, 2016",36898.65
"1126372","15029","403681","BEAUREGARD ENVIRONNEMENT LTEE","Fermé",2016-05-03,2018-05-02,"TPAE,Z,A56, Entente EXCLUSIF d'Ahuntsic-Cartierville, Services de nettoyage de puisard, de drains de puisard, de paniers récupérateurs et chambres de vannes incluant le transport et lélimination des résidus, 2 ans",100040.26
"1126853","15096","699431","ATKINSREALIS CANADA INC.","Ouvert",2016-05-19,2017-12-31,"SPOP,Z,SERVICES PROFESSIONNELS POUR LA SURVEILLANCE DE TRAVAUX DE GÉNIE CIVIL, D'ARCHITECTURE DU PAYSAGE ET D'ARCHITECTURE ET SURVEILLANCE ENVIRONNEMENTALE POUR LA PROMENADE URBAINE FLEUVE MONTAGNE",2638818
"1126646","15168","114092","CREUSAGE RL","Fermé",2016-05-10,2018-05-09,"OUMA,Z,ENTENTE EXCLSUIF VILLE-MARIE,A52-Service d'excavation pneumatique et travaux connexes, 24 mois",284800
"1130134","12590","543038","GFL ENVIRONNEMENTAL INC.","Ouvert",2016-06-08,2017-12-31,"ENNA,Z,RECEPTION, TRI ET MISE EN MARCHE DES CRD ET ENCOMBRANTS.",8356.58
"1134959","14947","369367","GHD CONSULTANTS LTEE","Fermé",2016-06-22,2019-06-21,"SPOP,Z, services professionnels géotechnique, caractérisation environnementale de terrains et bâtiments",1282085
"1151211","15401","153156","GROUPE ABS INC.","Ouvert",2016-09-26,2020-12-31,"Travaux de carottage dans la chaussée pour une période de 48 mois - Contrat #3",279237.02
"1164870","15167","152231","LES ARCHITECTES FABG INC.","Ouvert",2016-09-26,2020-10-31,"SPOP,Z,Services professionnels de conception et de surveillance des travaux pour la mise aux normes de l'aréna Gadbois",1656275
"1167054","15477","119404","DENEIGEMENT MODERNE INC.","Ouvert",2016-11-01,2021-04-15,"TPAE,Z, Service de déneigement des chaussées et des trottoirs, par secteur, pour deux (2) arrondissements, SECTEUR MHM-102-1621",5269877.94
"1167041","15477","115735","A. & O. GENDRON INC.","Fermé",2016-11-01,2020-04-15,"TPAE,Z, Service de déneigement des chaussées et des trottoirs, par secteur, pour deux (2) arrondissements, SECTEUR AHU-103-1619",4517446.07
"1179410","15232","519223","FNX-INNOV INC.","Fermé",2016-10-10,2019-11-29,"SPOP,Z,SERVICES PROFESSIONNELS EN INGÉNIERIE,INGÉNIERIE DES SOLS ET AMÉNAGEMENT DU DOMAINE PUBLIC - DIVERS PROJETS 2016-2018",1699162.5
"1181990","15762","150274","AQUATECHNO SPECIALISTES AQUATIQUES INC.","Fermé",2016-12-19,2017-05-18,"Fourniture daccessoires et de produits chimiques pour les piscines de la Ville de Montréal",19682.25
"1186571","15511","699431","ATKINSREALIS CANADA INC.","Fermé",2017-02-23,2022-02-22,"SPOP,A,SERVICES PROFESSIONNELS DE CONTRÔLE QUALITATIF DES MATÉRIAUX DANS LE CADRE DE LA RÉALISATION DES PROJETS D'INFRASTRUCTURE DES SERVICES CORPORATIFS  ET DES ARRONDISSEMENTS DE LA VILLE DE MONTRÉAL",3002500
"1188280","14658","123930","TELECON INC","Ouvert",2017-01-11,2020-02-14,"INEL,Z,LOT 1 FOURNITURE SUR DEMANDE DE MARÉRIAUX ET SERVICES DE CÂBLAGE EN  TÉLÉCOMMUNICATIONS",476151.69
"1044103","14265","280247","CONSULTANTS LEGICO-CHP INC.","Ouvert",2015-04-30,2017-06-02,"SPAG,Z,Services professionnels d'estimateur de la construction",332100
"1188730","14761","122543","LES CONSULTANTS S.M. INC.","Ouvert",2016-12-22,2019-12-30,"SPEN,A,Services professionnels, études géotechniques et de caractérisation environnementale dans le cadre de la réalisation de projets municipaux des arrondissements de la Ville",546765
"1191681","15543","532884","BUREAU VERITAS CANADA (2019) INC.","Ouvert",2017-03-01,2020-02-29,"TESC,A,Fourniture de service de laboratoire sur demande pour la réalisation d'analyses sur des échantillons provenant de différentes matrices et émissions de rapport pour une durée de 36 mois.",378056.5
"1197602","15664","122543","LES CONSULTANTS S.M. INC.","Fermé",2017-04-25,2019-11-14,"SPOP-0201 gestion et surveillance des travaux d'infrastructures",5038250
"1197614","15664","197099","LES SERVICES EXP INC.","Fermé",2017-04-25,2020-04-25,"SPOP-0201 gestion et surveillance des travaux d'infrastructures",4963000
"1197704","15734","152648","CIMA+ S.E.N.C.","Ouvert",2017-04-27,2020-05-29,"SPOP-0101 ingénierie relatifs aux réservoirs de la direction eau potable",1082980.16
"1197919","14809","114534","SERVICE DE REMORQUAGE LONGUEUIL INC.","Fermé",2017-05-08,2020-11-30,"TPAE,Z,SERVICE DE REMORQUAGE ET D'ENTREPOSAGE POUR LES VÉHICULES DE DÉLIT",1
"1198377","15623","261363","STANTEC EXPERT CONSEILS LTEE","Ouvert",2017-05-03,2020-05-03,"SPOP,Z, Services professionnels pour le soutien technique pour la mise en uvre de quatre (4) contrats et de programmes de la Direction des transports",626205
"1201916","15732","280247","CONSULTANTS LEGICO-CHP INC.","Ouvert",2017-04-12,2020-04-11,"Services professionnels d'estimateurs en construction pour les projets d'infrastructures urbaines",498750
"1204133","15901","699431","ATKINSREALIS CANADA INC.","Ouvert",2017-05-18,2020-05-17,"SPOP'Z'Services professionnels pour des études et expertises géotechniques et caractérisations environnementales",1023858
"1214413","16223","114718","PEPINIERE A. MUCCI INC.","Ouvert",2017-07-25,2018-07-25,"ENNA,A,FOURNITURE ET LIVRAISON SUR DEMANDE DE TERRE, MÉLANFE DE TERRE, SABLE ET COMPOST.",74117.4
"1218731","16143","116197","LE BERGER BLANC INC","Fermé",2017-07-04,2019-10-04,"ENNA,A,Services de contrôle animalier - Arrondissement VilleraySaint-MichelParc-Extension",364500
"1224411","16211","117787","VERSION IMAGE PLUS INC.","Ouvert",2017-09-12,2021-09-30,"COMA,Z,ÉQUIPEMENTS DE SIGNALISATION ET AUTRES ÉLÉMENTS DE COMMUNICATION DANS LE CADRE DU PROJET MISE EN VALEUR DU CHANTIER DE CONSTRUCTION DU PROJET STE-CATHERINE O. - 4 ANS",126945.54
"1228207","15251","116284","UAP INC.","Fermé",2017-09-28,2017-10-19,"fermer VOIR ENTENTE 1231918 Traction,MARO,A,ENTENTE CONTRACTUELLE VILLE, ACQUISITION DE PIÈCES ÉLECRIQUES ET ÉLECTRONIQUES DORIGINE DE MARQUE GROTE POUR VÉHICULES ET ÉQUIPEMENTS MOTORISÉS, ENTENTE DE 48 MOIS",325000
"1231697","15847","360156","REVOLUTION ENVIRONMENTAL SOLUTIONS LP","Ouvert",2018-01-01,2020-12-31,"ENNA,Z, COLLECTE ITINÉRANTE RDD ET TRAITEMENT",1360399.13
"1231918","15251","116284","UAP INC.","Ouvert",2017-09-28,2021-09-27,"MARO,A,ENTENTE CONTRACTUELLE VILLE, ACQUISITION DE PIÈCES ÉLECRIQUES ET ÉLECTRONIQUES DORIGINE DE MARQUE GROTE POUR VÉHICULES ET ÉQUIPEMENTS MOTORISÉS, ENTENTE DE 48 MOIS",324973.68
"1231391","16271","117108","C.M.S. ENTREPRENEURS GENERAUX INC.","Fermé",2017-11-01,2020-04-15,"MARO,Z,LOCATION DE DIVERS EQUIPEMENTS MECANIQUES AVEC OPERATEUR POUR LE DENEIGEMENT DE L'ARRONDISSEMENT VERDUN (ARTICLES 1 ET 10)",195975
"1231395","16271","158150","PAYSAGISTE ROCHE INC.","Fermé",2017-11-01,2021-04-15,"MARO,Z,LOCATION DE DIVERS EQUIPEMENTS MECANIQUES AVEC OPERATEUR POUR LE DENEIGEMENT DE L'ARRONDISSEMENT VERDUN (ARTICLE 7)",123600.4
"1248316","16521","116307","SOLUTIONS INFORMATIQUES INSO INC.","Ouvert",2018-03-01,2020-02-29,"INEL,Z,ACQISITIONDE SERVICES TECHNIQUES D'ENTRETIEN DES ORDINATEURS ET DE SES COMPOSANTES EN CASERNE POUR LE SGI DU SIM",44116
"1252454","15846","438222","BISSON ET ASSOCIES INC.","Ouvert",2017-08-21,2022-08-19,"SPAG,Z,SERVICES PROFESSIONNELS EN SCÉNOGRAPHIE POUR LE PROGRAMME RÉNOVATION, AGRANDISSEMENT ET CONSTRUCTION DES BIBLIOTHÈQUES ET DE SOUTIEN AUX ÉQUIPEMENTS CULTURELS MUNICIPAUX DE LA VILLE DE MONTRÉAL",467153
"1192867","15759","115290","LES PAVAGES CHENAIL INC.","Ouvert",2017-12-01,2019-03-31,"TPAE,A, Enrobés bitumineux à chaud, asphalte chaud - période hivernale",87200
"1257892",,"484405","LE GENIE DE L'AIGUILLE INC.","Ouvert",2018-02-21,2018-12-31,"VETR,Z,CONFECTION DE REBORDS DE PANTALONS ET JUPES POUR LE SPVM",5000
"1270994","16680","115866","ETHNOSCOP INC.","Ouvert",2018-04-26,2021-04-25,"SPHP,Z,Services professionnels pour la réalisation d'interventions archéologiques",618027.2
"1270231","16707","411365","GROUPE PURESPHERA INC.","Ouvert",2018-04-27,2021-04-30,"ENNA,Z, collecte transport et traitement halocarbures, AO 18-16707, fin 30 avril 2021",735972
"1273300","16558","117623","CONSEILLERS EN GESTION ET INFORMATIQUE CGI  INC.","Fermé",2018-04-26,2018-08-10,"SPAG,Z,Services de gestion du changement pour la modernisation des activités judiciaires de la cour municipale",0
"1275899","16859","196490","ENGLOBE CORP.","Fermé",2018-06-22,2022-06-21,"SPOP,Z,SERVICES PROFESSIONNELS POUR DES ÉTUDES ET EXPERTISES GÉOTECHNIQUES ET CARACTÉRISATIONS ENVIRONNEMENTALES-CONTRAT 1",1506189
"1279040","16713","261363","STANTEC EXPERT CONSEILS LTEE","Ouvert",2018-05-28,2020-05-28,"SPOP,Z,SERVICES PROFESSIONNELS POUR DES PROJETS EN LIEN AVEC LEDÉPLOIEMENT, LA GESTION ET L'OPÉRATION DES FEUX DE CIRCULATION ETDE MOBILITÉ",1644296
"1282887","16850","450867","SANIVAC","Fermé",2018-06-11,2018-08-31,"TPAE,Z,A88, Entente EXCLUSIVE à Lachine, Service de nettoyage de chambre de vannes",38100
"1284131","17063","543038","GFL ENVIRONNEMENTAL INC.","Ouvert",2018-07-01,2018-08-31,"ENNA,Z,RÉCEPTION, TRI ET MISE EN MARCHÉDE RÉSIDUS CRD ET ENCOMBRANTS",43200
"1283158","16888","542943","LIGNCO","Fermé",2018-05-07,2020-05-06,"TPAE,Z,SERVICE DE TRACAGE DE MARQUES SUR CHAUSSEE POUR L'ARRONDISSEMENT DE SAINT-LEONARD",437943
"1283406","16651","48132","LES SIGNALISATIONS R.C. INC","Fermé",2018-05-01,2021-04-30,"TPAE,Z,SERVICE DE MARQUAGE DE LA CHAUSSEE ET DANS LES STATIONNEMENTS POUR L'ARRONDISSEMENT VERDUN",391956.69
"1276016","16859","699431","ATKINSREALIS CANADA INC.","Fermé",2018-06-22,2022-06-21,"SPOP,Z,SERVICES PROFESSIONNELS POUR DES ÉTUDES ET EXPERTISES GÉOTECHNIQUES ET CARACTÉRISATIONS ENVIRONNEMENTALES_CONTRAT 3",1158558
"1285055","16621","118773","LABO S.M. INC.","Ouvert",2018-06-18,2021-06-28,"SPOP,A,Services professionnels de contrôle qualitatif des matériaux dans le cadre de la réalisation des projets d'infrastructures des services corporatifs.",2130441.41
"1285089","16621","196490","ENGLOBE CORP.","Ouvert",2018-06-18,2021-06-28,"SPOP,A,Services professionnels de contrôle qualitatif des matériaux dans le cadre de la réalisation des projets d'infrastructures des arrondissements.",869754.29
"1285105","16621","699431","ATKINSREALIS CANADA INC.","Ouvert",2018-06-18,2021-06-28,"SPOP,A,Services professionnels de contrôle qualitatif des matériaux dans le cadre de la réalisation des projets d'infrastructures des services corporatifs.",1869856.06
"1287138","16724","413924","TECHNOLOGIES PURE CANADA","Ouvert",2018-06-21,2020-06-30,"SPOP,Z,SERVICE EAU,SERVICES PROFESSIONNELS POUR DÉTECTION DE FUITES SUR CONDUITES PRINCIPALES D'AQUEDUC PAR MÉTHODE INTRUSIVE",2744925
"1286924","16439","394029","SERVICES RICOVA INC.","Ouvert",2019-01-05,2020-10-31,"ENNA,Z,LOT #20  Collecte transport matières recyclables -Ville Marie",2509012.39
"1286939","16439","118633","ENTREPRISE SANITAIRE F.A. LTEE (ENVIRO CONNEXIONS LAVAL)","Ouvert",2018-12-01,2023-10-31,"ENNA,Z,LOT #7- COLLECTE TRANSPORT MATIERES RESIDUELLES SAINT-LAURENT LIVRAISON RCI LAVAL",10469070.67
"1287627","16647","116092","GUILLEVIN INTERNATIONAL CIE","Ouvert",2018-07-30,2022-10-01,"TPAE,Z,Fourniture sur demande de luminaires décoratifs articles 1,8, 11 et 12 du bordereau de soumission",11839950
"1290589","16618","118321","TRANSPORT H. CORDEAU INC.","Ouvert",2018-11-15,2021-03-31,"TRANPORT DE LA NEIGE  MERCIER--HOCHELAGA-MAISONNEUVE - LOT MHM-208-1821",1812600
"1290526","16608","341795","DENEIGEMENT CYRBAULT INC.","Ouvert",2018-11-01,2022-04-15,"TPAE,Z,DÉNEIGEMENT MONTRÉAL-NORD - LOT MTN-105-1822",2889242.16
"1296662","17021","152648","CIMA+ S.E.N.C.","Ouvert",2018-09-20,2022-09-19,"SPOP,Z,CONTROLEURS DE CHANTIER",1353631.65
"1305723","17074","116490","ENTREPRISES FORLINI-DIVISION EQUIPEMENT DE SECURITE UNIVERSEL INC.","Fermé",2018-10-30,2020-10-29,"VETR,A, Bottes et souliers de sécurité (besoin particulier)",136030
"1307552","17166","620508","BELUGA SERVICES MUNICIPAUX INC.","Ouvert",2018-11-01,2021-10-31,"TPAE,Z,Exploitation du lieu d'élimination de la neige Sartelon",674924.4
"1326746","17017","197099","LES SERVICES EXP INC.","Ouvert",2019-02-05,2022-02-04,"Services professionnels en gestion et surveillance des travaux",7504743.64
"1335490","17464","145778","PAYSAGISTE MICHAEL C.","Ouvert",2019-03-05,2020-10-31,"ENNA,Z,A86, ENTENTE EXCLUSIVE AUX TRAVAUX PUBLICS ARR. SAINT-LAURENT, travaux de tontede gazon 2 ans + 2 opt. de renouvellement de 7 mois chacune",607814.06
"1336925",,"116147","CONSTRUCTION DJL INC","Fermé",2019-04-01,2019-08-31,"TPAE,A,ENROBES BITUMINEUX POUR REPARATION A FROID, ASPHALTE FROID EN SACS",21743
"1339665","17407","116147","CONSTRUCTION DJL INC","Fermé",2019-04-16,2022-06-10,"TPAE,A, Enrobés bitumineux à chaud, asphalte chaud - période hivernale",1333814.84
"1339741","17407","116147","CONSTRUCTION DJL INC","Fermé",2019-04-16,2022-06-10,"TPAE,A, Enrobes bitumineux tiède, asphalte tiède",130167.98
"1343975","17603","481313","9190-8673 QUEBEC INC","Fermé",2019-05-07,2020-05-06,"ENNA,Z,A55, ENTENTE EXCLUSIVE,Plantation de saillies vertes, DIVISION DES PARCS ET DE L' HORTICULTURE",139545
"1346654","13815","159043","GROUPE IMOG INC.","Fermé",2019-11-01,2020-04-15,"Prolongation de contrat secteur SLA-01. Déneigement pour larrondissement de Saint-Laurent",661497.11
"1347295","17433","490036","CAPREA EXPERTS IMMOBILIERS INC.","Fermé",2019-06-01,2020-11-30,"SPAG,Z,SERVICES PROFESSIONNELS POUR LES SERVICES EN ÉVALUATION IMMOBILIÈRE DANS LE CADRE DE L'APPLICATION DE LA RÉGLEMENTATION RELATIVE À LA CONTRIBUTION AUX FINS DE PARCS.",490400
"1353766","17359","2378","BELL CANADA","Ouvert",2019-07-15,2024-07-14,"INEL,Z,LIENS LOUES POUR LA TRANSMISSION DE DONNEES ET L'ACCES INTERNET (LOT 1)",5757855.86
"1353783","17359","2378","BELL CANADA","Fermé",2019-07-15,2024-07-14,"INEL,Z,LIENS LOUES POUR LA TRANSMISSION DE DONNEES ET L'ACCES INTERNET (LOT 3)",254724
"1358357","17571","121386","RECY-BETON INC","Fermé",2019-06-20,2023-06-19,"TPAE,A,VALORISATION DE LA PIERRE, ROC, BETON, ASPHALTE - ENTENTE EXCLUSIVE À L'ARRONDISSEMENT SAINT-LEONARD, AO 19-17571 - Lot 16",87981.22
"1358388","17571","154078","BAU-VAL CMM","Ouvert",2019-06-12,2021-06-12,"TPAE,A,VALORISATION DE LA PIERRE, ROC, BETON, ASPHALTE - ENTENTE EXCLUSIVE À L'ARRONDISSEMENT ILE-BIZARD - SAINTE-GENEVIEVE, 2 ans + (options ren 2 x 12 mois)",16457.6
"1358355","17571","121386","RECY-BETON INC","Fermé",2019-06-20,2023-06-19,"TPAE,A,VALORISATION DE LA PIERRE, ROC, BETON, ASPHALTE - ENTENTE EXCLUSIVE À L'ARRONDISSEMENT ROSEMONT - LA PETITE PATRIE, AO 19-17151, Lot 14",165244.9
"1225149",,"158694","EDILEX INC.","Ouvert",2022-09-23,2027-09-22,"INEL,Z,ENTENTE EXCLUSIVE POUR LE SERVICE D'APPROVISIONNEMENT, Acquisition d'un licence  limitée et la paramétrisation du système « Edilexpert », 5 ans",1293833.21
"1307668","17479","118469","LES ENTREPRISES CANBEC CONSTRUCTION INC.","Ouvert",2019-11-01,2024-04-15,"TPAE,Z,DENEIGEMENT AHUNTSIC-CARTIERVILLE - LOT N° AHU-104-2023",5966407.14
"1365086","17714","265151","JMV ENVIRONNEMENT INC.","Ouvert",2019-08-07,2022-04-15,"TPAE,Z,ENTENTE EXCLUSIVE SCA, Loc. d'une pelle avec opérateur, 19-17714, lot 4 Chute Saint-Pierre no 1 (SPL) 3 ans + 1 option 1 an",60659.4
"1366488","17579","152648","CIMA+ S.E.N.C.","Ouvert",2019-08-22,2023-08-22,"Services professionnels en contrôle de chantier - Programme de mise aux normes et rénovation des bâtiments de la Ville de Montréal (Division des projets industriels) lot 4",896448
"1367454","17619","257195","JARDIN DION INC.","Ouvert",2019-09-09,2020-09-30,"ENNA,Z,Fourniture, plantation et entretien de végétaux fosses et saillies à Montréal-Nord",196594.57
"1367462","17436","366558","MEDIAQMI INC.","Fermé",2019-07-03,2021-07-02,"COMA,A,Service de publication des avis publics pour la Ville de Montréal  24 mois",356000
"1372869","17808","349735","PAYSAGISTE J.M.A.D.","Ouvert",2019-11-01,2021-04-30,"MARO,Z,SERVICE DE DENEIGEMENT DE STATIONNEMENTS A L'ARRONDISSEMENT ILE BIZARD-SAINTE-GENEVIEVE",49400
"1377697","17817","296185","EBI MONTREAL INC.","Ouvert",2019-11-01,2023-10-31,"ENNA,Z,Fourniture et transport de conteneurs de matières résiduelles pour l'arrondissement de Montréal-Nord - Lot 10",84848.56
"1379375","17817","543038","GFL ENVIRONNEMENTAL INC.","Ouvert",2019-11-01,2023-10-31,"ENNA,Z,fourniture et transport de conteneurs de matières résiduelles pour larrondissement Verdun -  Lot 16",376122.78
