champ,description_question,variable_reponse,description_reponse
q12,"Q12) Quelle est votre occupation principale actuelle? Si vous êtes actuellement en congé sabbatique, parental, de maladie ou d´accident de travail, veuillez préciser votre occupation habituelle.",7,Au foyer
q12,"Q12) Quelle est votre occupation principale actuelle? Si vous êtes actuellement en congé sabbatique, parental, de maladie ou d´accident de travail, veuillez préciser votre occupation habituelle.",8,Retraité
q12,"Q12) Quelle est votre occupation principale actuelle? Si vous êtes actuellement en congé sabbatique, parental, de maladie ou d´accident de travail, veuillez préciser votre occupation habituelle.",99,Je préfère ne pas répondre
q13,"Q13) Au cours des cinq dernières années, avez-vous fait au moins une recherche d´emploi situé sur le territoire de la Ville de Montréal?",1,Oui
q13,"Q13) Au cours des cinq dernières années, avez-vous fait au moins une recherche d´emploi situé sur le territoire de la Ville de Montréal?",2,Non
q13,"Q13) Au cours des cinq dernières années, avez-vous fait au moins une recherche d´emploi situé sur le territoire de la Ville de Montréal?",9,*Je ne sais pas / Je préfère ne pas répondre
q14a,"Q14A) Non-connaissance du français     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières années)",1,Oui
q14a,"Q14A) Non-connaissance du français     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières années)",2,Non
q14a,"Q14A) Non-connaissance du français     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières années)",9,*NSP/NRP
q14b,"Q14B) Non-connaissance de l´anglais     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières années)",1,Oui
q14b,"Q14B) Non-connaissance de l´anglais     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières années)",2,Non
q14b,"Q14B) Non-connaissance de l´anglais     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières années)",9,*NSP/NRP
q14c,"Q14C) Discrimination linguistique (accent)     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières années",1,Oui
q14c,"Q14C) Discrimination linguistique (accent)     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières années",2,Non
q14c,"Q14C) Discrimination linguistique (accent)     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières années",9,*NSP/NRP
q14d,"Q14D) Discrimination culturelle ou religieuse     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières ann",1,Oui
q14d,"Q14D) Discrimination culturelle ou religieuse     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières ann",2,Non
q14d,"Q14D) Discrimination culturelle ou religieuse     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 dernières ann",9,*NSP/NRP
q14e,"Q14E) Difficultés liées au permis (permis de travail fermé, délai administratif, visa expiré pour l´obtention d´un permis de travail ou la résidence permanente)     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche ",1,Oui
q14e,"Q14E) Difficultés liées au permis (permis de travail fermé, délai administratif, visa expiré pour l´obtention d´un permis de travail ou la résidence permanente)     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche ",2,Non
q14e,"Q14E) Difficultés liées au permis (permis de travail fermé, délai administratif, visa expiré pour l´obtention d´un permis de travail ou la résidence permanente)     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche ",9,*NSP/NRP
q14f,"Q14F) Compétences ou qualifications obtenues à l'extérieur du Canada non reconnues     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à M",1,Oui
q14f,"Q14F) Compétences ou qualifications obtenues à l'extérieur du Canada non reconnues     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à M",2,Non
q14f,"Q14F) Compétences ou qualifications obtenues à l'extérieur du Canada non reconnues     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à M",9,*NSP/NRP
q14g,"Q14G) Exigence de la part d´un employeur d´une expérience au Canada ou au Québec     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Mon",1,Oui
q14g,"Q14G) Exigence de la part d´un employeur d´une expérience au Canada ou au Québec     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Mon",2,Non
q14g,"Q14G) Exigence de la part d´un employeur d´une expérience au Canada ou au Québec     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Mon",9,*NSP/NRP
q14h,"Q14H) Manque de connaissances en informatique et dans les technologies numériques     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Mo",1,Oui
q14h,"Q14H) Manque de connaissances en informatique et dans les technologies numériques     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Mo",2,Non
q14h,"Q14H) Manque de connaissances en informatique et dans les technologies numériques     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Mo",9,*NSP/NRP
q14i,"Q14I) Manque d´information particulière à votre métier ou profession     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au co",1,Oui
q14i,"Q14I) Manque d´information particulière à votre métier ou profession     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au co",2,Non
q14i,"Q14I) Manque d´information particulière à votre métier ou profession     (Avez-vous connu, oui ou non, les problèmes ou difficultés suivantes lors de la recherche d´un emploi à Montréal?)   (Base : Ont fait de la recherche pour un emploi à Montréali au co",9,*NSP/NRP
q15a,"Q15A) Le sentiment d'être traité de manière juste et équitable par vos collègues et gestionnaires?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la rech",1,Oui
q15a,"Q15A) Le sentiment d'être traité de manière juste et équitable par vos collègues et gestionnaires?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la rech",2,Non
q15a,"Q15A) Le sentiment d'être traité de manière juste et équitable par vos collègues et gestionnaires?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la rech",9,NSP/NRP
q15b,"Q15B) Le sentiment d'être écouté et reconnu par vos collègues et gestionnaires?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emplo",1,Oui
q15b,"Q15B) Le sentiment d'être écouté et reconnu par vos collègues et gestionnaires?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emplo",2,Non
q15b,"Q15B) Le sentiment d'être écouté et reconnu par vos collègues et gestionnaires?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emplo",9,NSP/NRP
q15c,"Q15C) Le sentiment que l'entreprise valorise la diversité parmi les employés (diversité de genre, d'origine, de religion, etc.)?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé",1,Oui
q15c,"Q15C) Le sentiment que l'entreprise valorise la diversité parmi les employés (diversité de genre, d'origine, de religion, etc.)?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé",2,Non
q15c,"Q15C) Le sentiment que l'entreprise valorise la diversité parmi les employés (diversité de genre, d'origine, de religion, etc.)?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé",9,NSP/NRP
q15d,"Q15D) Le sentiment que l'entreprise valorise la diversité parmi les gestionnaires et cadres (diversité de genre, d'origine, de religion, etc.)?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que v",1,Oui
q15d,"Q15D) Le sentiment que l'entreprise valorise la diversité parmi les gestionnaires et cadres (diversité de genre, d'origine, de religion, etc.)?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que v",2,Non
q15d,"Q15D) Le sentiment que l'entreprise valorise la diversité parmi les gestionnaires et cadres (diversité de genre, d'origine, de religion, etc.)?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que v",9,NSP/NRP
q15e,"Q15E) Le sentiment que l'entreprise cherche activement à répondre aux besoins et aux préoccupations des employés d'origines diverses?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez o",1,Oui
q15e,"Q15E) Le sentiment que l'entreprise cherche activement à répondre aux besoins et aux préoccupations des employés d'origines diverses?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez o",2,Non
q15e,"Q15E) Le sentiment que l'entreprise cherche activement à répondre aux besoins et aux préoccupations des employés d'origines diverses?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez o",9,NSP/NRP
q15f,"Q15F) Le sentiment que vos idées sont appréciées et adoptées au sein de votre équipe?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un",1,Oui
q15f,"Q15F) Le sentiment que vos idées sont appréciées et adoptées au sein de votre équipe?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un",2,Non
q15f,"Q15F) Le sentiment que vos idées sont appréciées et adoptées au sein de votre équipe?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un",9,NSP/NRP
q15g,"Q15G) Le sentiment d'avoir l'opportunité de progresser dans l'entreprise?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emploi à Mo",1,Oui
q15g,"Q15G) Le sentiment d'avoir l'opportunité de progresser dans l'entreprise?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emploi à Mo",2,Non
q15g,"Q15G) Le sentiment d'avoir l'opportunité de progresser dans l'entreprise?     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emploi à Mo",9,NSP/NRP
q15h,"Q15H) Le sentiment de pouvoir être vous-même au travail     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emploi à Montréali au cours d",1,Oui
q15h,"Q15H) Le sentiment de pouvoir être vous-même au travail     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emploi à Montréali au cours d",2,Non
q15h,"Q15H) Le sentiment de pouvoir être vous-même au travail     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emploi à Montréali au cours d",9,NSP/NRP
q15i,"Q15I) Le sentiment d'appartenir à votre entreprise     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 ",1,Oui
q15i,"Q15I) Le sentiment d'appartenir à votre entreprise     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 ",2,Non
q15i,"Q15I) Le sentiment d'appartenir à votre entreprise     (Ressentez-vous, oui ou non, les éléments suivants dans votre emploi actuel ou dans le dernier emploi que vous avez occupé?) (Base : Ont fait de la recherche pour un emploi à Montréali au cours des 5 ",9,NSP/NRP
q16,"Q16) Au cours des trois dernières années, avez-vous déjà vécu des micro-agressions en milieu de travail à Montréal? Par exemple, blagues qui vous rendent mal à l´aise, commentaires discriminatoires basés sur l´origine ethnique, l´appartenance religieuse, ",1,"Oui, souvent"
q16,"Q16) Au cours des trois dernières années, avez-vous déjà vécu des micro-agressions en milieu de travail à Montréal? Par exemple, blagues qui vous rendent mal à l´aise, commentaires discriminatoires basés sur l´origine ethnique, l´appartenance religieuse, ",2,"Oui, à l’occasion"
q16,"Q16) Au cours des trois dernières années, avez-vous déjà vécu des micro-agressions en milieu de travail à Montréal? Par exemple, blagues qui vous rendent mal à l´aise, commentaires discriminatoires basés sur l´origine ethnique, l´appartenance religieuse, ",3,Non
q16,"Q16) Au cours des trois dernières années, avez-vous déjà vécu des micro-agressions en milieu de travail à Montréal? Par exemple, blagues qui vous rendent mal à l´aise, commentaires discriminatoires basés sur l´origine ethnique, l´appartenance religieuse, ",4,Je n’ai pas travaillé à Montréal ou je n’étais pas sur le ma
q16,"Q16) Au cours des trois dernières années, avez-vous déjà vécu des micro-agressions en milieu de travail à Montréal? Par exemple, blagues qui vous rendent mal à l´aise, commentaires discriminatoires basés sur l´origine ethnique, l´appartenance religieuse, ",99,*Je ne sais pas / Je préfère ne pas répondre
q17,Q17) Depuis combien d´années habitez-vous à Montréal?,1,Moins de 5 ans
q17,Q17) Depuis combien d´années habitez-vous à Montréal?,2,Depuis 5 à 9 ans
q17,Q17) Depuis combien d´années habitez-vous à Montréal?,3,Depuis 10 à 14 ans
q17,Q17) Depuis combien d´années habitez-vous à Montréal?,4,Depuis 15 ans et plus
q17,Q17) Depuis combien d´années habitez-vous à Montréal?,99,Je préfère ne pas répondre
q18,Q18) Comment qualifiez-vous votre qualité de vie à Montréal? Est-elle :,1,Très bonne
q18,Q18) Comment qualifiez-vous votre qualité de vie à Montréal? Est-elle :,2,Assez bonne
q18,Q18) Comment qualifiez-vous votre qualité de vie à Montréal? Est-elle :,3,Moyenne
q18,Q18) Comment qualifiez-vous votre qualité de vie à Montréal? Est-elle :,4,Assez mauvaise
q18,Q18) Comment qualifiez-vous votre qualité de vie à Montréal? Est-elle :,5,Très mauvaise
q18,Q18) Comment qualifiez-vous votre qualité de vie à Montréal? Est-elle :,99,Je ne sais pas / Je préfère ne pas répondre
q19,Q19) Vous sentez-vous Montréalais.e?,1,"Oui, je me sens tout à fait Montréalais.e"
q19,Q19) Vous sentez-vous Montréalais.e?,2,"Oui, je me sens plutôt Montréalais.e"
q19,Q19) Vous sentez-vous Montréalais.e?,3,"Non, je ne me sens pas vraiment Montréalais.e"
q19,Q19) Vous sentez-vous Montréalais.e?,4,"Non, je ne me sens pas du tout Montréalais.e"
q19,Q19) Vous sentez-vous Montréalais.e?,99,Je ne sais pas / Je préfère ne pas répondre
q20,"Q20) Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...",1,Très fort
q20,"Q20) Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...",2,Plutôt fort
q20,"Q20) Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...",3,Plutôt faible
q20,"Q20) Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...",4,Très faible ou absent
q20,"Q20) Diriez-vous que votre réseau de soutien (famille, amis) à Montréal est...",99,Je ne sais pas / Je préfère ne pas répondre
q21,Q21) Dans quelle mesure diriez-vous que les Montréalais.ses sont accueillants envers les personnes immigrantes?,1,Très accueillants
q21,Q21) Dans quelle mesure diriez-vous que les Montréalais.ses sont accueillants envers les personnes immigrantes?,2,Plutôt accueillants
q21,Q21) Dans quelle mesure diriez-vous que les Montréalais.ses sont accueillants envers les personnes immigrantes?,3,Pas vraiment accueillants
q21,Q21) Dans quelle mesure diriez-vous que les Montréalais.ses sont accueillants envers les personnes immigrantes?,4,Pas accueillants du tout
q21,Q21) Dans quelle mesure diriez-vous que les Montréalais.ses sont accueillants envers les personnes immigrantes?,99,Je ne sais pas / Je préfère ne pas répondre
q22a,"Q22A) Votre identité de genre (homme, femme, autre)     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,Oui
q22a,"Q22A) Votre identité de genre (homme, femme, autre)     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22a,"Q22A) Votre identité de genre (homme, femme, autre)     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q22b,"Q22B) Vos origines ethniques ou nationales?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,Oui
q22b,"Q22B) Vos origines ethniques ou nationales?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22b,"Q22B) Vos origines ethniques ou nationales?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q22c,"Q22C) La couleur de votre peau?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,Oui
q22c,"Q22C) La couleur de votre peau?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22c,"Q22C) La couleur de votre peau?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q22d,"Q22D) Votre niveau socio-économique?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,Oui
q22d,"Q22D) Votre niveau socio-économique?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22d,"Q22D) Votre niveau socio-économique?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q22e,"Q22E) Votre religion ou vos signes religieux?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,Oui
q22e,"Q22E) Votre religion ou vos signes religieux?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22e,"Q22E) Votre religion ou vos signes religieux?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q22f,"Q22F) Votre orientation sexuelle (hétérosexuelle, gaie, lesbienne, bisexuelle, autres)     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personne",1,Oui
q22f,"Q22F) Votre orientation sexuelle (hétérosexuelle, gaie, lesbienne, bisexuelle, autres)     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personne",2,Non
q22f,"Q22F) Votre orientation sexuelle (hétérosexuelle, gaie, lesbienne, bisexuelle, autres)     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personne",9,NSP/NRP
q22g,"Q22G) Votre âge?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,Oui
q22g,"Q22G) Votre âge?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22g,"Q22G) Votre âge?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q22h,"Q22H) Votre situation de handicap?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,Oui
q22h,"Q22H) Votre situation de handicap?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22h,"Q22H) Votre situation de handicap?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q22i,"Q22I) Votre langue ou votre accent?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,Oui
q22i,"Q22I) Votre langue ou votre accent?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22i,"Q22I) Votre langue ou votre accent?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q22j,"Q22J) Votre statut d´immigration?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,Oui
q22j,"Q22J) Votre statut d´immigration?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22j,"Q22J) Votre statut d´immigration?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q22k,"Q22K) Autre raison?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",1,"Oui, veuillez préciser :"
q22k,"Q22K) Autre raison?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",2,Non
q22k,"Q22K) Autre raison?     (Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d´autres personnes, à Montréal, à cause de :)",9,NSP/NRP
q23a,"Q23A) la police ?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",1,1 - Très mauvaise
q23a,"Q23A) la police ?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",2,2
q23a,"Q23A) la police ?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",3,3
q23a,"Q23A) la police ?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",4,4
q23a,"Q23A) la police ?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",5,5 - Très bonne
q23a,"Q23A) la police ?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",9,NSP/NRP
q23b,"Q23B) une personne employée d´une société de transport?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",1,1 - Très mauvaise
q23b,"Q23B) une personne employée d´une société de transport?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",2,2
q23b,"Q23B) une personne employée d´une société de transport?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",3,3
q23b,"Q23B) une personne employée d´une société de transport?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",4,4
q23b,"Q23B) une personne employée d´une société de transport?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",5,5 - Très bonne
q23b,"Q23B) une personne employée d´une société de transport?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",9,NSP/NRP
q23c,"Q23C) une personne employée d´une entreprise de sécurité privée (ex : Garda)?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",1,1 - Très mauvaise
q23c,"Q23C) une personne employée d´une entreprise de sécurité privée (ex : Garda)?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",2,2
q23c,"Q23C) une personne employée d´une entreprise de sécurité privée (ex : Garda)?    (Quelle est votre perception des agentes et agents suivants? Sur une échelle de 1 à 5, 1 signifie très mauvaise et 5 très bonne.)",3,3
