Numéro,Département/Collection,Collection  ,Catégorie,Objet,Artiste,Titre,Date,Lieu de production,Culture,Matériaux,Dimensions,Nombre objets,Sujet,description,Lien web vers image 
1950.03.63,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","La Place d'Youville et le monument aux Pionniers, à Montréal",entre 1917 et 1922,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"28,2 x 19 cm",1,Paysage,"Costumes civils accessoires chaussures couvre-chefs chapeau, vêtements pantalon veste; Architecture et génie aménagements extérieurs poteaux mâts monument commémoratif aux Pionniers obélisque, détails architecturaux façades fenêtres oculi bandeaux porte pierres d'angles toitures corniches coupoles lucarnes pignons pinacles tourelles lanternon, commerciale et industrielle entrepôts élévateur à grain, résidentielle maisons, travaux publics rues trottoirs, ville place d'Youville; Personnages groupes humains homme; Activités et événements récréatives promenade à pied; Outils et équipement instruments scientifiques de mesure horloge; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.63_IN1.JPG
1950.03.64,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","Vieilles Maisons sur la rue Craig, à Montréal",1917,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,"Crayon Conté, crayon bleu et mine de plomb sur papier","20,7 x 25,8 cm",1,Paysage,"Costumes civils accessoires couvre-chefs casquette, caprices corporels barbe; Architecture et génie aménagements extérieurs poteaux, détails architecturaux cheminées façades fenêtres murs coupe-feu rampe portes toitures volets auvent larmiers lucarnes pignons, commerciale et industrielle boutiques et magasin, travaux publics rue Craig trottoir, ville; Transports terrestres voiture à traction animale charrette; Personnages groupes humains homme; Plantes arbres feuillus; Objets façonnés de communication publicitaires enseignes; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.64_IN1.JPG
1950.03.66,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","L'Église Notre-Dame, vue de la rue des Commissaires, Montréal",entre 1919 et 1924,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"19 x 24,4 cm",1,Architecture,"Costumes civils accessoires chaussures couvre-chefs chapeaux, vêtements pantalons vestons; Architecture et génie aménagements extérieurs mât, détails architecturaux arcs bandeaux créneaux cheminée façades fenêtres oculus porche escalier portes colonnes pilastres entablement chapiteaux toitures corniches clochers larmiers gouttière lucarnes pignons pinacles tours lanternon fronton, gouvernementale douane, religieuse église Notre-Dame, résidentielle maisons, travaux publics rue des Commissaires, ville; Personnages groupes humains hommes; Activités et événements récréatives promenade à pied; Plantes herbes et graminées, arbres feuillus; Objets façonnés de groupements sociaux emblème et insigne drapeau; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.66_IN1.JPG
1950.03.67,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","L'Église Notre-Dame-de-Bonsecours vue des quais, Montréal",entre 1917 et 1919,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"21,4 x 16,4 cm",1,Architecture; Scène urbaine,"Costumes civils accessoires chaussures couvre-chefs chapeaux bretelle, vêtements pantalons chemise veste; Architecture et génie détails architecturaux arcades façades fenêtres galerie colonnes pilastres toitures auvent cheminées corniches clochers clochetons  lucarnes larmiers pignons fronton, commerciale et industrielle entrepôts marché gare ferroviaire, résidentielle maison, travaux publics rue port quai, religieuse église Notre-Dame-de-Bonsecours, ville; Transports ferroviaires wagons; Personnages groupes humains enfant hommes; Activités et événements, récréatives promenade à pied transports; Plantes produits végétaux bois; Géographie physique accidents géographiques montagnes, phénomènes naturels nuages; Objets façonnés contenants sac, représentations objets d'art croix statues; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.67_IN1.JPG
1950.03.68,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","La Rue Saint-Paul, avec l'église et le marché Bonsecours, à Montréal (vue vers l'ouest)",1919,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"26,8 x 20,2 cm",1,Scène urbaine,"Costumes civils accessoires chaussures couvre-chefs, vêtements pantalons robe vestes; Architecture et génie aménagements extérieurs poteaux fils électriques mâts, détails architecturaux arcades façades fenêtres portes balustrades colonnes colonnades toitures corniches clocher coupole pignons tour lanternon fronton, commerciale et industrielle marché Bonsecours, religieuse église, résidentielle maisons en rangée, travaux publics rue Saint-Paul trottoirs, ville; Transports terrestres voiture à traction animale charrette; Personnages groupes humains femmes hommes; Animaux mammifères cheval; Activités et événements récréatives promenade à pied en charrette; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.68_IN1.JPG
1950.03.69,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","Vieille Cour intérieure, rue Saint-Vincent, Montréal (I)",1916?,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"27,2 x 17,8 cm",1,Architecture,"Architecture et génie aménagements extérieurs cour intérieure poteau remise, détails architecturaux arc façades fenêtres mur coupe-feu escaliers rampes portes impostes toitures auvent cheminées corniches volets gouttière lucarnes pignons, résidentielle maison, travaux publics rue Saint-Vincent, ville; Plantes herbes et graminées; Objets façonnés contenants boîtes; Outils et équipement outils courants roue corde à linge; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.69_IN1.JPG
1950.03.70,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","La Rue Saint-Vincent, descendant vers la rue Saint-Paul, à Montréal",1917 ou 1918,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"15,9 x 20,2 cm",1,Architecture,"Costumes civils accessoires couvre-chefs chapeaux tablier, vêtements pantalons robe vestes; Architecture et génie détails architecturaux cheminées façades fenêtres portes toitures corniches volets larmiers gouttières lucarnes pignons, commerciale et industrielle entrepôts, résidentielle maisons, travaux publics rue Saint-Vincent trottoir, ville; Personnages groupes humains femme hommes; Plantes herbes et graminées; Géographie physique accidents géographiques côte; Objets façonnés contenants panier, de communication publicitaires enseignes dont celle de l'édifice du journal Le Devoir; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.70_IN1.JPG
1950.03.71,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","Vieux Édifices de la rue Saint-Paul, à Montréal",1919,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier chine appliqué sur carton,"20,5 x 11,5 cm",1,Architecture; Scène urbaine,"Costumes civils accessoires chaussures couvre-chefs chapeaux, vêtements chemise pantalons robe vestons; Architecture et génie détails architecturaux cheminée façades fenêtres murs coupe-feu portes imposte toitures corniches volets gouttière lucarne pignons, commerciale et industrielle restaurant, résidentielle maisons en rangée, travaux publics rue trottoir, ville; Personnages groupes humains femme hommes; Objets façonnés de communication publicitaires enseignes; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.71_IN1.JPG
1950.03.73,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","La Rue des Commissaires, vers l'ouest, avec l'église et le marché Bonsecours",entre 1920 et 1924,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier vélin,"28,4 x 22,1 cm",1,Scène urbaine,"Costumes civils accessoires couvre-chefs chapeaux, vêtements pantalons gilet chemise vestes; Architecture et génie aménagements extérieurs poteaux mât, détails architecturaux arcades façades fenêtres balustrades toitures cheminées corniches clocher coupole auvents vérandas pinacles pignons lanternon tourelle fronton, commerciale et industrielle marché Bonsecours, religieuse église, résidentielle maisons en rangée, travaux publics rue des Commissaires, ville; Transports terrestres voitures à traction animale charrettes; Personnages groupes humains hommes, Animaux mammifères chevaux; Activités et événements, commerciales et industrielles marché, récréatives promenade à pied, en charrette; Objets façonnés représentations objets d'art statues; Outils et équipement instruments aratoires attelages d'animaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.73_IN1.JPG
1950.03.74,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","L'Église Notre-Dame vue de la rue des Commissaires, à Montréal",1919,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté et mine de plomb sur papier,"22,7 x 21,8 cm",1,Architecture; Scène urbaine,"Costumes civils accessoires chaussures couvre-chefs chapeaux, vêtements pantalons vestons; Architecture et génie aménagements extérieurs poteaux, détails architecturaux façades fenêtres ramplages créneaux bandeaux colonnes pierres d'angles toitures corniches clochers auvents larmiers lucarne pignons pinacles tours, religieuse église Notre-Dame, résidentielle maisons, travaux publics rue des Commissaires, ville; Transports terrestres voiture à traction animale charrette; Personnages groupes humains hommes; Animaux mammifères cheval; Activités et événements, récréatives promenade à pied, en charrette; Plantes herbes et graminées, arbres feuillus; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.74_IN1.JPG
1950.03.76,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","Le Château Ramezay, à Montréal",1919 ou 1920,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"23,2 x 19,7 cm",1,Architecture,"Architecture et génie aménagements extérieurs monument commémoratif, détails architecturaux façades fenêtres meurtrières escalier porte imposte toitures cheminée corniches auvents gouttière lucarnes pignons tour charpente, commerciale et industrielle immeuble à bureaux, résidentielle maison historique château Ramezay, ville; Plantes arbres feuillus; Objets façonnés armement canon, contenants baril; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.76_IN1.JPG
1950.03.77,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","La Place Jacques-Cartier, Montréal",1917 ?,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier gris-bleu,"19,7 x 25,4 cm",1,Paysage,"Costumes civils accessoires couvre-chefs chapeau, vêtements pantalons robe vestons; Architecture et génie détails architecturaux cheminées façades fenêtres murs coupe-feu portes toitures corniches coupole ou dôme volets auvents larmiers lucarnes pignons, commerciale et industrielle boutiques et magasins hôtel immeuble à bureau, résidentielle maisons en rangée, travaux publics rues trottoirs, aménagements extérieurs cabane mâts poteaux, ville place; Personnages groupes humains femme hommes; Activités et événements promenade à pied; Objets façonnés de communication publicitaires enseignes; Localisation : Place Jacques-Cartier, Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.77_IN1.JPG
1950.03.79,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","L'Église et le marché Bonsecours, à Montréal, vus vers l'est",1918 ou 1919,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"22,9 x 17,5 cm",1,Scène de genre,"Costumes civils vêtements pantalons robes vestons; Architecture et génie aménagements extérieurs poteaux, détails architecturaux arcades façades fenêtres oculus véranda colonnes pilastres entablements toitures corniches clochers clocheton auvents volets pinacles fronton pignons, commerciale et industrielle marché Bonsecours, religieuse église, résidentielle maisons, travaux publics rue des Commissaires, ville place; Transports terrestres voitures à traction animale charrettes; Personnages groupes humains femmes hommes; Animaux mammifères chevaux; Activités et événements, commerciales et industrielles marché; Géographie physique accidents géographiques côte, phénomènes naturels nuages; Objets façonnés de groupements sociaux religieux croix, représentations objets d'art statues; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.79_IN1.JPG
1950.03.80,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","Club chinois, rue Clark, à Montréal",entre 1919 et 1922,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"26,7 x 19,4 cm",1,Scène urbaine,"Costumes civils accessoires chaussures couvre-chefs casquettes, vêtements culottes pantalon chemises veston; Architecture et génie détails architecturaux cheminées mur extérieur façade fenêtres entrée imposte toiture larmier auvent pignon, commerciale et industrielle club chinois, travaux publics rue Clark trottoir, ville; Personnages groupes humains enfants garçons homme; Objets façonnés de communication publicitaires enseignes; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.80_IN1.JPG
1950.03.81,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","La Rue Lagauchetière, à Montréal",entre 1915 et 1920,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"15,9 x 10,2 cm",1,Scène urbaine,"Costumes civils accessoires couvre-chefs chapeaux casquette, vêtements pantalon robes veste; Architecture et génie aménagements extérieurs poteaux, détails architecturaux cheminées façades fenêtres portes toitures clocher larmiers lucarnes pignons, résidentielle maisons, religieuse église, travaux publics rue Lagauchetière, ville; Personnages groupes humains femmes homme; Activités récréatives promenade à pied; Géographie physique phénomènes naturels nuages; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.81_IN1.JPG
1950.03.82,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","La Rue Saint-Paul, avec l'Église et le marché Bonsecours, à Montréal (vue vers l'est)",1919,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"13,8 x 10,3 cm",1,Architecture; Scène urbaine,"Costumes civils accessoires couvre-chefs chapeaux, vêtements pantalons vestes; Architecture et génie détails architecturaux façades porche cheminée fenêtres balustrades toitures consoles corniches clocher coupole auvents larmiers lucarnes galbe pignons fronton clocheton, commerciale et industrielle marché Bonsecours, résidentielle maisons en rangée, religieuse église, travaux publics rue Saint-Paul trottoirs, ville place; Personnages groupes humains hommes; Activités et événements, récréatives promenade à pied; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.82_IN1.JPG
1950.03.83,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","Le Chemin Perrault vu de la rue Craig, à Montréal",entre 1915 et 1920,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"13,8 x 10,3 cm",1,Scène urbaine,"Costumes civils accessoires chaussures couvre-chefs chapeaux, vêtements pantalons robes vestes, de dessus châle; Architecture et génie aménagements extérieurs poteau, détails architecturaux façades fenêtres mur coupe-feu porte toitures cheminées corniche auvents larmier volet gouttière lucarnes pignons, résidentielle maisons, travaux publics chemin Perrault vu de la rue Craig trottoir, ville; Transports terrestres voiture à traction animale calèche; Personnages groupes humains femmes hommes; Animaux mammifères chevaux; Activités et événements, récréatives promenade à pied, en calèche; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.83_IN1.JPG
1950.03.85,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Raine, Herbert","La Place Jacques-Cartier et le vieil hôtel de ville, à Montréal",1919,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Crayon Conté sur papier,"24,2 x 26 cm",1,Scène de genre,"Costumes civils accessoires ceintures chaussures couvre-chefs chapeaux bonnets, vêtements chemises robes pantalons gilets vestes; Architecture et génie aménagements extérieurs colonne Nelson de la place Jacques-Cartier monument commémoratif avec statue dédié au vice-amiral britannique Horatio Nelson (1758-1805) lampadaires mâts poteau, détails architecturaux arcades façades fenêtres murs coupe-feu bandeaux escalier rampes balustrades portes colonnes colonnades toitures cheminées corniches auvents lucarnes pignons tours galbes, commerciale et industrielle commerces, gouvernementale hôtel de ville, résidentielle maisons, travaux publics rue trottoir, ville; Transports terrestres voitures à traction animale charrettes; Personnages groupes humains femmes hommes; Animaux mammifères chevaux; Activités et événements commerciales et industrielles marché; Objets façonnés contenants sacs cruches; Outils et équipement instruments aratoires attelages d'animaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1950.03.85_IN1.JPG
1952.62,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Delfosse, Georges",Homme d'affaires,1900,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,"138,3 x 104 cm",1,Portrait,"Costumes civils accessoires cravate, caprices corporels barbe moustache, vêtements chemise pantalon veston, bijoux et ornements bague parure vestimentaire bouton de manchette; Architecture et génie détails architecturaux mur intérieur; Personnages groupes humains homme, portrait à mi-corps de face, métiers et professions homme d'affaires; Objets façonnés mobilier draperie nappe meubles fauteuils table, de communication documentaire livres; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1952.62_IN1.JPG
1953.21,Art ancien (des origines à 1900),Collection permanente,Estampe,Estampe,"Leney, William Satchwell et Adolphus Bourne, d'après Robert Auchmuty Sproule","La Rue Notre-Dame à Montréal, telle qu'elle apparaissait en l'année 1830",1871,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Lithographie,"38 x 46 cm (papier); 23,6 x 34,4 cm (image)",1,Paysage,"Costumes civils militaires accessoires ceinture baudrier chaussures couvre-chefs chapeaux shakos tuques tablier, vêtements chemises pantalons robe vestons, de dessus manteaux; Architecture et génie aménagements extérieurs clôture lampadaire monument commémoratif, détails architecturaux cheminées façades fenêtres murs coupe-feu portes balustrades colonnes colonnades socles entablement toitures corniches clochers lucarnes frise pignons tours, commerciale et industrielle marché, gouvernementale corps de garde, religieuse églises, résidentielle maisons en rangée, travaux publics trottoirs rue, ville; Transports terrestres voitures à traction animale calèche charrette; Personnages groupes humains enfants garçon femmes hommes, métiers et professions militaires armée; Animaux mammifères cheval chien, produit d'animaux denrée alimentaire viande; Activités et événements commerciales et industrielles vente, militaires guet, récréatives promenade; Objets façonnés armement à feu fusil, contenants baril cruche bouteille, de communication publicitaire enseignes, de groupements sociaux emblème et insigne armoirie; Outils et équipement aratoires fouet attelages d'animaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1953.210_IN1.JPG
1953.211,Art ancien (des origines à 1900),Collection permanente,Estampe,Estampe,"Leney, William Satchwell et Adolphus Bourne, d'après Robert Auchmuty Sproule",Montréal vu de l'île Sainte-Hélène,1871,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Lithographie,"39,3 x 50,9 cm (papier); 23,5 x 35,7 cm (image)",1,Paysage,"Costumes civils militaires accessoires baudrier chaussures couvre-chefs chapeaux shakos, vêtements chemises pantalons uniforme militaire; Architecture et génie détails architecturaux cheminées façades fenêtres murs coupe-feu portes toitures clochers lucarnes pignons tours, religieuse églises, aménagements extérieurs cabane clôtures jardin, ville; Transports maritimes bateaux à voiles ou voiliers navire à vapeur radeau; Personnages groupes humains hommes, métiers et professions militaires armée navigateur; Plantes herbes et graminées, arbres feuillus; Activités et événements militaires guet, récréatives navigation de plaisance; Géographie physique accidents géographiques butte plage rives forêt mont collines champs île Sainte-Hélène, phénomènes naturels nuages fumée, phénomènes aquatiques fleuve Saint-Laurent; Objets façonnés armement à feu fusil; Outils et équipement de navigation avirons; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1953.211_IN1.JPG
1954.148,Art ancien (des origines à 1900),Collection permanente,Estampe,Estampe,"Canot, Pierre-Charles, d'après Thomas Patten","Vue orientale de Montréal, en Canada",1762,"Montréal (Québec), Canada",Britannique (anglaise),Photogravure,"22,4 x 32,7 cm (papier); 20,3 x 32,2 cm (image)",1,Paysage,"Costumes civils accessoires couvre-chefs chapeaux, vêtements; Architecture et génie détails architecturaux façades fenêtres toitures cheminées clochers pignons, commerciale et industrielle commerces moulin, civile hôpital général écoles, militaire fortification fort, religieuse couvent églises des Récollets des Jésuites et des Sulpiciens résidence ecclésiastique, résidentielle maisons, travaux publics port, ville; Transports maritimes bateaux à voiles ou voiliers chaloupes; Personnages groupes humains hommes; Plantes arbres feuillus; Activités et événements navigation trafic maritime; Géographie physique accidents géographiques côtes falaises plage rives forêt mont collines, phénomènes naturels nuages, phénomènes aquatiques fleuve Saint-Laurent; Objets façonnés de groupements sociaux emblèmes et insignes drapeaux ou pavillons; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1954.148_IN1.JPG
1954.186.16,Art ancien (des origines à 1900),Collection permanente,Estampe,Estampe (livre illustré),"Cartwright, d'après George Heriot","La Ville de Montréal vue de la montagne, du livre illustré Travels through the Canadas",1807,"Londres, Angleterre",Britannique (anglaise),Eau-forte,"21 x 26,3 cm (papier); 16 x 21 cm (coup de planche); 13,5 x 18,6 cm (image)",1,Paysage,"Architecture et génie détails architecturaux façades fenêtres toitures cheminées clochers pignons, religieuse églises, résidentielle maisons villa, ville; Plantes arbres feuillus, herbes et graminées; Géographie physique montagnes collines, phénomènes aquatiques fleuve Saint-Laurent, phénomènes naturels nuages; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1954.186.16_IN1.JPG
1954.61.19,Art ancien (des origines à 1900),Collection permanente,Estampe,Estampe (album),"Smyth, Coke","Montréal, de l'album Sketches in the Canadas",1840,"Londres, Angleterre",Britannique (anglaise); Canadienne,Lithographie,"38,2 x 54,6 cm",1,Paysage,"Costumes civils accessoires chaussures couvre-chefs chapeaux tuques bonnets, vêtements chemises culotte pantalon jupes gilets; Architecture et génie aménagements extérieurs murets, détails architecturaux cheminées façades fenêtres portes toitures appentis clochers lucarnes pignons tours, religieuse églises, résidentielle maisons, ville; Transports terrestres voitures à traction animale calèche, maritimes bateaux à voiles canots radeau; Personnages groupes humains enfant fille femmes hommes; Animaux cheval; Activités et événements transports et voyages, récréatives navigation de plaisance; Géographie physique accidents géographiques côtes plage rives mont collines, phénomènes naturels nuages, phénomènes aquatiques fleuve Saint-Laurent; Objets façonnés contenants panier sac; Outils et équipement de navigation avirons bouée cordes; Localisation: Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1954.61.19_IN1.jpg
1954.79,Art ancien (des origines à 1900),Collection permanente,Peinture,Peinture,"Palmer, Samuel","Madame Joseph-Charles Boulanger, née Elizabeth Porter",entre 1842 et 1845,"Montréal (Québec), Canada",Britannique (anglaise); Canadienne; Québécoise,Huile sur toile,"92 x 76,5 cm",1,Portrait,"Costumes civils accessoires gants noirs transparents, bijoux et ornements bague alliance parure de cou collier parure de poitrine broche, caprices corporels coiffure à boudins, vêtements robe noire, de dessus châle noir transparent; Personnages groupes humains femme élégante, portrait à mi-corps de trois quarts; Objets façonnés mobilier draperie rouge en diagonale; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1954.79_IN1.JPG
1955.115,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Dyonnet, Edmond",Jules Poivert,1909,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,"76,5 x 63,5 cm",1,Portrait,"Costumes civils caprices corporels barbe moustache, vêtements chemise gilet veston, bijoux et ornements parure vestimentaire boutons de manchette; Personnages groupes humains homme, portrait à mi-corps de face, sur fond sombre, métiers et professions architecte directeur de l'École des beaux-arts de Montréal en 1923; Objets façonnés personnels accessoires canne; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1955.115_IN1.JPG
1955.44,Art ancien (des origines à 1900),Collection permanente,Estampe,Estampe,"MacNaughton, John H.",La Maison de James McGill à Montréal,entre 1876 et 1899,"Montréal (Québec), Canada",Canadienne; Québécoise,Eau-forte,"17,5 x 26,6 cm (papier); 14,5 x 22,4 cm (image)",1,Paysage,"Costumes civils accessoires couvre-chefs chapeaux, vêtements robes pantalons vestons; Architecture et génie aménagements extérieurs kiosque cabinet clôtures muret bâtiments de ferme grange remise, détails architecturaux cheminées façades fenêtres escalier galerie perron balustrade portes entrée toitures appentis auvent lucarnes pignons, résidentielle maison de James McGill villa, travaux publics chemins, banlieue de ville; Transports terrestres voiture à traction animale calèche; Personnages groupes humains femmes hommes; Animaux mammifères cheval; Activités et événements récréatives promenade à pied, en calèche; Plantes herbes et graminées, arbres arbustes feuillus; Géographie physique accidents géographiques forêt montagne mont colline champ, phénomènes naturels nuages; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1955.44_IN1.JPG
1955.525,Art contemporain (1950-2000),Collection permanente,Peinture,Peinture,"Neumann, Ernst","Montréal, rue Dorchester",1951,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur panneau de fibre de bois,"45,8 x 61 cm",1,Paysage,"Architecture et génie détails architecturaux façade fenêtres galerie perron véranda toiture corniche pignons, résidentielle maisons, travaux publics rue Dorchester, architecture urbaine ville; Plantes herbes et graminées, arbres feuillus; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1955.525_IN1.JPG
1955.703,Art ancien (des origines à 1900),Collection permanente,Peinture,Peinture,"Dulongpré, Louis",Jean-Philippe Leprohon,vers 1810,"Montréal (Québec), Canada",Française; Canadienne; Québécoise,Huile sur toile,"63,8 x 51 cm",1,Portrait,"Costumes civils accessoires jabot, vêtements redingote; Personnages groupes humains homme, portrait en buste de trois quarts sur fond sombre, métiers et professions militiaire lieutenant-colonel magistrat juge de paix, médecin à Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1955.703_IN1.JPG
1956.172,Art ancien (des origines à 1900),Collection permanente,Dessin,Dessin,"Baxter, Dudley",Montréal vu de l'île Sainte-Hélène,1818,"Montréal (Québec), Canada",Britannique (anglaise),Aquarelle sur papier,"11,6 x 16,7 cm",1,Paysage,"Architecture et génie détails architecturaux fenêtres façades portes oculi toitures cheminées clocher pignons, commerciale et industrielle moulins à vent, résidentielle maisons, religieuse église, ville; Transports maritimes bateaux à voiles ou voiliers; Plantes arbres feuillus, herbes et graminées; Activités et événements récréatives navigation; Géographie physique accidents géographiques montagnes rives île Sainte-Hélène, phénomènes naturels nuages, phénomènes aquatiques fleuve Saint-Laurent; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1956.172_IN1.JPG
1956.213,Art ancien (des origines à 1900),Collection permanente,Estampe,Estampe,"Leggo, William Auguste, junior, attribué à, d'après Edward Jump","Le Gouverneur général du Canada et son épouse, lord et lady Dufferin, accueillis par les étudiants de l'Université McGill de Montréal, extrait du Canadian Illustrated News",1873,"Montréal (Québec), Canada",Canadienne; Québécoise,Photogravure et rehauts d'aquarelle,"22,5 x 28 cm (papier); 16,1 x 23,8 cm (image)",1,Histoire,"Costumes civils accessoires chaussures manchons foulards couvre-chefs chapeaux bonnets tuques, caprices corporels barbes moustaches, vêtements pantalons robes, de dessus manteaux toges; Architecture et génie détails architecturaux arcades façades fenêtres toitures fronton corniches lanternon pignons, civile université, résidentielle maisons, ville; Transports terrestres voiture à traction animale carriole; Personnages historiques Frederick Temple Hamilton-Temple-Blackwood (1826-1902), 1er comte de Dufferin, Gouverneur général du Canada (1872-1878) et son épouse, Hariot Georgina Hamilton-Temple-Blackwood (?-1936), comtesse de Dufferin, groupes humains femmes hommes, groupes spéciaux étudiants; Plantes arbres feuillus; Activités et événements historiques gouvernementales visite officielle, récréatives promenade à pied en carriole; Géographie physique accidents géographiques montagne champ, phénomènes naturels nuages neige, saison: hiver; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1956.213_IN1.JPG
