"Prénom ","Nom","Genre","Rôles ","Responsabilités","Arrondissement","Nom du district","Nom du parti","Adresse ligne 1 (Hôtel de Ville)","Adresse ligne 2 (Hôtel de Ville)","Localité (Hôtel de Ville)","Province (Hôtel de Ville)","Code postal (Hôtel de Ville)","Adresse ligne 1 (Arrondissement)","Adresse ligne 2 (Arrondissement)","Localité (Arrondissement)","Province (Arrondissement)","Code postal (Arrondissement)","Téléphone (Hôtel de Ville)","Téléphone (Arrondissement)","Télécopieur","Courriel","URL d'une photo","URL source","Poste"
"Manon","Gauthier","F","Conseillère de la ville; Membre du comité exécutif; Membre du conseil d'agglomération; Membre du Conseil de la Communauté métropolitaine de Montréal; Membre de la Commission sur l'inspecteur général ","Culture; Patrimoine; Design; Espace pour la vie; Statut de la femme                                                                                ","Verdun","Champlain–L'Île-des-Soeurs","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 1.104","Montréal","QC","H2Y 1C6","4555, rue de Verdun",,"Verdun","QC","H4G 1M4","514 872-2430","514 765-7010",,"manon.gauthier@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_gauthier_manon.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239455","17,10"
"Jean-Marc","Gibeau","M","Conseiller de la ville; Président du caucus; Conseiller associé aux services aux citoyens; Membre du conseil d'arrondissement de Ville-Marie; Membre de la Commission de la présidence du conseil; Membre de la Commission sur l'inspecteur général",,"Montréal-Nord","Ovide-Clermont","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.100","Montréal","QC","H2Y 1C6","4243, rue de Charleroi",,"Montréal-Nord","QC","H1H 5R5",,"514 872-0403","514 328-5577","jgibeau@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_gibeau_jeanmarc.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240681","08,20"
"Yves","Gignac","M","Conseiller d'arrondissement; Membre de la Commission sur les finances et l'administration ",,"Pierrefonds-Roxboro","Cap-Saint-Jacques","Équipe Denis Coderre pour Montréal",,,,,,"13665, boulevard de Pierrefonds",,"Pierrefonds","QC","H9A 2Z4",,"514 624-1175",,"yves.gignac@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_gignac_yves.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239457","10,21"
"Marianne","Giguère","F","Conseillère d'arrondissement; Vice-présidente de la Commission sur les transports et les travaux publics",," Plateau-Mont-Royal","De Lorimier","Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est","5e étage","Montréal","QC","H2T 3E6",,"514 872-8023",,"marianne.giguere@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_giguere_marianne.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240786","11,21"
"Christine","Gosselin","F","Conseillère d'arrondissement; Vice-présidente de la Commission sur la culture, le patrimoine et les sports",," Plateau-Mont-Royal","Jeanne-Mance ","Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est","5e étage","Montréal","QC","H2T 3E6",,"514 872-8023",,"christine.gosselin@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_gosselin_christine.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240787","11,31"
"Jacqueline","Gremaud","F","Conseillère d'arrondissement",,"Outremont","Jeanne-Sauvé","Indépendante",,,,,,"543, chemin de la Côte-Sainte-Catherine",,"Outremont","QC","H2V 4R2",,"514 495-6228",,"jacqueline.gremaud@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_gremaud_jacqueline.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142261408","09,40"
"Richard","Guay","M","Conseiller de la ville; Conseiller associé au capital humain; Membre de la Commission sur le développement économique et urbain et l'habitation; Membre de la Commission sur les finances et l'administration ",,"Rivière-des-Prairies–Pointe-aux-Trembles","La Pointe-aux-Prairies","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.103","Montréal","QC","H2Y 1C6","12090, rue Notre-Dame Est",,"Montréal","QC","H1B 2Z1",,"514 868-4350","514 868-4353","richard.guay@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_guay_richard.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142342308","12,10"
"Manuel","Guedes","M","Conseiller d'arrondissement; Membre de la Commission sur la culture, le patrimoine et les sports; Membre de la Commission sur l'examen des contrats",,"Rivière-des-Prairies–Pointe-aux-Trembles","La Pointe-aux-Prairies","Équipe Denis Coderre pour Montréal",,,,,,"12090, rue Notre-Dame Est",,"Montréal","QC","H1B 2Z1",,"514 868-4350","514 868-4353","manuel.guedes@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_guedes_manuel.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142342311","12,11"
"Andrée","Hénault","F","Conseillère de la ville; Membre de la Commission de la présidence du conseil  Membre du Conseil de la Communauté métropolitaine de Montréal",,"Anjou",,"Équipe Anjou",,,,,,"7701, boulevard Louis-H. Lafontaine",,"Anjou","QC","H1K 4B9",,"514 493-8051","514 493-8013","ahenault@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_henault_andree.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239410","02,01"
"Christian","Larocque","M","Conseiller d'arrondissement ",,"L'Île-Bizard–Sainte-Geneviève","Denis-Benjamin-Viger","Projet Montréal - Équipe Valérie Plante",,,,,,"350, montée de l'Église",,"L'île-Bizard","QC","H9C 1G9",,"514 620-6448","514 620-8198","christian.larocque@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_larocque_christian.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239470","06,20"
"Patricia R.","Lattanzio","F","Conseillère de la ville",,"Saint-Léonard","Saint-Léonard-Est","Équipe Denis Coderre pour Montréal",,,,,,"8400, boulevard Lacordaire",,"Saint-Léonard","QC","H1R 3B1",,"514 328-8410","514 328-8419",,"http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_patricia_lattanzio.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142320541","15,10"
"Laurence","Lavigne Lalonde","F","Conseillère de la ville; Leader adjointe de l'opposition officielle; Vice-présidente de la Commission sur les finances et l'administration    ",,"Mercier–Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","Projet Montréal - Équipe Valérie Plante",,,,,,"6854, rue Sherborooke Est",,"Montréal","QC","H1N 1E1",,"514 872-9899","514 872-7125","laurence.lavigne.lalonde@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_lav_lalonde_laurence.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240788","07,20"
"Guillaume","Lavoie","M","Conseiller de la ville; ",,"Rosemont–La Petite-Patrie","Marie-Victorin","Projet Montréal - Équipe Valérie Plante",,,,,,"5650, rue D'Iberville","2e étage","Montréal","QC","H2G 2B3",,"514 868-3931","514 868-3932","guillaume.lavoie@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_lavoie_guillaume.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239472","13,40"
"Elsie","Lefebvre","F","Conseillère de la ville; Conseillère associé au transport; Présidente de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs; Vice-présidente de la Société de transport de Montréal",,"Villeray–Saint-Michel–Parc-Extension","Villeray","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.109A","Montréal","QC","H2Y 1C6","405, rue Ogilvy","bureau 103","Montréal","QC","H3N 1M3",,"514 872-0755","514 872-2196","elsie.lefebvre@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_lefebvre_elsie.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239425","19,30"
"Pierre","L'Heureux","M","Conseiller d'arrondissement Membre de la Commission sur la culture, le patrimoine et les sports; Membre de la Commission sur les transports et les travaux publics",,"Verdun","Champlain–L'Île-des-Soeurs (siège 1)","Équipe Denis Coderre pour Montréal",,,,,,"4555, rue de Verdun",,"Verdun","QC","H4G 1M4",,"514 765-7010",,"pierre.lheureux@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_heureux_pierre.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239473","17,11"
"François","Limoges","M","Conseiller de la ville; Leader de l'opposition officielle",,"Rosemont–La Petite-Patrie","Saint-Édouard","Projet Montréal - Équipe Valérie Plante",,,,,,"5650, rue D'Iberville","2e étage","Montréal","QC","H2G 2B3",,"514 872-8234","514 868-3932","francois.limoges@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_LIMOGES_FRANCOIS.JPG","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239415","13,10"
"Sylvia","Lo Bianco","F","Conseillère d'arrondissement; Membre de la Commission sur le développement économique et urbain et l'habitation; Vice-présidente de la Commission sur le développement social et la diversité montréalaise",,"Montréal-Nord","Ovide-Clermont","Équipe Denis Coderre pour Montréal",,,,,,"4243, rue de Charleroi",,"Montréal-Nord","QC","H1H 5R5",,"514-328-4000 poste 5576","514-328-5577","sylvia.lo.bianco@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_lo_bianco_sylvia.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=126809580","08,21"
"Louise","Mainville","F","Conseillère de la ville; Membre de la Commission de la présidence du conseil",," Plateau-Mont-Royal","De Lorimier","Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est","5e étage","Montréal","QC","H2T 3E6",,"514 872-8023",,"louise.mainville@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_mainville_louise.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240666","11,20"
"Normand","Marinacci","M","Maire d'arrondissement; Membre de la Commission de la présidence du conseil",,"L'Île-Bizard–Sainte-Geneviève",,"Projet Montréal - Équipe Valérie Plante",,,,,,"350, montée de l'Église",,"L'île-Bizard","QC","H9C 1G9",,"514 620-6448","514 620-8198","normand.marinacci@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_marinaci_normand.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239463","06,00"
"Marie-Andrée","Mauger","F","Conseillère d'arrondissement; Membre de la Commission sur l'inspecteur général",,"Verdun","Desmarchais-Crawford (siège 2)","Projet Montréal - Équipe Valérie Plante",,,,,,"4555, rue de Verdun",,"Verdun","QC","H4G 1M4",,"514 765-7010",,"marie-andree.mauger@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_mauger_marie_andree.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239465","17,22"
"Justine","McIntyre","F","Conseillère de la ville; Chef et leader de la 3e opposition; Membre de la Commission sur le développement social et la diversité montréalaise; Membre de la Commission sur les finances et l'administration",,"Pierrefonds-Roxboro","Bois-de-Liesse","Vrai changement pour Montréal",,,,,,"13665, boulevard de Pierrefonds",,"Pierrefonds","QC","H9A 2Z4",,"514 624-1488",,"justine.mcintyre@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_mcintyre_justine.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239466","10,10"
"Peter","McQueen","M","Conseiller de la ville; Vice-président de la Commission sur le développement économique et urbain et l'habitation",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","Projet Montréal - Équipe Valérie Plante",,,,,,"5160, boulevard Décarie","bureau 710, 7e étage","Montréal","QC","H3X 2H9","514 872-4863","514 868-4281","514 868-3327","peter.mcqueen@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_mcqueen_peter.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239414","03,40"
"Réal","Ménard","M","Maire d'arrondissement; Membre du comité exécutif","Développement durable; Environnement; Grands parcs; Espaces verts ","Mercier–Hochelaga-Maisonneuve",,"Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.110","Montréal","QC","H2Y 1C6","6854, rue Sherborooke Est",,"Montréal","QC","H1N 1E1","514 872-4264","514 872-8759","514 868-4551","real.menard@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_menard_real.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239409","07,00"
"Francesco","Miele","M","Conseiller de la ville; Leader de la majorité; Vice-président de la Commission de la présidence du conseil; Membre de la Société de transport de Montréal   ",,"Saint-Laurent","la Côte-de-Liesse","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau R.113","Montréal","QC","H2Y 1C6","777, boulevard Marcel-Laurin",,"Saint-Laurent ","QC","H4M 2M7",,"514 855-6000 poste 4043","514 855-6049","francesco.miele@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_Miele_Voeux.JPG","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239439","14,10"
"Luis","Miranda","M","Maire d'arrondissement",,"Anjou",,"Équipe Anjou",,,,,,"7701, boulevard Louis-H. Lafontaine",,"Anjou","QC","H1K 4B9",,"514 493-8010","514 493-8013","lmiranda@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_miranda_luis.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239411","02,00"
"Alex","Norris","M","Conseiller de la ville; Vice-président de la Commission sur la sécurité publique",," Plateau-Mont-Royal","Jeanne-Mance","Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est","5e étage","Montréal","QC","H2T 3E6",,"514 872-8023",,"alex.norris@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_norris_alex.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142265858","11,30"
"Sylvain","Ouellet","M","Conseiller de la ville; Vice-président de la Commission de la présidence du conseil; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs",,"Villeray–Saint-Michel–Parc-Extension","François-Perrault","Projet Montréal - Équipe Valérie Plante",,,,,,"405, rue Ogilvy","bureau 103","Montréal","QC","H3N 1M3",,"514 872-7763","514 872-2402","sylvain.ouellet@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_ouellet_sylvain.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239489","19,20"
"Lorraine","Pagé","F","Conseillère de la ville; Présidente de la Commission sur l'inspecteur général; Membre de la Commission sur le développement social et la diversité montréalaise ",,"Ahuntsic-Cartierville"," Sault-au-Récollet","Équipe Denis Coderre pour Montréal",,,,,,"555, rue Chabanel Ouest","6e étage","Montréal","QC"," H2N 2H8","514 872-2246","514 872-0430","514 868-3324","lorraine.page@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_page_lorraine.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142333118","01,10"
"Laura-Ann","Palestini","F","Conseillère d'arrondissement; Membre de la Commission sur les finances et l'administration ",,"LaSalle"," Sault-Saint-Louis (siège 2)","Équipe Barbe Team",,,,,,"55, avenue Dupras",,"LaSalle","QC","H8R 4A8",,"514 367-6206","514 367-6600","laura-ann.palestini@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_palestini_laura.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239423","05,12"
"Jean-François","Parenteau","M","Maire d'arrondissement; Conseiller associé à l'eau; Membre de la Société de transport de Montréal   ",,"Verdun",,"Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 1.119","Montréal","QC","H2Y 1C6","4555, rue de Verdun",,"Verdun","QC","H4G 1M4","514 765-7008","514 765-7010",,"jean-francois.parenteau@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_parenteau_jean_francois.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239468","17,00"
"Lionel","Perez","M","Conseiller de la ville; Membre du comité exécutif; Membre du conseil d'agglomération; Membre du Conseil de la Communauté métropolitaine de Montréal; Président de la Commission sur le schéma d'aménagement et de développement de Montréal 
","Infrastructures; Commission des services électriques; Gouvernance et démocratie; Relations gouvernementales","Côte-des-Neiges–Notre-Dame-de-Grâce","Darlington","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.116","Montréal","QC","H2Y 1C6","5160, boulevard Décarie","bureau 710, 7e étage","Montréal","QC","H3X 2H9","514 872-4879","514 872-4863","514 868-3327","lionel.perez@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_perez_lionel.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=141935622","03,10"
"Dominic","Perri","M","Conseiller de la ville; Vice-président de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs; Membre de la Commission sur les finances et l'administration",,"Saint-Léonard","Saint-Léonard-Ouest","Équipe Denis Coderre pour Montréal",,,,,,"8400, boulevard Lacordaire",,"Saint-Léonard","QC","H1R 3B1",,"514 328-8410","514 328-8419","dperri@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_perri_dominic.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239419","15,20"
"Paul-Yvon","Perron","M","Conseiller d'arrondissement   ",,"Anjou","l'Est","Équipe Anjou",,,,,,"7701, boulevard Louis-H. Lafontaine",,"Anjou","QC","H1K 4B9",,"514 493-8017","514 493-8013","paul-yvon.perron@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_perron_yvon.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=119173597","02,20"
"Nathalie","Pierre-Antoine","F","Conseillère d'arrondissement; Membre de la Commission sur la culture, le patrimoine et les sports; Membre de la Société de transport de Montréal   ",,"Rivière-des-Prairies–Pointe-aux-Trembles","Rivière-des-Prairies","Équipe Denis Coderre pour Montréal",,,,,,"12090, rue Notre-Dame Est",,"Montréal","QC","H1B 2Z1",,"514 868-4052","514 872-3709","nathalie.pierre-antoine@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_pierre_antoine_nathalie.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142342312","12,31"
"Valérie","Plante","F","Conseillère de la ville; Cheffe de l'opposition officielle",,"Ville-Marie","Sainte-Marie","Projet Montréal - Équipe Valérie Plante",,,,,,"800, boulevard de Maisonneuve Est","17e étage","Montréal","QC","H2L 2L8","514 868-5858","514 872-8644","514 872-8347","valerie.plante@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_plante_valerie.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142265860","18,30"
"Marie","Plourde","F","Conseillère d'arrondissement; Membre de la Société de transport de Montréal   ",," Plateau-Mont-Royal","Mile End","Projet Montréal - Équipe Valérie Plante",,,,,,"201, avenue Laurier Est","5e étage","Montréal","QC","H2T 3E6",,"514 872-8023",,"marie.plourde@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_plourde_marie.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239476","11,11"
"Mindy","Pollak","F","Conseillère d'arrondissement  ",,"Outremont","Claude-Ryan","Projet Montréal - Équipe Valérie Plante",,,,,,"543, chemin de la Côte-Sainte-Catherine",,"Outremont","QC","H2V 4R2",,"514 495-6230",,"mindy.pollak@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_pollak_mindy.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=120645600","09,10"
"Magda","Popeanu","F","Conseillère de la ville; Vice-présidente du conseil municipal",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Côte-des-Neiges","Projet Montréal - Équipe Valérie Plante",,,,,,"5160, boulevard Décarie","bureau 710, 7e étage","Montréal","QC","H3X 2H9",,"514 872-4863","514 868-3327","magda.popeanu@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_popeanu_magda.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239477","03,20"
"Marie","Potvin","F","Conseillère d'arrondissement; Membre de la Commission sur le développement économique et urbain et l'habitation; Membre de la Commission sur l'eau, l'environnement, le développement durable et les grands parcs",,"Outremont","Robert-Bourassa","Équipe Denis Coderre pour Montréal",,,,,,"543, chemin de la Côte-Sainte-Catherine",,"Outremont","QC","H2V 4R2",,"514 495-6248",,"marie.potvin@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_potvin_marie.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239498","9,30"
"Daniel","Racicot","M","Conseiller d'arrondissement ",,"Lachine","J.-Émery-Provost","Équipe Dauphin Lachine",,,,,,"1800, boulevard Saint-Joseph",,"Lachine ","QC","H8S 2N4",,"514-634-3471 poste 280","514-634-8164","daniel.racicot@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_racicot_daniel.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=122079594","04,20"
"Giovanni","Rapanà","M","Conseiller de la ville; Membre de la Commission sur la culture, le patrimoine et les sports; Membre de la Commission sur le développement social et la diversité montréalaise",,"Rivière-des-Prairies–Pointe-aux-Trembles","Rivière-des-Prairies","Équipe Denis Coderre pour Montréal",,,,,,"12090, rue Notre-Dame Est",,"Montréal","QC","H1B 2Z1",,"514 868-5558","514 872-3709","giovanni.rapana@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_rapana_giovanni.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142342309","12,30"
"Monica","Ricourt","F","Conseillère d'arrondissement; Membre de la Commission sur les transports et les travaux publics; Membre de la Commission de la sécurité publique",,"Montréal-Nord","Marie-Clarac","Équipe Denis Coderre pour Montréal",,,,,,"4243, rue de Charleroi",,"Montréal-Nord","QC","H1H 5R5",,"514 328-4000 poste 5575","514 328-5577","monica.ricourt@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_monica_ricourt.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142342309","08,11"
"Chantal","Rossi","F","Conseillère de la ville; Conseillère associée à la culture, au patrimoine et au design; Membre de la Commission sur le développement social et la diversité montréalaise ",,"Montréal-Nord","Marie-Clarac","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 1.104","Montréal","QC","H2Y 1C6","4243, rue de Charleroi",,"Montréal-Nord","QC","H1H 5R5",,"514 328-4000 poste 5573","514 328-5577","chantal.rossi@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_chantal_rossi.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142344578","08,10"
