NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANCE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE
MONTRÉAL EN LUMIÈRE»,100 % VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA - FESTIVALS - ÉVÉNEMENTS,1141508005,APPROUVER UN PROTOCOLE DE SOUTIEN TECHNIQUE ESTIMÉ À 390 000$ ET AUTORISER L'OCCUPATION DU DOMAINE PUBLIC À L'OCCASION DU FESTIVAL « DU 19 AU 28 FÉVRIER 2015.,CM15 0053,2015-01-27,0,0,390000,390000
ATELIERS CRÉATIFS MONTRÉAL,100 % VILLE,SERVICE DE LA CULTURE,DIRECTION,1146344004,"ACCORDER UN SOUTIEN FINANCIER DE 465 000 $ À ATELIERS CRÉATIFS MONTRÉAL, DANS LE CADRE DE L’ENVELOPPE DE 175 M$ DU GOUVERNEMENT DU QUÉBEC, POUR LA RÉALISATION DES TRAVAUX D'AMÉNAGEMENT D'ATELIERS D'ARTISTES DANS L'IMMEUBLE SIS AU 6201 AVENUE DU PARC DANS L'ARRONDISSEMENT DU PLATEAU MONT-ROYAL. / APPROUVER LE PROJET DE CONVENTION À CET EFFET.",CM15 0055,2015-01-27,465000,0,0,465000
CARREFOUR INDUSTRIEL ET EXPÉRIMENTAL DE LANAUDIÈRE,100% VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION,1144069010,"APPROUVER LE PROJET DE BAIL PAR LEQUEL LA VILLE LOUE À CARREFOUR INDUSTRIEL ET EXPÉRIMENTAL DE LANAUDIÈRE (C.I.E.L.), POUR UNE PÉRIODE ADDITIONNELLE DE 4 ANS, À COMPTER DU 22 OCTOBRE 2013, UN LOCAL SITUÉ AU REZ-DE-CHAUSSÉE DE L’IMMEUBLE SIS AU 801, RANG BAS L’ASSOMPTION NORD, D'UNE SUPERFICIE DE 14 403,90 PI², À DES FINS DE RECHERCHE AGROALIMENTAIRE, LE TOUT POUR UN LOYER TOTAL DE 356 999,88 $, EXCLUANT LES TAXES.",CM15 0151,2015-02-26,0,53509,0,53509
MURAL,100% VILLE,SERVICE DE LA CULTURE,DIRECTION,1156218001,"ACCORDER UN SOUTIEN FINANCIER DE 150 000 $ À L'ORGANISME MURAL, SOIT 50 000 $ EN 2015, 50 000 $ EN 2016 ET 50 000 $ EN 2017/APPROUVER LE PROJET D'ENTENTE À CET EFFET.",CM15 0167,2015-02-26,150000,0,0,150000
UNITED IRISH SOCIETIES OF MONTRÉAL INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1155877001,"AUTORISER LE TENUE DU DÉFILÉ DE LA SAINT-PATRICK, LE 22 MARS 2015. AUTORISER L’OCCUPATION DU DOMAINE PUBLIC POUR LA RÉALISATION DU DÉFILÉ INCLUANT LES ZONES DE MONTAGE ET DE DÉMONTAGE ET LE SQUARE PHILLIPS / AUTORISER LE MARQUAGE TEMPORAIRE DE LA CHAUSSÉE / APPROUVER À CET EFFET LE PROTOCOLE D'ENTENTE DE SOUTIEN FINANCIER DE 25 000 $ ET DE SOUTIEN TECHNIQUE ESTIMÉ À 150 000 $ AVEC L'ORGANISME UNITED IRISH SOCIETIES OF MONTREAL INC.",CM15 0168,2015-02-26,25000,0,150000,175000
CORPORATION DU THÉÂTRE OUTREMONT,69% VILLE 31% ARRONDISSEMENT OUTREMONT,SERVICE DE LA CULTURE,DIRECTION,1144639004,"APPROUVER UN PROTOCOLE D'ENTENTE ENTRE LA VILLE DE MONTRÉAL ET LA CORPORATION DU THÉÂTRE OUTREMONT POUR LA RÉALISATION D'UNE PROGRAMMATION CULTURELLE AU THÉÂTRE OUTREMONT POUR UN SOUTIEN FINANCIER TOTALISANT 1 320 000 $ DONT 50 000 $ DÉJÀ VERSÉ À TITRE D'AVANCE (CE15 0065); 390 000 $ VERSÉ EN 2015, 440 000 $ EN 2016 ET 440 000 $ EN 2017. AUTORISER UN BUDGET DE REVENU ADDITIONNEL DE 30 300 $ PROVENANT DE LA LOCATION D'UN ESPACE AU REZ-DE-CHAUSSÉE DU THÉÂTRE POUR UN CAFÉ/RESTAURANT (6813623 CANADA INC.) ET AUTORISER UN BUDGET ADDITIONNEL DE DÉPENSES DU MÊME MONTANT AU SERVICE DE LA CULTURE. AUTORISER UN VIREMENT BUDGÉTAIRE D'UN MONTANT DE 250 000 $ DU BUDGET DU SERVICE DE LA CULTURE AU BUDGET DU SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE À COMPTER DE L'ANNÉE 2016.",CM15 0173,2015-02-26,1320000,0,0,1320000
"FIFA, LE MOIS DE LA PHOTO",100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1151197002,ACCORDER UN SOUTIEN FINANCIER TOTALISANT 120 000 $ AU FESTIVAL INTERNATIONAL DU FILM SUR L'ART ET AU MOIS DE LA PHOTO À MONTRÉAL DANS LE CADRE DU PROGRAMME DE SOUTIEN AUX FESTIVALS ET AUX ÉVÉNEMENTS CULTURELS 2015.,CM15 0174,2015-02-26,120000,0,0,120000
CONCERTATION SAINT-LÉONARD,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1155917001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 416 666 $, SOIT 100 000 $ EN 2015, 200 000 $ EN 2016 ET 116 666 $ EN 2017 À CONCERTATION SAINT-LÉONARD POUR RÉALISER LE PROJET « CONCIERGERIE ET SERVICES À LA QUOTIDIENNETÉ - ESPACE COMMUNAUTAIRE VIAU-ROBERT », DANS LE SECTEUR DE LA REVITALISATION URBAINE INTÉGRÉE (RUI) DE VIAU-ROBERT, DANS LE CADRE DE L'ENTENTE DE 175 M$ AVEC LE GOUVERNEMENT DU QUÉBEC POUR SOUTENIR LE DÉVELOPPEMENT DE MONTRÉAL / APPROUVER UN PROJET DE CONVENTION À CET EFFET",CM15 0175,2015-02-26,416666,0,0,416666
FONDATION ESPACE POUR LA VIE,100% VILLE,SERVICE DE L'ESPACE POUR LA VIE,DIRECTION,1150348001,"ACCORDER UNE CONTRIBUTION EXCEPTIONNELLE DE 600 000$ À LA FONDATION ESPACE POUR LA VIE POUR LE FINANCEMENT DE SES OPÉRATIONS ENTRE SA CRÉATION ET LE 31 DÉCEMBRE 2014 / AUTORISER UN VIREMENT BUDGÉTAIRE DE 600 000 $ POUR 2015, EN PROVENANCE DES DÉPENSES CONTINGENTES VERS LE SERVICE DE L'ESPACE POUR LA VIE, AFIN DE FINANCER L'ATTRIBUTION D'UNE CONTRIBUTION FINANCIÈRE EXCEPTIONNELLE DE 600 000 $ À LA FONDATION ESPACE POUR LA VIE / APPROUVER LE PROJET D'ENTENTE AFFÉRENT ENTRE LA VILLE ET LA FONDATION ESPACE POUR LA VIE.",CM15 0176,2015-02-26,600000,0,0,600000
FONDATION ESPACE POUR LA VIE,100% VILLE,SERVICE DE L'ESPACE POUR LA VIE,DIRECTION,1140348001,ACCORDER UNE CONTRIBUTION DE 250 000$ À LA FONDATION ESPACE POUR LA VIE POUR LE FINANCEMENT DE SES OPÉRATIONS EN 2015 ; APPROUVER LE PROJET D'ENTENTE AFFÉRENT ENTRE LA VILLE ET LA FONDATION ESPACE POUR LA VIE.,CM15 0177,2015-02-26,250000,0,0,250000
LA TABLE DE QUARTIER HOCHELAGA-MAISONNEUVE,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1145917005,"ACCORDER UN SOUTIEN FINANCIER NON-RÉCURRENT TOTALISANT LA SOMME DE 416 666$, SOIT 310 000$ EN 2015 ET 106 666$ EN 2016, À LA TABLE DE QUARTIER HOCHELAGA-MAISONNEUVE POUR RÉALISER LE PROJET « AMÉNAGEMENT DU LIEN VERT HOCHELAGA » DANS LE SECTEUR DE LA REVITALISATION URBAINE INTÉGRÉE (RUI) D'HOCHELAGA, DANS LE CADRE DE L'ENTENTE DE 175 M$ AVEC LE GOUVERNEMENT DU QUÉBEC POUR SOUTENIR LE DÉVELOPPEMENT DE MONTRÉAL / APPROUVER UN PROJET DE CONVENTION À CET EFFET",CM15 0178,2015-02-26,416666,0,0,416666
SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE POINTE-À-CALLIÈRE,100% VILLE,SERVICE DE LA CULTURE,DIRECTION,1140387003,"APPROUVER LE PROJET DE CONVENTION ENTRE LA SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE POINTE-À-CALLIÈRE DE MONTRÉAL ET LA VILLE DE MONTRÉAL CONCERNANT LE VERSEMENT D'UNE CONTRIBUTION FINANCIÈRE MAXIMALE DE 2 350 000$ TOUTES TAXES INCLUSES, POUR LA RÉALISATION D'UNE SIGNALISATION GLOBALE, LE RENOUVELLEMENT DES EXPOSITIONS PERMANENTES, ET LE RENOUVELLEMENT LES ÉQUIPEMENTS TECHNOLOGIQUES, MUSÉOGRAPHIQUES ET DE CONSERVATION - 2015 ET 2016.",CM15 0311,2015-03-27,2350000,0,0,2350000
CARREFOUR DES FEMMES DE SAINT-LÉONARD,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1144251006,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 455 000 $ À CINQ ORGANISMES, POUR LE PROJET ET LE MONTANT DÉSIGNÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES IMMIGRANTS CONCLUE ENTRE LA VILLE DE MONTRÉAL ET LE MINISTÈRE DE L'IMMIGRATION, DE LA DIVERSITÉ ET DE L'INCLUSION 2014-2016. APPROUVER LES PROJETS DE CONVENTIONS À CET EFFET.",CM15 0313,2015-03-26,75000,0,0,75000
CARREFOUR SOCIOCULTUREL DU CENTRE AFRIKA,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1144251006,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 455 000 $ À CINQ ORGANISMES, POUR LE PROJET ET LE MONTANT DÉSIGNÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES IMMIGRANTS CONCLUE ENTRE LA VILLE DE MONTRÉAL ET LE MINISTÈRE DE L'IMMIGRATION, DE LA DIVERSITÉ ET DE L'INCLUSION 2014-2016. APPROUVER LES PROJETS DE CONVENTIONS À CET EFFET.",CM15 0313,2015-03-26,80000,0,0,80000
DESTA BLACK YOUTH NETWORK,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1144251006,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 455 000 $ À CINQ ORGANISMES, POUR LE PROJET ET LE MONTANT DÉSIGNÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES IMMIGRANTS CONCLUE ENTRE LA VILLE DE MONTRÉAL ET LE MINISTÈRE DE L'IMMIGRATION, DE LA DIVERSITÉ ET DE L'INCLUSION 2014-2016. APPROUVER LES PROJETS DE CONVENTIONS À CET EFFET.",CM15 0313,2015-03-26,50000,0,0,50000
INTÉGRATION JEUNESSE DU QUÉBEC INC.,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1144251006,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 455 000 $ À CINQ ORGANISMES, POUR LE PROJET ET LE MONTANT DÉSIGNÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES IMMIGRANTS CONCLUE ENTRE LA VILLE DE MONTRÉAL ET LE MINISTÈRE DE L'IMMIGRATION, DE LA DIVERSITÉ ET DE L'INCLUSION 2014-2016. APPROUVER LES PROJETS DE CONVENTIONS À CET EFFET.",CM15 0313,2015-03-26,200000,0,0,200000
SERVICE NATIONAL DES SAUVETEURS INC,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1144251006,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 455 000 $ À CINQ ORGANISMES, POUR LE PROJET ET LE MONTANT DÉSIGNÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE POUR L'ACCUEIL ET L'INTÉGRATION DES IMMIGRANTS CONCLUE ENTRE LA VILLE DE MONTRÉAL ET LE MINISTÈRE DE L'IMMIGRATION, DE LA DIVERSITÉ ET DE L'INCLUSION 2014-2016. APPROUVER LES PROJETS DE CONVENTIONS À CET EFFET.",CM15 0313,2015-03-26,50000,0,0,50000
ASSOCIATION QUÉBEC-FRANCE,100% VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION,1144069016,"APPROUVER LA CONVENTION DE PROLONGATION DU CONTRAT DE PRÊT DE LOCAL PAR LEQUEL LA VILLE DE MONTRÉAL PRÊTE, À TITRE GRATUIT, À L'ASSOCIATION QUÉBEC-FRANCE, POUR UNE PÉRIODE DE 2 ANS, À COMPTER DU 1ER AVRIL 2015, UN LOCAL D'UNE SUPERFICIE DE 42,47 MÈTRES CARRÉS SITUÉ AU 3680, RUE JEANNE-MANCE, À DES FINS DE BUREAU.",CM15 0316,2015-03-27,0,14610,0,14610
SOVERDII (SOCIÉTÉ DE VERDISSEMENT DU MONTRÉAL MÉTROPOLITAIN),100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1155917002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 416 666 $, SOIT 130 000 $ EN 2015, 140 000 $ EN 2016 ET 146 666 $ EN 2017, À LA SOCIÉTÉ DE VERDISSEMENT DU MONTRÉAL MÉTROPOLITAIN (SOVERDI) POUR RÉALISER LE PROJET « CORRIDOR VERT DES 5 ÉCOLES » DANS LE SECTEUR DE REVITALISATION URBAINE INTÉGRÉE (RUI) DE MONTRÉAL-NORD, DANS LE CADRE DE L'ENTENTE DE 175 M$ AVEC LE GOUVERNEMENT DU QUÉBEC POUR SOUTENIR LE DÉVELOPPEMENT DE MONTRÉAL / APPROUVER UN PROJET DE CONVENTION À CET EFFET",CM15 0317,2015-03-26,416666,0,0,416666
FESTIVAL DU NOUVEAU CINÉMA DE MONTRÉAL,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,150000,0,0,150000
FESTIVAL INTERNATIONAL DE JAZZ DE MONTRÉAL INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,575000,0,0,575000
FESTIVAL JUSTE POUR RIRE/ JUST FOR LAUGHS,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,575000,0,0,575000
FESTIVAL MODE & DESIGN MONTRÉAL,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,110000,0,0,110000
FESTIVAL MONTRÉAL EN LUMIÈRE INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,575000,0,0,575000
FESTIVAL TRANSAMÉRIQUES INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,290000,0,0,290000
FONDATION QUÉBEC CINÉMA,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,125000,0,0,125000
LES FRANCOFOLIES DE MONTRÉAL INC.,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,290000,0,0,290000
LES PRODUCTIONS NUITS D'AFRIQUE,100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,90000,0,0,90000
"TOHU, CITÉ DES ARTS DU CIRQUE",100% VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1150018001,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 3 355 000 $ À DIX FESTIVALS MONTRÉALAIS POUR L'ANNÉE 2015 / APPROUVER LES PROJETS DE CONVENTION À CETTE FIN.,CM15 0318,2015-03-26,575000,0,0,575000
DIVERSITÉ ARTISTIQUE MONTRÉAL,100 % VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION,1154069001,"APPROUVER LE RENOUVELLEMENT DU CONTRAT DE PRÊT DE LOCAL PAR LEQUEL LA VILLE PRÊTE À DIVERSITÉ ARTISTIQUE MONTRÉAL, POUR UNE PÉRIODE DE 3 ANS ET 6 MOIS, À COMPTER DU 1ER JUILLET 2015, UN ESPACE DE BUREAU, AU 3E ÉTAGE DE L'IMMEUBLE SITUÉ AU 3680, RUE JEANNE",CM15 0503,2015-04-30,0,48147,0,48147
FONDATION MONTRÉAL INC,100 % VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION,1154069003,"APPROUVER LA CONVENTION DE MODIFICATION DE BAIL PAR LEQUEL LA VILLE DE MONTRÉAL LOUE DES IMMEUBLES CENTURIAN PEEL/METCALFE INC. , POUR UNE PÉRIODE DE 6 ANS, À COMPTER DU 1ER MAI 2015, UN LOCAL ADDITIONNEL D'UNE SUPERFICIE DE 130,06 M², SITUÉ AU 6E ÉTAGE POUR LA FONDATION MONTÉAL INC",CM15 0504,2015-04-30,0,265762,0,265762
LA SOCIÉTÉ DE VERDISSEMENT DU MONTRÉAL MÉTROPOLITAIN (SOVERDI),100 % VILLE,SERVICE DES GRANDS PARCS_VERDISSEMENT ET DU MONT-ROYAL,DIRECTION,1156620005,"ACCORDER UN SOUTIEN FINANCIER DE 1 374 317,50 $ À LA SOCIÉTÉ DE VERDISSEMENT DU MONTRÉAL MÉTROPOLITAIN (SOVERDI) POUR LA PLANTATION GLOBALE DE 23 550 ARBRES ET LA COORDINATION DES EFFORTS DE PLANTATION SUR LE DOMAINE PRIVÉ POUR LA PÉRIODE DU 15 AVRIL 2015 AU 31 DÉCEMBRE 2016 DANS LE CADRE DU PROJET DE PLAN D'ACTION CANOPÉE DE MONTRÉAL / APPROUVER UN PROJET DE CONVENTION À CET EFFET",CM15 0507,2015-05-01,1374318,0,0,1374318
MÉTA D'ÂME,100 % VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION,1154962001,"APPROUVER UN PROJET D'ACTE PAR LEQUEL LA VILLE VEND À L'ORGANISME A BUT NON LUCRATIF, MÉTA D'ÂME, À DES FINS DE CONSTRUCTION DE LOGEMENTS SOCIAUX ET COMMUNAUTAIRES, UN TERRAIN VAGUE SITUÉ DU CÔTÉ EST DU BOULEVARD PIE-IX, AU SUD DE LA 39E RUE, CONSTITUÉ DU LOT 2 213 911 DU CADASTRE DU QUÉBEC, DANS L'ARRONDISSEMENT DE VILLERAY - SAINT-MICHEL - PARC-EXTENSION, POUR LA SOMME DE 30 000 $, PLUS LES TAXES APPLICABLES.",CM15 0519,2015-04-30,0,130000,0,130000
SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE DE MONTRÉAL POINTE-À-CALLIÈRE,100 % VILLE,SERVICE DE LA CULTURE,DIRECTION,1144248004,"APPROUVER UNE CONVENTION ENTRE LA SOCIÉTÉ DU MUSÉE D'ARCHÉOLOGIE ET D'HISTOIRE DE MONTRÉAL POINTE-À-CALLIÈRE ET LA VILLE, RÉGLANT LES MODALITÉS DE L'EXPLOITATION D'UN MUSÉE DANS LES IMMEUBLES SITUÉS, AU 350 DE LA PLACE ROYALE ET AU 150 RUE SAINT-PAUL OUEST (6995,5 M2) POUR LA PÉRIODE DU 1ER JANVIER 2014 AU 31 DÉCEMBRE 2016 ET AUTORISER UNE DÉPENSE DE 5 390 600 $ EN 2014, DE 5 640 600 $ EN 2015 ET DE 5 890 600 $ EN 2016.",CM15 0525,2015-04-30,5640600,0,0,5640600
FONDATION DU STRAUP DE MONTRÉAL,100 % VILLE,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1156334001,"ACCORDER UN SOUTIEN FINANCIER ANNUEL DE 75 000 $ À LA FONDATION DU STARTUP DE MONTRÉAL POUR L'ORGANISATION DES ÉDITIONS 2015, 2016 ET 2017 DU FESTIVAL INTERNATIONAL DU STARTUP DE MONTRÉAL DANS LE CADRE DE L’ENVELOPPE DE 175 M$ DU GOUVERNEMENT DU QUÉBEC / APPROUVER UN PROJET DE CONVENTION À CET EFFET.",CM15 0526,2015-05-06,225000,0,0,225000
MONTRÉAL ARTS INTERCULTUREL,100 % VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION,1154069002,"APPROUVER LA CONVENTION DE RENOUVELLEMENT DU CONTRAT DE PRÊT DE LOCAUX PAR LEQUEL LA VILLE PRÊTE, À TITRE GRATUIT, À L’ORGANISME MONTRÉAL ARTS INTERCULTURELS, POUR UNE DURÉE DE 2 ANS, 6 MOIS ET 20 JOURS, À COMPTER DU 12 JUIN 2015, DES LOCAUX SITUÉS AU 368",CM15 0530,2015-05-01,0,496842,0,496842
FESTIVAL JUSTE POUR RIRE,100 % VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1151508001,"APPROUVER LES DIX PROTOCOLES DE SOUTIEN TECHNIQUE ESTIMÉS À 1 558 000 $ ET AUTORISER L'OCCUPATION DU DOMAINE PUBLIC À L'OCCASION DES FESTIVALS ET ÉVÉNEMENTS CULTURELS SUIVANTS: LES FRANCOFOLIES DE MONTRÉAL DU 11 AU 20 JUIN, LA FÊTE NATIONALE LE 23 JUIN,",CM15 0656,2015-06-17,0,0,500000,500000
FESTIVAL MODE & ET DESIGN,100 % VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1151508001,"APPROUVER LES DIX PROTOCOLES DE SOUTIEN TECHNIQUE ESTIMÉS À 1 558 000 $ ET AUTORISER L'OCCUPATION DU DOMAINE PUBLIC À L'OCCASION DES FESTIVALS ET ÉVÉNEMENTS CULTURELS SUIVANTS: LES FRANCOFOLIES DE MONTRÉAL DU 11 AU 20 JUIN, LA FÊTE NATIONALE LE 23 JUIN,",CM15 0656,2015-06-17,0,0,45000,45000
FESTIVAL NUITS D'AFRIQUE,100 % VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1151508001,"APPROUVER LES DIX PROTOCOLES DE SOUTIEN TECHNIQUE ESTIMÉS À 1 558 000 $ ET AUTORISER L'OCCUPATION DU DOMAINE PUBLIC À L'OCCASION DES FESTIVALS ET ÉVÉNEMENTS CULTURELS SUIVANTS: LES FRANCOFOLIES DE MONTRÉAL DU 11 AU 20 JUIN, LA FÊTE NATIONALE LE 23 JUIN,",CM15 0656,2015-06-17,0,0,60000,60000
FESTIVAL ZOOFEST,100 % VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1151508001,"APPROUVER LES DIX PROTOCOLES DE SOUTIEN TECHNIQUE ESTIMÉS À 1 558 000 $ ET AUTORISER L'OCCUPATION DU DOMAINE PUBLIC À L'OCCASION DES FESTIVALS ET ÉVÉNEMENTS CULTURELS SUIVANTS: LES FRANCOFOLIES DE MONTRÉAL DU 11 AU 20 JUIN, LA FÊTE NATIONALE LE 23 JUIN,",CM15 0656,2015-06-17,0,0,15000,15000
LA FÊTE NATIONALE,100 % VILLE,SERVICE DE LA CULTURE,DIRECTION ASSOCIÉE CINÉMA-FESTIVALS-ÉVÉNEMENTS,1151508001,"APPROUVER LES DIX PROTOCOLES DE SOUTIEN TECHNIQUE ESTIMÉS À 1 558 000 $ ET AUTORISER L'OCCUPATION DU DOMAINE PUBLIC À L'OCCASION DES FESTIVALS ET ÉVÉNEMENTS CULTURELS SUIVANTS: LES FRANCOFOLIES DE MONTRÉAL DU 11 AU 20 JUIN, LA FÊTE NATIONALE LE 23 JUIN,",CM15 0656,2015-06-17,0,0,50000,50000
