NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANDE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE 
PME MTL CENTRE-EST,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1165175015,ACCORDER UNE CONTRIBUTION FINANCIÈRE ANNUELLE TOTALE DE 250 000 $ À PME MTL CENTRE-EST RELATIVE AU FINANCEMENT DU CONSEIL D'ÉCONOMIE SOCIALE DE L'ILE DE MONTRÉAL DE 2016 À 2020 / APPROUVER LE PROJET DE CONVENTION À CET EFFET.,CG16 0346,2016-05-20,1250000,,,1250000
PME MTL EST-DE-L'ÎLE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1165175013,"APPROUVER LA RÉPARTITION DE L’ENVELOPPE 2016-2021 DÉDIÉE AUX SIX (6) ORGANISMES PME MTL / ACCORDER UNE CONTRIBUTION FINANCIÈRE ANNUELLE TOTALE DE 7 761 578,00 $ AUX SIX (6) ORGANISMES PME MTL AFIN D’OFFRIR L'ACCOMPAGNEMENT ET LE FINANCEMENT AUX ENTREPRISE",CG16 0347,2016-05-20,5194254,,,5194254
PME MTL CENTRE-EST,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1165175013,"APPROUVER LA RÉPARTITION DE L’ENVELOPPE 2016-2021 DÉDIÉE AUX SIX (6) ORGANISMES PME MTL / ACCORDER UNE CONTRIBUTION FINANCIÈRE ANNUELLE TOTALE DE 7 761 578,00 $ AUX SIX (6) ORGANISMES PME MTL AFIN D’OFFRIR L'ACCOMPAGNEMENT ET LE FINANCEMENT AUX ENTREPRISE",CG16 0347,2016-05-20,6983333,,,6983333
PME MTL CENTRE-VILLE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1165175013,"APPROUVER LA RÉPARTITION DE L’ENVELOPPE 2016-2021 DÉDIÉE AUX SIX (6) ORGANISMES PME MTL / ACCORDER UNE CONTRIBUTION FINANCIÈRE ANNUELLE TOTALE DE 7 761 578,00 $ AUX SIX (6) ORGANISMES PME MTL AFIN D’OFFRIR L'ACCOMPAGNEMENT ET LE FINANCEMENT AUX ENTREPRISE",CG16 0347,2016-05-20,11605213,,,11605213
PME MTL CENTRE-OUEST,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1165175013,"APPROUVER LA RÉPARTITION DE L’ENVELOPPE 2016-2021 DÉDIÉE AUX SIX (6) ORGANISMES PME MTL / ACCORDER UNE CONTRIBUTION FINANCIÈRE ANNUELLE TOTALE DE 7 761 578,00 $ AUX SIX (6) ORGANISMES PME MTL AFIN D’OFFRIR L'ACCOMPAGNEMENT ET LE FINANCEMENT AUX ENTREPRISE",CG16 0347,2016-05-20,6357400,,,6357400
PME MTL GRAND SUD-OUEST,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1165175013,"APPROUVER LA RÉPARTITION DE L’ENVELOPPE 2016-2021 DÉDIÉE AUX SIX (6) ORGANISMES PME MTL / ACCORDER UNE CONTRIBUTION FINANCIÈRE ANNUELLE TOTALE DE 7 761 578,00 $ AUX SIX (6) ORGANISMES PME MTL AFIN D’OFFRIR L'ACCOMPAGNEMENT ET LE FINANCEMENT AUX ENTREPRISE",CG16 0347,2016-05-20,3570910,,,3570910
PME MTL OUEST-DE-L'ÎLE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1165175013,"APPROUVER LA RÉPARTITION DE L’ENVELOPPE 2016-2021 DÉDIÉE AUX SIX (6) ORGANISMES PME MTL / ACCORDER UNE CONTRIBUTION FINANCIÈRE ANNUELLE TOTALE DE 7 761 578,00 $ AUX SIX (6) ORGANISMES PME MTL AFIN D’OFFRIR L'ACCOMPAGNEMENT ET LE FINANCEMENT AUX ENTREPRISE",CG16 0347,2016-05-20,5096780,,,5096780
PARTENARIAT DU QUARTIER DES SPECTACLES,100% AGGLO,SERVICE DE LA CULTURE,DIRECTION,1161103002,"APPROUVER LE PROJET DE CONVENTION ENTRE LA VILLE ET LE PARTENARIAT DU QUARTIER DES SPECTACLES VISANT À ACCORDER UN SOUTIEN FINANCIER SPÉCIAL, NON RÉCURRENT, D'UNE SOMME MAXIMALE DE 1,549 M$ POUR LA RÉALISATION DU PROJET LE GRAND PARCOURS DU QUARTIER DES S",CG16 0348,2016-05-20,1549000,,,1549000
FONDATION DE LA VISITE,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1163220001,"ACCORDER UN SOUTIEN FINANCIER DE 65 000 $ À FONDATION DE LA VISITE POUR LA RÉALISATION DU PROJET « LA FIERTÉ DES FAMILLES DANS LEUR QUARTIER ET UN QUARTIER FIER DE SES FAMILLES », POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION",CG16 0384,2016-06-23,65000,,,65000
ÇA BOUGE!,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1165008002,"ACCORDER UNE CONTRIBUTION FINANCIÈRE DE 367 550 $ À L'ORGANISME ÇA BOUGE! POUR LE PROJET « LA RUCHE MONTRÉAL » POUR LES ANNÉES 2016, 2017, 2018 ET 2019, DANS LE CADRE DE L'ENVELOPPE DE 175 M$ AVEC LE GOUVERNEMENT DU QUÉBEC POUR L'ANNÉE 2016 ET SUITE À UN ",CG16 0385,2016-06-23,367550,,,367550
CONSEIL DES INDUSTRIES BIOALIMENTAIRE DE L'ÎLE DE MONTRÉAL,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166352002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D'UN MAXIMUM DE 125 616 $ À DEUX ORGANISMES, POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, SUITE À L’APPEL DE PROJETS PRINTEMPS 2016 DU PRAM-EST, DANS LE CADRE DE L’ENTENTE DE 175 M$ AVEC LE GO",CG16 0402,2016-06-23,25000,,,25000
Y'A QUELQU'UN L'AUT'BORD DU MUR,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166352002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D'UN MAXIMUM DE 125 616 $ À DEUX ORGANISMES, POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, SUITE À L’APPEL DE PROJETS PRINTEMPS 2016 DU PRAM-EST, DANS LE CADRE DE L’ENTENTE DE 175 M$ AVEC LE GO",CG16 0402,2016-06-23,100616,,,100616
PME MTL CENTRE-VILLE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1160191002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 400 000 $ À PME MTL CENTRE-VILLE AFIN DE SUPPORTER LE PROJET ""CAPITAL INTELLIGENT MTL"" POUR LES ANNÉES 2016 À 2019, DANS LE CADRE DE L'ENTENTE DE 175 M$ AVEC LE GOUVERNEMENT DU QUÉBEC POUR LES ANNÉES 2016 ET ",CG16 0424,2016-06-23,400000,,,400000
TRIATHLON INTERNATIONAL DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1166340002,"ACCORDER UN SOUTIEN FINANCIER MAXIMAL ET NON RÉCURRENT DE 100 000 $ ET UN SOUTIEN EN BIENS ET SERVICES POUR UNE VALEUR MONÉTAIRE MAXIMALE DE 75 000 $ À TRIATHLON INTERNATIONAL DE MONTRÉAL, POUR LA TENUE D'UNE ÉTAPE DE LA COUPE DU MONDE DE TRIATHLON DE L'I",CG16 0425,2016-06-23,100000,,,100000
CENTRE DE RÉFÉRENCE DU GRAND MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165917002,ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 78 643 $ AU CENTRE DE RÉFÉRENCE DU GRAND MONTRÉAL POUR SOUTENIR LA MISE EN LIGNE ET LA GESTION D'UNE BANQUE DE DONNÉES SUR LES SERVICES COMMUNAUTAIRES MONTRÉALAIS ET LA PRODUCTION DE RAPPORTS STATISTIQUES / A,CG16 0456,2016-08-26,78643,,,78643
LA SOCIÉTÉ DE SAINT-VINCENT DE PAUL DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,40000,,,40000
DISPENSAIRE DIÉTÉTIQUE DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,25000,,,25000
REGROUPEMENT DES CUISINES COLLECTIVES DU QUÉBEC,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,22000,,,22000
JEUNESSE AU SOLEIL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,90000,,,90000
L'ASSOCIATION DES POPOTES ROULANTES DU MONTRÉAL MÉTROPOLITAIN,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,25000,,,25000
REGROUPEMENT DES MAGASINS-PARTAGE DE L'ÎLE DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,75000,,,75000
REGROUPEMENT DES MAGASINS-PARTAGE DE L'ÎLE DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,100000,,,100000
MOISSON MONTRÉAL INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,178000,,,178000
RESTO PLATEAU,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,20000,,,20000
"RÉPIT PROVIDENCE, MAISON HOCHELAGA-MAISONNEUVE",100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,65000,,,65000
MISSION BON ACCUEIL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1165066006,"ACCORDER UN SOUTIEN FINANCIER DE 665 000 $ AUX DIX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ ENTRE LE ",CG16 0468,2016-08-26,25000,,,25000
LA RUE DES FEMMES DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1166794006,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 255 686 $ AUX QUATRE ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, POUR LES ACTIVITÉS ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ SOCIALE ET D",CG16 0469,2016-08-26,102960,,,102960
L'ASSOCIATION D'ENTRAIDE LE CHAÎNON INC.,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1166794006,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 255 686 $ AUX QUATRE ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, POUR LES ACTIVITÉS ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ SOCIALE ET D",CG16 0469,2016-08-26,54318,,,54318
MISSION OLD BREWERY,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1166794006,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 255 686 $ AUX QUATRE ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, POUR LES ACTIVITÉS ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ SOCIALE ET D",CG16 0469,2016-08-26,50000,,,50000
PROJETS AUTOCHTONES DU QUÉBEC,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1166794006,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 255 686 $ AUX QUATRE ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2016, POUR LES ACTIVITÉS ET LE MONTANT INDIQUÉS EN REGARD DE CHACUN D'EUX, DANS LE CADRE DU BUDGET DU SERVICE DE LA DIVERSITÉ SOCIALE ET D",CG16 0469,2016-08-26,48408,,,48408
CYCLO-CLUB LACHINE,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1166340004,"ACCORDER UN SOUTIEN FINANCIER DE 250 000 $ À L’ORGANISME CYCLO-CLUB LACHINE POUR LA TENUE DES MARDIS CYCLISTES DE LACHINE POUR LES ANNÉES 2016, 2017 ET 2018 ET APPROUVER LE PROJET DE CONVENTION DE CONTRIBUTION À CETTE FIN. AUTORISER POUR L'ANNÉE 2016, UN ",CG16 0486,2016-08-26,250000,,,250000
FESTIVAL INTERNATIONAL DE JAZZ DE MONTRÉAL,100% AGGLO,SERVICE DE LA CULTURE,DIRECTION,1151103003,"APPROUVER LE PROJET DE CONVENTION ENTRE LA VILLE ET LE FESTIVAL INTERNATIONAL DE JAZZ DE MONTRÉAL VISANT À ACCORDER UN SOUTIEN FINANCIER SPÉCIAL, NON RÉCURRENT, D'UNE SOMME MAXIMALE DE 2,8 M$ $ POUR LA RÉALISATION DE TRAVAUX URGENTS DE CONSOLIDATION DES F",CG16 0487,2016-08-26,2800000,,,2800000
PME MTL GRAND SUD-OUEST,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166751001,ACCORDER UNE CONTRIBUTION FINANCIÈRE NON-RÉCURRENTE MAXIMALE DE 98 000 $ À PME MTL GRAND SUD-OUEST POUR LES ANNÉES 2016 ET 2017 AFIN D'ASSURER LA PROMOTION DE L'IMAGE DE MARQUE DE PME MTL ET D’EN ACCROÎTRE LA NOTORIÉTÉ DANS LE CADRE DE L’ENVELOPPE DE 175 ,CG16 0541,2016-09-30,98000,,,98000
ORGANISATION DU SOMMET MONDIAL DU DESIGN,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION,1161084002,APPROUVER LE PROJET D'ADDENDA MODIFIANT LA CONVENTION INTERVENUE ENTRE LA VILLE DE MONTRÉAL ET L'ORGANISATION DU SOMMET MONDIAL DU DESIGN (OSMD) À L'ÉGARD DES DATES DE REMISE DES DOCUMENTS ET DE LA DATE DE FIN DE LA CONVENTION,CG16 0546,2016-09-30,500000,,,500000
TRIATHLON INTERNATIONAL DE MONTRÉAL,100% AGGLO,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1166340002,"ACCORDER UN SOUTIEN FINANCIER ADDITIONNEL, EXTRAORDINAIRE ET NON RÉCURRENT DE 45 000 $ À TRIATHLON INTERNATIONAL DE MONTRÉAL, POUR LA TENUE D'UNE ÉTAPE DE LA COUPE DU MONDE DE TRIATHLON DE L'ITU 2016 À MONTRÉAL, POUR UN MONTANT TOTAL MAXIMAL DE 145 000 $ ",CG16 0574,2016-10-28,45000,,,45000
HAVICO MN,100% AGGLO,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DE L'HABITATION,1163278001,"APPROUVER L'OCTROI D'UNE SUBVENTION EXCEPTIONNELLE D'UN MONTANT MAXIMUM DE 750 000 $ À L'ORGANISME À BUT NON LUCRATIF (OBNL) HAVICO MN, HABITATION, VISION DE COMMUNAUTÉ À MONTRÉAL-NORD POUR LA RÉNOVATION MAJEURE À DES FINS DE LOGEMENT SOCIAL ET COMMUNAUTA",CG16 0581,2016-10-28,750000,,,750000
"MONTRÉAL, C'EST ÉLECTRIQUE",100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION INVESTISSEMENT ET DÉVELOPPEMENT,1163455001,"ACCORDER UNE CONTRIBUTION DE 1 750 000 $ À L'ORGANISME À BUT NON LUCRATIF MONTRÉAL, C'EST ÉLECTRIQUE POUR PROMOUVOIR L’ÉLECTRIFICATION DES TRANSPORTS EN MILIEU URBAIN. / APPROUVER UN PROJET D'ENTENTE À CET EFFET.",CG16 0583,2016-10-28,1750000,,,1750000
COMITÉ DE SURVEILLANCE LOUIS-RIEL,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166352004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D'UN MAXIMUM DE 639 820 $ À SIX ORGANISMES, POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, SUITE À L’APPEL DE PROJETS AUTOMNE 2016 DU PRAM-EST, DANS LE CADRE DE L’ENTENTE DE 175 M$ AVEC LE GOUVE",CG16 0621,2016-11-25,33270,,,33270
HORIZON CARRIÈRE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166352004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D'UN MAXIMUM DE 639 820 $ À SIX ORGANISMES, POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, SUITE À L’APPEL DE PROJETS AUTOMNE 2016 DU PRAM-EST, DANS LE CADRE DE L’ENTENTE DE 175 M$ AVEC LE GOUVE",CG16 0621,2016-11-25,80550,,,80550
COMMUNAUTIQUE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166352004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D'UN MAXIMUM DE 639 820 $ À SIX ORGANISMES, POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, SUITE À L’APPEL DE PROJETS AUTOMNE 2016 DU PRAM-EST, DANS LE CADRE DE L’ENTENTE DE 175 M$ AVEC LE GOUVE",CG16 0621,2016-11-25,240000,,,240000
SOCIÉTÉ QUÉBÉCOISE DE SPÉLÉOLOGIE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166352004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D'UN MAXIMUM DE 639 820 $ À SIX ORGANISMES, POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, SUITE À L’APPEL DE PROJETS AUTOMNE 2016 DU PRAM-EST, DANS LE CADRE DE L’ENTENTE DE 175 M$ AVEC LE GOUVE",CG16 0621,2016-11-25,35000,,,35000
CLUB ET ÉVÉNEMENTS HORIZON ROC,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166352004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D'UN MAXIMUM DE 639 820 $ À SIX ORGANISMES, POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, SUITE À L’APPEL DE PROJETS AUTOMNE 2016 DU PRAM-EST, DANS LE CADRE DE L’ENTENTE DE 175 M$ AVEC LE GOUVE",CG16 0621,2016-11-25,215000,,,215000
PME MTL CENTRE-EST,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166352004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D'UN MAXIMUM DE 639 820 $ À SIX ORGANISMES, POUR LE PROJET ET LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, SUITE À L’APPEL DE PROJETS AUTOMNE 2016 DU PRAM-EST, DANS LE CADRE DE L’ENTENTE DE 175 M$ AVEC LE GOUVE",CG16 0621,2016-11-25,36000,,,36000
OFFICE DES CONGRÈS ET DU TOURISME DU GRAND MONTRÉAL,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1165175017,ACCORDER À L'OFFICE DES CONGRÈS ET DU TOURISME DU GRAND MONTRÉAL UNE CONTRIBUTION FINANCIÈRE DE 140 000 $ AFIN DE CONTRIBUER À LA MISE EN OEUVRE D'UNE STRATÉGIE DE DÉVELOPPEMENT EN MATIÈRE DE TOURISME CULTUREL DANS LE CADRE DE L'ENTENTE SUR LE DÉVELOPPEME,CG16 0717,2016-12-22,140000,,,140000
MONTRÉAL INTERNATIONAL,100 % AGGLO,DIRECTION GÉNÉRALE,BUREAU DES RELATIONS INTERNATIONALES,1164834004,"ACCORDER À MONTRÉAL INTERNATIONAL, POUR L'ANNÉE 2016, UNE CONTRIBUTION FINANCIÈRE DE 500 000 $ POUR LES FINS DU FONDS DE DÉVELOPPEMENT INTERNATIONAL DE MONTRÉAL (FODIM) ET APPROUVER UN PROJET DE CONVENTION ENTRE LA VILLE ET CET ORGANISME ÉTABLISSANT LES M",CG16 0723,2016-12-22,500000,,,500000
SOCIÉTÉ RESSOURCES-LOISIRS DE POINTE-AUX-TREMBLES INC.,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1166352005,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT D’UN MAXIMUM DE 63 000 $ À LA SOCIÉTÉ RESSOURCES-LOISIRS DE POINTE-AUX-TREMBLES, SUITE À L’APPEL DE PROJET PRAM-EST AUTOMNE 2016, DANS LE CADRE DE L’ENTENTE DE 175 M$ AVEC LE GOUVERNEMENT DU QUÉBEC POUR SOUTENIR",CG17 0011,2017-01-27,63000,,,63000
PME MTL EST-DE-L'ÎLE,100% AGGLO,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,DIRECTION ENTREPRENEURIAT,1167386003,"ACCORDER À PME MTL EST-DE-L'ÎLE UNE CONTRIBUTION FINANCIÈRE NON RÉCURRENTE DE 159 899,20 $ DANS LE CADRE DU PARTAGE DES ACTIFS DU CENTRE LOCAL DE DÉVELOPPEMENT D'ANJOU / APPROUVER UN ADDENDA À L'ENTENTE DE DÉLÉGATION INTERVENUE ENTRE LA VILLE ET PME MTL E",CG17 0043,2017-02-24,159899,,,159899
