NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANDE DU LOYER,SOUTIEN TECHIQUE,VALEUR TOTALE
CORPORATION DE LA MAISON DU PRESSOIR (CITÉ HISTORIA),100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES GRANDS PARCS ET DU VERDISSEMENT,1133703001,"ACCORDER UN SOUTIEN FINANCIER SPÉCIAL NON RÉCURRENT TOTALISANT LA SOMME DE 5 000 $ À L'ORGANISME À BUT NON LUCRATIF LA CORPORATION DE LA MAISON DU PRESSOIR (CITÉ HISTORIA), À L'OCCASION DE SON 15E ANNIVERSAIRE D'EXISTENCE / APPROUVER LE PROJET DE PROTOCOLE D'ENTENTE À CET EFFET.",CE13 1413,2013-09-25,-,-,-,5000
CERCLE DE PAIX,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1130679004,ACCORDER UN SOUTIEN FINANCIER DE 5 000 $ À L'ORGANISME CERCLE DE PAIX POUR LA RÉALISATION DES ACTIVITÉS DU PACIFEST DU 17 SEPTEMBRE AU 21 SEPTEMBRE 2013.,CE13 1415,2013-09-20,-,-,-,5000
MU,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1134320005,"ACCORDER UN SOUTIEN FINANCIER SPÉCIAL ET NON RÉCURRENT DE 5 000 $ À L'ORGANISME MU POUR LA MURALE HOMMAGE À ALYS ROBI, SITUÉE 1676,RUE ONTARIO EST DANS L'ARRONDISSEMENT DE VILLE-MARIE, DANS LE CADRE DE LA SÉRIE DES BÂTISSEURS CULTURELS DE MONTRÉAL, EN PROVENANCE DU BUDGET DE FONCTIONNEMENT / APPROUVER UN PROJET DE CONVENTION À CETTE FIN",CE13 1416,2013-09-25,-,-,-,5000
ALLIANCE NUMÉRIQUE DU QUÉBEC,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1131508004,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 130 000 $ À SEPT ORGANISMES METTANT EN PLACE DES MARCHÉS ET VITRINES CULTURELS POUR LA PÉRIODE 2013 ET APPROUVER LES SEPT PROJETS DE CONVENTIONS À CETTE FIN.,CE13 1485,2013-09-25,-,-,-,20000
ASSOCIATION DES GALERIES D'ART CONTEMPORAIN (AGAC),100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1131508004,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 130 000 $ À SEPT ORGANISMES METTANT EN PLACE DES MARCHÉS ET VITRINES CULTURELS POUR LA PÉRIODE 2013 ET APPROUVER LES SEPT PROJETS DE CONVENTIONS À CETTE FIN.,CE13 1485,2013-09-25,-,-,-,15000
ASSOCIATION NATIONALE DES ÉDITEURS DE LIVRES (ANEL),100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1131508004,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 130 000 $ À SEPT ORGANISMES METTANT EN PLACE DES MARCHÉS ET VITRINES CULTURELS POUR LA PÉRIODE 2013 ET APPROUVER LES SEPT PROJETS DE CONVENTIONS À CETTE FIN.,CE13 1485,2013-09-25,-,-,-,15000
CONFÉRENCE INTERNATIONALE DES ARTS DE LA SCÈNE (CINARS),100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1131508004,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 130 000 $ À SEPT ORGANISMES METTANT EN PLACE DES MARCHÉS ET VITRINES CULTURELS POUR LA PÉRIODE 2013 ET APPROUVER LES SEPT PROJETS DE CONVENTIONS À CETTE FIN.,CE13 1485,2013-09-25,-,-,-,20000
FESTIVAL MONTRÉAL MUNDIAL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1131508004,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 130 000 $ À SEPT ORGANISMES METTANT EN PLACE DES MARCHÉS ET VITRINES CULTURELS POUR LA PÉRIODE 2013 ET APPROUVER LES SEPT PROJETS DE CONVENTIONS À CETTE FIN.,CE13 1485,2013-09-25,-,-,-,15000
M POUR MONTRÉAL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1131508004,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 130 000 $ À SEPT ORGANISMES METTANT EN PLACE DES MARCHÉS ET VITRINES CULTURELS POUR LA PÉRIODE 2013 ET APPROUVER LES SEPT PROJETS DE CONVENTIONS À CETTE FIN.,CE13 1485,2013-09-25,-,-,-,25000
MEDIALAB-MTL,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1131508004,ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 130 000 $ À SEPT ORGANISMES METTANT EN PLACE DES MARCHÉS ET VITRINES CULTURELS POUR LA PÉRIODE 2013 ET APPROUVER LES SEPT PROJETS DE CONVENTIONS À CETTE FIN.,CE13 1485,2013-09-25,-,-,-,20000
Association sportive des aveugles du Québec,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,1500,0,0,1500
Association canadienne de tennis,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,5000,0,0,5000
AKI Québec,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,10000,0,0,10000
Natation PPO 2008,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,50000,0,0,50000
Association canadienne de tennis,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,4000,0,0,4000
Association canadienne de tennis,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,4000,0,0,4000
Squash Québec,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,15000,0,0,15000
Club de patinage de vitesse Montréal-International,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,1000,0,0,1000
Club de patinage de vitesse Montréal-International,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,1000,0,0,1000
Club de patinage de vitesse Montréal-International,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,1000,0,0,1000
Collège d'enseignement général et professionnel John Abbott,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,4000,0,0,4000
Association québécoise de sport pour paralytiques cérébraux,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,3000,0,0,3000
Club Les citadins de l'UQAM,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,2000,0,0,2000
Fondation élite junior tennis IDS,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,4000,0,0,4000
La fédération de water-polo de Québec,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,3000,0,0,3000
L'association canadienne de canotage,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,3000,0,0,3000
Festival Urban Jam,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,9000,0,0,9000
Judo-Québec inc.,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DES SPORTS ET DE L'ACTIVITÉ PHYSIQUE,1136340002,"ACCORDER UN SOUTIEN FINANCIER TOTAL DE 129 500 $ À 14 ORGANISMES POUR 18 ÉVÉNEMENTS, DANS LE CADRE DE LA DEUXIÈME DATE DE TOMBÉE DU PROGRAMME DE SOUTIEN AUX ÉVÉNEMENTS SPORTIFS D'ENVERGURE INTERNATIONALE, NATIONALE ET MÉTROPOLITAINE 2013.",CE13 1548,2013-10-02,9000,0,0,9000
CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL (CHUM),100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1133751016,"APPROUVER LE PROJET DE CONVENTION ENTRE LA VILLE DE MONTRÉAL ET LE CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL (CHUM) RELATIVE AU FINANCEMENT PARTAGÉ ET À LA RÉALISATION DES ÉTUDES CONSTITUANT LA DOCUMENTATION PRÉALABLE REQUISE POUR L'ÉVALUATION DE L'INTÉRÊT PATRIMONIAL DU SITE DE L'HÔTEL-DIEU, À LAQUELLE INTERVIENNENT LES HOSPITALIÈRES DE SAINT-JOSEPH, EN VERTU DE LAQUELLE LA VILLE OCTROIE UNE AIDE FINANCIÈRE DE 40 000 $ DANS LE CADRE DE L'ENTENTE MCC - VILLE SUR LE DÉVELOPPEMENT CULTUREL ALORS QUE LE CHUM ET LES HOSPITALIÈRES S'ENGAGENT À CONTRIBUER ENSEMBLE POUR UNE SOMME DE 20 000 $.",CE13 1550,2013-10-02,40000,0,0,40000
CENTRE TURBINE,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1130015002,ACCORDER UN SOUTIEN FINANCIER DE 79 000 $ À CINQ ORGANISMES POUR LA RÉALISATION DE CINQ PROJETS DE MÉDIATION CULTURELLE DANS LE CADRE D'UN ENGAGEMENT PLURIANNUEL DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL.,CE13 1573,2013-10-04,15000,0,0,15000
COMPAGNIE MUSICALE LA NEF,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1130015002,ACCORDER UN SOUTIEN FINANCIER DE 79 000 $ À CINQ ORGANISMES POUR LA RÉALISATION DE CINQ PROJETS DE MÉDIATION CULTURELLE DANS LE CADRE D'UN ENGAGEMENT PLURIANNUEL DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL.,CE13 1573,2013-10-04,17000,0,0,17000
"JOE, JACK ET JOHN",100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1130015002,ACCORDER UN SOUTIEN FINANCIER DE 79 000 $ À CINQ ORGANISMES POUR LA RÉALISATION DE CINQ PROJETS DE MÉDIATION CULTURELLE DANS LE CADRE D'UN ENGAGEMENT PLURIANNUEL DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL.,CE13 1573,2013-10-04,17000,0,0,17000
MAISON QUÉBÉCOISE DU THÉÂTRE POUR L'ENFANCE ET LA JEUNESSE,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1130015002,ACCORDER UN SOUTIEN FINANCIER DE 79 000 $ À CINQ ORGANISMES POUR LA RÉALISATION DE CINQ PROJETS DE MÉDIATION CULTURELLE DANS LE CADRE D'UN ENGAGEMENT PLURIANNUEL DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL.,CE13 1573,2013-10-04,15000,0,0,15000
MISSION EXÉKO,100 % VILLE,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA CULTURE ET DU PATRIMOINE,1130015002,ACCORDER UN SOUTIEN FINANCIER DE 79 000 $ À CINQ ORGANISMES POUR LA RÉALISATION DE CINQ PROJETS DE MÉDIATION CULTURELLE DANS LE CADRE D'UN ENGAGEMENT PLURIANNUEL DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL.,CE13 1573,2013-10-04,15000,0,0,15000
CERIU,100 % VILLE,"SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT",DIRECTION DES INFRASTRUCTURES,1130699001,"ACCORDER, À MÊME LE BUDGET DE FONCTIONNEMENT, UN SOUTIEN FINANCIER NON RÉCURRENT DE 10 000 $, À L'ORGANISME CENTRE D'EXPERTISE ET DE RECHERCHE EN INFRASTRUCTURES URBAINES (CERIU) DANS LE CADRE DU CONGRÈS INFRA 2013, QUI SE TIENDRA DU 2 AU 4 DÉCEMBRE 2013, DONT LA THÉMATIQUE EST ''LA SOMME DE NOS COMPÉTENCES AU SERVICE DES CITOYENS''.",CE13 1574,2013-10-04,10000,0,0,10000
ACTION JEUNESSE DE L'OUEST-DE-ÎLE (AJOI),100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1135066006,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 10 738 $ AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2013, POUR LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ (2013 - 2015) / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE13 1575,2013-10-08,3000,0,0,3000
ALPHABÉTISATION SANS LIMITE,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1135066006,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 10 738 $ AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2013, POUR LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ (2013 - 2015) / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE13 1575,2013-10-08,2478,0,0,2478
CENTRE DES RESSOURCES COMMUNAUTAIRES DE L'OUEST DE L'ÎLE,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1135066006,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 10 738 $ AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2013, POUR LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ (2013 - 2015) / APPROUVER LES PROJETS DE CONVENTION À CET EFFET PROJET 1",CE13 1575,2013-10-08,2500,0,0,2500
CENTRE DES RESSOURCES COMMUNAUTAIRES DE L'OUEST DE L'ÎLE,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1135066006,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 10 738 $ AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR L'ANNÉE 2013, POUR LE MONTANT INDIQUÉ EN REGARD DE CHACUN D'EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D'INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ (2013 - 2015) / APPROUVER LES PROJETS DE CONVENTION À CET EFFET PROJET 2",CE13 1575,2013-10-08,2760,0,0,2760
ALTERGO,100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1136368001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 120 000 $ AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LES ANNÉES 2013 ET 2014, POUR LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D’INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ (2013 - 2015) ET EN LIEN AVEC LE PLAN D'ACTION MUNICIPAL POUR LES AÎNÉS 2013 - 2015 ÉLABORÉ DANS LE CADRE DE LA DÉMARCHE MADA / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE13 1596,2013-10-11,16000,0,0,16000
"ASSOCIATION QUÉBÉCOISE DE DÉFENSE DES DROITS DES PERSONNES RETRAITÉES ET PRÉRETRAITÉES, AQDR, AHUNTSIC - ST-LAURENT",100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1136368001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 120 000 $ AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LES ANNÉES 2013 ET 2014, POUR LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D’INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ (2013 - 2015) ET EN LIEN AVEC LE PLAN D'ACTION MUNICIPAL POUR LES AÎNÉS 2013 - 2015 ÉLABORÉ DANS LE CADRE DE LA DÉMARCHE MADA / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE13 1596,2013-10-11,24000,0,0,24000
"LES YMCA DU QUÉBEC, LES YMCA DU QUÉBEC, CENTRE Y DU PARC",100 % AGGLOMÉRATION,SERVICE DE LA QUALITÉ DE VIE,DIRECTION DE LA DIVERSITÉ SOCIALE,1136368001,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT TOTALISANT LA SOMME DE 120 000 $ AUX ORGANISMES CI-APRÈS DÉSIGNÉS, POUR LES ANNÉES 2013 ET 2014, POUR LE MONTANT INDIQUÉ EN REGARD DE CHACUN D’EUX, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D’INITIATIVES SOCIALES DANS LE CADRE DES ALLIANCES POUR LA SOLIDARITÉ (2013 - 2015) ET EN LIEN AVEC LE PLAN D'ACTION MUNICIPAL POUR LES AÎNÉS 2013 - 2015 ÉLABORÉ DANS LE CADRE DE LA DÉMARCHE MADA / APPROUVER LES PROJETS DE CONVENTION À CET EFFET",CE13 1596,2013-10-11,45000,0,0,45000
