Gentile_no;Toponyme;Type_entite;Gentile;Prononciation;Variante;Commentaire;bibliographie;Toponyme_red 
162;Cap-des-Rosiers;Village (de la ville de Gaspé);Capien, Capienne (1980);;;Commentaire : Le gentilé ne se révèle pas très particularisant, étant donné que tous les toponymes relatifs à des lieux habités qui comportent le constituant cap pourraient susciter une appellation identique. Le phénomène doit être rapproché de celui qui consiste à identifier comme insulaires, riverains ou communards les gens qui habitent un endroit dont le nom comprend les constituants respectifs île, rive ou commune.;;CapdesRosiers
163;Caplan;Municipalité;Caplinot (1980*), Caplinoise (2014*) ;;"Variante (s) : Capinaud; Capinot; Caplinois.";Commentaire : La substitution du i au second a du toponyme vise probablement une meilleure qualité euphonique du gentilé.;;Caplan
164;Cap-Rouge;Secteur (de la ville de Québec);Carougeois, Carougeoise (1974*);;Variante (s) : Cap-Rougien.;"Commentaire : La ville de Cap-Rouge n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Québec. Le nom « Cap-Rouge » a toutefois été préservé; il identifie un secteur de cette ville. Le gentilé a été formé sur une ancienne graphie Carouge que l'on retrouve, entres autres, dans un acte de baptême du 12 février 1673, dans un acte de mariage de 1680 et dans le Quebec Directory and Stranger's Guide to the City and Environs d'Alfred Hawkins, publié en 1844. En outre, sur une carte de 1709, dressée par Jean-Baptiste Decouagne, on relève « R.(ivière) du Cas Rouge », cette indication nous ayant été aimablement fournie par notre collègue Jean Poirier. Quant à l'origine de la disparition du p, on se perd en conjectures, bien qu'il puisse paraître plausible qu'elle provienne d'une prononciation particulière ancienne du toponyme. Rien ne permet de croire à un quelconque lien avec l'oiseau dénommé carouge. Le nom de lieu Carouge se retrouve, par contre, comme nom de faubourg en Suisse et a été attribué à quelques lieux-dits de France. ";;CapRouge
165;Cap-Saint-Ignace;Municipalité;Capignacien, Capignacienne (1986*);;;;;CapSaintIgnace
166;Cap-Santé;Ville;Capsantéen, Capsantéenne (1979*);;Variante (s) : Cap-Santéen.;;;CapSanté
167;Carignan;Ville;Carignanois, Carignanoise (1985*);;Variante (s) : Carignannois.;;;Carignan
1709;Carillon;Village (de la municipalité de Saint-André-d'Argenteuil);Carillonnais, Carillonnaise (1985*);;;"Commentaire : La municipalité du village de Carillon n'existe plus depuis le 29 décembre 1999, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Saint-André-d'Argenteuil. Le nom « Carillon » a toutefois été préservé; il identifie un village de cette municipalité.";;CARILLON
168;Carleton-sur-Mer;Ville;Carletonnais, Carletonnaise (1979*);;;Commentaire : En 2000, la ville de Carleton et la municipalité de la paroisse de Saint-Omer se regroupaient pour constituer la nouvelle ville de CarletonSaint-Omer. En 2005, la nouvelle ville prit le nom de Carleton-sur-Mer.;;Carleton
169;CascapédiaSaint-Jules;Municipalité;Cascapédiac, Cascapédiaque (1866);;;Commentaire : Les municipalités de Grande-Cascapédia et de Saint-Jules se sont regroupées pour former la municipalité de Cascapédia, le 2 juin 1999. Celle-ci est devenue la municipalité de CascapédiaSaint-Jules le 26 juin 2000.;;CascapédiaSaintJules
170;Causapscal;Ville;Causapscalien, Causapscalienne (1928*);;;;Bibliographie : THIBEAULT, Louise B. (1986), « Causapscal : affaires municipales. Toponymie », dans L'Avant-Poste Gaspésien, Amqui, 26 février, p. 14.;Causapscal
1852;Cayamant;Municipalité;Cayamantois, Cayamantoise (2010*);;;;;CAYAMANT
171;Centre-du-Québec;Région administrative;Centricois, Centricoise (1999);;;Commentaire : C'est à la suite d'un concours populaire tenu en 1999 dans la région, par la Société Saint-Jean-Baptiste du Centre-du-Québec, que ce gentilé a été reconnu.;;CentreduQuébec
172;Chambly;Ville;Chamblyen, Chamblyenne (début du XXe s.*);;"Variante (s) : Chamblien (1985); Chamblisard (1982); Chamblyien (1895); Chamblysard (1978); Chamblysien (1985).";;Bibliographie : AUCLAIRE, Armand (1980), « Chamblysards, Chamblysois, Chamblysiens ou Chamblyiens? », dans le Journal de Chambly, Chambly, 11 mars, p. 4. DUGAS, Jean-Yves (1985), « Pourquoi pas Chamblien, Chamblienne? », dans Le Journal de Chambly, Chambly, 13 août, p. 4.;Chambly
173;Chambord;Municipalité;Chambordais, Chambordaise (1957*);;;;;Chambord
174;Champlain;Municipalité;Champlainois, Champlainoise (1933*);;"Variante (s) : Champlainien; Champlainin; Champlenois (1915).";Commentaire : À l'occasion du tricentenaire de la municipalité en 1979, un organisme dénommé « Le Comité Trichamplainois » a été mis sur pied.;;Champlain
1847;Champneuf;Municipalité;Champneufois, Champneufoise (2010*);;;;;champneuf
175;Chandler;Ville;Chandlerois, Chandleroise (1986*);;;;;Chandler
176;Chapais;Ville;Chapaisien, Chapaisienne (1975*);;;;;Chapais
177;Charette;Municipalité;Charettois, Charettoise (1986*);;;;Bibliographie : ANONYME (1986), « Échos municipaux. Charette », dans L'Écho de Louiseville, Louiseville, 19 février, p. 14.;Charette
178;Charlemagne;Ville;Charlemagnois, Charlemagnoise (1983*);;"Variante (s) : Charlemagnais; Charlemenois.";;Bibliographie : VAILLANCOURT, Alain (1986), « Muni-chroniques. Charlemagnois et       Charlemagnoises », dans L'Avenir de l'Est, Montréal, 11 mars, p. 10.;Charlemagne
179;Charlesbourg;Arrondissement (de la ville de Québec);Charlesbourgeois, Charlesbourgeoise (1876*);;;"Commentaire : La ville de Charlesbourg n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Québec. Le nom « Charlesbourg » a toutefois été préservé; il identifie un arrondissement de cette ville.";;Charlesbourg
180;Charlevoix;Région;Charlevoisien, Charlevoisienne (1876);;"Variante (s) : Carlovisien; Carolivicien; Carolivocien; Carolovicien.";Commentaire : Toutes les variantes entretiennent un certain lien avec l'équivalent latin de Charles, Carolus, parfois réduit, comme en ancien français, à Carle.;;Charlevoix
181;Charlevoix-Est;MRC;Charlevoisien-de-l'Est, Charlevoisienne-de-l'Est (1986*);;;;;CharlevoixEst
182;Charny;Secteur (de la ville de Lévis);Charnycois, Charnycoise (1984*);[CHAR-NI-KOI/KOIZ];"Variante (s) : Charnicois; Charnien (1928).";"Commentaire : La ville de Charny n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Lévis. Le nom « Charny » a toutefois été préservé; il identifie un secteur de cette ville. Bien que la forme ancienne Charnien ait été relativement en usage, celle-ci entretient une proximité gênante avec le terme charnier, d'où le désir de certains citoyens de procéder à son remplacement par Charnycois. Ce gentilé identifie déjà les citoyens français d'une ville homonyme de l'Yonne et est tiré morphologiquement de la forme latine du toponyme Charny, soit Carniacum, Carnacium ou Carnacum, avec conservation de l'y de la forme actuelle du nom de la ville.  Le passage de K (noté C) à CH devant A demeure tout à fait classique en phonétique historique. À l'été de 1986, les autorités municipales locales ont institué la Fête des Charnycois, fête populaire établie sur une base annuelle. ";;Charny
183;Chartierville;Municipalité;Chartiervillois, Chartiervilloise (1986*);;;;;Chartierville
184;Châteauguay;Région;Châteauguois, Châteauguoise (1983);;;Commentaire : L'appellation « Châteauguay » (Région), n'a pas été officialisée à ce jour par la Commission de toponymie.;;Châteauguay
185;Châteauguay;Ville;Châteauguois, Châteauguoise (1979*);;"Variante (s) : Châteauguayen; Châtelois.";;Bibliographie : SYLVESTRE, Roger (1984), Aperçu historique sur Châteauguay, Châteauguay, Centre culturel Vanier,  17p.;Châteauguay
186;Château-Richer;Ville;Château-Richérois, Château-Richéroise (1993*);;;;Bibliographie : TIRMAN, Jean-Louis (1983), « Qui sommes-nous? », dans Le Parchemin, vol. 5, no 8, Château-Richer, juin, s. p. TIRMAN, Jean-Louis (1984), « Qui serons-nous? », dans Le Parchemin, vol. 6, no 4, Château-Richer, janvier-février, s.p.;ChâteauRicher
187;Chazel;Municipalité;Chazelois, Chazeloise (1980*);;;Commentaire : La municipalité de la paroisse de Saint-Janvier est devenue la municipalité de Chazel, le 9 février 1991.;;Chazel
188;Chénéville;Municipalité;Chénévillois, Chénévilloise (1981*);;;;;Chénéville
189;Chertsey;Municipalité;Chertsois, Chertsoise (2000*);;;Commentaire : La municipalité de Chertsey est issue du regroupement de la municipalité du canton de Chertsey et de la municipalité de la paroisse de Lac-Paré, le 13 novembre 1991. ;;CHERTSEY
190;Chester-Est;Municipalité de canton;Voir Sainte-Hélène-de-Chester (Municipalité);;;;;ChesterEst
191;Chesterville;Municipalité;Chestervillois, Chestervilloise (1986*);;;;;Chesterville
192;Chibougamau;Ville;Chibougamois, Chibougamoise (1974*);;Variante (s) : Chibougamauite (1956).;;;Chibougamau
193;Chibougamau-Chapais;Région;Chibougamo-Chapien, Chibougamo-Chapienne (1982);;;Commentaire : La terminaison -o provient de composés savants comme néo-latin, pseudo-prophète, etc. où celle-ci est normale.  En français moderne, on a attribué cette même terminaison à des vocables comme anglo-canadien, russo-japonais, helveto-allemand,... L'appellation « Chibougamau-Chapais » n'a pas été officialisée à ce jour par la Commission de toponymie.;;ChibougamauChapais
194;Chicoutimi;Arrondissement (de la ville de Saguenay);Chicoutimien, Chicoutimienne (1709*);;"Variante (s) : Chekoutimien (1744); Chékoutimien (1913); Chicoutimeux (1894); Chicoutimiaux (1894); Chicoutiminois (1896); Chicoutimois (1894).";"Commentaire : La ville de Chicoutimi n'existe plus depuis le 18 février 2002, par suite d'un regroupement municipal. son territoire fait maintenant partie de la ville de Saguenay. Le nom « Chicoutimi » a toutefois été préservé; il identifie un arrondissement de cette ville. Le gentilé le plus ancien fait référence à un groupe amérindien.  La question de la dénomination des citoyens de Chicoutimi a provoqué d'orageux débats, surtout à la fin du XIXe s. ";Bibliographie : RUTHBAN, Denis [pseudonyme d'Adjutor Rivard], (1894), « Chicoutimois vs Chicoutimien » dans Alma Mater, Chicoutimi, vol. 11, no 21, 29 décembre, p. 84-85. TREMBLAY, Victor (1943), « Chicoutimien » dans Bulletin des recherches historiques, Lévis, no 49, p. 172-175.;Chicoutimi
195;Chisasibi;Village cri et Municipalité de village cri;Chisasibien, Chisasibienne (1981);[CHI-SA-SI-BYIN/BYENNE];Variante (s) : Chisaasiipiyiyuw (1989) (forme naskapie);Commentaire : L'ancien nom des lieux, Réserve de Fort George, a donné naissance au gentilé qui a pour sens : « un indien de Fort George ». Le redoublement du a et du i reflète la longueur de la voyelle. Le cri iyiyou, « Indien » a pour pluriel iyiyouch et pour variantes eyinew, eenouch, alors qu'en naskapi, iiyuw signifie : « un autochtone, une personne indienne ».;;Chisasibi
197;Chute-aux-Outardes;Municipalité de village;Outardois, Outardoise (1986*);;;;;ChuteauxOutardes
2952;Chute-Saint-Philippe;Municipalité;Philichutois, Philichutoise (2022*);;;;;CHUTESAINTPHILIPPE
1711;Clarenceville;Municipalité;Clarencevillois, Clarencevilloise (1986*);;;;;CLARENCEVILLE
198;Clarendon;Municipalité ;Clarendonian (1980) (forme anglaise);;;;;Clarendon
199;Cléricy;Secteur (de la ville de Rouyn-Noranda);Clériçois, Clériçoise (1981);;;"Commentaire : La municipalité de Saint-Joseph-de-Cléricy est devenue la municipalité de Cléricy, le 11 juillet 1998. Celle-ci n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Rouyn-Noranda. Le nom « Cléricy » a toutefois été préservé; il identifie un secteur de cette ville.";;Cléricy
200;Clermont;Municipalité de canton (MRC d'Abitib-Ouest);Clermontain, Clermontaine (1986*);;;;;Clermont
201;Clermont;Ville (MRC de Charlevoix-Est);Clermontois, Clermontoise (1980*);;"Variante (s) : Clermontain (1978); Clermontais.";Commentaire : Monseigneur Félix-Antoine Savard a composé un conte-souvenir dédié aux gens de Clermont exclusivement et intitulé « Conte pour les Clermontois » (ANONYME (1981), Livret-souvenir de nos fêtes du 50e, Clermont 1931-1981, Clermont, p. 35-39).;;Clermont
202;Clerval;Municipalité;Clervalois, Clervaloise (1986*);;;;;Clerval
2925;Cleveland;Municipalité de canton;Clevelandais, Clevelandaise (2016*);;;;;Cleveland
203;Clifton;Canton;Cliftonnois, Cliftonnoise (1994);;;;;Clifton
204;Cloridorme;Municipalité de canton;Cloridormien, Cloridormienne (1986*);;;;;Cloridorme
1848;Cloutier;Secteur (de la ville de Rouyn-Noranda);Cloutellois, Cloutelloise (2010*);;;;;cloutier
205;Coaticook;MRC;Coaticookois, Coaticookoise (1986*);;;;;Coaticook
206;Coaticook;Ville;Coaticookois, Coaticookoise (1976*);;;;;Coaticook
207;Colombier;Municipalité;Colombien, Colombienne (1986*);;Variante (s) : Colombiérois.;;;Colombier
208;Colombourg;Secteur (de la ville de Macamic);Colombourgeois, Colombourgeoise (1986*);;;"Commentaire : La municipalité de Colombourg n'existe plus depuis le 6 mars 2002, par suite d'un regroupement municipal. Son territoire faitmaintenant partie de la ville de Macamic. Le nom « Colombourg » a toutefois été préservé; il identifie un secteur de cette ville.";;Colombourg
209;Compton;Municipalité;"Comptonois, Comptonoise (1986*); Comptonnian (1983) (forme anglaise)";;"Variante (s) : Comptonien (1981); Comptonnois (1986*).";Commentaire : La municipalité de Compton est issue du regroupement de la municipalité du village de Compton et la municipalité du canton de Compton, le 22 juin 1994, ainsi que de la municipalité de Compton Station, le 8 décembre 1999. Le gentilé Comptonois avait été adopté par la municipalité du canton de Compton en 1986. Dans ce cas, le redoublement de la consonne n semble facultatif, car on observe le recours à l'une ou l'autre formes dans des recueils de gentilés de France. ;;Compton
1812;Compton;Municipalité de village;Voir Compton (Municipalité);;;;;Compton
1813;Compton;Municipalité de canton;Voir Compton (Municipalité);;;;;Compton
210;Compton Station;Municipalité;Voir Compton (Municipalité);;;;;Compton
211;Contrecur;Ville;Contrecurois, Contrecuroise (1978);;;;;Contrecur
212;Cookshire;Secteur (de la ville de Cookshire-Eaton);Cookshirois, Cookshiroise (1986*);;;"Commentaire : La ville de Cookshire n'existe plus depuis le 24 juillet 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Cookshire-Eaton. Le nom « Cookshire » a toutefois été préservé; il identifie un secteur de cette ville.";;Cookshire
213;Coteau-du-Lac;Ville;Coteaulacois, Coteaulacoise (1994*);;;Commentaire : La municipalité de Coteau-du-Lac est devenue la ville de Coteau-du-Lac, le 13 octobre 2007.;;CoteauduLac
214;Coteau-Landing;Secteur (de la municipalité des Coteaux);Coteau-Landais, Coteau-Landaise (1986*);;;"Commentaire : La municipalité du village de Coteau-Landing et celle du village de Coteau-Station se sont regroupées pour former la municipalité des Coteaux le 18 mai 1994. Le nom « Coteau-Landing » a toutefois été préservé; il identifie un secteur de cette municipalité.";;CoteauLanding
215;Coteau-Station;Secteur (de la municipalité des Coteaux);Stationnois, Stationnoise (1986*);;;"Commentaire : La municipalité du village de Coteau-Station n'existe plus depuis le 18 mai 1994, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité des Coteaux. Le nom « Coteau-Station » a toutefois été préservé; il identifie un secteur de cette municipalité.";;CoteauStation
216;Côte-des-Neiges;Quartier (de la ville de Montréal);Côte-des-Neigien, Côte-des-Neigienne (1986);;"Variante (s) : Côtedeneigien (1954); Côte-des-Neigeois; Neige-Côtier.";;Bibliographie : ANONYME (1986), « Un gentilé pour CDN », dans Côte-des-Neiges,    Montréal, 28 mai.;CôtedesNeiges
217;Côte-du-Sud;Région;Sudcôtois, Sudcôtoise (1990);;Variante (s) : Côtesudois (1990).;Commentaire : Le dérivé met à profit le phénomène de l'inversion des constituants, assez répandu en matière de gentilés, comme dans Francilien (Île-de-France), Louperivois (Rivière-du-Loup), Magnymontois (Montmagny), Nord-Côtier (Côte-Nord)...;;CôteduSud
218;Côte-Nord;Région administrative;"Nord-Côtier, Nord-Côtière (1961); Coaster (1969) (forme anglaise)";;"Variante (s) : Côtenordien; Côtier; Nordcôtien; Nordcôtier; Nord-Côtois; Nordien.";"Commentaire : Malgré les efforts déployés par un quotidien pour substituer le gentilé Nordcôtien à Nord-Côtier, cette dernière forme s'est imposée très nettement, probablement sur le modèle de côte  côtier.  Vers 1970, un journal portant le titre Le Côtier des Escoumins desservait une bonne partie de la Côte-Nord; un autre du nom du Côtier/The Coaster a également existé sans que nous puissions fixer à quelle époque précise.  La dénomination courante de la région, la Côte, a vraisemblablement inspiré ces dernières appellations.";Bibliographie : ANONYME (1981), « Nord-Côtier, Nordcôtien », dans Le Nordic, Baie-Comeau, 27 novembre, p. 3. HAMELIN, Louis-Edmond (1977), Le Nord et son langage, t. 1, Québec,  Office de la langue française, coll. « Néologie en marche, série b : langues de spécialités », no 5, p. 85.;CôteNord
219;Côte-Nord-du-Golfe-du-Saint-Laurent;Municipalité;Golfien, Golfienne (1986*);;;;;CôteNordduGolfeSaintLaurent
220;Côte-Saint-Luc;Ville;"Côte Saint-Luçois, Côte Saint-Luçoise (1989); Côte Saint-Lucer (1981) (forme anglaise)";;"Variante (s) : Côte-Saint-Lucer (1984) (forme anglaise); Côte-Saint-Luçois (1992).";Commentaire : Manifestement, la présence de deux traits d'union dans le toponyme suscite certaines hésitations orthographiques. ;;CôteSaintLuc
221;Coudres, Île aux;Île;Coudrien, Coudrienne (1983);;"Variante (s) : Îlien; Insulaire (1880).";Commentaire : Les deux variantes signalées ne constituent pas au sens strict des gentilés, car il s'agit de termes de la langue générale qui désignent toute personne qui vit sur une île. Elles sont mentionnées en raison de leur fréquence, notamment pour insulaire, et parce que, dans certains cas, on leur attribue un rôle de quasi-gentilé. Le blason populaire fort connu Marsouins qui caractérise les gens de l'île demeure présenté à quelques reprises comme la dénomination neutre des gens de l'île. ;;Coudres
222;Coulonge, Avenue de;Avenue (de la ville de Québec);Coulongeois, Coulongeoise (1992);;;;;Coulonge
223;Courcelles;Municipalité ;Courcellois, Courcelloise (1982*);;Variante (s) : Courcellien (1953).;Commentaire : La Municipalité de Courcelles et la Municipalité de Saint-Évariste-de-Forsyth se sont regroupées, le 1er janvier 2024, pour former la Municipalité de CourcellesSaint-Évariste. ;Bibliographie : ANONYME (1986), Sans titre, dans Le Progrès de Thetford Mines, Thetford Mines, 19 février.;COURCELLES
224;Cournoyer, Seigneurie de;Seigneurie;Cournoyen, Cournoyenne (1992);;;Commentaire : Jadis, la municipalité de Saint-Marc-sur-Richelieu resortissait à la seigneurie de Cournoyer, lien marqué par l'appellation de Saint-Marc-de-Cournoyer qui a eu cours au milieu du XIXe siècle.;;Cournoyer
225;Courville;Secteur (de la ville de Québec);Courvillien, Couvillienne (1955);;;Commentaire : La ville de Courville a fusionné avec celle de Beauport le 1er janvier 1976. La ville de Beauport n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Québec.;;COURVILLE
226;Cowansville;Ville;Cowansvillois, Cowansvilloise (1976);;;;;Cowansville
227;Crabtree;Ville;Crabtreen, Crabtreenne (1995*);;;;;CRABTREE
228;Danville;Ville;Danvillois, Danvilloise (1983);;;Commentaire : Un journal communautaire local a pour titre Le Danvillois (1986).;;Danville
229;D'Autray;MRC;D'Autréen, D'Autréenne (1986*);;;;;DAutray
230;Daveluyville;Ville;Daveluyvien, Daveluyvienne (1978);;;Commentaire : Étant donné la facture du nom de la ville, une forme comme Daveluyvillien, ienne ou Daveluyvillois, oise paraîtrait davantage indiquée, quoique le gentilé en usage demeure possible morphologiquement. ;Bibliographie : ANONYME (1986) « Appellation », dans Le Nouvelliste, Trois-Rivières 22 février. DOLAN-CARON, Rita (1986), « Affaires municipales. Nicolet », dans Le Nouvelliste, Trois-Rivières, 12 février, p. 46.;Daveluyville
238;De Quen-Nord;Secteur (de la municipalité de Saint-François-de-Sales);Dequenais, Dequenaise (1973);;;;;DeQuenNord
231;Deauville;Secteur (de la ville de Sherbrooke);Deauvillois, Deauvilloise (1978*);;;"Commentaire : La municipalité de Deauville n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Sherbrooke. Le nom « Deauville » a toutefois été préservé; il identifie un secteur de cette ville.";;Deauville
232;Dégelis;Ville;Dégelisien, Dégelisienne (1977*);;;;;Dégelis
233;Déléage;Municipalité;Déléageois, Déléageoise (1986*);;;;Bibliographie : M(ILLARD), C(harles) (1986), « Si vous parlez des gens de Déléage, dites : « Déléageois », dans la Gazette, Maniwaki, 9 juin, p. 3.;Déléage
234;Delisle;Secteur (de la ville d'Alma);Delislois, Delisloise (1984);;Variante (s) : Mistoukois.;"Commentaire : La municipalité de Delisle n'existe plus depuis le 21 février 2001, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville d'Alma. Le nom « Delisle » a toutefois été préservé; il identifie un secteur de cette ville. Delisle a été constituée pour une bonne part du territoire de la municipalité de Saint-Cur-de-Marie, auparavant dénommée Mistook ou Mistouk, du nom de la rivière Mistook qui la borde. Les gens sont encore dénommés ou surnommés couramment Mistoukois. ";;Delisle
235;Delson;Ville;Delsonnien, Delsonnienne (1986*);;;;;Delson
236;Demoiselles, Les;Collines;Demoisellien, Demoisellienne (1985);;;Commentaire : On désigne ainsi les gens qui habitent autour de ces entités géographiques.;;Demoiselle
237;Denholm;Municipalité ;Denholmien, Denholmienne (1986*);;;;;Denholm
244;Des Ruisseaux;Ancienne municipalité;Des Ruissois, Des Ruissoises (1991*);;Variante (s) : Desruisselien (1981).;Commentaire : La municipalité de Des Ruisseaux n'existe plus depuis le 8 janvier 2003, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Mont-Laurier. Le nom « Des Ruisseaux » (Municipalité) n'a plus de statut officiel à la Commission de toponymie. La facture quelque peu savante de Desruisselien a incité les autorités municipales de Des Ruisseaux à procéder à l'adoption d'une forme plus près de la dénomination municipale, malgré les complications graphiques soulevées lorsqu'il s'agit de l'adjectif, des ruissois. ;;DesRuisseaux
239;Desbiens;Ville;Desbienois, Desbienoise (1978*);;;;;Desbiens
240;Deschaillons-sur-Saint-Laurent;Municipalité;Deschaillonnais, Deschaillonnaise (1986*);;;;;DeschaillonssurSaintLaurent
241;Deschambault;Secteur (de la municipalité de Deschambault-Grondines);Deschambaultien, Deschambaultienne (1979) ;[DÉ-CHAN-BO-TYIN/TYENNE];;"Commentaire : La municipalité du village de Deschambault et la municipalité de la paroisse de Saint-Joseph-de-Deschambault se sont regroupées pour constituer la municipalité de Deschambault en 1989. Celle-ci n'existe plus depuis le 27 février 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la municipalité de Deschambault-Grondines. Le nom « Deschambault » a toutefois été préservé; il identifie un secteur de cette municipalité.";;Deschambault
1817;Deschambault;Municipalité de village;Voir Deschambault (Secteur);;;;;Deschambault
242;Deschênes;Secteur (de la ville de Gatineau);Deschener (1986) (forme anglaise);;;;;Deschênes
243;Desjardins;Arrondissement (de Lévis);Desjardinois, Desjardinoise (1986*);;;Commentaire : L'arrondissement de Desjardins a succédé à la MRC de Desjardins à la suite de la création de la nouvelle ville de Lévis, le 1er janvier 2002.;;Desjardins
245;Destor;Secteur (de la ville de Rouyn-Noranda);Destorois, Destoroise (1986*);;;"Commentaire : La municipalité de Destor n'existe plus depuis 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Rouyn-Noranda. Le nom « Destor » a toutefois été préservé; il identifie un secteur de cette ville.";;Destor
246;Deux-Montagnes;Ville;Deux-Montagnais, Deux-Montagnaise (1980);;;;;DeuxMontagnes
247;Disraeli;Municipalité de paroisse;Disraélois, Disraéloise (1986*);;;Commentaire : Se reporter à la ville de Disraeli pour l'explication quant à la présence de l'accent.;;Disraeli
248;Disraeli;Ville;Disraelois, Disraeloise (1982*);[DIS-RA-É-LOI/LOIZ];Variante (s) : Disraélois.;Commentaire : La graphie qui ne comporte pas d'accent se distribue presque à égalité avec la forme qui en comprend un, mais présente l'avantage de mieux refléter la dénomination exacte de la ville. À noter que le nom de Benjamin Disraeli (1804-1881), homme politique anglais dont le patronyme a été attribué à cette municipalité de la région de la Chaudière-Appalaches, se rencontre fréquemment affublé d'un accent ou encore d'un tréma sur le e.;;Disraeli
249;Dixville;Municipalité;Dixvillois, Dixvilloise (1986*);[DI-VI-LOI/LOIZ];;;;Dixville
250;Dolbeau;Secteur (de la ville de Dolbeau-Mistassini);Dolbien, Dolbienne (1978*);;;"Commentaire : La ville de Dolbeau n'existe plus depuis le 17 décembre 1997, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Dolbeau-Mistassini. Le nom « Dolbeau » a toutefois été préservé; il identifie un secteur de cette ville. Gentilé très répandu et couramment utilisé dans la presse régionale. ";Bibliographie : ROY, Michel (1979), « Les citoyens de Dolbeau sont des Dolbiens », dans Le Point, Dolbeau, 17 janvier, p. 14.;Dolbeau
251;Dolbeau-Mistassini;Ville;Dolmissois, Dolmissoise (2000*);;;Commentaire : La ville de Dolbeau-Mistassini est issue du regroupement des villes de Dolbeau et de Mistassini, le 17 décembre 1997.;;DolbeauMistassini
252;Donnacona;Ville;Donnaconien, Donnaconienne (1981);;;;;Donnacona
253;Dorchester;Ancienne division de recensement;Dorchestois, Dorchestoise (1960);;;;;Dorchester
254;Dorion;Ancienne ville;Dorionnais, Dorionnaise (1983*);;;Commentaire : La ville de Dorion n'existe plus depuis le 16 mars 1994, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Vaudreuil-Dorion. L'appellation « Dorion » (Ville) n'a plus de statut officiel à la Commission de toponymie.;;Dorion
255;Dorval;Ville;Dorvalois, Dorvaloise (1984);;;;;Dorval
256;Dosquet;Municipalité;Dosquetois, Dosquetoise (1986*);;;Commentaire : La municipalité de la paroisse de Saint-Octave-de-Dosquet est devenue la municipalité de Dosquet, le 8 juin 1996.;;Dosquet
257;Douglastown;Village (de la ville de Gaspé);Douglastownien, Douglastownienne (1983);;;;;Douglastown
258;Douville;Secteur (de la ville de Saint-Hyacinthe);Douvillois, Douvilloise (1989);;;;;Douville
259;Drummondville;Ville;"Drummondvillois, Drummondvilloise (1931*); Drummondviller (1956) (forme anglaise)";;;;Bibliographie : F(ORCIER), R(aynald) (1986) « Conseil en bref. Gentilé officiel », dans La Parole, Drummondville, 20 février, p. 9.;Drummondville
260;Dubuisson;Secteur (de la ville de Val-d'Or);Dubuissonnais, Dubuissonnaise (1985*);;;"Commentaire : La municipalité de Dubuisson n'existe plus depuis le 1er janvier 2002, par suite d'un regroupement municipal. Son territoire fait maintenant partie de la ville de Val-d'Or. Le nom « Dubuisson » a toutefois été préservé; il identifie un secteur de cette ville.";Bibliographie : ANONYME (1985), « Dubuissonnais », dans L'Écho abitibien, Val-d'Or, 2 avril, p. 25;Dubuisson
261;Dudswell;Municipalité;Dudswellois, Dudswelloise (1985*);[DODZ-WEL-LOI/LOIZ];;;;Dudswell
262;Duhamel;Municipalité;Duhamellois, Duhamelloise (1981*);;;;;Duhamel
263;Duhamel-Ouest;Municipalité;Duhamellois-de-l'Ouest, Duhamelloise-de-l'Ouest (1986*);;;"Commentaire : En dépit de son ampleur, ce gentilé s'inscrit dans une optique de correction linguistique puisque les spécialistes déconseillent l'utilisation de la structure permutée comme dans Centre-Américain, Nord-Vietnamien, Sud-Coréen, etc., laquelle est considérée comme un anglicisme; on devrait dire Américain du Centre, Vietnamien du Nord, Coréen du Sud. Cependant, la présence de traits d'union entres les constituants assure au gentilé une plus grande cohésion, une meilleure unité syntagmatique.";;DuhamelOuest
2939;Dundee;Municipalité de canton;"Dundier, Dundière (2018*); Dundian (2018*) (forme anglaise)";;;;;DUNDEE
264;Dunham;Ville;Dunhamien, Dunhamienne (1986*);;;;;Dunham
265;Dunkin;Hameau (de la municipalité du canton de Potton);Dunkinite (1977) (forme anglaise);;;;;Dunkin
266;Duparquet;Ville;Duparquetois, Duparquetoise (1986*);;;;;Duparquet
1820;Dupuy;Municipalité;Dupuyen, Dupuyenne (2007*);;;;;Dupuy
