point_echantillonnage,plan_eau,administration,nom,descrip_longue,programme,sous_prog,station_nom,date_heure,raison_annulation,temperature,conductivite,pH,signe,coliformes_fecaux,prec_0_mm,prec_1_mm,prec_2_mm,prec_tot_60h,meteo,tournee,latitude,longitude,x,y
"FSL-300","Fleuve Saint-Laurent","Mercier-Hochelaga-Maisonneuve","Parc de la Prom.-Bellerive (amont)","parc de la Promenade-Bellerive, inters. rue Bellerive et av. Mercier","Q","Q","FSL-300   Parc de la Prom.-Bellerive (amont)",2024-07-02T09:58:48,,"         21.6",243,7.8,"=",7,0,0,0,0,1,8,"45.5953023914654","-73.5079133271151",304182.6157,5050599.7735
"FSL-340","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Fort-de-Pointe-aux-Trembles","parc du Fort-de-Pointe-aux-Trembles, inters. rue Bellerive et boul. Saint-Jean-Batiste","Q","Q","FSL-340   Parc du Fort-de-Pointe-aux-Trembles",2024-07-02T09:20:58,,"         21.6",237,7.8,"=",13,0,0,0,0,1,8,"45.6398647214273","-73.4872893907283",305790.8749,5055552.1551
"FSL-380","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Rampe de mise à l'eau (36e av.)","rampe de mise à l'eau, rue Notre-Dame E., entre la 36e av. et la 39e av.","Q","Q","FSL-380   Rampe de mise à l'eau (36e av.)",2024-07-02T09:03:33,,"         21.8",238,7.7,"=",36,0,0,0,0,1,8,"45.6587322474231","-73.4889325229544",305662.4924,5057648.9475
"FSL-425","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Marcel-Léger","parc Marcel-Léger, extrémité de la rue Françoise-Langlois","Q","Q","FSL-425   Parc Marcel-Léger",2024-07-02T08:49:30,,"         21.6",237,7.8,"=",84,0,0,0,0,1,8,"45.6769888816945","-73.4901806845972",305564.974,5059677.8624
"FSL-460","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Pierre-Payet (82 av.)","parc Pierre-Payet, inters. rue Bellerive et 82e av.","Q","Q","FSL-460   Parc Pierre-Payet (82 av.)",2024-07-02T08:33:26,,"         21.6",244,7.8,"=",700,0,0,0,0,1,8,"45.6886641772625","-73.4854110565968",305936.3156,5060975.4414
"FSL-490","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Future plage de l'Est","future plage de l'Est, inters. rue Bellerive et 94e av.","Q","Q","FSL-490   Future plage de l'Est",2024-07-02T08:15:22,,"         21.6",234,7.8,"=",200,0,0,0,0,1,8,"45.6974160812708","-73.4798329057915",306370.5462,5061948.1716
"BLAP-01","Bassin de Laprairie","Lachine","Canal de Lachine (pont Lafleur)","Canal de Lachine, inters. av. Dollard et rue de la Berge du Canal","Q","Q","BLAP-01   Canal de Lachine (pont Lafleur)",2024-07-02T10:54:38,,"         23.0",127,7.2,"=",44,0,0,0,0,1,8,"45.4414672937971","-73.6451203318245",293447.0651,5033514.171
"LSL-10","Lac Saint-Louis","Pointe-Claire","Parc Edgewater","parc Edgewater, inters. ch. du Bord-du-Lac et av. Bowling Green","Q","Q","LSL-10   Parc Edgewater",2024-07-02T13:49:51,,"         23.8",132,9.1,"=",8,0.6,0,0,0.6,0,8,"45.4305371204597","-73.818129114855",279907.58,5032338.4969
"LSL-11","Lac Saint-Louis","Beaconsfield","Parc St-James","parc Saint-James, inters. Ch. Lakeshore et av. Kirkwood","Q","Q","LSL-11   Parc St-James",2024-07-02T14:03:32,,"         26.0",111,8.8,"=",52,0.8,0,0,0.8,0,8,"45.4290026730771","-73.8427568704778",277979.8233,5032175.8928
"LSL-14","Lac Saint-Louis","Beaconsfield","Parc Lakeview ","parc Lakeview, inters. rue Lakeshore et boul. Lakeview","Q","Q","LSL-14   Parc Lakeview ",2024-07-02T14:29:21,,"         26.4",111,8.9,"=",46,0.8,0,0,0.8,0,8,"45.4148837516146","-73.8895038272654",274314.3517,5030623.5247
"LSL-17","Lac Saint-Louis","Baie d'Urfé","Parc Bertold","parc Bertold, inters. rue Lakeshore et rue Churchill","Q","Q","LSL-17   Parc Bertold",2024-07-02T14:43:39,,"         26.7",116,7.9,"=",110,0.8,0,0,0.8,0,8,"45.4035305295152","-73.924248074914",271588.3399,5029375.6105
"LSL-19","Lac Saint-Louis","Sainte-Anne-de-Bellevue","Parc Kelso","parc Kelso, inters. rue Sainte-Anne et rue Perrault","Q","Q","LSL-19   Parc Kelso",2024-07-02T14:58:03,,"         22.6",98,7.8,"=",11,0.8,0,0,0.8,0,8,"45.4022502581518","-73.9460300021975",269882.3843,5029242.5574
"LSL-2.5","Lac Saint-Louis","Lachine","Parc St-Louis (quai fédéral)","parc st-Louis, quai Fédéral, inters. boul. Saint-Joseph et 34e av.","Q","Q","LSL-2.5   Parc St-Louis (quai fédéral)",2024-07-02T11:39:39,,"         22.8",132,7.8,"=",48,0,0,0,0,1,8,"45.4324605506382","-73.6942866662225",289598.3067,5032521.3764
"LSL-3","Lac Saint-Louis","Lachine","Parc Stoney Point","parc Stoney Point, inters. boul. Saint-Joseph et de la 46e av.","Q","Q","LSL-3   Parc Stoney Point",2024-07-02T11:47:36,,"         23.7",161,9.2,"=",25,0,0,0,0,1,8,"45.4356465420778","-73.7070809995692",288598.1434,5032877.9309
"LSL-4.3","Lac Saint-Louis","Dorval","Parc du Millénaire","parc du Millénaire, cercle Keiller, à l'est de l'av. Sévigny","Q","Q","LSL-4.3   Parc du Millénaire",2024-07-02T12:02:19,,"         22.7",182,8.1,"=",11,0.6,0,0,0.6,0,8,"45.4384468372963","-73.7232630704361",287332.9348,5033192.513
"LSL-9","Lac Saint-Louis","Pointe-Claire","Parc Stewart","parc Stewart, ch. du Bord-du-Lac, à l'ouest de la rue Stewart","Q","Q","LSL-9   Parc Stewart",2024-07-02T13:42:19,,"         24.5",140,8.1,"=",8,0.6,0,0,0.6,0,8,"45.433971140631","-73.8073810149152",280750.0373,5032716.846
"IBIZ-11.5","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","Terrasse Martin","extrémité de la terrasse Martin (segment ouest) ","Q","Q","IBIZ-11.5   Terrasse Martin",2024-07-04T09:05:01,,"         22.8",110,7.5,"=",430,0.6,2.9,1.1,4.6,0,8,"45.5077894266919","-73.9097512296839",272782.26,5040955.971
"IBIZ-13","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","Rue Roger","extrémité de la rue Roger","Q","Q","IBIZ-13   Rue Roger",2024-07-04T09:18:37,,"         22.7",93,7.6,"=",10,0.6,2.9,1.1,4.6,0,8,"45.476852171864","-73.9271016956211",271408.2269,5037524.9695
"IBIZ-2","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","Parc Denis-Benjamin-Viger","parc Denis-Benjamin-Viger, extrémité de la rue St-Pierre","Q","Q","IBIZ-2   Parc Denis-Benjamin-Viger",2024-07-04T08:17:20,,"         22.7",94,7.6,"=",21,0.6,2.9,1.1,4.6,0,8,"45.4888776849405","-73.8682091986487",276018.6979,5038838.5816
"RDP-60","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","P-n de l'Anse-à-l'Orme","p-n de l'Anse-à-l'Orme, boul Gouin O. à l'est de à rue Lauzon","Q","Q","RDP-60   P-n de l'Anse-à-l'Orme",2024-05-28T09:02:22,,"         17.9",739,8,"=",2800,0,22.9,0,22.9,-1,3,"45.4538049608123","-73.9387224304627",270485.7119,5034968.634
"RDP-80","rivière des Prairies - côté Montréal","Pierrefonds-Roxboro","Parc Hélène-Legault","parc Hélène-Legault, inters. rue des Cageux et rue Hélène","Q","Q","RDP-80   Parc Hélène-Legault",2024-05-28T09:25:29,,"         18.4",100,7.7,"=",1500,0,22.9,0,22.9,-1,3,"45.4686422044555","-73.8885945952785",274414.3865,5036597.3177
"LSL-0.5","Lac Saint-Louis","Lachine","Port de plaisance de Lachine","port de plaisance de Lachine, rampe de mise à l'eau, ch. des Iroquois","Q","Q","LSL-0.5   Port de plaisance de Lachine",2024-05-29T13:07:00,,"         19.7",217,8.3,"=",120,0,0,22.9,22.9,-2,3,"45.4291699380414","-73.6739695048603",291187.204,5032152.0541
"LSL-1","Lac Saint-Louis","Lachine","Parc Monk","parc Monk, inters. boul. Saint-Joseph et la 7e av.","Q","Q","LSL-1   Parc Monk",2024-05-29T12:53:58,,"         20.3",220,8.9,"=",38,0,0,22.9,22.9,-2,3,"45.4309144200054","-73.6712490870357",291400.4845,5032345.4599
"FSL-310","Fleuve Saint-Laurent","Mercier-Hochelaga-Maisonneuve","Parc de la Prom.-Bellerive (aval)","parc de la Promenade-Bellerive, inters. rue Bellerive et av. Gonthier","Q","Q","FSL-310   Parc de la Prom.-Bellerive (aval)",2024-06-18T10:16:59,,"         20.6",269,8.3,"=",21,0,0,0.9,0.9,-2,6,"45.6098631972965","-73.5072679126395",304233.1165,5052217.9466
"FSL-340","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Fort-de-Pointe-aux-Trembles","parc du Fort-de-Pointe-aux-Trembles, inters. rue Bellerive et boul. Saint-Jean-Batiste","Q","Q","FSL-340   Parc du Fort-de-Pointe-aux-Trembles",2024-06-18T09:51:35,,"         20.6",275,8.2,"=",10,0,0,0.9,0.9,-2,6,"45.6398647214273","-73.4872893907283",305790.8749,5055552.1551
"FSL-380","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Rampe de mise à l'eau (36e av.)","rampe de mise à l'eau, rue Notre-Dame E., entre la 36e av. et la 39e av.","Q","Q","FSL-380   Rampe de mise à l'eau (36e av.)",2024-06-18T09:31:17,,"         20.7",279,8.1,"=",100,0,0,0.9,0.9,-2,6,"45.6587322474231","-73.4889325229544",305662.4924,5057648.9475
"FSL-400","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc C.-De La Rousselière","Parc Clémentine-De La Rousselière, inters. rue Notre-Dame E. et boul. de la Rousselière","Q","Q","FSL-400   Parc C.-De La Rousselière",2024-06-18T09:14:26,,"         21.6",300,8.4,"=",220,0,0,0.9,0.9,-2,6,"45.6674646711584","-73.491396402065",305470.3772,5058619.3898
"FSL-430","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","P-n de la Pointe-aux-Prairies (fleuve)","p-n de la Pointe-aux-Prairie (secteur du Fleuve), rue Notre-Dame E., à l'est de la 67e av.","Q","Q","FSL-430   P-n de la Pointe-aux-Prairies (fleuve)",2024-06-18T08:57:04,,"         21.3",275,8.7,"=",120,0,0,0.9,0.9,-2,6,"45.6798315529772","-73.4899432381485",305583.4326,5059993.7819
"FSL-490","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Future plage de l'Est","future plage de l'Est, inters. rue Bellerive et 94e av.","Q","Q","FSL-490   Future plage de l'Est",2024-06-18T08:31:01,,"         20.6",276,8.2,"=",140,0,0,0.9,0.9,-2,6,"45.6974160812708","-73.4798329057915",306370.5462,5061948.1716
"FSL-500","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Bout-de-l'île (fleuve)","parc du Bout-de-l'Île (côté fleuve), extrémité N. de la rue Bureau","Q","Q","FSL-500   Parc du Bout-de-l'île (fleuve)",2024-06-18T08:21:03,,"         20.6",282,8.1,"=",110,0,0,0.9,0.9,-2,6,"45.700650225823","-73.4782186947061",306496.1578,5062307.629
"BLAP-10.5","Bassin de Laprairie","Verdun","Pointe sud-ouest de Î.-D.-S.","Île-des-Soeurs, piste cyclable, inters. rue André-Prévost et ch. de la Pointe-Sud","Q","Q","BLAP-10.5   Pointe sud-ouest de Î.-D.-S.",2024-06-18T10:16:21,,"         20.9",248,7.8,"=",41,0,0,0.9,0.9,-2,6,"45.4465963112693","-73.561131176078",300018.0692,5034075.7287
"BLAP-11","Bassin de Laprairie","Verdun","parc Adian-D.-Archambault","Île-des-Soeurs, au bout du boul. de la Forêt, au sud du parc Adian-D.-Archambault","Q","Q","BLAP-11   parc Adian-D.-Archambault",2024-06-18T10:08:53,,"         20.8",246,7.8,"=",8,0,0,0.9,0.9,-2,6,"45.45479000000","-73.55954000000",300143.416,5034986.0837
"BLAP-2.5","Bassin de Laprairie","LaSalle","Parc des Rapides (Tsse Serre)","parc des Rapides - Tsse Serre, inters. boul. Lasalle et boul. Bishop-Power","Q","Q","BLAP-2.5   Parc des Rapides (Tsse Serre)",2024-06-18T08:58:41,,"         21.1",225,7.8,"=",62,0,0,0.9,0.9,-2,6,"45.4265587527464","-73.5951266254355",297356.172,5031851.555
"BLAP-2.8","Bassin de Laprairie","Verdun","Parc O'Reilley (Natatorium)","parc de l'Honorable-George-O'Reilley, quai du Natatorium, inters. boul. Lasalle et rue Stephens","Q","Q","BLAP-2.8   Parc O'Reilley (Natatorium)",2024-06-18T09:17:59,,"         21.1",233,7.7,"=",26,0,0,0.9,0.9,-2,6,"45.4426502897828","-73.5743408181754",298984.3515,5033638.0804
"BLAP-4","Bassin de Laprairie","Verdun","Parc Desmarchais (marina)","parc Desmarchais, marina de Verdun, inters. boul. Lasalle et boul. Desmarchais ","Q","Q","BLAP-4   Parc Desmarchais (marina)",2024-06-18T09:31:21,,"         21.0",231,7.6,"=",13,0,0,0.9,0.9,-2,6,"45.4539704516771","-73.5637815233017",299811.3983,5034895.374
"BLAP-6","Bassin de Laprairie","Verdun","Parc Gewurz-Remer","Île-des-Soeurs, parc Gewurz-Remer, extrémité de la rue Jacques-Le Ber","Q","Q","BLAP-6   Parc Gewurz-Remer",2024-06-18T10:47:47,,"         21.4",240,7.8,"=",26,0,0,0.9,0.9,-2,6,"45.4743487246048","-73.5413874866243",301564.0893,5037158.8604
"BLAP-8.5","Bassin de Laprairie","Ville-Marie","Parc Cité-du-Havre (Habitat 67)","parc Cité-du-Havre, la vague éternelle derrière Habitat 67, av. Pierre-Dupuy","Q","Q","BLAP-8.5   Parc Cité-du-Havre (Habitat 67)",2024-06-18T11:01:12,,"         21.1",257,7.8,"=",10,0,0,0.9,0.9,-2,6,"45.5005281770633","-73.5428231616079",301453.3906,5040068.2467
"FSL-190","Fleuve Saint-Laurent","Ville-Marie","Parc J.-Drapeau (pl Nations)","île Ste-Hélène, parc Jean-Drapeau, place des Nations, ch. du Tour de l'isle","Q","Q","FSL-190   Parc J.-Drapeau (pl Nations)",2024-06-18T11:18:40,,"         20.3",292,7.9,"=",2,0,0,0.9,0.9,-2,6,"45.5063520398077","-73.5339008652459",302150.9369,5040715.1225
"FSL-205","Fleuve Saint-Laurent","Ville-Marie","Plage de l'Horloge","Vieux-Montréal, plage de l'Horloge, rue Quai de l'Horloge","Q","Q","FSL-205   Plage de l'Horloge",2024-06-18T12:04:06,,"         23.2",251,7.9,"=",5,0,0,0.9,0.9,-2,6,"45.512792691621","-73.5461343061635",301195.4091,5041431.3524
"BLAP-02","Bassin de Laprairie","Le Sud-Ouest","Canal de Lachine (H2O adventures)","Canal de Lachine, inters. rue d'Argenson et rue St-Patrick","Q","Q","BLAP-02   Canal de Lachine (H2O adventures)",2024-06-19T07:48:27,,"         23.9",176,7.1,"=",5,0,0,0,0,1,6,"45.4790222960599","-73.5739640483429",299017.5452,5037680.0622
"LSL-0.5","Lac Saint-Louis","Lachine","Port de plaisance de Lachine","port de plaisance de Lachine, rampe de mise à l'eau, ch. des Iroquois","Q","Q","LSL-0.5   Port de plaisance de Lachine",2024-06-19T08:36:09,,"         24.3",198,7.3,"=",1000,0,0,0,0,1,6,"45.4291699380414","-73.6739695048603",291187.204,5032152.0541
"LSL-1","Lac Saint-Louis","Lachine","Parc Monk","parc Monk, inters. boul. Saint-Joseph et la 7e av.","Q","Q","LSL-1   Parc Monk",2024-06-19T08:56:50,,"         26.8",181,7.6,"=",480,0,0,0,0,1,6,"45.4309144200054","-73.6712490870357",291400.4845,5032345.4599
"LSL-11","Lac Saint-Louis","Beaconsfield","Parc St-James","parc Saint-James, inters. Ch. Lakeshore et av. Kirkwood","Q","Q","LSL-11   Parc St-James",2024-06-19T11:10:50,,"         25.4",183,8,"=",1500,0,0,0,0,1,6,"45.4290026730771","-73.8427568704778",277979.8233,5032175.8928
"LSL-12","Lac Saint-Louis","Beaconsfield","Parc Centennial","parc Centennial, inters. boul. Beaconsfield et road Shore","Q","Q","LSL-12   Parc Centennial",2024-06-19T11:22:40,,"         24.7",209,7.9,"=",15,0,0,0,0,1,6,"45.423361061739","-73.8618644636909",276481.8643,5031555.4958
"LSL-16","Lac Saint-Louis","Baie d'Urfé","Parc de l'Hôtel de Ville","parc de l'Hôtel de Ville, inters. rue Lakeshore et rue Carrière","Q","Q","LSL-16   Parc de l'Hôtel de Ville",2024-06-19T11:51:25,,"         26.9",119.5,7.7,"=",25,0,0,0,0,1,6,"45.4075003459669","-73.9169645299374",272160.808,5029813.7899
"LSL-18","Lac Saint-Louis","Sainte-Anne-de-Bellevue","Campus MacDonald","ch. Lakeshore, devant le campus MacDonald de l'université McGill","Q","Q","LSL-18   Campus MacDonald",2024-06-19T12:03:49,,"         25.1",121,7.7,"=",120,0,0,0,0,1,6,"45.4042505148227","-73.9345207723043",270784.5886,5029459.9129
"LSL-2","Lac Saint-Louis","Lachine","Marina d'escale","Marina d'escale, inters. boul. Saint-Joseph et 24e av.","Q","Q","LSL-2   Marina d'escale",2024-06-19T09:08:22,,"         25.8",188,7.6,"=",20,0,0,0,0,1,6,"45.4328087246302","-73.6858351455466",290259.6737,5032558.5059
"LSL-2.5","Lac Saint-Louis","Lachine","Parc St-Louis (quai fédéral)","parc st-Louis, quai Fédéral, inters. boul. Saint-Joseph et 34e av.","Q","Q","LSL-2.5   Parc St-Louis (quai fédéral)",2024-06-19T09:15:00,,"         23.8",211,7.4,"=",8,0,0,0,0,1,6,"45.4324605506382","-73.6942866662225",289598.3067,5032521.3764
"LSL-4.3","Lac Saint-Louis","Dorval","Parc du Millénaire","parc du Millénaire, cercle Keiller, à l'est de l'av. Sévigny","Q","Q","LSL-4.3   Parc du Millénaire",2024-06-19T09:41:43,,"         22.7",282,7.4,"=",31,0,0,0,0,1,6,"45.4384468372963","-73.7232630704361",287332.9348,5033192.513
"LSL-4.5","Lac Saint-Louis","Dorval","Pointe Picard","pointe Picard, extrémité de l'av. St-Charles","Q","Q","LSL-4.5   Pointe Picard",2024-06-19T09:48:12,,"         23.1",235,7.6,"=",16,0,0,0,0,1,6,"45.4369620072601","-73.727909601146",286968.9442,5033028.5248
"LSL-7","Lac Saint-Louis","Dorval","Parc Baie de Valois","parc Baie de Valois, inters. ch. du Bord-du-Lac et av. Canary","Q","Q","LSL-7   Parc Baie de Valois",2024-06-19T10:27:10,,"         26.6",189,7.9,"=",11,0,0,0,0,1,6,"45.4422366753032","-73.7752338657564",283268.4232,5033626.2774
"LSL-8","Lac Saint-Louis","Pointe-Claire","Parc Venture","parc Venture, inters. ch. du Bord-du-Lac et voie d'accès à l'aut. 20","Q","Q","LSL-8   Parc Venture",2024-06-19T10:36:38,,"         25.8",199,7.7,"=",18,0,0,0,0,1,6,"45.4468918017013","-73.796046942973",281642.1187,5034149.3824
"IBIZ-14","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","P-n Cap-Saint-Jacques (Pnte-Théorêt)","p-n du Cap-Saint-Jacques, côté est de la pointe Théorêt","Q","Q","IBIZ-14   P-n Cap-Saint-Jacques (Pnte-Théorêt)",2024-06-20T10:09:57,,"         24.4",109,7.3,"=",13,0,0,0,0,1,6,"45.4696512803949","-73.8992736610209",273579.9091,5036713.5489
"IBIZ-15","Marécage de l'île Bizard (parc-nature du Cap-Saint-Jacques)","L'Île-Bizard-Sainte-Geneviève","Parc Terrasse-Sacré-Coeur","parc Terrasse-Sacré-Coeur, tsse Sacré-Coeur, entre les rues Roy et Paquin","Q","Q","IBIZ-15   Parc Terrasse-Sacré-Coeur",2024-06-20T10:26:40,,"         24.3",109,7.3,"=",42,0,0,0,0,1,6,"45.4803444127321","-73.8796408995944",275120.6515,5037894.4369
"BLAP-11","Bassin de Laprairie","Verdun","parc Adian-D.-Archambault","Île-des-Soeurs, au bout du boul. de la Forêt, au sud du parc Adian-D.-Archambault","Q","Q","BLAP-11   parc Adian-D.-Archambault",2024-06-25T09:57:40,,"         21.0",239,7.1,"=",31,0,10.4,45.9,56.3,-1,7,"45.45479000000","-73.55954000000",300143.416,5034986.0837
"BLAP-2.5","Bassin de Laprairie","LaSalle","Parc des Rapides (Tsse Serre)","parc des Rapides - Tsse Serre, inters. boul. Lasalle et boul. Bishop-Power","Q","Q","BLAP-2.5   Parc des Rapides (Tsse Serre)",2024-06-25T08:41:14,,"         21.0",219,7.1,"=",140,0,10.4,45.9,56.3,-1,7,"45.4265587527464","-73.5951266254355",297356.172,5031851.555
"BLAP-01","Bassin de Laprairie","Lachine","Canal de Lachine (pont Lafleur)","Canal de Lachine, inters. av. Dollard et rue de la Berge du Canal","Q","Q","BLAP-01   Canal de Lachine (pont Lafleur)",2024-06-25T12:18:48,,"         22.7",246,8.1,"=",92,0,10.4,45.9,56.3,-1,7,"45.4414672937971","-73.6451203318245",293447.0651,5033514.171
"BLAP-02","Bassin de Laprairie","Le Sud-Ouest","Canal de Lachine (H2O adventures)","Canal de Lachine, inters. rue d'Argenson et rue St-Patrick","Q","Q","BLAP-02   Canal de Lachine (H2O adventures)",2024-06-25T12:44:51,,"         23.3",231,8,"=",18,0,10.4,45.9,56.3,-1,7,"45.4790222960599","-73.5739640483429",299017.5452,5037680.0622
"RDP-440","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Parc André-Corbeil-Dit-Tranchemontagne","parc André-Corbeil-dit-Tranchemontagne, inters. boul. Gouin E. et 28e av.","Q","Q","RDP-440   Parc André-Corbeil-Dit-Tranchemontagne",2024-06-26T14:43:31,,"         23.0",98,7.4,"=",1800,0,0,10.4,10.4,-2,7,"45.6451708997868","-73.5966475699474",297266.4028,5056146.3124
"RDP-460","rivière des Prairies - côté Montréal","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Moulin-du-Rapide","parc Moulin-du-Rapide, inters. rue de Clichy et 58e av.","Q","Q","RDP-460   Parc du Moulin-du-Rapide",2024-06-26T14:54:35,,"         23.0",95,7.4,"=",360,0,0,10.4,10.4,-2,7,"45.6605972621844","-73.5730597410155",299106.6176,5057858.7498
"FSL-310","Fleuve Saint-Laurent","Mercier-Hochelaga-Maisonneuve","Parc de la Prom.-Bellerive (aval)","parc de la Promenade-Bellerive, inters. rue Bellerive et av. Gonthier","Q","Q","FSL-310   Parc de la Prom.-Bellerive (aval)",2024-07-02T09:41:40,,"         22.0",236,7.8,"=",42,0,0,0,0,1,8,"45.6098631972965","-73.5072679126395",304233.1165,5052217.9466
"FSL-330","Fleuve Saint-Laurent","Montréal-Est","Parc de l'Hôtel-de-Ville","parc de l'Hôtel-de-Ville, inters. Avenue Broadway et rue Sainte-Julie","Q","Q","FSL-330   Parc de l'Hôtel-de-Ville",2024-07-02T09:28:58,,"         22.0",238,7.9,"=",20,0,0,0,0,1,8,"45.6293052105372","-73.4949136748119",305196.5867,5054378.5783
"FSL-360","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Marina Pointe-aux-Trembles","marina Pointe-aux-Trembles, inters. rue Notre-Dame E. et boul. du Tricentenaire","Q","Q","FSL-360   Marina Pointe-aux-Trembles",2024-07-02T09:10:53,,"         21.8",234,7.8,"=",46,0,0,0,0,1,8,"45.6493140952923","-73.4862348350444",305872.904,5056602.3084
"FSL-400","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc C.-De La Rousselière","Parc Clémentine-De La Rousselière, inters. rue Notre-Dame E. et boul. de la Rousselière","Q","Q","FSL-400   Parc C.-De La Rousselière",2024-07-02T08:57:00,,"         21.5",247,7.7,"=",490,0,0,0,0,1,8,"45.6674646711584","-73.491396402065",305470.3772,5058619.3898
"FSL-430","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","P-n de la Pointe-aux-Prairies (fleuve)","p-n de la Pointe-aux-Prairie (secteur du Fleuve), rue Notre-Dame E., à l'est de la 67e av.","Q","Q","FSL-430   P-n de la Pointe-aux-Prairies (fleuve)",2024-07-02T08:43:03,,"         21.6",242,7.8,"=",1800,0,0,0,0,1,8,"45.6798315529772","-73.4899432381485",305583.4326,5059993.7819
"FSL-480","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc Pierre-Payet (rampe de mise à l'eau)","parc Pierre-Payet, rampe de mise à l'eau, inters. rue Bellerive et rue Pauline-Donalda","Q","Q","FSL-480   Parc Pierre-Payet (rampe de mise à l'eau)",2024-07-02T08:26:29,,"         21.7",237,7.8,"=",470,0,0,0,0,1,8,"45.6922942180654","-73.4821772369623",306188.1042,5061378.9139
"FSL-500","Fleuve Saint-Laurent","Rivière-des-Prairies-Pointe-aux-Trembles","Parc du Bout-de-l'île (fleuve)","parc du Bout-de-l'Île (côté fleuve), extrémité N. de la rue Bureau","Q","Q","FSL-500   Parc du Bout-de-l'île (fleuve)",2024-07-02T08:07:28,,"         21.5",235,7.8,"=",210,0,0,0,0,1,8,"45.700650225823","-73.4782186947061",306496.1578,5062307.629
"BLAP-02","Bassin de Laprairie","Le Sud-Ouest","Canal de Lachine (H2O adventures)","Canal de Lachine, inters. rue d'Argenson et rue St-Patrick","Q","Q","BLAP-02   Canal de Lachine (H2O adventures)",2024-07-02T10:38:29,,"         23.3",176,7.5,"=",3,0,0,0,0,1,8,"45.4790222960599","-73.5739640483429",299017.5452,5037680.0622
"LSL-0.5","Lac Saint-Louis","Lachine","Port de plaisance de Lachine","port de plaisance de Lachine, rampe de mise à l'eau, ch. des Iroquois","Q","Q","LSL-0.5   Port de plaisance de Lachine",2024-07-02T11:03:31,,"         23.2",121,7.7,"=",170,0,0,0,0,1,8,"45.4291699380414","-73.6739695048603",291187.204,5032152.0541
"LSL-1","Lac Saint-Louis","Lachine","Parc Monk","parc Monk, inters. boul. Saint-Joseph et la 7e av.","Q","Q","LSL-1   Parc Monk",2024-07-02T11:23:12,,"         23.8",196,8.9,"=",72,0,0,0,0,1,8,"45.4309144200054","-73.6712490870357",291400.4845,5032345.4599
"LSL-10.5","Lac Saint-Louis","Beaconsfield","Yatch Club de Beaconsfield","Yatch Club de Beaconsfield, ch. Lakeshore, entre boul. le Beaconsfield et l'av. Old Church","Q","Q","LSL-10.5   Yatch Club de Beaconsfield",2024-07-02T13:57:35,,"         24.4",104,8.1,"=",5,0.6,0,0,0.6,0,8,"45.4255023315166","-73.8366653553449",278454.8463,5031784.8901
"LSL-12","Lac Saint-Louis","Beaconsfield","Parc Centennial","parc Centennial, inters. boul. Beaconsfield et road Shore","Q","Q","LSL-12   Parc Centennial",2024-07-02T14:13:49,,"         26.0",105,7.9,"=",120,0.8,0,0,0.8,0,8,"45.423361061739","-73.8618644636909",276481.8643,5031555.4958
"LSL-13","Lac Saint-Louis","Beaconsfield","Parc Angell","parc Angell, inters. rue Lakeshore et av. Angell","Q","Q","LSL-13   Parc Angell",2024-07-02T14:23:37,,"         26.6",111,9.1,"=",26,0.8,0,0,0.8,0,8,"45.4154062783815","-73.8841111132674",274736.7053,5030679.563
