#accreditation,Nom_employeur,Adresse_employeur,Nom_association,Syndicat,Statut_arret_de_travail,Secteur_Prive_Public,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_de_jours_personnes_perdus_dans_annee,Debut_du_conflit,Date_de_fin,Date_expiration_derniere_convention_collective,Nombre_ jours_personnes_perdus_depuis_debut_du_conflit,Duree_jours_ouvrables_depuis_debut,
AM10010234,Centre de la Petite Enfance l'Enfanterelle,8040. avenue Mylene.  Laval H7A1G3,Syndicat des travailleuses(eurs) des centres de la petite enfance de Montreal et Laval - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Laval,12,567,2023-04-04,2023-07-21,2020-03-31,567,44,
AM10012223,Reseau de transport de Longueuil,1150. boulevard Marie-Victorin.  Longueuil J4G2M4,Syndicat canadien de la fonction publique. section locale 3332,FTQ,Greve,Public,Transports,4571,Monteregie,85,1445,2023-04-04,2023-04-26,2021-12-31,1445,17,
AM10030251,Eastern Townships School Board,340. rue Saint-Jean-Bosco.  Magog J1X1K9,Syndicat regional du personnel de soutien des Townships (CSQ) Townships regional union of support staff (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Estrie,447,3755,2023-11-06,,2023-03-31,3754,8,
AM20020544,Autobus Campeau inc.,60. rue Renaud.  Brownsburg-Chatham J8G2E6,Teamsters Quebec. local 106,FTQ,Lock-out,Prive,Transports,4573,Laurentides,11,209,2023-04-07,2023-05-31,2022-08-21,209,19,
AM10046504,Services juridiques communautaires de Pointe St-Charles et Petite Bourgogne inc.,2533. rue du Centre. bureau 101.  Montreal H3K1J9,Syndicat des avocats de l'Aide Juridique de Montreal,CSN,Greve,Public,Services aux entreprises,7761,Montreal,4,20,2022-05-24,2023-04-25,2021-03-31,34,9,
AM20013673,Les Jardins Rawdon - ressources intermediaires inc.,3931. rue Lakeshore Drive.  Rawdon J0K1S0,Syndicat regional des CHP de Lanaudiere - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8628,Lanaudiere,26,416,2023-04-14,2023-05-05,2021-03-31,416,16,
AQ20000349,Universite Laval,Cite Universitaire Quebec QC  ,Association des sauveteurs et des moniteurs  du PEPS de l'Universite Laval (FISA),IND PRO,Greve,Public,Services de divertissements et de loisirs,9699,Capitale-Nationale,59,59,2023-04-15,2023-06-20,2022-08-31,58,1,
AM20009581,Autobus Rive-Sud inc.,1125. boulevard Saint-Joseph. bureau 320.  Drummondville J2C2C8,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Monteregie,35,1400,2023-04-24,2023-06-16,2022-08-31,1400,40,
AM20014251,Autobus Rive-Sud inc.,1125. boulevard Saint-Joseph. bureau 320.  Drummondville J2C2C8,Teamsters Quebec Local 106,FTQ,Greve,Prive,Transports,4573,Monteregie,16,400,2023-04-24,2023-06-01,2022-06-30,400,25,
AM20008063,Bigras Transport inc.,49. rue de Valcourt.  Gatineau J8T8H2,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Outaouais,81,3078,2023-05-01,2023-06-21,2022-08-31,3078,38,
AM20008236,Autobus Lasalle inc.,149. rue West.  Shawville J0X2Y0,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Outaouais,104,4264,2023-05-01,2023-06-26,2022-08-31,4264,41,
AM20012016,Autobus ABC inc.,1125. boulevard Saint-Joseph.  bureau 320.  Drummondville J2C2C8,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Estrie,21,735,2023-05-01,2023-06-16,2022-08-31,735,35,
AM20019208,Bigras Transport inc.,49. rue de Valcourt.  Gatineau J8T8H2,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Outaouais,12,456,2023-05-01,2023-06-21,2022-08-31,456,38,
AM10048903,Chemtrade Chemicals Canada Ltd,155 Gordon Baker Road Suite 300 North York (Ontario)  M2H3N5,Syndicat des travailleuses et des travailleurs des Produits performants General Chemical - CSN,CSN,Greve,Prive,Industries chimiques,3711,Monteregie,9,27,2023-01-05,2023-01-09,2022-10-15,27,3,
AM10028403,Autobus Campeau inc.,60. rue Renaud.  Brownsburg-Chatham J8G2E6,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Laurentides,10,170,2023-05-08,2023-05-30,2022-06-27,170,17,
AQ10052914,Agropur Cooperative,75. avenue Lambert.  Beauceville G5X3N5,Teamsters Quebec. local 1999,FTQ,Greve,Prive,Industries des aliments,1049,Chaudiere-Appalaches,191,1528,2023-05-08,2023-05-17,2023-01-31,1528,8,
AM20000220,O-I Canada Corp.,777. avenue Kipling Toronto ONT  ,Syndicat des Metallos. section locale 206G,FTQ,Greve,Prive,Industries des produits mineraux non metalliques,3561,Montreal,330,12540,2023-05-10,2023-07-02,2023-02-28,12540,38,
AQ10041280,Les Industries G.D.S. inc.,207. route 295.  Degelis G5T1R1,Unifor. section locale 299,FTQ,Lock-out,Prive,Industries du bois,2512,Gaspesie--iles-de-la-Madeleine,35,420,2023-05-18,2023-06-04,2022-04-30,420,12,
AQ10042826,Bois Marsoui G.D.S inc.,207. route 295.  Degelis G5T1R1,Unifor. section locale 425-3,FTQ,Lock-out,Prive,Industries du bois,2512,Gaspesie--iles-de-la-Madeleine,40,480,2023-05-18,2023-06-04,2022-05-31,480,12,
AQ10042828,Bois Granval G.D.S. inc.,207. route 295   G5T1R1,Unifor. section locale 425-2,FTQ,Lock-out,Prive,Industries du bois,2512,Gaspesie--iles-de-la-Madeleine,40,480,2023-05-18,2023-06-04,2022-04-30,480,12,
AQ20005184,G.D.S. Valoribois inc. division Matane,207. route 295.  Degelis G5T1R1,Unifor. section locale 425,FTQ,Lock-out,Prive,Industries du bois,2512,Bas-Saint-Laurent,65,780,2023-05-18,2023-06-04,2022-05-31,780,12,
AM10025682,La societe Emballages Hood (Division Glopak),4755. boulevard des Grandes-Prairies.  Montreal H1R1A6,Syndicat des Metallos. section locale 7625,FTQ,Lock-out,Prive,Industries des produits en matiere plastique,1691,Montreal,95,6935,2023-05-23,2023-07-05,2023-05-22,6935,73,
AM20004687,Olymel S.E.C. / L.P. etablissement Drummondville,255. rue Rocheleau.  Drummondville J2C7G2,Syndicat des travailleuses et travailleurs  de Bacon Inter-America (CSN),CSN,Greve,Prive,Industries des aliments,1011,Centre-du-Quebec,450,7650,2023-05-25,2023-06-16,2023-03-01,7650,17,
AM10049495,Agropur Cooperative,4600. rue Armand-Frappier Saint-Hubert QC  J3Z 1G5  ,Teamsters Quebec. local 1999,FTQ,Greve,Prive,Industries des aliments,1041,Montreal,366,1830,2023-12-10,2023-12-17,2023-09-01,1830,5,
AM10010333,Fonds de solidarite des travailleurs du Quebec (F.T.Q.),545. boulevard Cremazie Est. bureau 200.  Montreal H2M2W4,Union des employes et employees de service. section locale 800,FTQ,Greve,Prive,Societes d'investissement,7214,Montreal,672,14112,2023-05-26,2023-06-29,2022-12-31,14112,21,
AM10024104,Ferme St-Zotique inc.,200. chemin Saint-Thomas.  Saint-Zotique J0P1Z0,Syndicat des chauffeurs de camion de la Ferme St-Zotique - CSN,CSN,Greve,Prive,Commerces de gros de produits alimentaires. de boissons. de medicaments et de tabac,5214,Monteregie,30,30,2023-05-26,2023-05-26,2020-04-19,30,1,
AM10052233,Prodimax inc.,1050. 15e Avenue.  Laval H7R4N9,Syndicat quebecois des employees et employes de service. section locale 298 (FTQ),FTQ,Greve,Prive,Services de sante et services sociaux,8614,Laval,5,5,2023-11-06,,2022-12-31,5,1,
AM20019276,Rosenbloom Groupe inc.,1225. rue Hodge.  Saint-Laurent H4N2B5,Syndicat des employes de Rosenbloom Groupe inc. (CSN),CSN,Greve,Prive,Industries du papier et des produits en papier,2733,Montreal,90,810,2023-05-31,2023-06-12,2023-01-31,810,9,
AM20007181,Ville de Westmount,4333. rue Sherbrooke Ouest.  Westmount H3Z1E2,Syndicat des cols bleus regroupes de Montreal (SCFP. 301),FTQ,Greve,Public,Services des administrations locales,8351,Montreal,124,5332,2023-06-01,2023-08-24,2019-12-31,5332,43,
AQ20019984,Kruger Wayagamack s.e.c.,ile-de-la-Potherie Case postale 128 Trois-Rivieres (Quebec) ,Unifor. section locale 216,FTQ,Greve,Prive,Industries du papier et des produits en papier,2719,Mauricie,197,1773,2023-06-01,2023-06-13,2023-04-30,1773,9,
AM10052764,Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des travailleuses et travailleurs de Resto-Casino de Hull (CSN),CSN,Greve,Public,Restauration,9211,Outaouais,159,11766,2023-06-15,2023-09-26,2022-03-31,11766,74,
AM10024235,Les Materiaux de construction Oldcastle Canada inc.,500. rue Saint-Eustache.  Saint-Eustache J7R7E7,Teamsters Quebec. local 1999,FTQ,Greve,Prive,Industries des produits mineraux non metalliques,3549,Laurentides,45,1755,2023-06-07,2023-06-28,2022-12-31,1755,39,
AM10052942,College Regina Assumpta (1995),1750. rue Sauriol Est.  Montreal H2C1X4,Syndicat des enseignantes et des enseignants du College Regina Assumpta - CSN,CSN,Greve,Prive,Services d'enseignement,8511,Montreal,110,220,2023-10-05,,2022-06-30,220,2,
AM10053678,Centre de services scolaire des Patriotes,1740. RUE Roberval.  Saint-Bruno-de-Montarville J3V3R3,Syndicat de Champlain (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Monteregie,29,244,2023-11-06,,,243,8,
AQ10046433,Carrefour Jeunesse-Emploi de la Capitale Nationale,265 rue de la Couronne bureau 200   G1K6E1,Syndicat des employe-es de Carrefour Jeunesse Emploi (CSN),CSN,Greve et lock-out,Public,Services de sante et services sociaux,8649,Capitale-Nationale,21,189,2023-06-14,2023-08-16,2022-03-31,189,9,
AM10024620,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des employees et employes de la Societe des casinos du Quebec - CSN,CSN,Greve,Public,Services de divertissements et de loisirs,9661,Montreal,624,46176,2023-06-15,2023-09-26,2022-03-31,46176,74,
AM10024629,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des employees et employes de resto Casino de Montreal - CSN,CSN,Greve,Public,Restauration,9211,Montreal,314,23236,2023-06-15,2023-09-26,2022-03-31,23236,74,
AM10024912,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des employees et employes de la securite physique du Casino de Montreal - CSN,CSN,Greve,Public,Services aux entreprises,7791,Montreal,79,5846,2023-06-15,2023-09-26,2022-03-31,5846,74,
AM10026471,Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des travailleuses et travailleurs de Resto-Casino de Hull (CSN),CSN,Greve,Public,Services de divertissements et de loisirs,9661,Outaouais,303,22422,2023-06-15,2023-09-26,2022-03-31,22422,74,
AM10052764,Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des travailleuses et travailleurs de Resto-Casino de Hull (CSN),CSN,Greve,Public,Restauration,9211,Outaouais,159,11766,2023-06-15,2023-09-26,2022-03-31,11766,74,
AM20014100,Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des travailleuses et travailleurs du Casino du Mont-Tremblant - CSN,CSN,Greve,Public,Services de divertissements et de loisirs,9661,Laurentides,68,5032,2023-06-15,2023-09-26,2022-03-31,5032,74,
AM20020520,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest.  Montreal H3A3G6,Syndicat des employees et employes de la Societe des casinos du Quebec - CSN,CSN,Greve,Public,Services de divertissements et de loisirs,9661,Montreal,50,3700,2023-06-15,2023-09-26,2022-03-31,3700,74,
AQ20000578,Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. 15e etage.  Montreal H3A3G6,Syndicat des employe-es du Casino de Charlevoix (CSN),CSN,Greve,Public,Services de divertissements et de loisirs,9661,Capitale-Nationale,84,6216,2023-06-15,2023-09-26,2022-03-31,6216,74,
AQ20013142,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des employe-es du Casino de Charlevoix (CSN),CSN,Greve,Public,Services aux entreprises,7791,Capitale-Nationale,20,1480,2023-06-15,2023-09-26,2019-08-14,1480,74,
AQ10035142,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,954,2862,2023-07-01,2023-07-05,2022-06-30,2862,3,
AQ10035142,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,954,2862,2023-07-01,2023-07-05,2022-06-30,2862,3,
AQ10035142,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,954,2862,2023-07-01,2023-07-05,2022-06-30,2862,3,
AQ10035142,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,954,2862,2023-07-01,2023-07-05,2022-06-30,2862,3,
AQ10035145,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,1,3,2023-07-01,2023-07-05,2022-06-30,3,3,
AQ10035145,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,1,3,2023-07-01,2023-07-05,2022-06-30,3,3,
AQ10035145,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,1,3,2023-07-01,2023-07-05,2022-06-30,3,3,
AQ10035145,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,1,3,2023-07-01,2023-07-05,2022-06-30,3,3,
AQ10040860,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,1,3,2023-07-01,2023-07-05,2022-06-30,3,3,
AQ10040860,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,1,3,2023-07-01,2023-07-05,2022-06-30,3,3,
AQ10040860,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,1,3,2023-07-01,2023-07-05,2022-06-30,3,3,
AQ10040860,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,1,3,2023-07-01,2023-07-05,2022-06-30,3,3,
AQ10040954,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,7,21,2023-07-01,2023-07-05,2022-06-30,21,3,
AQ10040954,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,7,21,2023-07-01,2023-07-05,2022-06-30,21,3,
AQ10040954,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,7,21,2023-07-01,2023-07-05,2022-06-30,21,3,
AQ10040954,Reseau de transport de la Capitale,720. rue des Rocailles.  Quebec G2J1A5,Syndicat des employes du transport public  du Quebec Metropolitain inc.,CSN,Greve,Public,Transports,4571,Capitale-Nationale,7,21,2023-07-01,2023-07-05,2022-06-30,21,3,
AQ10044822,PF Resolu Canada inc. Division Alma,1100. rue Melancon Ouest.  Alma G8B5W2,Syndicat national des travailleuses et travailleurs des pates et papiers d'Alma inc.,CSN,Lock-out,Prive,Industries du papier et des produits en papier,2712,Saguenay--Lac-Saint-Jean,264,12936,2023-07-04,2023-09-08,2023-04-30,12936,49,
AM20000220,O-I Canada Corp.,777. avenue Kipling Toronto ONT  ,Syndicat des Metallos. section locale 206G,FTQ,Greve,Prive,Industries des produits mineraux non metalliques,3561,Montreal,330,12540,2023-05-10,2023-07-02,2023-02-28,12540,38,
AM20003354,Centre hospitalier universitaire Sainte-Justine,3175. chemin de la Cote-Sainte-Catherine.  Montreal H3T1C5,Syndicat des techniciens-nes et des professionnels-les de la sante et des services sociaux du Quebec S.T.E.P.S.S.S.Q. (FP-CSN),CSN,Greve,Public,Services de sante et services sociaux,8600,Montreal,71,785.71,2023-11-06,,2023-03-31,785,11,
AQ20012099,Gamma murs et fenetres international inc.,6130. boulevard Sainte-Anne.  Chateau-Richer G0A2K0,Syndicat des metallos - FTQ,FTQ,Greve,Prive,Industries de la fabrication des produits metalliques (sauf les industries de la machinerie et du ma,3031,Capitale-Nationale,59,413,2023-08-23,2023-08-28,2023-03-15,413,7,
AM10020882,A. Lassonde inc.,170. 5e Avenue.  Rougemont J0L1M0,Syndicat des travailleurs et des travailleuses de A. Lassonde (CSN),CSN,Greve,Prive,Industries des aliments,1031,Monteregie,251,251,2023-10-03,2023-10-03,2023-04-30,251,1,
AM20004687,Olymel S.E.C. / L.P. etablissement Drummondville,255. rue Rocheleau.  Drummondville J2C7G2,Syndicat des travailleuses et travailleurs  de Bacon Inter-America (CSN),CSN,Greve,Prive,Industries des aliments,1011,Centre-du-Quebec,450,7650,2023-05-25,2023-06-16,2023-03-01,7650,17,
AM20005183,Les Autobus Venise ltee,50. rue McArthur.  Salaberry-de-Valleyfield J6S4M5,Unifor,FTQ,Greve,Prive,Transports,4573,Monteregie,46,4922,2023-04-03,2023-08-29,2022-08-14,4922,107,
AM20007081,Corporation MacDonald. Dettwiler et Associes,21025. autoroute Transcanadienne.  Sainte-Anne-de-Bellevue H9X3R2,Association des ingenieurs et scientifiques  des systemes spatiaux (AISSS),IND NAT,Greve,Prive,Industries des produits electriques et electroniques,3351,Montreal,166,19920,2023-07-17,,2023-03-31,19920,120,
AM20007082,Corporation MacDonald. Dettwiler et Associes,21025. autoroute Transcanadienne.  Sainte-Anne-de-Bellevue H9X3R2,Association des ingenieurs et scientifiques  des systemes spatiaux (AISSS),IND NAT,Greve,Prive,Industries des produits electriques et electroniques,3351,Montreal,110,13200,2023-07-17,,2023-03-31,13200,120,
AM20007181,Ville de Westmount,4333. rue Sherbrooke Ouest.  Westmount H3Z1E2,Syndicat des cols bleus regroupes de Montreal (SCFP. 301),FTQ,Greve,Public,Services des administrations locales,8351,Montreal,124,5704,2023-06-22,2023-08-24,2019-12-31,5704,46,
AM20008063,Bigras Transport inc.,49. rue de Valcourt.  Gatineau J8T8H2,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Outaouais,81,3078,2023-05-01,2023-06-21,2022-08-31,3078,38,
AM20008162,Prodimax inc.,1050. 15e Avenue.  Laval H7R4N9,Syndicat quebecois des employees et employes de service. section locale 298 (FTQ),FTQ,Greve,Prive,Services de sante et services sociaux,8614,Laval,2,2,2023-11-06,,2022-12-31,2,1,
AM20008236,Autobus Lasalle inc.,149. rue West.  Shawville J0X2Y0,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Outaouais,104,4264,2023-05-01,2023-06-26,2022-08-31,4264,41,
AM20008292,Autobus Campeau inc.,60. rue Renaud.  Brownsburg-Chatham J8G2E6,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Outaouais,104,9048,2023-05-03,2023-09-05,2022-08-31,9048,87,
AM20008545,Transdev Quebec inc.. Division Saint-Jean-sur-Richelieu. transport scolaire,720. RUE Trotter.  Saint-Jean-sur-Richelieu J3B8T2,Syndicat des Metallos. section locale 9414,FTQ,Greve,Prive,Transports,4573,Monteregie,38,266,2023-03-22,2023-03-30,2022-08-31,266,7,
AM20009336,Autobus Longueuil inc.,1325. boulevard Jacques-Cartier Ouest.  Longueuil J4K0A9,Unifor,FTQ,Greve,Prive,Transports,4573,Monteregie,73,3942,2023-03-21,2023-06-04,2022-06-30,3942,54,
AM20009489,Municipalite Regionale de Comte des Collines-de-l'Outaouais,216. chemin d'Old Chelsea Chelsea QC  J4B 1J4  ,Syndicat des travailleuses et travailleurs de la MRC des Collines-de-l'Outaouais - CSN,CSN,Greve,Public,Services des administrations locales,8351,Outaouais,43,129,2023-04-03,2023-06-14,2021-12-31,129,3,
AM20009512,2863-9839 Quebec inc. / Manoir Harwood,170. rue Boileau.  Vaudreuil-Dorion J7V8A3,Syndicat quebecois des employees et employes de service.  section locale 298 - (SQEES-298 - FTQ),FTQ,Greve,Prive,Services de sante et services sociaux,8628,Monteregie,10,10,2023-11-06,,2023-05-02,10,1,
AM20009581,Autobus Rive-Sud inc.,1125. boulevard Saint-Joseph. bureau 320.  Drummondville J2C2C8,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Monteregie,35,1400,2023-04-24,2023-06-16,2022-08-31,1400,40,
AM20010658,Centre de services scolaire du Val-des-Cerfs,55. rue Court. C.P. 9000   J2G9H7,Syndicat du personnel technique. administratif et educatif du Val-des-Cerfs - CSN,CSN,Greve,Public,Services d'enseignement,8511,Monteregie,2,17,2023-11-06,,,16,8,
AM20010931,Commission scolaire Kativik,9800. boulevard Cavendish. bureau 400.  Montreal H4M2V9,Association des employes du Nord quebecois (CSQ),CSQ,Greve,Public,Services d'enseignement,8511,Plus d'une region,565,4746,2023-11-06,,2023-03-31,4746,8,
AM20011127,Cooperative des paramedics de l'Outaouais,505. boulevard des Affaires.  Gatineau J8R0B2,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Outaouais,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20011133,Les Entreprises Y. Bouchard & Fils inc.,440. boulevard Albiny-Paquette. bureau 202.  Mont-Laurier J9L1K6,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services de sante et services sociaux,8689,Laurentides,0,0,2022-07-01,2023-06-19,2022-03-31,0,341,
AM20011161,Centre de communication sante Estrie,1335. rue King Ouest.  Sherbrooke J1J2B8,Syndicat des RMU de l'Estrie - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8689,Estrie,0,0,2022-06-17,,2020-03-31,0,543,
AM20011942,Ville de Sorel-Tracy,71. rue Charlotte. case postale 368.  Sorel-Tracy J3P7K1,Syndicat des employe-es municipaux de la Ville de Sorel-Tracy - CSN,CSN,Greve,Public,Services des administrations locales,8351,Monteregie,114,18810,2022-12-07,2023-07-17,2021-12-31,19038,167,
AM20012016,Autobus ABC inc.,1125. boulevard Saint-Joseph.  bureau 320.  Drummondville J2C2C8,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Estrie,21,735,2023-05-01,2023-06-16,2022-08-31,735,35,
AM20013168,Hema-Quebec,4045. boulevard de la Cote-Vertu.  Montreal H4R2W7,Syndicat du personnel infirmier d'Hema-Quebec (SPI - CSQ),CSQ,Greve,Public,Services de sante et services sociaux,8685,Laval,80,240,2022-07-06,2023-07-09,2019-03-31,560,7,
AM20013673,Les Jardins Rawdon - ressources intermediaires inc.,3931. rue Lakeshore Drive.  Rawdon J0K1S0,Syndicat regional des CHP de Lanaudiere - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8628,Lanaudiere,26,416,2023-04-14,2023-05-05,2021-03-31,416,16,
AM20014050,Autobus R. M. inc.,4230. montee Gagnon.  Terrebonne J6Y1K9,Syndicat des travailleuses et travailleurs des autobus R.M. - CSN,CSN,Greve,Prive,Transports,4574,Lanaudiere,55,715,2023-02-15,2023-03-03,2021-08-31,715,13,
AM20014100,Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest. bureau 1650.  Montreal H3A3G6,Syndicat des travailleuses et travailleurs du Casino du Mont-Tremblant - CSN,CSN,Greve,Public,Services de divertissements et de loisirs,9661,Laurentides,68,5032,2023-06-15,2023-09-26,2022-03-31,5032,74,
AM20014251,Autobus Rive-Sud inc.,1125. boulevard Saint-Joseph. bureau 320.  Drummondville J2C2C8,Teamsters Quebec Local 106,FTQ,Greve,Prive,Transports,4573,Monteregie,16,400,2023-04-24,2023-06-01,2022-06-30,400,25,
AM20014516,Les autobus Robert ltee,204. boulevard du Richelieu.  Saint-Basile-le-Grand J3N1M4,Syndicat des travailleuses et travailleurs des Autobus Robert - CSN,CSN,Greve,Prive,Transports,4573,Monteregie,27,540,2023-12-04,,2022-12-31,540,20,
AM20015148,Centre de communication sante de l'Outaouais CCSO,505. boulevard des Affaires.  Gatineau J8R0B2,Federation des employes du prehospitalier du Quebec (FPHQ),IND LOC,Greve,Prive,Services aux entreprises,7799,Outaouais,0,0,2023-01-26,,2022-03-31,0,340,
AM20016121,SOS violence conjugale,1245. boulevard Saint-Joseph Est.  Montreal H2J1L7,Syndicat du personnel des organismes communautaires (SPOC-CSQ),CSQ,Greve,Prive,Services de sante et services sociaux,8648,Montreal,9,0,2022-07-23,,2020-03-31,9,1,
AM20017338,Le Renoir. societe en commandite,505. rue Cardinal.  Laval H7V3Y8,Syndicat des travailleuses et travailleurs des centres d'hebergement du Grand Montreal (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8628,Laval,50,150,2023-12-20,,2023-03-31,150,3,
AM20019208,Bigras Transport inc.,49. rue de Valcourt.  Gatineau J8T8H2,Teamsters Quebec. local 106,FTQ,Greve,Prive,Transports,4573,Outaouais,12,456,2023-05-01,2023-06-21,2022-08-31,456,38,
AM20019276,Rosenbloom Groupe inc.,1225. rue Hodge.  Saint-Laurent H4N2B5,Syndicat des employes de Rosenbloom Groupe inc. (CSN),CSN,Greve,Prive,Industries du papier et des produits en papier,2733,Montreal,90,810,2023-05-31,2023-06-12,2023-01-31,810,9,
AM20019318,Municipalite de Grenville-sur-la-Rouge,88. rue des erables.  Grenville-sur-la-Rouge J0V1B0,Syndicat canadien de la fonction publique. section locale 5368,FTQ,Greve,Public,Services des administrations locales,8351,Laurentides,12,192,2023-12-08,,2022-12-31,192,16,
AM20020520,La Societe des casinos du Quebec inc.,500. rue Sherbrooke Ouest.  Montreal H3A3G6,Syndicat des employees et employes de la Societe des casinos du Quebec - CSN,CSN,Greve,Public,Services de divertissements et de loisirs,9661,Montreal,50,3700,2023-06-15,2023-09-26,2022-03-31,3700,74,
AM20020544,Autobus Campeau inc.,60. rue Renaud.  Brownsburg-Chatham J8G2E6,Teamsters Quebec. local 106,FTQ,Greve et lock-out,Prive,Transports,4573,Laurentides,11,209,2023-04-07,2023-05-31,2022-08-21,209,19,
AM20020586,La Coop Novago,839. rue Papineau.  Joliette J6E2L6,Syndicat des travailleuses et travailleurs de la Coop Lanaudiere CSN,CSN,Greve,Prive,Commerces de gros des articles de quincaillerie. de materiel de plomberie et de chauffage et des mat,5621,Lanaudiere,26,449,2021-08-13,2023-01-17,2019-09-30,12474,472,
