Numero_accreditation,Nom_employeur,Adresse_employeur,Nom_association,Syndicat,Statut_arret_de_travail,Secteur_Prive_Public,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_de_jours_personnes_perdus_dans_annee,Debut_du_conflit,Date_de_fin,Date_expiration_derniere_convention_collective,Nombre_ jours_personnes_perdus_depuis_debut_du_conflit,Duree_jours_ouvrables_2021,
AM20002325,9126-7393 Quebec inc.,4206 rue King Ouest Sherbrooke J1L 1V5,Syndicat des travailleuses et travailleurs de l'Hotel Quality - CSN,CSN,Greve,Prive,Hebergement,9111,Estrie,10,70,2021-09-23,2021-09-29,2020-06-30,70,7,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses et travailleurs en petite enfance de la Monteregie-CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Plus d'une region,1782,31526,2021-09-24,2021-12-10,,31526,18,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat regional des travailleuses et travailleurs en CPE du Coeur du Quebec (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Plus d'une region,704,11968,2021-09-24,2021-12-10,2020-03-31,11968,17,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses en CPE region Laurentides (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Laurentides,728,5884,2021-09-24,2021-12-10,2020-03-31,5884,9,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses et des travailleurs de CPE de Sept-iles - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Cote-Nord,102,1647,2021-09-24,2021-12-10,2020-03-31,1647,17,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses et travailleurs des Centres de la petite enfance de la MRC Rouyn-Noranda - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Abitibi-Temiscamingue,93,1586,2021-09-24,2021-12-10,2020-03-31,1586,18,,
AM10019588,CPE (Centre de la petite enfance) Cannelle et Pruneau inc.,1411 chemin Kipawa C. P. 411 Temiscaming J0Z3R0,Syndicat des travailleuses et travailleurs du Centre de la petite enfance Cannelle et Pruneau-CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Abitibi-Temiscamingue,21,378,2021-09-24,2021-12-10,2020-03-31,378,18,,
AM10010901,Centre de la petite enfance Les petits chatons inc.,545 2e Rue Est La Sarre QC J9Z2J4,Syndicat des travailleuses et travailleurs du Centre de la petite enfance Les petits chatons-CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Abitibi-Temiscamingue,27,486,2021-09-24,2021-12-10,2020-03-31,486,18,,
AM10054569,C.P.E. Au village des petits lutins,4 rue Notre-Dame Est case postale 31 Lorrainville J0Z2R0,Syndicat des travailleuses et travailleurs des Centres de la petite enfance du secteur Ville-Marie - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Abitibi-Temiscamingue,14,252,2021-09-24,2021-12-10,2020-03-31,252,18,,
AM20000668,Centre de la petite enfance Bambin et Calin,700 rue de l'Harricana Malartic J0Y1Z0,Syndicat des travailleuses et travailleurs du centre de la petite enfance Bambin et Calin-CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Abitibi-Temiscamingue,40,720,2021-09-24,2021-12-10,2020-03-31,720,18,,
AM10046718,Le centre de la petite enfance des p'tits maringouins,99 rue Rupert C.P. 119 Matagami J0Y2A0,Syndicat des travailleuses et travailleurs du Centre de la petite enfance des p'tits maringouins - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Nord-du-Quebec,14,252,2021-09-24,2021-12-10,2020-03-31,252,18,,
AM20011633,Pidaban Child Care Center,4 rue Algonquin Notre-Dame-du-Nord J0Z3B0,Syndicat des travailleuses et travailleurs du CPE Pidaban - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Abitibi-Temiscamingue,22,396,2021-09-24,2021-12-10,2020-03-31,396,18,,
AM20015959,Centre de la petite enfance Vallee des loupiots,7 place Guillemette Val-d'Or J9P3M6,Syndicat des travailleuses et travailleurs du CPE Vallee des loupiots - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Abitibi-Temiscamingue,57,1026,2021-09-24,2021-12-10,2020-03-31,1026,18,,
AM20021661,Centre de la petite enfance Nez-a-Nez,567 rue Desjardins Nord Granby J2H1Z5,Union internationale des travailleurs et travailleuses unis de l'alimentation et de commerce FAT-COI-CTC-FTQ-TUAC Section locale 1991-P,FTQ,Greve,Prive,Services de sante et services sociaux,8641,Estrie,55,550,2021-09-24,2021-11-25,,550,10,,
AM10023108,Chambre des notaires du Quebec,2045 rue Stanley bureau 101 Montreal H3A2V4,Syndicat des employees et employes professionnels-les et de bureau section locale 571 SEPB CTC-FTQ,FTQ,Greve,Prive,Associations,9839,Montreal,45,315,2021-09-28,2021-10-31,2021-03-31,315,7,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des intervenantes en petite enfance de Montreal (SIPEM-CSQ),CSQ,Greve,Prive,Services de sante et services sociaux,8641,Plusieurs regions,1360,6740,2021-10-12,2021-11-24,,6740,7,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des intervenantes en petite enfance de l'Estrie (CSQ),CSQ,Greve,Prive,Services de sante et services sociaux,8641,Estrie,1121,8968,2021-10-12,2021-12-10,2020-03-31,8968,10,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des intervenantes en petite enfance de l'Abitibi-Temiscamingue,CSQ,Greve,Prive,Services de sante et services sociaux,8641,Abitibi-Temiscamingue,89,534,2021-10-13,2021-11-24,2020-03-31,534,6,,
AQ20020666,Centre de la petite enfance Touchatouille inc.,31 rue Audubon Port-Cartier G5B1M2,Syndicat des Metallos Section locale 7065,FTQ,Greve,Prive,Services de sante et services sociaux,8641,Cote-Nord,47,47,2021-10-13,2021-10-13,2021-03-10,47,1,,
AM20008226,C.P.E. au Jardin de Pierrot inc.,399 rue Perreault Est Rouyn-Noranda J9X3C5,Syndicat des Metallos section locale 9291,FTQ,Greve,Prive,Services de sante et services sociaux,8641,Abitibi-Temiscamingue,29,29,2021-10-13,2021-10-13,2020-03-31,29,1,,
AQ10054695,CPE Le Mur-MÃ»r inc.,299 Le Carrefour local 22 Fermont G0G1J0,Syndicat des travailleuses et travailleurs du CPE Le Mur-MÃ»r - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Cote-Nord,20,340,2021-10-14,2021-12-10,2020-03-31,340,17,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat quebecois des employees et employes de service section locale 298 (FTQ),FTQ,Greve,Prive,Services de sante et services sociaux,8641,Plus d'une region,435,3045,2021-10-18,2021-11-25,,3045,7,,
AM20022160,Rising Star Hospitality inc.,6500 chemin de la Cote-de-Liesse Saint-Laurent H4T 1E3,Syndicat des travailleuses et travailleurs de l'Hotel Cote-de-Liesse - CSN,CSN,Greve,Prive,Hebergement,9111,Montreal,98,98,2021-10-21,2021-10-21,2019-10-15,98,1,,
AQ10042872,Prelco inc.,94 boulevard Cartier Riviere-du-Loup G5R2M9,Unifor,FTQ,Greve,Prive,Industries des produits mineraux non metalliques,3562,Bas-Saint-Laurent,228,1140,2021-10-24,2021-10-31,2021-02-28,1140,5,,
AM10047818,Les petits tresors de Boisbriand,520  avenue Adrien-Chartrand  Boisbriand J7G2M2,Syndicat des intervenantes en petite enfance des Laurentides (CSQ),CSQ,Greve,Prive,Services de sante et services sociaux,8641,Laurentides,33,165,2021-11-01,2021-11-24,2020-03-31,165,5,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses et travailleurs des centres de la petite enfance de Quebec Chaudiere-Appalaches ,CSN,Greve,Prive,Services de sante et services sociaux,8641,Plusieurs regions,1544,22897,2021-11-02,2021-12-10,2020-03-31,22897,15,,
AM20014906,Societe de transport de Laval,2250  avenue Francis-Hughes  Laval H7S2C3,Syndicat canadien de la fonction publique section locale 5959,FTQ,Greve,Public,Transports,4571,Laval,409,2043,2021-11-03,2021-12-20,2019-07-31,2043,5,,
AM20014251,Autobus Rive-Sud inc.,1125  boulevard Saint-Joseph bureau 320  Drummondville J2C2C8,Teamsters Quebec Local 106,FTQ,Greve,Prive,Transports,4573,Monteregie,154,462,2021-11-04,2021-11-08,2020-06-30,462,3,,
AM10030451,Hema-Quebec,4045  boulevard de la Cote-Vertu  Montreal H4R2W7,Syndicat des assistants(es) techniques de Laboratoire de Hema-Quebec (CSN),CSN,Greve,Public,Services de sante et services sociaux,8685,Montreal,13,39,2021-11-08,2021-11-30,2019-03-31,39,3,,
AQ20002359,Hema-Quebec,4045  boulevard de la Cote-Vertu  Montreal H4R2W7,Syndicat des infirmieres et infirmieres auxiliaires de Hema-Quebec (CSN),CSN,Greve,Public,Services de sante et services sociaux,8685,Capitale-Nationale,12,36,2021-11-08,2021-12-01,2019-03-31,36,3,,
AM10030452,Hema-Quebec,4045  boulevard de la Cote-Vertu  Montreal H4R2W7,Syndicat des techniciens(nes) de laboratoire de Hema-Quebec (CSN),CSN,Greve,Public,Services de sante et services sociaux,8685,Montreal,16,48,2021-11-08,2021-11-30,2019-03-31,48,3,,
AQ20018326,Hema-Quebec,4045  boulevard de la Cote-Vertu  Montreal H4R2W7,Syndicat des travailleuses et travailleurs de Hema-Quebec Quebec - CSN,CSN,Greve,Public,Services de sante et services sociaux,8685,Capitale-Nationale,20,40,2021-11-08,2021-11-09,2019-03-31,40,2,,
AM10030448,Hema-Quebec,4045  boulevard de la Cote-Vertu  Montreal H4R2W7,Syndicat des travailleuses et travailleurs de Hema-Quebec Montreal-CSN,CSN,Greve,Public,Services de sante et services sociaux,8685,Montreal,18,36,2021-11-08,2021-11-09,2019-03-31,36,2,,
AM20012497,Tafisa Canada inc.,4660  rue Villeneuve  Lac-Megantic G6B2C3,Unifor section locale 299,FTQ,Greve,Prive,Industries du bois,2593,Estrie,260,1040,2021-11-09,2021-11-13,2021-09-23,1040,4,,
AM10008076,Compagnie Beaulieu Canada (division 3),445  rue de Roxton  Acton Vale J0H1A0,Union des employes et employees de service section locale 800,FTQ,Greve,Prive,Industries des produits textiles,1921,Monteregie,200,2600,2021-11-15,2021-12-10,2021-08-13,2600,5,,
AM10023129,Societe des alcools du Quebec,905  avenue De Lorimier  Montreal H2K3V9,Syndicat canadien de la fonction publique section locale 3535,FTQ,Greve,Public,Commerces de gros de produits alimentaires de boissons de medicaments et de tabac,5222,Montreal,557,1114,2021-11-16,2021-11-22,2021-03-31,1114,2,,
AM10008271,Rolls-Royce Canada limitee,9500  chemin de la Cote-de-Liesse  Montreal H8T1A2,Syndicat des travailleuses et travailleurs de Rolls-Royce Canada - CSN,CSN,Greve,Prive,Industries du materiel de transport,3211,Montreal,381,1526,2021-11-16,2021-01-03,2020-03-21,1526,4,,
AQ20011534,Societe des traversiers du Quebec,250  rue Saint-Paul  Quebec G1K9K9,Syndicat des Metallos section locale 9599,FTQ,Greve,Public,Transports,4542,Capitale-Nationale,25,100,2021-11-17,2021-11-20,2020-03-31,100,4,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat de la nouvelle union ,CSQ,Greve,Prive,Services de sante et services sociaux,8641,Capitale-Nationale,80,240,2021-11-22,2021-11-24,2021-06-30,240,3,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des intervenantes en petite enfance de Quebec (SIPEQ-CSQ),CSQ,Greve,Prive,Services de sante et services sociaux,8641,Plusieurs regions,577,1731,2021-11-22,2021-11-24,2020-03-31,1731,3,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses en service de garde de Lanaudiere - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Lanaudiere,301,2408,2021-12-01,2021-12-10,2020-03-31,2408,8,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses en CPE region Laurentides (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Laurentides,728,5884,2021-12-01,2021-12-10,2020-03-31,5884,8,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleurs(euses) en Centre de la petite enfance de l'Outaouais STCPEO - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Outaouais,470,3760,2021-12-01,2021-12-10,2020-03-31,3760,8,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses des centres de la petite enfance et des bureaux coordonnateurs du Saguenay-Lac-Saint-Jean-FSSS-CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Saguenay--Lac-Saint-Jean,771,6168,2021-12-01,2021-12-10,2020-03-31,6168,8,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses(eurs) des centres de la petite enfance de l'Estrie (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Estrie,1121,8968,2021-12-01,2021-12-10,2020-03-31,8968,8,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses(eurs) des centres de la petite enfance de Montreal et Laval - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Plus d'une region,2416,19328,2021-12-01,2021-12-10,2020-03-31,19328,8,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des employees des Centres de la petite  enfance de la MRC de Riviere-du-Loup (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Bas-Saint-Laurent,187,1496,2021-12-01,2021-12-10,2020-03-31,1496,8,,
,Les centres de la petite enfance (plusieurs unites d'accreditation),Plusieurs etablissements,Syndicat des travailleuses des Centres de la petite enfance de la MRC Rimouski-Neigette CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Bas-Saint-Laurent,60,480,2021-12-01,2021-12-10,2020-03-31,480,8,,
AQ20018543,Centre de la petite enfance Les P'tits coquillages,423 route Bellevue  Port-Daniel--Gascons G0C2N0,STT Les p'tits coquillages - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,15,120,2021-12-01,2021-12-10,2020-03-31,120,8,,
AQ20014498,Centre de la petite Enfance Chez ma tante,568 chemin des Caps  Fatima G4T2S8,Syndicat des employes-es du Centre de la Petite Enfance chez ma Tante - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,30,240,2021-12-01,2021-12-10,2020-03-31,240,8,,
AQ10042729,Centre de la petite enfance Pouce-Pousse inc.,135 du Cure-Miville  New Richmond G0C2B0,Syndicat des travailleurs et travailleuses du C.P.E.  Pouce-Pousse inc. de New-Richmond,CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,35,280,2021-12-01,2021-12-10,2020-03-31,280,8,,
AQ20008032,Centre de la petite enfance Les P'tits Montois,69 avenue de la Gare  Mont-Joli G5H1N9,Syndicat des travailleurs(euses) des centres de la petite enfance de la MRC de la Mitis (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Bas-Saint-Laurent,25,200,2021-12-01,2021-12-10,2020-03-31,200,8,,
AQ20009582,Centre de la petite enfance de la Baie,101 avenue Grand-Pre  Bonaventure G0C1E0,Syndicat des travailleuses de CPE de la MRC de Bonaventure - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,35,280,2021-12-01,2021-12-10,2020-03-31,280,8,,
AQ10032730,Centre de la petite enfance La Maree Montante,230 route du Parc suite EA-101  Sainte-Anne-des-Monts G4V2C4,Syndicat des travailleuses de La Maree Montante de Ste-Anne-des-Monts (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,40,320,2021-12-01,2021-12-10,2020-03-31,320,8,,
AQ20006313,Centre de la petite enfance Le voyage de mon enfance,484 montee Wakeham  Gaspe G4X1Y6,Syndicat des travailleuses du C.P.E. Le Voyage de mon Enfance (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,50,400,2021-12-01,2021-12-10,2020-03-31,400,8,,
AQ20002159,Centre de la petite enfance La Mariniere,222 boulevard Gerard-D. Levesque Case postale 8 Paspebiac QC G0C2K0,Syndicat des travailleuses du CPE La Mariniere-CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,25,200,2021-12-01,2021-12-10,2020-03-31,200,8,,
AQ10048806,Centre de la petite enfance Les P'tits Flots,7 rue Saint-Augustin  Amqui G5J3H7,Syndicat des travailleuses du CPE Les P'tits Flots (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Bas-Saint-Laurent,22,176,2021-12-01,2021-12-10,2020-03-31,176,8,,
AQ20015999,Centre de la petite enfance La baleine bricoleuse,566 rue Jean-Rioux  Trois-Pistoles G0L4K0,Syndicat des travailleuses et des travailleurs du  CPE La baleine bricoleuse - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Bas-Saint-Laurent,24,192,2021-12-01,2021-12-10,2020-03-31,192,8,,
AQ20012754,Centre de la petite enfance La Ramee,52 chemin de Gros-Cap Cap-aux-Meules QC  G4T1K8,Syndicat des travailleuses et des travailleurs du Centre de la petite enfance La Ramee-CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,25,200,2021-12-01,2021-12-10,2020-03-31,200,8,,
AQ20013336,CPE Les Calinours,795 rue Commerciale Nord  Temiscouata-sur-le-Lac G0L1E0,Syndicat des travailleuses et travailleurs de CPE de la MRC du Temiscouata-CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Bas-Saint-Laurent,45,360,2021-12-01,2021-12-10,2020-03-31,360,8,,
AQ20014359,Services de garde L'Enfant Joue,55 rue Principale  Saint-MoÃ¯se G0J2Z0,Syndicat des travailleuses et travailleurs des services de garde L'Enfant Joue - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Bas-Saint-Laurent,30,240,2021-12-01,2021-12-10,2020-03-31,240,8,,
AQ20018124,Centre de la petite enfance de la Baie,101 avenue Grand-Pre  Bonaventure G0C1E0,Syndicat des travailleuses et travailleurs du CPE de la Baie a Maria - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,40,320,2021-12-01,2021-12-10,2020-03-31,320,8,,
AQ20020272,CPE des Butineurs,203 boulevard York Ouest  Gaspe G4X0E8,Syndicat des travailleuses et travailleurs du CPE des Butineurs - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Gaspesie--iles-de-la-Madeleine,30,240,2021-12-01,2021-12-10,2021-03-31,240,8,,
AM20003774,Centre de la petite enfance Le train de Bourgogne,2515  rue Delisle 2ieme etage  Montreal H3J1K8,Syndicat des travailleuses(eurs) en garderie de Montreal (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Montreal,20,160,2021-12-01,2021-12-10,2020-03-31,160,8,,
AQ20014826,Centre de la petite enfance de Matane,335 rue de la Gare  Matane G4W3J4,Syndicat du personnel en service de garde de la region de Matane - CSN,CSN,Greve,Prive,Services de sante et services sociaux,8641,Bas-Saint-Laurent,40,320,2021-12-01,2021-12-10,2020-03-31,320,8,,
AQ20007775,L'Enfant Rit inc.,154 rue Saint-Luc Case postale 66 Causapscal G0J1J0,Syndicat regional des travailleuses des centres de la petite enfance de la MRC Matapedia (CSN),CSN,Greve,Prive,Services de sante et services sociaux,8641,Bas-Saint-Laurent,15,120,2021-12-01,2021-12-10,2020-03-31,120,8,,
AM20008579,Societe d'habitation et de developpement de Montreal,425  rue Sherbrooke Est  Montreal H2L1J9,Syndicat des cols bleus regroupes de Montreal (SCFP 301),FTQ,Greve,Public,Services des administrations locales,8374,Montreal,35,35,2021-12-08,,2017-12-31,35,1,,
AM10027300,Pecheries Atlantiques du Quebec une division de Metro Richelieu inc.,11011  boulevard Maurice-Duplessis  Montreal H1C1V6,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 501,FTQ,Greve,Prive,Commerces de gros de produits alimentaires de boissons de medicaments et de tabac,5219,Montreal,36,36,2021-12-11,2021-12-11,2021-07-12,36,1,,
AQ10039503,Ambulance Marlow inc.,102 2e Rue Sud  Saint-Gedeon-de-Beauce G0M1T0,Travailleurs ambulanciers syndiques de Beauce inc.,Independant,Greve,Prive,Services de sante et services sociaux,8689,Chaudiere-Appalaches,15,0,2021-12-14,,2020-03-31,0,18,,
AM20015282,Ambulances La Patrie une division de Dessercom inc.,592  avenue Sainte-Marie  Saint-Hyacinthe J2S4R5,Travailleurs ambulanciers syndiques de Beauce inc. (TASBI),Independant,Greve,Prive,Services de sante et services sociaux,8689,Estrie,38,0,2021-12-14,,2020-03-31,0,18,,
AQ20000341,Corporation ambulanciere de Beauce inc. (CAMBI),463 boulevard Renault Case postale 5128 Beauceville G5X3P5,Travailleurs ambulanciers syndiques Beauce inc. (TASBI),Independant,Greve,Prive,Services de sante et services sociaux,8689,Chaudiere-Appalaches,116,0,2021-12-14,,2020-03-31,0,18,,
AM20013578,Dessercom inc.,5636  rue des Aulnaies  Levis G6V5B4,Syndicat TASBI  Syndicat des travailleurs ambulanciers de Beauce incorpore,Independant,Greve,Prive,Services de sante et services sociaux,8689,Estrie,49,0,2021-12-14,,2020-03-31,0,18,,
AM10054595,Ferme St-Zotique inc.,200 69e Avenue  Saint-Zotique J0P1Z0,Syndicat des travailleuses et des travailleurs de la Ferme St-Zotique - CSN,CSN,Greve,Prive,Commerces de gros de produits alimentaires de boissons de medicaments et de tabac,5214,Monteregie,130,130,2021-12-23,2021-12-23,2021-11-07,130,1,,
