Numero_accreditation,Nom_employeur,Adresse_employeur,Nom_association,Sigle_du_syndicat,Statut_arret_de_travail,Secteur_activite_economique,Code_activite_economique,Region_administrative,Nombre_de_travailleurs_touches,Nombre_jours_personnes_perdus_depuis_debut_arret_travail,Date_de_debut_arret_de_travail,Date_de_fin_arret_de_travail,Date_expiration_derniere_convention_collective,Duree_en_jours_civils 
AR10046950,CPNSSS - Centres hospitaliers publics,3700 rue Berri bureau 300 (8611) Montréal H2L4G9,L'Association professionnelle des  technologistes médicaux du Québec  (APTMQ),Indépendant,Grève,Services de santé et services sociaux,8611,Toutes les régions,264,9778,2000-02-22,2000-03-29,1998-12-31,37
AR10046958,CPNSSS - Centres d'hébergement et de soins de longue durée (CHP),3700 rue Berri bureau 300 (8614) Montréal H2L4G9,L'Association professionnelle des  technologistes médicaux du Québec  (APTMQ),Indépendant,Grève,Services de santé et services sociaux,8627,Toutes les régions,10,370,2000-02-22,2000-03-29,1998-12-31,37
AR10046963,CPNSSS - Centres locaux de services communautaires (CLSC),3700 rue Berri bureau 300 (8631) Montréal H2L4G9,L'Association professionnelle des  technologistes médicaux du Québec  (APTMQ),Indépendant,Grève,Services de santé et services sociaux,8631,Toutes les régions,10,370,2000-02-22,2000-03-29,1998-12-31,37
AR10046976,CPNSSS - Établissements privés conventionnés,3700 rue Berri bureau 300 (8627) Montréal H2L4G9,L'Association professionnelle des  technologistes médicaux du Québec  (APTMQ),Indépendant,Grève,Services de santé et services sociaux,8627,Toutes les régions,1,52,2000-02-22,2000-03-29,,37
AM10009773,J.B. Laverdure inc.,400 boulevard Crémazie Ouest  Montréal H2P1C7,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 501 ,FTQ,Lock-out,"Commerces de gros de produits alimentaires, de boissons, de médicaments et de tabac",5216,Montréal,40,700,2000-03-01,2000-03-24,1998-10-31,24
AQ10044348,Société de développement du Massif  de Petite-Rivière-St-François inc.,1350 rue Principale case postale 47 Petite-Rivière-Saint-François G0A2L0,Syndicat des salariés(es) du Massif Petite-Rivière St-François ,CSN,Grève,Services de divertissements et de loisirs,9653,Capitale-Nationale,65,65,2000-03-07,2000-03-07,1999-12-31,1
AR10046928,CPNSSS - Centres hospitaliers publics,3700 rue Berri bureau 300 (8611) Montréal H2L4G9,Syndicat des professionnels et des techniciens de la santé du Québec (S.P.T.S.Q.) (C.P.S.),Indépendant,Grève,Services de santé et services sociaux,8611,Toutes les régions,264,6078,2000-03-07,2000-03-29,1998-12-31,23
AR10046930,CPNSSS - Centres d'hébergement et de soins de longue durée (CHP),3700 rue Berri bureau 300 (8614) Montréal H2L4G9,Syndicat des professionnels et des techniciens de la santé du Québec (SPTSQ-CPS),Indépendant,Grève,Services de santé et services sociaux,8627,Toutes les régions,39,903,2000-03-07,2000-03-29,1998-12-31,23
AR10046932,CPNSSS - Centres locaux de services communautaires (CLSC),3700 rue Berri bureau 300 (8631) Montréal H2L4G9,Syndicat des professionnels et des techniciens de la santé du Québec (SPTSQ-CPS),Indépendant,Grève,Services de santé et services sociaux,8631,Toutes les régions,16,377,2000-03-07,2000-03-29,1998-12-31,23
AR10046934,CPNSSS - Centres de réadaptation,3700 rue Berri bureau 300 (8622) Montréal H2L4G9,Syndicat des professionnels et des techniciens de la santé du Québec (SPTSQ-CPS),Indépendant,Grève,Services de santé et services sociaux,8622,Toutes les régions,11,246,2000-03-07,2000-03-29,1998-12-31,23
AR10046936,CPNSSS - Établissements privés conventionnés,3700 rue Berri bureau 300 (8627) Montréal H2L4G9,Syndicat des professionnels et des techniciens de la santé du Québec (SPTSQ-CPS),Indépendant,Grève,Services de santé et services sociaux,8627,Toutes les régions,11,246,2000-03-07,2000-03-29,1998-12-31,23
AM10006920,Commission des services juridiques,150 rue Sainte-Catherine Ouest  Montréal H2X1Z8,Syndicat des employés de la Commission  des Services Juridiques ,CSN,Grève,Services aux entreprises,7761,Plus d'une région,450,450,2000-03-08,2000-03-08,1998-06-30,1
AM10020194,CMC Électronique inc.,600 boulevard Dr.-Frederik-Philips  Saint-Laurent H4M2S9,Unifor,FTQ,Grève,Industries des produits électriques et électroniques,3359,Montréal,313,313,2000-03-13,2000-03-13,1999-11-29,1
AM10006215,Pâtisserie Gaudet inc.,1048 rue MacDonald  Acton Vale J0H1A0,Union des employés et employées de service section locale 800,FTQ,Grève,Industries des aliments,1072,Montérégie,42,126,2000-03-15,2000-03-19,1999-11-30,5
AM10025788,Quali-T-Galv inc.,7500 rue Saint-Patrick  LaSalle H8N1V1,Syndicat des Métallos section locale 8990,FTQ,Grève,Industries de la fabrication des produits métalliques (sauf les industries de la machinerie et du matériel de transport),3041,Montréal,47,30925,2000-03-16,2001-12-31,1999-12-31,656
AM10046821,Deslongchamps et fils inc.,675 rue St-Isidore Laurentides Qc  J0R1C0,Union internationale des travailleurs et travailleuses unis de l'alimentation et de commerce FAT-COI-CTC-TUAC Canada Section locale 1991-P,FTQ,Lock-out,Autres commerces de détail,6533,Laval,11,697,2000-03-18,2000-05-17,,61
AM10047250,Association de chasse et pêche des Nymphes inc.,123 rue de la Station  Saint-Félix-de-Valois J0K2M0,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 500,FTQ,Lock-out,Services de l'administration provinciale,8264,Lanaudière,4,180,2000-03-20,2000-05-17,,59
AM10030666,3149030 Canada inc.,2655 rue Reading  Montréal H3K1P6,Union des chauffeurs de camions hommes d'entrepôts et autres ouvriers Teamsters Québec section locale 106 ,FTQ,Grève,Entreposage,4791,Montréal,9,49,2000-03-23,2000-03-30,,8
,Compagnie de céréales Cargill ltée (Juridiction fédérale),CP 130 Chemin Maritime  Baie-Comeau G4Z2G9,Syndicat national des employées de Cargill limited,CSN,Lock-out,Commerces de gros de produits agricoles,5012,Côte-Nord,29,32800,2000-03-27,2003-05-18,1999-01-31,1148
AM10048618,Atis Portes et Fenêtres Corp. (Division portes),2225 boulevard des Entreprises  Terrebonne J6Y1W9,Teamsters Québec section locale 106,FTQ,Grève,Industries de la fabrication des produits métalliques (sauf les industries de la machinerie et du matériel de transport),3031,Lanaudière,35,70,2000-03-28,2000-03-29,,2
AM10007300,Certainteed Gypsum Canada Inc.,700 1re Avenue  Sainte-Catherine J5C1C5,Unifor section locale 134-Q,FTQ,Grève,Industries des produits minéraux non métalliques,3593,Montérégie,59,16718,2000-04-01,2001-01-07,1999-09-14,282
AM10046878,Belron Canada  (Lebeau vitres d'autos),8288 boulevard Pie IX  Montréal H1Z3V6,Travailleurs et travailleuses unis de l'alimentation et du commerce local 486 (CTC-FTQ),FTQ,Grève,"Commerces de détail des véhicules automobiles, pièces et accessoires",6342,Outaouais,12,1524,2000-04-03,2000-10-02,,183
AQ10037875,Ville de Baie-Comeau,19 avenue Marquette  Baie-Comeau G4Z1K5,Syndicat canadien de la fonction publique section locale 2915,FTQ,Grève,Services des administrations locales,8351,Côte-Nord,52,104,2000-04-06,2000-06-09,1999-03-31,65
AQ10041197,Château Mont Sainte-Anne inc.,500 boulevard du Beau-Pré  Beaupré G0A1E0,Syndicat des travailleurs(euses) du Château Mont Ste-Anne ,CSN,Grève,Hébergement,9111,Capitale-Nationale,71,71,2000-04-07,2000-04-08,1996-01-01,2
,S.G.T. 2000 inc. (Juridiction fédérale),354 Route 122  Saint-Germain-de-Grantham J0C1K0,Union des chauffeurs de camions hommes d'entrepôts  et autres ouvriers section locale 106 affiliée à la Fraternité internationale  des routiers chauffeurs hommes d'entreprôts et aides d'Amérique (I.B.T.),FTQ,Grève,Transports,4561,Mauricie,275,11825,2000-04-09,2000-05-21,,43
AM10026801,"Super C, une division de Metro Richelieu inc.",7151 rue Jean-Talon Est 3e étage  Anjou H1M3N8,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 500,FTQ,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Outaouais,41,17670,2000-04-10,2001-06-17,2000-01-14,434
AM10029483,Le Groupe Stewart inc.,160 boulevard Graham Mont-Royal QC  H3P3H9,Syndicat des travailleuses et travailleurs de Urgel Bourgie,CSN,Grève,Services personnels et domestiques,9731,Plus d'une région,191,191,2000-04-10,2000-04-10,,1
AM10046734,Entraide diabétique du Québec inc.,5635 rue Sherbrooke est  Montréal H1N1A2,Syndicat canadien des communications de l'énergie et du papier (SCEP) FTQ section locale 197,FTQ,Grève,Services de santé et services sociaux,8699,Montréal,43,1806,2000-04-14,2000-06-14,,62
AM10027934,9038-6327 Québec inc.,125 boulevard Saint-Joseph Drummondville QC  J2C2A5,Syndicat des travailleurs et travailleuses de  la rôtisserie St-Hubert de Drummondville ,CSN,Grève,Restauration,9211,Centre-du-Québec,71,5357,2000-04-20,2000-07-03,1999-12-31,75
AQ10043624,Ville de Moisie,1085 rue Lamothe  Moisie G0G2B0,Syndicat des travailleuses et travailleurs de la Ville de Moisie ,CSN,Grève,Services des administrations locales,8351,Côte-Nord,10,1060,2000-04-26,2000-09-26,1999-04-30,154
AM10007400,Goodyear Canada inc.,10 Four Seasons Place Etobicoke ONT  M9B6G2,Syndicat des Métallos section locale 919,FTQ,Grève,Industrie des produits du caoutchouc,1511,Montérégie,56,22062,2000-04-27,2001-05-27,1996-06-30,396
AQ10032772,Matériaux Cascades inc.,161 rue Saint-Paul Louiseville (Québec)  J5V2G9,Section locale 866 du syndicat canadien des  communications de l'énergie et du papier  (SCEP),FTQ,Grève,Industries du bois,2593,Mauricie,34,671,2000-05-03,2000-05-22,1999-11-10,20
AM10023943,Association Iris inc.,2430 Boul Henri-bourassa E bur 101 Montréal H2B1T7,Syndicat des travailleuses et  travailleurs  du Centre de crise Iris ,CSN,Grève,Services de santé et services sociaux,8621,Montréal,27,4532,2000-05-08,2001-07-07,1998-08-31,426
AM10030232,Caisse populaire Desjardins de Barraute,471 10e Rue Barraute Qc  J0Y1A0,Syndicat des travailleuses et travailleurs de  la Caisse populaire Desjardins de Barraute,CSN,Grève,Intermédiaires financiers de dépôts,7051,Abitibi-Témiscamingue,17,705,2000-05-09,2000-07-09,,62
AQ10047696,Caisse populaire Desjardins de Sainte-Félicité,151 rue Saint-Joseph C. P. 220  Sainte-Félicité G0J2K0,Syndicat des employées et employés professionnels-les et de bureau section locale 575 SIEPB CTC-FTQ,FTQ,Grève,Intermédiaires financiers de dépôts,7051,Bas-Saint-Laurent,6,204,2000-05-11,2000-06-28,,49
AM10012321,Générale Électrique du Canada,795 avenue George-V Lachine QC  H8S4K8,Association internationale des machinistes  et des travailleurs et travailleuses de  l'aérospatiale section locale 1660 -  District 11,FTQ,Grève,Industries de la machinerie (sauf électrique),3194,Montréal,280,560,2000-05-18,2000-05-22,2000-03-26,5
AQ10042138,Confections Mikado inc.,27 rue Laurier Ouest Arthabaska (Québec)  G6P6P4,Syndicat des salariés de Mikado ,CSD,Grève,Industries de l'habillement,2499,Centre-du-Québec,30,2490,2000-05-18,2000-09-17,1999-10-18,123
AM10012289,"Syndicat international des travailleurs unis de l'automobile, de l'aérospatiale et de l'outillage agricole d'Amérique (TCA)",7811 Louis-Hippolyte-La Fontaine bureau 203 Montréal (Québec) H1K4E4,Union internationale des employés professionnels et de bureau section  locale 343,FTQ,Grève,Associations,9841,Montréal,6,174,2000-05-19,2000-06-30,,43
AM10047870,Usine bois Kanenda,701 rue Iberville  Mont-Laurier J9L3W7,Unifor section locale 299,FTQ,Grève et lock-out,Industries du bois,2599,Laurentides,51,1020,2000-05-26,2000-06-25,,31
AM10024574,Produits de Sécurité North ltée,3719 rue des Commissaires  Rawdon J0K1S0,Section locale 145 du Syndicat canadien des communications de l'énergie et du papier,FTQ,Grève,Industries des produits en matière plastique,1699,Lanaudière,59,3023,2000-05-27,2000-08-06,2000-03-31,72
AM10007649,Barcana inc.,905 boulevard Industriel  Granby J2G2N5,Syndicat des salariés de Barcana ,CSN,Grève,Autres industries manufacturières,3999,Montérégie,126,3150,2000-05-29,2000-07-04,2000-03-01,37
AQ10032718,Miroir Laurier ltée,153 boulevard Laurier bureau 300  Laurier-Station G0S1N0,Vitriers travailleurs du verre local 1135 de la Fraternité internationale des peintres et métiers connexes,FCT,Grève,Industries des produits minéraux non métalliques,3562,Chaudière-Appalaches,54,1188,2000-05-31,2000-06-30,2000-03-15,31
AM10048440,Les moulées Robi inc.,190 rue Comeau Nord  Farnham J2N2N4,Union des chauffeurs de camions hommes d'entrepôts et autres ouvriers Teamsters Québec section locale 106 ,FTQ,Grève,"Commerces de gros de machines, matériel et fournitures",5731,Montérégie,31,15,2000-06-06,2000-06-06,,1
AQ10034732,Campus Notre-Dame-de-Foy,5000 rue Clément-Lockquell  Saint-Augustin-de-Desmaures G3A1B3,Association des professeurs du Campus Notre-Dame de Foy ,CSN,Lock-out,Services d'enseignement,8521,Capitale-Nationale,115,575,2000-06-07,2000-06-13,1999-06-30,7
AM10021389,Lamiver inc.,3805 rue Dollard-Desjardins  Montréal H1B5W9,Vitriers travailleurs du verre local 1135 de la Fraternité internationale des peintres et métiers connexes,FCT,Grève,Industries des produits minéraux non métalliques,3562,Montréal,45,630,2000-06-08,2000-06-26,2000-03-15,19
AM10024596,Cascades Groupe Carton Plat - Lachute Une division de Cascades Canada inc.,695 boulevard Cristini  Lachute J8H4N6,Teamsters/Conférence des communications graphiques section locale 555M,FTQ,Grève,Industries du papier et des produits en papier,2731,Laurentides,71,500,2000-06-12,2000-06-18,1999-06-30,7
AQ10037905,Norton céramiques avancées du Canada inc.,rue D.R. Wilson Case postale 900  Shawinigan (Québec) G9N6W2,Syndicat des travailleurs de Norton Shawinigan ,CSN,Grève,Industries des produits minéraux non métalliques,3571,Mauricie,77,5775,2000-06-13,2000-09-30,2000-03-20,110
AQ10034880,Caisse populaire Desjardins de  Saint-Rédempteur-de-Matane,248 rue Thibault case postale 483 Matane G4W2V9,Syndicat des employées et employés professionnels-les et de bureau section locale 575 SIEPB CTC-FTQ,FTQ,Grève et lock-out,Intermédiaires financiers de dépôts,7051,Bas-Saint-Laurent,23,207,2000-06-16,2000-06-29,1999-12-31,14
AM10008273,CAE inc.,8585 chemin de la Côte-de-Liesse  Saint-Laurent H4T1G6,Unifor section locale 522,FTQ,Grève,Industries des produits électriques et électroniques,3359,Montréal,949,2847,2000-06-19,2000-06-22,2000-06-19,4
AM10023731,Municipalité de Fleurimont,1735 chemin Galvin  Fleurimont J1G3E7,Syndicat des cols bleus de la ville de Fleurimont ,CSD,Grève,Services des administrations locales,8351,Estrie,27,27,2000-06-22,2000-06-22,1998-12-31,1
AQ10039984,Marché du Mail centre-ville inc.,8032 avenue des Églises  Charny G6X1X7,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 503,FTQ,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Capitale-Nationale,46,137,2000-06-28,2000-06-30,1999-10-02,3
AQ10042853,Caisse Desjardins de La Tuque,341 rue Saint-Joseph La Tuque QC  G9X1L3,Unifor section locale 195-Q,FTQ,Grève,Intermédiaires financiers de dépôts,7051,Mauricie,23,4048,2000-07-04,2001-03-14,1999-12-31,254
AM10019371,Auberge de la Rive (1971) inc.,165 chemin Sainte-Anne Sorel (Québec)  J3P6J7,Syndicat des travailleurs (euses) de l'Auberge de la Rive ,CSN,Grève et lock-out,Hébergement,9111,Montréal,46,12396,2000-07-07,2001-03-30,2000-06-30,267
AQ10039605,Aliments Krispy Kernels inc.,2620 rue Watt  Sainte-Foy G1P3T5,Syndicat démocratique des salariés de Krispy Kernels,CSD,Grève,Industries des aliments,1099,Capitale-Nationale,35,1697,2000-07-10,2000-08-27,2000-02-29,49
AM10008499,La compagnie Meloche inc. Division Carrière Coteau-du-Lac,3125 boulevard Saint-Charles  Kirkland H9H3B9,Teamsters Québec section locale 1999,FTQ,Grève,Industries des produits minéraux non métalliques,3551,Montérégie,30,450,2000-07-12,2000-08-01,2000-06-30,21
AQ10033974,Bertrand Croft inc.,2053 boulevard Saint-Jean-Baptiste  Chicoutimi G7H7V2,Syndicat des employé-es de Bertrand Croft  ,CSN,Grève,Industries de l'habillement,2431,Saguenay--Lac-Saint-Jean,28,238,2000-07-19,2000-07-31,2000-05-04,13
AM10048528,Chambre de commerce et d'industrie de la MRC de Deux-Montagnes (CCI2M),67A boulevard Industriel  Saint-Eustache J7R5B9,Union internationale des opérateurs ingénieurs section locale 484,FCT,Grève,Associations,9822,Laurentides,14,28,2000-07-20,2000-07-23,,4
AQ10033369,Ville de Roberval,851 boulevard Saint-Joseph  Roberval G8H2L6,Syndicat canadien de la fonction publique  section locale 2678,FTQ,Grève,Services des administrations locales,8351,Saguenay--Lac-Saint-Jean,45,45,2000-07-26,2000-07-26,1999-10-31,1
AQ10033746,Supermarchés A. Gagnon inc.,8032 avenue des Églises suite 200  Charny G6X1X7,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 503,FTQ,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Capitale-Nationale,56,564,2000-07-26,2000-08-04,1999-08-31,10
AQ10038851,Supermarchés GP inc.,2800 rue Einstein bureau 020  Québec G1X4N8,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 503,FTQ,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Capitale-Nationale,179,3303,2000-07-26,2000-08-13,1999-12-26,19
AQ10038417,Centre d'hébergement l'Entre-Temps inc.,Case postale 175 Victoriaville (Québec) G6P6S8,Syndicat des maisons d'Hébergement pour femmes  et enfants violentés région 04 ,CSN,Grève,Services de santé et services sociaux,8648,Centre-du-Québec,6,1877,2000-08-05,2001-05-23,1996-12-31,292
AM10046740,Corporation d'usinage Métro,7926 15e Avenue Montréal (Québec)  H1Z3N6,Union des routiers brasseries liqueurs douces et ouvriers de diverses industries section locale 1999 (Teamsters),FTQ,Lock-out,Industries du matériel de transport,3211,Montréal,32,289,2000-08-16,2000-08-24,,9
AQ10042777,Le Capitole de Québec inc.,972 rue Saint-Jean  Québec G1R1R5,Syndicat des travailleuses et travailleurs du théâtre Capitole ,CSN,Lock-out,Services de divertissements et de loisirs,9631,Capitale-Nationale,15,195,2000-09-15,2000-09-27,2000-06-30,13
AM10022505,Limocar des Mille-Iles,4117 rue Lavoisier  Boisbriand J7E4H5,Union des chauffeurs de camions hommes d'entrepôts et autres ouvriers Teamsters Québec section locale 106 ,FTQ,Grève,Transports,4573,Laurentides,40,40,2000-09-18,2000-09-18,2000-06-30,1
AM10047821,Acier Métaux-Spec inc.,725 boulevard Ford  Châteauguay J6J4Z2,Syndicat des travailleurs de Métaux Spec ,CSN,Grève,Industries de la fabrication des produits métalliques (sauf les industries de la machinerie et du matériel de transport),3029,Montérégie,16,2777,2000-09-22,2001-05-31,,252
AQ10042597,Caisse populaire Desjardins du Bic,157 rue Sainte-Cécile Case postale 266 Le Bic QC G0L1B0,Syndicat des employées et employés professionnels-les et de bureau section locale 575 SEPB CTC-FTQ,FTQ,Grève,Intermédiaires financiers de dépôts,7051,Bas-Saint-Laurent,9,153,2000-09-28,2000-10-23,1998-10-31,26
AM10047209,Aciers Lalime inc.,18185 rue St-Louis  Saint-Hyacinthe J2T3H5,Syndicat national de l'automobile de l'aérospatiale du transport et des autres travailleurs et travailleuses du Canada (TCA-Canada),FTQ,Grève,"Commerces de gros des articles de quincaillerie, de matériel de plomberie et de chauffage et des matériaux de construction",5619,Montérégie,8,488,2000-10-02,2000-12-31,,91
AM10025923,Autobus Venise ltée,50 rue McArthur  Salaberry-de-Valleyfield J6S4M5,Union des chauffeurs de camions hommes d'entrepôts et autres ouvriers Teamsters Québec section locale 106 ,FTQ,Grève,Transports,4573,Montérégie,19,171,2000-10-10,2000-10-22,2000-08-14,13
AR10049973,Municipalités (cols bleus),200 Chemin Ste-Foy  Québec G1R5S1,Syndicat canadien de la fonction publique,FTQ,Grève,Services des administrations locales,8351,Plus d'une région,7500,7500,2000-10-11,2000-10-11,,1
AR10049974,Municipalités (cols blancs),200 Chemin Ste-Foy  Québec G1R5S1,Syndicat canadien de la fonction publique,FTQ,Grève,Services des administrations locales,8351,Plus d'une région,7500,7500,2000-10-11,2000-10-11,,1
AM10024511,Produits non-ferreux Gauthier inc.,12355 rue April  Montréal H1B5L8,Syndicat des Métallos section locale 2008,FTQ,Grève,Industries de première transformation des métaux,2999,Montréal,60,660,2000-10-13,2000-10-29,2003-09-30,17
AQ10036030,Ville de Sainte-Foy,1130 route de l'Église Case postale 218 Sainte-Foy QC G1V4E1,Syndicat des employés manuels de la Ville de Sainte-Foy section locale 2360 SCFP,FTQ,Grève,Services des administrations locales,8351,Capitale-Nationale,200,9700,2000-10-13,2000-12-19,1999-12-31,68
AQ10034607,Centrale des syndicats du Québec,320 rue Saint-Joseph Est bureau 100  Québec G1K9E7,Syndicat des employées et employés de bureau de la CSQ,Indépendant,Grève,Associations,9841,Capitale-Nationale,92,92,2000-10-19,2000-10-19,1998-08-31,1
AQ10043165,Centre Montserrat 2962-1901 Québec inc.,650 avenue Murray  Québec G1S4V8,L'Alliance de la Fonction publique du Canada,FTQ,Grève,Services de santé et services sociaux,8627,Capitale-Nationale,9,668,2000-10-29,2001-01-14,1999-11-21,78
AQ10043413,Centre Montserrat 2962-1901 Québec inc.,650 avenue Murray  Québec G1S4V8,L'Alliance de la Fonction publique du Canada,FTQ,Grève,Services de santé et services sociaux,8627,Capitale-Nationale,3,222,2000-10-29,2001-01-14,1999-11-21,78
AM10008863,ISE Métal inc.,20 route de Windsor  Sherbrooke J1C0E5,Syndicat des travailleurs des Estampages ISE,CSN,Grève et lock-out,Industries de la fabrication des produits métalliques (sauf les industries de la machinerie et du matériel de transport),3049,Estrie,105,1102,2000-11-03,2000-11-19,2000-10-31,17
AQ10042285,Réseau de transport de la Capitale,720 rue des Rocailles  Québec G2J1A5,Syndicat des salariés(ées) d'entretien du RTC in,CSN,Grève,Transports,4571,Capitale-Nationale,16,706,2000-11-04,2000-12-16,1999-12-31,43
,Cast Terminal inc. (Juridiction fédérale),305 rue Curatteau  Montréal-Ouest H1L6R6,Association international des débardeurs section locale 1657,Indépendant,Grève,Transports,4552,Montréal,12,48,2000-11-06,2000-11-09,1998-06-30,4
,Terminus Racine ltée (Juridiction fédérale),62 Sec Port de Montréal Montréal H1N3L3,Syndicat canadien de la fonction publique section locale 4317,FTQ,Grève,Transports,4552,Montréal,20,80,2000-11-06,2000-11-09,1997-12-31,4
AQ10044143,156642 Canada inc. (Quality Suites),1600 rue Bouvier  Québec G2K1N8,L'Union des employé(e)s de la restauration Syndicat des Métallos section locale 9400,FTQ,Grève,Hébergement,9112,Capitale-Nationale,6,77,2000-11-21,2000-12-02,2000-09-01,12
AQ10048525,Régie de gestion des matières résiduelles de la Mauricie,400 boulevard de la Gabelle  Saint-Étienne-des-Grès G0X2P0,Syndicat régional des employés(es) municipaux de la Mauricie ,CSN,Grève,Autres services publics,4999,Mauricie,8,224,2000-11-27,2001-06-22,2000-04-30,208
AQ10046470,Provigo Québec inc.,400 avenue Sainte-Croix  Saint-Laurent H4N3L4,Travailleurs et travailleuses unis de l'alimentation et du commerce section locale 503,FTQ,Grève,"Commerces de détail des aliments, boissons, médicaments et tabac",6011,Capitale-Nationale,36,607,2000-12-01,2000-12-17,1999-09-30,17
AM10048589,Simmons Canada inc.,17400 route Trans Canada  Kirkland H9J2M5,Métallos section locale 1-1000,FTQ,Lock-out,Industries du meuble et des articles d'ameublement,2691,Montréal,120,9360,2000-12-08,2001-03-31,2000-05-14,114
AM10048144,Au Roi du coq rôti inc.,90 rue Camirand  Sherbrooke J1H4J5,Syndicat des travailleuses et travailleurs Au Roi du coq rôti ,CSN,Grève,Restauration,9211,Estrie,31,2200,2000-12-11,2001-02-18,,70
AM10020894,Zuritt Corporation limitée,2400 boulevard Jean-Jacques-Cossette  Val-d'Or J9P6Y5,Syndicat des Métallos section locale 4796,FTQ,Lock-out,Autres services,9941,Abitibi-Témiscamingue,8,40,2000-12-13,2000-12-19,2000-09-30,7
AM10025775,Philip Environnement (Québec) inc.,11455 rue Ontario est Montréal-Est  (QC)  H1B5J3,Regroupement des travailleurs(euses) du Québec,Indépendant,Grève,Autres services publics,4999,Montréal,20,20,2000-12-15,2000-12-15,1997-12-31,1
AM10021682,Station Mont-Tremblant Société  en commandite,1000 chemin des Voyageurs  Mont-Tremblant J8E1T1,Syndicat des travailleurs(euses) de la  Station Mont-Tremblant ,CSN,Grève,Services de divertissements et de loisirs,9653,Laurentides,780,780,2000-12-18,2000-12-18,2000-10-31,1
AM10026847,Coopérative funéraire de l'Outaouais,1369 boulevard La Vérendrye Ouest  Gatineau J8T8K2,Syndicat des travailleuses et travailleurs de la Coopérative funéraire de l'Outaouais ,CSN,Grève et lock-out,Services personnels et domestiques,9731,Outaouais,19,780,2000-12-18,2001-01-28,1999-12-31,42
,Le Groupe Océan ltée (Juridiction fédérale),105 rue Abraham-Martin Bureau 500  CP1963 - Terminus Québec Québec G1K7M1,Syndicat canadien des officiers de la  marine marchande (FAT-COI-CTC-FTQ),FTQ,Grève,Transports,4543,Capitale-Nationale,2,51,2000-12-18,2001-01-10,1999-12-31,24
AQ10046287,Centre de télésurveillance Microtec inc.,4780 rue Saint-Félix  Saint-Augustin-de-Desmaures G3A2J9,Syndicat canadien des communications de l'énergie et du papier (SCEP) section locale 484-1,FTQ,Grève,Services aux entreprises,7791,Capitale-Nationale,17,144,2001-01-11,2001-01-23,,13
AM10049466,Chrysler de Lachute,292 avenue Bethany  Lachute J8H2N2,Syndicat national de l'automobile de l'aérospatiale du transport et des autres travailleurs et travailleuses du Canada (TCA-Canada),FTQ,Grève,"Commerces de détail des véhicules automobiles, pièces et accessoires",6311,Laurentides,8,224,2001-01-12,2001-02-20,,40
AM10050007,GE Énergies Renouvelables Canada inc.,5005 boulevard Lapinière bureau 6000 Brossard J4Z0N5,Syndicat des travailleurs des énergies renouvelables ,CSN,Grève,Industries de la machinerie (sauf électrique),3194,Montérégie,136,5292,2001-01-13,2001-02-20,2000-04-30,39
AQ10046834,Les Textiles Du-Ré ltée,10 boulevard Sainte-Famille  Saint-Éphrem-de-Beauce G0M1R0,Syndicat des employé-es de Textiles Du-Ré ,CSN,Lock-out,Industries des produits textiles,1996,Chaudière-Appalaches,124,4350,2001-01-27,2001-03-02,,35
AM10019430,Station touristique Val St-Côme inc.,501 rue de Val-Saint-Côme  Saint-Côme J0K2B0,Syndicat des travailleuses et travailleurs de Val St-Côme ,CSN,Grève,Services de divertissements et de loisirs,9653,Lanaudière,64,1028,2001-02-01,2001-02-16,2000-06-30,16
AM10024106,Réno-Dépôt inc.,220 chemin Du Tremblay  Boucherville J4B8H7,Teamsters Québec section locale 1999,FTQ,Grève,Autres commerces de détail,6533,Montréal,194,5634,2001-02-04,2001-03-04,2000-08-24,29
AQ10039649,ABB inc.,500 rue du Binôme  Québec G1P4P1,Syndicat des travailleuses et travailleurs de ABB ,CSN,Lock-out,Industries des produits électriques et électroniques,3371,Capitale-Nationale,77,7405,2001-02-15,2001-05-21,2000-09-14,96
AQ10031521,"Éloi Moisan inc. (Scierie, Rabotage, Séchoirs)",20 route 354  Saint-Gilbert G0A3T0,Unifor section locale 299,FTQ,Grève,Industries du bois,2512,Capitale-Nationale,32,256,2001-02-28,2001-03-11,2000-09-28,12
AM10025917,ArcelorMittal Montréal inc.,5870 rue Saint-Patrick  Montréal H4E1B3,Syndicat des Métallos section locale 9414,FTQ,Grève,Industries de première transformation des métaux,2919,Montréal,111,3120,2001-03-01,2001-03-28,2000-09-30,28
AM10048499,Gebo Cermex Canada inc.,1045 autoroute Chomedey  Laval H7W4V3,Syndicat des Métallos section locale 2008,FTQ,Grève,Industries de la machinerie (sauf électrique),3192,Laval,48,6480,2001-03-05,2001-09-16,,196
