NUMEROTATION,VARIABLES,CATEGORIE_SOUS-CATEGIE_PERSONNEL,2019_TOTAL_EFFECTIF,2018_TOTAL_EFFECTIF,2017_TOTAL_EFFECTIF,2016_TOTAL_EFFECTIF,2015_TOTAL_EFFECTIF,2014_TOTAL_EFFECTIF,2013_TOTAL_EFFECTIF,2012_TOTAL_EFFECTIF,2011_TOTAL_EFFECTIF,2010_TOTAL_EFFECTIF,TITRE_RAPPORT,DATE_PRODUCTION,SOURCE,PRODUIT_PAR
88,Nombre d'ETC lors de l'année financière se terminant ,17 - Externe en inhalothérapie,18,11,7,10,15,21,20,30,31,44,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
89,Nombre d'ETC lors de l'année financière se terminant ,10 - Personnel en soins infirmiers et cardio-respiratoires,66 437,65 001,63 596,63 202,63 148,62 285,61 292,60 912,59 301,59 332,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
90,Nombre d'ETC lors de l'année financière se terminant ,21 - Préposé aux bénéficiaires,31 702,31 545,30 555,30 425,30 625,30 665,30 589,30 803,30 266,29 782,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
91,Nombre d'ETC lors de l'année financière se terminant ,22 - Auxiliaire familiale,5 255,5 214,5 163,5 225,5 346,5 178,5 063,5 036,4 823,4 729,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
92,Nombre d'ETC lors de l'année financière se terminant ,23 - Autres paratechniques,7 600,7 079,6 906,6 913,6 942,6 816,6 683,6 639,6 456,6 281,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
93,Nombre d'ETC lors de l'année financière se terminant ,24 - Services auxiliaires,20 235,20 177,19 893,19 699,19 969,20 146,20 354,20 590,20 422,20 324,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
94,Nombre d'ETC lors de l'année financière se terminant ,25 - Métiers,1 409,1 357,1 316,1 289,1 313,1 303,1 325,1 313,1 326,1 347,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
95,Nombre d'ETC lors de l'année financière se terminant ,20 - Personnel paratechnique  services auxiliaires et métiers,66 201,65 371,63 833,63 551,64 195,64 109,64 015,64 381,63 293,62 463,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
96,Nombre d'ETC lors de l'année financière se terminant ,31 - Employé de bureau,25 708,24 916,24 144,24 084,24 712,24 770,24 873,24 943,24 848,24 700,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
97,Nombre d'ETC lors de l'année financière se terminant ,32 - Technicien de l'administration,6 114,5 973,5 756,5 740,5 996,5 979,5 909,5 808,5 709,5 606,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
98,Nombre d'ETC lors de l'année financière se terminant ,33 - Professionnel de l'administration,3 700,3 513,3 158,2 930,2 985,2 769,2 624,2 532,2 473,2 342,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
99,Nombre d'ETC lors de l'année financière se terminant ,30 - Personnel de bureau  techniciens et professionnels de l'administration,35 521,34 401,33 058,32 755,33 693,33 519,33 406,33 282,33 031,32 647,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
100,Nombre d'ETC lors de l'année financière se terminant ,41 - Technicien de la santé,14 545,14 189,13 976,13 815,13 790,13 630,13 421,13 206,12 908,12 676,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
101,Nombre d'ETC lors de l'année financière se terminant ,42 - Professionnel de la santé,11 065,10 547,10 122,9 917,10 006,9 737,9 439,9 200,8 897,8 661,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
102,Nombre d'ETC lors de l'année financière se terminant ,43 - Technicien des services sociaux,12 283,11 883,11 502,11 585,11 714,11 719,11 665,11 681,11 449,11 369,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
103,Nombre d'ETC lors de l'année financière se terminant ,44 - Professionnel des services sociaux,15 443,14 827,14 325,14 132,14 164,13 919,13 747,13 589,13 213,12 816,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
104,Nombre d'ETC lors de l'année financière se terminant ,45 - Externe en technologie médicale,23,22,23,24,34,30,28,36,30,26,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
105,Nombre d'ETC lors de l'année financière se terminant ,40 - Techniciens et professionnels de la santé et des services sociaux,53 359,51 466,49 948,49 473,49 708,49 036,48 299,47 713,46 497,45 548,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
106,Nombre d'ETC lors de l'année financière se terminant ,51 - Pharmacien,1 420,1 373,1 355,1 327,1 284,1 232,1 194,1 187,1 142,1 117,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
107,Nombre d'ETC lors de l'année financière se terminant ,52 - Biochimiste clinique,64,63,63,63,59,59,57,57,81,85,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
108,Nombre d'ETC lors de l'année financière se terminant ,53 - Physicien,160,160,157,155,153,149,144,134,121,110,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
109,Nombre d'ETC lors de l'année financière se terminant ,54 - Sage-femme,167,162,157,150,140,129,115,106,95,81,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
110,Nombre d'ETC lors de l'année financière se terminant ,55 - Autres,0,0,0,0,0,0,0,0,0,0,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
111,Nombre d'ETC lors de l'année financière se terminant ,56 - Étudiant,32,18,14,19,23,40,119,152,152,170,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
112,Nombre d'ETC lors de l'année financière se terminant ,50 - Personnel non visé par la Loi 30,1 843,1 776,1 746,1 714,1 660,1 609,1 629,1 635,1 591,1 562,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
113,Nombre d'ETC lors de l'année financière se terminant ,61 - hors-cadre,129,140,155,210,316,329,333,336,352,357,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
114,Nombre d'ETC lors de l'année financière se terminant ,62 - Cadre supérieur,1 052,1 042,1 165,1 405,1 545,1 616,1 592,1 608,1 611,1 578,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
115,Nombre d'ETC lors de l'année financière se terminant ,63 - Cadre médecin,64,74,77,84,97,94,95,104,115,111,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
116,Nombre d'ETC lors de l'année financière se terminant ,64 - Cadre intermédiaire,8 064,8 073,8 217,8 557,9 307,9 679,9 751,9 584,9 477,9 277,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
117,Nombre d'ETC lors de l'année financière se terminant ,65 - Temporaire en situation de gestion,0,0,0,0,0,0,0,192,170,251,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
118,Nombre d'ETC lors de l'année financière se terminant ,60 - Personnel d'encadrement,9 309,9 330,9 614,10 256,11 265,11 719,11 771,11 823,11 724,11 575,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
119,Nombre d'ETC lors de l'année financière se terminant ,Total d'ETC,232 671,227 346,221 795,220 950,223 670,222 275,220 413,219 747,215 437,213 127,Données par catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
