NUMEROTATION,VARIABLES,CATEGORIE_SOUS-CATEGORIE_PERSONNEL,2019_TOTAL_EFFECTIF_TCR,2019_TOTAL_EFFECTIF_TPR,2019_TOTAL_EFFECTIF_TPO,2019_TOTAL EFFECTIF,2018_TOTAL_EFFECTIF_TCR,2018_TOTAL_EFFECTIF_TPR,2018_TOTAL_EFFECTIF_TPO,2018_TOTAL EFFECTIF,2017_TOTAL_EFFECTIF_TCR,2017_TOTAL_EFFECTIF_TPR,2017_TOTAL_EFFECTIF_TPO,2017_TOTAL EFFECTIF,2016_TOTAL_EFFECTIF_TCR,2016_TOTAL_EFFECTIF_TPR,2016_TOTAL_EFFECTIF_TPO,2016_TOTAL EFFECTIF,2015_TOTAL_EFFECTIF_TCR,2015_TOTAL_EFFECTIF_TPR,2015_TOTAL_EFFECTIF_TPO,2015_TOTAL EFFECTIF,2014_TOTAL_EFFECTIF_TCR,2014_TOTAL_EFFECTIF_TPR,2014_TOTAL_EFFECTIF_TPO,2014_TOTAL EFFECTIF,2013_TOTAL_EFFECTIF_TCR,2013_TOTAL_EFFECTIF_TPR,2013_TOTAL_EFFECTIF_TPO,2013_TOTAL EFFECTIF,2012_TOTAL_EFFECTIF_TCR,2012_TOTAL_EFFECTIF_TPR,2012_TOTAL_EFFECTIF_TPO,2012_TOTAL EFFECTIF,2011_TOTAL_EFFECTIF_TCR,2011_TOTAL_EFFECTIF_TPR,2011_TOTAL_EFFECTIF_TPO,2011_TOTAL EFFECTIF,2010_TOTAL_EFFECTIF_TCR,2010_TOTAL_EFFECTIF_TPR,2010_TOTAL_EFFECTIF_TPO,2010_TOTAL EFFECTIF,TITRE_RAPPORT,DATE_PRODUCTION,SOURCE,PRODUIT_PAR
48,Nombre d'ETC dans l'année financière,21 - Préposé aux bénéficiaires,12 463,12 765,6 474,31 702,11 947,12 921,6 677,31 545,11 686,12 904,5 965,30 555,11 773,13 231,5 421,30 425,11 848,13 264,5 513,30 625,11 710,12 867,6 088,30 665,11 581,12 753,6 255,30 589,11 167,12 250,7 386,30 803,10 874,11 855,7 537,30 266,10 636,11 550,7 596,29 782,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
49,Nombre d'ETC dans l'année financière,22 - Auxiliaire familiale,3 053,901,1 301,5 255,2 929,892,1 393,5 214,2 861,932,1 371,5 163,2 949,954,1 322,5 225,2 964,983,1 400,5 346,2 912,941,1 325,5 178,2 902,931,1 230,5 063,2 703,812,1 521,5 036,2 576,812,1 435,4 823,2 483,813,1 433,4 729,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
50,Nombre d'ETC dans l'année financière,23 - Autres paratechniques,4 184,1 432,1 985,7 600,3 946,1 361,1 772,7 079,3 968,1 388,1 550,6 906,3 988,1 398,1 526,6 913,3 967,1 394,1 581,6 942,3 882,1 358,1 577,6 816,3 719,1 354,1 610,6 683,3 504,1 229,1 906,6 639,3 392,1 246,1 818,6 456,3 368,1 160,1 753,6 281,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
51,Nombre d'ETC dans l'année financière,24 - Services auxiliaires,10 174,5 007,5 054,20 235,9 978,5 055,5 144,20 177,10 129,5 210,4 554,19 893,10 149,5 436,4 114,19 699,10 337,5 435,4 197,19 969,10 319,5 458,4 369,20 146,10 325,5 441,4 587,20 354,10 174,5 103,5 314,20 590,10 105,5 063,5 254,20 422,10 069,5 025,5 229,20 324,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
52,Nombre d'ETC dans l'année financière,25 - Métiers,1 291,45,74,1 409,1 246,47,64,1 357,1 216,48,52,1 316,1 194,42,53,1 289,1 206,43,63,1 313,1 196,47,60,1 303,1 219,47,59,1 325,1 175,19,119,1 313,1 192,20,114,1 326,1 203,22,122,1 347,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
53,Nombre d'ETC dans l'année financière,20 - Personnel paratechnique  services auxiliaires et métiers,31 164,20 149,14 888,66 201,30 046,20 275,15 050,65 371,29 861,20 481,13 491,63 833,30 053,21 061,12 436,63 551,30 322,21 119,12 754,64 195,30 020,20 670,13 419,64 109,29 746,20 527,13 742,64 015,28 723,19 412,16 246,64 381,28 140,18 996,16 157,63 293,27 758,18 570,16 134,62 463,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
54,Nombre d'ETC dans l'année financière,31 - Employé de bureau,16 291,3 246,6 171,25 708,15 626,3 185,6 105,24 916,15 167,3 364,5 612,24 144,15 348,3 518,5 218,24 084,15 791,3 704,5 217,24 712,15 787,3 772,5 212,24 770,15 583,3 736,5 554,24 873,14 580,3 307,7 055,24 943,14 485,3 350,7 013,24 848,14 376,3 343,6 981,24 700,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
55,Nombre d'ETC dans l'année financière,32 - Technicien de l'administration,5 512,256,346,6 114,5 375,247,351,5 973,5 192,271,294,5 756,5 177,268,295,5 740,5 409,283,304,5 996,5 381,309,289,5 979,5 303,302,305,5 909,4 855,197,755,5 808,4 763,179,768,5 709,4 661,178,767,5 606,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
56,Nombre d'ETC dans l'année financière,33 - Professionnel de l'administration,3 499,86,115,3 700,3 311,83,118,3 513,2 985,91,82,3 158,2 735,101,94,2 930,2 778,100,107,2 985,2 593,82,94,2 769,2 426,97,101,2 624,2 060,68,404,2 532,2 042,64,368,2 473,1 934,64,344,2 342,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
57,Nombre d'ETC dans l'année financière,30 - Personnel de bureau  techniciens et professionnels de l'administration,25 302,3 588,6 632,35 521,24 313,3 515,6 574,34 401,23 344,3 726,5 988,33 058,23 260,3 887,5 607,32 755,23 978,4 087,5 628,33 693,23 761,4 163,5 595,33 519,23 313,4 134,5 959,33 406,21 495,3 572,8 215,33 282,21 289,3 593,8 149,33 031,20 971,3 585,8 092,32 647,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
58,Nombre d'ETC dans l'année financière,41 - Technicien de la santé,9 757,2 264,2 524,14 545,9 490,2 190,2 509,14 189,9 390,2 238,2 348,13 976,9 364,2 248,2 202,13 815,9 389,2 280,2 122,13 790,9 231,2 276,2 124,13 630,8 986,2 273,2 162,13 421,8 266,2 090,2 850,13 206,8 076,2 082,2 750,12 908,7 932,2 060,2 684,12 676,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
59,Nombre d'ETC dans l'année financière,42 - Professionnel de la santé,8 153,1 840,1 072,11 065,7 730,1 691,1 126,10 547,7 467,1 714,940,10 122,7 363,1 711,843,9 917,7 495,1 684,827,10 006,7 297,1 643,797,9 737,7 066,1 607,765,9 439,5 945,1 382,1 873,9 200,5 728,1 345,1 824,8 897,5 565,1 335,1 761,8 661,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
60,Nombre d'ETC dans l'année financière,43 - Technicien des services sociaux,7 831,1 567,2 885,12 283,7 542,1 508,2 833,11 883,7 406,1 504,2 591,11 502,7 642,1 548,2 395,11 585,7 773,1 546,2 395,11 714,7 789,1 514,2 415,11 719,7 742,1 528,2 395,11 665,6 841,1 385,3 455,11 681,6 763,1 407,3 279,11 449,6 646,1 389,3 334,11 369,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
61,Nombre d'ETC dans l'année financière,44 - Professionnel des services sociaux,11 394,2 046,2 004,15 443,10 811,1 972,2 043,14 827,10 542,2 012,1 771,14 325,10 621,1 951,1 560,14 132,10 642,1 952,1 569,14 164,10 416,1 971,1 533,13 919,10 288,1 894,1 564,13 747,8 642,1 627,3 320,13 589,8 410,1 628,3 176,13 213,8 171,1 581,3 064,12 816,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
62,Nombre d'ETC dans l'année financière,45 - Externe en technologie médicale,       ,       ,23,23,       ,       ,22,22,       ,       ,23,23,0,       ,24,24,       ,0,33,34,0,       ,30,30,       ,       ,28,28,       ,       ,36,36,       ,       ,30,30,       ,       ,26,26,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
63,Nombre d'ETC dans l'année financière,40 - Techniciens et professionnels de la santé et des services sociaux,37 134,7 717,8 508,53 359,35 573,7 360,8 533,51 466,34 805,7 469,7 673,49 948,34 990,7 459,7 024,49 473,35 300,7 462,6 946,49 708,34 733,7 404,6 899,49 036,34 083,7 303,6 914,48 299,29 693,6 485,11 535,47 713,28 977,6 461,11 058,46 497,28 314,6 364,10 869,45 548,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
64,Nombre d'ETC dans l'année financière,51 - Pharmacien,1 105,243,72,1 420,1 044,247,82,1 373,1 037,250,69,1 355,1 017,239,70,1 327,979,230,75,1 284,927,236,69,1 232,901,222,71,1 194,822,168,197,1 187,788,165,190,1 142,786,162,169,1 117,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
65,Nombre d'ETC dans l'année financière,52 - Biochimiste clinique,62,1,1,64,63,       ,       ,63,63,0,0,63,63,0,1,63,57,0,2,59,59,       ,0,59,56,       ,1,57,54,       ,2,57,66,1,13,81,71,1,14,85,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
66,Nombre d'ETC dans l'année financière,53 - Physicien,155,2,3,160,153,2,5,160,153,2,1,157,152,2,2,155,147,5,1,153,145,4,       ,149,140,4,       ,144,130,1,2,134,118,1,2,121,105,1,3,110,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
67,Nombre d'ETC dans l'année financière,54 - Sage-femme,48,63,57,167,47,52,62,162,40,57,60,157,48,51,51,150,43,57,39,140,40,52,37,129,37,42,37,115,21,25,59,106,19,21,55,95,16,17,49,81,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
68,Nombre d'ETC dans l'année financière,55 - Autres,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
69,Nombre d'ETC dans l'année financière,56 - Étudiant,0,       ,32,32,       ,       ,18,18,0,       ,14,14,0,0,18,19,       ,       ,23,23,2,       ,38,40,29,1,89,119,0,0,151,152,0,       ,152,152,3,       ,167,170,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
70,Nombre d'ETC dans l'année financière,50 - Personnel non visé par la Loi 30,1 371,308,164,1 843,1 307,302,167,1 776,1 293,309,144,1 746,1 279,293,142,1 714,1 226,293,141,1 660,1 173,292,145,1 609,1 163,269,198,1 629,1 028,194,413,1 635,992,188,411,1 591,980,180,402,1 562,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
71,Nombre d'ETC dans l'année financière,61 - hors-cadre,129,1,       ,129,139,1,       ,140,153,2,1,155,208,2,1,210,312,2,1,316,324,5,1,329,328,4,1,333,327,4,5,336,344,3,5,352,347,2,7,357,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
72,Nombre d'ETC dans l'année financière,62 - Cadre supérieur,1 028,19,5,1 052,1 024,17,2,1 042,1 139,23,3,1 165,1 376,22,8,1 405,1 491,42,11,1 545,1 552,53,12,1 616,1 519,60,13,1 592,1 538,45,24,1 608,1 539,46,26,1 611,1 524,27,28,1 578,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
73,Nombre d'ETC dans l'année financière,63 - Cadre médecin,38,22,3,64,42,28,5,74,40,32,4,77,48,30,7,84,63,29,5,97,70,22,2,94,71,24,0,95,72,27,5,104,77,31,8,115,71,33,7,111,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
74,Nombre d'ETC dans l'année financière,64 - Cadre intermédiaire,7 649,339,76,8 064,7 649,346,77,8 073,7 783,351,83,8 217,8 045,390,121,8 557,8 703,474,129,9 307,8 993,536,150,9 679,8 989,551,211,9 751,8 732,519,333,9 584,8 655,504,317,9 477,8 469,516,291,9 277,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
75,Nombre d'ETC dans l'année financière,65 - Temporaire en situation de gestion,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,122,13,57,192,93,12,65,170,149,11,92,251,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
76,Nombre d'ETC dans l'année financière,60 - Personnel d'encadrement,8 844,381,85,9 309,8 855,392,83,9 330,9 115,407,91,9 614,9 676,443,137,10 256,10 570,548,147,11 265,10 939,615,164,11 719,10 906,639,226,11 771,10 791,609,423,11 823,10 708,596,421,11 724,10 560,589,426,11 575,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
77,nombre d'ETC chaque année financière,Nombre total d'ETC dans l'année financière,141 586,58 623,32 462,232 671,136 557,58 094,32 694,227 346,134 229,58 007,29 558,221 795,135 204,58 250,27 496,220 950,137 369,58 226,28 075,223 670,135 758,57 661,28 857,222 275,133 258,57 303,29 852,220 413,123 700,53 189,42 858,219 747,120 897,52 424,42 117,215 437,119 161,51 277,42 689,213 127,Données par statut d'emploi selon les catégories et sous-catégories de personnel concernant,2019-12-01,Banque de données sur les cadres et salariés du réseau de la santé et des services sociaux (R25),Direction générale du personnel réseau et ministériel (DGPRM) du MSSS
