"Numéro d'appel d'offres","Production du Décompte final","Nature principale","Description","Date d'octroi","Valeur Contrat","Décomptes finals","Pourcentage dépensé","Quantités excédentaires","Pourcentage sur le total des contingences (Quantités excédentaires)","Items supplémentaires","Pourcentage sur le total des contingences (Item supplémentaires)","Contingences totales","Pourcentage de contingences"
1209,2014-03-10,"CHAU","FOURNITURE ET POSE DE GLISSIÈRES DE SÉCURITÉ, LÀ OÙ REQUIS, DANS LE BOULEVARD DE LA VÉRENDRYE (CÔTÉ SUD) ET DANS L'AVENUE ROCKLAND, DANS LES LIMITES DÉCRITES AU BORDEREAU.  ARRONDISSEMENTS: LE SUD-OUEST ET OUTREMONT.  CONTRAT VII (P.R.R. 2011 -RÉSEAU ARTÉ",2011-11-02,"166 663,86","163 298,45","0,979807","-","-","14 460,00","1,000000","14 460,00","0,088550"
255901,2014-03-12,"TROT","RECONSTRUCTION DE TROTTOIRS ET DE BORDURES, LÀ OÙ REQUIS, DANS PLACE DU COMMERCE ET LA RUE SAINT-JACQUES, DANS LES LIMITES DÉCRITES AU BORDEREAU DE SOUMISSION.  (P.R.R. 2012 - COLLECTRICES).  ARRONDISSEMENTS: VERDUN ET LACHINE.",2012-08-15,"314 831,00","248 502,05","0,789319","5 921,70","1,000000","-","0,000000","5 921,70","0,023830"
233501,2014-03-17,"DIVR","CONSTRUCTION D'UN ÉGOUT PLUVIAL, D'UN ÉGOUT SANITAIRE ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LE PROLONGEMENT DU BOULEVARD MAURICE-DUPLESSIS, DU BOULEVARD SAINT-JEAN-BAPTISTE À LA RUE OLIVIER-LEJEUNE.  ARRONDISSEMENT: RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMB",2012-08-23,"3 339 325,00","2 822 797,02","0,845320","53 658,00","0,329813","109 034,34","0,670187","162 692,34","0,057635"
227701,2014-03-18,"EGOU","CONSTRUCTION D'UNE CONDUITE D'EAU PRINCIPALE, D'UNE CHAMBRE DE VANNES ET D'UNE CHAMBRE DE MESURE DE DÉBIT DANS LA RUE BASIN DANS LE CADRE DU PROJET LES BASSINS DU NOUVEAU HAVRE (PHASE 1). ARRONDISSEMENT: LE SUD-OUEST.",2012-05-17,"492 660,00","449 650,56","0,912700","6 783,50","0,040981","158 745,06","0,959019","165 528,56","0,368127"
1147,2014-03-26,"TROT","RÉAMÉNAGEMENT GÉOMÉTRIQUE INCLUANT DES TRAVAUX DE CONSTRUCTION ET RECONSTRUCTION DE BORDURES, DE TROTTOIRS, DE SAILLIES, D'UN MAIL CENTRAL GAZONNÉ, D'ÎLOTS, DE FOURNITURE ET D'INSTALLATION D'UN SYSTÈME D'ÉCLAIRAGE, D'INSTALLATION DE FEUX DE CIRCULATION, L",2011-05-16,"1 825 524,58","1 534 196,12","0,840414","59 625,11","0,481278","64 263,98","0,518722","123 889,09","0,080752"
1188,2014-04-07,"PAVA","PLANAGE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LA RUE SHERBROOKE, DU BOULEVARD SAINT-JEAN-BAPTISTE AU BOULEVARD TRICENTENAIRE.  ARRONDISSEMENT: RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES.  CONTRAT XIV (P.R.R. 2011 - RÉSEAU ARTÉRIEL).",2011-08-22,"943 174,00","791 326,54","0,839004","7 006,40","0,218817","25 013,06","0,781183","32 019,46","0,040463"
230301,2014-04-07,"CYCL","RÉFECTION DE CHAUSSÉE PAR FRAISAGE À CHAUD, LÀ OÙ REQUIS, SUR DIFFÉRENTES VOIES CYCLABLES DE L'AGGLOMÉRATION DE MONTRÉAL.
CONTRAT FC-01 (PISTE CYCLABLES - AGGLO. 2012).",2012-05-17,"407 231,00","394 654,73","0,969118","40 764,51","0,928307","3 148,22","0,071693","43 912,73","0,111269"
254001,2014-04-09,"CHAU","PULVÉRISATION ET STABILISATION AU BITUME-CIMENT, POSE DE REVÊTEMENT BITUMINEUX ET RECONSTRUCTION DE TROTTOIRS, LÀ OÙ REQUIS, DANS LA RUE HALPERN, DU CHEMIN SAINT-FRANÇOIS À LA RUE VANDEN-ABEELE. ARRONDISSEMENT: SAINT-LAURENT. (P.R.R. 2012 - COLLECTRICES).",2013-05-27,"905 159,31","729 043,35","0,805431","4 572,77","0,579429","3 319,08","0,420571","7 891,85","0,010825"
250502,2014-04-16,"TROT","PLANAGE DE CHAUSSÉE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LES BOULEVARDS ROSEMONT ET SAINT-MICHEL DANS LES LIMITES DÉCRITES AUX BORDEREAUX DE SOUMISSION.  (P.R.R 2012 - RÉSEAU ARTÉRIEL).",2012-06-18,"1 003 679,60","861 389,34","0,858231","27 719,00","0,629311","16 327,60","0,370689","44 046,60","0,051134"
252801,2014-04-24,"TROT","RECONSTRUCTION DE TROTTOIRS, LÀ OÙ REQUIS, SUR LA RUE JEAN-TALON ENTRE LA RUE DE LA SAVANE ET LE CHEMIN LUCERNE.ARRONDISSEMENT : CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE.  (P.R.R. 2012 - RÉSEAU ARTÉRIEL).",2012-09-26,"91 019,50","72 685,89","0,798575","3 402,22","0,883345","449,30","0,116655","3 851,52","0,052989"
258701,2014-05-07,"LAMP","TRAVAUX D'INSTALLATION D'UN SYSTÈME D'ÉCLAIRAGE POUR UNE PISTE CYCLABLE SUR LA RUE UNIVERSITÉ, ENTRE MILTON ET MAISONNEUVE DONT LES BASES ET CONDUITS SONT EXISTANTS. ARRONDISSEMENT : VILLE-MARIE.",2013-06-05,"88 968,60","67 915,12","0,763361","3 190,00","0,287663","7 899,37","0,712337","11 089,37","0,163283"
214702,2014-05-09,"EGOU","Construction d'un égout sanitaire et reconstruction d'un égout unitaire (combiné), d'une conduite d'eau secondaire, d'une conduite de 1200 mm de diamètre et de chambres de vanne dans la rue Brennan, de la rue Ann à la rue Duke. Lot 7 - Projet Bonaventure.",2012-08-23,"2 515 330,49","2 075 934,30","0,825313","37 715,86","0,360757","66 830,69","0,639243","104 546,55","0,050361"
255902,2014-05-27,"PAVA","PLANAGE DE LA CHAUSSÉE D'ASPHALTE, RECONSTRUCTION PARTIELLE À LA GRAVE-BITUME ET POSE DE REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LA RUE SAINT-JACQUES DANS L'ARRONDISSEMENT DE LACHINE, DANS PLACE DU COMMERCE DANS L'ARRONDISSEMENT DE VERDUN, DANS LES LIMI",2012-08-21,"798 776,00","703 684,46","0,880953","22 230,72","0,952330","1 112,79","0,047670","23 343,51","0,033173"
1155,2014-06-05,"PAVA","PLANAGE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LE BOULEVARD LACORDAIRE, DE LA RUE JARRY AU BOULEVARD COUTURE.ARRONDISSEMENT: SAINT-LÉONARD.  CONTRAT X (P.R.R. 2011 - SAINT-LÉONARD - RÉSEAU ARTÉRIEL).",2012-03-19,"788 921,10","742 525,87","0,941192","12 567,86","0,233293","41 303,65","0,766707","53 871,51","0,072552"
1198,2014-06-17,"EGOU","RECONSTRUCTION D'UN ÉGOUT COMBINÉ ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LA RUE SAINT-THOMAS, DE LA RUE OTTAWA À LA RUE WILLIAM.  ARRONDISSEMENT: LE SUD-OUEST.",2011-09-28,"1 048 270,10","823 302,75","0,785392","19 844,22","0,184025","87 990,07","0,815975","107 834,29","0,130978"
264402,2014-06-19,"PAVA","PLANAGE ET POSE DE REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS L'AVENUE ATWATER ET LA RUE NOTRE-DAME OUEST, DANS LES LIMITES DÉCRITES AU BORDEREAU DE SOUMISSION.  ARRONDISSEMENT: LE SUD-OUEST.  (P.R.R. 2012 - RÉSEAU ARTÉRIEL).",2012-08-21,"1 176 045,53","891 794,97","0,758300","6 564,20","1,105155","-624,58","-0,105155","5 939,62","0,006660"
1214,2014-06-20,"EGOU","CONSTRUCTION D'UN ÉGOUT SANITAIRE ET RECONSTRUCTION D'UN ÉGOUT UNITAIRE (COMBINÉ) ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LES RUES OTTAWA ET DALHOUSIE, ENTRE LES RUES DUKE ET WILLIAM.  ARRONDISSEMENTS: LE SUD-OUEST ET VILLE-MARIE.",2012-01-26,"2 742 594,21","2 223 760,83","0,810824","91 532,89","0,242944","285 231,87","0,757056","376 764,76","0,169427"
215101,2014-06-20,"EGOU","RECONSTRUCTION D'UN ÉGOUT UNITAIRE (COMBINÉ) ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LA 8E AVENUE, ENTRE LES RUES DEVILLE ET DENIS-PAPIN ET DANS LA 9E AVENUE, ENTRE LA RUE DENIS-PAPIN ET ÉMILE-JOURNAULT.  ARRONDISSEMENT: VILLERAY-SAINT-MICHEL-PARC-EXTENSI",2012-08-21,"3 098 238,00","2 413 163,28","0,778882","9 679,40","0,148582","55 465,71","0,851418","65 145,11","0,026996"
250602,2014-06-20,"CHAU","PLANAGE DE CHAUSSÉE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LE BOULEVARD DE LA VÉRENDRYE, CÔTÉ SUD, DU BOULEVARD BISHOP-POWER À LA RUE LAPIERRE.  ARRONDISSEMENT: LASALLE.   (P.R.R. 2012 - RÉSEAU ARTÉRIEL).",2012-06-27,"164 023,75","121 787,70","0,742500","-","0,000000","7,42","1,000000","7,42","0,000061"
227201,2014-07-11,"DIVR","RÉAMÉNAGEMENT DU CARREFOUR HENRI-BOURASSA ET PIE-IX - RECONSTRUCTION DE PAVAGE, DE TROTTOIRS, DE CONDUITE D'EAU SECONDAIRE, D'ÉGOUT UNITAIRE, LÀ OÙ REQUIS ET DÉMOLITION DU VIADUC HENRI-BOURASSA - LOT 1.  ARRONDISSEMENT: MONTRÉAL-NORD.",2012-04-16,"7 274 760,20","6 255 965,82","0,859955","257 940,27","0,284995","647 128,31","0,715005","905 068,58","0,144673"
1192,2014-07-16,"PAVA","RÉHABILITATION PAR FRAISAGE À CHAUD, LÀ OÙ REQUIS, SUR DIFFÉRENTES RUES DE LA VILLE DE MONTRÉAL.  CONTRAT FCC-01 (P.R.R. 2011 - RÉSEAU ARTÉRIEL).",2011-10-24,"436 480,00","334 348,51","0,766011","12 000,00","0,359434","21 385,85","0,640566","33 385,85","0,099853"
252306,2014-07-16,"EGOU","RECONSTRUCTION D'UN ÉGOUT COMBINÉ (UNITAIRE) ET D'UNE CONDUITE D'EAU SECONDAIRE DANS L'AVENUE O'BRIEN, DU BOULEVARD CÔTE-VERTU À LA RUE ROCHON.  ARRONDISSEMENT: SAINT-LAURENT.",2012-08-21,"858 797,50","738 826,23","0,860303","500,00","0,024619","19 809,57","0,975381","20 309,57","0,027489"
264405,2014-07-17,"PAVA","PLANAGE DE LA CHAUSSÉE D'ASPHALTE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LE CHEMIN DE LA CÔTE-DES-NEIGES, DIRECTION SUD, DE L'AVENUE RIDGEWOOD AU CHEMIN REMEMBRANCE.  ARRONDISSEMENTS: CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE ET VILLE-MARIE. (P.R.R. 2012 ",2012-08-15,"358 193,00","290 969,80","0,812327","1 742,80","1,498538","-579,80","-0,498538","1 163,00","0,003997"
1189,2014-07-23,"TROT","RECONSTRUCTION DE TROTTOIRS, DE BORDURES ET DE MAILS CENTRAUX ET DÉPLACEMENTS DE LAMPADAIRES, LÀ OÙ REQUIS, DANS LA RUE SHERBROOKE, DU BOULEVARD SAINT-JEAN-BAPTISTE AU BOULEVARD TRICENTENAIRE.  ARRONDISSEMENT: RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES.  CO",2011-08-22,"798 696,00","620 378,55","0,776739","9 889,02","0,518695","9 176,17","0,481305","19 065,19","0,030732"
1201,2014-07-24,"CHAU","RECONSTRUCTION DE CHAUSSÉE MIXTE EN CHAUSSÉE FLEXIBLE ET RECONSTRUCTION DE TROTTOIRS EN BORDURES DE BÉTON DANS LA RUE DE BOUCHERVILLE, D'UN POINT AU SUD DE LA RUE NOTRE-DAME À LA RUE NOTRE-DAME.  ARRONDISSEMENT: MERCIER-HOCHELAGA-MAISONNEUVE.",2011-10-05,"348 155,50","278 326,27","0,799431","2 050,00","0,498012","2 066,37","0,501988","4 116,37","0,014790"
214703,2014-08-01,"EGOU","RECONSTRUCTION D'UN ÉGOUT UNITAIRE (COMBINÉ), D'UNE CONDUITE D'EAU SECONDAIRE, DANS LA RUE DUKE, 80 MÈTRES AU NORD DE LA RUE WELLINGTON A LA RUE WILLIAM ET CONSTRUCTION D'UN ÉGOUT SANITAIRE, RECONSTRUCTION D'UN ÉGOUT UNITAIRE (COMBINÉ) ET UNE CONDUITE D'E",2012-09-27,"2 366 444,71","1 389 872,01","0,587325","53 277,55","0,168211","263 453,77","0,831789","316 731,32","0,227885"
101501,2014-08-18,"LAMP","FOURNITURE DE FÛTS ET CONSOLES. VILLE: MONTRÉAL. BC #878448",2013-07-19,"11 050,00","11 150,00","1,009050","-","0,000000","100,00","1,000000","100,00","0,008969"
264406,2014-08-19,"PAVA","PLANAGE DE CHAUSSÉE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LA RUE NOTRE-DAME, DANS LES LIMITES DÉCRITES AU BORDEREAU DE SOUMISSION. ARRONDISSEMENTS: VILLE-MARIE, MERCIER-HOCHELAGA-MAISONNEUVE. - (P.R.R.2012 - RÉSEAU ARTÉRIEL).",2012-08-23,"1 667 825,50","1 461 928,67","0,876548","49 872,20","0,381650","80 803,10","0,618350","130 675,30","0,089386"
229401,2014-08-25,"EGOU","RECONSTRUCTION D'UN ÉGOUT UNITAIRE ET D'UNE CONDUITE D'EAU SECONDAIRE DANS L'AVENUE COLONIALE, DE LA RUE SHERBROOKE À LA RUE PRINCE-ARTHUR.  ARRONDISSEMENT: LE PLATEAU-MONT-ROYAL.",2012-08-23,"1 126 236,40","915 732,04","0,813090","2 740,00","0,090513","27 532,06","0,909487","30 272,06","0,033058"
1101,2014-09-04,"TROT","CONSTRUCTION DE CHAUSSÉE FLEXIBLE ET POSE D'ENROBÉ BITUMINEUX, CONSTRUCTION ET RECONSTRUCTION DE TROTTOIRS, FOURNITURE ET INSTALLATION D'UN SYSTÈME D'ÉCLAIRAGE, LÀ OÙ REQUIS, DANS L'AVENUE CHARLEMAGNE, DE LA RUE ONTARIO À LA RUE DE ROUEN.ARRONDISSEMENT: M",2011-05-19,"456 300,00","415 045,40","0,909589","14 650,60","0,266445","40 334,79","0,733555","54 985,39","0,132480"
1185,2014-09-04,"CYCL","RECONSTRUCTION D'UNE PISTE CYCLABLE  EN SITE PROPRE, INCLUANT DES TRAVAUX DE FONDATION GRANULAIRE, DE REVÊTEMENT BITUMINEUX, DE TERRASSEMENT, DE CONSTRUCTION DE PONCEAUX ET D'INSTALLATION DE PANNEAUX DE SIGNALISATION, LONGÉANT LE BOULEVARD MORGAN DE L'AVE",2011-07-06,"190 756,00","143 444,19","0,751977","2 691,94","0,259207","7 693,32","0,740793","10 385,26","0,072399"
229801,2014-09-04,"CYCL","CONSTRUCTION D'UN PONCEAU AU-DESSUS DE LA RIVIÈRE À L'ORME ET D'UNE SECTION DE CHAUSSÉE DE RACCORDEMENT À UNE PISTE CYCLABLE EN SITE PROPRE, EN BORDURE DU BOULEVARD MORGAN, À UN POINT AU SUD DE L'AUTOROUTE 40.  VILLE DE BAIE D'URFÉ. (PROLONGEMENT DU RÉSEA",2012-05-09,"134 781,15","106 843,87","0,792721","-","-","-","-","0,00","0,000000"
221201,2014-09-08,"LAMP","CONSTRUCTION ET RECONSTRUCTION D'UNE VOIE CYCLABLE, DE BORDURES, DE BASES, DE CONDUITS SOUTERRAINS, DE FOURNITURE ET INSTALLATION DE MOBILIER D'ÉCLAIRAGE, LÀ OÙ REQUIS, POUR L'AMÉNAGEMENT D'UNE PISTE CYCLABLE DANS LE BOULEVARD JACQUES-BIZARD, DU BOULEVARD",2012-05-17,"720 094,50","566 997,47","0,787393","4 102,65","0,595126","2 791,10","0,404874","6 893,75","0,012158"
234601,2014-09-15,"EGOU","RECONSTRUCTION D'UN ÉGOUT UNITAIRE (COMBINÉ) ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LA RUE SAINT-DOMINIQUE, ENTRE PLACE DU MARCHÉ ET LA RUE SAINTE-CATHERINE.  ARRONDISSEMENT: VILLE-MARIE.",2012-02-23,"447 678,00","376 096,22","0,840104","17 852,00","0,543519","14 993,20","0,456481","32 845,20","0,087332"
162301,2014-09-25,"TROT","RECONSTRUCTION DE TROTTOIRS, LÀ OÙ REQUIS, SUR DIFFÉRENTES RUES DE LA VILLE DE MONTRÉAL.  ARRONDISSEMENTS: RIVIÈRE-DES-PRAIRIES -POINTE-AUX-TREMBLES, CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE, SAINT-LÉONARD, AHUNTSIC-CARTIERVILLE, ROSEMONT-LA PETITE-PATRIE, MON",2012-08-21,"1 014 416,70","905 266,87","0,892401","72 065,99","0,711851","29 171,42","0,288149","101 237,41","0,111832"
1199,2014-10-14,"EGOU","RECONSTRUCTION D'UN ÉGOUT COMBINÉ ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LA RUE BRIDGE, DE LA RUE SAINT-PATRICK À LA RUE WELLINGTON.  ARRONDISSEMENT: LE SUD-OUEST.",2012-04-19,"626 103,50","566 344,80","0,904555","21 587,49","0,315507","46 834,08","0,684493","68 421,57","0,120813"
223501,2014-11-14,"EGOU","Reconstruction d'une conduite d'eau secondaire dans la rue Garnier, de la rue Rachel à la rue Marie-Anne
(Arrondissement Le Plateau Mont-Royal)",2012-08-21,"457 212,40","402 377,55","0,880067","2 300,00","0,072215","29 549,24","0,927785","31 849,24","0,079153"
1180,2014-11-20,"EGOU","CONSTRUCTION ET RECONSTRUCTION D'UN ÉGOUT COMBINÉ, D'UNE CONDUITE D'EAU SECONDAIRE, DE LA CHAUSSÉE FLEXIBLE, DES TROTTOIRS,
LÀ OÙ REQUIS, ET AMÉNAGEMENT D'UNE PISTE CYCLABLE DANS L'AVENUE SAINTE-CROIX ET MISE AUX NORMES DE FEUX DE CIRCULATION,
D'UN POINT ",2011-09-28,"4 078 146,00","3 309 474,65","0,811515","76 233,23","0,324302","158 835,77","0,675698","235 069,00","0,071029"
1144,2014-11-25,"CYCL","CONSTRUCTION DE SAILLIES, DE TROTTOIRS, DE BORDURES ET INSTALLATION DE FEUX DE SIGNALISATION, LÀ OÙ REQUIS, DANS LES RUES DE CASTELNEAU, DE ST-DOMINIQUE À HENRI-JULIEN,  BERRI, DE CASTELNEAU AU BOUL. GOUIN,  LAJEUNESSE, DE CASTELNEAU AU BOUL. GOUIN ET DAN",2011-06-22,"851 128,20","709 029,21","0,833046","17 464,59","0,252524","51 695,60","0,747476","69 160,19","0,097542"
1175,2014-11-27,"EGOU","CONSTRUCTION D'UN ÉGOUT PLUVIAL ET RECONSTRUCTION D'UN ÉGOUT UNITAIRE ET D'UNE CONDUITE D'EAU SECONDAIRE DANS LE BOULEVARD GOUIN, DE LA RUE DE LA CASERNE À LA RUE SAINT-ANTOINE.  ARRONDISSEMENT : ÎLE-BIZARD-SAINTE-GENEVIÈVE.",2011-08-22,"2 799 950,00","2 042 473,97","0,729468","66 371,42","0,393235","102 411,75","0,606765","168 783,17","0,082637"
252701,2014-11-28,"TROT","RECONSTRUCTION DES TROTTOIRS ET BORDURES, LÀ OÙ REQUIS, DANS LA RUE SHERBROOKE EST, DE LA LIMITE D'ARRONDISSEMENT AU BOULEVARD SAINT-JEAN-BAPTISTE.  (P.R.R. 2012 - RÉSEAU ARTÉRIEL).",2012-06-13,"380 026,90","298 702,60","0,786004","8 629,48","0,669605","4 257,94","0,330395","12 887,42","0,043145"
1157,2014-12-01,"PAVA","PLANAGE DE CHAUSSÉE D'ASPHALTE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, DANS LA RUE SHERBROOKE, DE LA RUE HONORÉ-BEAUGRAND À LA RUE BALDWIN.  CONTRAT IV (P.R.R. 2011 - RÉSEAU ARTÉRIEL).  ARRONDISSEMENT: MERCIER-HOCHELAGA-MAISONNEUVE.",2011-08-22,"701 100,00","598 683,28","0,853920","16 182,00","0,399377","24 336,08","0,600623","40 518,08","0,067679"
263001,2014-12-03,"PAVA","PLANAGE DE CHAUSSÉE ET REVÊTEMENT BITUMINEUX, LÀ OÙ REQUIS, SUR DIVERSES RUES DE LA VILLE DE MONTRÉAL.  (P.R.R. 2012 - RÉSEAU ARTÉRIEL ET CENTRE-VILLE). 
",2012-08-23,"1 797 000,35","1 475 285,58","0,820971","77 459,03","0,699698","33 244,47","0,300302","110 703,50","0,075039"
1164,2014-12-04,"PAVA","PLANAGE ET REVÊTEMENT BITUMINEUX ET MISE EN PLACE D'UNE GRAVE BITUME, LÀ OÙ REQUIS, DANS LA RUE SAINT-PATRICK ET L'AVENUE DOLLARD, DANS LES LIMITES DÉCRITES AU BORDEREAU DE SOUMISSION. ARRONDISSEMENTS: LASALLE ET LE SUD-OUEST.  CONTRAT II ( P.R.R. 2011 - ",2011-08-22,"1 012 725,00","904 074,73","0,892715","45 053,07","0,483907","48 049,62","0,516093","93 102,69","0,102981"
230302,2014-12-04,"CYCL","RÉFECTION DE CHAUSSÉE PAR FRAISAGE À CHAUD, LÀ OÙ REQUIS, SUR DIFFÉRENTES VOIES CYCLABLES DE L'AGGLOMÉRATION DE MONTRÉAL. CONTRAT FC-02 (PISTES CYCLABLES - AGGLO.2012)",2012-06-21,"1 542 310,00","1 533 167,23","0,994072","187 379,33","0,998019","371,90","0,001981","187 751,23","0,122460"
233101,2014-12-04,"EGOU","RECONSTRUCTION D'UNE CONDUITE D'EAU SECONDAIRE DANS L'AVENUE D'ORLÉANS, DE LA RUE NOTRE-DAME À LA RUE SAINTE-CATHERINE.
ARRONDISSEMENT: MERCIER-HOCHELAGA-MAISONNEUVE.",2012-07-04,"272 610,80","196 554,32","0,721007","-","-","6 449,47","1,000000","6 449,47","0,032813"
