C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
8002,"Évaluation, expertise et orientation - Déficience physique",,,,,,,2 996 753,,,,,,2 996 753
8020,Réadaptation pour adultes - Déficience motrice,,1 951 984,,,,,89 431 101,,,,,,91 383 085
8030,Réadaptation pour enfants - Déficience motrice,,,,,,,54 129 862,,,,,,54 129 862
8040,Adaptation / intégration sociales et adaptation professionelle - Déficience motrice,,,,,,,22 868 330,,,,,,22 868 330
8050,Services d'adaptation et de réadaptation à la personne - Déficience intellectuelle et TSA,,,,,,287 315 731,,,,,,,287 315 731
8060,Adaptation / réadaptation - Déficience visuelle,,,,,,,19 233 822,,,,,,19 233 822
8070,Adaptation / réadaptation - Déficience auditive,,,,,,,26 282 763,,,,,,26 282 763
8080,Adaptation / réadaptation - Déficience du language et de la parole,,,,,,,36 757 475,,,,,,36 757 475
8090,Unité de réadaptation fonctionnelle intensive en centre de réadaptation pour déficience physique,,,,,,,6 627 326,,,,,,6 627 326
,TOTAL DES PROGRAMMES,952 567 272,8 484 086 443,1 358 095 478,323 545 263,3 703 065 066,1 047 329 200,661 419 818,125 690 918,1 312 776 608,1 499 933 792,1 698 877 343,1 777 056 546,22 944 443 746
