C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
8002,"Évaluation, expertise et orientation - Déficience physique",,,,,,,2 629 591,,,,,,2 629 591
8020,Réadaptation pour adultes - Déficience motrice,,2 062 003,,,,,86 769 184,,,,,,88 831 187
8030,Réadaptation pour enfants - Déficience motrice,,,,,,,53 326 283,,,,,,53 326 283
8040,Adaptation / intégration sociales et adaptation professionelle - Déficience motrice,,,,,,,21 333 168,,,,,,21 333 168
8050,Services d'adaptation et de réadaptation à la personne - Déficience intellectuelle et TED,,,,,,298 871 278,,,,,,,298 871 278
8060,Adaptation / réadaptation - Déficience visuelle,,,,,,,19 205 289,,,,,,19 205 289
8070,Adaptation / réadaptation - Déficience auditive,,,,,,,26 461 741,,,,,,26 461 741
8080,Adaptation / réadaptation - Déficience du language et de la parole,,,,,,,33 391 634,,,,,,33 391 634
8090,Unité de réadaptation fonctionnelle intensive en centre de réadaptation pour déficience physique,,,,,,,799 688,,,,,,799 688
8110,"Planification, organisation et coordination des services (Agences)",296 671,5 222 327,1 191,18 887,153 162,2 739,332 467,,743 554,,,,6 770 998
8121,Surveillance continue de l'état de santé de la population (Agences : Santé publique),,,,937 339,,,,,,,,,937 339
8126,"Direction, coordination et soutien administratif (Agences : Santé publique)",,,,,,,,,,2 572 344,,,2 572 344
8140,Budgétisation et allocation des ressources (RRSSS),,,,,,,,,,12 711 659,,,12 711 659
,TOTAL DES PROGRAMMES,819 696 405,7 910 072 374,1 282 760 243,309 723 965,3 338 158 777,996 615 528,618 896 540,113 686 892,1 239 600 351,1 336 811 234,1 605 729 868,1 659 396 919,21 231 149 096
