Annee_financiere,Programme,Region_administrative_des_lieux_physiques_de_l_entreprise,Nom_du_client,Forme_juridique,Cout_du_projet,Montant_approuve,Montant_revise
"2016-2017","Programme NovaScience","06 Montréal","CENTRE INTERUNIVERSITAIRE DE RECHERCHE EN ANALYSE DES ORGANISATIONS (CIRANO)","Pers. morale sans but lucratif","","8 400.0","8 400.0"
"2016-2017","Programme NovaScience","16 Montérégie","CENTRE DE RECHERCHE SUR LES GRAINS (CEROM) INC.","Pers. morale sans but lucratif","","7 428.0","5 920.0"
"2016-2017","Programme NovaScience","15 Laurentides","INSTITUT DU VÉHICULE INNOVANT","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","16 Montérégie","CINTECH AGROALIMENTAIRE","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","01 Bas-Saint-Laurent","CENTRE DE DÉVELOPPEMENT ET DE RECHERCHE EN INTELLIGENCE NUMÉRIQUE (CDRIN)","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","12 Chaudière-Appalaches","CENTRE DE ROBOTIQUE ET DE VISION INDUSTRIELLES INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","12 Chaudière-Appalaches","CENTRE DE TECHNOLOGIE MINÉRALE ET DE PLASTURGIE INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","01 Bas-Saint-Laurent","CENTRE DE RECHERCHE SUR LES BIOTECHNOLOGIES MARINES","Pers. morale sans but lucratif","","20 000.0","10 350.0"
"2016-2017","Programme NovaScience","01 Bas-Saint-Laurent","INNOVATION MARITIME","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","06 Montréal","OURANOS INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","16 Montérégie","CINTECH AGROALIMENTAIRE","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","06 Montréal","INSTITUT DES COMMUNICATIONS GRAPHIQUES ET DE L'IMPRIMABILITÉ","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","TOPMED- CENTRE COLLÉGIAL DE TRANSFERT DE TECHNOLOGIE EN ORTHÈSES, PROTHÈSES ET ÉQUIPEMENTS MÉDICAUX","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","TOPMED- CENTRE COLLÉGIAL DE TRANSFERT DE TECHNOLOGIE EN ORTHÈSES, PROTHÈSES ET ÉQUIPEMENTS MÉDICAUX","Pers. morale sans but lucratif","","20 000.0","19 936.0"
"2016-2017","Programme NovaScience","06 Montréal","INNOVITECH INC.","Société par actions","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","16 Montérégie","CENTRE TECHNOLOGIQUE EN AEROSPATIALE C.T.A.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","16 Montérégie","CENTRE TECHNOLOGIQUE EN AEROSPATIALE C.T.A.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","04 Mauricie","CENTRE COLLÉGIAL DE TRANSFERT DE TECHNOLOGIE EN TÉLÉCOMMUNICATIONS (C2T3)","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","06 Montréal","CORPORATION DE L'ÉCOLE POLYTECHNIQUE DE MONTRÉAL","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","06 Montréal","CENTRE DE RECHERCHE INFORMATIQUE DE MONTRÉAL INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","06 Montréal","CENTRE INTERUNIVERSITAIRE DE RECHERCHE EN ANALYSE DES ORGANISATIONS (CIRANO)","Pers. morale sans but lucratif","","4 061.0","4 061.0"
"2016-2017","Programme NovaScience","01 Bas-Saint-Laurent","CORPORATION DU SERVICE DE RECHERCHE ET D'EXPERTISE EN TRANSFORMATION DES PRODUITS FORESTIERS DE L'ES","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","06 Montréal","OURANOS INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","01 Bas-Saint-Laurent","CENTRE DE RECHERCHE SUR LES BIOTECHNOLOGIES MARINES","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","06 Montréal","OURANOS INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","CENTRE DE GÉOMATIQUE DU QUÉBEC INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","7 602.0","7 602.0"
"2016-2017","Programme NovaScience","06 Montréal","CENTRE D'ÉTUDES DES PROCÉDÉS CHIMIQUES DU QUÉBEC","Pers. morale sans but lucratif","","9 555.0","9 555.0"
"2016-2017","Programme NovaScience","06 Montréal","CORPORATION DE L'ÉCOLE DES HAUTES ÉTUDES COMMERCIALES DE MONTRÉAL.","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","12 Chaudière-Appalaches","TRANS BIO TECH CENTRE DE RECHERCHE ET DE TRANSFERT EN BIOTECHNOLOGIE","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2016-2017","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","TECHNOSCIENCE SAGUENAY-LAC-SAINT-JEAN","Pers. morale sans but lucratif","","133 984.0","141 219.0"
"2017-2018","Programme NovaScience","09 Côte-Nord","TECHNOSCIENCE CÔTE-NORD","Pers. morale sans but lucratif","","118 000.0","118 000.0"
"2017-2018","Programme NovaScience","04 Mauricie","COLLÈGE LAFLÈCHE","Pers. morale sans but lucratif","","50 000.0","50 000.0"
"2017-2018","Programme NovaScience","05 Estrie","UNIVERSITÉ DE SHERBROOKE - DÉPARTEMENT DE GÉNIE MÉCANIQUE","Pers. morale sans but lucratif","","38 200.0","38 200.0"
"2017-2018","Programme NovaScience","17 Centre-du-Québec","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL DE VICTORIAVILLE","Pers. morale sans but lucratif","","34 962.0","34 962.0"
"2017-2018","Programme NovaScience","11 Gaspésie?Îles-de-la-Madeleine","CENTRE D'ÉTUDES COLLÉGIALES DES ÎLES-DE-LA-MADELEINE","Pers. morale sans but lucratif","","44 854.0","44 854.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","43 970.0","43 970.0"
"2017-2018","Programme NovaScience","06 Montréal","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL ANDRÉ-LAURENDEAU","Pers. morale sans but lucratif","","10 521.0","10 521.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","EXTERNAT SAINT-JEAN-EUDES","Pers. morale sans but lucratif","","48 920.0","48 920.0"
"2017-2018","Programme NovaScience","16 Montérégie","COMMISSION SCOLAIRE DES GRANDES- SEIGNEURIES","Pers. morale sans but lucratif","","13 325.0","13 104.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DE PORTNEUF","Pers. morale sans but lucratif","","50 000.0","50 000.0"
"2017-2018","Programme NovaScience","06 Montréal","GUEPE, GROUPE UNI DES ÉDUCATEURS-NATURALISTES ET PROFESSIONNELS EN ENVIRONNEMENT","Pers. morale sans but lucratif","","48 000.0","48 000.0"
"2017-2018","Programme NovaScience","13 Laval","SOCIÉTÉ AVIATION CONNECTION","Pers. morale sans but lucratif","","27 000.0","27 000.0"
"2017-2018","Programme NovaScience","17 Centre-du-Québec","COMMISSION SCOLAIRE DES CHÊNES","Pers. morale sans but lucratif","","36 800.0","36 800.0"
"2017-2018","Programme NovaScience","05 Estrie","COMMISSION SCOLAIRE DE LA REGION-DE- SHERBROOKE","Pers. morale sans but lucratif","","14 646.0","14 646.0"
"2017-2018","Programme NovaScience","16 Montérégie","LA FONDATION JEUNESSE DE RICHELIEU","Pers. morale sans but lucratif","","30 000.0","30 000.0"
"2017-2018","Programme NovaScience","06 Montréal","VILLA-MARIA","Pers. morale sans but lucratif","","20 102.0","20 102.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","BOÎTE À SCIENCE-CONSEIL DU LOISIR SCIENTIFIQUE DE QUÉBEC","Pers. morale sans but lucratif","","21 000.0","20 025.0"
"2017-2018","Programme NovaScience","16 Montérégie","COMMISSION SCOLAIRE DES GRANDES- SEIGNEURIES","Pers. morale sans but lucratif","","6 840.0","6 840.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","QUÉBEC NUMÉRIQUE","Pers. morale sans but lucratif","","18 000.0","18 000.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","COLLÈGE FRANÇOIS-DE-LAVAL","Pers. morale sans but lucratif","","22 453.0","22 453.0"
"2017-2018","Programme NovaScience","06 Montréal","L'ÎLE DU SAVOIR INC.","Pers. morale sans but lucratif","","50 000.0","50 000.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","STRATÉGIES SAINT-LAURENT","Pers. morale sans but lucratif","","27 278.0","27 278.0"
"2017-2018","Programme NovaScience","16 Montérégie","COLLÈGE SAINT-MAURICE","Pers. morale sans but lucratif","","20 897.0","20 897.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","MUSÉE DE LA CIVILISATION","Pers. morale sans but lucratif","","50 000.0","50 000.0"
"2017-2018","Programme NovaScience","06 Montréal","CLUB TECHNO CULTURE","Pers. morale sans but lucratif","","50 000.0","50 000.0"
"2017-2018","Programme NovaScience","17 Centre-du-Québec","COLLEGE CLARETAIN DE VICTORIAVILLE","Pers. morale sans but lucratif","","31 892.0","31 892.0"
"2017-2018","Programme NovaScience","10 Nord-du-Québec","FAUNENORD","Pers. morale sans but lucratif","","13 842.0","13 842.0"
"2017-2018","Programme NovaScience","06 Montréal","CENTRE DE DÉVELOPPEMENT POUR L'EXERCICE DE LA CITOYENNETÉ (CDEC)","Pers. morale sans but lucratif","","46 650.0","46 650.0"
"2017-2018","Programme NovaScience","06 Montréal","ROBOTIQUE ZONE01","Pers. morale sans but lucratif","","45 000.0","45 000.0"
"2017-2018","Programme NovaScience","12 Chaudière-Appalaches","COMMISSION SCOLAIRE DE LA BEAUCE- ETCHEMIN","Pers. morale sans but lucratif","","36 000.0","36 000.0"
"2017-2018","Programme NovaScience","09 Côte-Nord","COMMISSION SCOLAIRE DU FER","Pers. morale sans but lucratif","","44 182.0","44 182.0"
"2017-2018","Programme NovaScience","12 Chaudière-Appalaches","COMMISSION SCOLAIRE DES APPALACHES","Pers. morale sans but lucratif","","28 548.0","28 548.0"
"2017-2018","Programme NovaScience","06 Montréal","Prix du Québec-RICHARD E. TREMBLAY","Autre","","30 000.0","30 000.0"
"2017-2018","Programme NovaScience","06 Montréal","Prix du Québec-GAUDREAULT, ANDRÉ (LG)","Autre","","30 000.0","30 000.0"
"2017-2018","Programme NovaScience","06 Montréal","Prix du Québec-BENGIO, YOSHUA (MV)","Autre","","30 000.0","30 000.0"
"2017-2018","Programme NovaScience","06 Montréal","Prix du Québec-BOUVIER, MICHEL (WP)","Autre","","30 000.0","30 000.0"
"2017-2018","Programme NovaScience","06 Montréal","Prix du Québec-GUY, CHRISTOPHE (AF)","Autre","","30 000.0","30 000.0"
"2017-2018","Programme NovaScience","06 Montréal","Prix du Québec-TSANTRIZOS, PANAYOTIS","Autre","","30 000.0","30 000.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","Prix chapeau les filles","Pers. morale sans but lucratif","","31 000.0","31 000.0"
"2017-2018","Programme NovaScience","13 Laval","CENTRE D'INTERPRÉTATION DES BIOSCIENCES ARMAND-FRAPPIER","Pers. morale sans but lucratif","","148 870.0","148 870.0"
"2017-2018","Programme NovaScience","06 Montréal","L'ÎLE DU SAVOIR INC.","Pers. morale sans but lucratif","","75 000.0","75 000.0"
"2017-2018","Programme NovaScience","12 Chaudière-Appalaches","MUNICIPALITÉ RÉGIONALE DE COMTÉ DE MONTMAGNY","Pers. morale sans but lucratif","","85 000.0","85 000.0"
"2017-2018","Programme NovaScience","06 Montréal","CENTRE INTERUNIVERSITAIRE DE RECHERCHE EN ANALYSE DES ORGANISATIONS (CIRANO)","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2017-2018","Programme NovaScience","01 Bas-Saint-Laurent","BIOPTERRE - CENTRE DE DÉVELOPPEMENT DES BIOPRODUITS","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2017-2018","Programme NovaScience","05 Estrie","UNIVERSITÉ DE SHERBROOKE - DÉPARTEMENT DE GÉNIE MÉCANIQUE","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2017-2018","Programme NovaScience","01 Bas-Saint-Laurent","CORPORATION DU SERVICE DE RECHERCHE ET D'EXPERTISE EN TRANSFORMATION DES PRODUITS FORESTIERS DE L'ES","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2017-2018","Programme NovaScience","11 Gaspésie?Îles-de-la-Madeleine","MERINOV","Pers. morale sans but lucratif","","25 000.0","17 666.0"
"2017-2018","Programme NovaScience","12 Chaudière-Appalaches","OLEOTEK INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","12 Chaudière-Appalaches","CENTRE DE TECHNOLOGIE MINÉRALE ET DE PLASTURGIE INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","15 Laurentides","INSTITUT DU VÉHICULE INNOVANT","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","11 Gaspésie?Îles-de-la-Madeleine","MERINOV","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","11 Gaspésie?Îles-de-la-Madeleine","MERINOV","Pers. morale sans but lucratif","","25 000.0","19 800.0"
"2017-2018","Programme NovaScience","06 Montréal","VESTECHPRO CENTRE DE RECHERCHE ET D'INNOVATION EN HABILLEMENT","Pers. morale sans but lucratif","","25 000.0","23 950.0"
"2017-2018","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","CENTRE DE PRODUCTION AUTOMATISÉE (CPA)","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","06 Montréal","CENTRE DE RECHERCHE INFORMATIQUE DE MONTRÉAL INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","12 460.0","10 810.0"
"2017-2018","Programme NovaScience","01 Bas-Saint-Laurent","CENTRE DE DÉVELOPPEMENT BIOALIMENTAIRE DU QUÉBEC INC.","Pers. morale sans but lucratif","","14 300.0","14 300.0"
"2017-2018","Programme NovaScience","12 Chaudière-Appalaches","TRANS BIO TECH CENTRE DE RECHERCHE ET DE TRANSFERT EN BIOTECHNOLOGIE","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2017-2018","Programme NovaScience","05 Estrie","UNIVERSITÉ DE SHERBROOKE","Autre","","20 000.0","20 000.0"
"2017-2018","Programme NovaScience","04 Mauricie","CENTRE COLLÉGIAL DE TRANSFERT DE TECHNOLOGIE EN TÉLÉCOMMUNICATIONS (C2T3)","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","INSTITUT DE RECHERCHE ET DE DÉVELOPPEMENT EN AGROENVIRONNEMENT INC.","Pers. morale sans but lucratif","","14 139.0","14 139.0"
"2017-2018","Programme NovaScience","12 Chaudière-Appalaches","TRANS BIO TECH CENTRE DE RECHERCHE ET DE TRANSFERT EN BIOTECHNOLOGIE","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","01 Bas-Saint-Laurent","INNOVATION MARITIME","Pers. morale sans but lucratif","","25 000.0","24 374.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","CENTRE D'ENSEIGNEMENT ET DE RECHERCHE EN FORESTERIE DE STE-FOY INC.","Pers. morale sans but lucratif","","24 950.0","24 950.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","TOPMED- CENTRE COLLÉGIAL DE TRANSFERT DE TECHNOLOGIE EN ORTHÈSES, PROTHÈSES ET ÉQUIPEMENTS MÉDICAUX","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","06 Montréal","INSTITUT D'INNOVATION EN LOGISTIQUE DU QUÉBEC (IILQ)","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","06 Montréal","CENTRE DE RECHERCHE INFORMATIQUE DE MONTRÉAL INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","15 Laurentides","CENTRE DE DÉVELOPPEMENT DES COMPOSITES DU QUÉBEC (C.D.C.Q.)","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","TECHNOSCIENCE SAGUENAY-LAC-SAINT-JEAN","Pers. morale sans but lucratif","","76 430.0","76 430.0"
"2017-2018","Programme NovaScience","04 Mauricie","TECHNOSCIENCE MAURICIE-CENTRE-DU-QUÉBEC","Pers. morale sans but lucratif","","35 570.0","35 570.0"
"2017-2018","Programme NovaScience","06 Montréal","RÉSEAU TECHNOSCIENCE","Pers. morale sans but lucratif","","81 517.0","81 517.0"
"2017-2018","Programme NovaScience","06 Montréal","FUSION JEUNESSE","Pers. morale sans but lucratif","","212 066.0","106 033.0"
"2017-2018","Programme NovaScience","06 Montréal","KIDS CODE JEUNESSE","Pers. morale sans but lucratif","","296 000.0","296 000.0"
"2017-2018","Programme NovaScience","06 Montréal","CENTRE D'ENCADREMENT POUR JEUNES FEMMES IMMIGRANTES (CEJFI)","Pers. morale sans but lucratif","","150 000.0","150 000.0"
"2017-2018","Programme NovaScience","06 Montréal","GRANDIR SANS FRONTIÈRES","Pers. morale sans but lucratif","","75 000.0","75 000.0"
"2017-2018","Programme NovaScience","06 Montréal","CONCERTATION RÉGIONALE DE MONTRÉAL","Pers. morale sans but lucratif","","150 000.0","150 000.0"
"2017-2018","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","CENTRE DE GÉOMATIQUE DU QUÉBEC INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","CENTRE DE GÉOMATIQUE DU QUÉBEC INC.","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","17 Centre-du-Québec","INOVEM","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2017-2018","Programme NovaScience","06 Montréal","Prix relèves-MIRIAM BEAUCHAMP","Autre","","5 000.0","5 000.0"
"2017-2018","Programme NovaScience","06 Montréal","Prix relèves-JÉRÔME DUPRAS","Autre","","2 000.0","2 000.0"
"2017-2018","Programme NovaScience","06 Montréal","Prix relèves-MARTA CERRUTI","Autre","","2 000.0","2 000.0"
"2017-2018","Programme NovaScience","06 Montréal","CENTRE DE RECHERCHE INFORMATIQUE DE MONTRÉAL INC.","Pers. morale sans but lucratif","","25 000.0","11 591.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DES DÉCOUVREURS","Pers. morale sans but lucratif","","32 432.0","32 432.0"
"2017-2018","Programme NovaScience","12 Chaudière-Appalaches","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL DE LÉVIS-LAUZON","Pers. morale sans but lucratif","","49 850.0","49 850.0"
"2017-2018","Programme NovaScience","04 Mauricie","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL DE TROIS-RIVIÈRES","Pers. morale sans but lucratif","","39 800.0","39 800.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DE LA CAPITALE","Pers. morale sans but lucratif","","31 763.0","31 763.0"
"2017-2018","Programme NovaScience","04 Mauricie","COLLÈGE LAFLÈCHE","Pers. morale sans but lucratif","","119 089.0","119 089.0"
"2017-2018","Programme NovaScience","06 Montréal","VIÜ MÉDIA INC.","Société par actions","","68 030.0","68 030.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","43 922.0","43 922.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DES PREMIÈRES- SEIGNEURIES","Pers. morale sans but lucratif","","48 300.0","48 300.0"
"2017-2018","Programme NovaScience","06 Montréal","FONDATION OSMO","Pers. morale sans but lucratif","","60 000.0","59 700.0"
"2017-2018","Programme NovaScience","13 Laval","COSMODÔME","Pers. morale sans but lucratif","","30 136.0","30 136.0"
"2017-2018","Programme NovaScience","06 Montréal","COMPAGNIE GALA MÉDIA INC.","Société par actions","","56 000.0","56 000.0"
"2017-2018","Programme NovaScience","06 Montréal","REGROUPEMENT DES COLLÈGES DU MONTRÉAL MÉTROPOLITAIN (R.C.M.M.)","Pers. morale sans but lucratif","","100 000.0","100 000.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","LE RÉACTEUR CENTRALE CRÉATIVE","Pers. morale sans but lucratif","","100 000.0","100 000.0"
"2017-2018","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","45 345.0","44 465.0"
"2017-2018","Programme NovaScience","06 Montréal","TECHNOSCIENCE RÉGION MÉTROPOLITAINE","Pers. morale sans but lucratif","","200 000.0","200 000.0"
"2017-2018","Programme NovaScience","14 Lanaudière","CÉGEP RÉGIONAL DE LANAUDIÈRE À TERREBONNE","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","09 Côte-Nord","CENTRE D'EXPÉRIMENTATION ET DE DÉVELOPPEMENT EN FORÊT BORÉALE (CEDFOB)","Pers. morale sans but lucratif","","20 000.0","20 000.0"
"2017-2018","Programme NovaScience","15 Laurentides","CENTRE DE DÉVELOPPEMENT DES COMPOSITES DU QUÉBEC (C.D.C.Q.)","Pers. morale sans but lucratif","","25 000.0","25 000.0"
"2017-2018","Programme NovaScience","05 Estrie","PRODUCTIQUE QUÉBEC INC.","Pers. morale sans but lucratif","","24 840.0","8 120.0"
"2018-2019","Programme NovaScience","08 Abitibi-Témiscamingue","TECHNOSCIENCE ABITIBI-TÉMISCAMINGUE","Pers. morale sans but lucratif","","373 194.0","373 194.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","TECHNOSCIENCE EST-DU-QUÉBEC","Pers. morale sans but lucratif","","361 080.0","361 080.0"
"2018-2019","Programme NovaScience","05 Estrie","TECHNOSCIENCE ESTRIE","Pers. morale sans but lucratif","","565 915.0","565 915.0"
"2018-2019","Programme NovaScience","04 Mauricie","TECHNOSCIENCE MAURICIE-CENTRE-DU-QUÉBEC","Pers. morale sans but lucratif","","410 670.0","410 670.0"
"2018-2019","Programme NovaScience","07 Outaouais","TECHNOSCIENCE OUTAOUAIS","Pers. morale sans but lucratif","","352 587.0","352 587.0"
"2018-2019","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","TECHNOSCIENCE SAGUENAY-LAC-SAINT-JEAN","Pers. morale sans but lucratif","","419 799.0","419 799.0"
"2018-2019","Programme NovaScience","03 Capitale-Nationale","BOÎTE À SCIENCE-CONSEIL DU LOISIR SCIENTIFIQUE DE QUÉBEC","Pers. morale sans but lucratif","","510 340.0","510 340.0"
"2018-2019","Programme NovaScience","06 Montréal","RÉSEAU TECHNOSCIENCE","Pers. morale sans but lucratif","","1 149 310.0","1 149 310.0"
"2018-2019","Programme NovaScience","06 Montréal","TECHNOSCIENCE RÉGION MÉTROPOLITAINE","Pers. morale sans but lucratif","","480 000.0","480 000.0"
"2018-2019","Programme NovaScience","09 Côte-Nord","TECHNOSCIENCE CÔTE-NORD","Pers. morale sans but lucratif","","354 000.0","354 000.0"
"2018-2019","Programme NovaScience","06 Montréal","ASSOCIATION POUR LE DÉVELOPPEMENT DE LA RECHERCHE ET DE L'INNOVATION DU QUÉBEC","Pers. morale sans but lucratif","","95 000.0","95 000.0"
"2018-2019","Programme NovaScience","06 Montréal","ACFAS INC.","Pers. morale sans but lucratif","","972 816.0","972 816.0"
"2018-2019","Programme NovaScience","06 Montréal","ALLÔ PROF!","Pers. morale sans but lucratif","","75 000.0","75 000.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","FONDATION DE RECHERCHE APPLIQUÉE DE TECHNOLOGIE PHYSIQUE DE LA POCATIÈRE INC.","Pers. morale sans but lucratif","","60 000.0","60 000.0"
"2018-2019","Programme NovaScience","06 Montréal","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL ANDRÉ-LAURENDEAU","Pers. morale sans but lucratif","","75 000.0","75 000.0"
"2018-2019","Programme NovaScience","13 Laval","SOCIÉTÉ AVIATION CONNECTION","Pers. morale sans but lucratif","","65 000.0","65 000.0"
"2018-2019","Programme NovaScience","01 Bas-Saint-Laurent","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL DE LA POCATIÈRE","Pers. morale sans but lucratif","","32 000.0","32 000.0"
"2018-2019","Programme NovaScience","17 Centre-du-Québec","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL DE VICTORIAVILLE","Pers. morale sans but lucratif","","72 250.0","72 250.0"
"2018-2019","Programme NovaScience","14 Lanaudière","CÉGEP RÉGIONAL DE LANAUDIÈRE À L'ASSOMPTION","Pers. morale sans but lucratif","","21 967.0","21 967.0"
"2018-2019","Programme NovaScience","06 Montréal","COLLEGE D'ENSEIGNEMENT GENERAL ET PROFESSIONNEL BOIS-DE-BOULOGNE","Pers. morale sans but lucratif","","66 700.0","66 700.0"
