"rescode","resgroupe","rescodetitre","restitre","resentreefonction","resnom","resprenom","resestvacant"
"84060","Présidence","307A","Président comité consult. urbanisme","1900-01-01","","","oui"
"49075","Direction","304F","Coordonnateur des loisirs","2021-08-02","Dufresne","Marie-Claude","non"
"49075","Conseiller","004B","Conseillère n° 4","2022-11-07","Grandmont","Vincent","non"
"49075","Conseiller","005A","Conseiller n° 5","2021-11-07","Généreux","Pierre","non"
"49075","Présidence","307A","Président comité consult. urbanisme","2022-12-05","Généreux","Pierre","non"
"49075","Mairie","000A","Maire","2017-10-06","Jutras","Sylvain","non"
"49075","Conseiller","001A","Conseiller n° 1","2017-10-06","Bergeron","Marcel","non"
"49075","Conseiller","002B","Conseillère n° 2","2017-10-06","Blanchette","Manon","non"
"49075","Conseiller","003A","Conseiller n° 3","2016-09-02","Martin","Gérard","non"
"49075","Conseiller","006A","Conseiller n° 6","2013-11-03","Bournival","Guy","non"
"49075","Responsable","205B","Greffière-trésorière","1997-10-31","Dumont","Isabelle","non"
"49075","Direction","209B","Directrice générale","1997-10-31","Dumont","Isabelle","non"
"49075","Direction","305C","Directrice des travaux publics","2012-03-06","Dumont","Isabelle","non"
"49075","Direction","215A","Directeur/Chef brigade des pompiers","2014-08-01","Marcotte","Frédéric","non"
"49075","Direction","223B","Coordonnatrice mesures d'urgence","1994-03-21","Dumont","Isabelle","non"
"49075","Responsable","246A","Resp. émission permis/certif. mun.","2015-06-01","Brunelle","Mathieu","non"
"76055","Direction","305A","Responsable des travaux publics","2024-06-03","Michel","Mallette","non"
"76055","Mairie","000A","Maire","2019-04-07","Thauvette","Pierre","non"
"76055","Conseiller","001A","Conseiller n° 1","2013-11-03","Lemay","André","non"
"76055","Conseiller","002A","Conseiller n° 2","2016-03-09","Woodbury","André","non"
"76055","Conseiller","003A","Conseiller n° 3","2009-11-01","Desjardins","Louis André","non"
"76055","Conseiller","004A","Conseiller n° 4","2017-11-05","Dopelhamer","Peter","non"
"76055","Conseiller","005A","Conseiller n° 5","2017-10-06","Lalonde","Roger","non"
"76055","Conseiller","006B","Conseillère n° 6","2019-04-07","Louis-Seize","Jocelyne","non"
"76055","Responsable","205A","Greffier-trésorier","1996-01-08","Léveillé","Alain","non"
"76055","Direction","209A","Directeur général","1996-01-08","Léveillé","Alain","non"
"76055","Direction","215A","Directeur/Chef brigade des pompiers","2000-02-22","Aubry","Stéphane","non"
"76055","Direction","223A","Coordonnateur mesures d'urgence","1996-03-12","Léveillé","Alain","non"
"76055","Responsable","246A","Resp. émission permis/certif. mun.","2006-12-12","Gagné","Luc","non"
"76055","Présidence","307A","Président comité consult. urbanisme","2010-01-04","Desjardins","Louis-André","non"
"50030","Responsable","244A","Resp. règl. rel. install. septiques","2019-04-01","Désilets","Anne-Marie","non"
"50030","Responsable","246A","Resp. émission permis/certif. mun.","2019-04-01","Désilets","Anne-Marie","non"
"50030","Responsable","243A","Inspecteur municipal et de voirie","2022-10-11","Leclerc","René-Michel","non"
"50030","Mairie","000A","Maire","2001-10-12","Noël","Raymond","non"
"50030","Direction","223A","Coordonnateur mesures d'urgence","2003-03-03","Noël","Raymond","non"
"50030","Conseiller","001A","Conseiller n° 1","2017-10-06","Lamothe","Sylvain","non"
"50030","Conseiller","002A","Conseiller n° 2","1991-10-11","Parenteau","Yvon","non"
"50030","Conseiller","003A","Conseiller n° 3","2001-10-12","Croteau","Denis","non"
"50030","Conseiller","004A","Conseiller n° 4","2001-10-12","Arseneault","Marc","non"
"50030","Présidence","307A","Président comité consult. urbanisme","2006-03-08","Arseneault","Marc","non"
"50030","Conseiller","005B","Conseillère n° 5","2017-10-06","McMahon","Louise","non"
"50030","Conseiller","006A","Conseiller n° 6","2017-10-06","Lemire","Olivier","non"
"50030","Responsable","205B","Greffière-trésorière","2003-01-06","Lamoureux","Pascale","non"
"50030","Direction","209B","Directrice générale","2003-01-06","Lamoureux","Pascale","non"
"61020","Conseiller","006A","Conseiller n° 6","2021-10-01","Duval","Benoit","non"
"61020","Mairie","000A","Maire","2005-11-06","Charest","Roland","non"
"61020","Conseiller","001B","Conseillère n° 1","1998-10-09","Loyer","Manon","non"
"61020","Conseiller","002B","Conseillère n° 2","2018-08-08","Charest","Jade","non"
"61020","Conseiller","003A","Conseiller n° 3","2018-08-08","Arbour","Stéphane","non"
"61020","Conseiller","004B","Conseillère n° 4","1990-10-05","Rivest","Lyne","non"
"61020","Conseiller","005A","Conseiller n° 5","1996-02-02","Parent","Denis","non"
"61020","Responsable","205B","Greffière-trésorière","1995-04-05","Gagné","Édith","non"
"61020","Direction","209B","Directrice générale","2004-11-01","Gagné","Édith","non"
"61020","Responsable","242A","Inspecteur destr. mauvaises herbes","2002-01-01","Henault","Denis","non"
"61020","Responsable","243A","Inspecteur municipal et de voirie","2002-01-01","Henault","Denis","non"
"61020","Responsable","244A","Resp. règl. rel. install. septiques","1992-01-08","Hénault","Denis","non"
"61020","Responsable","246A","Resp. émission permis/certif. mun.","1992-01-08","Hénault","Denis","non"
"61020","Présidence","307A","Président comité consult. urbanisme","1900-01-01","","","oui"
"78010","Responsable","247B","Inspectrice municipale","2019-10-15","Bouchard","Pascale","non"
"78010","Responsable","250B","Inspectrice en urbanisme","2023-12-19","Tremblay","Constance","non"
"78010","Conseiller","003A","Conseiller n° 3","2021-11-07","De Montigny","Carl","non"
"78010","Conseiller","005A","Conseiller n° 5","2021-11-07","Lachaine","Christian","non"
"78010","Mairie","000B","Mairesse","2021-11-07","Forget","Dominique","non"
"78010","Conseiller","002A","Conseiller n° 2","2021-11-07","Schwab","Stéphan","non"
"78010","Direction","331B","Directrice des finances","2022-03-01","Bastien","Mariline","non"
"78010","Direction","305A","Responsable des travaux publics","2024-01-14","","","oui"
"78010","Direction","304A","Responsable des loisirs","2024-02-24","","","oui"
"78010","Direction","343A","Directeur des affaires juridiques","2023-04-27","Lebel","Carl","non"
"78010","Direction","347C","Responsable des infrastructures","2024-03-04","Girard","Alexandre","non"
"78010","Direction","209A","Directeur général","2023-10-30","St-Amour","François","non"
"78010","Direction","223A","Coordonnateur mesures d'urgence","2023-10-30","St-Amour","François","non"
"78010","Responsable","205A","Greffier-trésorier","2023-10-30","St-Amour","François","non"
"78010","Conseiller","001A","Conseiller n° 1","2017-11-05","Giasson","Jean-François","non"
"78010","Conseiller","004A","Conseiller n° 4","2017-11-05","Séguin","Guy","non"
"78010","Conseiller","006B","Conseillère n° 6","2009-11-01","Paquin","Manon","non"
"78010","Responsable","251A","Inspecteur en environnement","2020-04-21","Guénette","Nadine","non"
"78010","Direction","301A","Responsable des communications","2020-04-21","Duval","Julie","non"
"78010","Direction","303A","Responsable de l'urbanisme","2002-03-12","Lesage","Nicolas","non"
"42045","Conseiller","001A","Conseiller n° 1","2021-10-01","Chapdelaine","Dany","non"
"42045","Conseiller","005A","Conseiller n° 5","2021-10-01","Massé","Carl","non"
"42045","Mairie","000A","Maire","2017-10-06","Grilli","Derek","non"
"42045","Conseiller","002A","Conseiller n° 2","2009-10-02","Bossé","Éric","non"
"42045","Conseiller","003A","Conseiller n° 3","2010-12-17","Jeanson","Claude","non"
"42045","Conseiller","004B","Conseillère n° 4","2017-11-05","Fontaine-Martin","Valérie","non"
"42045","Conseiller","006B","Conseillère n° 6","2017-10-06","Dussault","Annie","non"
"42045","Responsable","205A","Greffier-trésorier","2013-06-17","Paquette","François","non"
"42045","Direction","209A","Directeur général","2013-06-17","Paquette","François","non"
"42045","Direction","223A","Coordonnateur mesures d'urgence","2013-06-17","Paquette","François","non"
"42045","Responsable","244A","Resp. règl. rel. install. septiques","2018-01-30","Perreault","Isabelle","non"
"42045","Responsable","246A","Resp. émission permis/certif. mun.","2018-01-30","Perreault","Isabelle","non"
"42045","Responsable","250B","Inspectrice en urbanisme","2018-01-30","Perreault","Isabelle","non"
"42045","Présidence","307B","Présidente com. consult. urbanisme","2017-03-15","René","Majella","non"
"42070","Conseiller","004A","Conseiller n° 4","2022-01-04","Vaillancourt","Tommy","non"
"42070","Direction","209B","Directrice générale","2022-05-04","Coutu","Chantal","non"
"42070","Responsable","205B","Greffière-trésorière","2022-05-04","Coutu","Chantal","non"
"42070","Conseiller","006B","Conseillère n° 6","2021-10-01","Bédard","Suzanne","non"
"42070","Mairie","000B","Mairesse","2017-10-06","Hervieux","Martha","non"
"42070","Conseiller","001B","Conseillère n° 1","2018-01-01","Baum","Myriam","non"
"42070","Conseiller","002B","Conseillère n° 2","2018-01-01","Morazin","Claire","non"
"42070","Conseiller","003A","Conseiller n° 3","2017-10-06","Bail","Pierre","non"
"42070","Conseiller","005A","Conseiller n° 5","2013-10-04","Saumier","Marc","non"
"42070","Responsable","243A","Inspecteur municipal et de voirie","1991-01-01","Mailhot","Michel","non"
"42070","Direction","303G","Directeur serv. urban. et permis","2003-07-01","Demers","Sylvain","non"
"42070","Présidence","307A","Président comité consult. urbanisme","2018-06-01","Poirier","Alain","non"
"53010","Conseiller","004A","Conseiller n° 4","2023-11-12","Luzignan","Michael","non"
"53010","Conseiller","001B","Conseillère n° 1","2021-10-01","Lambert","Jessica","non"
"53010","Conseiller","005B","Conseillère n° 5","2021-10-01","Millington","Debra","non"
"53010","Conseiller","002A","Conseiller n° 2","2021-10-01","Fortier","Jonathan","non"
"53010","Mairie","000A","Maire","2021-10-01","Gauthier","Richard","non"
"53010","Présidence","307A","Président comité consult. urbanisme","2022-11-27","Gauthier","Richard","non"
"53010","Direction","209A","Directeur général","2023-06-12","Lefebvre","Benoit","non"
"53010","Responsable","206B","Greffière-trésorière adjointe","2023-05-15","Deragon","Diane","non"
"53010","Conseiller","003A","Conseiller n° 3","2017-10-06","Fillion","Louis","non"
"53010","Conseiller","006A","Conseiller n° 6","2019-03-24","Michaud","Pierre","non"
"53010","Responsable","243A","Inspecteur municipal et de voirie","2019-03-26","St-Martin","Éric","non"
"53010","Responsable","248A","Inspecteur en bâtiment","2013-06-10","Rajotte","Xavier","non"
"54025","Direction","223A","Coordonnateur mesures d'urgence","2021-04-06","Simard","Carl","non"
"54025","Direction","209A","Directeur général","2021-04-06","Simard","Carl","non"
"54025","Responsable","205A","Greffier-trésorier","2021-04-06","Simard","Carl","non"
"54025","Responsable","203C","Adjointe administrative","2018-01-08","Cournoyer","Isabelle","non"
"54025","Direction","303B","Directeur de l'urbanisme","2022-02-07","Simon","Carl","non"
"54025","Conseiller","005A","Conseiller n° 5","2021-10-01","Filion","André","non"
"54025","Conseiller","004B","Conseillère n° 4","2021-11-07","Beauregard","Diane","non"
"54025","Mairie","000B","Mairesse","2021-11-07","Demers","Marie-Hélène","non"
"54025","Conseiller","002A","Conseiller n° 2","2021-11-07","Ménard","Emmanuel","non"
"54025","Conseiller","006A","Conseiller n° 6","2021-11-07","Malo Bonin","Emile","non"
"54025","Responsable","207B","Trésorière","2023-03-28","Lauzier","Annick","non"
"54025","Conseiller","001A","Conseiller n° 1","2017-10-06","Alliette","Michel","non"
"54025","Conseiller","003A","Conseiller n° 3","2009-11-01","Girouard","Patrick","non"
"54025","Direction","215A","Directeur/Chef brigade des pompiers","2020-10-21","Bouchard","Éric","non"
"54025","Direction","305A","Responsable des travaux publics","2019-09-06","Despôts","Jean-Yves","non"
"66127","Direction","303G","Directeur serv. urban. et permis","2021-12-07","Blanche","Sébastien","non"
"66127","Conseiller","006B","Conseillère n° 6","2021-11-07","Narang","Tanya","non"
"66127","Conseiller","002A","Conseiller n° 2","2021-11-07","Matuszewski","Pierre","non"
"66127","Conseiller","001A","Conseiller n° 1","2021-10-01","Lee","Stephen","non"
"66127","Direction","209A","Directeur général","2023-11-06","Malek","Robert","non"
"66127","Direction","342C","Resp. serv. récréa et commun","2020-01-01","Fournier","Geneviève","non"
"66127","Mairie","000B","Mairesse","2017-11-05","Brisebois","Julie","non"
"66127","Conseiller","003A","Conseiller n° 3","2017-10-06","Jackson","Christopher","non"
"66127","Conseiller","004B","Conseillère n° 4","2017-10-06","Jackson Trepanier","Michelle","non"
"66127","Conseiller","005A","Conseiller n° 5","2013-11-03","Dicks","Dennis","non"
"66127","Responsable","207B","Trésorière","2018-09-10","McDonald","Karine","non"
"66127","Direction","311A","Responsable des services techniques","2018-03-12","Ladouceur","Jean-Denis","non"
"68010","Conseiller","004A","Conseiller n° 4","2021-10-01","Mailloux","Jonathan","non"
"68010","Direction","209A","Directeur général","2023-01-09","Krohn","Michael","non"
"68010","Responsable","208A","Trésorier adjoint","2023-11-07","Krohn","Michael","non"
"68010","Responsable","201A","Greffier","2023-01-16","Krohn","Michael","non"
"68010","Conseiller","005B","Conseillère n° 5","2021-10-01","Mcnaughton","Jayne","non"
"68010","Conseiller","002A","Conseiller n° 2","2023-02-24","Catto","Roy","non"
"68010","Responsable","207B","Trésorière","2023-11-07","Brunet","Annick","non"
"68010","Mairie","000A","Maire","2005-11-06","Somerville","Drew","non"
"68010","Conseiller","001A","Conseiller n° 1","1993-11-07","Lussier","Normand","non"
"68010","Conseiller","003A","Conseiller n° 3","2017-10-06","Hill","Christopher","non"
"68010","Conseiller","006B","Conseillère n° 6","2002-06-02","Bourdon","Lucie","non"
"68010","Direction","210B","Directrice générale adjointe","2011-03-09","Giroux","Pascale","non"
"68010","Direction","315C","Resp. rés. aqueduc, égouts et ass.","2011-03-09","Giroux","Pascale","non"
"68010","Responsable","243A","Inspecteur municipal et de voirie","2008-09-13","Gauthier","Yves","non"
"68010","Direction","305B","Directeur des travaux publics","2012-01-01","Gauthier","Yves","non"
"68010","Responsable","246A","Resp. émission permis/certif. mun.","1900-01-01","","","oui"
"68010","Présidence","307A","Président comité consult. urbanisme","2001-01-01","Laberge","Gérard","non"
"09065","Conseiller","003A","Conseiller n° 3","2021-11-07","Gagné","Frédéric","non"
"09065","Conseiller","002B","Conseillère n° 2","2021-11-07","Savard","Marie-Renée","non"
"09065","Conseiller","005A","Conseiller n° 5","2021-11-07","Roberge","René","non"
"09065","Responsable","205A","Greffier-trésorier","2021-12-07","Thibault","Alain","non"
"09065","Direction","209A","Directeur général","2021-12-07","Thibault","Alain","non"
"09065","Responsable","201A","Greffier","2021-12-07","Thibault","Alain","non"
"09065","Direction","223A","Coordonnateur mesures d'urgence","2021-12-07","Thibault","Alain","non"
"09065","Mairie","000A","Maire","2017-10-06","Paradis","Bruno","non"
"09065","Conseiller","001B","Conseillère n° 1","2017-10-06","Banville","Nancy","non"
"09065","Conseiller","004A","Conseiller n° 4","2017-11-05","Imbeault","Michel","non"
"09065","Conseiller","006B","Conseillère n° 6","2005-11-06","Lévesque","Lise","non"
"09065","Responsable","203C","Adjointe administrative","1990-02-05","Roy","Lise","non"
"09065","Direction","215A","Directeur/Chef brigade des pompiers","1997-01-01","Côté","Albert","non"
"09065","Responsable","243A","Inspecteur municipal et de voirie","2008-04-21","Landry","Roger","non"
"09065","Direction","305A","Responsable des travaux publics","2008-04-21","Landry","Roger","non"
"09065","Responsable","246A","Resp. émission permis/certif. mun.","2011-01-01","Quimper","Jean-Philippe","non"
"09065","Direction","304A","Responsable des loisirs","2015-01-12","Dufour","Mathieu","non"
"09065","Présidence","307B","Présidente com. consult. urbanisme","2000-01-01","Levesque","Lise","non"
"27060","Direction","305A","Responsable des travaux publics","2019-11-25","Jacques","Denis","non"
"27060","Responsable","206B","Greffière-trésorière adjointe","2020-08-17","Jacques","Roxanne","non"
"27060","Conseiller","001A","Conseiller n° 1","2021-10-01","Roy","Marco","non"
"27060","Mairie","000A","Maire","2009-10-02","Groleau","Mario","non"
"27060","Conseiller","002A","Conseiller n° 2","2017-10-06","Roy","Michel","non"
"27060","Conseiller","003A","Conseiller n° 3","2008-01-29","Paré","Marc","non"
"27060","Conseiller","004A","Conseiller n° 4","2013-10-04","Giguère","Joël","non"
"27060","Présidence","307A","Président comité consult. urbanisme","2014-04-07","Giguère","Joël","non"
"27060","Conseiller","005A","Conseiller n° 5","2009-11-01","Mathieu","Mario","non"
"27060","Conseiller","006B","Conseillère n° 6","2017-10-06","Lessard","Mireille","non"
"27060","Responsable","205A","Greffier-trésorier","2018-11-30","Paquet","Jonathan","non"
"27060","Direction","209A","Directeur général","2018-11-30","Paquet","Jonathan","non"
"27060","Direction","223B","Coordonnatrice mesures d'urgence","2018-11-30","Paquet","Jonathan","non"
"27060","Direction","215B","Directrice/Cheffe brigade des  pomp","2016-04-07","Dodier","Israël","non"
"27060","Responsable","248A","Inspecteur en bâtiment","2018-10-29","Breton","Steeve","non"
"29030","Direction","215A","Directeur/Chef brigade des pompiers","2019-09-15","Busque","Michael","non"
"29030","Responsable","242A","Inspecteur destr. mauvaises herbes","2017-01-01","","","oui"
"29030","Direction","342B","Directrice serv. récréa et commun","2020-03-31","","","oui"
"29030","Conseiller","004A","Conseiller n° 4","2021-12-06","Gagnon","Guylaine","non"
"29030","Conseiller","001A","Conseiller n° 1","2021-10-01","Grondin","Pierre","non"
"29030","Direction","303A","Responsable de l'urbanisme","2023-03-22","","","oui"
"29030","Direction","223B","Coordonnatrice mesures d'urgence","2023-03-22","","","oui"
"29030","Présidence","307B","Présidente com. consult. urbanisme","2021-01-02","","","oui"
"29030","Direction","304C","Directrice des loisirs","2022-03-04","","","oui"
"29030","Conseiller","003A","Conseiller n° 3","2021-10-01","Roy","Dave","non"
"29030","Conseiller","006A","Conseiller n° 6","2021-10-01","Boilard","Carl","non"
"29030","Mairie","000B","Mairesse","2021-10-01","Roy","Vanessa","non"
"29030","Conseiller","002A","Conseiller n° 2","2022-03-14","Poulin","Frédéric","non"
"29030","Responsable","205A","Greffier-trésorier","2023-09-05","Nadeau","François","non"
"29030","Direction","209A","Directeur général","2023-09-05","Nadeau","François","non"
"29030","Conseiller","005A","Conseiller n° 5","2017-10-06","Breton","Vincent","non"
"29030","Responsable","203C","Adjointe administrative","2021-01-01","Jacques","Renée-Claude","non"
"29030","Responsable","206B","Greffière-trésorière adjointe","1992-02-25","Gagnon","Nathalie","non"
"29030","Responsable","243A","Inspecteur municipal et de voirie","2011-11-21","Jacques","Vincent","non"
"29030","Responsable","246A","Resp. émission permis/certif. mun.","2011-11-21","Jacques","Vincent","non"
"29030","Direction","305A","Responsable des travaux publics","2011-11-21","Jacques","Vincent","non"
"29030","Direction","301A","Responsable des communications","2021-01-01","Larivière","Émilie","non"
"29095","Direction","303G","Directeur serv. urban. et permis","2022-03-16","Boily","Marie-Claude","non"
"29095","Conseiller","006B","Conseillère n° 6","2021-10-01","Caron","Anne","non"
"29095","Conseiller","005A","Conseiller n° 5","2021-10-01","Levesque","Denis","non"
"29095","Mairie","000A","Maire","2021-11-07","Drouin","Léon","non"
"29095","Conseiller","004B","Conseillère n° 4","2021-11-07","Giroux","Linda","non"
"29095","Mairie","111A","Maire suppléant","2023-12-05","Asselin","Roch","non"
"29095","Conseiller","001A","Conseiller n° 1","2021-11-07","Asselin","Roch","non"
"29095","Conseiller","003A","Conseiller n° 3","2023-12-05","Dancause","Benoit","non"
"29095","Conseiller","002A","Conseiller n° 2","2023-12-05","Vallée","Pascal","non"
"29095","Responsable","243A","Inspecteur municipal et de voirie","2023-10-31","Giguère","Doris","non"
"29095","Responsable","205B","Greffière-trésorière","2020-10-04","Poulin","Odette","non"
"29095","Direction","209B","Directrice générale","2020-10-04","Poulin","Odette","non"
"04015","Conseiller","002B","Conseillère n° 2","2021-10-01","Ouellet","Marise","non"
"04015","Conseiller","003B","Conseillère n° 3","2024-02-02","Rehel","Colette","non"
"04015","Responsable","205B","Greffière-trésorière","2023-10-09","Tanguay","Marie-Eve","non"
"04015","Direction","209B","Directrice générale","2023-10-09","Tanguay","Marie-Eve","non"
"04015","Direction","340B","Directrice services administratifs","2023-10-09","Tanguay","Marie-Eve","non"
"04015","Mairie","000A","Maire","2017-11-05","Emond","Magella","non"
"04015","Conseiller","001A","Conseiller n° 1","2016-04-08","Daraiche","André","non"
"04015","Conseiller","004A","Conseiller n° 4","2015-03-31","Gagnon","Alain","non"
"04015","Conseiller","005A","Conseiller n° 5","2017-11-05","Cloutier","Claude","non"
"04015","Conseiller","006A","Conseiller n° 6","2013-11-03","Ouellet","Yannick","non"
"04025","Direction","209B","Directrice générale","2022-03-07","Sohier","Anne","non"
"04025","Responsable","201B","Greffière","2022-03-07","Sohier","Anne","non"
"04025","Responsable","205B","Greffière-trésorière","2022-03-07","Sohier","Anne","non"
"04025","Direction","215C","Directeur serv. sécurité incendie","2022-01-10","Dumont","Steeve","non"
"04025","Conseiller","002A","Conseiller n° 2","2022-04-01","Gagné","Richard","non"
"04025","Conseiller","003B","Conseillère n° 3","2023-05-05","Mimeault","Donald","non"
"04025","Conseiller","004A","Conseiller n° 4","2021-11-07","Gagné","Jean-Sébastien","non"
"04025","Responsable","247A","Inspecteur municipal","2022-01-01","","","oui"
"04025","Mairie","000B","Mairesse","2021-11-07","Gasse","Renée","non"
"04025","Présidence","112B","Présidente","2021-12-14","Gasse","Renée","non"
"04025","Présidence","307A","Président comité consult. urbanisme","2022-01-03","Gasse","Renée","non"
"04025","Conseiller","005B","Conseillère n° 5","2021-11-07","Dion","Joannie","non"
"04025","Conseiller","006A","Conseiller n° 6","2023-09-29","Jean","Dario","non"
"04025","Conseiller","001A","Conseiller n° 1","2018-03-11","Pelletier","Renaud","non"
"33060","Direction","209A","Directeur général","2022-06-13","Dion","Stéphane ","non"
"33060","Responsable","205A","Greffier-trésorier","2022-06-13","Dion","Stéphane ","non"
"33060","Direction","304C","Directrice des loisirs","2022-05-01","Martel","Rosalie","non"
"33060","Direction","331B","Directrice des finances","2022-10-01","Nolet","Michèle","non"
"33060","Conseiller","002B","Conseillère n° 2","2021-10-01","Daigle","Jessika","non"
"33060","Mairie","000B","Mairesse","2021-11-07","Charest","Huguette","non"
"33060","Conseiller","001A","Conseiller n° 1","2021-10-01","Arsenault","William","non"
"33060","Mairie","111A","Maire suppléant","2023-01-16","Arsenault","William","non"
"33060","Conseiller","006A","Conseiller n° 6","2021-11-07","Pérusse","Denis","non"
"33060","Direction","210B","Directrice générale adjointe","2024-01-01","Roussin","Nicole","non"
"33060","Direction","303C","Directrice de l'urbanisme","2023-10-02","Fontaine","Claudine","non"
"33060","Responsable","243A","Inspecteur municipal et de voirie","2023-05-08","Turner","Francis","non"
"33060","Conseiller","005A","Conseiller n° 5","2021-10-01","Beaulieu","Ghislain","non"
"33060","Direction","305B","Directeur des travaux publics","2023-06-12","Milot","Stéphane","non"
"33060","Conseiller","003B","Conseillère n° 3","2017-11-05","Croteau","Suzanne","non"
"33060","Conseiller","004A","Conseiller n° 4","2017-11-05","Legros","Marc","non"
"33060","Direction","215A","Directeur/Chef brigade des pompiers","2008-01-14","Rousseau","Patrick","non"
"07100","Conseiller","006A","Conseiller n° 6","2021-10-01","Landry","Gaétan","non"
"07100","Conseiller","004A","Conseiller n° 4","2021-10-02","Ouellet","Hugues","non"
"07100","Conseiller","001B","Conseillère n° 1","2017-10-06","Leblanc","Marie-Pier","non"
"07100","Conseiller","002B","Conseillère n° 2","2017-10-06","Gagné","Johanne","non"
"07100","Conseiller","003B","Conseillère n° 3","2010-06-07","Gagnon","Mélissa","non"
"07100","Mairie","000A","Maire","2021-10-01","Marquis","Gilbert","non"
"07100","Conseiller","005A","Conseiller n° 5","2017-10-06","Gendron","Guy","non"
"07100","Responsable","205B","Greffière-trésorière","1993-02-01","Caron","Manon","non"
"07100","Direction","209B","Directrice générale","2004-11-01","Caron","Manon","non"
"07100","Responsable","242A","Inspecteur destr. mauvaises herbes","2000-10-01","Gagnon","Simon","non"
"07100","Responsable","243A","Inspecteur municipal et de voirie","2000-10-01","Gagnon","Simon","non"
"07100","Direction","305A","Responsable des travaux publics","2000-10-01","Gagnon","Simon","non"
"07100","Présidence","307A","Président comité consult. urbanisme","1900-01-01","","","oui"
"20030","Mairie","000A","Maire","2021-11-07","Côté","Jean","non"
"20030","Responsable","205B","Greffière-trésorière","2023-05-24","Paquet","Nathalie","non"
"20030","Direction","209B","Directrice générale","2023-05-24","Paquet","Nathalie","non"
"20030","Direction","223B","Coordonnatrice mesures d'urgence","2024-05-24","Paquet","Nathalie","non"
"20030","Conseiller","002A","Conseiller n° 2","2024-04-03","","","oui"
"20030","Conseiller","004B","Conseillère n° 4","2024-04-03","","","oui"
"20030","Conseiller","006A","Conseiller n° 6","2024-04-02","","","oui"
"20030","Direction","210B","Directrice générale adjointe","2023-07-10","Marie-Claude","Pouliot","non"
"20030","Conseiller","001A","Conseiller n° 1","2010-12-06","Bussière","Éric","non"
"20030","Présidence","307A","Président comité consult. urbanisme","2018-12-04","Bussière","Éric","non"
"20030","Conseiller","003A","Conseiller n° 3","2013-10-04","Beaulé","Yves-André","non"
"20030","Conseiller","005B","Conseillère n° 5","2014-10-28","Berthiaume","Lison","non"
"95005","Conseiller","003B","Conseillère n° 3","2019-11-07","Chambers","Jane","non"
"95005","Direction","304F","Coordonnateur des loisirs","2023-06-10","","","oui"
"95005","Direction","323A","Directeur de la culture","2023-05-29","Belanger","Marie-France","non"
"95005","Responsable","205B","Greffière-trésorière","2022-07-27","Otis","Chantale","non"
"95005","Direction","223B","Coordonnatrice mesures d'urgence","2022-07-27","Otis","Chantale","non"
"95005","Direction","209B","Directrice générale","2022-07-27","Otis","Chantale","non"
"95005","Mairie","000A","Maire","2021-11-07","Therrien","Richard","non"
"95005","Conseiller","002A","Conseiller n° 2","2021-11-07","Tremblay","Dany","non"
"95005","Conseiller","007A","Conseiller n° 7","2023-10-01","Savard","Johanne","non"
"95005","Responsable","246A","Resp. émission permis/certif. mun.","2023-10-17","Roy-Paradis","Andrée-Laurence","non"
"95005","Responsable","203A","Secrétaire","2023-05-23","Olsen","Kelly","non"
"95005","Conseiller","001A","Conseiller n° 1","2017-11-05","Therrien","Guy","non"
"95005","Conseiller","004B","Conseillère n° 4","2013-11-03","Tremblay","Stéphanie","non"
"95005","Conseiller","005B","Conseillère n° 5","2017-10-06","Pineault","Mireille","non"
"95005","Direction","215A","Directeur/Chef brigade des pompiers","2018-12-10","Gauthier","Yves","non"
"95005","Responsable","243A","Inspecteur municipal et de voirie","2015-03-17","Gagné","Éric","non"
"95005","Direction","305A","Responsable des travaux publics","2015-03-17","Gagné","Éric","non"
"95005","Présidence","307B","Présidente com. consult. urbanisme","2004-09-13","Pierre","Joëlle","non"
"95005","Direction","315C","Resp. rés. aqueduc, égouts et ass.","2015-04-13","Brousseau","Carl","non"
"96005","Responsable","203A","Secrétaire","2019-08-05","Martens","Stecy","non"
"96005","Conseiller","006A","Conseiller n° 6","2021-12-19","Proulx","Jean","non"
"96005","Conseiller","004A","Conseiller n° 4","2021-12-19","Gendreault","Thérèse","non"
"96005","Conseiller","001A","Conseiller n° 1","2021-10-01","Paquet","Michel","non"
"96005","Mairie","111A","Maire suppléant","2022-06-15","Paquet","Michel","non"
"96005","Conseiller","002A","Conseiller n° 2","2021-10-01","Thibeault","Yvan","non"
"96005","Conseiller","003A","Conseiller n° 3","2022-12-06","Jourdain","Bernard","non"
"96005","Responsable","205A","Greffier-trésorier","2023-11-03","Doyle","Éric","non"
"96005","Direction","209A","Directeur général","2023-11-03","Doyle","Éric","non"
"96005","Mairie","000A","Maire","2019-06-16","Baillargeon","Étienne","non"
"96005","Conseiller","005B","Conseillère n° 5","2017-11-05","Jourdain","Carole","non"
"96010","Conseiller","004B","Conseillère n° 4","2023-03-24","","","oui"
"96010","Mairie","000A","Maire","2023-10-01","Côté","Guy","non"
"96010","Conseiller","003A","Conseiller n° 3","2021-11-07","Sini","Réjean","non"
"96010","Conseiller","002A","Conseiller n° 2","2023-10-01","Larocque","Eric","non"
"96010","Conseiller","006A","Conseiller n° 6","2022-10-16","Simard","Edith","non"
"96010","Conseiller","001A","Conseiller n° 1","2017-10-06","Bachand","Alain","non"
