Date,ACT_Total_RSS01,ACT_Total_RSS02,ACT_Total_RSS03,ACT_Total_RSS04,ACT_Total_RSS05,ACT_Total_RSS06,ACT_Total_RSS07,ACT_Total_RSS08,ACT_Total_RSS09,ACT_Total_RSS10,ACT_Total_RSS11,ACT_Total_RSS12,ACT_Total_RSS13,ACT_Total_RSS14,ACT_Total_RSS15,ACT_Total_RSS16,ACT_Total_RSS17,ACT_Total_RSS18,ACT_Total_RSS99
2023-10-31,70,55,195,152,98,523,79,35,34,2,22,86,78,51,131,404,2,10,2027
2023-10-30,64,61,201,156,97,530,81,32,35,2,23,73,86,51,135,402,3,10,2042
2023-10-29,60,55,204,153,99,545,83,35,37,1,24,74,89,52,138,412,3,10,2074
2023-10-28,59,52,197,144,93,537,85,36,37,1,23,66,86,51,134,407,2,10,2020
2023-10-27,59,52,189,146,92,531,86,34,38,1,23,61,87,49,135,409,1,10,2003
2023-10-26,61,53,191,147,90,541,86,35,38,1,19,65,89,50,136,410,1,10,2023
2023-10-25,67,54,191,151,92,545,85,37,38,1,18,65,86,59,138,404,1,10,2042
2023-10-24,53,57,186,152,91,553,85,35,38,1,18,68,83,65,147,402,1,10,2045
2023-10-23,57,58,196,153,92,549,85,37,37,1,17,72,85,61,145,413,1,10,2069
2023-10-22,52,55,205,146,91,535,82,42,39,1,15,70,86,61,148,412,1,9,2050
2023-10-21,50,56,200,140,94,522,82,43,39,1,15,71,80,62,146,402,1,9,2013
2023-10-20,49,58,201,133,93,514,80,41,40,1,13,66,78,55,150,396,2,9,1979
2023-10-19,52,59,209,130,94,518,82,41,39,1,10,74,80,56,159,391,1,9,2005
2023-10-18,52,66,217,134,89,514,84,44,42,1,7,77,83,56,158,377,2,10,2013
2023-10-17,50,69,232,125,91,502,80,46,42,3,6,76,83,62,154,376,1,11,2009
2023-10-16,51,70,233,125,89,514,80,48,42,3,9,75,83,61,158,360,1,11,2013
2023-10-15,51,74,229,131,89,504,76,49,44,4,7,69,80,62,161,356,1,10,1997
2023-10-14,49,72,232,131,87,489,71,44,44,3,3,68,72,56,159,355,1,10,1946
2023-10-13,52,62,232,125,83,480,65,45,45,3,3,63,72,54,152,355,2,10,1903
2023-10-12,50,68,236,135,87,479,66,43,45,1,4,71,73,57,158,368,2,10,1953
2023-10-11,55,70,230,140,87,486,64,47,46,1,6,74,75,63,160,391,1,10,2006
2023-10-10,66,68,226,133,87,492,61,44,51,1,6,75,76,63,160,399,1,10,2019
2023-10-09,66,74,221,137,92,486,57,43,51,1,6,78,75,64,155,404,1,10,2021
2023-10-08,62,70,217,132,91,478,55,42,49,1,8,78,77,63,146,409,1,10,1989
2023-10-07,63,69,211,127,85,475,53,41,48,1,10,73,78,63,143,414,1,10,1965
2023-10-06,63,72,204,124,86,460,53,42,48,1,9,71,83,64,132,414,2,10,1938
2023-10-05,59,68,200,132,88,477,51,44,49,1,7,76,80,69,130,404,2,10,1947
2023-10-04,55,67,193,139,90,476,53,39,51,1,7,74,82,58,135,422,2,10,1954
2023-10-03,54,64,190,142,92,463,51,40,50,1,9,69,82,54,130,417,2,10,1920
2023-10-02,52,67,191,139,93,442,51,41,52,1,9,67,84,49,121,417,3,10,1889
2023-10-01,49,63,175,137,92,442,50,37,53,2,10,61,81,53,113,402,2,10,1832
2023-09-30,46,56,162,130,91,417,48,38,46,3,10,54,78,49,108,380,1,10,1727
2023-09-29,38,59,156,127,84,404,46,30,48,3,12,54,73,47,106,374,1,10,1672
2023-09-28,36,54,163,131,88,424,44,31,50,3,12,51,77,41,96,366,1,10,1678
2023-09-27,31,48,167,131,88,426,40,31,48,2,15,47,84,42,101,358,1,10,1670
2023-09-26,39,46,173,137,94,432,35,29,48,1,16,58,80,43,100,344,1,10,1686
2023-09-25,36,47,179,138,93,424,35,30,53,1,15,57,82,49,101,331,1,10,1682
2023-09-24,37,43,171,134,86,417,33,31,52,1,13,50,83,48,94,328,1,10,1632
2023-09-23,35,36,160,125,82,399,31,24,51,1,11,46,80,45,87,316,1,10,1540
2023-09-22,33,35,149,118,80,396,25,24,49,1,10,48,79,39,82,310,1,10,1489
2023-09-21,34,34,149,120,80,391,21,22,50,1,10,45,77,34,84,305,1,10,1468
2023-09-20,31,34,145,114,75,385,22,20,48,2,10,42,79,30,84,309,1,10,1441
2023-09-19,30,31,140,115,79,377,21,20,52,2,10,45,80,32,87,312,1,10,1444
2023-09-18,32,29,132,118,75,382,24,20,48,2,10,41,79,33,83,315,1,10,1434
2023-09-17,30,28,116,113,75,364,21,18,44,2,8,38,77,31,81,313,1,10,1370
2023-09-16,30,27,104,104,76,364,23,16,45,2,8,39,73,29,76,308,1,10,1335
2023-09-15,29,30,97,112,74,351,21,12,43,2,8,38,69,28,72,306,1,10,1303
2023-09-14,30,31,102,111,74,353,23,12,43,2,12,39,72,31,76,308,1,10,1330
2023-09-13,31,29,108,108,77,362,22,13,39,2,13,42,72,31,74,301,1,10,1335
2023-09-12,27,26,106,105,61,358,21,10,38,1,11,42,74,32,71,296,1,10,1290
2023-09-11,28,23,106,105,59,358,18,11,37,1,10,38,75,32,70,292,1,10,1274
2023-09-10,29,26,105,101,64,344,18,10,38,1,13,33,67,31,73,287,1,10,1251
2023-09-09,32,23,104,99,64,341,20,12,30,1,14,31,64,32,71,277,1,10,1226
2023-09-08,33,26,98,99,58,331,21,12,28,1,15,31,61,27,70,264,1,10,1186
2023-09-07,34,25,102,89,58,314,20,13,29,1,18,28,70,24,67,253,1,10,1156
2023-09-06,31,24,106,87,56,302,20,12,27,1,17,34,70,24,70,252,1,10,1144
2023-09-05,30,24,97,90,55,294,19,11,26,1,16,38,71,24,71,250,1,10,1128
2023-09-04,29,20,102,92,54,290,17,12,24,1,14,39,71,24,72,249,1,10,1121
2023-09-03,24,19,100,86,52,292,16,11,24,1,11,38,67,23,70,243,1,10,1088
2023-09-02,20,18,91,75,52,290,18,12,25,1,8,39,64,23,64,234,1,10,1045
2023-09-01,17,18,80,69,52,275,12,12,25,1,10,38,67,18,62,226,1,10,993
2023-08-31,13,18,82,65,55,269,11,12,26,1,9,32,70,15,59,218,1,10,966
2023-08-30,15,19,84,55,55,261,11,11,25,1,11,37,72,19,62,217,1,10,966
2023-08-29,18,23,92,52,53,258,11,13,25,1,12,37,74,20,59,219,1,10,978
2023-08-28,20,20,92,49,48,256,11,13,27,1,14,40,74,17,59,220,1,10,972
2023-08-27,17,18,95,52,41,250,12,13,25,1,17,37,75,17,61,208,1,10,950
2023-08-26,16,16,89,52,38,242,11,12,22,1,18,33,76,17,62,204,1,10,920
2023-08-25,18,17,85,49,40,228,11,10,21,1,17,32,76,16,62,199,1,10,893
2023-08-24,16,20,86,43,39,218,12,9,21,2,19,30,82,11,65,199,1,10,883
2023-08-23,14,17,86,38,37,215,13,9,21,2,18,31,84,11,61,187,1,10,855
2023-08-22,15,19,90,32,33,218,14,9,21,2,15,37,85,11,59,192,1,10,863
2023-08-21,18,18,90,33,34,217,16,9,21,1,18,42,88,9,61,202,1,10,888
2023-08-20,16,18,90,30,35,215,15,10,22,1,18,40,89,10,63,206,1,10,889
2023-08-19,14,18,83,24,35,222,15,9,21,1,18,35,88,8,60,205,1,10,867
2023-08-18,14,19,82,23,33,215,15,9,21,1,17,36,85,6,59,194,1,10,840
2023-08-17,13,18,78,18,33,215,15,9,21,1,17,36,86,5,58,190,1,10,824
2023-08-16,13,17,74,15,33,223,15,5,21,1,16,32,88,5,58,174,1,10,801
2023-08-15,15,13,76,16,33,226,14,4,21,1,19,36,92,5,51,171,1,10,804
2023-08-14,13,16,75,15,32,222,15,3,21,1,17,35,93,5,51,164,2,10,790
2023-08-13,14,13,73,15,33,217,16,3,22,1,16,36,89,7,52,158,1,10,776
2023-08-12,12,14,60,16,32,208,16,2,22,1,18,34,80,6,51,157,1,10,740
2023-08-11,12,12,55,16,32,207,17,2,22,1,17,34,69,6,49,149,1,10,711
2023-08-10,12,11,65,18,35,198,15,2,22,1,16,30,61,7,47,145,2,10,697
2023-08-09,13,10,62,17,34,202,14,2,22,1,19,31,55,7,47,141,2,10,689
2023-08-08,13,8,62,17,35,202,13,2,22,1,18,24,44,8,49,125,2,10,655
2023-08-07,14,8,64,16,34,201,12,2,23,1,17,28,45,7,48,119,2,10,651
2023-08-06,14,7,59,15,35,199,12,2,23,1,15,28,36,8,45,102,2,10,613
2023-08-05,14,7,54,15,35,203,11,2,23,1,14,29,31,8,44,88,2,10,591
2023-08-04,12,6,51,16,33,198,14,2,23,1,12,25,26,7,36,87,2,10,561
2023-08-03,10,6,46,17,33,196,13,2,23,1,12,29,22,9,38,88,1,10,556
2023-08-02,10,6,49,19,36,199,12,2,23,1,15,33,18,9,37,83,1,10,563
2023-08-01,10,8,54,22,39,198,13,2,25,1,15,35,16,10,34,79,1,10,572
2023-07-31,9,9,52,25,41,203,13,2,26,1,13,33,14,7,32,80,1,10,571
2023-07-30,9,11,49,23,37,213,14,3,25,1,12,33,11,6,33,89,1,10,580
2023-07-29,9,11,48,19,37,208,13,3,25,1,13,32,11,6,34,84,1,10,565
2023-07-28,9,11,46,19,34,206,13,3,25,1,12,26,12,6,33,77,1,10,544
2023-07-27,9,13,47,19,34,214,14,2,25,1,11,28,12,6,37,78,1,10,561
2023-07-26,15,15,49,22,34,218,12,2,25,1,11,28,11,6,33,77,1,10,570
2023-07-25,16,17,45,24,35,222,12,2,26,1,12,29,12,6,32,77,1,10,579
2023-07-24,15,15,47,22,36,221,11,2,26,1,12,26,12,8,34,79,1,10,578
2023-07-23,15,16,49,21,36,226,12,2,26,1,12,26,12,9,34,86,1,10,594
2023-07-22,15,15,46,20,36,225,12,2,26,1,11,25,12,9,36,85,1,10,587
2023-07-21,16,17,46,19,36,223,12,2,26,1,11,23,11,10,33,83,1,10,580
2023-07-20,18,18,42,20,39,227,13,2,27,1,9,21,14,12,34,86,1,10,594
2023-07-19,22,18,44,23,38,226,15,2,29,1,11,22,12,12,33,91,1,10,610
2023-07-18,23,18,43,24,40,225,17,2,30,1,9,20,12,13,33,95,1,10,616
2023-07-17,18,20,48,25,38,223,17,2,31,1,9,19,11,13,34,94,1,10,614
2023-07-16,18,22,48,26,41,218,19,2,32,1,10,18,11,13,33,97,2,10,621
2023-07-15,19,23,46,27,42,218,19,2,30,1,10,18,10,13,35,96,3,10,622
2023-07-14,20,21,46,28,41,212,19,2,29,1,11,19,10,13,35,96,3,10,616
2023-07-13,19,25,45,28,41,224,20,2,28,1,10,19,10,13,32,107,2,10,636
2023-07-12,20,24,48,26,41,225,21,2,30,1,8,17,14,13,31,117,2,10,650
2023-07-11,25,25,48,23,40,231,20,3,32,2,6,17,15,14,31,123,2,10,667
2023-07-10,25,27,51,24,40,239,23,3,33,2,8,16,14,15,31,125,1,10,687
2023-07-09,24,26,56,25,38,241,26,2,33,3,7,16,14,15,31,129,1,10,697
2023-07-08,21,25,52,25,39,237,27,2,33,3,9,17,12,15,28,130,1,10,686
2023-07-07,21,24,52,25,39,239,27,2,33,3,7,16,13,15,29,126,1,10,682
2023-07-06,21,24,51,24,40,246,30,2,33,3,8,17,13,15,31,125,1,10,694
2023-07-05,22,30,47,21,40,259,30,2,33,3,8,17,14,14,29,127,1,10,707
2023-07-04,20,30,50,20,42,264,32,2,33,4,10,18,13,15,30,126,1,10,720
2023-07-03,21,32,53,19,45,278,27,2,35,3,10,17,12,16,30,127,1,10,738
2023-07-02,25,33,52,21,45,276,24,3,35,3,10,19,13,16,30,127,1,10,743
2023-07-01,27,36,50,22,45,277,21,2,34,3,11,20,12,15,29,123,1,10,738
2023-06-30,28,37,48,23,48,279,21,2,34,3,12,22,12,15,28,122,1,10,745
2023-06-29,32,37,50,19,47,283,21,2,35,2,12,21,13,18,27,128,1,10,758
2023-06-28,35,40,50,20,49,286,22,2,34,2,12,20,13,22,29,126,1,10,773
2023-06-27,34,41,52,19,53,291,21,2,35,2,14,21,14,25,31,133,1,10,799
2023-06-26,34,44,55,22,55,291,21,2,35,2,13,23,14,28,31,132,1,10,813
2023-06-25,31,37,57,18,57,293,22,2,33,2,14,27,13,28,32,133,1,10,810
2023-06-24,31,30,57,19,58,291,23,2,32,2,15,25,12,30,33,131,1,10,802
2023-06-23,29,28,56,20,57,285,20,2,32,2,16,21,12,31,34,137,1,10,793
2023-06-22,29,28,57,24,55,280,19,2,31,2,15,20,11,32,34,136,1,10,786
2023-06-21,32,29,67,24,55,283,21,2,31,2,13,20,10,34,36,142,1,10,812
2023-06-20,32,31,67,30,55,295,20,3,31,1,16,20,11,35,36,144,1,10,838
2023-06-19,33,31,68,30,56,306,21,4,31,1,17,22,11,33,38,149,1,10,862
2023-06-18,35,34,69,31,55,313,21,3,30,1,14,24,12,33,36,151,1,10,873
2023-06-17,32,33,73,32,54,313,21,4,30,1,15,23,14,33,36,153,1,10,878
2023-06-16,32,28,75,32,54,309,21,4,30,1,15,22,13,33,35,153,2,10,869
2023-06-15,34,31,79,35,55,313,22,5,31,1,16,25,12,36,36,159,1,10,901
2023-06-14,34,33,77,35,60,325,23,4,30,1,16,25,14,42,38,164,1,10,932
2023-06-13,36,39,73,33,65,327,24,4,30,1,15,28,17,43,42,168,1,10,956
2023-06-12,38,39,77,32,67,337,24,4,30,1,13,27,19,44,43,165,1,10,971
2023-06-11,35,40,75,31,72,325,23,7,32,1,11,26,17,45,42,166,1,10,959
2023-06-10,34,41,76,32,72,322,23,6,29,1,11,25,16,46,43,164,1,10,952
2023-06-09,35,42,70,29,74,317,24,6,30,1,13,24,18,45,46,167,2,10,953
2023-06-08,34,40,81,35,77,328,27,5,30,1,13,28,18,47,49,173,2,10,998
2023-06-07,41,44,83,37,76,340,27,5,28,1,13,28,17,47,49,172,2,10,1020
2023-06-06,45,42,81,41,77,354,31,3,25,3,14,30,20,47,51,170,2,10,1046
2023-06-05,40,42,85,43,78,353,32,3,26,5,16,28,19,47,51,165,2,10,1045
2023-06-04,38,42,82,46,79,361,30,3,26,5,14,30,19,42,56,167,2,10,1052
2023-06-03,36,40,86,45,79,363,30,4,24,5,15,29,20,41,56,170,2,10,1055
2023-06-02,32,40,81,44,77,358,30,4,30,4,16,31,18,42,57,170,2,10,1046
2023-06-01,34,42,81,47,77,362,30,4,37,5,16,36,20,41,57,183,2,10,1084
2023-05-31,34,38,84,47,83,365,31,5,36,5,17,37,18,41,54,194,2,11,1102
2023-05-30,33,37,86,46,82,378,34,3,37,5,18,37,23,45,59,198,2,10,1133
2023-05-29,33,35,77,39,82,388,35,4,37,5,19,39,24,46,61,198,2,10,1134
2023-05-28,31,32,75,41,84,380,35,5,37,4,19,42,26,46,62,206,2,10,1137
2023-05-27,32,29,75,39,85,373,35,5,37,4,21,41,29,47,60,206,2,10,1130
2023-05-26,30,27,76,39,87,362,36,6,36,4,20,40,28,46,62,205,2,10,1116
2023-05-25,34,30,83,41,89,383,37,5,36,4,24,44,27,51,65,206,2,10,1171
2023-05-24,34,32,77,45,86,394,39,5,35,4,26,45,28,54,64,209,2,10,1189
2023-05-23,37,34,73,49,80,422,38,6,33,4,28,44,29,62,61,217,2,10,1229
2023-05-22,39,36,70,51,82,430,39,6,32,4,27,44,31,63,57,214,2,10,1237
2023-05-21,38,36,72,53,79,430,39,5,32,5,26,43,31,70,56,212,3,10,1240
2023-05-20,36,32,76,50,79,426,38,5,31,5,23,44,31,68,58,211,3,10,1226
2023-05-19,42,34,72,50,80,426,37,6,31,4,22,40,32,66,57,208,2,10,1219
2023-05-18,39,36,81,52,81,431,40,7,31,4,24,39,35,66,60,220,2,10,1258
2023-05-17,38,35,84,57,80,440,41,7,31,4,25,39,35,65,58,224,2,10,1275
2023-05-16,39,34,87,59,81,444,39,8,32,4,25,42,36,62,63,233,2,10,1300
2023-05-15,32,34,83,59,81,449,39,8,34,4,25,43,35,64,61,232,2,10,1295
2023-05-14,33,28,84,60,82,441,42,8,35,4,24,43,36,63,61,249,2,10,1305
2023-05-13,34,27,83,59,80,439,42,8,34,4,25,44,33,61,61,240,2,10,1286
2023-05-12,37,23,87,56,76,441,44,9,35,4,26,45,34,61,57,237,2,10,1284
2023-05-11,35,26,86,58,73,465,46,8,35,4,27,45,35,63,58,256,2,10,1332
2023-05-10,35,25,90,65,77,456,47,9,35,4,30,49,37,61,62,256,2,10,1350
2023-05-09,37,28,91,73,78,455,50,9,35,4,30,49,37,67,63,258,2,10,1376
2023-05-08,42,31,96,69,80,463,53,9,38,4,30,46,40,67,68,262,2,10,1410
2023-05-07,44,29,100,68,83,460,53,9,41,4,31,43,36,64,69,266,2,10,1412
2023-05-06,40,34,103,67,85,455,54,8,40,4,29,42,35,60,69,259,2,10,1396
2023-05-05,39,36,114,64,86,451,52,8,40,4,28,46,35,63,70,265,2,10,1413
2023-05-04,43,32,126,66,92,458,52,9,41,4,29,49,42,68,71,281,2,10,1475
2023-05-03,45,34,125,68,96,457,49,9,41,4,31,53,42,73,72,288,2,10,1499
2023-05-02,42,37,134,75,94,448,53,7,42,4,30,58,43,77,76,291,2,10,1523
2023-05-01,41,39,140,81,100,441,54,10,43,4,35,56,42,76,76,286,2,10,1536
2023-04-30,41,40,134,87,99,423,52,11,44,4,36,56,46,77,81,284,2,10,1527
2023-04-29,41,39,136,84,100,409,52,12,44,4,34,55,46,76,80,275,2,10,1499
2023-04-28,41,40,131,80,101,406,50,11,44,4,31,54,45,77,81,288,2,10,1496
2023-04-27,43,42,140,87,95,414,52,10,45,4,33,51,45,72,81,304,2,10,1530
2023-04-26,51,40,138,85,104,408,52,11,44,4,35,52,44,69,84,308,2,10,1541
2023-04-25,48,44,137,90,103,404,56,14,44,4,40,53,45,71,83,309,2,10,1557
2023-04-24,49,42,135,89,108,407,56,16,46,4,39,52,46,68,87,315,2,10,1571
2023-04-23,53,40,138,96,96,409,56,16,42,4,31,53,47,59,89,332,2,10,1573
2023-04-22,50,40,140,91,97,410,54,16,42,4,31,54,46,53,90,338,2,10,1568
2023-04-21,53,39,146,89,95,420,57,17,43,4,29,53,47,44,94,337,2,10,1579
2023-04-20,55,39,151,88,91,442,51,19,40,5,30,54,48,46,99,338,2,10,1608
2023-04-19,60,44,157,87,91,456,51,20,40,5,32,55,51,46,97,338,2,10,1642
2023-04-18,59,44,156,95,95,458,52,20,38,5,31,58,53,46,95,347,2,10,1664
2023-04-17,58,41,158,91,94,469,53,18,37,5,32,67,55,48,98,344,3,10,1681
2023-04-16,55,38,147,95,93,453,52,19,38,5,33,72,53,40,97,345,3,10,1648
2023-04-15,59,37,142,93,94,455,51,21,37,4,30,75,53,38,99,335,3,10,1636
2023-04-14,61,33,142,90,97,469,52,19,36,4,33,74,54,36,98,339,3,10,1650
2023-04-13,59,33,144,92,96,481,54,21,37,4,34,73,51,36,97,344,3,10,1669
2023-04-12,59,35,150,94,93,483,53,22,38,5,29,74,55,42,97,353,3,10,1695
2023-04-11,57,34,151,100,94,484,58,25,36,5,24,75,57,41,93,356,2,10,1702
2023-04-10,57,36,146,98,99,472,60,24,37,5,23,73,63,38,92,358,2,10,1693
2023-04-09,56,36,138,86,96,464,59,25,37,5,24,72,63,44,87,353,2,10,1657
2023-04-08,51,36,134,85,92,455,58,23,35,5,25,71,60,44,88,349,2,10,1623
2023-04-07,52,36,131,81,96,449,57,21,36,4,28,69,54,44,87,352,2,10,1609
2023-04-06,50,36,127,84,98,456,58,21,36,4,24,75,54,43,90,356,2,10,1624
2023-04-05,52,37,129,90,99,450,60,20,37,4,22,71,56,42,101,366,2,10,1648
2023-04-04,48,37,126,87,98,467,57,20,38,4,18,69,59,42,94,366,2,10,1642
2023-04-03,49,39,140,91,93,485,58,21,37,6,20,72,64,41,93,384,2,10,1705
2023-04-02,50,43,136,89,92,486,58,19,38,5,20,69,69,39,90,373,2,10,1688
2023-04-01,45,44,139,87,92,468,59,22,40,5,19,70,71,41,92,363,2,10,1669
2023-03-31,41,46,134,86,91,463,61,22,39,5,21,70,71,37,90,368,2,10,1657
2023-03-30,46,46,148,88,94,462,66,21,41,5,19,72,73,38,92,377,2,10,1700
2023-03-29,50,53,146,89,93,462,67,23,42,5,18,76,69,35,95,371,2,10,1706
2023-03-28,42,56,153,81,99,480,71,23,41,5,19,75,69,37,97,378,2,10,1738
2023-03-27,40,55,150,77,102,467,73,26,39,5,19,73,74,38,101,389,2,10,1740
2023-03-26,37,56,146,78,98,469,73,28,36,6,19,68,76,41,102,385,2,10,1730
2023-03-25,38,57,142,74,96,462,75,28,37,6,16,66,78,42,100,379,2,10,1708
2023-03-24,40,52,137,71,95,462,76,29,36,6,15,65,78,42,97,370,2,10,1683
2023-03-23,41,52,145,72,102,472,78,31,36,6,15,72,80,46,94,370,3,10,1725
2023-03-22,37,51,144,75,114,488,80,33,37,5,14,75,82,48,99,365,3,10,1760
2023-03-21,42,51,154,78,120,482,80,33,39,5,16,75,87,51,101,378,2,10,1804
2023-03-20,46,51,160,81,118,486,79,28,39,5,16,84,89,46,102,381,2,10,1823
2023-03-19,46,46,163,79,118,471,80,25,37,5,16,83,87,48,107,374,2,10,1797
2023-03-18,42,45,157,78,119,463,82,25,37,5,13,79,83,49,107,360,2,10,1756
2023-03-17,37,49,157,75,117,455,81,22,38,5,17,82,85,51,105,353,2,10,1741
2023-03-16,41,51,159,81,118,453,79,21,39,4,17,81,88,51,111,363,2,10,1769
2023-03-15,33,47,172,88,117,455,81,21,40,4,15,83,87,51,110,371,2,10,1787
2023-03-14,36,46,174,90,120,468,83,19,40,5,14,91,92,47,113,380,2,10,1830
2023-03-13,35,43,175,88,121,472,80,18,39,4,13,98,93,50,111,358,2,10,1810
2023-03-12,34,38,173,88,118,462,79,18,41,4,15,98,97,48,118,364,2,11,1808
2023-03-11,34,32,174,88,116,460,78,17,39,4,13,97,97,47,116,358,2,11,1783
2023-03-10,34,31,171,87,115,464,83,15,40,5,14,95,95,49,124,358,3,10,1793
2023-03-09,40,33,191,82,123,482,85,17,41,5,15,93,90,49,125,362,3,10,1846
2023-03-08,42,35,182,79,129,487,85,19,38,5,14,95,99,52,131,358,3,9,1862
2023-03-07,42,39,186,81,133,498,86,19,36,6,15,93,103,54,134,363,2,9,1899
2023-03-06,45,38,190,88,137,491,88,18,37,6,13,93,100,51,141,364,2,9,1911
2023-03-05,44,36,186,90,136,456,87,19,36,5,13,98,97,49,139,369,2,9,1871
2023-03-04,41,38,184,83,132,461,92,22,37,5,13,93,95,49,135,361,2,9,1852
2023-03-03,42,40,185,85,133,448,92,22,39,5,13,90,93,45,134,364,2,9,1841
2023-03-02,39,32,195,90,135,458,98,21,40,5,12,87,93,54,140,368,3,9,1879
2023-03-01,36,26,199,91,136,466,98,23,40,5,11,83,93,56,143,365,2,9,1882
2023-02-28,38,26,211,91,139,460,100,24,39,5,12,78,95,58,143,352,2,10,1883
2023-02-27,33,24,219,91,134,455,102,25,39,5,14,83,91,56,143,327,2,9,1852
2023-02-26,37,23,207,95,134,457,102,23,39,5,15,80,91,59,151,330,2,10,1860
2023-02-25,34,25,202,93,129,449,100,22,41,6,14,75,86,55,144,317,2,10,1804
2023-02-24,33,27,191,93,131,444,101,22,44,6,14,77,76,51,145,317,2,10,1784
2023-02-23,32,30,204,100,129,460,99,23,45,5,18,76,79,50,160,317,2,9,1838
2023-02-22,33,32,213,99,134,464,105,27,45,5,20,79,82,56,160,311,2,9,1876
2023-02-21,36,29,211,104,136,471,107,27,46,5,20,71,82,60,160,312,2,8,1887
2023-02-20,33,30,212,102,135,485,102,26,49,5,19,68,79,61,160,313,2,9,1890
2023-02-19,33,33,206,99,137,465,99,26,47,6,22,67,73,62,162,308,2,9,1856
2023-02-18,33,31,202,93,136,454,97,26,51,6,20,63,71,59,160,297,2,9,1810
2023-02-17,31,34,211,89,138,447,93,29,51,6,21,58,73,54,161,297,2,9,1804
2023-02-16,33,37,212,96,146,453,96,30,50,5,20,58,70,59,166,312,2,9,1854
2023-02-15,38,41,208,101,153,459,97,27,48,5,17,63,72,64,168,318,2,9,1890
2023-02-14,41,42,203,100,151,477,96,27,47,5,18,59,70,63,165,330,2,9,1905
2023-02-13,40,40,199,103,150,485,95,23,47,5,17,61,68,60,161,335,2,10,1901
2023-02-12,40,41,200,98,154,488,96,17,48,6,17,64,68,57,157,334,2,9,1896
2023-02-11,37,37,186,99,153,488,96,18,49,6,16,62,67,59,147,322,2,9,1853
2023-02-10,39,36,185,99,154,491,97,19,52,6,17,58,68,59,149,324,3,9,1865
2023-02-09,41,35,191,108,147,499,99,16,52,6,21,59,67,59,155,327,2,10,1894
2023-02-08,38,38,197,114,148,510,105,18,52,6,21,56,67,57,146,334,4,10,1921
2023-02-07,44,41,201,125,148,515,104,20,53,6,22,54,65,63,138,349,3,10,1961
2023-02-06,42,40,206,126,148,518,98,18,57,5,23,52,62,65,136,353,3,9,1961
2023-02-05,47,37,193,128,158,503,101,16,56,5,25,55,61,63,140,357,3,9,1957
2023-02-04,42,34,188,124,159,493,103,15,56,5,26,57,66,60,140,358,3,9,1938
2023-02-03,38,36,189,128,154,491,106,16,54,6,25,59,65,65,139,355,3,9,1938
2023-02-02,39,37,188,128,161,503,113,16,54,6,25,60,68,61,143,367,4,9,1982
2023-02-01,42,36,182,132,162,509,120,16,55,6,25,63,66,62,142,372,5,9,2004
2023-01-31,46,41,179,133,155,516,124,18,52,6,24,68,71,57,148,388,4,10,2040
2023-01-30,48,42,185,136,153,517,128,15,51,6,25,71,75,61,158,398,4,10,2083
2023-01-29,46,45,184,139,151,520,129,15,51,5,25,79,75,60,149,399,4,10,2086
2023-01-28,42,48,186,136,147,517,131,18,52,5,24,82,76,61,145,397,4,10,2081
2023-01-27,44,47,189,136,146,516,127,18,52,5,25,84,71,66,152,406,5,10,2099
2023-01-26,47,48,201,146,149,545,127,20,51,5,28,84,78,70,155,406,5,10,2175
2023-01-25,52,47,203,141,152,549,133,20,48,5,27,81,80,77,162,406,5,10,2198
2023-01-24,53,52,208,142,158,580,131,22,51,5,24,84,84,84,162,411,4,10,2265
2023-01-23,55,59,216,130,168,603,136,21,51,5,27,94,84,89,177,427,5,10,2357
2023-01-22,60,59,227,135,176,604,136,22,53,4,27,91,80,91,172,425,5,10,2377
2023-01-21,58,58,233,129,177,595,133,22,53,4,28,95,79,88,174,423,5,9,2363
2023-01-20,57,61,233,118,179,592,134,25,52,5,27,97,76,90,176,419,5,9,2355
2023-01-19,58,67,238,122,178,608,131,29,55,5,26,102,81,97,176,435,5,9,2422
2023-01-18,59,64,245,116,176,628,122,28,59,5,24,98,84,96,192,444,4,9,2453
2023-01-17,63,66,250,124,183,652,121,32,60,4,28,102,85,100,189,446,4,9,2518
2023-01-16,62,69,256,127,178,671,118,36,60,5,29,102,87,97,190,472,3,8,2570
2023-01-15,63,74,255,130,174,668,120,37,60,5,30,98,87,99,197,472,3,8,2580
2023-01-14,64,77,252,128,174,665,122,34,62,5,32,90,86,97,205,472,4,8,2577
2023-01-13,66,80,249,126,179,677,120,33,62,5,35,89,91,99,214,478,6,8,2617
2023-01-12,70,78,259,129,186,692,120,33,62,7,34,91,87,105,213,492,6,8,2672
2023-01-11,65,82,258,128,191,704,121,38,62,5,37,95,85,105,210,497,5,8,2696
2023-01-10,67,90,256,143,187,732,124,42,65,6,39,106,85,102,220,515,5,8,2792
2023-01-09,72,93,265,141,193,763,122,41,65,8,37,110,94,105,227,512,5,8,2861
2023-01-08,69,93,268,147,200,778,121,43,65,7,36,112,92,97,226,520,5,8,2887
2023-01-07,67,91,259,145,202,779,120,42,62,7,34,113,91,95,223,519,6,8,2863
2023-01-06,64,96,269,139,206,777,113,43,59,5,34,111,92,92,218,522,6,8,2854
2023-01-05,66,100,278,146,211,793,121,43,63,5,33,108,98,97,222,523,7,9,2923
2023-01-04,70,106,275,142,217,811,118,45,64,5,33,97,103,85,231,524,6,9,2941
