FOURNISSEUR,RÉPARTITION,SERVICE,DIRECTION,NO DE DOSSIER,OBJET,NO DÉCISION,DATE SIGNATURE,MONTANT 
VIDÉOTRON,100% VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION PLANIFICATION IMMOBILIÈRE,1173370001,"DANS LE CADRE DU PROJET D'ENFOUISSEMENT DU RÉSEAU CÂBLÉ AÉRIEN SUR UN TRONÇON DE LA RUE HONORÉ-BEAUGRAND, AUTORISER UNE DÉPENSE DE 2 540 193,71 $ TAXES INCLUSES, POUR LES TRAVAUX CIVILS, D'ÉLECTRICITÉ, DE CÂBLODISTRIBUTION, DE VOIRIE ET D'ÉCLAIRAGE, INCLUANT DES CONTINGENCES DE 291 843,32 $ ET COMPRENANT TOUS LES FRAIS INCIDENTS. MANDATER LA COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL POUR LA COORDINATION DU PROJET ET L'EXÉCUTION DES TRAVAUX CIVILS POUR L'ENFOUISSEMENT DES FILS ET AUTORISER À CETTE FIN UNE DÉPENSE MAXIMALE DE 1 448 673, 78 $ CONTINGENCES, INCIDENCES ET TAXES INCLUSES. ACCORDER UN CONTRAT DE GRÉ À GRÉ À HYDRO-QUÉBEC, FOURNISSEUR UNIQUE, POUR LA MISE EN OEUVRE DU RÉSEAU ÉLECTRIQUE SOUTERRAIN ET LE DÉMANTÈLEMENT DU RÉSEAU AÉRIEN EXISTANT, POUR LA SOMME MAXIMALE DE 761 219,17 $ TAXES INCLUSES. ACCORDER UN CONTRAT DE GRÉ À GRÉ À VIDÉOTRON LTÉE, FOURNISSEUR UNIQUE, POUR LA FOURNITURE ET L'INSTALLATION DE CABLODISTRIBUTION ET LE DÉMANTÈLEMENT DU RÉSEAU AÉRIEN EXISTANT, POUR LA SOMME MAXIMALE DE 103 468,78 $ TAXES INCLUSES. ACCORDER UN CONTRAT DE GRÉ À GRÉ À TELUS, FOURNISSEUR UNIQUE, POUR LA FOURNITURE ET L'INSTALLATION DU CÂBLAGE ET LE DÉMANTÈLEMENT DU RÉSEAU AÉRIEN EXISTANT, POUR LA SOMME MAXIMALE DE 19 242,42 $ TAXES INCLUSES.",CM17 1213,2017-09-26,118989
TELUS,100% VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION PLANIFICATION IMMOBILIÈRE,1173370001,"DANS LE CADRE DU PROJET D'ENFOUISSEMENT DU RÉSEAU CÂBLÉ AÉRIEN SUR UN TRONÇON DE LA RUE HONORÉ-BEAUGRAND, AUTORISER UNE DÉPENSE DE 2 540 193,71 $ TAXES INCLUSES, POUR LES TRAVAUX CIVILS, D'ÉLECTRICITÉ, DE CÂBLODISTRIBUTION, DE VOIRIE ET D'ÉCLAIRAGE, INCLUANT DES CONTINGENCES DE 291 843,32 $ ET COMPRENANT TOUS LES FRAIS INCIDENTS. MANDATER LA COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL POUR LA COORDINATION DU PROJET ET L'EXÉCUTION DES TRAVAUX CIVILS POUR L'ENFOUISSEMENT DES FILS ET AUTORISER À CETTE FIN UNE DÉPENSE MAXIMALE DE 1 448 673, 78 $ CONTINGENCES, INCIDENCES ET TAXES INCLUSES. ACCORDER UN CONTRAT DE GRÉ À GRÉ À HYDRO-QUÉBEC, FOURNISSEUR UNIQUE, POUR LA MISE EN OEUVRE DU RÉSEAU ÉLECTRIQUE SOUTERRAIN ET LE DÉMANTÈLEMENT DU RÉSEAU AÉRIEN EXISTANT, POUR LA SOMME MAXIMALE DE 761 219,17 $ TAXES INCLUSES. ACCORDER UN CONTRAT DE GRÉ À GRÉ À VIDÉOTRON LTÉE, FOURNISSEUR UNIQUE, POUR LA FOURNITURE ET L'INSTALLATION DE CABLODISTRIBUTION ET LE DÉMANTÈLEMENT DU RÉSEAU AÉRIEN EXISTANT, POUR LA SOMME MAXIMALE DE 103 468,78 $ TAXES INCLUSES. ACCORDER UN CONTRAT DE GRÉ À GRÉ À TELUS, FOURNISSEUR UNIQUE, POUR LA FOURNITURE ET L'INSTALLATION DU CÂBLAGE ET LE DÉMANTÈLEMENT DU RÉSEAU AÉRIEN EXISTANT, POUR LA SOMME MAXIMALE DE 19 242,42 $ TAXES INCLUSES.",CM17 1213,2017-09-26,22129
L'ARCHEVÊQUE & RIVEST LTÉE,100% VILLE,SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS,DIRECTION,1171009018,"ACCORDER UN CONTRAT À L'ARCHEVÊQUE & RIVEST LTÉE POUR LA RÉALISATION DE TRAVAUX DE DÉMANTÈLEMENT PARTIEL DE LA MARQUISE ENTRE LES RUES JEAN-TALON EST ET ST-ZOTIQUE DANS LE CADRE DU PROJET DE RÉAMÉNAGEMENT DE LA RUE ST-HUBERT. DÉPENSE TOTALE MAXIMALE DE 1 506 927,78 $, TAXES INCLUSES (TRAVAUX : 1 229 025,25 $ + CONTINGENCES :122 902,53 $ + INCIDENCES : 155 000,00 $). APPEL D'OFFRES PUBLIC #403911 - 1 SOUMISSIONNAIRE.",CM17 1215,2017-09-26,1351928
LES CONSULTANTS S.M. INC.,50% VILLE 50% autre,SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS,DIRECTION DES INFRASTRUCTURES,1175249004,"AUTORISER UNE DÉPENSE ADDITIONNELLE TOTALE DE 71 781,97 $, TAXES INCLUSES POUR COMPLÉTER LA SURVEILLANCE DES TRAVAUX DE LA RÉFECTION DU PONT D'ÉTAGEMENT ROCKLAND (PROJET 11-19) DANS LE CADRE DU CONTRAT DE SERVICES PROFESSIONNELS ACCORDÉ AUX CONSULTANTS S.M. INC. (CM15 0309), MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 873 401,84 $ À 945 183,81 $, TAXES INCLUSES / APPROUVER LA CONVENTION MODIFIANT LA CONVENTION DE SERVICES PROFESSIONNELS / AUTORISER UN BUDGET ADDITIONNEL DE REVENUS ET DÉPENSES AU MONTANT DE 35 890,99 $, TAXES INCLUSES CORRESPONDANT À LA CONTRIBUTION DE LA VILLE DE MONT-ROYAL.",CM17 1216,2017-09-26,71782
HYDRO-QUÉBEC,100% VILLE,SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS,DIRECTION DES TRANSPORTS,1171097001,"DEMANDER À HYDRO-QUÉBEC DE PROCÉDER À LA CONCEPTION DES TRAVAUX D'ENFOUISSEMENT DU RÉSEAU AÉRIEN LONGEANT LE BOULEVARD LAURENTIEN ENTRE LA RUE DE LOUISBOURG ET LA RUE ÉMILE-NELLIGAN NORD, LA RUE LACHAPELLE ENTRE LA RUE DE LOUISBOURG ET LE BOULEVARD GOUIN ET LES RUES DE SALABERRY ET PÉRINAULT ENTRE LE BOULEVARD LAURENTIEN ET LA RUE LACHAPELLE. DÉPENSE TOTALE DE 1 368 202,50 $ TAXES INCLUSES.",CM17 1218,2017-09-26,1368203
PHYSIO B.L.B. INC.,100% VILLE,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION DES SPORTS,1161543010,APPROUVER LE BAIL ENTRE LA VILLE DE MONTRÉAL ET PHYSIOTHÉRAPIE DU SPORT DU QUÉBEC D'UNE DURÉE DE 5 ANS ET UNE SOMME MAXIMALE DE 175 170 $ QUI ÉTABLIT LES MODALITÉS ET CONDITIONS DE LOCATION DES INSTALLATIONS DE LA CLINIQUE DE PHYSIOTHÉRAPIE ET DE LA MÉDECINE DU SPORT DU COMPLEXE SPORTIF CLAUDE-ROBILLARD.,CM17 1222,2017-09-26,175170
CONSTRUCTION PROCO INC.,100% VILLE,SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS,DIRECTION,1173820002,"ACCORDER UN CONTRAT À CONSTRUCTION PROCO INC. D'UNE VALEUR MAXIMALE DE 449 848,18 $ POUR LA FOURNITURE ET L'ENTRETIEN D'UN KIOSQUE D'INFORMATION DANS LE CADRE DU PROJET SAINTE-CATHERINE OUEST / DÉPENSE TOTALE DE 449 848,18 $, TAXES INCLUSES (SOUMISSION : 391 172,33 $ + CONTINGENCES : 58 675,85 $) - APPEL D'OFFRES PUBLIC 17-16208 (1 SOUMISSIONNAIRE CONFORME)",CM17 1226,2017-09-26,449848
HYDRO-QUÉBEC,100% VILLE,SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS,DIRECTION DES INFRASTRUCTURES,1177231070,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 147 196,39 $, TAXES INCLUSES, POUR LE RACCORDEMENT DE 20 BORNES DE RECHARGE POUR VÉHICULES ÉLECTRIQUES DANS LE CADRE DU CONTRAT DE GRÉ À GRÉ ACCORDÉ À HYDRO-QUÉBEC (CM17 0152) CONFORMÉMENT À LA LOI, MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 905 316,23 $ À 1 052 512,62 $, TAXES INCLUSES - FOURNISSEUR EXCLUSIF",CM17 1227,2017-09-26,147196
AXE CONSTRUCTION INC.,100% VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS,1177619003,"ACCORDER UN CONTRAT À AXE CONSTRUCTION INC., POUR LA RÉFECTION DE LA VESPASIENNE DU PARC LA FONTAINE - DÉPENSE TOTALE DE 646 800.00 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC 5920 - SEPT (7) SOUMISSIONNAIRES.",CM17 1228,2017-09-26,646800
9154-6937 Québec inc. - Location Guay inc.,100% VILLE,SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS,DIRECTION DES TRAVAUX PUBLICS - SCA,1176770006,"ACCORDER SIX CONTRATS DE LOCATION DE DIVERS ÉQUIPEMENTS MÉCANIQUES AVEC OPÉRATEURS POUR LES LIEUX D'ÉLIMINATION DE LA NEIGE DE MILLEN, SAUVÉ ET CARRIÈRE SAINT-MICHEL, POUR DES DURÉES VARIANT ENTRE UN (1) AN ET TROIS (3) ANS AVEC OPTION DE PROLONGATION D’UNE SAISON HIVERNALE, AUX PLUS BAS SOUMISSIONNAIRES CONFORMES SUIVANTS : 9154-6937 QUÉBEC INC. – LOCATION GUAY INC.; BLAIS JEAN-LOUIS; LES ENTREPRISES DANIEL ROBERT INC. RÉHABILITATION DU O INC. DÉPENSE TOTALE 803 815,21$ TAXES INCLUSES. APPEL D’OFFRES PUBLIC Nº 17-16322. – 11 SOUMISSIONNAIRES.",CM17 1229,2017-09-26,241074
9154-6937 Québec inc. - Location Guay inc.,100% VILLE,SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS,DIRECTION DES TRAVAUX PUBLICS - SCA,1176770006,"ACCORDER SIX CONTRATS DE LOCATION DE DIVERS ÉQUIPEMENTS MÉCANIQUES AVEC OPÉRATEURS POUR LES LIEUX D'ÉLIMINATION DE LA NEIGE DE MILLEN, SAUVÉ ET CARRIÈRE SAINT-MICHEL, POUR DES DURÉES VARIANT ENTRE UN (1) AN ET TROIS (3) ANS AVEC OPTION DE PROLONGATION D’UNE SAISON HIVERNALE, AUX PLUS BAS SOUMISSIONNAIRES CONFORMES SUIVANTS : 9154-6937 QUÉBEC INC. – LOCATION GUAY INC.; BLAIS JEAN-LOUIS; LES ENTREPRISES DANIEL ROBERT INC. RÉHABILITATION DU O INC. DÉPENSE TOTALE 803 815,21$ TAXES INCLUSES. APPEL D’OFFRES PUBLIC Nº 17-16322. – 11 SOUMISSIONNAIRES.",CM17 1229,2017-09-26,130687
9154-6937 Québec inc. - Location Guay inc.,100% VILLE,SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS,DIRECTION DES TRAVAUX PUBLICS - SCA,1176770006,"ACCORDER SIX CONTRATS DE LOCATION DE DIVERS ÉQUIPEMENTS MÉCANIQUES AVEC OPÉRATEURS POUR LES LIEUX D'ÉLIMINATION DE LA NEIGE DE MILLEN, SAUVÉ ET CARRIÈRE SAINT-MICHEL, POUR DES DURÉES VARIANT ENTRE UN (1) AN ET TROIS (3) ANS AVEC OPTION DE PROLONGATION D’UNE SAISON HIVERNALE, AUX PLUS BAS SOUMISSIONNAIRES CONFORMES SUIVANTS : 9154-6937 QUÉBEC INC. – LOCATION GUAY INC.; BLAIS JEAN-LOUIS; LES ENTREPRISES DANIEL ROBERT INC. RÉHABILITATION DU O INC. DÉPENSE TOTALE 803 815,21$ TAXES INCLUSES. APPEL D’OFFRES PUBLIC Nº 17-16322. – 11 SOUMISSIONNAIRES.",CM17 1229,2017-09-26,125620
Blais Jean-Louis,100% VILLE,SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS,DIRECTION DES TRAVAUX PUBLICS - SCA,1176770006,"ACCORDER SIX CONTRATS DE LOCATION DE DIVERS ÉQUIPEMENTS MÉCANIQUES AVEC OPÉRATEURS POUR LES LIEUX D'ÉLIMINATION DE LA NEIGE DE MILLEN, SAUVÉ ET CARRIÈRE SAINT-MICHEL, POUR DES DURÉES VARIANT ENTRE UN (1) AN ET TROIS (3) ANS AVEC OPTION DE PROLONGATION D’UNE SAISON HIVERNALE, AUX PLUS BAS SOUMISSIONNAIRES CONFORMES SUIVANTS : 9154-6937 QUÉBEC INC. – LOCATION GUAY INC.; BLAIS JEAN-LOUIS; LES ENTREPRISES DANIEL ROBERT INC. RÉHABILITATION DU O INC. DÉPENSE TOTALE 803 815,21$ TAXES INCLUSES. APPEL D’OFFRES PUBLIC Nº 17-16322. – 11 SOUMISSIONNAIRES.",CM17 1229,2017-09-26,70406
Les Entreprises Daniel Robert inc.,100% VILLE,SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS,DIRECTION DES TRAVAUX PUBLICS - SCA,1176770006,"ACCORDER SIX CONTRATS DE LOCATION DE DIVERS ÉQUIPEMENTS MÉCANIQUES AVEC OPÉRATEURS POUR LES LIEUX D'ÉLIMINATION DE LA NEIGE DE MILLEN, SAUVÉ ET CARRIÈRE SAINT-MICHEL, POUR DES DURÉES VARIANT ENTRE UN (1) AN ET TROIS (3) ANS AVEC OPTION DE PROLONGATION D’UNE SAISON HIVERNALE, AUX PLUS BAS SOUMISSIONNAIRES CONFORMES SUIVANTS : 9154-6937 QUÉBEC INC. – LOCATION GUAY INC.; BLAIS JEAN-LOUIS; LES ENTREPRISES DANIEL ROBERT INC. RÉHABILITATION DU O INC. DÉPENSE TOTALE 803 815,21$ TAXES INCLUSES. APPEL D’OFFRES PUBLIC Nº 17-16322. – 11 SOUMISSIONNAIRES.",CM17 1229,2017-09-26,152882
Réhabilitation Du O inc.,100% VILLE,SERVICE DE LA CONCERTATION DES ARRONDISSEMENTS,DIRECTION DES TRAVAUX PUBLICS - SCA,1176770006,"ACCORDER SIX CONTRATS DE LOCATION DE DIVERS ÉQUIPEMENTS MÉCANIQUES AVEC OPÉRATEURS POUR LES LIEUX D'ÉLIMINATION DE LA NEIGE DE MILLEN, SAUVÉ ET CARRIÈRE SAINT-MICHEL, POUR DES DURÉES VARIANT ENTRE UN (1) AN ET TROIS (3) ANS AVEC OPTION DE PROLONGATION D’UNE SAISON HIVERNALE, AUX PLUS BAS SOUMISSIONNAIRES CONFORMES SUIVANTS : 9154-6937 QUÉBEC INC. – LOCATION GUAY INC.; BLAIS JEAN-LOUIS; LES ENTREPRISES DANIEL ROBERT INC. RÉHABILITATION DU O INC. DÉPENSE TOTALE 803 815,21$ TAXES INCLUSES. APPEL D’OFFRES PUBLIC Nº 17-16322. – 11 SOUMISSIONNAIRES.",CM17 1229,2017-09-26,83146
PAVAGES MÉTROPOLITAINS INC.,100% VILLE,SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS,DIRECTION,1177409005,ACCORDER UN CONTRAT À PAVAGES MÉTROPOLITAINS INC. POUR LA RÉALISATION DES TRAVAUX DE PAVAGE ET REVÊTEMENT SUR LA RUE ATWATER ENTRE LA RUE ST-ANTOINE ET LA RUE NOTRE-DAME. DÉPENSE TOTALE DE 1 633 217.78 TAXES INCLUSES (CONTRAT: 1 420 189.37$ +INCIDENCES: 213 028.41$) - APPEL D'OFFRES PUBLIC 416510 - 1 SOUMISSIONNAIRE.,CM17 1231,2017-09-26,1420189
PAVAGES D'AMOUR INC.,100% VILLE,SERVICE DES INFRASTRUCTURES_VOIRIE ET TRANSPORTS,DIRECTION DES INFRASTRUCTURES,1177231074,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 157 028,99 $ TAXES INCLUSES, POUR DES TRAVAUX DE RÉFECTION COMPLÈTE DE LA CHAUSSÉE ET POUR L'ACHAT ET L'INSTALLATION DE GÉOTEXTILE ET DE GÉOGRILLE SUR LA RUE SAINTE-MADELEINE, DE LA RUE WELLINGTON À LA RUE LE BER, DANS L'ARRONDISSEMENT DU SUD-OUEST DANS LE CADRE DU CONTRAT 293701 ACCORDÉ À PAVAGES D'AMOUR INC (CM17 0043), MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 2 041 266,15 $ À 2 198 295,14 $, TAXES INCLUSES.",CM17 1232,2017-09-26,157029
TREMPRO CONSTRUCTION INC,100% VILLE,SERVICE DE L'ESPACE POUR LA VIE,DIRECTION DE L'EXPLOITATION,1175991004,"RÉSILIER LE CONTRAT DE L'ENTREPRISE 9006-9311 QUÉBEC INC. F.A.S.R.S DEVCOR (1994), CM 16 0764, RELATIF AU PROJET DE LA RÉFECTION DU BÂTIMENT DE LA CHAUFFERIE PRINCIPALE DU JARDIN BOTANIQUE ET LE RÉAMÉNAGEMENT DE LA CHAUFFERIE DU COMPLEXE C - MONTANT DE 2 595 696,26 $, TAXES INCLUSES, ACCORDER UN CONTRAT À TREMPRO CONSTRUCTION INC. POUR RÉALISER LES TRAVAUX DE RÉFECTION DU BÂTIMENT DE LA CHAUFFERIE PRINCIPALE DU JARDIN BOTANIQUE, PHASE 2 - DÉPENSE TOTALE DE 2 826 478,89 $ TAXES INCLUSES (CONTRAT ET CONTINGENCES: 2 676 507,64 $, INCIDENCES 149 971,25 $) - APPEL D'OFFRES PUBLIC (JA-00052-PH2-LOT2) - (6 SOUMISSIONNAIRES)",CM17 1233,2017-09-26,2676507
9006-9311 Québec inc. f.a.s.r.s Devcor (1994),100% VILLE,SERVICE DE L'ESPACE POUR LA VIE,DIRECTION DE L'EXPLOITATION,1175991004,"RÉSILIER LE CONTRAT DE L'ENTREPRISE 9006-9311 QUÉBEC INC. F.A.S.R.S DEVCOR (1994), CM 16 0764, RELATIF AU PROJET DE LA RÉFECTION DU BÂTIMENT DE LA CHAUFFERIE PRINCIPALE DU JARDIN BOTANIQUE ET LE RÉAMÉNAGEMENT DE LA CHAUFFERIE DU COMPLEXE C - MONTANT DE 2 595 696,26 $, TAXES INCLUSES, ACCORDER UN CONTRAT À TREMPRO CONSTRUCTION INC. POUR RÉALISER LES TRAVAUX DE RÉFECTION DU BÂTIMENT DE LA CHAUFFERIE PRINCIPALE DU JARDIN BOTANIQUE, PHASE 2 - DÉPENSE TOTALE DE 2 826 478,89 $ TAXES INCLUSES (CONTRAT ET CONTINGENCES: 2 676 507,64 $, INCIDENCES 149 971,25 $) - APPEL D'OFFRES PUBLIC (JA-00052-PH2-LOT2) - (6 SOUMISSIONNAIRES)",CM17 1233,2017-09-26,-2595696
SOLMATECH INC,"96,5% VILLE 3,5% ARR",VERDUN,DIRECTION DES TRAVAUX PUBLICS,1176459007,"AUTORISER UNE DÉPENSE ADDITIONNELLE D'UN MONTANT DE 96 466,90 $ (CONTINGENCES ET TAXES INCLUSES) AFIN D'AUGMENTER LE CONTRAT OCTROYÉ À LA FIRME ""SOLMATECH INC."" POUR LE CONTRÔLE DES MATÉRIAUX ET SURVEILLANCE QUALITATIVE ET QUANTITATIVE DES TRAVAUX DE RECONSTRUCTION DES RUES BRAULT, EGAN ET 3E AVENUE DANS L'ARRONDISSEMENT DE VERDUN - MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 536 034,72 $ À 632 501,62 $, CONTINGENCES ET TAXES INCLUSES",CM17 1234,2017-09-26,96467
"VIAU BASTIEN GOSSELIN ARCHITECTES INC., BLONDIN FORTIN & ASSOCIÉS, BEAUDOIN HURENS INC.",100% VILLE,SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE,DIRECTION DE LA GESTION DE PROJETS IMMOBILIERS,1177251002,"AUTORISER UNE DÉPENSE ADDITIONNELLE DE 204 795,68 $, TAXES INCLUSES, POUR L'AJUSTEMENT DES HONORAIRES PROFESSIONNELS EN FONCTION DE LA RÉVISION DE L'ESTIMATION DES COÛTS DE CONSTRUCTION D'UNE USINE DE TRAITEMENT DES EAUX SOUTERRAINES ET DES HYDROCARBURES FLOTTANTS AU PARC D'ENTREPRISES DE LA POINTE SAINT-CHARLES (PEPSC) / APPROUVER UN PROJET D'ADDENDA NO 1 MODIFIANT LA CONVENTION DE SERVICES PROFESSIONNELS INTERVENUE AVEC VIAU BASTIEN GOSSELIN ARCHITECTES INC, BLONDIN FORTIN ET ASSOCIÉS ET BEAUDOIN HURENS INC. (CM16 1161), MAJORANT AINSI LE MONTANT TOTAL DU CONTRAT DE 461 030,55 $ À 665 826,23 $, TAXES INCLUSES",CM17 1236,2017-09-26,204796
WSP CANADA INC,"94,04% ARR
5,96 VILLE",VILLE-MARIE,DIRECTION DES TRAVAUX PUBLICS,1170093005,"AUTORISER UNE AFFECTATION DE SURPLUS DE 900 811,56 $, APPROUVER LA CONVENTION ET ACCORDER UN CONTRAT DE SERVICES PROFESSIONNEL 961 621,01 $ À WSP CANADA INC. POUR LA RÉALISATION PLANS ET DEVIS ET SURVEILLANCE POUR LES TRAVAUX DU SECTEUR PASTEUR / UQAM, PHASES 1 ET 2 ET AUTORISER UNE DÉPENSE MAXIMALE DE 1 049 041,10 $ (APPEL D'OFFRES PUBLIC VMP-17-030 – QUATRE SOUMISSIONNAIRES) ET APPROUVER UN PROJET DE CONVENTION À CETTE FIN.",CM17 1237,2017-09-26,961621
PROVENCHER ROY URBANISME INC.,"41,81% VILLE 58,19% ARR",VILLE-MARIE,DIRECTION DES TRAVAUX PUBLICS,1177280003,"AFFECTER 336 852,26 $ DES SURPLUS DE L'ARRONDISSEMENT, APPROUVER LA CONVENTION ET ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS DE 551 305 $ À PROVENCHER ROY URBANISME INC. POUR FAIRE LA CONCEPTION, PRODUIRE LES PLANS ET DEVIS ET ASSURER LA SURVEILLANCE DES TRAVAUX DE RÉAMÉNAGEMENT DE LA RUE SANGUINET, DE LA RUE CHRISTIN ET DE LA RUE SAVIGNAC, AINSI QUE DE L'AMÉNAGEMENT DE 2 ESPACES PUBLICS INCLUANT L'INSTALLATION DE 4 BORNES DE RECHARGE RAPIDE POUR VÉHICULES ÉLECTRIQUES SUR DES TERRAINS APPARTENANT À L'UQAM ET AUTORISER UNE DÉPENSE MAXIMALE DE 634 000,75 $ (APPEL D'OFFRES PUBLIC VMP-17-023 - 5 SOUMISSIONNAIRES)",CM17 1244,2017-09-26,634001
VIDEOTRON,100% VILLE,COMMISSION DES SERVICES ÉLECTRIQUES,BUREAU DU PRÉSIDENT DE LA COMMISSION,1170025006,"ACCORDER UN CONTRAT DE GRÉ À GRÉ À VIDÉOTRON, POUR RÉALISER DES TRAVAUX SUR SON RÉSEAU CÂBLÉ DANS LE CADRE DU PROJET D'ENFOUISSEMENT DES RÉSEAUX CÂBLÉS DU CHEMIN DE LA CÔTE-SAINT-LUC (PROJET DE L'ENTENTE 83-89 - FICHE 49) POUR UNE SOMME MAXIMALE DE 422 000,04 $, TAXES INCLUSES",CM17 1318,2017-11-28,422000
LES PRODUITS TURF CARE CANADA LTÉE,100% VILLE,SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS,DIRECTION,1174922017,"ACCORDER DEUX CONTRATS AUX FIRMES « LES PRODUITS TURF CARE CANADA LTÉE » ET « KUBOTA MONTRÉAL » POUR LA FOURNITURE DE SIX (6) TONDEUSES DE TYPE INDUSTRIEL - DÉPENSE TOTALE DE 521 780.55 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC17-16240 (1 SOUM. PAR ARTICLE).",CM17 1319,2017-11-28,395514
KUBOTA MONTRÉAL,100% VILLE,SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS,DIRECTION,1174922017,"ACCORDER DEUX CONTRATS AUX FIRMES « LES PRODUITS TURF CARE CANADA LTÉE » ET « KUBOTA MONTRÉAL » POUR LA FOURNITURE DE SIX (6) TONDEUSES DE TYPE INDUSTRIEL - DÉPENSE TOTALE DE 521 780.55 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC17-16240 (1 SOUM. PAR ARTICLE).",CM17 1319,2017-11-28,126267
LA PRESSE,100% VILLE,SERVICE DE L'ESPACE POUR LA VIE,BUREAU MARKETING ET COMMUNICATIONS,1176756001,"APPROUVER, CONFORMÉMENT AUX DISPOSITIONS DE LA LOI, UN PROJET DE CONVENTION DE GRÉ À GRÉ ENTRE LA VILLE DE MONTRÉAL ET LA PRESSE, POUR LA FOURNITURE D'ESPACES MÉDIAS POUR LES BESOINS DU SERVICE DE L'ESPACE POUR LA VIE, POUR UNE SOMME MAXIMALE DE 367 920 $, TAXES INCLUSES, SELON LES TERMES ET CONDITIONS STIPULÉS AU PROJET DE CONVENTION ; AUTORISER UN BUDGET ADDITIONNEL DE REVENUS ET DE DÉPENSE DE 183 960 $, TAXES INCLUSES, ÉQUIVALENT À LA VALEUR DE LA CONCESSION DE VISIBILITÉ ET DE BILLETS PROMOTIONNELS À LA PRESSE PAR LE SERVICE DE L'ESPACE POUR LA VIE.",CM17 1320,2017-11-28,367920
ASTRAL AFFICHAGE,100% VILLE,SERVICE DE L'ESPACE POUR LA VIE,BUREAU MARKETING ET COMMUNICATIONS,1176756002,"ACCORDER UN CONTRAT DE GRÉ À GRÉ À ASTRAL AFFICHAGE POUR L'ACHAT D'ESPACE PUBLICITAIRE DANS LE RÉSEAU DE LA SOCIÉTÉ DE TRANSPORT DE MONTRÉAL AINSI QUE SUR LE RÉSEAU D'AFFICHAGE EXTÉRIEUR D'ASTRAL POUR LES BESOINS DU SERVICE DE L'ESPACE POUR LA VIE, POUR UNE SOMME MAXIMALE DE 309 091,89 $, TAXES INCLUSES.",CM17 1321,2017-11-28,309092
CIMA+ S.E.N.C,100% VILLE,RIVIÈRE-DES-PRAIRIES - POINTE-AUX-TREMBLES,DIRECTION DU DÉVELOPPEMENT DU TERRITOIRE ET ÉTUDES TECHNIQUES,1174281011,"AUTORISATION D’UNE DÉPENSE ADDITIONNELLE DE 31 016,23 $ TAXES INCLUSES, POUR LA SURVEILLANCE DES TRAVAUX DE RECONSTRUCTION D’UN ÉGOUT UNITAIRE, D’UNE CONDUITE D’EAU SECONDAIRE ET DU PAVAGE DANS LA 64E AVENUE, DE LA 5E RUE À LA RUE PERRAS ET DANS LA 58E AVENUE, DU BOULEVARD MAURICE-DUPLESSIS À LA RUE PERRAS, DANS L’ARRONDISSEMENT DE RIVIÈRE-DES-PRAIRIES–POINTE-AUX-TREMBLES, DANS LE CADRE DE L’APPEL D’OFFRES PUBLIC NUMÉRO 13-13055.",CM17 1322,2017-11-28,31016
