nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
"COHEN, Maurice",Conseiller d’arrondissement - CA,,42 309 $,X,,57 585 $,15 976 $
Saint-Laurent,Membre CTTP - CM ,,5 875 $,,X,,
Saint-Laurent,Membre CDEUH - CM,,5 875 $,,X,,
Saint-Laurent,Président CCU - CM,,3 526 $,,X,,
"DeSOUSA, Alan",Conseiller de la ville - CM,,52 887 $,X,,142 369 $,15 976 $
Saint-Laurent,Maire d’arrondissement - CM,,25 855 $,,X,,
Saint-Laurent,Président CFA - CM ,,17 628 $,,X,,
Saint-Laurent,Membre du conseil d'agglomération - CG,,10 999 $,X,,,
Saint-Laurent,Membre du conseil - CMM ,,10 000 $,X,,,
Saint-Laurent,Membre du comité exécutif - CMM,,25 000 $,,X,,
"MIELE, Francesco",Conseiller de la ville - CM,,52 887 $,X,,122 300 $,15 976 $
Saint-Laurent,Leader de la majorité - CM,,29 381 $ ,,X,,
Saint-Laurent,Vice-président CPC - CM ,,11 753 $,,X,,
Saint-Laurent,Membre CASTM - STM ,,21 779 $,X,,,
Saint-Laurent,Président CGEDD - STM ,Max3,3 000 $,,X,,
Saint-Laurent,Vice-président CV - STM,Max3,1 750 $,,X,,
Saint-Laurent,Membre Transgesco - STM ,Max3,1 750 $,,X,,
"SALEM, Aref",Conseiller de la ville - CM ,,52 887 $,X,,123 108 $,15 976 $
Saint-Laurent,Membre du CE - CM ,,41 722 $,,X,,
Saint-Laurent,Membre du conseil d'agglomération - CG ,,10 999 $,X,,,
Saint-Laurent,Membre du conseil - CMM,,10 000 $,X,,,
Saint-Laurent,Membre CT - CMM,Max2,7 500 $,,X,,
"BATTISTA, Mario",Conseiller d’arrondissement - CA,,41 279 $,X,,41 279 $,15 976 $
Saint-Léonard,,,,,,,
"BISSONNET, Michel",Conseiller de la ville - CM ,,52 887 $,X,,95 643 $,15 976 $
Saint-Léonard,Maire d’arrondissement - CM ,,17 628 $,,X,,
Saint-Léonard,Président CTTP - CM,,17 628 $,,X,,
Saint-Léonard,Membre CT - CMM,Max2,7 500 $,,X,,
"LATTANZIO, Patricia","Conseillère de la ville - CM (début 20 nov. 2015, 52 887 $/année)",,6 086 $,X,,6 086 $,1 838 $
Saint-Léonard (Assermentée le 20 nov. 2015) ,,,,,,,
"MOSCHELLA, Domenico","Conseiller de la ville - CM (fin 23 juin 2015, 52 887 $/année) ",,25 212 $,X,,25 212 $,7 616 $
Saint-Léonard (Décédé le 23 juin 2015),,,,,,,
"PERRI, Dominic",Conseiller de la ville - CM,,52 887 $,X,,88 703 $,15 976 $
Saint-Léonard,Vice-président CEEDDGP - CM,,11 753 $,,X,,
Saint-Léonard,Membre CFA - CM,,5 875 $,,X,,
Saint-Léonard,"Président CCU - CM (fin 26 nov. 2015, 3 526 $/année)",,3 188 $,,X,,
Saint-Léonard,Président CACMM - CMM,Max2,15 000 $,,X,,
"TREMBLAY, Lili-Anne",Conseillère d’arrondissement - CA,,41 279 $,X,,58 904 $,15 976 $
Saint-Léonard,Membre CEC - CM ,,5 875 $,,X,,
Saint-Léonard,Membre CDEUH - CM,,5 875 $,,X,,
Saint-Léonard,Membre CIG - CM,,5 875 $,,X,,
"BRUNET, Marie-Eve",Conseillère d’arrondissement - CA,,37 837 $,X,,57 774 $,15 976 $
Verdun,Membre CEEDDGP - CM,,5 875 $,,X,,
Verdun,Membre CDSDM - CM,,5 875 $,,X,,
Verdun,Membre CSP - CG,Max1,5 500 $,,X,,
Verdun,"Présidente CCSP - CA (fin 17 déc. 2015, 2 199 $/année)",,2 115 $,,X,,
Verdun,"Présidente CDS - CA (fin 17 déc. 2015, 2 199 $/année réduit à 0 $8)",,0 $,,X,,
Verdun,"Mairesse suppl. d’arr. - CA (janv. - avril 2015, 143 $/mois)",,572 $,,X,,
"DOWNEY, Sterling",Conseiller de la ville - CM ,,52 887 $,X,,58 762 $,15 976 $
Verdun,Membre CDSDM - CM,,5 875 $,,X,,
"GAGNON, Luc",Conseiller d’arrondissement - CA,,37 837 $,X,,39 952 $,15 976 $
Verdun,"Président CUH - CA (fin 17 déc. 2015, 2 199 $/année)",,2 115 $,,X,,
"GAUTHIER, Manon",Conseillère de la ville - CM,,52 887 $,X,,125 671 $,15 976 $
Verdun,Membre du CE - CM ,,41 722 $,,X,,
Verdun,Membre CIG - CM,,5 875 $,,X,,
Verdun,"Présidente CRCC - CA (fin 17 déc. 2015, 2 199 $/année)",,2 115 $,,X,,
Verdun,"Mairesse suppl. d’arr. - CA (mai - août 2015, 143 $/mois)",,572 $,,X,,
Verdun,Membre du conseil - CMM,,10 000 $,X,,,
Verdun,Vice-présidente CLS - CMM,Max2,12 500 $,,X,,
Verdun,Membre CDEEMF - CMM (max2 7 500 $ réduit à 0 $5),,0 $,,X,,
"L’HEUREUX, Pierre",Conseiller d’arrondissement - CA,,37 837 $,X,,55 201 $,15 976 $
Verdun,Membre CTTP - CM ,,5 875 $,,X,,
Verdun,Membre CCPS - CM,,5 875 $,,X,,
Verdun,"Président CCU - CM (début 4 mars 2015, 3 526 $/année)",,2 927 $,,X,,
Verdun,"Président CSLCP - CA (fin 17 déc. 2015, 2 199 $/année)",,2 115 $,,X,,
Verdun,"Maire suppl. d’arr. - CA (sept. - déc. 2015, 143 $/mois)",,572 $,,X,,
"MAUGER, Marie-Andrée",Conseillère d’arrondissement - CA,,37 837 $,X,,44 507 $,15 976 $
Verdun,"Membre CIG - CM (début 24 mars 2015, 5 875 $/année)",,4 555 $,,X,,
Verdun,"Présidente CEV - CA (fin 17 déc. 2015, 2 199 $/année)",,2 115 $,,X,,
"PARENTEAU, Jean-François",Conseiller de la ville - CM,,52 887 $,X,,101 783 $,15 976 $
Verdun,Maire d’arrondissement - CM ,,17 628 $,,X,,
Verdun,Conseiller associé - CM,,17 628 $,,X,,
Verdun,"Président CGPDELTP - CA (fin 17 déc. 2015, 2 199 $/année)",,2 115 $,,X,,
Verdun,Membre CASTM - STM (21 779 $ réduit à 11 525 $4),,11 525 $,X,,,
Verdun,Président CSA - STM (max3 3 000 $ réduit à 0 $4),,0 $,,X,,
Verdun,"Membre CF, Transgesco - STM (max3 3 500 $ réduit à 0 $4)",,0 $,,X,,
"BERGERON, Richard",Conseiller de la ville - CM,,52 887 $,X,,107 698 $,15 976 $
Ville-Marie,Membre du CE - CM,,41 722 $,,X,,
Ville-Marie,"Vice-président CIG - CM (début 25 mars 2015, 11 753 $/année)",,9 080 $,,X,,
Ville-Marie,"Président CIG - CM (fin 24 mars 2015, 17 628 $/année)",,4 009 $,,X,,
"PLANTE, Valérie",Conseillère de la ville - CM,,52 887 $,X,,70 360 $,15 976 $
Ville-Marie,"Vice-présidente du conseil - CM (début 16 juin 2015, 11 753 $/année)",,6 408 $,,X,,
Ville-Marie,"Vice-présidente CPC - CM (fin 16 juin 2015, 11 753 $/année)",,5 377 $,,X,,
Ville-Marie,"Membre CIG - CM (fin 16 juin 2015, 5 875 $/année)",,2 688 $,,X,,
Ville-Marie,Mairesse suppl. d'arr. - CA ,,3 000 $,,X,,
"SHANAHAN, Steve",Conseiller de la ville - CM ,,52 887 $,X,,61 291 $,15 976 $
Ville-Marie,"Membre CTTP - CM (fin 18 août 2015, 5 875 $/année)",,3 702 $,,X,,
Ville-Marie,"Membre CDEUH - CM (fin 18 août 2015, 5 875 $/année)",,3 702 $,,X,,
Ville-Marie,Vice-président CCU - CA ,,1 000 $,,X,,
"BENJAMIN, Frantz",Conseiller de la ville - CM,,52 887 $,X,,112 237 $,15 976 $
Villeray–Saint-Michel–Parc-Extension,Président du conseil - CM ,,41 722 $,,X,,
,Président CPC - CM,,17 628 $,,X,,
"DEROS, Mary",Conseillère de la ville - CM,,52 887 $,X,,101 783 $,15 976 $
Villeray–Saint-Michel–Parc-Extension,Conseillère associée - CM,,17 628 $,,X,,
Villeray–Saint-Michel–Parc-Extension,Membre CTTP - CM,,5 875 $,,X,,
Villeray–Saint-Michel–Parc-Extension,"Membre CDSDM - CM (fin 18 août 2015, 5 875 $/année)",,3 702 $,,X,,
Villeray–Saint-Michel–Parc-Extension,"Membre CPC - CM (début 25 mai 2015, 5 875 $/année)",,3 557 $,,X,,
Villeray–Saint-Michel–Parc-Extension,"Membre CCPS - CM (fin 24 mai 2015, 5 875 $/année)",,2 318 $,,X,,
Villeray–Saint-Michel–Parc-Extension,"Membre CDEUH - CM (début 24 août 2015, 5 875 $/année)",,2 092 $,,X,,
Villeray–Saint-Michel–Parc-Extension,Présidente CCU - CM ,,3 526 $,,X,,
Villeray–Saint-Michel–Parc-Extension,Mairesse suppléante - CM (1 763 $/quadrimestre),,5 289 $,,X,,
Villeray–Saint-Michel–Parc-Extension,Membre CT - CMM (max2 7 500 $ réduit à max24 909 $4),Max2,4 909 $,,X,,
"LEFEBVRE, Elsie",Conseillère de la ville - CM,,52 887 $,X,,88 143 $,15 976 $
Villeray–Saint-Michel–Parc-Extension,Conseillère associée - CM,,17 628 $,,X,,
Villeray–Saint-Michel–Parc-Extension,Présidente CEEDDGP - CM ,,17 628 $,,X,,
"OUELLET, Sylvain",Conseiller de la ville - CM,,52 887 $,X,,61 965 $,15 976 $
Villeray–Saint-Michel–Parc-Extension,Membre CEEDDGP - CM,,5 875 $,,X,,
Villeray–Saint-Michel–Parc-Extension,"Membre CFA - CM (début 16 juin 2015, 5 875 $/année)",,3 203 $,,X,,
"SAMSON, Anie",Conseillère de la ville - CM,,52 887 $,X,,146 636 $,15 976 $
Villeray–Saint-Michel–Parc-Extension,Maire d’arrondissement - CM,,25 855 $,,X,,
Villeray–Saint-Michel–Parc-Extension,Vice-présidente du CE - CM,,58 764 $,,X,,
Villeray–Saint-Michel–Parc-Extension,Membre du conseil d'agglomération - CG (10 999 $ réduit à 9 130 $4),,9 130 $,X,,,
Villeray–Saint-Michel–Parc-Extension,Présidente CSP - CG (max1 16 499 $ réduit à 0 $4),,0 $,,X,,
