nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
"PLANTE, Valérie",Conseillère de la ville - CM,,52 157 $,X,,71 224 $,15 787 $
Ville-Marie,Vice-présidente CPC - CM,,11 591 $,,X,,
,"Membre CIG - CM (début 25 mars 2014, 5 794 $/année)",,4 476 $,,X,,
,Mairesse suppl. d'arr. - CA ,,3 000 $,,X,,
"SHANAHAN, Steve",Conseiller de la ville - CM ,,52 157 $,X,,58 951 $,15 787 $
Ville-Marie,Membre CTTP - CM,,5 794 $,,X,,
,Vice-président CCU - CA,,1 000 $,,X,,
"BENJAMIN, Frantz",Conseiller de la ville - CM,,52 157 $,X,,110 688 $,15 787 $
Villeray–Saint-Michel–Parc-Extension,Président du conseil - CM ,,41 146 $,,X,,
,Président CPC - CM,,17 385 $,,X,,
"DEROS, Mary",Conseillère de la ville - CM,,52 157 $,X,,100 576 $,15 787 $
Villeray–Saint-Michel–Parc-Extension,Conseillère associée - CM,,17 385 $,,X,,
,Membre CTTP - CM,,5 794 $,,X,,
,Membre CDSDM - CM ,,5 794 $,,X,,
,Membre CCPS - CM,,5 794 $,,X,,
,Présidente CCU - CM ,,3 477 $,,X,,
,Mairesse suppléante - CM (1 739 $/quadrimestre),,5 217 $,,X,,
,"Membre CT - CMM (début 23 janv. 2014, max2 7 500 $/année réduit à max2 4 958 $/année4)",Max2,4 958 $,,X,,
"LEFEBVRE, Elsie",Conseillère de la ville - CM,,52 157 $,X,,86 927 $,15 787 $
Villeray–Saint-Michel–Parc-Extension,Conseillère associée - CM,,17 385 $,,X,,
,Présidente CEEDDGP - CM ,,17 385 $,,X,,
"OUELLET, Sylvain",Conseiller de la ville - CM,,52 157 $,X,,57 951 $,15 787 $
Villeray–Saint-Michel–Parc-Extension,Membre CEEDDGP - CM ,,5 794 $,,X,,
"SAMSON, Anie",Conseillère de la ville - CM,,52 157 $,X,,144 897 $,15 787 $
Villeray–Saint-Michel–Parc-Extension,Maire d’arrondissement - CM,,25 498 $,,X,,
,Vice-présidente du CE - CM,,57 953 $,,X,,
,Membre du conseil d'agglomération - CG (10 847 $ réduit à 9 289 $4),,9 289 $,X,,,
,Présidente CSP - CG (max1 16 271 $ réduit à 0 $4),,0 $,,X,,
