id,Nom,Description Long Français,* Arrondissement ou pôle,* Gratuit / Payant,* Intérêts / Type d'événement,* Intérieur / Extérieur,Dates de présentation de l'événement/activité,Lieux
230,Chats de ruelles à LaSalle,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",LaSalle,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,29-30 juillet 2017,Ruelle boulevard LaSalle entre 1ère ave et 2e avenue
227,Chats de ruelles à Mercier - Hochelaga-Maisonneuve,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Mercier–Hochelaga-Maisonneuve,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,8-9 juillet 2017,Ruelle Lebrun et Baldwin entre Ontario et Brouage
229,Chats de ruelles à Montréal-Nord,"Présenté par la coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Montréal-Nord,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,22-23 juillet 2017,Sentier de marche le long de la rivière du parc linéaire entre les rues Éthier et de L'Archevêque
220,Chats de ruelles à Outremont,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Outremont,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,20-21 mai 2017,"Ruelle ave Champagneur et ave Outremont, nord de ave Lajoie"
222,Chats de ruelles à Pierrefonds-Roxboro,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Pierrefonds-Roxboro,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,3-4 juin 2017,Ferme D-Trois Pierre
221,Chats de ruelles à Rivière-des-Prairies - Pointe-aux-Trembles,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Rivière-des-Prairies–Pointe-aux-Trembles,Gratuit,Cirque/Musique,Extérieur,27-28 mai 2017,Parc Marcel-Léger
219,Chats de ruelles à Rosemont - La Petite-Patrie,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Rosemont–La Petite-Patrie,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,13-14 mai 2017,"Ruelle 6e Avenue et 7e Avenue, nord du Boulevard Saint-Joseph"
224,Chats de ruelles à Saint-Laurent,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Saint-Laurent,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,17 et 18 juin 2017,Parc Beaudet
235,Chats de ruelles à Saint-Léonard,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Saint-Léonard,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,2-3 septembre,Sentier du parc Wilfrid-Bastien entre des Artisans et Collerette
225,Chats de ruelles à Verdun,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Verdun,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,24-25 juin 2017,Ruelle Brown et Manning entre Beurling et Bannantyne
237,Chats de ruelles à Ville-Marie,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Ville-Marie,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,16-17 septembre 2017,Ruelle de Lorimier et de Bordeau entre de Rouen et Dubuc
234,Chats de ruelles à Villeray - Saint-Michel - Parc-Extension,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Villeray–Saint-Michel–Parc-Extension,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,26-27 août 2017,Ruelle de Gaspé et Casgrain entre Villeray et Faillon
236,Chats de ruelles au Plateau-Mont-Royal,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Le Plateau-Mont-Royal,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,9-10 septembre 2017,Ruelle Dorion et Cartier entre Gauthier et Sherbrooke
232,Chats de ruelles dans le Sud-Ouest,"Présenté par La coopérative Le Comité en collaboration avec La TohuChats de ruelles est une fête mobile qui s’installera à chaque week-end dans la tournée des 19 arrondissements de Montréal. Cet événement est une occasion unique de créer des ponts entre les résidents du quartier et les milieux culturels et citoyens. Une programmation festive et familiale comprenant des ateliers d’agriculture urbaine, des performances de cirque, des concerts d'artistes émergents, des projections en plein-air ainsi qu’une expérience de réalité augmentée seront au rendez-vous pour le plus grand plaisir des jeunes et moins jeunes.Chats de ruelles, c'est un rendez-vous unique et convivial pour découvrir et célébrer les ruelles de Montréal. C’est aussi une occasion de mettre en valeur le patrimoine urbain, culturel et environnemental des ruelles dans un contexte des plus festifs.",Le Sud-Ouest,Gratuit,Cirque/Famille et jeunesse/Musique,Extérieur,12-13 août 2017,Ruelle square Sir-Georges-Étienne-Cartier et Beaudoin entre Saint-Émile et Notre-Dame O.
802,"Circuit D, visites guidées","Trois visites délirantes pour vous donner, d’une rue à l’autre, la vraie et la fausse histoire de Montréal. Chaque fois créées pour et sur le lieu qui les accueille, les 3 visites de Delices DADA font surgir du paysage urbain des historiques bizarres, absurdes et drôles. Viennent s’y rajouter un extravagant Musée des Curiosités accueillant en permanence les visiteurs et, au cours des circuits, des rencontres inattendues, mais pas tout à fait dues au hasard. Une savante réécriture de l’histoire locale trouvant ses preuves visuelles et son déroulement dans les moindres détails du périmètre parcouru. Une agréable folie qui laisse dans les mémoires de ses spectateurs des traces indélébiles. Delices DADA, compagnie pionnière des Arts de la rue français, a son siège dans le sud de la France. Ses créations sont diffusées au niveau national et international.Depuis sa fondation en 1984, Delices DADA a présenté plus de 400 créations originales qui ont été jouées dans des lieux prestigieux telle que la Villa Médicis à Rome, aussi bien que dans des quartiers de banlieues, des villages ou des sites industriels. Visites guidées dadaïstes, poésie marathonienne, étranges célébrations données par des indigènes surgis de nulle part, tragédie mise à la rue, noires intrigues nocturnes ou rencontres mouvementées constituent quelques exemples de réalisations de cette compagnie désireuse d’offrir au regard et à l’écoute de tous de délicieuses bouffées d’imagination collective.Départs du Musée des Curiosités toutes les 30 minutes entre 18h et 21h (dernier départ à 20h30). Trois visites différentes – Durée d’une visite : environ 30 minutes.CRÉDITS DU SPECTACLEConception générale et mise en espace :  Jeff Thiébaut Avec Richard Brun, Chris Chanet, Judith Levasseur, François Palanque, Marion Piqué, Gaëlle René et Jeff Thiébaut.",Ville-Marie,Gratuit,Humour/Histoire et patrimoine/Théâtre et variété,Extérieur,du 18 au 23 juillet,PISTE FUSHIA | rue Saint-Denis
275,Cirque Éloize à ciel ouvert à Ahuntsic-Cartierville,"Le Cirque Éloize invite tous les amoureux de Montréal dans une Grande tournée du 375e, pour célébrer les différents arrondissements de la métropole. Venez redécouvrir votre quartier et explorer les quartiers voisins, dans un contexte festif et circassien! Pendant 19 fins de semaine consécutives, le Cirque Éloize présentera une foule d'animations, une escouade magique, des artistes locaux et des artisans du cirque. Petits et grands sont invités à participer aux activités.Des activités pour chaque moment de la journée :- Le matin, un conteur local transportera les enfants dans un monde à la croisée du réel et de l'imaginaire.- L'après-midi, artistes et musiciens se mêleront à la foule et offriront des performances intermittentes, en plus faire participer petits et grands à des ateliers de cirque et de danse.- Le samedi soir, à l'heure où la lumière dorée féérique fait scintiller l'horizon, une joyeuse procession prendra fin au pied de la scène et la parade fera place au spectacle L'Heure magique. Spectacle : L’Heure magique, au coucher du soleil après 20h30Ce spectacle éclaté de 35 minutes nous transporte dans un univers urbain et contemporain où huit personnages se recherchent, se rencontrent, puis se perdent de vue. Sept numéros circassiens et une mise en scène rythmée rendent l’Heure magique une pièce vibrante d’acrobaties et d’émotions, pour un public de tous âges.  Soufflée par la poésie du mouvement, une lettre se pose aux pieds d'une des artistes. Elle y découvre un message qui donne des ailes et transporte l’âme — une lettre d’amour écrite à Montréal, il y a de cela 25 ans. Au fil des tableaux, d’autres lettres mystérieuses surgissent — toutes proviennent de la belle métropole. Ces lettres parlent d’amour et d’amitié. Les mots suscitent un tourbillon d’émotions d’où germent les numéros de cirque.Au dernier acte, les personnages se rencontrent enfin. Ils prennent le temps de se regarder et font naitre l’espoir et la magie de l’instant présent.",Ahuntsic-Cartierville,Gratuit,Cirque/Musique/Histoire et patrimoine/Gastronomie,Extérieur,5 et 6 Août 2017,Parc Ahuntsic
277,Cirque Éloize à ciel ouvert à Anjou,"Le Cirque Éloize invite tous les amoureux de Montréal dans une Grande tournée du 375e, pour célébrer les différents arrondissements de la métropole. Venez redécouvrir votre quartier et explorer les quartiers voisins, dans un contexte festif et circassien! Pendant 19 fins de semaine consécutives, le Cirque Éloize présentera une foule d'animations, une escouade magique, des artistes locaux et des artisans du cirque. Petits et grands sont invités à participer aux activités.Des activités pour chaque moment de la journée :- Le matin, un conteur local transportera les enfants dans un monde à la croisée du réel et de l'imaginaire.- L'après-midi, artistes et musiciens se mêleront à la foule et offriront des performances intermittentes, en plus faire participer petits et grands à des ateliers de cirque et de danse.- Le samedi soir, à l'heure où la lumière dorée féérique fait scintiller l'horizon, une joyeuse procession prendra fin au pied de la scène et la parade fera place au spectacle L'Heure magique. Spectacle : L’Heure magique au coucher du soleil après 20h30Ce spectacle éclaté de 35 minutes nous transporte dans un univers urbain et contemporain où huit personnages se recherchent, se rencontrent, puis se perdent de vue. Sept numéros circassiens et une mise en scène rythmée rendent l’Heure magique une pièce vibrante d’acrobaties et d’émotions, pour un public de tous âges.  Soufflée par la poésie du mouvement, une lettre se pose aux pieds d'une des artistes. Elle y découvre un message qui donne des ailes et transporte l’âme — une lettre d’amour écrite à Montréal, il y a de cela 25 ans. Au fil des tableaux, d’autres lettres mystérieuses surgissent — toutes proviennent de la belle métropole. Ces lettres parlent d’amour et d’amitié. Les mots suscitent un tourbillon d’émotions d’où germent les numéros de cirque.Au dernier acte, les personnages se rencontrent enfin. Ils prennent le temps de se regarder et font naitre l’espoir et la magie de l’instant présent.",Anjou,Gratuit,Cirque/Famille et jeunesse/Musique/Histoire et patrimoine/Gastronomie,Extérieur,19 et 20 Août 2017,Parc Lucie-Bruneau
269,Cirque Éloize à ciel ouvert à Côte-des-Neiges-Notre-Dame-de-Grâce,"Le Cirque Éloize invite tous les amoureux de Montréal dans une Grande tournée du 375e, pour célébrer les différents arrondissements de la métropole. Venez redécouvrir votre quartier et explorer les quartiers voisins, dans un contexte festif et circassien! Pendant 19 fins de semaine consécutives, le Cirque Éloize présentera une foule d'animations, une escouade magique, des artistes locaux et des artisans du cirque. Petits et grands sont invités à participer aux activités.Des activités pour chaque moment de la journée :- Le matin, un conteur local transportera les enfants dans un monde à la croisée du réel et de l'imaginaire.- L'après-midi, artistes et musiciens se mêleront à la foule et offriront des performances intermittentes, en plus faire participer petits et grands à des ateliers de cirque et de danse.- Le samedi soir, à l'heure où la lumière dorée féérique fait scintiller l'horizon, une joyeuse procession prendra fin au pied de la scène et la parade fera place au spectacle L'Heure magique. Spectacle : L’Heure magique au coucher du soleil après 20h30Ce spectacle éclaté de 35 minutes nous transporte dans un univers urbain et contemporain où huit personnages se recherchent, se rencontrent, puis se perdent de vue. Sept numéros circassiens et une mise en scène rythmée rendent l’Heure magique une pièce vibrante d’acrobaties et d’émotions, pour un public de tous âges.  Soufflée par la poésie du mouvement, une lettre se pose aux pieds d'une des artistes. Elle y découvre un message qui donne des ailes et transporte l’âme — une lettre d’amour écrite à Montréal, il y a de cela 25 ans. Au fil des tableaux, d’autres lettres mystérieuses surgissent — toutes proviennent de la belle métropole. Ces lettres parlent d’amour et d’amitié. Les mots suscitent un tourbillon d’émotions d’où germent les numéros de cirque.Au dernier acte, les personnages se rencontrent enfin. Ils prennent le temps de se regarder et font naitre l’espoir et la magie de l’instant présent.",Côte-des-Neiges–Notre-Dame-de-Grâce,Gratuit,Cirque/Famille et jeunesse/Musique/Histoire et patrimoine/Gastronomie,Extérieur,1er et 2 Juillet 2017,Parc Kent
272,Cirque Éloize à ciel ouvert à L'Île-Bizard-Sainte-Geneviève,"Le Cirque Éloize invite tous les amoureux de Montréal dans une Grande tournée du 375e, pour célébrer les différents arrondissements de la métropole. Venez redécouvrir votre quartier et explorer les quartiers voisins, dans un contexte festif et circassien! Pendant 19 fins de semaine consécutives, le Cirque Éloize présentera une foule d'animations, une escouade magique, des artistes locaux et des artisans du cirque. Petits et grands sont invités à participer aux activités.Des activités pour chaque moment de la journée :- Le matin, un conteur local transportera les enfants dans un monde à la croisée du réel et de l'imaginaire.- L'après-midi, artistes et musiciens se mêleront à la foule et offriront des performances intermittentes, en plus faire participer petits et grands à des ateliers de cirque et de danse.- Le samedi soir, à l'heure où la lumière dorée féérique fait scintiller l'horizon, une joyeuse procession prendra fin au pied de la scène et la parade fera place au spectacle L'Heure magique. Spectacle : L’Heure magique au coucher du soleil après 20h30Ce spectacle éclaté de 35 minutes nous transporte dans un univers urbain et contemporain où huit personnages se recherchent, se rencontrent, puis se perdent de vue. Sept numéros circassiens et une mise en scène rythmée rendent l’Heure magique une pièce vibrante d’acrobaties et d’émotions, pour un public de tous âges.  Soufflée par la poésie du mouvement, une lettre se pose aux pieds d'une des artistes. Elle y découvre un message qui donne des ailes et transporte l’âme — une lettre d’amour écrite à Montréal, il y a de cela 25 ans. Au fil des tableaux, d’autres lettres mystérieuses surgissent — toutes proviennent de la belle métropole. Ces lettres parlent d’amour et d’amitié. Les mots suscitent un tourbillon d’émotions d’où germent les numéros de cirque.Au dernier acte, les personnages se rencontrent enfin. Ils prennent le temps de se regarder et font naitre l’espoir et la magie de l’instant présent.",L’Île-Bizard–Sainte-Geneviève,Gratuit,Cirque/Famille et jeunesse/Musique/Histoire et patrimoine/Gastronomie,Extérieur,15 et 16 Juillet 2017,Parc Eugène-Dostie
266,Cirque Éloize à ciel ouvert à Lachine,"Le Cirque Éloize invite tous les amoureux de Montréal dans une Grande tournée du 375e, pour célébrer les différents arrondissements de la métropole. Venez redécouvrir votre quartier et explorer les quartiers voisins, dans un contexte festif et circassien! Pendant 19 fins de semaine consécutives, le Cirque Éloize présentera une foule d'animations, une escouade magique, des artistes locaux et des artisans du cirque. Petits et grands sont invités à participer aux activités.Des activités pour chaque moment de la journée :- Le matin, un conteur local transportera les enfants dans un monde à la croisée du réel et de l'imaginaire.- L'après-midi, artistes et musiciens se mêleront à la foule et offriront des performances intermittentes, en plus faire participer petits et grands à des ateliers de cirque et de danse.- Le samedi soir, à l'heure où la lumière dorée féérique fait scintiller l'horizon, une joyeuse procession prendra fin au pied de la scène et la parade fera place au spectacle L'Heure magique. Spectacle : L’Heure magique au coucher du soleil après 20h30Ce spectacle éclaté de 35 minutes nous transporte dans un univers urbain et contemporain où huit personnages se recherchent, se rencontrent, puis se perdent de vue. Sept numéros circassiens et une mise en scène rythmée rendent l’Heure magique une pièce vibrante d’acrobaties et d’émotions, pour un public de tous âges.  Soufflée par la poésie du mouvement, une lettre se pose aux pieds d'une des artistes. Elle y découvre un message qui donne des ailes et transporte l’âme — une lettre d’amour écrite à Montréal, il y a de cela 25 ans. Au fil des tableaux, d’autres lettres mystérieuses surgissent — toutes proviennent de la belle métropole. Ces lettres parlent d’amour et d’amitié. Les mots suscitent un tourbillon d’émotions d’où germent les numéros de cirque.Au dernier acte, les personnages se rencontrent enfin. Ils prennent le temps de se regarder et font naitre l’espoir et la magie de l’instant présent.",Lachine,Gratuit,Cirque/Famille et jeunesse/Musique/Histoire et patrimoine/Gastronomie,Extérieur,10 et 11 Juin 2017,Parc de la Marina d'escale
274,Cirque Éloize à ciel ouvert à LaSalle,"Le Cirque Éloize invite tous les amoureux de Montréal dans une Grande tournée du 375e, pour célébrer les différents arrondissements de la métropole. Venez redécouvrir votre quartier et explorer les quartiers voisins, dans un contexte festif et circassien! Pendant 19 fins de semaine consécutives, le Cirque Éloize présentera une foule d'animations, une escouade magique, des artistes locaux et des artisans du cirque. Petits et grands sont invités à participer aux activités.Des activités pour chaque moment de la journée :- Le matin, un conteur local transportera les enfants dans un monde à la croisée du réel et de l'imaginaire.- L'après-midi, artistes et musiciens se mêleront à la foule et offriront des performances intermittentes, en plus faire participer petits et grands à des ateliers de cirque et de danse.- Le samedi soir, à l'heure où la lumière dorée féérique fait scintiller l'horizon, une joyeuse procession prendra fin au pied de la scène et la parade fera place au spectacle L'Heure magique. Spectacle : L’Heure magique au coucher du soleil après 20h30Ce spectacle éclaté de 35 minutes nous transporte dans un univers urbain et contemporain où huit personnages se recherchent, se rencontrent, puis se perdent de vue. Sept numéros circassiens et une mise en scène rythmée rendent l’Heure magique une pièce vibrante d’acrobaties et d’émotions, pour un public de tous âges.  Soufflée par la poésie du mouvement, une lettre se pose aux pieds d'une des artistes. Elle y découvre un message qui donne des ailes et transporte l’âme — une lettre d’amour écrite à Montréal, il y a de cela 25 ans. Au fil des tableaux, d’autres lettres mystérieuses surgissent — toutes proviennent de la belle métropole. Ces lettres parlent d’amour et d’amitié. Les mots suscitent un tourbillon d’émotions d’où germent les numéros de cirque.Au dernier acte, les personnages se rencontrent enfin. Ils prennent le temps de se regarder et font naitre l’espoir et la magie de l’instant présent.",LaSalle,Gratuit,Cirque/Famille et jeunesse/Musique/Histoire et patrimoine/Gastronomie,Extérieur,29 et 30 Juillet 2017,Parc Leroux
270,Cirque Éloize à ciel ouvert à Mercier-Hochelaga-Maisonneuve,"Le Cirque Éloize invite tous les amoureux de Montréal dans une Grande tournée du 375e, pour célébrer les différents arrondissements de la métropole. Venez redécouvrir votre quartier et explorer les quartiers voisins, dans un contexte festif et circassien! Pendant 19 fins de semaine consécutives, le Cirque Éloize présentera une foule d'animations, une escouade magique, des artistes locaux et des artisans du cirque. Petits et grands sont invités à participer aux activités.Des activités pour chaque moment de la journée :- Le matin, un conteur local transportera les enfants dans un monde à la croisée du réel et de l'imaginaire.- L'après-midi, artistes et musiciens se mêleront à la foule et offriront des performances intermittentes, en plus faire participer petits et grands à des ateliers de cirque et de danse.- Le samedi soir, à l'heure où la lumière dorée féérique fait scintiller l'horizon, une joyeuse procession prendra fin au pied de la scène et la parade fera place au spectacle L'Heure magique. Spectacle : L’Heure magique au coucher du soleil après 20h30Ce spectacle éclaté de 35 minutes nous transporte dans un univers urbain et contemporain où huit personnages se recherchent, se rencontrent, puis se perdent de vue. Sept numéros circassiens et une mise en scène rythmée rendent l’Heure magique une pièce vibrante d’acrobaties et d’émotions, pour un public de tous âges.  Soufflée par la poésie du mouvement, une lettre se pose aux pieds d'une des artistes. Elle y découvre un message qui donne des ailes et transporte l’âme — une lettre d’amour écrite à Montréal, il y a de cela 25 ans. Au fil des tableaux, d’autres lettres mystérieuses surgissent — toutes proviennent de la belle métropole. Ces lettres parlent d’amour et d’amitié. Les mots suscitent un tourbillon d’émotions d’où germent les numéros de cirque.Au dernier acte, les personnages se rencontrent enfin. Ils prennent le temps de se regarder et font naitre l’espoir et la magie de l’instant présent.",Mercier–Hochelaga-Maisonneuve,Gratuit,Cirque/Famille et jeunesse/Musique/Histoire et patrimoine/Gastronomie,Extérieur,8 au 9 Juillet 2017,Parc de la Promenade-Bellerive
