nom,ville,adresse_principale,telephone,telephone_numero_poste,arrdondissement,accessibilite,long,lat
"Salle de spectacle de l’église Jean XXIII","Montréal","7101, avenue de l' Alsace",,,"Anjou","Accessible en fauteuil roulant",-73.58224399620246,45.60451809211068
"Gymnase du complexe sportif de Saint-Laurent","Montréal","2385, boulevard Thimens","5148556110",,"Saint-Laurent","Accessible en fauteuil roulant avec assistance",-73.703017,45.507608
"Salle multifonctionnelle du Complexe sportif de Saint-Laurent","Montréal","2385, boulevard Thimens","5148556110",,"Saint-Laurent","Adapté aux poussettes",-73.703017,45.507608
"Chalet du parc La Fontaine","Montréal","3933, avenue du Parc-La Fontaine",,,"Le Plateau-Mont-Royal","Toilettes accessibles",-73.56949705524104,45.525212758002425
"Médialab Maisonneuve","Montréal","4120, rue Ontario Est","5148724213",,"Mercier–Hochelaga-Maisonneuve","Accessible en fauteuil roulant avec assistance",-73.540722,45.550621
"Édifice Emmanuel-Arthur-Doucet","Montréal","3622, rue Hochelaga","5145236363",,"Mercier–Hochelaga-Maisonneuve","Zone de débarcadère",-73.550821,45.547286
"Chalet Ogilvy","Montréal","821, avenue Ogilvy",,,"Villeray–Saint-Michel–Parc-Extension","Toilettes accessibles",-73.627033,45.526606
"Salle d’entraînement du Complexe sportif de Saint-Laurent","Montréal","2385, boulevard Thimens","5148556110",,"Saint-Laurent","Places de stationnement réservées (vignette)",-73.703017,45.507608
"Maison de la culture Saint-Laurent","Montréal","2727, boulevard Thimens","5148556130","4443","Saint-Laurent","Zone de débarcadère",-73.70503174989236,45.50436369695285
"Maison de la culture d'Outremont","Montréal","41, avenue Saint-Just","5144957419",,"Outremont","Adapté aux poussettes",-73.608412,45.517911
