NUMEROTATION,TYPE_DE_SOINS,CODE_INTERVENTION,NOM_INTERVENTION,NOMBRE_DE_CAS-FEM,NOMBRE_DE_CAS-MASC,NOMBRE_DE_CAS-TOTAL,SEJOUR_MOYEN-FEM,SEJOUR_MOYEN-MASC,SEJOUR_MOYEN-TOTAL,NOMBRE_DE_CAS_SEUL-FEM,NOMBRE_DE_CAS_SEUL-MASC,NOMBRE_DE_CAS_SEUL-TOTAL,SEJOUR_MOYEN_SEUL-FEM,SEJOUR_MOYEN_SEUL-MASC,SEJOUR_MOYEN_SEUL-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2,NOTE_3 
366,"Soins physiques et psychiatriques de courte durée","1.EQ.59","Destruct tis mou tête & cou                                                                         ",12,18,30,20.9,19.9,20.3,3,1,4,7.7,7.0,7.5,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
367,"Soins physiques et psychiatriques de courte durée","1.EQ.70","Incis tis mou tête & cou                                                                            ",1,0,1,9.0,0.0,9.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
368,"Soins physiques et psychiatriques de courte durée","1.EQ.87","Exc prt tis mou tête & cou                                                                          ",45,67,112,5.9,8.3,7.3,18,25,43,2.1,2.0,2.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
369,"Soins physiques et psychiatriques de courte durée","1.ES.37","Instal app ext cart nez                                                                             ",0,2,2,0.0,3.0,3.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
370,"Soins physiques et psychiatriques de courte durée","1.ES.38","Gest app ext cart nez                                                                               ",0,1,1,0.0,3.0,3.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
371,"Soins physiques et psychiatriques de courte durée","1.ES.52","Drain cart nez                                                                                      ",2,4,6,15.0,7.5,10.0,0,3,3,0.0,5.7,5.7,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
372,"Soins physiques et psychiatriques de courte durée","1.ES.58","Prélèv cart nez                                                                                     ",3,6,9,6.7,4.5,5.2,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
373,"Soins physiques et psychiatriques de courte durée","1.ES.80","Répar cart nez                                                                                      ",58,178,236,2.2,1.4,1.6,21,87,108,1.1,1.0,1.1,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
374,"Soins physiques et psychiatriques de courte durée","1.ES.87","Exc prt cart nez                                                                                    ",77,264,341,2.1,1.9,2.0,38,164,202,1.1,1.0,1.1,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
375,"Soins physiques et psychiatriques de courte durée","1.ET.03","Immobilis nez                                                                                       ",0,1,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
376,"Soins physiques et psychiatriques de courte durée","1.ET.13","Contr hémor nez                                                                                     ",186,255,441,15.7,11.9,13.5,52,61,113,10.8,5.8,8.1,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
377,"Soins physiques et psychiatriques de courte durée","1.ET.26","Brachyth nez                                                                                        ",0,1,1,0.0,4.0,4.0,0,1,1,0.0,4.0,4.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
378,"Soins physiques et psychiatriques de courte durée","1.ET.35","Pharm tx nez                                                                                        ",2,2,4,4.0,75.5,39.8,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
379,"Soins physiques et psychiatriques de courte durée","1.ET.52","Drain nez                                                                                           ",3,7,10,5.7,2.1,3.2,0,5,5,0.0,2.6,2.6,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
380,"Soins physiques et psychiatriques de courte durée","1.ET.55","Retr disp nez                                                                                       ",7,5,12,25.4,5.4,17.1,0,2,2,0.0,2.5,2.5,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
381,"Soins physiques et psychiatriques de courte durée","1.ET.56","Retr crps étrang nez                                                                                ",1,2,3,1.0,16.5,11.3,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
382,"Soins physiques et psychiatriques de courte durée","1.ET.57","Extract nez                                                                                         ",1,1,2,4.0,58.0,31.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
383,"Soins physiques et psychiatriques de courte durée","1.ET.59","Destruct nez                                                                                        ",3,11,14,8.0,1.5,2.9,0,3,3,0.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
384,"Soins physiques et psychiatriques de courte durée","1.ET.72","Libérat nez                                                                                         ",2,9,11,1.0,1.7,1.5,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
385,"Soins physiques et psychiatriques de courte durée","1.ET.73","Réduct nez                                                                                          ",22,52,74,7.9,5.6,6.2,5,11,16,1.2,4.1,3.2,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
386,"Soins physiques et psychiatriques de courte durée","1.ET.80","Répar nez                                                                                           ",23,72,95,2.7,2.3,2.4,10,40,50,1.1,1.1,1.1,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
387,"Soins physiques et psychiatriques de courte durée","1.ET.82","Rattach nez                                                                                         ",0,2,2,0.0,2.5,2.5,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
388,"Soins physiques et psychiatriques de courte durée","1.ET.86","Fistule ferme nez                                                                                   ",0,2,2,0.0,4.0,4.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
389,"Soins physiques et psychiatriques de courte durée","1.ET.87","Exc prt nez                                                                                         ",94,108,202,2.3,1.8,2.0,10,27,37,1.4,1.6,1.6,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
390,"Soins physiques et psychiatriques de courte durée","1.ET.89","Exc tot nez                                                                                         ",2,4,6,29.0,3.3,11.8,0,1,1,0.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
391,"Soins physiques et psychiatriques de courte durée","1.EU.52","Drain sin ethm                                                                                      ",6,4,10,4.3,6.5,5.2,1,0,1,1.0,0.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
392,"Soins physiques et psychiatriques de courte durée","1.EU.87","Exc prt sin ethm                                                                                    ",42,83,125,6.3,6.3,6.3,0,1,1,0.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
393,"Soins physiques et psychiatriques de courte durée","1.EV.52","Drain sin sphén                                                                                     ",12,19,31,3.7,2.4,2.9,1,1,2,6.0,1.0,3.5,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
394,"Soins physiques et psychiatriques de courte durée","1.EV.87","Exc prt sin sphén                                                                                   ",5,7,12,6.2,4.4,5.2,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
395,"Soins physiques et psychiatriques de courte durée","1.EW.52","Drain sin max                                                                                       ",44,107,151,5.8,4.5,4.9,1,3,4,9.0,1.3,3.3,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
396,"Soins physiques et psychiatriques de courte durée","1.EW.80","Répar sin max                                                                                       ",4,4,8,1.8,3.3,2.5,0,1,1,0.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
397,"Soins physiques et psychiatriques de courte durée","1.EW.86","Fistule ferme sin max                                                                               ",5,3,8,6.4,13.3,9.0,0,1,1,0.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
398,"Soins physiques et psychiatriques de courte durée","1.EW.87","Exc prt sin max                                                                                     ",4,15,19,12.0,4.7,6.3,0,2,2,0.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
399,"Soins physiques et psychiatriques de courte durée","1.EW.91","Exc rad sin max                                                                                     ",0,2,2,0.0,1.0,1.0,0,1,1,0.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
400,"Soins physiques et psychiatriques de courte durée","1.EX.52","Drain sin front                                                                                     ",20,32,52,9.3,5.3,6.8,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
401,"Soins physiques et psychiatriques de courte durée","1.EX.59","Destruct sin front                                                                                  ",2,10,12,7.5,15.9,14.5,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
402,"Soins physiques et psychiatriques de courte durée","1.EX.80","Répar sin front                                                                                     ",9,12,21,16.6,10.0,12.8,2,0,2,37.5,0.0,37.5,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
403,"Soins physiques et psychiatriques de courte durée","1.EX.87","Exc prt sin front                                                                                   ",3,14,17,4.3,5.1,4.9,0,1,1,0.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
404,"Soins physiques et psychiatriques de courte durée","1.EY.35","Pharm tx sin paranasaux                                                                             ",0,2,2,0.0,8.0,8.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
405,"Soins physiques et psychiatriques de courte durée","1.EY.52","Drain sin paranasaux                                                                                ",23,43,66,10.6,3.8,6.2,1,0,1,1.0,0.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
406,"Soins physiques et psychiatriques de courte durée","1.EY.87","Exc prt sin paranasaux                                                                              ",57,126,183,6.4,3.3,4.3,5,15,20,1.0,1.7,1.6,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
407,"Soins physiques et psychiatriques de courte durée","1.EY.91","Exc rad sin paranasaux                                                                              ",0,1,1,0.0,16.0,16.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
408,"Soins physiques et psychiatriques de courte durée","1.FA.50","Dilat nasopharynx                                                                                   ",1,1,2,295.0,2.0,148.5,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
409,"Soins physiques et psychiatriques de courte durée","1.FA.52","Drain nasopharynx                                                                                   ",2,4,6,7.0,10.0,9.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
410,"Soins physiques et psychiatriques de courte durée","1.FA.53","Impl disp nasopharynx                                                                               ",7,8,15,6.7,4.3,5.4,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
411,"Soins physiques et psychiatriques de courte durée","1.FA.55","Retr disp nasopharynx                                                                               ",1,0,1,2.0,0.0,2.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
412,"Soins physiques et psychiatriques de courte durée","1.FA.56","Retr crps étrang nasopharynx                                                                        ",1,1,2,1.0,54.0,27.5,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
413,"Soins physiques et psychiatriques de courte durée","1.FA.84","Re/construct nasopharynx                                                                            ",5,2,7,60.0,10.0,45.7,2,1,3,1.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
414,"Soins physiques et psychiatriques de courte durée","1.FA.87","Exc prt nasopharynx                                                                                 ",5,12,17,66.0,9.0,25.8,1,3,4,1.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
415,"Soins physiques et psychiatriques de courte durée","1.FA.91","Exc rad nasopharynx                                                                                 ",0,2,2,0.0,2.0,2.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
416,"Soins physiques et psychiatriques de courte durée","1.FB.37","Instal app ext voûte palat                                                                          ",7,5,12,2.6,3.0,2.8,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
417,"Soins physiques et psychiatriques de courte durée","1.FB.53","Impl disp  voûte palat                                                                              ",0,2,2,0.0,3.0,3.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
418,"Soins physiques et psychiatriques de courte durée","1.FB.55","Retr disp voûte palat                                                                               ",0,1,1,0.0,45.0,45.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
419,"Soins physiques et psychiatriques de courte durée","1.FB.80","Répar voûte palat                                                                                   ",2,1,3,8.5,16.0,11.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
420,"Soins physiques et psychiatriques de courte durée","1.FB.86","Fistule ferme voûte palat                                                                           ",29,52,81,12.2,2.7,6.1,5,12,17,1.4,1.8,1.6,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
421,"Soins physiques et psychiatriques de courte durée","1.FB.87","Exc prt voûte palat                                                                                 ",9,6,15,46.2,7.8,30.9,3,1,4,1.0,1.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
422,"Soins physiques et psychiatriques de courte durée","1.FB.91","Exc rad voûte palat                                                                                 ",1,1,2,9.0,13.0,11.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
423,"Soins physiques et psychiatriques de courte durée","1.FC.35","Pharm tx voile palais                                                                               ",0,1,1,0.0,9.0,9.0,0,1,1,0.0,9.0,9.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
